Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Thalassiothrix longissima,Thalassionema nitzschioides var. nitzschioides,Thalassionema nitzschioides,Thalassionema hirosakiensis,Stephanopyxis turris,Stephanopyxis spp.,Rouxia californica,Rhizosolenia styliformis,Rhizosolenia barboi,Rhabdonema japonicum,Paralia sulcata,Mediaria splendida,Hyalodiscus sp.,Grammatophora spp.,Denticulopsis praedimorpha,Denticulopsis lauta,Denticulopsis hustedtii,Coscinodiscus marginatus,Coscinodiscus elegans,Chaetoceros spp.,Aulacoseira granulata,Actinoptychus senarius,Actinocyclus ingens,Synedra jouseana var.,Synedra jouseana,Stephanogonia hanzawae,Rhizosolenia miocenica,Paralia clavigera,Goniothecium tenue,Diploneis nitescens,Denticulopsis praehyalina,Coscinodiscus symbolophorus,Cocconeis scutellum,Cocconeis pellucida,Rhaphoneis amphiceros,Plagiogramma staurophorum,Diploneis smithii,Denticulopsis hyalina,Actinocyclus ingens  var. nodus,Navicula lyra,Denticulopsis katayamae,Rhizosolenia hebetata,Odontella aurita,Diploneis fusca,Denticulopsis praekatayamae ,Coscinodiscus stellaris,Coscinodiscus oculus-iridis,Cocconeis placentula var. euglypta,Azpeitia endoi,Asteromphalus darwinii,Actinocyclus octonarius,Actinocyclus curvatulus,Thalassionema schraderi,Triceratium condecorum,Thalassiosira temperei,Pseudopodosira elegans,Porosira glacialis,Nitzschia sp. 1,Amphora sp.,Nitzschia rolandii,Thalassiosira antiqua,Hemidiscus cuneiformis,Cocconeis costata,Achnanthes groenlandica,Trochosira spinosa,Thalassiosira singularis,Nitzschia grunowii,Crucidenticula punctata,Asteromphalus robustus,Thalassiosira marujamica,Thalassiosira jacksonii,Neodenticula kamtschatica,Diploneis bombus,Cosmiodiscus insignis,Cocconeis pseudomarginatus,Cocconeis californica,Amphiprora sp.,Rhizosolenia setigera,Thalassiosira zabellinae,Thalassiosira gravida,Melosira albicans,Diploneis interrupta,Delphineis surirella,Delphineis angustata,Cymatosira debyi,Thalassiosira convexa,Pinnularia spp.,Thalassiosira trifulta,Thalassiosira nidulus,Actinocyclus ochotensis,Thalassiosira oestrupii,Nitzschia reinholdii,Nitzschia cylindrica,Coscinodiscus subtilis,Thalassiosira plicata,Bacillaria paradoxa,Thalassiothrix frauenfeldii,Achnanthes lanceolata,Thalassiosira eccentrica,Neodenticula koizumii,Actinocyclus oculatus,Thalassiosira manifesta,Coscinodiscus marginatus (girdles),Coscinodiscus radiatus,Chaetoceros spores,Thalassiosira leptopus,Thalassiosira pacifica,Rossiella tatsunokuchiensis,Denticulopsis dimorpha,Delphineis ischaboensis,Rouxia sp.,Thalassiosira lineata,Cyclotella striata,Cymatotheca weissflogii,Navicula directa,Melosira westii,Cyclotella styroleum,Coscinodiscus obscurus,Nitzschia punctata,Fragilaria construens,Azpeitia nodulifer,Diploneis oculata,Actinocyclus sp.,Thalassiosira sp. g,Neodenticula seminae,Thalassiosira nordenskioeldii,Nitzschia extincta,Cyclotella kutzingiana,Rhaphoneis elegans,Coscinodiscus vetustissimus,Trachyneis aspera,Rhizosolenia bergonii,Rhizosolenia curvirostris,Nitzschia sicula,Thalassionema bacillaris,Stephanodiscus astraea,Eunotia spp.,Diploneis ovalis,Pseudoeunotia doliolus,Calloneis bacillum,Bacterosira fragilis,Thalassiosira lacustris,Navicula spp.,Diploneis suborbicularis,Roperia tesselata,Rhizosolenia imbricata,Rhizosolenia alata,Nitzschia marina,Nitzschia braarudii,Navicula pygmaea,Diploneis weissflogi,Azpeitia tabularis,Asteromphalus flabellatus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N. koizumii       ,              ,127, 797,B, 11,H, 1,  22.00,     91.6200,White    ,Diatoms                                      ,R              ,P                 ,                         ,                                              ,R                          ,                           ,                    ,                  ,                  ,                        ,R                  ,                    ,               ,                  ,               ,                  ,                          ,                   ,                       ,                        ,                     ,                ,                     ,                      ,                   ,                     ,                ,                      ,                      ,                 ,                  ,                   ,                         ,                           ,                   ,                   ,                     ,                         ,                 ,                     ,                               ,             ,                       ,                     ,                ,               ,                            ,                       ,                           ,                                  ,              ,                      ,                       ,                       ,                       ,                      ,                      ,                      ,                  ,               ,           ,                  ,                     ,                      ,                 ,                       ,                  ,                        ,                  ,                       ,                      ,                        ,                       ,                         ,                ,                     ,                          ,                     ,              ,                     ,                        ,                     ,                 ,                    ,                    ,                    ,                ,                     ,               ,                      ,                     ,                       ,                       ,                    ,                    ,                      ,                     ,                   ,                           ,                     ,                        ,                     ,                     ,                       ,                                  ,                      ,                  ,                      ,                      ,                           ,                      ,                       ,          ,                     ,                  ,                       ,                ,               ,                    ,                      ,                  ,                     ,                  ,                 ,                ,                   ,                    ,                             ,                  ,                      ,                  ,                           ,                 ,                     ,                         ,                ,                        ,                      ,            ,                ,                      ,                  ,                    ,                       ,             ,                        ,                 ,                      ,                  ,                ,                   ,                ,                    ,                  ,                         ,from ODP Legs 127&128 Chapter 20 Table 3 p 348-349
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N. koizumii       ,              ,127, 797,B, 11,H, 2,  22.00,     93.1200,White    ,Diatoms                                      ,R              ,P                 ,                         ,                                              ,R                          ,                           ,                    ,                  ,                  ,                        ,R                  ,                    ,               ,                  ,               ,                  ,                          ,                   ,                       ,                        ,                     ,                ,                     ,                      ,                   ,                     ,                ,                      ,                      ,                 ,                  ,                   ,                         ,                           ,                   ,                   ,                     ,                         ,                 ,                     ,                               ,             ,                       ,                     ,                ,               ,                            ,                       ,                           ,                                  ,              ,                      ,                       ,                       ,                       ,                      ,                      ,                      ,                  ,               ,           ,                  ,                     ,                      ,                 ,                       ,                  ,                        ,                  ,                       ,                      ,                        ,                       ,                         ,                ,                     ,                          ,                     ,              ,                     ,                        ,                     ,                 ,                    ,                    ,                    ,                ,                     ,               ,                      ,                     ,                       ,                       ,                    ,                    ,                      ,                     ,                   ,                           ,                     ,                        ,                     ,                     ,                       ,                                  ,                      ,                  ,                      ,                      ,                           ,                      ,                       ,          ,                     ,                  ,                       ,                ,               ,                    ,                      ,                  ,                     ,                  ,                 ,                ,                   ,R                   ,                             ,                  ,                      ,                  ,                           ,                 ,                     ,                         ,                ,                        ,                      ,            ,                ,                      ,                  ,                    ,                       ,             ,                        ,                 ,                      ,                  ,                ,                   ,                ,                    ,                  ,                         ,from ODP Legs 127&128 Chapter 20 Table 3 p 348-349
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N. koizumii       ,              ,127, 797,B, 11,H, 3,  22.00,     94.6200,White    ,Diatoms                                      ,R              ,P                 ,                         ,                                              ,R                          ,                           ,                    ,                  ,                  ,                        ,                   ,                    ,               ,                  ,               ,                  ,                          ,                   ,                       ,                        ,                     ,                ,                     ,                      ,                   ,                     ,                ,                      ,                      ,                 ,                  ,                   ,                         ,                           ,                   ,                   ,                     ,                         ,                 ,                     ,                               ,             ,                       ,                     ,                ,               ,                            ,                       ,                           ,                                  ,              ,                      ,                       ,                       ,                       ,                      ,                      ,                      ,                  ,               ,           ,                  ,                     ,                      ,                 ,                       ,                  ,                        ,                  ,                       ,                      ,                        ,                       ,                         ,                ,                     ,                          ,                     ,              ,                     ,                        ,                     ,                 ,                    ,                    ,                    ,                ,                     ,               ,                      ,                     ,                       ,                       ,                    ,                    ,                      ,                     ,                   ,                           ,                     ,                        ,                     ,                     ,                       ,                                  ,                      ,                  ,                      ,                      ,                           ,                      ,                       ,          ,                     ,                  ,                       ,                ,               ,                    ,                      ,                  ,                     ,                  ,                 ,                ,                   ,                    ,                             ,                  ,                      ,                  ,                           ,                 ,                     ,                         ,                ,                        ,                      ,            ,                ,                      ,                  ,                    ,                       ,             ,                        ,                 ,                      ,                  ,                ,                   ,                ,                    ,                  ,                         ,from ODP Legs 127&128 Chapter 20 Table 3 p 348-349
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N. koizumii       ,              ,127, 797,B, 11,H, 4,  22.00,     96.1200,White    ,Diatoms                                      ,R              ,G                 ,R                        ,                                              ,C                          ,                           ,R                   ,                  ,                  ,                        ,F                  ,                    ,               ,                  ,               ,                  ,                          ,                   ,                       ,R                       ,                     ,                ,                     ,                      ,                   ,                     ,                ,                      ,                      ,                 ,                  ,                   ,                         ,                           ,                   ,                   ,                     ,                         ,                 ,                     ,                               ,             ,                       ,                     ,                ,               ,                            ,                       ,                           ,                                  ,              ,                      ,                       ,                       ,                       ,                      ,                      ,                      ,                  ,               ,           ,                  ,                     ,                      ,                 ,                       ,                  ,                        ,                  ,                       ,                      ,                        ,                       ,                         ,F               ,                     ,                          ,                     ,              ,                     ,                        ,R                    ,                 ,                    ,                    ,                    ,                ,R                    ,               ,                      ,                     ,                       ,R                      ,                    ,                    ,                      ,                     ,                   ,                           ,                     ,R                       ,C                    ,                     ,                       ,                                  ,F                     ,F                 ,F                     ,                      ,                           ,                      ,                       ,          ,                     ,                  ,                       ,                ,               ,                    ,                      ,                  ,                     ,R                 ,                 ,R               ,                   ,F                   ,                             ,                  ,                      ,                  ,                           ,                 ,                     ,                         ,                ,                        ,                      ,            ,                ,                      ,                  ,                    ,                       ,             ,                        ,                 ,                      ,                  ,                ,                   ,                ,                    ,                  ,                         ,from ODP Legs 127&128 Chapter 20 Table 3 p 348-349
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,N. koizumii       ,              ,127, 797,B, 11,H, 4,  43.00,     96.3300,Koizumi  ,Diatoms                                      ,               ,                  ,1                        ,5                                             ,65                         ,                           ,24                  ,2                 ,                  ,1                       ,3                  ,                    ,15             ,                  ,               ,                  ,                          ,                   ,                       ,1                       ,                     ,210             ,                     ,1                     ,                   ,                     ,                ,                      ,                      ,                 ,                  ,                   ,                         ,                           ,1                  ,                   ,2                    ,                         ,                 ,                     ,                               ,             ,                       ,                     ,                ,               ,                            ,                       ,3                          ,                                  ,              ,                      ,2                      ,7                      ,                       ,                      ,                      ,                      ,                  ,               ,           ,                  ,r1                   ,                      ,1                ,                       ,                  ,                        ,                  ,                       ,                      ,                        ,                       ,r1                       ,6               ,                     ,                          ,                     ,              ,1                    ,                        ,3                    ,1                ,                    ,2                   ,                    ,                ,                     ,               ,1                     ,                     ,1                      ,3                      ,                    ,                    ,                      ,                     ,                   ,2                          ,                     ,                        ,21                   ,                     ,                       ,                                  ,                      ,                  ,                      ,                      ,                           ,                      ,                       ,          ,                     ,1                 ,                       ,                ,               ,1                   ,                      ,                  ,                     ,                  ,1                ,                ,                   ,14                  ,                             ,3                 ,                      ,1                 ,2                          ,                 ,                     ,                         ,                ,                        ,                      ,            ,                ,                      ,                  ,                    ,                       ,             ,                        ,                 ,                      ,                  ,                ,                   ,                ,                    ,                  ,                         ,from ODP Legs 127&128 SR Chapter 15 Table 1 p 252-258
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N. koizumii       ,              ,127, 797,B, 11,H, 5,  22.00,     97.6200,White    ,Diatoms                                      ,A              ,M                 ,R                        ,                                              ,F                          ,                           ,R                   ,                  ,                  ,                        ,                   ,                    ,               ,                  ,               ,                  ,                          ,                   ,                       ,F                       ,                     ,                ,                     ,R                     ,                   ,                     ,                ,                      ,                      ,                 ,                  ,                   ,                         ,                           ,                   ,                   ,                     ,                         ,                 ,                     ,                               ,             ,                       ,                     ,                ,               ,                            ,                       ,                           ,                                  ,              ,                      ,                       ,                       ,                       ,                      ,                      ,                      ,                  ,               ,           ,                  ,                     ,                      ,                 ,                       ,                  ,                        ,                  ,                       ,                      ,                        ,                       ,                         ,                ,                     ,                          ,                     ,              ,                     ,                        ,R                    ,                 ,                    ,                    ,                    ,                ,                     ,               ,                      ,                     ,                       ,                       ,                    ,                    ,                      ,                     ,                   ,                           ,                     ,                        ,F                    ,                     ,                       ,                                  ,F                     ,R                 ,                      ,                      ,                           ,                      ,                       ,          ,                     ,                  ,                       ,                ,               ,                    ,                      ,                  ,                     ,R                 ,                 ,                ,                   ,F                   ,                             ,                  ,                      ,                  ,                           ,                 ,                     ,                         ,                ,                        ,                      ,            ,                ,                      ,                  ,                    ,                       ,             ,                        ,                 ,                      ,                  ,                ,                   ,                ,                    ,                  ,                         ,from ODP Legs 127&128 Chapter 20 Table 3 p 348-349
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N. koizumii       ,              ,127, 797,B, 11,H, 6,  22.00,     99.1200,White    ,Diatoms                                      ,F              ,M                 ,                         ,                                              ,                           ,                           ,                    ,                  ,                  ,                        ,                   ,                    ,               ,                  ,               ,                  ,                          ,                   ,                       ,F                       ,                     ,                ,                     ,                      ,                   ,                     ,                ,                      ,                      ,                 ,                  ,                   ,                         ,                           ,                   ,                   ,                     ,                         ,R                ,                     ,                               ,             ,                       ,                     ,                ,               ,                            ,                       ,                           ,                                  ,              ,                      ,                       ,                       ,                       ,                      ,                      ,                      ,                  ,               ,           ,                  ,                     ,                      ,                 ,                       ,                  ,                        ,                  ,                       ,                      ,                        ,                       ,                         ,                ,                     ,                          ,                     ,              ,                     ,R                       ,R                    ,                 ,                    ,                    ,                    ,                ,                     ,               ,                      ,                     ,                       ,                       ,                    ,                    ,                      ,                     ,                   ,                           ,                     ,                        ,R                    ,                     ,                       ,                                  ,F                     ,                  ,                      ,                      ,                           ,                      ,                       ,          ,                     ,                  ,                       ,                ,               ,                    ,                      ,                  ,                     ,R                 ,                 ,                ,                   ,R                   ,                             ,                  ,                      ,                  ,                           ,                 ,                     ,                         ,                ,                        ,                      ,            ,                ,                      ,                  ,                    ,                       ,             ,                        ,                 ,                      ,                  ,                ,                   ,                ,                    ,                  ,                         ,from ODP Legs 127&128 Chapter 20 Table 3 p 348-349
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N. koizumii       ,              ,127, 797,B, 11,H, 7,  22.00,    100.6200,White    ,Diatoms                                      ,R              ,P                 ,                         ,                                              ,                           ,                           ,                    ,                  ,                  ,                        ,                   ,                    ,               ,                  ,               ,                  ,                          ,                   ,                       ,                        ,                     ,                ,                     ,                      ,                   ,                     ,                ,                      ,                      ,                 ,                  ,                   ,                         ,                           ,                   ,                   ,                     ,                         ,                 ,                     ,                               ,             ,                       ,                     ,                ,               ,                            ,                       ,                           ,                                  ,              ,                      ,                       ,                       ,                       ,                      ,                      ,                      ,                  ,               ,           ,                  ,                     ,                      ,                 ,                       ,                  ,                        ,                  ,                       ,                      ,                        ,                       ,                         ,                ,                     ,                          ,                     ,              ,                     ,                        ,                     ,                 ,                    ,                    ,                    ,                ,                     ,               ,                      ,                     ,                       ,                       ,                    ,                    ,                      ,                     ,                   ,                           ,                     ,                        ,                     ,                     ,                       ,                                  ,                      ,R                 ,                      ,                      ,                           ,                      ,                       ,          ,                     ,                  ,                       ,                ,               ,                    ,                      ,                  ,                     ,                  ,                 ,                ,                   ,                    ,                             ,                  ,                      ,                  ,                           ,                 ,                     ,                         ,                ,                        ,                      ,            ,                ,                      ,                  ,                    ,                       ,             ,                        ,                 ,                      ,                  ,                ,                   ,                ,                    ,                  ,                         ,from ODP Legs 127&128 Chapter 20 Table 3 p 348-349
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N. koizumii       ,              ,127, 797,B, 12,H, 1,  22.00,    101.1200,White    ,Diatoms                                      ,F              ,P                 ,R                        ,                                              ,F                          ,                           ,R                   ,                  ,                  ,                        ,R                  ,                    ,               ,                  ,               ,                  ,                          ,                   ,                       ,F                       ,                     ,                ,                     ,                      ,                   ,                     ,                ,                      ,                      ,                 ,                  ,                   ,                         ,                           ,                   ,                   ,                     ,                         ,R                ,                     ,                               ,             ,                       ,                     ,                ,               ,                            ,                       ,                           ,                                  ,              ,                      ,                       ,                       ,                       ,                      ,                      ,                      ,                  ,               ,           ,                  ,R                    ,                      ,                 ,                       ,                  ,                        ,                  ,                       ,                      ,                        ,                       ,                         ,                ,                     ,                          ,                     ,              ,                     ,                        ,                     ,                 ,                    ,                    ,                    ,                ,                     ,               ,                      ,                     ,                       ,                       ,                    ,                    ,                      ,                     ,                   ,                           ,                     ,                        ,F                    ,                     ,                       ,F                                 ,R                     ,R                 ,                      ,                      ,                           ,                      ,                       ,          ,                     ,                  ,                       ,                ,               ,                    ,                      ,                  ,                     ,                  ,                 ,                ,                   ,                    ,                             ,                  ,                      ,                  ,                           ,                 ,                     ,                         ,                ,                        ,                      ,            ,                ,                      ,                  ,                    ,                       ,             ,                        ,                 ,                      ,                  ,                ,                   ,                ,                    ,                  ,                         ,from ODP Legs 127&128 Chapter 20 Table 3 p 348-349
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,N. koiz./N. kamtsch.,              ,127, 797,B, 12,H, 1, 109.00,    101.9900,Koizumi  ,Diatoms                                      ,               ,                  ,8                        ,                                              ,47                         ,                           ,15                  ,                  ,                  ,                        ,1                  ,                    ,6              ,                  ,               ,                  ,                          ,                   ,                       ,49                      ,                     ,75              ,                     ,1                     ,                   ,                     ,                ,                      ,                      ,                 ,                  ,                   ,                         ,                           ,                   ,                   ,                     ,                         ,                 ,                     ,                               ,             ,                       ,1                    ,                ,               ,                            ,                       ,1                          ,                                  ,              ,                      ,                       ,1                      ,                       ,                      ,                      ,                      ,1                 ,               ,           ,                  ,r1                   ,                      ,                 ,                       ,                  ,                        ,                  ,                       ,                      ,                        ,                       ,4                        ,                ,                     ,                          ,                     ,              ,2                    ,                        ,1                    ,                 ,                    ,7                   ,1                   ,                ,                     ,               ,1                     ,1                    ,                       ,4                      ,                    ,                    ,                      ,                     ,                   ,                           ,                     ,                        ,37                   ,                     ,                       ,                                  ,                      ,                  ,                      ,                      ,                           ,                      ,                       ,          ,                     ,                  ,                       ,                ,               ,                    ,                      ,                  ,                     ,1                 ,                 ,                ,                   ,5                   ,1                            ,2                 ,1                     ,                  ,                           ,                 ,                     ,                         ,                ,                        ,                      ,            ,                ,                      ,                  ,                    ,                       ,             ,                        ,                 ,                      ,                  ,                ,                   ,                ,                    ,                  ,                         ,from ODP Legs 127&128 SR Chapter 15 Table 1 p 252-258
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N. koizumii       ,              ,127, 797,B, 12,H, 2,  22.00,    102.6200,White    ,Diatoms                                      ,R              ,M                 ,R                        ,                                              ,F                          ,                           ,F                   ,                  ,                  ,                        ,R                  ,                    ,               ,                  ,               ,                  ,                          ,                   ,                       ,C                       ,                     ,                ,                     ,                      ,                   ,                     ,                ,                      ,                      ,                 ,                  ,                   ,                         ,                           ,                   ,                   ,                     ,                         ,                 ,                     ,                               ,             ,                       ,                     ,                ,               ,                            ,                       ,                           ,                                  ,              ,                      ,                       ,                       ,                       ,                      ,                      ,                      ,                  ,               ,           ,                  ,                     ,                      ,                 ,                       ,                  ,                        ,                  ,                       ,                      ,                        ,                       ,                         ,                ,                     ,                          ,                     ,              ,                     ,                        ,R                    ,                 ,                    ,                    ,                    ,                ,                     ,               ,                      ,                     ,                       ,R                      ,                    ,                    ,                      ,                     ,                   ,                           ,                     ,F                       ,F                    ,                     ,                       ,A                                 ,F                     ,R                 ,                      ,                      ,                           ,                      ,                       ,          ,                     ,                  ,                       ,                ,               ,                    ,                      ,                  ,                     ,R                 ,                 ,                ,                   ,                    ,                             ,                  ,                      ,                  ,                           ,                 ,                     ,                         ,                ,                        ,                      ,            ,                ,                      ,                  ,                    ,                       ,             ,                        ,                 ,                      ,                  ,                ,                   ,                ,                    ,                  ,                         ,from ODP Legs 127&128 Chapter 20 Table 3 p 348-349
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N. koizumii       ,              ,127, 797,B, 12,H, 3,  22.00,    104.1200,White    ,Diatoms                                      ,A              ,M                 ,R                        ,                                              ,F                          ,                           ,                    ,                  ,                  ,                        ,R                  ,                    ,               ,                  ,               ,                  ,                          ,                   ,                       ,C                       ,                     ,                ,                     ,                      ,                   ,                     ,                ,                      ,                      ,                 ,                  ,                   ,                         ,                           ,                   ,                   ,                     ,                         ,                 ,                     ,                               ,             ,                       ,                     ,                ,               ,                            ,                       ,                           ,                                  ,              ,                      ,                       ,                       ,                       ,                      ,                      ,                      ,                  ,               ,           ,                  ,                     ,                      ,                 ,                       ,                  ,                        ,                  ,                       ,                      ,                        ,                       ,                         ,                ,                     ,                          ,                     ,              ,                     ,                        ,                     ,                 ,                    ,                    ,                    ,                ,R                    ,               ,                      ,                     ,                       ,R                      ,                    ,                    ,                      ,                     ,                   ,                           ,                     ,                        ,F                    ,                     ,                       ,F                                 ,F                     ,                  ,                      ,                      ,                           ,                      ,                       ,          ,                     ,                  ,                       ,                ,               ,                    ,                      ,                  ,                     ,R                 ,                 ,                ,                   ,R                   ,                             ,                  ,                      ,                  ,                           ,                 ,                     ,                         ,                ,                        ,                      ,            ,                ,                      ,                  ,                    ,                       ,             ,                        ,                 ,                      ,                  ,                ,                   ,                ,                    ,                  ,                         ,from ODP Legs 127&128 Chapter 20 Table 3 p 348-349
