Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Hedbergella planispira,Hedbergella delrioensis,Globigerinelloides bentonensis,Favusella washitensis,Heterohelix moremani,Heterohelix reussi,Globigerinelloides caseyi,Whiteinella baltica,Heterohelix globulosa,Hastigerinoides watersi,Hedbergella amabilis,Costellagerina libyca,Whiteinella inornata,Dicarinella imbricata,Hastigerinoides subdigitata,Clavihedbergella simplex,Globotruncanita stuarti,Globotruncanella havanensis,Globotruncana esnehensis,Globotruncana arca,Globotruncana aegyptiaca,Contusotruncana fornicata,Archaeoglobigerina cretacea,Rugotruncana subcircumnodifer,Rugoglobigerina rugosa,Pseudoguembelina costulata,Globigerinelloides prairiehillensis,Laeviheterohelix glabrans,Globotruncana linneiana,Archaeoglobigerina blowi,Globotruncana ventricosa,Rugoglobigerina pennyi,Gansserina gansseri,Contusotruncana plummerae,Subbotina velascoensis,Subbotina triloculinoides,Subbotina triangularis,Morozovella velascoensis,Morozovella occlusa,Morozovella apanthesma,Morozovella aequa,Morozovella acuta,Globanomalina pseudomenardii,Chiloguembelina wilcoxensis,Acarinina mckannai,Acarinina nitida,Acarinina soldadoensis,Acarinina coalingensis,Subbotina patagonica,Morozovella subbotinae,Morozovella edgari,Globanomalina planoconica,Pseudohastigerina micra,Planorotalites pseudoscitulus,Acarinina esnaensis,Turborotalia pseudomayeri,Morozovella gracilis,Acarinina wilcoxensis,Subbotina frontosa,Muricoglobigerina senni,Morozovella spinulosa,Morozovella aragonensis,Igorina broedermanni,Acarinina rohri,Acarinina bullbrooki,Turborotalia pomeroli,Globigerinatheka tropicalis,Globigerinatheka mexicana,Acarinina praetopilensis,Turborotalia cerroazulensis,Turborotalia pseudoampliapertura,Turborotalia increbescens,Subbotina linaperta,Subbotina gortanii,Hantkenina alabamensis,Globorotaloides suteri,Globigerina yeguaensis,Globigerina pseudovenezuelana,Catapsydrax unicavus,Catapsydrax dissimilis,Turborotalia ampliapertura,Globigerina euapertura,Dentoglobigerina galavisi,Chiloguembelina cubensis,Comment
  IR,                 ,                 ,                  ,              ,207,1257,B, 22,R,CC,  19.00,    201.2900,forams   ,Planktonic Foraminifers                      ,F              ,G                 ,                      ,P                      ,                              ,                     ,                    ,P                 ,                         ,P                  ,P                    ,                       ,P                   ,P                    ,                    ,                     ,                           ,                        ,                       ,                           ,                        ,                  ,                        ,                         ,                           ,                             ,                      ,                          ,                                   ,                         ,                       ,                        ,                        ,                      ,                   ,                         ,                      ,                         ,                      ,                        ,                   ,                      ,                 ,                 ,                            ,                           ,                  ,                ,                      ,                      ,                    ,                      ,                  ,                         ,                       ,                             ,                   ,                         ,                    ,                     ,                  ,                       ,                     ,                       ,                    ,               ,                    ,                     ,                           ,                         ,                        ,                           ,                                ,                         ,                   ,                  ,                      ,                      ,                      ,                             ,                    ,                      ,                          ,                      ,                         ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1257,B, 23,R, 2,  70.00,    204.6100,forams   ,Planktonic Foraminifers                      ,F              ,P                 ,                      ,P                      ,                              ,                     ,                    ,P                 ,                         ,P                  ,P                    ,P                      ,                    ,                     ,                    ,                     ,                           ,                        ,                       ,                           ,                        ,                  ,                        ,                         ,                           ,                             ,                      ,                          ,                                   ,                         ,                       ,                        ,                        ,                      ,                   ,                         ,                      ,                         ,                      ,                        ,                   ,                      ,                 ,                 ,                            ,                           ,                  ,                ,                      ,                      ,                    ,                      ,                  ,                         ,                       ,                             ,                   ,                         ,                    ,                     ,                  ,                       ,                     ,                       ,                    ,               ,                    ,                     ,                           ,                         ,                        ,                           ,                                ,                         ,                   ,                  ,                      ,                      ,                      ,                             ,                    ,                      ,                          ,                      ,                         ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1257,B, 24,R, 4,  55.00,    212.5100,forams   ,Planktonic Foraminifers                      ,R              ,M                 ,                      ,P                      ,                              ,                     ,                    ,P                 ,P                        ,                   ,                     ,                       ,                    ,                     ,                    ,                     ,                           ,                        ,                       ,                           ,                        ,                  ,                        ,                         ,                           ,                             ,                      ,                          ,                                   ,                         ,                       ,                        ,                        ,                      ,                   ,                         ,                      ,                         ,                      ,                        ,                   ,                      ,                 ,                 ,                            ,                           ,                  ,                ,                      ,                      ,                    ,                      ,                  ,                         ,                       ,                             ,                   ,                         ,                    ,                     ,                  ,                       ,                     ,                       ,                    ,               ,                    ,                     ,                           ,                         ,                        ,                           ,                                ,                         ,                   ,                  ,                      ,                      ,                      ,                             ,                    ,                      ,                          ,                      ,                         ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1257,B, 25,R, 1, 149.00,    214.0900,forams   ,Planktonic Foraminifers                      ,R              ,P                 ,                      ,P                      ,                              ,                     ,P                   ,                  ,                         ,                   ,                     ,                       ,                    ,                     ,                    ,                     ,                           ,                        ,                       ,                           ,                        ,                  ,                        ,                         ,                           ,                             ,                      ,                          ,                                   ,                         ,                       ,                        ,                        ,                      ,                   ,                         ,                      ,                         ,                      ,                        ,                   ,                      ,                 ,                 ,                            ,                           ,                  ,                ,                      ,                      ,                    ,                      ,                  ,                         ,                       ,                             ,                   ,                         ,                    ,                     ,                  ,                       ,                     ,                       ,                    ,               ,                    ,                     ,                           ,                         ,                        ,                           ,                                ,                         ,                   ,                  ,                      ,                      ,                      ,                             ,                    ,                      ,                          ,                      ,                         ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1257,B, 27,R,CC,  20.00,    226.9200,forams   ,Planktonic Foraminifers                      ,R              ,P                 ,P                     ,P                      ,P                             ,P                    ,                    ,                  ,                         ,                   ,                     ,                       ,                    ,                     ,                    ,                     ,                           ,                        ,                       ,                           ,                        ,                  ,                        ,                         ,                           ,                             ,                      ,                          ,                                   ,                         ,                       ,                        ,                        ,                      ,                   ,                         ,                      ,                         ,                      ,                        ,                   ,                      ,                 ,                 ,                            ,                           ,                  ,                ,                      ,                      ,                    ,                      ,                  ,                         ,                       ,                             ,                   ,                         ,                    ,                     ,                  ,                       ,                     ,                       ,                    ,               ,                    ,                     ,                           ,                         ,                        ,                           ,                                ,                         ,                   ,                  ,                      ,                      ,                      ,                             ,                    ,                      ,                          ,                      ,                         ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
