Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Velicucullus sp.,Stylotrochus nitidus,Stylosphaera spinulosa,Stylosphaera minor,Stylosphaera coronata,Stylatractus sp.,Spongomelissa cucumella,Spongodiscus cruciferus,Siphocampe pachyderma,Siphocampe imbricata,Periphaena heliasteriscus,Lychnocanoma tripodium,Lophophaenoma radians,Lophocyrtis jacchia,Lophocyrtis dumitricai,Hexalonche sp.,Dictyoprora amphora,Cornutella sp.,Clathrocyclas aurelia,Cenosphaera oceanica,Axoprunum sp.,Axoprunum pierinae,Artobotrys auriculaleporis,Anthocyrtella mespilus,Amphymenium splendiarmatum,Amphicraspedum prolixum,Stylodictya targaeformis,Spongodiscus rhabdostylus,Spongodiscus americanus,Siphocampe(?) quadrata,Lychnocanoma bellum,Lychnocanoma babylonis,Lithapium sp.,Eurystomoskevos petrushevskayaae,Ceratocyrtis sp.,Carposphaera subbotinae,Lychnocanoma sp.,Periphaena decora,Lychnocanoma amphitrite,Amphipternis clava,Tripilidium clavipes,Stylodictya tainemplekta,Rhabdolithis pipa,Pterocorys (all generic taxa),Artobotrys biaurita,Heliostylus sp.,Dorcadospyris argisca,Dictyophimus pocillum,Anthocyrtella spatiosa,Stylodictya hastata,Botryostrobus joides,Botryopera sp.,Pseudodictyophimus galeatus,Dictyophimus(?) callosus,Calocyclas semipolita,Dictyophimus(?) archipilium,Lophocyrtis longiventer,Thyrsocyrtis bromia,Mitrocalpis sp.,Lithomelissa haeckeli,Eucyrtidium sp. aff. Eucyrtidium montiparum,Clathrocyclas universa nova,Astrophacus inca,Amphisphaera sp.,Actinomma kerguelenensis,Theocorys sp.,Lithomelissa ehrenbergi,Ceratocyrtis histricosa,Botryostrobus kerguelensis,Spongomelissa sp.,Pteropilium contiguum,Prunopyle trypopyrena,Prunopyle frakesi,Lithomelissa robusta,Botryostrobus rednosus,Rhizosphaera antarctica,Prunopyle polyacantha,Prunopyle hayesi,Lithomelissa sphaerocephalis,Lithelius aff. Lithelius formanae,Calocyclas asperum,Perichlamydium praetextum,Cymaetron sinolampas,Cycladophora cabrilloensis subhumerus,Eucyrtidium antiquum,Lithomelissa dupliphysa,Cycladophora conica,Ceratocyrtis mashae,Prunopyle monikae,Archipilium sp.,Theocyrtis diabloensis,Eucyrtidium (?) mariae,Ceratocyrtis stigi,Artophormis sp.,Stylosphaera hispida,Stylodictya ocellata,Lithomelissa cheni,Lithomelissa challengerae,Dictyoprora physothorax,Antarctissa sp.,Eucyrtidium teuscheri,Cycladophora campanula,Comment
  SR,Middle Eocene    ,                 ,                  ,              ,119, 738,B, 17,X, 2,  53.00,    139.2300,Caulet   ,Radiolarians                                 ,A              ,G                 ,                ,                    ,                      ,C                 ,C                    ,C               ,R                      ,R                      ,R                    ,T                   ,R                        ,                      ,                     ,                   ,C                     ,T             ,                   ,              ,                     ,C                   ,F            ,                  ,A                         ,                      ,R                         ,                       ,                        ,                         ,                       ,                      ,                   ,T                     ,             ,T                               ,T               ,                       ,R               ,C                ,A                      ,                  ,R                   ,T                       ,                 ,R                            ,T                  ,R              ,C                    ,                     ,C                     ,                   ,T                   ,              ,R                          ,T                       ,R                    ,                           ,                       ,                   ,               ,                     ,                                           ,                           ,                ,                ,                        ,             ,                       ,                       ,                          ,                 ,                     ,                     ,                 ,                    ,                      ,                       ,                     ,                ,                            ,                                 ,                  ,                         ,                    ,                                     ,                    ,                       ,                   ,                   ,                 ,               ,                      ,                      ,                  ,               ,                    ,                    ,                  ,                         ,                       ,               ,                     ,                      ,from 119 SR Chapter 28 Table 3 pages 520-521.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,                  ,              ,119, 738,B, 17,X, 3,  53.00,    140.7300,Caulet   ,Radiolarians                                 ,A              ,M                 ,                ,                    ,                      ,C                 ,R                    ,C               ,F                      ,                       ,T                    ,R                   ,T                        ,                      ,                     ,                   ,R                     ,R             ,                   ,              ,                     ,C                   ,             ,R                 ,A                         ,                      ,T                         ,                       ,T                       ,                         ,                       ,                      ,                   ,C                     ,             ,R                               ,                ,                       ,R               ,C                ,A                      ,                  ,F                   ,T                       ,                 ,                             ,T                  ,R              ,R                    ,                     ,C                     ,                   ,T                   ,T             ,                           ,                        ,                     ,                           ,                       ,                   ,               ,                     ,                                           ,                           ,                ,                ,                        ,             ,                       ,                       ,                          ,                 ,                     ,                     ,                 ,                    ,                      ,                       ,                     ,                ,                            ,                                 ,                  ,                         ,                    ,                                     ,                    ,                       ,                   ,                   ,                 ,               ,                      ,                      ,                  ,               ,                    ,                    ,                  ,                         ,                       ,               ,                     ,                      ,from 119 SR Chapter 28 Table 3 pages 520-521.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,                  ,              ,119, 738,B, 17,X, 4,  53.00,    142.2300,Caulet   ,Radiolarians                                 ,R              ,M                 ,                ,                    ,                      ,C                 ,R                    ,                ,R                      ,                       ,                     ,                    ,                         ,                      ,                     ,                   ,T                     ,R             ,                   ,              ,                     ,R                   ,             ,                  ,C                         ,                      ,                          ,                       ,                        ,                         ,                       ,                      ,R                  ,R                     ,             ,                                ,T               ,                       ,                ,                 ,R                      ,                  ,R                   ,T                       ,                 ,                             ,                   ,               ,                     ,                     ,                      ,T                  ,T                   ,              ,                           ,                        ,                     ,                           ,                       ,                   ,               ,                     ,                                           ,                           ,                ,                ,                        ,             ,                       ,                       ,                          ,                 ,                     ,                     ,                 ,                    ,                      ,                       ,                     ,                ,                            ,                                 ,                  ,                         ,                    ,                                     ,                    ,                       ,                   ,                   ,                 ,               ,                      ,                      ,                  ,               ,                    ,                    ,                  ,                         ,                       ,               ,                     ,                      ,from 119 SR Chapter 28 Table 3 pages 520-521.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,                  ,              ,119, 738,B, 17,X, 5,  39.00,    143.5900,Caulet   ,Radiolarians                                 ,A              ,G                 ,                ,                    ,R                     ,C                 ,F                    ,C               ,                       ,                       ,T                    ,                    ,R                        ,                      ,                     ,                   ,R                     ,              ,                   ,              ,R                    ,R                   ,R            ,R                 ,A                         ,                      ,R                         ,                       ,                        ,                         ,                       ,                      ,R                  ,R                     ,             ,                                ,T               ,                       ,                ,C                ,F                      ,                  ,R                   ,T                       ,                 ,                             ,                   ,F              ,R                    ,                     ,R                     ,                   ,                    ,              ,                           ,                        ,                     ,                           ,                       ,                   ,               ,                     ,                                           ,                           ,                ,                ,                        ,             ,                       ,                       ,                          ,                 ,                     ,                     ,                 ,                    ,                      ,                       ,                     ,                ,                            ,                                 ,                  ,                         ,                    ,                                     ,                    ,                       ,                   ,                   ,                 ,               ,                      ,                      ,                  ,               ,                    ,                    ,                  ,                         ,                       ,               ,                     ,                      ,from 119 SR Chapter 28 Table 3 pages 520-521.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,                  ,              ,119, 738,B, 18,X, 1,  52.00,    147.3200,Caulet   ,Radiolarians                                 ,A              ,G                 ,                ,                    ,A                     ,C                 ,                     ,A               ,R                      ,                       ,                     ,R                   ,                         ,                      ,                     ,                   ,F                     ,              ,R                  ,              ,R                    ,C                   ,             ,R                 ,A                         ,                      ,R                         ,                       ,R                       ,                         ,                       ,                      ,                   ,C                     ,             ,                                ,T               ,                       ,C               ,R                ,A                      ,                  ,                    ,R                       ,                 ,                             ,R                  ,F              ,                     ,                     ,                      ,                   ,                    ,              ,                           ,                        ,                     ,                           ,                       ,                   ,               ,                     ,                                           ,                           ,                ,                ,                        ,             ,                       ,                       ,                          ,                 ,                     ,                     ,                 ,                    ,                      ,                       ,                     ,                ,                            ,                                 ,                  ,                         ,                    ,                                     ,                    ,                       ,                   ,                   ,                 ,               ,                      ,                      ,                  ,               ,                    ,                    ,                  ,                         ,                       ,               ,                     ,                      ,from 119 SR Chapter 28 Table 3 pages 520-521.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,                  ,              ,119, 738,B, 18,X, 2,  52.00,    148.8200,Caulet   ,Radiolarians                                 ,A              ,G                 ,                ,                    ,A                     ,C                 ,R                    ,C               ,R                      ,                       ,R                    ,R                   ,T                        ,                      ,                     ,                   ,F                     ,              ,T                  ,              ,R                    ,C                   ,             ,F                 ,A                         ,                      ,C                         ,                       ,                        ,                         ,                       ,                      ,                   ,C                     ,             ,R                               ,T               ,                       ,C               ,C                ,A                      ,                  ,T                   ,                        ,                 ,                             ,R                  ,F              ,T                    ,T                    ,                      ,                   ,                    ,              ,                           ,                        ,                     ,                           ,                       ,                   ,               ,                     ,                                           ,                           ,                ,                ,                        ,             ,                       ,                       ,                          ,                 ,                     ,                     ,                 ,                    ,                      ,                       ,                     ,                ,                            ,                                 ,                  ,                         ,                    ,                                     ,                    ,                       ,                   ,                   ,                 ,               ,                      ,                      ,                  ,               ,                    ,                    ,                  ,                         ,                       ,               ,                     ,                      ,from 119 SR Chapter 28 Table 3 pages 520-521.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,                  ,              ,119, 738,B, 18,X, 3,  52.00,    150.3200,Caulet   ,Radiolarians                                 ,A              ,G                 ,                ,                    ,R                     ,C                 ,R                    ,                ,R                      ,                       ,R                    ,C                   ,T                        ,                      ,T                    ,                   ,R                     ,              ,T                  ,              ,R                    ,R                   ,T            ,R                 ,C                         ,                      ,C                         ,                       ,                        ,                         ,                       ,                      ,R                  ,C                     ,T            ,R                               ,                ,                       ,A               ,R                ,C                      ,T                 ,F                   ,T                       ,T                ,T                            ,R                  ,               ,                     ,                     ,                      ,                   ,                    ,              ,                           ,                        ,                     ,                           ,                       ,                   ,               ,                     ,                                           ,                           ,                ,                ,                        ,             ,                       ,                       ,                          ,                 ,                     ,                     ,                 ,                    ,                      ,                       ,                     ,                ,                            ,                                 ,                  ,                         ,                    ,                                     ,                    ,                       ,                   ,                   ,                 ,               ,                      ,                      ,                  ,               ,                    ,                    ,                  ,                         ,                       ,               ,                     ,                      ,from 119 SR Chapter 28 Table 3 pages 520-521.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,                  ,              ,119, 738,B, 18,X, 4,  52.00,    151.8200,Caulet   ,Radiolarians                                 ,R              ,P                 ,                ,                    ,                      ,                  ,T                    ,T               ,                       ,                       ,                     ,                    ,                         ,                      ,                     ,                   ,                      ,              ,                   ,              ,                     ,                    ,             ,                  ,T                         ,                      ,                          ,                       ,                        ,                         ,                       ,                      ,                   ,                      ,             ,                                ,                ,                       ,                ,                 ,T                      ,                  ,                    ,                        ,                 ,                             ,                   ,               ,                     ,                     ,                      ,                   ,                    ,              ,                           ,                        ,                     ,                           ,                       ,                   ,               ,                     ,                                           ,                           ,                ,                ,                        ,             ,                       ,                       ,                          ,                 ,                     ,                     ,                 ,                    ,                      ,                       ,                     ,                ,                            ,                                 ,                  ,                         ,                    ,                                     ,                    ,                       ,                   ,                   ,                 ,               ,                      ,                      ,                  ,               ,                    ,                    ,                  ,                         ,                       ,               ,                     ,                      ,from 119 SR Chapter 28 Table 3 pages 520-521.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,                  ,              ,119, 738,B, 22,X, 1,  53.00,    185.9300,Caulet   ,Radiolarians                                 ,R              ,P                 ,                ,                    ,                      ,                  ,R                    ,                ,T                      ,                       ,                     ,                    ,                         ,                      ,                     ,                   ,                      ,              ,                   ,              ,R                    ,                    ,R            ,T                 ,F                         ,                      ,                          ,                       ,                        ,                         ,                       ,                      ,                   ,                      ,             ,                                ,T               ,                       ,                ,T                ,F                      ,T                 ,                    ,                        ,                 ,                             ,                   ,               ,                     ,                     ,                      ,                   ,                    ,              ,                           ,                        ,                     ,                           ,                       ,                   ,               ,                     ,                                           ,                           ,                ,                ,                        ,             ,                       ,                       ,                          ,                 ,                     ,                     ,                 ,                    ,                      ,                       ,                     ,                ,                            ,                                 ,                  ,                         ,                    ,                                     ,                    ,                       ,                   ,                   ,                 ,               ,                      ,                      ,                  ,               ,                    ,                    ,                  ,                         ,                       ,               ,                     ,                      ,from 119 SR Chapter 28 Table 3 pages 520-521.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,                  ,              ,119, 738,B, 22,X, 2,  53.00,    187.4300,Caulet   ,Radiolarians                                 ,C              ,M                 ,T               ,                    ,                      ,F                 ,C                    ,                ,R                      ,                       ,T                    ,T                   ,                         ,                      ,                     ,                   ,R                     ,              ,                   ,T             ,R                    ,T                   ,R            ,C                 ,C                         ,                      ,                          ,F                      ,                        ,                         ,                       ,                      ,                   ,                      ,             ,T                               ,                ,                       ,                ,                 ,                       ,                  ,                    ,                        ,                 ,                             ,                   ,               ,                     ,                     ,                      ,                   ,                    ,              ,                           ,                        ,                     ,                           ,                       ,                   ,               ,                     ,                                           ,                           ,                ,                ,                        ,             ,                       ,                       ,                          ,                 ,                     ,                     ,                 ,                    ,                      ,                       ,                     ,                ,                            ,                                 ,                  ,                         ,                    ,                                     ,                    ,                       ,                   ,                   ,                 ,               ,                      ,                      ,                  ,               ,                    ,                    ,                  ,                         ,                       ,               ,                     ,                      ,from 119 SR Chapter 28 Table 3 pages 520-521.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,                  ,              ,119, 738,B, 22,X, 3,  53.00,    188.9300,Caulet   ,Radiolarians                                 ,F              ,M                 ,                ,                    ,                      ,R                 ,R                    ,                ,F                      ,                       ,T                    ,T                   ,                         ,                      ,                     ,                   ,R                     ,              ,                   ,R             ,R                    ,                    ,T            ,F                 ,C                         ,                      ,                          ,R                      ,                        ,                         ,                       ,                      ,R                  ,R                     ,             ,T                               ,                ,                       ,R               ,                 ,                       ,                  ,                    ,                        ,                 ,                             ,                   ,               ,                     ,                     ,                      ,                   ,                    ,              ,                           ,                        ,                     ,                           ,                       ,                   ,               ,                     ,                                           ,                           ,                ,                ,                        ,             ,                       ,                       ,                          ,                 ,                     ,                     ,                 ,                    ,                      ,                       ,                     ,                ,                            ,                                 ,                  ,                         ,                    ,                                     ,                    ,                       ,                   ,                   ,                 ,               ,                      ,                      ,                  ,               ,                    ,                    ,                  ,                         ,                       ,               ,                     ,                      ,from 119 SR Chapter 28 Table 3 pages 520-521.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,                  ,              ,119, 738,B, 22,X, 4,  53.00,    190.4300,Caulet   ,Radiolarians                                 ,A              ,G                 ,C               ,T                   ,                      ,R                 ,C                    ,R               ,C                      ,A                      ,C                    ,R                   ,R                        ,                      ,                     ,                   ,T                     ,R             ,R                  ,R             ,C                    ,C                   ,C            ,C                 ,A                         ,                      ,T                         ,A                      ,T                       ,R                        ,R                      ,T                     ,R                  ,R                     ,T            ,T                               ,R               ,T                      ,                ,                 ,                       ,                  ,                    ,                        ,                 ,                             ,                   ,               ,                     ,                     ,                      ,                   ,                    ,              ,                           ,                        ,                     ,                           ,                       ,                   ,               ,                     ,                                           ,                           ,                ,                ,                        ,             ,                       ,                       ,                          ,                 ,                     ,                     ,                 ,                    ,                      ,                       ,                     ,                ,                            ,                                 ,                  ,                         ,                    ,                                     ,                    ,                       ,                   ,                   ,                 ,               ,                      ,                      ,                  ,               ,                    ,                    ,                  ,                         ,                       ,               ,                     ,                      ,from 119 SR Chapter 28 Table 3 pages 520-521.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,                  ,              ,119, 738,B, 23,X, 1,  53.00,    195.5300,Caulet   ,Radiolarians                                 ,A              ,G                 ,C               ,T                   ,R                     ,R                 ,C                    ,T               ,C                      ,R                      ,T                    ,T                   ,R                        ,C                     ,T                    ,F                  ,R                     ,T             ,A                  ,T             ,C                    ,C                   ,F            ,C                 ,C                         ,F                     ,T                         ,C                      ,                        ,                         ,                       ,                      ,                   ,                      ,             ,                                ,                ,                       ,                ,                 ,                       ,                  ,                    ,                        ,                 ,                             ,                   ,               ,                     ,                     ,                      ,                   ,                    ,              ,                           ,                        ,                     ,                           ,                       ,                   ,               ,                     ,                                           ,                           ,                ,                ,                        ,             ,                       ,                       ,                          ,                 ,                     ,                     ,                 ,                    ,                      ,                       ,                     ,                ,                            ,                                 ,                  ,                         ,                    ,                                     ,                    ,                       ,                   ,                   ,                 ,               ,                      ,                      ,                  ,               ,                    ,                    ,                  ,                         ,                       ,               ,                     ,                      ,from 119 SR Chapter 28 Table 3 pages 520-521.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
