Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Uvigerina spp.,Unilocular species,Tosaia hanzawai,Siphotextularia catenata,Pullenia zaandamae,Pullenia sp.,Pullenia osloensis,Pleurostomella sp.,Oridorsalis umbonatus,Oridorsalis tenera,Nuttallides umbonifera,Nonionella sp.,Miliolid taxa,Melonis pompilioides,Melonis barleeanus,Ioanella tumidula,Gyroidinoides lamarckianus,Gyroidina umbonata,Gyroidina spp.,Globocassidulina subglobosa,Epistominella sp. A,Epistominella exigua,Cibicidoides wuellerstorfi,Cibicidoides mundulus,Alabaminella weddellensis,Sphaeroidina bulloides,Schackoinella sp.,Ehrenbergina sp.,Cibicides  bradyi,Cassidulina spp.,Bolivina pacifica,Pyrgo sp.,Pullenia quinqueloba,Pyrgo murrhina,Laticarinina pauperata,Gyroidinoides neosoldanii,Gyroidina regularis,Discorbinella bertheloti,Astrononion echolsi,Cibicidoides kullenbergi,Miliolid taxa (thin-walled),Gyroidina orbicularis,Bulimina sp. A,Bolivina spp.,Abditodentrix pseudothalmanni,Anomalinoides globulosus,Stainforthia fusiformis,Planulina sp.,Uvigerina hispida,Bulimina alazanensis,Pullenia bulloides,Uvigerina peregrina,Pseudoparrella sp.,Cibicidoides sp.,Cibicidoides robertsonianus,Chilostomella oolina,Cibicides lobatulus,Comment
  SR,                 ,                 ,                  ,              ,154, 928,A,  5,H, 3,  60.00,     40.5800,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,12                ,4              ,9                       ,1                 ,4           ,2                 ,                  ,15                   ,8                 ,9                     ,              ,             ,4                   ,                  ,7                ,10                        ,                  ,              ,21                         ,3                  ,31                  ,5                         ,4                    ,36                       ,                      ,                 ,                ,                 ,3               ,                 ,5        ,18                  ,              ,                      ,                         ,                   ,                        ,3                  ,8                       ,                           ,                     ,2             ,             ,                             ,                        ,                       ,             ,4                ,                    ,                  ,                   ,                  ,                ,                           ,                    ,                   ,other taxa = 9; total count = 237; from Leg 154SR Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 928,A,  5,H, 4,  60.00,     42.0700,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,7                 ,2              ,                        ,1                 ,1           ,9                 ,                  ,13                   ,15                ,50                    ,              ,1            ,                    ,1                 ,3                ,1                         ,1                 ,              ,18                         ,7                  ,19                  ,4                         ,9                    ,20                       ,                      ,3                ,                ,                 ,                ,                 ,         ,1                   ,1             ,                      ,                         ,                   ,                        ,2                  ,4                       ,                           ,                     ,4             ,1            ,                             ,                        ,2                      ,             ,                 ,                    ,                  ,                   ,                  ,                ,                           ,                    ,                   ,other taxa = 5; total count = 218; from Leg 154SR Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 928,A,  5,H, 5,  60.00,     43.5600,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,13                ,6              ,3                       ,                  ,2           ,10                ,                  ,14                   ,4                 ,28                    ,              ,1            ,1                   ,1                 ,11               ,6                         ,                  ,              ,10                         ,5                  ,45                  ,                          ,15                   ,51                       ,                      ,2                ,                ,3                ,2               ,                 ,         ,6                   ,6             ,                      ,4                        ,                   ,                        ,1                  ,4                       ,                           ,3                    ,3             ,             ,                             ,                        ,                       ,             ,                 ,                    ,                  ,1                  ,                  ,                ,                           ,                    ,                   ,other taxa = 7; total count = 269; from Leg 154SR Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 928,A,  5,H, 6,  60.00,     45.0500,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,2             ,4                 ,               ,3                       ,2                 ,4           ,7                 ,                  ,3                    ,                  ,95                    ,              ,             ,1                   ,                  ,9                ,11                        ,                  ,              ,17                         ,2                  ,12                  ,3                         ,7                    ,29                       ,                      ,                 ,                ,                 ,                ,                 ,         ,4                   ,              ,                      ,                         ,                   ,                        ,                   ,                        ,                           ,                     ,2             ,             ,                             ,                        ,                       ,             ,                 ,                    ,                  ,                   ,                  ,                ,                           ,                    ,                   ,other taxa = 9; total count = 228; from Leg 154SR Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 928,A,  5,H, 7,  60.00,     46.5400,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,11                ,2              ,1                       ,                  ,3           ,8                 ,                  ,14                   ,6                 ,9                     ,              ,2            ,1                   ,                  ,10               ,14                        ,                  ,              ,40                         ,5                  ,19                  ,2                         ,9                    ,53                       ,                      ,                 ,                ,                 ,1               ,                 ,3        ,5                   ,3             ,                      ,                         ,                   ,                        ,1                  ,                        ,                           ,                     ,5             ,             ,                             ,                        ,                       ,             ,                 ,                    ,                  ,                   ,                  ,                ,                           ,                    ,                   ,other taxa = 2; total count = 231; from Leg 154SR Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 928,A,  6,H, 1,  60.00,     47.1000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,16                ,4              ,                        ,                  ,1           ,6                 ,                  ,5                    ,                  ,56                    ,              ,4            ,                    ,1                 ,11               ,2                         ,                  ,              ,26                         ,2                  ,22                  ,1                         ,9                    ,22                       ,                      ,4                ,                ,                 ,2               ,                 ,         ,2                   ,1             ,                      ,2                        ,                   ,                        ,                   ,6                       ,                           ,1                    ,5             ,             ,1                            ,                        ,1                      ,             ,                 ,1                   ,                  ,                   ,                  ,                ,1                          ,                    ,                   ,other taxa = 2; total count = 235; from Leg 154SR Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 928,A,  6,H, 2,  60.00,     48.5900,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,5             ,18                ,3              ,5                       ,1                 ,1           ,4                 ,                  ,8                    ,3                 ,23                    ,              ,1            ,                    ,1                 ,12               ,13                        ,                  ,              ,20                         ,3                  ,11                  ,2                         ,8                    ,30                       ,                      ,2                ,                ,1                ,1               ,                 ,2        ,3                   ,              ,                      ,2                        ,                   ,                        ,                   ,5                       ,                           ,                     ,6             ,             ,                             ,                        ,                       ,             ,                 ,                    ,1                 ,                   ,1                 ,0               ,                           ,                    ,                   ,other taxa = 9; total count = 217; from Leg 154SR Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 928,A,  6,H, 3,  60.00,     50.0800,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,2             ,9                 ,6              ,1                       ,                  ,5           ,8                 ,                  ,23                   ,10                ,2                     ,              ,3            ,                    ,                  ,4                ,10                        ,                  ,2             ,12                         ,1                  ,41                  ,3                         ,12                   ,78                       ,                      ,1                ,                ,                 ,                ,                 ,1        ,8                   ,2             ,                      ,                         ,                   ,                        ,                   ,                        ,                           ,                     ,5             ,4            ,                             ,                        ,2                      ,             ,                 ,                    ,                  ,                   ,                  ,                ,                           ,                    ,                   ,other taxa = 10; total count = 278; from Leg 154SR Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 928,A,  6,H, 4,  60.00,     51.5700,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,9                 ,4              ,                        ,1                 ,1           ,3                 ,                  ,13                   ,                  ,21                    ,              ,4            ,                    ,                  ,6                ,11                        ,                  ,              ,37                         ,                   ,22                  ,2                         ,10                   ,44                       ,                      ,                 ,                ,                 ,                ,                 ,         ,4                   ,              ,                      ,                         ,                   ,                        ,                   ,                        ,                           ,                     ,1             ,             ,                             ,                        ,1                      ,             ,                 ,                    ,2                 ,                   ,                  ,                ,                           ,                    ,                   ,other taxa = 7; total count = 208; from Leg 154SR Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 928,A,  6,H, 5,  60.00,     53.0600,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,14                ,3              ,4                       ,1                 ,4           ,7                 ,1                 ,16                   ,3                 ,21                    ,              ,3            ,1                   ,2                 ,10               ,15                        ,                  ,5             ,20                         ,3                  ,14                  ,2                         ,2                    ,52                       ,1                     ,                 ,                ,1                ,4               ,                 ,2        ,11                  ,              ,                      ,                         ,                   ,                        ,4                  ,                        ,                           ,2                    ,1             ,1            ,                             ,                        ,1                      ,             ,                 ,                    ,                  ,1                  ,                  ,                ,                           ,                    ,                   ,other taxa = 7; total count = 273; from Leg 154SR Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 928,A,  6,H, 6,  60.00,     54.5500,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,6                 ,3              ,5                       ,                  ,            ,5                 ,                  ,9                    ,4                 ,13                    ,              ,2            ,1                   ,                  ,11               ,5                         ,3                 ,              ,26                         ,2                  ,14                  ,2                         ,13                   ,59                       ,                      ,1                ,                ,                 ,2               ,1                ,         ,14                  ,1             ,                      ,                         ,                   ,                        ,                   ,                        ,                           ,                     ,              ,             ,                             ,                        ,                       ,             ,                 ,                    ,                  ,                   ,                  ,                ,                           ,                    ,                   ,other taxa = 7; total count = 209; from Leg 154SR Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 928,A,  6,H, 7,  30.00,     55.7400,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,1             ,11                ,6              ,6                       ,                  ,2           ,3                 ,                  ,21                   ,4                 ,18                    ,              ,5            ,                    ,                  ,11               ,7                         ,1                 ,              ,58                         ,3                  ,8                   ,9                         ,8                    ,76                       ,                      ,                 ,                ,1                ,6               ,                 ,         ,4                   ,2             ,                      ,1                        ,4                  ,                        ,                   ,                        ,                           ,2                    ,15            ,             ,                             ,                        ,2                      ,             ,                 ,                    ,                  ,                   ,                  ,                ,                           ,                    ,                   ,other taxa = 5; total count = 311; from Leg 154SR Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 928,A,  7,H, 1,  60.00,     56.6000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,13                ,               ,5                       ,3                 ,2           ,10                ,                  ,10                   ,3                 ,30                    ,              ,2            ,                    ,2                 ,14               ,7                         ,5                 ,              ,27                         ,3                  ,19                  ,9                         ,15                   ,12                       ,                      ,                 ,                ,                 ,4               ,                 ,         ,                    ,              ,2                     ,3                        ,                   ,                        ,2                  ,7                       ,                           ,                     ,7             ,             ,1                            ,                        ,                       ,             ,3                ,                    ,                  ,                   ,                  ,                ,                           ,                    ,                   ,other taxa = 2; total count = 233; from Leg 154SR Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 928,A,  7,H, 2,  60.00,     58.0900,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,13                ,4              ,1                       ,                  ,1           ,11                ,4                 ,10                   ,3                 ,20                    ,1             ,3            ,                    ,1                 ,19               ,5                         ,1                 ,              ,21                         ,19                 ,8                   ,4                         ,5                    ,37                       ,                      ,                 ,                ,                 ,2               ,                 ,         ,4                   ,              ,                      ,2                        ,3                  ,                        ,1                  ,3                       ,                           ,2                    ,4             ,             ,                             ,                        ,1                      ,             ,                 ,                    ,2                 ,3                  ,                  ,                ,                           ,                    ,                   ,other taxa = 6; total count = 244; from Leg 154SR Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 928,A,  7,H, 3,  60.00,     59.5800,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,5                 ,1              ,                        ,5                 ,1           ,4                 ,                  ,11                   ,3                 ,25                    ,              ,             ,                    ,                  ,7                ,9                         ,                  ,              ,25                         ,11                 ,12                  ,                          ,16                   ,47                       ,                      ,                 ,                ,                 ,2               ,                 ,         ,13                  ,              ,                      ,3                        ,                   ,                        ,1                  ,                        ,                           ,1                    ,              ,             ,                             ,                        ,1                      ,             ,                 ,                    ,                  ,                   ,                  ,                ,                           ,                    ,                   ,other taxa = 5; total count = 208; from Leg 154SR Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 928,A,  7,H, 4,  60.00,     61.0700,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,14                ,4              ,2                       ,                  ,            ,2                 ,4                 ,12                   ,4                 ,26                    ,1             ,3            ,                    ,2                 ,7                ,8                         ,3                 ,              ,36                         ,11                 ,37                  ,5                         ,                     ,36                       ,                      ,                 ,                ,                 ,3               ,                 ,         ,                    ,1             ,1                     ,1                        ,3                  ,                        ,1                  ,                        ,                           ,1                    ,2             ,             ,                             ,                        ,1                      ,             ,                 ,                    ,1                 ,                   ,                  ,                ,                           ,                    ,                   ,other taxa = 7; total count = 240; from Leg 154SR Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 928,A,  7,H, 5,  60.00,     62.5600,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,11                ,1              ,4                       ,                  ,1           ,5                 ,1                 ,8                    ,4                 ,6                     ,              ,3            ,1                   ,                  ,4                ,9                         ,1                 ,              ,40                         ,5                  ,16                  ,1                         ,12                   ,65                       ,                      ,                 ,                ,                 ,3               ,                 ,         ,6                   ,              ,                      ,2                        ,                   ,                        ,                   ,                        ,                           ,3                    ,              ,             ,                             ,                        ,1                      ,             ,                 ,                    ,                  ,                   ,                  ,                ,                           ,                    ,                   ,other taxa = 8; total count = 221; from Leg 154SR Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 928,A,  7,H, 6,  60.00,     64.0500,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,7                 ,               ,                        ,                  ,1           ,7                 ,                  ,1                    ,4                 ,26                    ,              ,4            ,                    ,                  ,12               ,4                         ,                  ,              ,22                         ,3                  ,27                  ,4                         ,8                    ,52                       ,                      ,                 ,                ,                 ,4               ,                 ,         ,3                   ,              ,                      ,4                        ,                   ,                        ,                   ,1                       ,                           ,3                    ,1             ,             ,                             ,                        ,                       ,             ,                 ,                    ,                  ,                   ,                  ,                ,                           ,                    ,                   ,other taxa = 4; total count = 383; from Leg 154SR Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 928,A,  7,H, 7,  30.00,     65.2400,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,23                ,3              ,1                       ,                  ,1           ,3                 ,2                 ,10                   ,2                 ,12                    ,              ,3            ,                    ,2                 ,8                ,8                         ,                  ,              ,31                         ,5                  ,14                  ,2                         ,10                   ,52                       ,                      ,1                ,                ,                 ,4               ,                 ,         ,10                  ,              ,                      ,                         ,                   ,                        ,3                  ,3                       ,                           ,                     ,1             ,1            ,                             ,                        ,1                      ,             ,                 ,                    ,                  ,                   ,                  ,                ,                           ,                    ,                   ,other taxa = 1; total count = 222; from Leg 154SR Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 928,A,  8,H, 3,  60.00,     69.0800,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,20                ,1              ,1                       ,1                 ,            ,                  ,1                 ,7                    ,4                 ,16                    ,              ,4            ,                    ,3                 ,4                ,4                         ,1                 ,              ,29                         ,1                  ,9                   ,1                         ,9                    ,58                       ,                      ,1                ,                ,                 ,6               ,                 ,         ,1                   ,              ,                      ,                         ,                   ,                        ,4                  ,3                       ,                           ,1                    ,12            ,             ,                             ,                        ,                       ,             ,                 ,                    ,1                 ,                   ,                  ,                ,                           ,                    ,                   ,other taxa = 5; total count = 210; from Leg 154SR Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 928,A,  8,H, 4,  60.00,     69.7900,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,1             ,7                 ,3              ,4                       ,3                 ,2           ,2                 ,                  ,12                   ,3                 ,2                     ,              ,5            ,                    ,4                 ,4                ,3                         ,                  ,              ,22                         ,14                 ,37                  ,2                         ,4                    ,59                       ,                      ,1                ,                ,1                ,6               ,                 ,         ,2                   ,              ,                      ,2                        ,                   ,                        ,5                  ,                        ,                           ,                     ,13            ,1            ,                             ,                        ,                       ,             ,                 ,                    ,                  ,                   ,                  ,                ,                           ,                    ,                   ,other taxa = 1; total count = 225; from Leg 154SR Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 928,A,  8,H, 5,  60.00,     71.2800,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,12                ,2              ,1                       ,                  ,1           ,5                 ,3                 ,9                    ,1                 ,41                    ,              ,5            ,                    ,5                 ,10               ,4                         ,                  ,              ,59                         ,15                 ,104                 ,2                         ,8                    ,48                       ,1                     ,1                ,                ,                 ,5               ,                 ,         ,10                  ,1             ,                      ,3                        ,                   ,                        ,4                  ,2                       ,                           ,                     ,1             ,             ,                             ,                        ,2                      ,             ,                 ,                    ,                  ,1                  ,                  ,                ,                           ,                    ,                   ,other taxa = 11; total count = 378; from Leg 154SR Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 928,A,  8,H, 6,  60.00,     72.7700,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,19                ,2              ,3                       ,2                 ,1           ,2                 ,                  ,12                   ,4                 ,62                    ,              ,3            ,                    ,2                 ,11               ,4                         ,                  ,              ,24                         ,6                  ,45                  ,1                         ,1                    ,18                       ,                      ,5                ,                ,1                ,5               ,                 ,         ,                    ,              ,1                     ,                         ,                   ,                        ,2                  ,                        ,                           ,                     ,4             ,             ,                             ,                        ,                       ,             ,                 ,                    ,                  ,                   ,                  ,                ,                           ,                    ,                   ,other taxa = 4; total count = 244; from Leg 154SR Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 928,A,  8,H, 7,  30.00,     73.6700,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,10                ,9              ,11                      ,                  ,2           ,7                 ,                  ,34                   ,3                 ,50                    ,3             ,7            ,                    ,1                 ,13               ,12                        ,1                 ,              ,36                         ,10                 ,86                  ,                          ,11                   ,52                       ,1                     ,3                ,                ,                 ,5               ,                 ,         ,5                   ,2             ,                      ,                         ,                   ,                        ,                   ,                        ,                           ,                     ,              ,             ,                             ,                        ,                       ,             ,                 ,                    ,                  ,                   ,                  ,                ,                           ,                    ,                   ,other taxa = 6; total count = 380; from Leg 154SR Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 928,A,  9,H, 1,  60.00,     75.6000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,14                ,1              ,4                       ,                  ,8           ,12                ,1                 ,30                   ,6                 ,25                    ,              ,1            ,                    ,                  ,12               ,7                         ,3                 ,              ,31                         ,2                  ,25                  ,3                         ,12                   ,81                       ,                      ,1                ,                ,                 ,2               ,                 ,2        ,2                   ,              ,                      ,                         ,                   ,                        ,                   ,                        ,                           ,                     ,3             ,             ,                             ,                        ,1                      ,             ,                 ,                    ,1                 ,                   ,                  ,                ,                           ,                    ,                   ,other taxa = 16; total count = 306; from Leg 154SR Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 928,A,  9,H, 2,  60.00,     77.0900,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,14                ,2              ,1                       ,1                 ,1           ,12                ,1                 ,11                   ,5                 ,2                     ,              ,2            ,                    ,2                 ,6                ,4                         ,                  ,              ,26                         ,9                  ,6                   ,                          ,15                   ,64                       ,                      ,                 ,                ,                 ,5               ,                 ,         ,6                   ,              ,                      ,                         ,                   ,                        ,                   ,                        ,                           ,1                    ,10            ,             ,                             ,                        ,1                      ,             ,                 ,                    ,                  ,                   ,                  ,                ,                           ,                    ,                   ,other taxa = 5; total count = 212; from Leg 154SR Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 928,A,  9,H, 3,  60.00,     78.5800,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,20                ,6              ,3                       ,                  ,            ,19                ,                  ,20                   ,5                 ,21                    ,              ,5            ,2                   ,                  ,3                ,5                         ,                  ,              ,23                         ,6                  ,27                  ,2                         ,1                    ,55                       ,                      ,                 ,                ,                 ,4               ,                 ,1        ,7                   ,              ,                      ,                         ,                   ,                        ,                   ,                        ,                           ,                     ,              ,             ,                             ,                        ,4                      ,             ,                 ,                    ,                  ,                   ,                  ,                ,                           ,                    ,                   ,other taxa = 10; total count = 249; from Leg 154SR Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 928,A,  9,H, 4,  60.00,     80.0700,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,24                ,2              ,1                       ,3                 ,            ,17                ,4                 ,12                   ,2                 ,9                     ,              ,4            ,                    ,3                 ,2                ,1                         ,                  ,              ,41                         ,4                  ,19                  ,4                         ,12                   ,22                       ,                      ,1                ,                ,1                ,2               ,                 ,1        ,3                   ,              ,                      ,                         ,1                  ,                        ,                   ,                        ,                           ,                     ,5             ,             ,                             ,                        ,1                      ,             ,                 ,                    ,                  ,                   ,                  ,                ,                           ,                    ,                   ,other taxa = 9; total count = 210; from Leg 154SR Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 928,A,  9,H, 5,  62.00,     81.5800,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,7                 ,1              ,1                       ,2                 ,            ,6                 ,3                 ,8                    ,2                 ,14                    ,              ,2            ,                    ,                  ,7                ,10                        ,                  ,              ,25                         ,4                  ,39                  ,                          ,11                   ,36                       ,                      ,                 ,                ,                 ,3               ,                 ,         ,4                   ,              ,1                     ,1                        ,3                  ,                        ,                   ,10                      ,                           ,                     ,5             ,             ,                             ,                        ,                       ,             ,                 ,                    ,                  ,                   ,                  ,                ,                           ,                    ,                   ,other taxa = 4; total count =217 ; from Leg 154SR Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 928,A,  9,H, 6,  60.00,     83.0500,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,13                ,1              ,                        ,1                 ,2           ,8                 ,5                 ,8                    ,2                 ,24                    ,              ,10           ,                    ,1                 ,2                ,5                         ,                  ,              ,16                         ,6                  ,36                  ,                          ,5                    ,22                       ,1                     ,12               ,                ,                 ,1               ,                 ,         ,7                   ,1             ,                      ,5                        ,                   ,2                       ,                   ,                        ,                           ,                     ,13            ,             ,1                            ,                        ,                       ,             ,                 ,2                   ,                  ,                   ,                  ,                ,                           ,                    ,                   ,other taxa = 7; total count = 223; from Leg 154SR Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 928,A,  9,H, 7,  30.00,     84.2400,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,16                ,1              ,                        ,                  ,2           ,10                ,1                 ,6                    ,3                 ,21                    ,2             ,1            ,1                   ,                  ,3                ,8                         ,                  ,              ,42                         ,7                  ,76                  ,1                         ,7                    ,24                       ,                      ,8                ,                ,                 ,4               ,                 ,         ,4                   ,              ,                      ,1                        ,                   ,                        ,                   ,                        ,                           ,2                    ,6             ,4            ,                             ,                        ,                       ,             ,                 ,                    ,2                 ,                   ,                  ,                ,                           ,                    ,                   ,other taxa = 6; total count = 273; from Leg 154SR Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
