Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Thyrsocyrtis rhizodon,Theocotyle venezuelensis,Spongatractus pachystylus,Podocyrtis sinuosa,Lithocyclia ocellus,Eusyringium lagena,Eusyringium fistuligerum,Dictyoprora mongolfieri,Calocyclas hispida,Thyrsocyrtis triacantha,Tristylospyris triceros,Podocyrtis  ampla,Podocyrtis diamesa,Theocorys acroria,Podocyrtis mitra,Thyrsocyrtis lochites,Sethochytris triconiscus,Podocyrtis trachodes,Podocyrtis papalis,Podocyrtis chalara,Cryptocarpium ornatum,Lophocyrtis jacchia,Podocyrtis goetheana,Lithocyclia aristotelis group,Cryptocarpium azyx,Dictyoprora armadillo,Calocyclas bandyca,Centrobotrys petrushevskayae,Thyrsocyrtis  tetracantha,Thyrsocyrtis bromia,Calocyclas turris,Theocyrtis tuberosa,Lychnocanoma amphitrite,Artophormis barbadensis,Lithocyclia angusta,Artophormis gracilis,Lithocyclia crux,Theocyrtis annosa,Lychnodictyum audax,Didymocyrtis prismatica,Dorcadospyris circulus,Dorcadospyris ateuchus,Dorcadospyris papilio,Lychnocanoma elongata,Dorcadospyris forcipata,Eucyrtidium diaphanes,Carpocanopsis cingulata,Siphostichartus corona,Cyrtocapsella tetrapera,Cyrtocapsella cornuta,Carpocanopsis favosa,Stichocorys delmontensis,Didymocyrtis violina,Stichocorys wolffii,Carpocanopsis bramlettei,Calocycletta virginis,Dorcadospyris dentata,Calocycletta costata,Calocycletta caepa,Liriospyris stauropora,Didymocyrtis tubaria,Didymocyrtis mammifera,Dorcadospyris alata,Lithopera neotera,Didymocyrtis laticonus,Carpocanopsis cristata,Comment
  IR,Early Oligocene  ,Early Oligocene  ,RP20              ,RP20          ,199,1219,A, 14,H,CC,  14.00,    129.9700,nannos   ,Radiolarians                                 ,C              ,G                 ,                     ,                        ,                         ,                  ,                   ,                  ,                        ,-                      ,                  ,                       ,+                      ,                 ,                  ,                 ,                ,                     ,                        ,                    ,                  ,                  ,                     ,                   ,                    ,                             ,                  ,                     ,                  ,+                           ,                         ,                   ,                 ,+                  ,                       ,                       ,+                  ,+                   ,                ,                 ,                   ,                       ,                      ,                      ,                     ,                     ,                       ,                     ,                       ,                      ,                       ,                     ,                    ,                        ,                    ,                   ,                        ,                     ,                     ,                    ,                  ,                      ,                    ,                      ,                   ,                 ,                      ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Oligocene  ,Early Oligocene  ,RP20              ,RP20          ,199,1219,A, 15,H,CC,   6.00,    139.2100,nannos   ,Radiolarians                                 ,C              ,G                 ,                     ,                        ,                         ,                  ,                   ,                  ,                        ,                       ,                  ,                       ,+                      ,                 ,                  ,                 ,                ,                     ,                        ,                    ,                  ,                  ,                     ,                   ,                    ,                             ,                  ,                     ,                  ,                            ,                         ,                   ,                 ,+                  ,                       ,                       ,+                  ,+                   ,+               ,                 ,                   ,                       ,                      ,                      ,                     ,                     ,                       ,                     ,                       ,                      ,                       ,                     ,                    ,                        ,                    ,                   ,                        ,                     ,                     ,                    ,                  ,                      ,                    ,                      ,                   ,                 ,                      ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Oligocene  ,Early Oligocene  ,RP20              ,RP20          ,199,1219,A, 16,H,CC,  11.00,    148.8900,nannos   ,Radiolarians                                 ,F              ,M                 ,                     ,                        ,                         ,                  ,                   ,                  ,                        ,+                      ,                  ,                       ,+                      ,                 ,                  ,                 ,                ,                     ,                        ,                    ,                  ,                  ,                     ,                   ,                    ,+                            ,                  ,                     ,                  ,+                           ,                         ,                   ,                 ,+                  ,                       ,                       ,-                  ,+                   ,                ,                 ,                   ,                       ,                      ,                      ,                     ,                     ,                       ,                     ,                       ,                      ,                       ,                     ,                    ,                        ,                    ,                   ,                        ,                     ,                     ,                    ,                  ,                      ,                    ,                      ,                   ,                 ,                      ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Oligocene  ,Early Oligocene  ,RP20              ,RP20          ,199,1219,A, 17,H, 4,  15.00,    152.0100,nannos   ,Radiolarians                                 ,C              ,G                 ,                     ,                        ,+                        ,                  ,                   ,                  ,                        ,                       ,                  ,                       ,+                      ,                 ,                  ,                 ,                ,                     ,                        ,                    ,                  ,                  ,+                    ,                   ,                    ,+                            ,                  ,                     ,                  ,                            ,                         ,                   ,                 ,+                  ,+                      ,+                      ,+                  ,                    ,                ,                 ,                   ,                       ,                      ,                      ,                     ,                     ,                       ,                     ,                       ,                      ,                       ,                     ,                    ,                        ,                    ,                   ,                        ,                     ,                     ,                    ,                  ,                      ,                    ,                      ,                   ,                 ,                      ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Eocene      ,Late Eocene      ,RP19              ,RP19          ,199,1219,A, 17,H, 5,  32.00,    153.6800,nannos   ,Radiolarians                                 ,C              ,G                 ,                     ,                        ,                         ,                  ,                   ,                  ,                        ,                       ,                  ,                       ,+                      ,                 ,                  ,                 ,                ,                     ,                        ,                    ,                  ,                  ,+                    ,+                  ,                    ,+                            ,                  ,                     ,                  ,                            ,                         ,                   ,                 ,+                  ,+                      ,                       ,                   ,                    ,                ,                 ,                   ,                       ,                      ,                      ,                     ,                     ,                       ,                     ,                       ,                      ,                       ,                     ,                    ,                        ,                    ,                   ,                        ,                     ,                     ,                    ,                  ,                      ,                    ,                      ,                   ,                 ,                      ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Eocene      ,Late Eocene      ,RP19              ,RP19          ,199,1219,A, 17,H, 8,  12.00,    157.9100,nannos   ,Radiolarians                                 ,C              ,G                 ,                     ,                        ,                         ,                  ,                   ,                  ,                        ,+                      ,                  ,+                      ,+                      ,                 ,                  ,                 ,                ,                     ,                        ,                    ,                  ,                  ,+                    ,+                  ,                    ,+                            ,                  ,                     ,-                 ,                            ,-                        ,                   ,                 ,+                  ,                       ,+                      ,                   ,                    ,                ,                 ,                   ,                       ,                      ,                      ,                     ,                     ,                       ,                     ,                       ,                      ,                       ,                     ,                    ,                        ,                    ,                   ,                        ,                     ,                     ,                    ,                  ,                      ,                    ,                      ,                   ,                 ,                      ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Eocene      ,Late Eocene      ,RP18              ,RP18          ,199,1219,A, 18,H, 1,  45.00,    158.4500,nannos   ,Radiolarians                                 ,C              ,G                 ,                     ,                        ,                         ,                  ,                   ,                  ,+                       ,                       ,                  ,                       ,+                      ,                 ,                  ,                 ,                ,+                    ,                        ,                    ,                  ,                  ,+                    ,                   ,                    ,+                            ,+                 ,                     ,+                 ,+                           ,                         ,+                  ,+                ,+                  ,                       ,                       ,                   ,                    ,                ,                 ,                   ,                       ,                      ,                      ,                     ,                     ,                       ,                     ,                       ,                      ,                       ,                     ,                    ,                        ,                    ,                   ,                        ,                     ,                     ,                    ,                  ,                      ,                    ,                      ,                   ,                 ,                      ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Eocene      ,Late Eocene      ,RP18              ,RP18          ,199,1219,A, 18,H, 3,  45.00,    161.4500,nannos   ,Radiolarians                                 ,C              ,G                 ,                     ,                        ,                         ,                  ,                   ,                  ,                        ,                       ,                  ,+                      ,+                      ,                 ,                  ,                 ,                ,+                    ,                        ,                    ,                  ,                  ,+                    ,+                  ,                    ,+                            ,+                 ,+                    ,+                 ,+                           ,+                        ,+                  ,+                ,+                  ,+                      ,                       ,                   ,                    ,                ,                 ,                   ,                       ,                      ,                      ,                     ,                     ,                       ,                     ,                       ,                      ,                       ,                     ,                    ,                        ,                    ,                   ,                        ,                     ,                     ,                    ,                  ,                      ,                    ,                      ,                   ,                 ,                      ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Eocene    ,Middle Eocene    ,RP17              ,RP17          ,199,1219,A, 18,H, 4,  45.00,    162.9500,nannos   ,Radiolarians                                 ,C              ,G                 ,                     ,                        ,                         ,                  ,                   ,                  ,+                       ,                       ,                  ,+                      ,+                      ,                 ,                  ,                 ,                ,                     ,                        ,                    ,                  ,                  ,                     ,                   ,                    ,+                            ,+                 ,                     ,-                 ,+                           ,+                        ,+                  ,+                ,                   ,                       ,                       ,                   ,                    ,                ,                 ,                   ,                       ,                      ,                      ,                     ,                     ,                       ,                     ,                       ,                      ,                       ,                     ,                    ,                        ,                    ,                   ,                        ,                     ,                     ,                    ,                  ,                      ,                    ,                      ,                   ,                 ,                      ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Eocene    ,Middle Eocene    ,RP17              ,RP17          ,199,1219,A, 18,H,CC,  17.00,    167.9700,nannos   ,Radiolarians                                 ,C              ,G                 ,+                    ,                        ,                         ,                  ,                   ,                  ,                        ,                       ,                  ,+                      ,+                      ,                 ,                  ,                 ,                ,                     ,                        ,                    ,                  ,                  ,+                    ,                   ,                    ,+                            ,                  ,                     ,-                 ,                            ,+                        ,+                  ,+                ,                   ,                       ,                       ,                   ,                    ,                ,                 ,                   ,                       ,                      ,                      ,                     ,                     ,                       ,                     ,                       ,                      ,                       ,                     ,                    ,                        ,                    ,                   ,                        ,                     ,                     ,                    ,                  ,                      ,                    ,                      ,                   ,                 ,                      ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Eocene    ,Middle Eocene    ,RP17              ,RP17          ,199,1219,A, 19,H, 4,  45.00,    172.4500,nannos   ,Radiolarians                                 ,C              ,G                 ,                     ,                        ,                         ,                  ,+                  ,                  ,+                       ,                       ,+                 ,+                      ,                       ,                 ,                  ,                 ,                ,+                    ,                        ,                    ,+                 ,                  ,                     ,                   ,                    ,                             ,+                 ,                     ,-                 ,+                           ,                         ,                   ,                 ,                   ,                       ,                       ,                   ,                    ,                ,                 ,                   ,                       ,                      ,                      ,                     ,                     ,                       ,                     ,                       ,                      ,                       ,                     ,                    ,                        ,                    ,                   ,                        ,                     ,                     ,                    ,                  ,                      ,                    ,                      ,                   ,                 ,                      ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Eocene    ,Middle Eocene    ,RP16              ,RP16          ,199,1219,A, 19,H, 5,  45.00,    173.9500,nannos   ,Radiolarians                                 ,C              ,G                 ,                     ,                        ,                         ,                  ,+                  ,                  ,+                       ,+                      ,+                 ,+                      ,+                      ,                 ,                  ,                 ,                ,+                    ,                        ,                    ,                  ,                  ,+                    ,                   ,                    ,+                            ,+                 ,+                    ,-                 ,                            ,                         ,                   ,                 ,                   ,                       ,                       ,                   ,                    ,                ,                 ,                   ,                       ,                      ,                      ,                     ,                     ,                       ,                     ,                       ,                      ,                       ,                     ,                    ,                        ,                    ,                   ,                        ,                     ,                     ,                    ,                  ,                      ,                    ,                      ,                   ,                 ,                      ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Eocene    ,Middle Eocene    ,RP16              ,RP16          ,199,1219,A, 19,H,CC,   0.00,    176.9800,nannos   ,Radiolarians                                 ,C              ,G                 ,+                    ,                        ,+                        ,                  ,+                  ,                  ,+                       ,+                      ,+                 ,+                      ,+                      ,                 ,                  ,                 ,                ,                     ,                        ,                    ,                  ,+                 ,                     ,                   ,+                   ,+                            ,+                 ,                     ,                  ,                            ,                         ,                   ,                 ,                   ,                       ,                       ,                   ,                    ,                ,                 ,                   ,                       ,                      ,                      ,                     ,                     ,                       ,                     ,                       ,                      ,                       ,                     ,                    ,                        ,                    ,                   ,                        ,                     ,                     ,                    ,                  ,                      ,                    ,                      ,                   ,                 ,                      ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Eocene    ,Middle Eocene    ,RP16              ,RP16          ,199,1219,A, 20,H, 5,  45.00,    183.0300,nannos   ,Radiolarians                                 ,C              ,G                 ,                     ,                        ,                         ,                  ,                   ,                  ,                        ,+                      ,                  ,                       ,                       ,                 ,                  ,                 ,                ,                     ,                        ,                    ,                  ,                  ,                     ,                   ,+                   ,                             ,                  ,                     ,                  ,                            ,                         ,                   ,                 ,                   ,                       ,                       ,                   ,                    ,                ,                 ,                   ,                       ,                      ,                      ,                     ,                     ,                       ,                     ,                       ,                      ,                       ,                     ,                    ,                        ,                    ,                   ,                        ,                     ,                     ,                    ,                  ,                      ,                    ,                      ,                   ,                 ,                      ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Eocene    ,Middle Eocene    ,RP15              ,RP15          ,199,1219,A, 20,H,CC,  31.00,    186.8900,nannos   ,Radiolarians                                 ,C              ,G                 ,+                    ,                        ,+                        ,                  ,+                  ,                  ,+                       ,                       ,+                 ,+                      ,                       ,                 ,                  ,                 ,                ,+                    ,                        ,+                   ,                  ,+                 ,+                    ,+                  ,                    ,                             ,                  ,                     ,                  ,                            ,                         ,                   ,                 ,                   ,                       ,                       ,                   ,                    ,                ,                 ,                   ,                       ,                      ,                      ,                     ,                     ,                       ,                     ,                       ,                      ,                       ,                     ,                    ,                        ,                    ,                   ,                        ,                     ,                     ,                    ,                  ,                      ,                    ,                      ,                   ,                 ,                      ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Eocene    ,Middle Eocene    ,RP15              ,RP15          ,199,1219,A, 21,H, 8,  19.00,    195.6900,nannos   ,Radiolarians                                 ,C              ,G                 ,+                    ,                        ,+                        ,                  ,+                  ,                  ,+                       ,                       ,+                 ,+                      ,                       ,                 ,                  ,                 ,                ,+                    ,+                       ,                    ,                  ,+                 ,+                    ,                   ,                    ,                             ,                  ,                     ,                  ,                            ,                         ,                   ,                 ,                   ,                       ,                       ,                   ,                    ,                ,                 ,                   ,                       ,                      ,                      ,                     ,                     ,                       ,                     ,                       ,                      ,                       ,                     ,                    ,                        ,                    ,                   ,                        ,                     ,                     ,                    ,                  ,                      ,                    ,                      ,                   ,                 ,                      ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Eocene    ,Middle Eocene    ,RP15              ,RP15          ,199,1219,A, 22,H, 3,  46.00,    199.4600,nannos   ,Radiolarians                                 ,C              ,G                 ,+                    ,                        ,                         ,                  ,+                  ,                  ,+                       ,+                      ,+                 ,+                      ,+                      ,                 ,                  ,                 ,                ,+                    ,+                       ,                    ,                  ,+                 ,8                    ,                   ,                    ,                             ,                  ,                     ,                  ,                            ,                         ,                   ,                 ,                   ,                       ,                       ,                   ,                    ,                ,                 ,                   ,                       ,                      ,                      ,                     ,                     ,                       ,                     ,                       ,                      ,                       ,                     ,                    ,                        ,                    ,                   ,                        ,                     ,                     ,                    ,                  ,                      ,                    ,                      ,                   ,                 ,                      ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Eocene    ,Middle Eocene    ,RP14              ,RP14          ,199,1219,A, 22,H, 4,  46.00,    200.9600,nannos   ,Radiolarians                                 ,C              ,G                 ,+                    ,                        ,+                        ,                  ,+                  ,                  ,+                       ,                       ,                  ,+                      ,                       ,                 ,                  ,                 ,+               ,+                    ,+                       ,+                   ,                  ,                  ,                     ,                   ,                    ,                             ,                  ,                     ,                  ,                            ,                         ,                   ,                 ,                   ,                       ,                       ,                   ,                    ,                ,                 ,                   ,                       ,                      ,                      ,                     ,                     ,                       ,                     ,                       ,                      ,                       ,                     ,                    ,                        ,                    ,                   ,                        ,                     ,                     ,                    ,                  ,                      ,                    ,                      ,                   ,                 ,                      ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Eocene    ,Middle Eocene    ,RP14              ,RP14          ,199,1219,A, 22,H,CC,  27.00,    205.8000,nannos   ,Radiolarians                                 ,C              ,G                 ,+                    ,                        ,+                        ,                  ,+                  ,                  ,+                       ,+                      ,+                 ,+                      ,                       ,+                ,                  ,                 ,+               ,+                    ,-                       ,+                   ,+                 ,                  ,                     ,                   ,                    ,                             ,                  ,                     ,                  ,                            ,                         ,                   ,                 ,                   ,                       ,                       ,                   ,                    ,                ,                 ,                   ,                       ,                      ,                      ,                     ,                     ,                       ,                     ,                       ,                      ,                       ,                     ,                    ,                        ,                    ,                   ,                        ,                     ,                     ,                    ,                  ,                      ,                    ,                      ,                   ,                 ,                      ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Eocene    ,Middle Eocene    ,RP14              ,RP14          ,199,1219,A, 23,H, 5,  45.00,    211.9500,nannos   ,Radiolarians                                 ,C              ,G                 ,                     ,                        ,                         ,                  ,                   ,                  ,                        ,                       ,                  ,                       ,                       ,                 ,                  ,                 ,+               ,                     ,                        ,                    ,                  ,                  ,                     ,                   ,                    ,                             ,                  ,                     ,                  ,                            ,                         ,                   ,                 ,                   ,                       ,                       ,                   ,                    ,                ,                 ,                   ,                       ,                      ,                      ,                     ,                     ,                       ,                     ,                       ,                      ,                       ,                     ,                    ,                        ,                    ,                   ,                        ,                     ,                     ,                    ,                  ,                      ,                    ,                      ,                   ,                 ,                      ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Eocene    ,Middle Eocene    ,RP13              ,RP13          ,199,1219,A, 23,H, 6,  45.00,    213.4500,nannos   ,Radiolarians                                 ,C              ,G                 ,                     ,                        ,                         ,+                 ,                   ,                  ,                        ,+                      ,                  ,                       ,                       ,                 ,                  ,                 ,                ,                     ,                        ,                    ,                  ,                  ,                     ,                   ,                    ,                             ,                  ,                     ,                  ,                            ,                         ,                   ,                 ,                   ,                       ,                       ,                   ,                    ,                ,                 ,                   ,                       ,                      ,                      ,                     ,                     ,                       ,                     ,                       ,                      ,                       ,                     ,                    ,                        ,                    ,                   ,                        ,                     ,                     ,                    ,                  ,                      ,                    ,                      ,                   ,                 ,                      ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Eocene    ,Middle Eocene    ,RP13              ,RP13          ,199,1219,A, 23,H,CC,  23.00,    215.4300,nannos   ,Radiolarians                                 ,C              ,G                 ,+                    ,                        ,+                        ,+                 ,+                  ,+                 ,+                       ,                       ,+                 ,+                      ,                       ,+                ,                  ,                 ,                ,                     ,                        ,                    ,                  ,                  ,                     ,                   ,                    ,                             ,                  ,                     ,                  ,                            ,                         ,                   ,                 ,                   ,                       ,                       ,                   ,                    ,                ,                 ,                   ,                       ,                      ,                      ,                     ,                     ,                       ,                     ,                       ,                      ,                       ,                     ,                    ,                        ,                    ,                   ,                        ,                     ,                     ,                    ,                  ,                      ,                    ,                      ,                   ,                 ,                      ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Eocene    ,Middle Eocene    ,RP13              ,RP13          ,199,1219,A, 24,H, 2,  45.00,    216.9500,nannos   ,Radiolarians                                 ,C              ,G                 ,                     ,                        ,+                        ,+                 ,+                  ,+                 ,+                       ,+                      ,                  ,+                      ,                       ,+                ,                  ,+                ,                ,                     ,                        ,                    ,                  ,                  ,                     ,                   ,                    ,                             ,                  ,                     ,                  ,                            ,                         ,                   ,                 ,                   ,                       ,                       ,                   ,                    ,                ,                 ,                   ,                       ,                      ,                      ,                     ,                     ,                       ,                     ,                       ,                      ,                       ,                     ,                    ,                        ,                    ,                   ,                        ,                     ,                     ,                    ,                  ,                      ,                    ,                      ,                   ,                 ,                      ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Eocene    ,Middle Eocene    ,RP12              ,RP12        ,199,1219,A, 24,H, 3,  45.00,    218.4500,nannos   ,Radiolarians                                 ,C              ,G                 ,+                    ,                        ,                         ,+                 ,+                  ,+                 ,                        ,+                      ,+                 ,+                      ,+                      ,-                ,+                 ,                 ,                ,                     ,                        ,                    ,                  ,                  ,                     ,                   ,                    ,                             ,                  ,                     ,                  ,                            ,                         ,                   ,                 ,                   ,                       ,                       ,                   ,                    ,                ,                 ,                   ,                       ,                      ,                      ,                     ,                     ,                       ,                     ,                       ,                      ,                       ,                     ,                    ,                        ,                    ,                   ,                        ,                     ,                     ,                    ,                  ,                      ,                    ,                      ,                   ,                 ,                      ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Eocene    ,Middle Eocene    ,RP12              ,RP12          ,199,1219,A, 24,H,CC,  21.00,    224.8800,nannos   ,Radiolarians                                 ,C              ,G                 ,                     ,+                       ,+                        ,+                 ,+                  ,+                 ,                        ,+                      ,                  ,+                      ,                       ,                 ,                  ,                 ,                ,                     ,                        ,                    ,                  ,                  ,                     ,                   ,                    ,                             ,                  ,                     ,                  ,                            ,                         ,                   ,                 ,                   ,                       ,                       ,                   ,                    ,                ,                 ,                   ,                       ,                      ,                      ,                     ,                     ,                       ,                     ,                       ,                      ,                       ,                     ,                    ,                        ,                    ,                   ,                        ,                     ,                     ,                    ,                  ,                      ,                    ,                      ,                   ,                 ,                      ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Eocene    ,Middle Eocene    ,RP12              ,RP12          ,199,1219,A, 25,X,CC,  35.00,    226.9000,nannos   ,Radiolarians                                 ,C              ,G                 ,+                    ,+                       ,+                        ,+                 ,+                  ,+                 ,-                       ,+                      ,+                 ,                       ,                       ,                 ,                  ,                 ,                ,                     ,                        ,                    ,                  ,                  ,                     ,                   ,                    ,                             ,                  ,                     ,                  ,                            ,                         ,                   ,                 ,                   ,                       ,                       ,                   ,                    ,                ,                 ,                   ,                       ,                      ,                      ,                     ,                     ,                       ,                     ,                       ,                      ,                       ,                     ,                    ,                        ,                    ,                   ,                        ,                     ,                     ,                    ,                  ,                      ,                    ,                      ,                   ,                 ,                      ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
