Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Naviculopsis navicula,Naviculopsis biapiculata,Distephanus speculum minutus,Distephanus speculum hemisphaericus &  boliviensis (hemisphaericoid),Distephanus slavnicii,Distephanus crux scutulatus,Distephanus crux parvus,Distephanus crux,Distephanus boliviensis & speculum (bolivienoid)-(w/ >4aw.),Distephanus boliviensis & speculum (bolivienoid),Distephanus &  speculum (bolivienoid)-(w/ 3aw.),Distephanus &  speculum (bolivienoid)-(w/ 2aw.),Dictyocha longa,Dictyocha fibula,Corbisema triacantha,Bachmannocena triangula,Bachmannocena diodon nodosa (w/ 1 sp.),Septamesocena apiculata apiculata,Parathranium bispinum,Naviculopsis lata,Haplohermesinum hovassei,Foliactiniscus atlanticus,Falsebrioid Falsebrioid,Falsebria sp.,Falsebria ambigua,Ebriopsoid skeletons,Corbisema flexuosa,Ammodochium pyramidale,Ammodochioid skeletons,Actiniscus sp.,Actiniscus flosculus,Septamesocena apiculata f. curvata,Parathranium curvipes,Parathranium cf. clathratum,Parathranium cf. californicum,Naviculopsis lacrima,Hermesinoid skeletons,Hermesinella schulzii,Hermesinella primitiva,Hermesinella fenestrata,Hermesinella conata,Ditripodium cf. amphora,Distephanus speculum haliomma f. haliomma,Distephanus crux stradneri,Cannopilus hemisphaericus f. hemisphaericus,Distephanus stradneri,Dictyocha aspera,Bachmannocena apiculata curvata,Bachmannocena apiculata,Macrora stella,Distephanus crux longispinus,Distephanus crux darwinii,Distephanus aculeatus f. aculeatus,Dictyocha messaensis aspinosa,Corbisema species diversae,Naviculopsis quadrata,Naviculopsis iberica ,Mesocena elliptica,Haplohermesinum narbonensis,Foliactiniscus folia,Distephanus paraspeculum f. paraspeculum,Dictyocha varia,Dictyocha species diversae (asperoid),Dictyocha pulchella var. inflata,Naviculopsis species diversae,Distephanus speculum haliomma formae diversae,Distephanus speculum haliomma f. speculum,Distephanus paraspeculum f. hexagonalis,Naviculopsis navicula obtusarca,Naviculopsis navicula navicula,Falsebria cf. arborea,Bachmannocena quadrangula,Ebria inornata,Distephanus quinquangellus,Craniopsis sp.,Corbisema sp. 1,Caryocha ernestinae,Hermesinum obliquum,Foliactiniscus pulvinus,Actiniscus tetrasterias,Caryocha depressa,Dictyocha clinata,Distephanus bachmanni,Hermesinum adriaticum,Distephanus aff. fibula hexacantha,Distephanus quinquangellus (w/ 3ap.),Distephanus longispinus,Distephanus crux ssp. 3,Corbisema cf. trigonus,Caryocha cf. latifenestrata,Canopilus hemisphaericus f. heptagonus,Distephanus pseudofibula,Distephanus boliviensis &  speculum (bolivienoid)-(w/ 3aw. & 7brs.),Distephanus (aberrant forms),Foliactiniscus mirabilis,Ditripodium amphora,Ditripodium latum,Cannopilus schulzii,Canopilus ernestinae,Distephanus boliviensis &  speculum (bolivienoid)-(w/ 7brs.),Actiniscus pentasterias,Distephanus crux ssp. 2,Comment
  SR,Early Miocene    ,                 ,lower C. triacantha,H. adriaticum ,104, 642,D,  6,X, 2,  66.00,    230.6600,Locker   ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                     ,                        ,                            ,                                                                    ,                     ,                           ,6.0%                   ,25.0%           ,                                                           ,                                                ,                                               ,                                               ,               ,                ,                    ,                       ,                                      ,T                                ,14.0%                ,                 ,4.0%                    ,15.0%                    ,8.0%                   ,5.0%         ,2.0%             ,1.0%                ,                  ,13.0%                 ,3.0%                  ,14.0%         ,T                   ,1.0%                              ,T                    ,3.0%                       ,4.0%                         ,                    ,2.0%                 ,                     ,2.0%                  ,3.0%                   ,3.0%               ,T                      ,385                                      ,                          ,7.0%                                       ,                     ,                ,                               ,                       ,              ,2.0%                        ,1.0%                     ,                                  ,                             ,                          ,                     ,                     ,                  ,                           ,                    ,                                        ,               ,                                     ,                                ,                             ,                                             ,5.0%                                     ,                                       ,                               ,                              ,                     ,                         ,              ,                          ,              ,               ,                   ,1.0%               ,                       ,                       ,                 ,                 ,                     ,1.0%                 ,                                  ,                                    ,                       ,                       ,                      ,                           ,                                      ,                        ,                                                                   ,                            ,                        ,                   ,                 ,                   ,                    ,                                                            ,                       ,                       ,from ODP 104 SR Chaper 30  Tables 1 & 2 p 550-553
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,D. sp. hemis(Cies),              ,104, 642,D,  6,X, 2, 125.00,    231.2500,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                     ,                        ,13                          ,88                                                                  ,                     ,3                          ,28                     ,80              ,8                                                          ,38                                              ,9                                              ,9                                              ,               ,                ,                    ,                       ,                                      ,                                 ,                     ,                 ,                        ,                         ,                       ,             ,                 ,                    ,                  ,                      ,                      ,              ,                    ,                                  ,                     ,                           ,                             ,                    ,                     ,                     ,                      ,                       ,                   ,                       ,                                         ,                          ,                                           ,                     ,                ,                               ,                       ,              ,                            ,                         ,                                  ,                             ,                          ,                     ,                     ,                  ,                           ,                    ,                                        ,               ,                                     ,                                ,                             ,                                             ,                                         ,                                       ,                               ,                              ,                     ,                         ,              ,4                         ,              ,               ,                   ,                   ,                       ,                       ,2                ,                 ,                     ,                     ,4                                 ,                                    ,                       ,                       ,                      ,                           ,                                      ,                        ,                                                                   ,                            ,                        ,                   ,                 ,                   ,                    ,                                                            ,                       ,                       ,Total whole specimens = 286; Unidentifiabale fragments = 16; from ODP Leg 104 Sr Chapter 28 Table 1 p 504-507
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,N. navicula       ,H. adriaticum ,104, 642,D,  6,X, 4,  66.00,    233.6600,Locker   ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                     ,                        ,                            ,                                                                    ,                     ,                           ,11.0%                  ,44.0%           ,                                                           ,                                                ,                                               ,                                               ,               ,                ,                    ,                       ,                                      ,T                                ,12.0%                ,                 ,7.0%                    ,13.0%                    ,3.0%                   ,             ,T                ,2.0%                ,                  ,5.0%                  ,6.0%                  ,25.0%         ,2.0%                ,T                                 ,T                    ,T                          ,6.0%                         ,                    ,2.0%                 ,T                    ,1.0%                  ,                       ,2.0%               ,2.0%                   ,10.0%                                    ,                          ,8.0%                                       ,                     ,                ,                               ,                       ,              ,4.0%                        ,T                        ,2.0%                              ,                             ,                          ,cf                   ,18.0%                ,                  ,T                          ,6.0%                ,                                        ,               ,                                     ,                                ,                             ,                                             ,T                                        ,                                       ,                               ,T                             ,1.0%                 ,                         ,cf            ,                          ,              ,               ,                   ,2.0%               ,                       ,                       ,                 ,T                ,                     ,+                    ,                                  ,                                    ,                       ,                       ,                      ,                           ,                                      ,                        ,                                                                   ,                            ,                        ,                   ,                 ,                   ,                    ,                                                            ,                       ,                       ,from ODP 104 SR Chaper 30  Tables 1 & 2 p 550-553
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,N. ponticula (Cies),              ,104, 642,D,  6,X, 4, 115.00,    234.1500,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,1                    ,                        ,12                          ,26                                                                  ,6                    ,14                         ,40                     ,134             ,                                                           ,19                                              ,4                                              ,1                                              ,               ,                ,                    ,1                      ,                                      ,                                 ,                     ,22               ,                        ,                         ,                       ,             ,                 ,                    ,                  ,                      ,                      ,              ,                    ,                                  ,                     ,                           ,                             ,                    ,                     ,                     ,                      ,                       ,                   ,                       ,                                         ,                          ,                                           ,                     ,1               ,3                              ,1                      ,              ,                            ,                         ,                                  ,                             ,                          ,                     ,                     ,                  ,                           ,                    ,                                        ,               ,                                     ,1                               ,                             ,                                             ,                                         ,                                       ,                               ,                              ,                     ,                         ,              ,                          ,              ,1              ,1                  ,                   ,                       ,                       ,5                ,                 ,1                    ,                     ,                                  ,                                    ,                       ,                       ,                      ,                           ,                                      ,                        ,                                                                   ,                            ,                        ,                   ,                 ,                   ,                    ,                                                            ,                       ,                       ,Total whole specimens = 294; Unidentifiabale fragments = 9; from ODP Leg 104 Sr Chapter 28 Table 1 p 504-507
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,N. navicula       ,F. folia      ,104, 642,D,  7,X, 2,  66.00,    240.3600,Locker   ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                     ,                        ,                            ,                                                                    ,                     ,                           ,2.0%                   ,61.0%           ,                                                           ,                                                ,                                               ,                                               ,               ,                ,1.0%                ,                       ,                                      ,                                 ,7.0%                 ,                 ,7.0%                    ,16.0%                    ,3.0%                   ,             ,                 ,2.0%                ,                  ,8.0%                  ,5.0%                  ,29.0%         ,2.0%                ,                                  ,                     ,3.0%                       ,2.0%                         ,                    ,T                    ,                     ,2.0%                  ,3.0%                   ,T                  ,T                      ,11.0%                                    ,                          ,19.0%                                      ,                     ,                ,                               ,                       ,              ,3.0%                        ,1.0%                     ,                                  ,                             ,4.0%                      ,cf                   ,4.0%                 ,                  ,                           ,9.0%                ,                                        ,               ,                                     ,                                ,                             ,                                             ,                                         ,                                       ,                               ,2.0%                          ,                     ,                         ,              ,                          ,              ,               ,                   ,                   ,                       ,                       ,                 ,1.0%             ,                     ,                     ,                                  ,                                    ,                       ,                       ,                      ,                           ,                                      ,                        ,                                                                   ,                            ,                        ,                   ,                 ,                   ,                    ,                                                            ,                       ,                       ,from ODP 104 SR Chaper 30  Tables 1 & 2 p 550-553
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,N. quadrata (Cies.),              ,104, 642,D,  7,X, 2, 120.00,    240.9000,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                     ,1                       ,9                           ,16                                                                  ,2                    ,7                          ,26                     ,55              ,4                                                          ,3                                               ,3                                              ,1                                              ,               ,                ,11                  ,                       ,                                      ,                                 ,                     ,4                ,                        ,                         ,                       ,             ,                 ,                    ,                  ,                      ,                      ,              ,                    ,                                  ,                     ,                           ,                             ,                    ,                     ,                     ,                      ,                       ,                   ,                       ,                                         ,                          ,                                           ,                     ,                ,                               ,                       ,              ,                            ,                         ,                                  ,                             ,                          ,2                    ,                     ,                  ,                           ,                    ,                                        ,               ,                                     ,                                ,                             ,                                             ,                                         ,                                       ,                               ,                              ,                     ,                         ,              ,                          ,              ,               ,                   ,                   ,                       ,                       ,3                ,                 ,                     ,                     ,                                  ,                                    ,                       ,                       ,                      ,                           ,                                      ,                        ,                                                                   ,                            ,                        ,                   ,                 ,                   ,                    ,                                                            ,                       ,                       ,Total whole specimens = 147; Unidentifiabale fragments = 6; from ODP Leg 104 Sr Chapter 28 Table 1 p 504-507
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,N. navicula       ,F. folia      ,104, 642,D,  7,X, 5,  66.00,    244.8600,Locker   ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                     ,                        ,                            ,                                                                    ,                     ,                           ,4.0%                   ,46.0%           ,                                                           ,                                                ,                                               ,                                               ,               ,                ,                    ,                       ,                                      ,2.0%                             ,8.0%                 ,                 ,7.0%                    ,16.0%                    ,2.0%                   ,             ,T                ,1.0%                ,                  ,7.0%                  ,6.0%                  ,32.0%         ,2.0%                ,1.0%                              ,                     ,2.0%                       ,T                            ,                    ,1.0%                 ,                     ,                      ,cf                     ,T                  ,                       ,6.0%                                     ,18.0%                     ,16.0%                                      ,                     ,                ,                               ,                       ,              ,1.0%                        ,                         ,2.0%                              ,                             ,                          ,                     ,1.0%                 ,                  ,                           ,9.0%                ,                                        ,               ,                                     ,                                ,                             ,                                             ,                                         ,                                       ,                               ,                              ,                     ,                         ,              ,                          ,              ,               ,                   ,1.0%               ,2.0%                   ,cf                     ,                 ,                 ,                     ,                     ,                                  ,                                    ,                       ,                       ,                      ,                           ,                                      ,                        ,                                                                   ,                            ,                        ,                   ,                 ,                   ,                    ,                                                            ,                       ,                       ,from ODP 104 SR Chaper 30  Tables 1 & 2 p 550-553
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,N. quadrata (Cies.),              ,104, 642,D,  7,X, 5, 120.00,    245.4000,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                     ,                        ,2                           ,10                                                                  ,8                    ,9                          ,30                     ,43              ,4                                                          ,2                                               ,2                                              ,2                                              ,               ,1               ,                    ,1                      ,                                      ,                                 ,                     ,1                ,                        ,                         ,                       ,             ,                 ,                    ,                  ,                      ,                      ,              ,                    ,                                  ,                     ,                           ,                             ,                    ,                     ,                     ,                      ,                       ,                   ,                       ,                                         ,                          ,                                           ,5                    ,                ,                               ,                       ,              ,                            ,                         ,                                  ,                             ,                          ,2                    ,                     ,                  ,                           ,                    ,                                        ,               ,                                     ,                                ,                             ,                                             ,                                         ,                                       ,                               ,                              ,                     ,                         ,              ,                          ,              ,3              ,1                  ,                   ,                       ,                       ,                 ,                 ,                     ,                     ,                                  ,                                    ,                       ,                       ,                      ,                           ,                                      ,                        ,                                                                   ,                            ,                        ,                   ,                 ,                   ,                    ,                                                            ,                       ,                       ,Total whole specimens = 126; Unidentifiabale fragments = 5; from ODP Leg 104 Sr Chapter 28 Table 1 p 504-507
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,N. navicula       ,F. folia      ,104, 642,D,  8,X, 2,  66.00,    249.9600,Locker   ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                     ,                        ,                            ,                                                                    ,                     ,                           ,12.0%                  ,43.0%           ,                                                           ,                                                ,                                               ,                                               ,               ,                ,T                   ,                       ,                                      ,4.0%                             ,7.0%                 ,                 ,9.0%                    ,6.0%                     ,5.0%                   ,2.0%         ,1.0%             ,2.0%                ,T                 ,6.0%                  ,9.0%                  ,36.0%         ,1.0%                ,T                                 ,                     ,3.0%                       ,4.0%                         ,                    ,2.0%                 ,                     ,T                     ,3.0%                   ,1.0%               ,                       ,4.0%                                     ,3.0%                      ,10.0%                                      ,                     ,                ,                               ,                       ,              ,T                           ,                         ,                                  ,T                            ,                          ,9.0%                 ,3.0%                 ,1.0%              ,                           ,2.0%                ,                                        ,               ,T                                    ,                                ,                             ,                                             ,T                                        ,                                       ,                               ,T                             ,                     ,                         ,              ,                          ,T             ,               ,                   ,                   ,                       ,                       ,                 ,                 ,                     ,                     ,                                  ,                                    ,                       ,                       ,                      ,                           ,                                      ,                        ,                                                                   ,                            ,                        ,                   ,                 ,                   ,                    ,                                                            ,                       ,                       ,from ODP 104 SR Chaper 30  Tables 1 & 2 p 550-553
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,N. quadrata (Cies.),              ,104, 642,D,  8,X, 2, 122.00,    250.5200,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,1                    ,1                       ,2                           ,12                                                                  ,10                   ,8                          ,50                     ,45              ,9                                                          ,1                                               ,2                                              ,3                                              ,               ,                ,4                   ,7                      ,                                      ,                                 ,                     ,10               ,                        ,                         ,                       ,             ,                 ,                    ,                  ,                      ,                      ,              ,                    ,                                  ,                     ,                           ,                             ,                    ,                     ,                     ,                      ,                       ,                   ,                       ,                                         ,                          ,                                           ,2                    ,                ,3                              ,                       ,              ,                            ,                         ,                                  ,                             ,                          ,21                   ,                     ,                  ,                           ,                    ,                                        ,               ,                                     ,                                ,                             ,                                             ,                                         ,                                       ,                               ,                              ,                     ,1                        ,              ,2                         ,              ,               ,                   ,                   ,                       ,                       ,                 ,                 ,                     ,                     ,                                  ,                                    ,                       ,                       ,                      ,                           ,                                      ,                        ,                                                                   ,                            ,                        ,                   ,                 ,                   ,                    ,                                                            ,                       ,                       ,Total whole specimens = 196; Unidentifiabale fragments = 12; from ODP Leg 104 Sr Chapter 28 Table 1 p 504-507
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,N. navicula       ,F. folia      ,104, 642,D,  8,X, 5,  66.00,    254.4600,Locker   ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                     ,                        ,                            ,                                                                    ,                     ,                           ,1.0%                   ,51.0%           ,                                                           ,                                                ,                                               ,                                               ,               ,                ,2.0%                ,                       ,                                      ,4.0%                             ,4.0%                 ,3.0%             ,9.0%                    ,3.0%                     ,6.0%                   ,             ,1.0%             ,                    ,1.0%              ,6.0%                  ,                      ,54.0%         ,6.0%                ,6.0%                              ,                     ,3.0%                       ,                             ,                    ,                     ,                     ,1.0%                  ,2.0%                   ,3.0%               ,                       ,10.0%                                    ,                          ,9.0%                                       ,                     ,                ,                               ,                       ,+             ,                            ,                         ,                                  ,+                            ,                          ,                     ,+                    ,                  ,                           ,1.0%                ,                                        ,               ,                                     ,                                ,1.0%                         ,                                             ,                                         ,1.0%                                   ,7.0%                           ,2.0%                          ,                     ,                         ,cf            ,                          ,              ,               ,                   ,                   ,                       ,                       ,                 ,                 ,                     ,                     ,                                  ,                                    ,                       ,                       ,                      ,                           ,                                      ,                        ,                                                                   ,                            ,                        ,                   ,                 ,                   ,                    ,                                                            ,                       ,                       ,from ODP 104 SR Chaper 30  Tables 1 & 2 p 550-553
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,N. lata           ,              ,104, 642,D,  8,X, 5, 122.00,    255.0200,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,10                   ,                        ,9                           ,                                                                    ,                     ,3                          ,7                      ,25              ,1                                                          ,3                                               ,1                                              ,2                                              ,               ,1               ,2                   ,5                      ,                                      ,                                 ,                     ,2                ,                        ,                         ,                       ,             ,                 ,                    ,                  ,                      ,                      ,              ,                    ,                                  ,                     ,                           ,                             ,                    ,                     ,                     ,                      ,                       ,                   ,                       ,                                         ,                          ,                                           ,1                    ,                ,2                              ,1                      ,              ,                            ,                         ,                                  ,                             ,                          ,                     ,                     ,                  ,                           ,                    ,                                        ,               ,                                     ,                                ,                             ,                                             ,                                         ,                                       ,                               ,                              ,                     ,1                        ,              ,                          ,              ,               ,                   ,                   ,                       ,                       ,                 ,                 ,                     ,                     ,                                  ,                                    ,                       ,                       ,                      ,                           ,                                      ,                        ,                                                                   ,                            ,                        ,                   ,                 ,                   ,                    ,                                                            ,                       ,                       ,Total whole specimens = 76; Unidentifiabale fragments = 3; from ODP Leg 104 Sr Chapter 28 Table 1 p 504-507
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,N. navicula       ,F. folia      ,104, 642,D,  9,X, 2,  66.00,    259.6600,Locker   ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                     ,                        ,                            ,                                                                    ,                     ,                           ,T                      ,43.0%           ,                                                           ,                                                ,                                               ,                                               ,               ,                ,6.0%                ,                       ,                                      ,2.0%                             ,5.0%                 ,                 ,4.0%                    ,23.0%                    ,6.0%                   ,7.0%         ,                 ,2.0%                ,T                 ,1.0%                  ,1.0%                  ,39.0%         ,3.0%                ,                                  ,                     ,3.0%                       ,                             ,                    ,                     ,                     ,                      ,1.0%                   ,1.0%               ,                       ,17.0%                                    ,5.0%                      ,4.0%                                       ,                     ,                ,                               ,                       ,              ,                            ,3.0%                     ,T                                 ,                             ,                          ,                     ,1.0%                 ,                  ,2.0%                       ,1.0%                ,8.0%                                    ,               ,                                     ,                                ,T                            ,                                             ,3                                        ,2.0%                                   ,T                              ,T                             ,1.0%                 ,                         ,              ,                          ,              ,               ,                   ,                   ,                       ,                       ,                 ,                 ,                     ,                     ,                                  ,                                    ,                       ,                       ,                      ,                           ,                                      ,                        ,                                                                   ,                            ,                        ,                   ,                 ,                   ,                    ,                                                            ,                       ,                       ,from ODP 104 SR Chaper 30  Tables 1 & 2 p 550-553
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,N. lata           ,              ,104, 642,D,  9,X, 2,  97.00,    259.9700,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                     ,                        ,3                           ,4                                                                   ,2                    ,2                          ,10                     ,29              ,                                                           ,3                                               ,                                               ,1                                              ,               ,                ,3                   ,                       ,                                      ,                                 ,                     ,1                ,                        ,                         ,                       ,             ,                 ,                    ,                  ,                      ,                      ,              ,                    ,                                  ,                     ,                           ,                             ,                    ,                     ,                     ,                      ,                       ,                   ,                       ,                                         ,                          ,                                           ,                     ,                ,1                              ,1                      ,              ,                            ,                         ,                                  ,                             ,                          ,                     ,                     ,                  ,                           ,                    ,                                        ,               ,                                     ,                                ,                             ,                                             ,                                         ,                                       ,                               ,                              ,                     ,                         ,              ,                          ,              ,               ,                   ,                   ,                       ,                       ,                 ,                 ,                     ,                     ,                                  ,                                    ,                       ,                       ,                      ,                           ,                                      ,                        ,                                                                   ,                            ,                        ,                   ,                 ,                   ,                    ,                                                            ,                       ,                       ,Total whole specimens = 60; Unidentifiabale fragments = 3; from ODP Leg 104 Sr Chapter 28 Table 1 p 504-507
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,N. lata           ,F. folia      ,104, 642,D,  9,X, 5,  70.00,    264.2000,Locker   ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                     ,                        ,                            ,                                                                    ,                     ,                           ,1.0%                   ,62.0%           ,                                                           ,                                                ,                                               ,                                               ,               ,                ,2.0%                ,                       ,                                      ,                                 ,6.0%                 ,T                ,5.0%                    ,16.0%                    ,5.0%                   ,1.0%         ,1.0%             ,1.0%                ,                  ,14.0%                 ,11.0%                 ,32.0%         ,3.0%                ,T                                 ,                     ,4.0%                       ,                             ,                    ,                     ,1.0%                 ,                      ,                       ,                   ,                       ,19.0%                                    ,                          ,4.0%                                       ,                     ,                ,                               ,                       ,              ,                            ,3.0%                     ,                                  ,cf                           ,                          ,                     ,T                    ,                  ,                           ,                    ,T                                       ,               ,                                     ,                                ,T                            ,T                                            ,4.0%                                     ,T                                      ,                               ,                              ,                     ,                         ,              ,                          ,              ,               ,                   ,                   ,                       ,                       ,                 ,                 ,                     ,                     ,                                  ,                                    ,                       ,                       ,                      ,                           ,                                      ,                        ,                                                                   ,                            ,                        ,                   ,                 ,                   ,                    ,                                                            ,                       ,                       ,from ODP 104 SR Chaper 30  Tables 1 & 2 p 550-553
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,N. lata           ,              ,104, 642,D,  9,X, 5, 109.00,    264.5900,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,1                    ,                        ,22                          ,20                                                                  ,8                    ,11                         ,71                     ,115             ,7                                                          ,3                                               ,1                                              ,                                               ,               ,1               ,4                   ,                       ,                                      ,                                 ,                     ,3                ,                        ,                         ,                       ,             ,                 ,                    ,                  ,                      ,                      ,              ,                    ,                                  ,                     ,                           ,                             ,                    ,                     ,                     ,                      ,                       ,                   ,                       ,                                         ,                          ,                                           ,                     ,2               ,1                              ,                       ,              ,                            ,                         ,                                  ,                             ,                          ,                     ,                     ,                  ,                           ,                    ,                                        ,               ,                                     ,1                               ,                             ,                                             ,                                         ,                                       ,                               ,                              ,                     ,                         ,              ,                          ,              ,               ,                   ,                   ,                       ,                       ,                 ,                 ,                     ,                     ,                                  ,                                    ,                       ,                       ,                      ,                           ,                                      ,                        ,                                                                   ,                            ,                        ,                   ,                 ,                   ,                    ,                                                            ,                       ,                       ,Total whole specimens = 274; Unidentifiabale fragments = 19; from ODP Leg 104 Sr Chapter 28 Table 1 p 504-507
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
