Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Zygrhablithus bijugatus,Triquetrorhabdulus carinatus,Sphenolithus moriformis,Sphenolithus distentus,Sphenolithus dissimilis,Sphenolithus compactus,Sphenolithus ciperoensis,Reticulofenestra pseudoumbilica,Reticulofenestra minutula,Reticulofenestra haqii,Reticulofenestra gelida,Helicosphaera recta,Ericsonia obruta,Discoaster deflandrei,Discoaster adamanteus,Cyclicargolithus floridanus,Coccolithus pelagicus,Coccolithus miopelagicus,Coccolithus eopelagicus,Calcidiscus macintyrei,Discoaster spp.,Coronocyclus nitescens,Reticulofenestra minuta,Discoaster variabilis,Sphenolithus delphix,Discoaster druggii,Calcidiscus premacintyrei,Calcidiscus leptoporus,Triquetrorhabdulus milowii,Triquetrorhabdulus rugosus,Sphenolithus abies,Hayaster perplexus,Pontosphaera spp.,Tetralithoides symeonidesii,Sphenolithus heteromorphus,Discoaster exilis,Sphenolithus belemnos,Sphenolithus conicus,Cyclolithella annula,Helicosphaera granulata,Coccolithus streckerii,Dictyococcites productus,Scyphosphaera spp.,Discoaster brouweri,Discoaster braarudii,Discoaster kugleri,Discoaster challengeri,Helicosphaera carteri,Discoaster surculus,Discoaster prepentaradiatus,Discoaster pansus,Discoaster bellus,Discoaster pseudovariabilis,Discoaster hamatus,Discoaster calcaris,Catinaster coalitus,Discoaster bollii,Discoaster triradiatus,Catinaster calyculus,Discoaster neohamatus,Discoaster asymmetricus,Discoaster pentaradiatus,Discoaster neorectus,Discoaster berggrenii,Discoaster quinqueramus,Discoaster loeblichii,Discoaster blackstockae,Pseudoemiliania lacunosa,Discoaster quadramus,Amaurolithus primus,Reticulofenestra asanoi,Ceratolithus rugosus,Helicosphaera sellii,Discoaster tristellifer,Discoaster decorus,Umbilicosphaera sibogae,Helicosphaera wallichii,Helicosphaera neogranulata,Discoaster tamalis,Ceratolithus cristatus,Syracosphaera pulchra,Coccolithus crassipons,Comment
  SR,                 ,                 ,NN9               ,              ,130, 804,C, 14,X, 2,  90.00,    122.7000,Takayama ,Nannofossils                                 ,               ,                  ,                       ,                            ,7                      ,                      ,                       ,5                     ,                        ,14                             ,5                        ,2                     ,87                     ,                   ,                ,                     ,1                    ,                           ,4                    ,5                       ,                       ,4                     ,4              ,T                     ,                       ,3                    ,                    ,                  ,1                        ,21                    ,                          ,1                         ,19                ,                  ,                 ,                           ,                          ,?                ,                     ,                    ,1                   ,3                      ,?                     ,                        ,1                 ,1                  ,                    ,                  ,2                     ,1                    ,                   ,T                          ,                 ,2                ,                           ,3                 ,T                  ,                   ,                 ,                      ,T                   ,3                    ,                       ,                        ,                    ,                     ,                       ,                     ,                       ,                        ,                    ,                   ,                       ,                    ,                    ,                       ,                  ,                       ,                       ,                          ,                  ,                      ,                     ,                      ,from 130SR.Chapter 11.Table 17.page 214-216.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,NN9               ,              ,130, 804,C, 14,X,CC,  19.00,    127.1900,Takayama ,Nannofossils                                 ,               ,                  ,                       ,                            ,1                      ,                      ,                       ,1                     ,                        ,12                             ,                         ,2                     ,123                    ,                   ,                ,                     ,                     ,                           ,5                    ,4                       ,                       ,12                    ,2              ,                      ,                       ,4                    ,                    ,                  ,4                        ,6                     ,                          ,3                         ,5                 ,                  ,T                ,                           ,                          ,1                ,                     ,                    ,3                   ,2                      ,1                     ,                        ,                  ,1                  ,                    ,                  ,3                     ,T                    ,                   ,?                          ,?                ,1                ,?                          ,2                 ,1                  ,T                  ,                 ,?                     ,T                   ,T                    ,                       ,                        ,                    ,                     ,                       ,                     ,                       ,                        ,                    ,                   ,                       ,                    ,                    ,                       ,                  ,                       ,                       ,                          ,                  ,                      ,                     ,                      ,Miscellaneous taxa = 1.from 130SR.Chapter 11.Table 17.page 214-216.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,NN9               ,              ,130, 804,C, 15,X, 2,  90.00,    132.2000,Takayama ,Nannofossils                                 ,               ,                  ,                       ,                            ,                       ,                      ,                       ,                      ,                        ,25                             ,                         ,2                     ,77                     ,                   ,                ,                     ,                     ,                           ,19                   ,8                       ,                       ,9                     ,9              ,                      ,                       ,6                    ,                    ,                  ,                         ,7                     ,                          ,5                         ,5                 ,                  ,                 ,                           ,                          ,                 ,                     ,                    ,                    ,                       ,                      ,                        ,                  ,8                  ,2                   ,                  ,1                     ,                     ,?                  ,T                          ,                 ,?                ,                           ,T                 ,16                 ,                   ,                 ,                      ,                    ,1                    ,                       ,                        ,                    ,                     ,                       ,                     ,                       ,                        ,                    ,                   ,                       ,                    ,                    ,                       ,                  ,                       ,                       ,                          ,                  ,                      ,                     ,                      ,from 130SR.Chapter 11.Table 17.page 214-216.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,NN9               ,              ,130, 804,C, 15,X,CC,   9.00,    134.5200,Takayama ,Nannofossils                                 ,               ,                  ,                       ,                            ,T                      ,                      ,                       ,2                     ,                        ,33                             ,                         ,1                     ,97                     ,                   ,                ,                     ,                     ,                           ,9                    ,1                       ,                       ,17                    ,1              ,                      ,                       ,4                    ,                    ,                  ,2                        ,18                    ,                          ,2                         ,3                 ,                  ,                 ,                           ,                          ,                 ,                     ,                    ,                    ,                       ,                      ,                        ,                  ,                   ,                    ,                  ,2                     ,                     ,                   ,T                          ,?                ,2                ,                           ,5                 ,T                  ,                   ,T                ,?                     ,1                   ,                     ,                       ,                        ,                    ,                     ,                       ,                     ,                       ,                        ,                    ,                   ,                       ,                    ,                    ,                       ,                  ,                       ,                       ,                          ,                  ,                      ,                     ,                      ,from 130SR.Chapter 11.Table 17.page 214-216.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,NN9               ,              ,130, 804,C, 16,X, 1,  90.00,    140.2000,Takayama ,Nannofossils                                 ,               ,                  ,                       ,                            ,T                      ,                      ,                       ,T                     ,                        ,27                             ,2                        ,2                     ,109                    ,                   ,                ,T                    ,                     ,                           ,14                   ,9                       ,                       ,15                    ,               ,                      ,                       ,3                    ,                    ,                  ,                         ,6                     ,                          ,4                         ,                  ,                  ,                 ,                           ,                          ,                 ,                     ,                    ,?                   ,                       ,?                     ,                        ,                  ,                   ,                    ,                  ,2                     ,                     ,                   ,?                          ,?                ,?                ,                           ,2                 ,1                  ,3                  ,?                ,                      ,                    ,                     ,                       ,                        ,                    ,                     ,                       ,                     ,                       ,                        ,                    ,                   ,                       ,                    ,                    ,                       ,                  ,                       ,                       ,                          ,                  ,                      ,                     ,                      ,Miscellaneous taxa = 1.from 130SR.Chapter 11.Table 17.page 214-216.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,NN9               ,              ,130, 804,C, 16,X,CC,  14.00,    141.7800,Takayama ,Nannofossils                                 ,               ,                  ,                       ,                            ,1                      ,                      ,                       ,                      ,                        ,28                             ,1                        ,                      ,99                     ,                   ,                ,                     ,                     ,                           ,7                    ,3                       ,                       ,3                     ,11             ,                      ,                       ,6                    ,                    ,                  ,                         ,4                     ,                          ,6                         ,                  ,                  ,                 ,                           ,                          ,18               ,                     ,                    ,                    ,                       ,                      ,                        ,                  ,                   ,                    ,                  ,1                     ,                     ,                   ,                           ,                 ,                 ,1                          ,5                 ,2                  ,2                  ,                 ,                      ,                    ,                     ,                       ,                        ,                    ,                     ,                       ,                     ,                       ,                        ,                    ,                   ,                       ,                    ,                    ,                       ,                  ,                       ,                       ,                          ,                  ,                      ,                     ,                      ,Miscellaneous taxa = 2.from 130SR.Chapter 11.Table 17.page 214-216.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,NN6               ,NN7           ,130, 804,C, 17,X, 3,  90.00,    152.7000,Takayama ,Nannofossils                                 ,               ,                  ,                       ,                            ,1                      ,                      ,                       ,4                     ,                        ,35                             ,8                        ,24                    ,65                     ,                   ,                ,T                    ,                     ,                           ,18                   ,3                       ,                       ,10                    ,2              ,                      ,3                      ,4                    ,                    ,                  ,                         ,6                     ,                          ,5                         ,2                 ,                  ,1                ,                           ,                          ,1                ,                     ,                    ,2                   ,3                      ,                      ,2                       ,                  ,                   ,                    ,                  ,T                     ,                     ,                   ,?                          ,?                ,?                ,                           ,                  ,                   ,                   ,                 ,                      ,                    ,                     ,                       ,                        ,                    ,                     ,                       ,                     ,                       ,                        ,                    ,                   ,                       ,                    ,                    ,                       ,                  ,                       ,                       ,                          ,                  ,                      ,                     ,                      ,Miscellaneous taxa = 1.from 130SR.Chapter 11.Table 17.page 214-216.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,NN6               ,NN7           ,130, 804,C, 17,X,CC,  23.00,    158.0300,Takayama ,Nannofossils                                 ,               ,                  ,                       ,                            ,2                      ,                      ,                       ,1                     ,                        ,45                             ,4                        ,57                    ,43                     ,                   ,                ,T                    ,                     ,                           ,15                   ,11                      ,                       ,7                     ,               ,?                     ,1                      ,T                    ,                    ,                  ,1                        ,4                     ,                          ,2                         ,1                 ,T                 ,                 ,                           ,                          ,1                ,                     ,                    ,?                   ,1                      ,1                     ,1                       ,                  ,                   ,                    ,?                 ,1                     ,1                    ,T                  ,T                          ,                 ,                 ,                           ,                  ,                   ,                   ,                 ,                      ,                    ,                     ,                       ,                        ,                    ,                     ,                       ,                     ,                       ,                        ,                    ,                   ,                       ,                    ,                    ,                       ,                  ,                       ,                       ,                          ,                  ,                      ,                     ,                      ,from 130SR.Chapter 11.Table 17.page 214-216.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,NN6               ,NN7           ,130, 804,C, 18,X, 3,  90.00,    162.2000,Takayama ,Nannofossils                                 ,               ,                  ,                       ,                            ,T                      ,                      ,                       ,                      ,                        ,50                             ,                         ,2                     ,80                     ,                   ,                ,1                    ,?                    ,                           ,7                    ,3                       ,                       ,14                    ,7              ,                      ,                       ,9                    ,                    ,                  ,                         ,6                     ,                          ,2                         ,                  ,                  ,                 ,                           ,                          ,8                ,                     ,                    ,                    ,                       ,                      ,                        ,                  ,7                  ,1                   ,2                 ,1                     ,                     ,                   ,                           ,                 ,                 ,                           ,                  ,                   ,                   ,                 ,                      ,                    ,                     ,                       ,                        ,                    ,                     ,                       ,                     ,                       ,                        ,                    ,                   ,                       ,                    ,                    ,                       ,                  ,                       ,                       ,                          ,                  ,                      ,                     ,                      ,from 130SR.Chapter 11.Table 17.page 214-216.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,NN6               ,NN7           ,130, 804,C, 18,X,CC,  24.00,    166.8700,Takayama ,Nannofossils                                 ,               ,                  ,                       ,                            ,2                      ,                      ,                       ,?                     ,                        ,33                             ,                         ,1                     ,116                    ,                   ,                ,4                    ,?                    ,                           ,12                   ,5                       ,                       ,4                     ,2              ,T                     ,                       ,7                    ,                    ,                  ,                         ,4                     ,                          ,6                         ,1                 ,                  ,                 ,                           ,                          ,3                ,                     ,                    ,                    ,                       ,                      ,                        ,                  ,?                  ,?                   ,                  ,                      ,                     ,                   ,                           ,                 ,                 ,                           ,                  ,                   ,                   ,                 ,                      ,                    ,                     ,                       ,                        ,                    ,                     ,                       ,                     ,                       ,                        ,                    ,                   ,                       ,                    ,                    ,                       ,                  ,                       ,                       ,                          ,                  ,                      ,                     ,                      ,from 130SR.Chapter 11.Table 17.page 214-216.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,NN6               ,NN7           ,130, 804,C, 19,X, 3,  90.00,    171.9000,Takayama ,Nannofossils                                 ,               ,                  ,                       ,                            ,9                      ,                      ,                       ,1                     ,                        ,28                             ,2                        ,3                     ,103                    ,                   ,                ,3                    ,                     ,                           ,16                   ,15                      ,                       ,1                     ,3              ,T                     ,                       ,5                    ,                    ,                  ,1                        ,1                     ,                          ,1                         ,6                 ,                  ,                 ,                           ,                          ,T                ,                     ,                    ,?                   ,T                      ,T                     ,                        ,1                 ,1                  ,                    ,                  ,                      ,                     ,                   ,                           ,                 ,                 ,                           ,                  ,                   ,                   ,                 ,                      ,                    ,                     ,                       ,                        ,                    ,                     ,                       ,                     ,                       ,                        ,                    ,                   ,                       ,                    ,                    ,                       ,                  ,                       ,                       ,                          ,                  ,                      ,                     ,                      ,from 130SR.Chapter 11.Table 17.page 214-216.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,NN6               ,NN7           ,130, 804,C, 19,X,CC,  16.00,    176.2700,Takayama ,Nannofossils                                 ,               ,                  ,                       ,                            ,1                      ,                      ,                       ,5                     ,                        ,18                             ,9                        ,13                    ,78                     ,                   ,                ,1                    ,                     ,                           ,29                   ,11                      ,                       ,5                     ,               ,T                     ,2                      ,3                    ,                    ,1                 ,                         ,5                     ,                          ,2                         ,9                 ,                  ,                 ,                           ,                          ,4                ,                     ,                    ,2                   ,1                      ,                      ,1                       ,                  ,                   ,                    ,                  ,                      ,                     ,                   ,                           ,                 ,                 ,                           ,                  ,                   ,                   ,                 ,                      ,                    ,                     ,                       ,                        ,                    ,                     ,                       ,                     ,                       ,                        ,                    ,                   ,                       ,                    ,                    ,                       ,                  ,                       ,                       ,                          ,                  ,                      ,                     ,                      ,from 130SR.Chapter 11.Table 17.page 214-216.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,NN4               ,NN5           ,130, 804,C, 20,X, 3,  90.00,    181.6000,Takayama ,Nannofossils                                 ,               ,                  ,                       ,                            ,12                     ,                      ,                       ,1                     ,                        ,7                              ,5                        ,10                    ,20                     ,                   ,                ,16                   ,?                    ,31                         ,32                   ,14                      ,                       ,                      ,5              ,1                     ,                       ,17                   ,                    ,                  ,                         ,5                     ,                          ,1                         ,4                 ,                  ,T                ,1                          ,15                        ,3                ,                     ,                    ,?                   ,?                      ,                      ,                        ,                  ,                   ,                    ,                  ,                      ,                     ,                   ,                           ,                 ,                 ,                           ,                  ,                   ,                   ,                 ,                      ,                    ,                     ,                       ,                        ,                    ,                     ,                       ,                     ,                       ,                        ,                    ,                   ,                       ,                    ,                    ,                       ,                  ,                       ,                       ,                          ,                  ,                      ,                     ,                      ,from 130SR.Chapter 11.Table 17.page 214-216.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,NN4               ,NN5           ,130, 804,C, 20,X,CC,  21.00,    185.7700,Takayama ,Nannofossils                                 ,               ,                  ,                       ,                            ,45                     ,                      ,                       ,                      ,                        ,7                              ,                         ,1                     ,7                      ,                   ,                ,23                   ,1                    ,13                         ,20                   ,17                      ,                       ,T                     ,               ,T                     ,                       ,13                   ,                    ,?                 ,                         ,3                     ,                          ,2                         ,3                 ,                  ,                 ,T                          ,43                        ,?                ,                     ,1                   ,?                   ,1                      ,?                     ,                        ,                  ,                   ,                    ,                  ,                      ,                     ,                   ,                           ,                 ,                 ,                           ,                  ,                   ,                   ,                 ,                      ,                    ,                     ,                       ,                        ,                    ,                     ,                       ,                     ,                       ,                        ,                    ,                   ,                       ,                    ,                    ,                       ,                  ,                       ,                       ,                          ,                  ,                      ,                     ,                      ,from 130SR.Chapter 11.Table 17.page 214-216.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,NN4               ,NN5           ,130, 804,C, 21,X, 2,  91.00,    189.8100,Takayama ,Nannofossils                                 ,               ,                  ,                       ,                            ,1                      ,                      ,                       ,                      ,                        ,3                              ,3                        ,16                    ,12                     ,                   ,                ,6                    ,                     ,33                         ,38                   ,9                       ,                       ,2                     ,27             ,?                     ,                       ,13                   ,                    ,1                 ,1                        ,3                     ,                          ,8                         ,3                 ,T                 ,                 ,                           ,7                         ,11               ,                     ,1                   ,1                   ,                       ,                      ,                        ,                  ,                   ,                    ,                  ,                      ,                     ,                   ,                           ,                 ,                 ,                           ,                  ,                   ,                   ,                 ,                      ,                    ,                     ,                       ,                        ,                    ,                     ,                       ,                     ,                       ,                        ,                    ,                   ,                       ,                    ,                    ,                       ,                  ,                       ,                       ,                          ,                  ,                      ,                     ,                      ,Miscellaneous taxa = 1.from 130SR.Chapter 11.Table 17.page 214-216.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,NN4               ,NN5           ,130, 804,C, 21,X,CC,  18.00,    193.9500,Takayama ,Nannofossils                                 ,               ,                  ,                       ,                            ,26                     ,                      ,2                      ,6                     ,                        ,5                              ,1                        ,1                     ,10                     ,                   ,                ,13                   ,                     ,32                         ,20                   ,6                       ,                       ,                      ,1              ,T                     ,                       ,18                   ,                    ,3                 ,5                        ,2                     ,1                         ,2                         ,1                 ,1                 ,                 ,T                          ,39                        ,?                ,                     ,1                   ,                    ,                       ,                      ,                        ,                  ,                   ,                    ,                  ,                      ,                     ,                   ,                           ,                 ,                 ,                           ,                  ,                   ,                   ,                 ,                      ,                    ,                     ,                       ,                        ,                    ,                     ,                       ,                     ,                       ,                        ,                    ,                   ,                       ,                    ,                    ,                       ,                  ,                       ,                       ,                          ,                  ,                      ,                     ,                      ,Miscellaneous taxa = 4.from 130SR.Chapter 11.Table 17.page 214-216.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,NN4               ,NN5           ,130, 804,C, 22,X, 2,  90.00,    199.5000,Takayama ,Nannofossils                                 ,               ,                  ,                       ,2                           ,21                     ,                      ,1                      ,3                     ,                        ,1                              ,                         ,                      ,                       ,                   ,1               ,25                   ,?                    ,88                         ,25                   ,2                       ,                       ,1                     ,               ,1                     ,                       ,13                   ,                    ,2                 ,                         ,3                     ,                          ,2                         ,                  ,1                 ,                 ,                           ,2                         ,1                ,2                    ,T                   ,                    ,                       ,                      ,                        ,                  ,                   ,                    ,                  ,                      ,                     ,                   ,                           ,                 ,                 ,                           ,                  ,                   ,                   ,                 ,                      ,                    ,                     ,                       ,                        ,                    ,                     ,                       ,                     ,                       ,                        ,                    ,                   ,                       ,                    ,                    ,                       ,                  ,                       ,                       ,                          ,                  ,                      ,                     ,                      ,Miscellaneous taxa = 3.from 130SR.Chapter 11.Table 17.page 214-216.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,NN4               ,NN5           ,130, 804,C, 22,X, 3,  90.00,    201.0000,Takayama ,Nannofossils                                 ,               ,                  ,                       ,4                           ,20                     ,                      ,                       ,9                     ,                        ,1                              ,                         ,                      ,6                      ,                   ,?               ,17                   ,                     ,102                        ,23                   ,7                       ,                       ,1                     ,1              ,3                     ,                       ,1                    ,                    ,T                 ,T                        ,?                     ,                          ,4                         ,                  ,                  ,                 ,                           ,T                         ,                 ,1                    ,                    ,                    ,                       ,                      ,                        ,                  ,                   ,                    ,                  ,                      ,                     ,                   ,                           ,                 ,                 ,                           ,                  ,                   ,                   ,                 ,                      ,                    ,                     ,                       ,                        ,                    ,                     ,                       ,                     ,                       ,                        ,                    ,                   ,                       ,                    ,                    ,                       ,                  ,                       ,                       ,                          ,                  ,                      ,                     ,                      ,from 130SR.Chapter 11.Table 17.page 214-216.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,NN4               ,NN5           ,130, 804,C, 22,X,CC,   9.00,    206.1300,Takayama ,Nannofossils                                 ,               ,                  ,                       ,1                           ,22                     ,                      ,5                      ,4                     ,                        ,2                              ,1                        ,                      ,                       ,                   ,                ,65                   ,                     ,55                         ,15                   ,5                       ,                       ,?                     ,2              ,3                     ,                       ,2                    ,                    ,                  ,                         ,                      ,4                         ,3                         ,                  ,                  ,                 ,T                          ,9                         ,?                ,                     ,                    ,                    ,                       ,                      ,                        ,                  ,                   ,                    ,                  ,                      ,                     ,                   ,                           ,                 ,                 ,                           ,                  ,                   ,                   ,                 ,                      ,                    ,                     ,                       ,                        ,                    ,                     ,                       ,                     ,                       ,                        ,                    ,                   ,                       ,                    ,                    ,                       ,                  ,                       ,                       ,                          ,                  ,                      ,                     ,                      ,Miscellaneous taxa = 2.from 130SR.Chapter 11.Table 17.page 214-216.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,NN2               ,              ,130, 804,C, 23,X, 3,  90.00,    210.7000,Takayama ,Nannofossils                                 ,               ,                  ,                       ,23                          ,8                      ,                      ,1                      ,3                     ,                        ,3                              ,                         ,                      ,2                      ,                   ,                ,60                   ,                     ,51                         ,11                   ,3                       ,                       ,                      ,13             ,T                     ,                       ,6                    ,                    ,5                 ,3                        ,1                     ,1                         ,4                         ,1                 ,                  ,                 ,                           ,                          ,                 ,                     ,                    ,                    ,                       ,                      ,                        ,                  ,                   ,                    ,                  ,                      ,                     ,                   ,                           ,                 ,                 ,                           ,                  ,                   ,                   ,                 ,                      ,                    ,                     ,                       ,                        ,                    ,                     ,                       ,                     ,                       ,                        ,                    ,                   ,                       ,                    ,                    ,                       ,                  ,                       ,                       ,                          ,                  ,                      ,                     ,                      ,Miscellaneous taxa = 1.from 130SR.Chapter 11.Table 17.page 214-216.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,NN2               ,              ,130, 804,C, 23,X,CC,  15.00,    215.1500,Takayama ,Nannofossils                                 ,               ,                  ,                       ,4                           ,21                     ,                      ,4                      ,20                    ,                        ,7                              ,16                       ,28                    ,41                     ,                   ,5               ,18                   ,                     ,8                          ,11                   ,1                       ,                       ,2                     ,1              ,                      ,                       ,1                    ,                    ,?                 ,3                        ,                      ,                          ,                          ,3                 ,1                 ,                 ,                           ,                          ,                 ,                     ,                    ,                    ,                       ,                      ,                        ,                  ,                   ,                    ,                  ,                      ,                     ,                   ,                           ,                 ,                 ,                           ,                  ,                   ,                   ,                 ,                      ,                    ,                     ,                       ,                        ,                    ,                     ,                       ,                     ,                       ,                        ,                    ,                   ,                       ,                    ,                    ,                       ,                  ,                       ,                       ,                          ,                  ,                      ,                     ,                      ,Miscellaneous taxa = 5.from 130SR.Chapter 11.Table 17.page 214-216.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,NN2               ,              ,130, 804,C, 24,X, 2,  90.00,    218.9000,Takayama ,Nannofossils                                 ,               ,                  ,                       ,9                           ,19                     ,                      ,1                      ,14                    ,                        ,6                              ,2                        ,39                    ,41                     ,                   ,4               ,10                   ,                     ,20                         ,2                    ,4                       ,                       ,1                     ,               ,                      ,                       ,                     ,                    ,                  ,4                        ,2                     ,1                         ,6                         ,3                 ,                  ,1                ,                           ,                          ,                 ,                     ,                    ,                    ,                       ,                      ,                        ,                  ,                   ,                    ,                  ,                      ,                     ,                   ,                           ,                 ,                 ,                           ,                  ,                   ,                   ,                 ,                      ,                    ,                     ,                       ,                        ,                    ,                     ,                       ,                     ,                       ,                        ,                    ,                   ,                       ,                    ,                    ,                       ,                  ,                       ,                       ,                          ,                  ,                      ,                     ,                      ,Miscellaneous taxa = 11.from 130SR.Chapter 11.Table 17.page 214-216.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,NN2               ,              ,130, 804,C, 24,X,CC,  18.00,    221.3100,Takayama ,Nannofossils                                 ,               ,                  ,                       ,13                          ,23                     ,                      ,6                      ,16                    ,                        ,4                              ,6                        ,29                    ,41                     ,                   ,2               ,4                    ,                     ,23                         ,14                   ,1                       ,                       ,                      ,               ,                      ,5                      ,2                    ,                    ,T                 ,2                        ,1                     ,                          ,1                         ,1                 ,T                 ,                 ,                           ,                          ,                 ,                     ,                    ,                    ,                       ,                      ,                        ,                  ,                   ,                    ,                  ,                      ,                     ,                   ,                           ,                 ,                 ,                           ,                  ,                   ,                   ,                 ,                      ,                    ,                     ,                       ,                        ,                    ,                     ,                       ,                     ,                       ,                        ,                    ,                   ,                       ,                    ,                    ,                       ,                  ,                       ,                       ,                          ,                  ,                      ,                     ,                      ,Miscellaneous taxa = 6.from 130SR.Chapter 11.Table 17.page 214-216.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
