Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Zygospyris productus,Tympanomma binoctonum,Tholospyris mammillaris,Tholospyris anthopora,Stylatractus universus,Orosphaera sp.,Dorcadospyris forcipata,Didymocyrtis violina,Cyrtocapsella cornuta,Cyclampterium leptetrum,Calocycletta virginis,Tholospyris kantiana,Calocycletta costata,Stichocorys wolffii,Liriospyris stauropora,Dorcadospyris dentata,Calocycletta serrata,Lychnocanoma elongata,Cyrtocapsella tetrapera,Carpocanopsis cingulata,Lychnocanoma sp.,Dorcadospyris ateuchus,Didymocyrtis prismatica,Bathropyramis sp.,Otosphaera polymorpha,Liriospyris mutuaria,Liriospyris geniculosa,Heliodiscus asteriscus,Dorcadospyris praeforcipata,Stylodictya aculeata,Lithochytris vespertilio,Hymeniastrum sp.,Dendrospyris damaecornis,Dendrospyris bursa,Stichocorys delmontensis,Liriospyris parkerae,Eucyrtidium diaphanes,Cornutella profunda,Spongopyle sp,Siphostichartus corona,Dictyophimus sp.,Cyrtocapsella japonica,Carpocanopsis bramlettei,Comment
  IR,Early Miocene    ,                 ,L. elongata (RP22),              ,156, 948,C, 11,X, 2, 120.00,    510.4000,Steiger  ,Radiolarians                                 ,A              ,M                 ,C                   ,                     ,C                      ,C                    ,F                     ,F             ,R                      ,                    ,                     ,                       ,C                    ,                    ,                    ,                   ,                      ,                     ,                    ,R                    ,R                      ,                       ,R               ,F                     ,                       ,                 ,                     ,                    ,                      ,                      ,                           ,                    ,                        ,                ,                        ,                  ,                        ,                    ,                     ,                   ,             ,                      ,                ,                      ,                        ,"From Leg 156SR, Ch 2 Table 1"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Miocene    ,                 ,C. costata (RN4)  ,              ,156, 948,C, 11,X, 4, 105.00,    513.2500,Steiger  ,Radiolarians                                 ,R              ,M                 ,                    ,                     ,F                      ,F                    ,                      ,              ,                       ,                    ,                     ,                       ,F                    ,                    ,F                   ,                   ,                      ,                     ,                    ,                     ,F                      ,                       ,                ,                      ,                       ,                 ,                     ,                    ,                      ,                      ,                           ,                    ,                        ,                ,                        ,                  ,                        ,                    ,                     ,                   ,             ,                      ,                ,                      ,                        ,"From Leg 156SR, Ch 2 Table 1"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Miocene    ,                 ,C. costata (RN4)  ,              ,156, 948,C, 11,X, 5,   0.00,    513.7000,Steiger  ,Radiolarians                                 ,R              ,M                 ,F                   ,F                    ,F                      ,F                    ,F                     ,              ,                       ,F                   ,F                    ,                       ,F                    ,F                   ,F                   ,                   ,                      ,F                    ,                    ,F                    ,F                      ,                       ,                ,                      ,                       ,                 ,                     ,                    ,                      ,                      ,                           ,                    ,                        ,                ,                        ,                  ,                        ,                    ,                     ,                   ,             ,                      ,                ,                      ,                        ,"From Leg 156SR, Ch 2 Table 1"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Miocene    ,                 ,C. costata (RN4)  ,              ,156, 948,C, 11,X, 5,   9.00,    513.7900,Steiger  ,Radiolarians                                 ,R              ,G                 ,F                   ,F                    ,F                      ,F                    ,                      ,              ,F                      ,                    ,F                    ,                       ,F                    ,F                   ,                    ,                   ,F                     ,                     ,                    ,F                    ,F                      ,F                      ,                ,                      ,                       ,                 ,                     ,                    ,                      ,                      ,                           ,                    ,                        ,                ,                        ,                  ,                        ,                    ,                     ,                   ,             ,                      ,                ,                      ,                        ,"From Leg 156SR, Ch 2 Table 1"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Miocene    ,                 ,C. costata (RN4)  ,              ,156, 948,C, 11,X, 5, 106.00,    514.7600,Steiger  ,Radiolarians                                 ,R              ,G                 ,F                   ,F                    ,C                      ,C                    ,F                     ,              ,F                      ,                    ,C                    ,                       ,F                    ,                    ,C                   ,F                  ,F                     ,F                    ,F                   ,                     ,                       ,                       ,                ,                      ,                       ,                 ,                     ,                    ,                      ,                      ,                           ,                    ,                        ,                ,                        ,                  ,                        ,                    ,                     ,                   ,             ,                      ,                ,                      ,                        ,"From Leg 156SR, Ch 2 Table 1"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Miocene    ,                 ,C. costata (RN4)  ,              ,156, 948,C, 12,X, 1,  41.00,    517.8100,Steiger  ,Radiolarians                                 ,R              ,G                 ,                    ,                     ,F                      ,                     ,                      ,              ,                       ,                    ,F                    ,                       ,                     ,                    ,F                   ,                   ,                      ,                     ,                    ,                     ,                       ,                       ,                ,                      ,                       ,                 ,                     ,                    ,                      ,                      ,                           ,                    ,                        ,                ,                        ,                  ,                        ,                    ,                     ,                   ,             ,                      ,                ,                      ,                        ,"From Leg 156SR, Ch 2 Table 1"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Miocene    ,                 ,C. costata (RN4)  ,              ,156, 948,C, 12,X, 1,  71.00,    518.1100,Steiger  ,Radiolarians                                 ,R              ,M                 ,                    ,                     ,                       ,F                    ,                      ,              ,                       ,                    ,F                    ,                       ,F                    ,                    ,                    ,                   ,                      ,                     ,                    ,                     ,                       ,                       ,                ,                      ,                       ,                 ,                     ,                    ,                      ,                      ,                           ,                    ,                        ,                ,                        ,                  ,                        ,                    ,                     ,                   ,             ,                      ,                ,                      ,                        ,"From Leg 156SR, Ch 2 Table 1"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Miocene    ,                 ,C. costata (RN4)  ,              ,156, 948,C, 12,X, 1, 112.00,    518.5200,Steiger  ,Radiolarians                                 ,R              ,M                 ,F                   ,F                    ,F                      ,F                    ,                      ,              ,                       ,                    ,                     ,                       ,                     ,F                   ,F                   ,                   ,                      ,                     ,                    ,                     ,                       ,                       ,                ,                      ,                       ,                 ,                     ,                    ,                      ,                      ,                           ,                    ,                        ,                ,                        ,                  ,                        ,                    ,                     ,                   ,             ,                      ,                ,                      ,                        ,"From Leg 156SR, Ch 2 Table 1"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Miocene    ,                 ,C. costata (RN4)  ,              ,156, 948,C, 12,X, 2,   8.00,    518.9800,Steiger  ,Radiolarians                                 ,R              ,P                 ,                    ,F                    ,F                      ,F                    ,                      ,              ,F                      ,                    ,                     ,                       ,                     ,                    ,                    ,                   ,                      ,                     ,                    ,                     ,                       ,                       ,                ,                      ,                       ,                 ,                     ,                    ,                      ,                      ,                           ,                    ,                        ,                ,                        ,                  ,                        ,                    ,                     ,                   ,             ,                      ,                ,                      ,                        ,"From Leg 156SR, Ch 2 Table 1"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Miocene    ,                 ,C. costata (RN4)  ,              ,156, 948,C, 12,X, 3,  30.00,    520.7000,Steiger  ,Radiolarians                                 ,R              ,P                 ,                    ,                     ,F                      ,F                    ,                      ,              ,                       ,                    ,                     ,                       ,F                    ,                    ,                    ,                   ,                      ,                     ,                    ,                     ,                       ,                       ,                ,                      ,                       ,                 ,                     ,                    ,                      ,                      ,                           ,                    ,                        ,                ,                        ,                  ,                        ,                    ,                     ,                   ,             ,                      ,                ,                      ,                        ,"From Leg 156SR, Ch 2 Table 1"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,156, 948,C, 12,X,CC,  17.00,    525.9000,Steiger  ,Radiolarians                                 ,R              ,P                 ,                    ,                     ,F                      ,F                    ,                      ,              ,                       ,                    ,                     ,                       ,F                    ,                    ,                    ,                   ,                      ,                     ,                    ,                     ,                       ,                       ,                ,                      ,                       ,                 ,                     ,                    ,                      ,                      ,                           ,                    ,                        ,                ,                        ,                  ,                        ,                    ,                     ,                   ,             ,                      ,                ,                      ,                        ,"From Leg 156SR, Ch 2 Table 1"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,156, 948,C, 12,X,CC,  39.00,    526.1200,Steiger  ,Radiolarians                                 ,R              ,M                 ,F                   ,F                    ,F                      ,F                    ,F                     ,F             ,F                      ,F                   ,F                    ,F                      ,F                    ,                    ,                    ,                   ,                      ,                     ,                    ,                     ,                       ,                       ,                ,                      ,                       ,                 ,                     ,                    ,                      ,                      ,                           ,                    ,                        ,                ,                        ,                  ,                        ,                    ,                     ,                   ,             ,                      ,                ,                      ,                        ,"From Leg 156SR, Ch 2 Table 1"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
