Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Zygrhablithus bijugatus,Sphenolithus radians,Sphenolithus pseudoradians,Sphenolithus moriformis,Sphenolithus furcatolithoides,Reticulofenestra umbilica,Reticulofenestra samodurovii,Pedinocyclus larvalis,Lanternithus minutus,Holococcolith type A,Helicosphaera reticulata,Helicosphaera compacta,Hayella situliformis,Ericsonia subdisticha,Ericsonia formosa,Discoaster tanii,Discoaster saipanensis,Discoaster nodifer,Discoaster barbadiensis,Dictyococcites scrippsae,Dictyococcites bisectus,Cyclicargolithus floridanus,Cribrocentrum reticulatum,Coronocyclus nitescens,Coccolithus sp.1,Coccolithus pelagicus,Coccolithus eopelagicus,Chiasmolithus titus,Calcidiscus protoannulus,Calcidiscus kingii,Bramletteius serraculoides,Braarudosphaera bigelowii,Pontosphaera segmenta,Isthmolithus recurvus,Hayaster perplexus,Discoaster deflandrei,Ericsonia obruta,Micrantholithus flos,Sphenolithus predistentus,Peritrachelina joidesa,Helicosphaera euphratis,Sphenolithus aff. distentus,Discoaster adamanteus,Micrantholithus altus,Cyclicargolithus abisectus,Sphenolithus distentus,Coccolithus miopelagicus,Triquetrorhabdulus carinatus,Sphenolithus ciperoensis,Sphenolithus aff. ciperoensis,Cruciplacolithus tarquinius,Triquetrorhabdulus milowii,Helicosphaera intermedia,Catinaster umbrellus,Sphenolithus dissimilis,Crassidiscus backmanii,Sphenolithus conicus,Reticulofenestra daviesii,Discoaster asymmetricus,Cyclicargolithus abisectus (> 10 microns),Cyclicargolithus abisectus (< 10 microns),Clausicoccus fenestratus,Pontosphaera spp.,Sphenolithus delphix,Discoaster undefined 6-ray m.,Sphenolithus calyculus,Helicosphaera spp.,Sphenolithus capricornutus,Reticulofenestrid taxa,Geminilithella rotula,Sphenolithus heteromorphus,Dictyococcites spp.,Coccolithus radiatus,Thoracosphaera spp.,Sphenolithus belemnos,Discoaster druggii,Calcidiscus leptoporus,Triquetrorhabdulus backmanii,Sphenolithus dissimilis/belemnos,Syracosphaera spp.,Helicosphaera ampliaperta,Discoaster undefined 6-ray b.,Discoaster undefined 6-ray,Sphenolithus milanettii,Discoaster moorei,Discoaster signus-tuberi,Scyphosphaera spp.,Calcidiscus premacintyrei,Sphenolith (unspecified taxon or taxa),Triquetrorhabdulus rugosus/rioensis,Helicosphaera sellii,Catinaster spp.,Discoaster kugleri,Discoaster undefined 5-ray,Discoaster neohamatus,Discoaster hamatus,Discoaster prepentaradiatus,Minylitha convallis,Discoaster tamalis,Calcidiscus macintyrei,Umbilicosphaera spp.,Discoaster triradiatus,Discoaster bellus,Discoaster quinqueramus/berggrenii,Discoaster pentaradiatus,Discoaster sp. 2,Rhabdosphaera spp.,Amaurolithus primus,Ceratolithus rugosus,Discoaster variabilis,Discoaster brouweri,Amaurolithus amplificus,Discoaster sp. 1,Discoaster intercalaris,Ceratolithus acutus,Amaurolithus tricorniculatus,Reticulofenestra pseudoumbilicus,Gephyrocapsa oceanica s.l.,Discoaster tristellifer,Pseudoemiliania lacunosa,Discoaster decorus,Ceratolithus armatus,Discoaster surculus,Ceratolithus cristatus,Gephyrocapsa (small),Gephyrocapsa sp. 3,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN10a             ,              ,115, 707,A,  6,H, 3, 130.00,     49.4000,Rio      ,Nannofossils                                 ,A              ,P                 ,                       ,                    ,                          ,                       ,                             ,                         ,                            ,                     ,                    ,                    ,                        ,                      ,                    ,                     ,                 ,                ,                      ,                  ,                       ,                        ,                       ,                           ,                         ,                      ,                ,                     ,                       ,                   ,                        ,                  ,                          ,                         ,                     ,                     ,                  ,                     ,                ,                    ,                         ,                      ,                       ,                           ,                     ,                     ,                          ,                      ,                        ,                            ,                        ,                             ,                           ,                          ,                        ,                    ,                       ,                      ,                    ,                         ,C                      ,                                         ,                                         ,                        ,R                ,                    ,                             ,                      ,C                 ,                          ,C                     ,F                    ,                          ,                   ,R                   ,R                  ,                     ,                  ,C                     ,                            ,                                ,R                 ,                         ,C                            ,C                         ,                       ,                 ,                        ,F                 ,                         ,R                                     ,R                                  ,R                   ,               ,                  ,C                         ,                     ,                  ,                           ,                   ,                  ,cf                    ,                    ,C                     ,                 ,                                  ,cf                      ,                ,                  ,R                  ,R                   ,C                    ,                   ,                       ,                ,                       ,                   ,                            ,                                ,                          ,                       ,                        ,                  ,                    ,                   ,                      ,                    ,                  ,from 115 SR. Chapter 15. Table 5. microfiche in back pocket.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN10a             ,              ,115, 707,A,  6,H, 4,  40.00,     50.0000,Rio      ,Nannofossils                                 ,A              ,P                 ,                       ,                    ,                          ,                       ,                             ,                         ,                            ,                     ,                    ,                    ,                        ,                      ,                    ,                     ,                 ,                ,                      ,                  ,                       ,                        ,                       ,                           ,                         ,                      ,                ,F                    ,                       ,                   ,                        ,                  ,                          ,                         ,                     ,                     ,                  ,                     ,                ,                    ,                         ,                      ,                       ,                           ,                     ,                     ,                          ,                      ,                        ,                            ,                        ,                             ,                           ,                          ,                        ,                    ,                       ,                      ,                    ,                         ,C                      ,                                         ,                                         ,                        ,F                ,                    ,                             ,                      ,C                 ,                          ,C                     ,C                    ,                          ,F                  ,R                   ,R                  ,                     ,                  ,C                     ,                            ,                                ,                  ,                         ,C                            ,C                         ,                       ,                 ,                        ,F                 ,                         ,F                                     ,R                                  ,R                   ,               ,                  ,F                         ,                     ,                  ,                           ,                   ,R                 ,F                     ,                    ,C                     ,                 ,                                  ,cf                      ,                ,                  ,R                  ,R                   ,C                    ,                   ,                       ,                ,                       ,                   ,                            ,                                ,                          ,                       ,                        ,                  ,                    ,                   ,                      ,                    ,                  ,from 115 SR. Chapter 15. Table 5. microfiche in back pocket.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN10a             ,              ,115, 707,A,  6,H, 5,  40.00,     51.5000,Rio      ,Nannofossils                                 ,A              ,P                 ,                       ,                    ,                          ,                       ,                             ,                         ,                            ,                     ,                    ,                    ,                        ,                      ,                    ,                     ,                 ,                ,                      ,                  ,                       ,                        ,                       ,                           ,                         ,                      ,                ,                     ,                       ,                   ,                        ,                  ,                          ,                         ,                     ,                     ,                  ,                     ,                ,                    ,                         ,                      ,                       ,                           ,                     ,                     ,                          ,                      ,                        ,                            ,                        ,                             ,                           ,                          ,                        ,                    ,                       ,                      ,                    ,                         ,C                      ,                                         ,                                         ,                        ,                 ,                    ,                             ,                      ,C                 ,                          ,C                     ,C                    ,                          ,C                  ,R                   ,R                  ,                     ,                  ,C                     ,                            ,                                ,                  ,                         ,C                            ,C                         ,                       ,                 ,                        ,F                 ,                         ,F                                     ,                                   ,R                   ,               ,                  ,F                         ,                     ,                  ,                           ,                   ,R                 ,F                     ,                    ,C                     ,                 ,                                  ,cf                      ,                ,                  ,R                  ,R                   ,C                    ,R                  ,                       ,                ,cf                     ,                   ,                            ,                                ,                          ,                       ,                        ,                  ,                    ,                   ,                      ,                    ,                  ,from 115 SR. Chapter 15. Table 5. microfiche in back pocket.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN10a             ,              ,115, 707,A,  6,H, 6,  40.00,     53.0000,Rio      ,Nannofossils                                 ,A              ,P                 ,                       ,                    ,                          ,                       ,                             ,                         ,                            ,                     ,                    ,                    ,                        ,                      ,                    ,                     ,                 ,                ,                      ,                  ,                       ,                        ,                       ,                           ,                         ,                      ,                ,R                    ,                       ,                   ,                        ,                  ,                          ,                         ,                     ,                     ,                  ,                     ,                ,                    ,                         ,                      ,                       ,                           ,                     ,                     ,                          ,                      ,                        ,                            ,                        ,                             ,                           ,                          ,                        ,                    ,                       ,                      ,                    ,                         ,C                      ,                                         ,                                         ,                        ,R                ,                    ,                             ,                      ,F                 ,                          ,C                     ,C                    ,                          ,F                  ,R                   ,                   ,                     ,                  ,C                     ,                            ,                                ,                  ,                         ,C                            ,C                         ,                       ,                 ,                        ,R                 ,                         ,C                                     ,F                                  ,R                   ,               ,                  ,F                         ,                     ,                  ,                           ,                   ,                  ,F                     ,                    ,C                     ,                 ,                                  ,F                       ,                ,                  ,R                  ,                    ,C                    ,                   ,                       ,                ,                       ,                   ,                            ,                                ,                          ,                       ,                        ,                  ,                    ,                   ,                      ,                    ,                  ,from 115 SR. Chapter 15. Table 5. microfiche in back pocket.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN9b              ,              ,115, 707,A,  6,H, 7,  39.00,     54.4900,Rio      ,Nannofossils                                 ,A              ,P                 ,                       ,                    ,                          ,                       ,                             ,                         ,                            ,                     ,                    ,                    ,                        ,                      ,                    ,                     ,                 ,                ,                      ,                  ,                       ,                        ,                       ,                           ,                         ,                      ,                ,F                    ,                       ,                   ,                        ,                  ,                          ,                         ,                     ,                     ,                  ,                     ,                ,                    ,                         ,                      ,                       ,                           ,                     ,                     ,                          ,                      ,                        ,                            ,                        ,                             ,                           ,                          ,                        ,                    ,                       ,                      ,                    ,                         ,C                      ,                                         ,                                         ,                        ,R                ,                    ,                             ,                      ,C                 ,                          ,C                     ,C                    ,                          ,                   ,R                   ,R                  ,                     ,                  ,C                     ,                            ,                                ,                  ,                         ,C                            ,C                         ,                       ,                 ,                        ,F                 ,                         ,C                                     ,R                                  ,R                   ,               ,                  ,C                         ,                     ,                  ,                           ,                   ,R                 ,C                     ,                    ,C                     ,                 ,C                                 ,F                       ,                ,                  ,R                  ,R                   ,C                    ,R                  ,                       ,                ,                       ,                   ,                            ,                                ,                          ,                       ,                        ,                  ,                    ,                   ,                      ,                    ,                  ,from 115 SR. Chapter 15. Table 5. microfiche in back pocket.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN9b              ,              ,115, 707,A,  6,H,CC,   8.00,     54.5800,Rio      ,Nannofossils                                 ,A              ,P                 ,                       ,                    ,                          ,                       ,                             ,                         ,                            ,                     ,                    ,                    ,                        ,                      ,                    ,                     ,                 ,                ,                      ,                  ,                       ,                        ,                       ,                           ,                         ,                      ,                ,R                    ,                       ,                   ,                        ,                  ,                          ,                         ,                     ,                     ,                  ,                     ,                ,                    ,                         ,                      ,                       ,                           ,                     ,                     ,                          ,                      ,                        ,                            ,                        ,                             ,                           ,                          ,                        ,                    ,                       ,                      ,                    ,                         ,C                      ,                                         ,                                         ,                        ,                 ,                    ,                             ,                      ,C                 ,                          ,C                     ,C                    ,                          ,                   ,R                   ,                   ,                     ,                  ,C                     ,                            ,                                ,                  ,                         ,C                            ,C                         ,                       ,                 ,                        ,R                 ,                         ,C                                     ,R                                  ,R                   ,               ,                  ,C                         ,                     ,                  ,                           ,                   ,                  ,C                     ,                    ,F                     ,                 ,C                                 ,F                       ,                ,                  ,R                  ,                    ,F                    ,R                  ,                       ,                ,                       ,                   ,                            ,                                ,                          ,                       ,                        ,                  ,                    ,                   ,                      ,                    ,                  ,from 115 SR. Chapter 15. Table 5. microfiche in back pocket.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN9b              ,              ,115, 707,A,  7,H, 1, 130.00,     56.0000,Rio      ,Nannofossils                                 ,A              ,M                 ,                       ,                    ,                          ,                       ,                             ,                         ,                            ,                     ,                    ,                    ,                        ,                      ,                    ,                     ,                 ,                ,                      ,                  ,                       ,                        ,                       ,                           ,                         ,                      ,                ,F                    ,                       ,                   ,                        ,                  ,                          ,                         ,                     ,                     ,                  ,                     ,                ,                    ,                         ,                      ,                       ,                           ,                     ,                     ,                          ,                      ,                        ,                            ,                        ,                             ,                           ,                          ,                        ,                    ,                       ,                      ,                    ,                         ,A                      ,                                         ,                                         ,                        ,F                ,                    ,                             ,                      ,C                 ,                          ,C                     ,C                    ,                          ,                   ,R                   ,                   ,                     ,                  ,C                     ,                            ,                                ,F                 ,                         ,F                            ,F                         ,                       ,                 ,                        ,F                 ,                         ,F                                     ,F                                  ,R                   ,               ,                  ,F                         ,                     ,                  ,                           ,                   ,R                 ,C                     ,                    ,C                     ,                 ,C                                 ,C                       ,                ,                  ,R                  ,R                   ,C                    ,                   ,                       ,C               ,                       ,                   ,                            ,                                ,                          ,                       ,                        ,                  ,                    ,                   ,                      ,                    ,                  ,from 115 SR. Chapter 15. Table 5. microfiche in back pocket.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN9b              ,              ,115, 707,A,  7,H, 2, 130.00,     57.5000,Rio      ,Nannofossils                                 ,A              ,M                 ,                       ,                    ,                          ,                       ,                             ,                         ,                            ,                     ,                    ,                    ,                        ,                      ,                    ,                     ,                 ,                ,                      ,                  ,                       ,                        ,                       ,                           ,                         ,                      ,                ,                     ,                       ,                   ,                        ,                  ,                          ,                         ,                     ,                     ,                  ,                     ,                ,                    ,                         ,                      ,                       ,                           ,                     ,                     ,                          ,                      ,                        ,                            ,                        ,                             ,                           ,                          ,                        ,                    ,                       ,                      ,                    ,                         ,C                      ,                                         ,                                         ,                        ,R                ,                    ,                             ,                      ,C                 ,                          ,C                     ,C                    ,                          ,F                  ,R                   ,                   ,                     ,                  ,C                     ,                            ,                                ,R                 ,                         ,F                            ,F                         ,                       ,                 ,                        ,F                 ,                         ,C                                     ,R                                  ,F                   ,               ,                  ,F                         ,                     ,                  ,                           ,                   ,                  ,R                     ,                    ,C                     ,                 ,C                                 ,F                       ,                ,                  ,R                  ,R                   ,F                    ,                   ,                       ,C               ,                       ,                   ,                            ,                                ,                          ,                       ,                        ,                  ,                    ,                   ,                      ,                    ,                  ,from 115 SR. Chapter 15. Table 5. microfiche in back pocket.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN9b              ,              ,115, 707,A,  7,H, 3, 130.00,     59.0000,Rio      ,Nannofossils                                 ,A              ,M                 ,                       ,                    ,                          ,                       ,                             ,                         ,                            ,                     ,                    ,                    ,                        ,                      ,                    ,                     ,                 ,                ,                      ,                  ,                       ,                        ,                       ,                           ,                         ,                      ,                ,R                    ,                       ,                   ,                        ,                  ,                          ,                         ,                     ,                     ,                  ,                     ,                ,                    ,                         ,                      ,                       ,                           ,                     ,                     ,                          ,                      ,                        ,                            ,                        ,                             ,                           ,                          ,                        ,                    ,                       ,                      ,                    ,                         ,A                      ,                                         ,                                         ,                        ,R                ,                    ,                             ,                      ,C                 ,                          ,C                     ,C                    ,                          ,F                  ,R                   ,                   ,                     ,                  ,C                     ,                            ,                                ,R                 ,                         ,C                            ,F                         ,                       ,                 ,                        ,F                 ,                         ,C                                     ,F                                  ,R                   ,               ,                  ,F                         ,                     ,                  ,                           ,                   ,                  ,C                     ,                    ,C                     ,                 ,C                                 ,C                       ,R               ,                  ,F                  ,R                   ,C                    ,R                  ,                       ,F               ,                       ,                   ,                            ,                                ,                          ,                       ,                        ,                  ,                    ,                   ,                      ,                    ,                  ,from 115 SR. Chapter 15. Table 5. microfiche in back pocket.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN9b              ,              ,115, 707,A,  7,H, 4, 130.00,     60.5000,Rio      ,Nannofossils                                 ,A              ,G                 ,                       ,                    ,                          ,                       ,                             ,                         ,                            ,                     ,                    ,                    ,                        ,                      ,                    ,                     ,                 ,                ,                      ,                  ,                       ,                        ,                       ,                           ,                         ,                      ,                ,R                    ,                       ,                   ,                        ,                  ,                          ,                         ,                     ,                     ,                  ,                     ,                ,                    ,                         ,                      ,                       ,                           ,                     ,                     ,                          ,                      ,                        ,                            ,                        ,                             ,                           ,                          ,                        ,                    ,                       ,                      ,                    ,                         ,C                      ,                                         ,                                         ,                        ,R                ,                    ,                             ,                      ,C                 ,                          ,C                     ,C                    ,                          ,C                  ,R                   ,                   ,                     ,                  ,C                     ,                            ,                                ,F                 ,                         ,R                            ,R                         ,                       ,                 ,                        ,F                 ,                         ,C                                     ,F                                  ,R                   ,               ,                  ,F                         ,                     ,                  ,                           ,                   ,R                 ,F                     ,                    ,C                     ,                 ,C                                 ,F                       ,                ,                  ,R                  ,R                   ,C                    ,                   ,                       ,C               ,F                      ,                   ,                            ,                                ,                          ,                       ,                        ,                  ,                    ,                   ,                      ,                    ,                  ,from 115 SR. Chapter 15. Table 5. microfiche in back pocket.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN9b              ,              ,115, 707,A,  7,H, 5, 130.00,     62.0000,Rio      ,Nannofossils                                 ,A              ,M                 ,                       ,                    ,                          ,                       ,                             ,                         ,                            ,                     ,                    ,                    ,                        ,                      ,                    ,                     ,                 ,                ,                      ,                  ,                       ,                        ,                       ,                           ,                         ,                      ,                ,C                    ,                       ,                   ,                        ,                  ,                          ,                         ,                     ,                     ,                  ,                     ,                ,                    ,                         ,                      ,                       ,                           ,                     ,                     ,                          ,                      ,                        ,                            ,                        ,                             ,                           ,                          ,                        ,                    ,                       ,                      ,                    ,                         ,C                      ,                                         ,                                         ,                        ,F                ,                    ,                             ,                      ,C                 ,                          ,C                     ,C                    ,                          ,R                  ,R                   ,                   ,                     ,                  ,C                     ,                            ,                                ,                  ,                         ,F                            ,C                         ,                       ,                 ,                        ,F                 ,                         ,F                                     ,F                                  ,R                   ,               ,                  ,C                         ,                     ,                  ,                           ,                   ,                  ,F                     ,                    ,C                     ,                 ,C                                 ,F                       ,R               ,                  ,R                  ,R                   ,C                    ,                   ,R                      ,                ,                       ,                   ,                            ,                                ,                          ,                       ,                        ,                  ,                    ,                   ,                      ,                    ,                  ,from 115 SR. Chapter 15. Table 5. microfiche in back pocket.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN9b              ,              ,115, 707,A,  7,H, 6,  40.00,     62.6000,Rio      ,Nannofossils                                 ,A              ,P                 ,                       ,                    ,                          ,                       ,                             ,                         ,                            ,                     ,                    ,                    ,                        ,                      ,                    ,                     ,                 ,                ,                      ,                  ,                       ,                        ,                       ,                           ,                         ,                      ,                ,F                    ,                       ,                   ,                        ,                  ,                          ,                         ,                     ,                     ,                  ,                     ,                ,                    ,                         ,                      ,                       ,                           ,                     ,                     ,                          ,                      ,                        ,                            ,                        ,                             ,                           ,                          ,                        ,                    ,                       ,                      ,                    ,                         ,C                      ,                                         ,                                         ,                        ,R                ,                    ,                             ,                      ,C                 ,                          ,C                     ,C                    ,                          ,F                  ,R                   ,                   ,                     ,                  ,C                     ,                            ,                                ,                  ,                         ,C                            ,C                         ,                       ,                 ,                        ,R                 ,                         ,F                                     ,F                                  ,R                   ,               ,                  ,C                         ,                     ,                  ,                           ,                   ,                  ,R                     ,                    ,F                     ,                 ,C                                 ,C                       ,                ,                  ,R                  ,R                   ,cf                   ,                   ,R                      ,                ,                       ,                   ,                            ,                                ,                          ,                       ,                        ,                  ,                    ,                   ,                      ,                    ,                  ,from 115 SR. Chapter 15. Table 5. microfiche in back pocket.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN9b              ,              ,115, 707,A,  7,H,CC,  14.00,     63.5900,Rio      ,Nannofossils                                 ,A              ,M                 ,                       ,                    ,                          ,                       ,                             ,                         ,                            ,                     ,                    ,                    ,                        ,                      ,                    ,                     ,                 ,                ,                      ,                  ,                       ,                        ,                       ,                           ,                         ,                      ,                ,R                    ,                       ,                   ,                        ,                  ,                          ,                         ,                     ,                     ,                  ,                     ,                ,                    ,                         ,                      ,                       ,                           ,                     ,                     ,                          ,                      ,                        ,                            ,                        ,                             ,                           ,                          ,                        ,                    ,                       ,                      ,                    ,                         ,C                      ,                                         ,                                         ,                        ,F                ,                    ,                             ,                      ,C                 ,                          ,C                     ,C                    ,                          ,F                  ,R                   ,R                  ,                     ,                  ,C                     ,                            ,                                ,R                 ,                         ,C                            ,C                         ,                       ,                 ,                        ,F                 ,                         ,C                                     ,F                                  ,R                   ,               ,                  ,F                         ,                     ,                  ,                           ,                   ,                  ,C                     ,                    ,C                     ,                 ,C                                 ,C                       ,R               ,                  ,                   ,R                   ,F                    ,R                  ,                       ,                ,                       ,                   ,                            ,                                ,                          ,                       ,                        ,                  ,                    ,                   ,                      ,                    ,                  ,from 115 SR. Chapter 15. Table 5. microfiche in back pocket.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN9b              ,              ,115, 707,A,  8,H, 1, 130.00,     65.6000,Rio      ,Nannofossils                                 ,A              ,M                 ,                       ,                    ,                          ,                       ,                             ,                         ,                            ,                     ,                    ,                    ,                        ,                      ,                    ,                     ,                 ,                ,                      ,                  ,                       ,                        ,                       ,                           ,                         ,                      ,                ,F                    ,                       ,                   ,                        ,                  ,                          ,                         ,                     ,                     ,                  ,                     ,                ,                    ,                         ,                      ,                       ,                           ,                     ,                     ,                          ,                      ,                        ,                            ,                        ,                             ,                           ,                          ,                        ,                    ,                       ,                      ,                    ,                         ,C                      ,                                         ,                                         ,                        ,R                ,                    ,                             ,                      ,C                 ,                          ,C                     ,F                    ,                          ,C                  ,R                   ,                   ,                     ,                  ,C                     ,                            ,                                ,                  ,                         ,C                            ,C                         ,                       ,                 ,                        ,C                 ,                         ,C                                     ,F                                  ,R                   ,               ,                  ,F                         ,                     ,                  ,                           ,                   ,                  ,C                     ,                    ,F                     ,                 ,C                                 ,F                       ,R               ,                  ,R                  ,R                   ,C                    ,R                  ,R                      ,F               ,                       ,                   ,                            ,                                ,                          ,                       ,                        ,                  ,                    ,                   ,                      ,                    ,                  ,from 115 SR. Chapter 15. Table 5. microfiche in back pocket.
