Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,planktonics miscellaneous,Candeina nitida,Orbulina universa,Neogloboquadrina pachyderma,Globigerinoides quadrilobatus,Globigerinoides immaturus,Globigerinita glutinata,Globigerinella cf. pseudobesa,Globigerina bulloides,Orbulina suturalis,Neogloboquadrina continuosa,Globorotalia scitula,Globigerinoides trilobus,Globigerinella pseudobesa,Globigerina cf. bulloides,Orbulina bilobata,Globigerina woodi,Globigerinoides obliquus,Neogloboquadrina cf. pachyderma,Globigerina quinqueloba,Globorotalia hirsuta,Neogloboquadrina dutertrei,Globorotalia truncatulinoides,Globorotalia inflata,Globigerinoides ruber,Globigerinoides sacculifer,Globigerina cf. quinqueloba,Comment
  IR,                 ,                 ,                  ,              ,174,1072,A, 34,R,CC,   0.00,    188.5700,Olson    ,Planktonic Foraminifers                      ,R              ,P                 ,2                        ,               ,                 ,                           ,3                            ,1                        ,                       ,                             ,                     ,                  ,                           ,                    ,                        ,1                        ,                         ,                 ,                 ,                        ,                               ,                       ,                    ,                          ,                             ,                    ,                     ,                          ,                           ,P/B=300% benthics=VR quartz=A mica=C pyrite=F-R carbonaceous=C
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,174,1072,A, 35,R,CC,   0.00,    193.9900,Olson    ,Planktonic Foraminifers                      ,F              ,                  ,10                       ,               ,                 ,3                          ,3                            ,                         ,3                      ,                             ,5                    ,1                 ,1                          ,7                   ,2                       ,5                        ,                         ,1                ,4                ,                        ,                               ,                       ,                    ,                          ,                             ,                    ,                     ,                          ,                           ,P/B=100% benthics=F quartz=A mica=A carbonaceous=A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,174,1072,A, 36,R,CC,   0.00,    197.5200,Olson    ,Planktonic Foraminifers                      ,R              ,P                 ,1                        ,               ,                 ,4                          ,2                            ,1                        ,                       ,                             ,                     ,                  ,                           ,                    ,                        ,                         ,                         ,                 ,                 ,                        ,                               ,                       ,                    ,                          ,                             ,                    ,                     ,                          ,                           ,P/B=400% benthics=VR quartz=A mica=A carbonaceous=C
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,174,1072,A, 37,R,CC,   0.00,    203.3400,Olson    ,Planktonic Foraminifers                      ,R              ,                  ,                         ,               ,                 ,+                          ,                             ,                         ,+                      ,                             ,+                    ,                  ,                           ,+                   ,                        ,                         ,                         ,                 ,                 ,                        ,                               ,                       ,                    ,                          ,                             ,                    ,                     ,                          ,                           ,P/B=3benthics=R-C quartz=A mica=A pyrite=R
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,174,1072,A, 38,R,CC,   0.00,    207.0800,Olson    ,Planktonic Foraminifers                      ,T              ,P                 ,                         ,               ,                 ,                           ,                             ,                         ,                       ,                             ,                     ,                  ,                           ,                    ,                        ,                         ,1                        ,                 ,                 ,                        ,                               ,                       ,                    ,                          ,                             ,                    ,                     ,                          ,                           ,P/B=0 benthics=F-C quartz=A mica=A carbonaceous=C
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,174,1072,A, 39,R,CC,   0.00,    213.8000,Olson    ,Planktonic Foraminifers                      ,R              ,                  ,+                        ,               ,                 ,                           ,                             ,                         ,+                      ,                             ,+                    ,                  ,                           ,+                   ,+                       ,                         ,                         ,                 ,                 ,                        ,                               ,                       ,                    ,                          ,                             ,                    ,                     ,                          ,                           ,P/B=9% benthics=R quartz=A mica=A pyrite=R
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,174,1072,A, 40,R,CC,   0.00,    215.9000,Olson    ,Planktonic Foraminifers                      ,F              ,                  ,17                       ,               ,                 ,4                          ,1                            ,                         ,                       ,                             ,2                    ,2                 ,2                          ,1                   ,1                       ,4                        ,                         ,                 ,                 ,                        ,                               ,                       ,                    ,                          ,                             ,                    ,                     ,                          ,                           ,P/B=100% benthics=F quartz=A mica=A carbonaceous=A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,174,1072,A, 41,R,CC,   0.00,    222.4800,Olson    ,Planktonic Foraminifers                      ,F              ,P                 ,4                        ,               ,2                ,7                          ,1                            ,1                        ,2                      ,3                            ,1                    ,                  ,                           ,                    ,                        ,                         ,                         ,                 ,                 ,                        ,                               ,                       ,                    ,                          ,                             ,                    ,                     ,                          ,                           ,P/B=70% benthics=F quartz=A mica=A carbonaceous=C
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Miocene     ,                  ,              ,174,1072,A, 47,R,CC,   0.00,    254.6500,Olson    ,Planktonic Foraminifers                      ,T              ,P                 ,4                        ,2              ,                 ,                           ,                             ,                         ,                       ,                             ,                     ,                  ,                           ,                    ,                        ,                         ,                         ,                 ,                 ,                        ,                               ,                       ,                    ,                          ,                             ,                    ,                     ,                          ,                           ,P/B=30% benthics=R glauconite=A quartz=A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
