Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Tranolithus phacelosus	Rhagodiscus asper	Rhagodiscus angustus	Prediscosphaera columnata	Hayesites albiensis	Gephyrorhabdus coronadventis	Flabellites oblongus	Eprolithus floralis	Corollithion signum	Chiastozygus platyrhethus	Braarudosphaera stenorhetha	Braarudosphaera africana	Watznaueria britannica	Stoverius achylosus	Eiffellithus turriseiffelii	Cretarhabdus loriei	Cribrosphaerella ehrenbergii	Gartnerago praeobliquum	Nannoconus truitti ssp rectangularis	Braarudosphaera quinquecostata	Nannoconus fragilis	Parhabdolithus achylostaurion	Microstaurus chiastius	Crucicribrum striatum	Radiolithus orbiculatus	Lapideacassis mariae	Rucinolithus irregularis	Radiolithus planus	Nannoconus regularis	Metadoga mercurius	Axopodorhabdus albianus	Gartnerago obliquum	Lithraphidites alatus	Lithraphidites acutum spp. eccentricum	Corollithion kennedyi	Tranolithus exiguus	Prediscosphaera avitus	Gartnerago nanum	Ceratolithoides aculeus	Reinhardtites levis	Quadrum trifidum	Quadrum gothicum	Perchnielsenella stradneri	Lithraphidites praequadratus	Arkhangelskiella cymbiformis	Micula praemurus	Lithraphidites quadratus	Micula murus	Semihololithus priscus	Lithraphidites kennethii	Lithraphidites grossopectinatus	Ceratolithoides kamptneri	Cylindralithus oweinae	Cribrocorona gallica	Pseudomicula quadrata	Micula prinsii	Nephrolithus frequens	Prediscosphaera grandis	Prediscosphaera cretacea	Microrhabdulus decoratus	Biscutum parvulum	Neochiastozygus primitivus	Cyclagelosphaera reinhardtii	Cruciplacolithus tenuis	Cruciplacolithus primus (small)	Cruciplacolithus primus	Chiastozygus ultimus	Prinsius tenuiculum	Prinsius martinii	Prinsius dimorphosus	Neocrepidolithus cruciatus	Chiasmolithus danicus	Neochiastozygus modestus	Neochiastozygus imbriei	Ellipsolithus bollii	Fasciculithus magnus	Chiasmolithus edwardsii	Ellipsolithus macellus	Cruciplacolithus edwardsii	Ericsonia robusta	Octolithus multiplus	Prinsius bisulcus	Thoracosphaera spp.	Placozygus sigmoides	Ericsonia subpertusa	Discoaster barbadiensis	Chiasmolithus solitus	Chiasmolithus grandis	Chiasmolithus gigas	Nannotetrina fulgens	Reticulofenestra umbilica	Chiasmolithus consuetus	Cribrocentrum reticulatum	Bramletteius serraculoides	Lanternithus minutus	Discoaster saipanensis	Comment

  IR	                 	Early Paleocene  	                  	              	171	1052	E	 18	R	 2	  48.50	    302.0850	Watkins  	Nannofossils                                 	R              	M                 	                      	                 	                    	                         	                   	                            	                    	                   	                   	                         	                           	                        	                      	                   	                           	                   	                            	                       	                                    	                              	                   	                             	                      	                     	                       	                    	                        	                  	                    	                  	                       	                   	                     	                                      	                     	                   	                      	                	                       	                   	                	                	                          	                            	                            	                	                        	            	                      	                        	                               	                         	                      	                    	                     	              	                     	                       	                        	                        	+                	                          	                            	                       	                               	                       	                    	                   	                 	                    	                          	                     	                        	                       	                    	                    	                       	                      	                          	                 	                    	                 	                   	                    	                    	                       	                     	                     	                   	                    	                         	                       	                         	                          	                    	                      	dominantly thoracosphaeres

  IR	                 	Maestrichtian    	                  	CC26          	171	1052	E	 18	R	 3	  56.00	    302.7700	Watkins  	Nannofossils                                 	A              	VG                	                      	                 	+                   	                         	                   	                            	                    	                   	                   	                         	                           	                        	                      	                   	+                          	                   	                            	                       	                                    	                              	                   	                             	                      	                     	                       	                    	                        	                  	                    	                  	                       	                   	                     	                                      	                     	                   	                      	                	+                      	                   	                	                	                          	                            	+                           	                	+                       	+           	                      	                        	                               	+                        	+                     	                    	                     	+             	                     	                       	+                       	+                       	                 	                          	                            	                       	                               	                       	                    	                   	                 	                    	                          	                     	                        	                       	                    	                    	                       	                      	                          	                 	                    	                 	                   	                    	                    	                       	                     	                     	                   	                    	                         	                       	                         	                          	                    	                      	       

  IR	                 	Maestrichtian    	                  	CC26          	171	1052	E	 19	R	CC	   9.00	    311.7600	Watkins  	Nannofossils                                 	A              	VG                	                      	                 	                    	                         	                   	                            	                    	                   	                   	                         	                           	                        	                      	                   	+                          	                   	                            	                       	                                    	                              	                   	                             	                      	                     	                       	                    	                        	                  	                    	                  	                       	                   	                     	                                      	                     	                   	                      	                	                       	                   	                	                	                          	                            	+                           	                	+                       	+           	                      	                        	                               	+                        	+                     	                    	+                    	              	                     	+                      	                        	                        	                 	                          	                            	                       	                               	                       	                    	                   	                 	                    	                          	                     	                        	                       	                    	                    	                       	                      	                          	                 	                    	                 	                   	                    	                    	                       	                     	                     	                   	                    	                         	                       	                         	                          	                    	                      	       

  IR	                 	Maestrichtian    	                  	CC26          	171	1052	E	 20	R	 4	  77.00	    324.5700	Watkins  	Nannofossils                                 	A              	G                 	                      	                 	                    	                         	                   	                            	                    	                   	                   	                         	                           	                        	                      	                   	                           	                   	                            	                       	                                    	                              	                   	                             	                      	                     	                       	                    	                        	                  	                    	                  	                       	                   	                     	                                      	                     	                   	                      	                	                       	                   	                	                	                          	                            	+                           	                	+                       	+           	                      	                        	                               	+                        	+                     	                    	                     	+             	+                    	                       	                        	                        	                 	                          	                            	                       	                               	                       	                    	                   	                 	                    	                          	                     	                        	                       	                    	                    	                       	                      	                          	                 	                    	                 	                   	                    	                    	                       	                     	                     	                   	                    	                         	                       	                         	                          	                    	                      	Subzone CC26b

  IR	                 	Maestrichtian    	                  	CC26          	171	1052	E	 20	R	 6	  89.00	    327.6900	Watkins  	Nannofossils                                 	A              	G                 	                      	                 	                    	                         	                   	                            	                    	                   	                   	                         	                           	                        	                      	                   	                           	                   	                            	                       	                                    	                              	                   	                             	                      	                     	                       	                    	                        	                  	                    	                  	                       	                   	                     	                                      	                     	                   	                      	                	+                      	                   	                	                	                          	                            	                            	                	+                       	+           	                      	                        	                               	+                        	+                     	                    	                     	+             	                     	                       	                        	                        	                 	                          	                            	                       	                               	                       	                    	                   	                 	                    	                          	                     	                        	                       	                    	                    	                       	                      	                          	                 	                    	                 	                   	                    	                    	                       	                     	                     	                   	                    	                         	                       	                         	                          	                    	                      	Subzone CC26b

  IR	                 	Maestrichtian    	                  	CC26          	171	1052	E	 20	R	CC	  19.00	    329.1500	Watkins  	Nannofossils                                 	A              	G                 	                      	                 	                    	                         	                   	                            	                    	                   	                   	                         	                           	                        	                      	                   	                           	                   	                            	                       	                                    	                              	                   	                             	                      	                     	                       	                    	                        	                  	                    	                  	                       	                   	                     	                                      	                     	                   	                      	                	                       	                   	                	                	                          	                            	+                           	                	+                       	+           	                      	                        	                               	+                        	                      	                    	                     	              	                     	                       	                        	                        	                 	                          	                            	                       	                               	                       	                    	                   	                 	                    	                          	                     	                        	                       	                    	                    	                       	                      	                          	                 	                    	                 	                   	                    	                    	                       	                     	                     	                   	                    	                         	                       	                         	                          	                    	                      	       

  IR	                 	Maestrichtian    	                  	CC26          	171	1052	E	 21	R	CC	  20.00	    336.1700	Watkins  	Nannofossils                                 	A              	G                 	                      	                 	                    	                         	                   	                            	                    	                   	                   	                         	                           	                        	                      	                   	                           	                   	                            	                       	                                    	                              	                   	                             	                      	                     	                       	                    	                        	                  	                    	                  	                       	                   	                     	                                      	                     	                   	                      	                	                       	                   	                	                	                          	                            	+                           	                	+                       	+           	                      	                        	                               	+                        	                      	                    	+                    	              	                     	                       	                        	                        	                 	                          	                            	                       	                               	                       	                    	                   	                 	                    	                          	                     	                        	                       	                    	                    	                       	                      	                          	                 	                    	                 	                   	                    	                    	                       	                     	                     	                   	                    	                         	                       	                         	                          	                    	                      	       

  IR	                 	Maestrichtian    	                  	CC26          	171	1052	E	 22	R	CC	  20.00	    343.9800	Watkins  	Nannofossils                                 	A              	G                 	                      	                 	                    	                         	                   	                            	                    	                   	                   	                         	                           	                        	                      	                   	                           	                   	                            	                       	                                    	                              	                   	                             	                      	                     	                       	                    	                        	                  	                    	                  	                       	                   	                     	                                      	                     	                   	                      	                	                       	                   	                	                	                          	+                           	+                           	                	+                       	+           	+                     	                        	+                              	+                        	                      	+                   	                     	              	                     	                       	                        	                        	                 	                          	                            	                       	                               	                       	                    	                   	                 	                    	                          	                     	                        	                       	                    	                    	                       	                      	                          	                 	                    	                 	                   	                    	                    	                       	                     	                     	                   	                    	                         	                       	                         	                          	                    	                      	Subzone CC26a--no M. prinsii

  IR	                 	Maestrichtian    	                  	CC26          	171	1052	E	 23	R	 2	  39.00	    350.1900	Watkins  	Nannofossils                                 	A              	G                 	                      	                 	                    	                         	                   	                            	                    	                   	                   	                         	                           	                        	                      	                   	                           	                   	                            	                       	                                    	                              	                   	                             	                      	                     	                       	                    	                        	                  	                    	                  	                       	                   	                     	                                      	                     	                   	                      	                	+                      	                   	                	                	                          	                            	                            	                	+                       	+           	                      	+                       	                               	+                        	+                     	                    	                     	              	                     	                       	                        	                        	                 	                          	                            	                       	                               	                       	                    	                   	                 	                    	                          	                     	                        	                       	                    	                    	                       	                      	                          	                 	                    	                 	                   	                    	                    	                       	                     	                     	                   	                    	                         	                       	                         	                          	                    	                      	Zone CC26a; No M. prinsii

  IR	                 	Maestrichtian    	                  	CC26          	171	1052	E	 23	R	 3	  45.00	    351.7500	Watkins  	Nannofossils                                 	A              	G                 	                      	                 	                    	                         	                   	                            	                    	                   	                   	                         	                           	                        	                      	                   	                           	                   	                            	                       	                                    	                              	                   	                             	                      	                     	                       	                    	                        	                  	                    	                  	                       	                   	                     	                                      	                     	                   	                      	                	+                      	                   	                	                	                          	                            	                            	                	+                       	+           	                      	+                       	+                              	+                        	                      	                    	                     	              	                     	                       	                        	                        	                 	                          	                            	                       	                               	                       	                    	                   	                 	                    	                          	                     	                        	                       	                    	                    	                       	                      	                          	                 	                    	                 	                   	                    	                    	                       	                     	                     	                   	                    	                         	                       	                         	                          	                    	                      	Zone CC26a; No M. prinsii

  IR	                 	Maestrichtian    	                  	CC25          	171	1052	E	 23	R	 4	  12.00	    352.9200	Watkins  	Nannofossils                                 	A              	G                 	                      	                 	                    	                         	                   	                            	                    	                   	                   	                         	                           	                        	                      	                   	                           	                   	                            	                       	                                    	                              	                   	                             	                      	                     	                       	                    	                        	                  	                    	                  	                       	                   	                     	                                      	                     	                   	                      	                	+                      	                   	                	                	                          	+                           	                            	                	+                       	+           	                      	                        	+                              	                         	                      	                    	                     	              	                     	                       	                        	                        	                 	                          	                            	                       	                               	                       	                    	                   	                 	                    	                          	                     	                        	                       	                    	                    	                       	                      	                          	                 	                    	                 	                   	                    	                    	                       	                     	                     	                   	                    	                         	                       	                         	                          	                    	                      	Zone CC25c

  IR	                 	Maestrichtian    	                  	CC25          	171	1052	E	 23	R	CC	  18.00	    354.7200	Watkins  	Nannofossils                                 	A              	G                 	                      	                 	                    	                         	                   	                            	                    	                   	                   	                         	                           	                        	                      	                   	                           	                   	                            	                       	                                    	                              	                   	                             	                      	                     	                       	                    	                        	                  	                    	                  	                       	                   	                     	                                      	                     	                   	                      	                	+                      	                   	                	                	                          	                            	+                           	                	+                       	+           	                      	+                       	+                              	                         	                      	                    	                     	              	                     	                       	                        	                        	                 	                          	                            	                       	                               	                       	                    	                   	                 	                    	                          	                     	                        	                       	                    	                    	                       	                      	                          	                 	                    	                 	                   	                    	                    	                       	                     	                     	                   	                    	                         	                       	                         	                          	                    	                      	Subzone CC25c

  IR	                 	Maestrichtian    	                  	CC25          	171	1052	E	 24	R	CC	   9.00	    362.5700	Watkins  	Nannofossils                                 	A              	G                 	                      	                 	                    	                         	                   	                            	                    	                   	                   	                         	                           	                        	                      	                   	                           	                   	                            	                       	                                    	                              	                   	                             	                      	                     	                       	                    	                        	                  	                    	                  	                       	                   	                     	                                      	                     	                   	                      	                	+                      	                   	                	                	                          	                            	+                           	                	+                       	            	+                     	                        	                               	                         	                      	                    	                     	              	                     	                       	                        	                        	                 	                          	                            	                       	                               	                       	                    	                   	                 	                    	                          	                     	                        	                       	                    	                    	                       	                      	                          	                 	                    	                 	                   	                    	                    	                       	                     	                     	                   	                    	                         	                       	                         	                          	                    	                      	Subzone CC25c

  IR	                 	Maestrichtian    	                  	CC25          	171	1052	E	 25	R	CC	   0.00	    368.8500	Watkins  	Nannofossils                                 	A              	G                 	                      	                 	                    	                         	                   	                            	                    	                   	                   	                         	                           	                        	                      	                   	                           	                   	                            	                       	                                    	                              	                   	                             	                      	                     	                       	                    	                        	                  	                    	                  	                       	                   	                     	                                      	                     	                   	                      	                	+                      	                   	                	                	                          	                            	+                           	                	+                       	+           	                      	                        	                               	                         	                      	                    	                     	              	                     	                       	                        	                        	                 	                          	                            	                       	                               	                       	                    	                   	                 	                    	                          	                     	                        	                       	                    	                    	                       	                      	                          	                 	                    	                 	                   	                    	                    	                       	                     	                     	                   	                    	                         	                       	                         	                          	                    	                      	Subzone CC25c; reworked early Maast.

  IR	                 	Maestrichtian    	                  	CC25          	171	1052	E	 26	R	 1	   3.00	    377.1300	Watkins  	Nannofossils                                 	A              	G                 	                      	                 	+                   	                         	                   	                            	                    	                   	                   	                         	                           	                        	                      	                   	                           	                   	                            	                       	                                    	                              	                   	                             	                      	                     	                       	                    	                        	                  	                    	                  	                       	                   	                     	                                      	                     	                   	                      	                	+                      	                   	                	                	                          	                            	+                           	                	+                       	            	                      	                        	                               	                         	                      	                    	                     	              	                     	                       	                        	                        	                 	                          	                            	                       	                               	                       	                    	                   	                 	                    	                          	                     	                        	                       	                    	                    	                       	                      	                          	                 	                    	                 	                   	                    	                    	                       	                     	                     	                   	                    	                         	                       	                         	                          	                    	                      	Subzone CC25b; reworked Maastr.-Camp.

  IR	                 	Maestrichtian    	                  	CC25          	171	1052	E	 26	R	 2	  59.00	    379.1900	Watkins  	Nannofossils                                 	A              	G                 	                      	                 	                    	                         	                   	                            	                    	                   	                   	                         	                           	                        	                      	                   	+                          	                   	                            	                       	                                    	                              	                   	                             	                      	                     	                       	                    	                        	                  	                    	                  	                       	                   	                     	                                      	                     	                   	                      	                	+                      	                   	                	                	                          	                            	                            	                	+                       	            	                      	                        	                               	                         	                      	                    	                     	              	                     	                       	                        	                        	                 	                          	                            	                       	                               	                       	                    	                   	                 	                    	                          	                     	                        	                       	                    	                    	                       	                      	                          	                 	                    	                 	                   	                    	                    	                       	                     	                     	                   	                    	                         	                       	                         	                          	                    	                      	Zone CC25b; No M. murus

  IR	                 	Maestrichtian    	                  	CC25          	171	1052	E	 26	R	CC	  35.00	    387.0100	Watkins  	Nannofossils                                 	A              	G                 	                      	                 	                    	                         	                   	                            	                    	                   	                   	                         	                           	                        	                      	                   	                           	                   	                            	                       	                                    	                              	                   	                             	                      	                     	                       	                    	                        	                  	                    	                  	                       	                   	                     	                                      	                     	                   	                      	                	+                      	                   	                	                	                          	+                           	+                           	+               	+                       	            	                      	                        	                               	                         	                      	                    	                     	              	                     	                       	                        	                        	                 	                          	                            	                       	                               	                       	                    	                   	                 	                    	                          	                     	                        	                       	                    	                    	                       	                      	                          	                 	                    	                 	                   	                    	                    	                       	                     	                     	                   	                    	                         	                       	                         	                          	                    	                      	Subzone CC25b; reworked early Maast.

  IR	                 	Maestrichtian    	                  	CC25          	171	1052	E	 28	R	CC	   0.00	    400.1200	Watkins  	Nannofossils                                 	A              	G                 	                      	                 	                    	                         	                   	                            	                    	                   	                   	                         	                           	                        	                      	                   	                           	                   	                            	                       	                                    	                              	                   	                             	                      	                     	                       	                    	                        	                  	                    	                  	                       	                   	                     	                                      	                     	                   	                      	                	+                      	                   	                	                	                          	+                           	                            	                	                        	            	                      	                        	                               	                         	                      	                    	                     	              	                     	                       	                        	                        	                 	                          	                            	                       	                               	                       	                    	                   	                 	                    	                          	                     	                        	                       	                    	                    	                       	                      	                          	                 	                    	                 	                   	                    	                    	                       	                     	                     	                   	                    	                         	                       	                         	                          	                    	                      	Subzone CC25a; Reinhardtites (?) sp.

  IR	                 	Maestrichtian    	                  	CC25          	171	1052	E	 29	R	CC	   0.00	    414.5200	Watkins  	Nannofossils                                 	C              	G                 	                      	                 	                    	                         	                   	                            	                    	                   	                   	                         	                           	                        	                      	                   	                           	                   	                            	                       	                                    	                              	                   	                             	                      	                     	                       	                    	                        	                  	                    	                  	                       	                   	                     	                                      	                     	                   	                      	                	+                      	                   	                	                	                          	                            	                            	                	                        	            	                      	                        	                               	                         	                      	                    	                     	              	                     	                       	                        	                        	                 	                          	                            	                       	                               	                       	                    	                   	                 	                    	                          	                     	                        	                       	                    	                    	                       	                      	                          	                 	                    	                 	                   	                    	                    	                       	                     	                     	                   	                    	                         	                       	                         	                          	                    	                      	Subzone CC25a; Reinhardtites (?) sp.
