Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Hedbergella planispira	Globotruncana ventricosa	Globotruncana arca	Globotruncanella petaloidea	Heterohelix semicostata	Planoglobulina acervulinoides	Rugoglobigerina hexacamerata	Pseudotextularia nuttalli	Heterohelix dentata	Globotruncana rugosa	Abathomphalus mayaroensis	Rosita walfischensis	Gublerina acuta	Globotruncanella pschadae	Globotruncana rosetta	Planorotalites imitatus	Morozovella albeari	Morozovella kolchidica	Planorotalites planoconicus	Morozovella pseudobulloides	Subbotina triangularis	Truncorotaloides rohri	Pseudohastigerina naguewichiensis	Chiloguembelina midwayensis	Turborotalia increbescens	Subbotina angiporoides	Globigerina ampliapertura	Globigerina gortanii	Globigerina ouachitaensis	Tenuitella postcretacea	Tenuitella munda	Globigerina ciperoensis	Clavatorella sp. aff. C. nicobarensis	Sphaeroidinella dehiscens	Pulleniatina obliquiloculata	Orbulina universa	Neogloboquadrina dutertrei	Globorotalia tumida	Globorotalia menardii	Globorotalia crassaformis	Globoquadrina hexagona	Globoquadrina conglomerata	Globigerinoides tenellus	Globigerinoides sacculifer	Globigerinoides ruber	Globigerinoides conglobatus	Globigerinita glutinata	Globigerinella aequilateralis	Globigerina rubescens	Globigerina falconensis	Globigerina calida	Globigerina bulloides	Globorotalia truncatulinoides (dex.)	Globorotalia scitula	Globorotalia hirsuta	Globigerina digitata	P-D intergrade	Neogloboquadrina pachyderma (dex.)	Globorotalia inflata	Globorotalia truncatulinoides (sin.)	Comment

  SR	                 	                 	                  	              	121	 758	A	  1	H	 3	 111.00	      4.1100	Chen     	Planktonic Foraminifers                      	               	                  	                      	                        	                  	                           	                       	                             	                            	                         	                   	                    	                         	                    	               	                         	                     	                       	                   	                      	                           	                           	                      	                      	                                 	                           	                         	                      	                         	                    	                         	                       	                	                       	                                     	.2%                      	14.0%                       	                 	16.3%                     	1.7%               	17.6%                	3.0%                     	.6%                   	4.9%                      	.6%                     	5.7%                      	13.1%                	.9%                        	6.1%                   	1.1%                         	.2%                  	.6%                    	1.1%              	8.5%                 	                                    	                    	                    	                    	3.8%          	                                  	                    	                                    	from ODP Leg 121 SR Chapter 4 Table 1 p 128-131

  SR	                 	                 	                  	              	121	 758	A	  1	H	 3	 121.00	      4.2100	Chen     	Planktonic Foraminifers                      	               	                  	                      	                        	                  	                           	                       	                             	                            	                         	                   	                    	                         	                    	               	                         	                     	                       	                   	                      	                           	                           	                      	                      	                                 	                           	                         	                      	                         	                    	                         	                       	                	                       	                                     	.2%                      	9.4%                        	                 	19.5%                     	.7%                	15.4%                	2.9%                     	1.9%                  	2.9%                      	.5%                     	9.2%                      	16.2%                	2.2%                       	8.7%                   	1.9%                         	.5%                  	.2%                    	1.0%              	4.8%                 	                                    	.7%                 	                    	.7%                 	.5%           	                                  	                    	                                    	from ODP Leg 121 SR Chapter 4 Table 1 p 128-131

  SR	                 	                 	                  	              	121	 758	A	  1	H	 3	 131.00	      4.3100	Chen     	Planktonic Foraminifers                      	               	                  	                      	                        	                  	                           	                       	                             	                            	                         	                   	                    	                         	                    	               	                         	                     	                       	                   	                      	                           	                           	                      	                      	                                 	                           	                         	                      	                         	                    	                         	                       	                	                       	                                     	.3%                      	10.1%                       	.6%              	21.3%                     	.3%                	11.5%                	.9%                      	.9%                   	5.3%                      	.3%                     	10.1%                     	18.9%                	2.1%                       	6.8%                   	2.1%                         	                     	                       	1.2%              	5.9%                 	.3%                                 	.6%                 	                    	                    	.6%           	                                  	                    	                                    	from ODP Leg 121 SR Chapter 4 Table 1 p 128-131

  SR	                 	                 	                  	              	121	 758	A	  1	H	 3	 141.00	      4.4100	Chen     	Planktonic Foraminifers                      	               	                  	                      	                        	                  	                           	                       	                             	                            	                         	                   	                    	                         	                    	               	                         	                     	                       	                   	                      	                           	                           	                      	                      	                                 	                           	                         	                      	                         	                    	                         	                       	                	                       	                                     	.2%                      	11.3%                       	.3%              	17.2%                     	1.0%               	10.5%                	3.4%                     	2.0%                  	6.1%                      	.3%                     	10.3%                     	16.9%                	2.2%                       	6.8%                   	2.9%                         	.2%                  	.2%                    	.9%               	5.2%                 	.3%                                 	.2%                 	.2%                 	                    	1.5%          	                                  	                    	                                    	from ODP Leg 121 SR Chapter 4 Table 1 p 128-131

  SR	                 	                 	                  	              	121	 758	A	  1	H	 4	   1.00	      4.5100	Chen     	Planktonic Foraminifers                      	               	                  	                      	                        	                  	                           	                       	                             	                            	                         	                   	                    	                         	                    	               	                         	                     	                       	                   	                      	                           	                           	                      	                      	                                 	                           	                         	                      	                         	                    	                         	                       	                	                       	                                     	                         	14.6%                       	.5%              	18.5%                     	2.6%               	15.6%                	4.1%                     	1.0%                  	2.4%                      	1.0%                    	2.6%                      	10.8%                	.5%                        	11.8%                  	1.4%                         	1.2%                 	.7%                    	1.4%              	5.5%                 	                                    	.2%                 	                    	                    	2.6%          	1.0%                              	                    	                                    	from ODP Leg 121 SR Chapter 4 Table 1 p 128-131

  SR	                 	                 	                  	              	121	 758	A	  1	H	 4	  11.00	      4.6100	Chen     	Planktonic Foraminifers                      	               	                  	                      	                        	                  	                           	                       	                             	                            	                         	                   	                    	                         	                    	               	                         	                     	                       	                   	                      	                           	                           	                      	                      	                                 	                           	                         	                      	                         	                    	                         	                       	                	                       	                                     	                         	10.6%                       	.5%              	14.2%                     	.3%                	15.0%                	2.1%                     	.8%                   	6.7%                      	                        	10.6%                     	18.6%                	1.3%                       	5.2%                   	3.4%                         	                     	.8%                    	2.3%              	5.7%                 	                                    	                    	.3%                 	                    	2.1%          	                                  	                    	                                    	from ODP Leg 121 SR Chapter 4 Table 1 p 128-131

  SR	                 	                 	                  	              	121	 758	A	  1	H	 4	  21.00	      4.7100	Chen     	Planktonic Foraminifers                      	               	                  	                      	                        	                  	                           	                       	                             	                            	                         	                   	                    	                         	                    	               	                         	                     	                       	                   	                      	                           	                           	                      	                      	                                 	                           	                         	                      	                         	                    	                         	                       	                	                       	                                     	                         	11.2%                       	1.0%             	10.3%                     	.2%                	6.2%                 	1.4%                     	2.2%                  	2.6%                      	.2%                     	13.9%                     	32.3%                	.2%                        	9.8%                   	2.2%                         	                     	                       	1.0%              	2.9%                 	                                    	                    	1.0%                	.5%                 	.5%           	.5%                               	                    	                                    	from ODP Leg 121 SR Chapter 4 Table 1 p 128-131

  SR	                 	                 	                  	              	121	 758	A	  1	H	 4	  31.00	      4.8100	Chen     	Planktonic Foraminifers                      	               	                  	                      	                        	                  	                           	                       	                             	                            	                         	                   	                    	                         	                    	               	                         	                     	                       	                   	                      	                           	                           	                      	                      	                                 	                           	                         	                      	                         	                    	                         	                       	                	                       	                                     	                         	11.8%                       	.4%              	16.2%                     	.6%                	9.1%                 	1.8%                     	1.3%                  	3.2%                      	.2%                     	14.1%                     	19.6%                	.7%                        	12.8%                  	1.0%                         	                     	.2%                    	1.3%              	3.7%                 	                                    	                    	.3%                 	                    	1.5%          	.2%                               	                    	                                    	from ODP Leg 121 SR Chapter 4 Table 1 p 128-131

  SR	                 	                 	                  	              	121	 758	A	  1	H	 4	  41.00	      4.9100	Chen     	Planktonic Foraminifers                      	               	                  	                      	                        	                  	                           	                       	                             	                            	                         	                   	                    	                         	                    	               	                         	                     	                       	                   	                      	                           	                           	                      	                      	                                 	                           	                         	                      	                         	                    	                         	                       	                	                       	                                     	                         	16.7%                       	.9%              	18.1%                     	1.0%               	10.9%                	2.3%                     	1.1%                  	1.6%                      	.9%                     	7.1%                      	13.7%                	.9%                        	11.9%                  	1.3%                         	1.1%                 	.9%                    	1.0%              	7.0%                 	                                    	                    	                    	                    	1.3%          	.4%                               	                    	                                    	from ODP Leg 121 SR Chapter 4 Table 1 p 128-131

  SR	                 	                 	                  	              	121	 758	A	  1	H	 4	  51.00	      5.0100	Chen     	Planktonic Foraminifers                      	               	                  	                      	                        	                  	                           	                       	                             	                            	                         	                   	                    	                         	                    	               	                         	                     	                       	                   	                      	                           	                           	                      	                      	                                 	                           	                         	                      	                         	                    	                         	                       	                	                       	                                     	                         	12.9%                       	                 	18.2%                     	1.3%               	9.9%                 	3.3%                     	1.3%                  	2.3%                      	1.0%                    	9.9%                      	12.3%                	1.0%                       	12.9%                  	1.7%                         	1.7%                 	1.0%                   	1.0%              	5.0%                 	                                    	.3%                 	                    	                    	3.0%          	                                  	                    	                                    	from ODP Leg 121 SR Chapter 4 Table 1 p 128-131

  SR	                 	                 	                  	              	121	 758	A	  1	H	 4	  61.00	      5.1100	Chen     	Planktonic Foraminifers                      	               	                  	                      	                        	                  	                           	                       	                             	                            	                         	                   	                    	                         	                    	               	                         	                     	                       	                   	                      	                           	                           	                      	                      	                                 	                           	                         	                      	                         	                    	                         	                       	                	                       	                                     	                         	13.1%                       	.7%              	11.4%                     	1.9%               	15.9%                	1.4%                     	.2%                   	2.6%                      	.5%                     	11.4%                     	17.0%                	.5%                        	9.1%                   	1.6%                         	1.2%                 	.5%                    	.9%               	8.4%                 	                                    	                    	1.2%                	                    	.2%           	.5%                               	                    	                                    	from ODP Leg 121 SR Chapter 4 Table 1 p 128-131

  SR	                 	                 	                  	              	121	 758	A	  1	H	 4	  71.00	      5.2100	Chen     	Planktonic Foraminifers                      	               	                  	                      	                        	                  	                           	                       	                             	                            	                         	                   	                    	                         	                    	               	                         	                     	                       	                   	                      	                           	                           	                      	                      	                                 	                           	                         	                      	                         	                    	                         	                       	                	                       	                                     	.2%                      	8.5%                        	.2%              	18.3%                     	.6%                	7.4%                 	2.1%                     	1.4%                  	3.9%                      	.8%                     	11.7%                     	20.8%                	.6%                        	8.5%                   	3.3%                         	1.4%                 	.4%                    	1.8%              	6.8%                 	                                    	.2%                 	                    	.6%                 	.8%           	                                  	                    	                                    	from ODP Leg 121 SR Chapter 4 Table 1 p 128-131

  SR	                 	                 	                  	              	121	 758	A	  1	H	 4	  81.00	      5.3100	Chen     	Planktonic Foraminifers                      	               	                  	                      	                        	                  	                           	                       	                             	                            	                         	                   	                    	                         	                    	               	                         	                     	                       	                   	                      	                           	                           	                      	                      	                                 	                           	                         	                      	                         	                    	                         	                       	                	                       	                                     	.2%                      	11.1%                       	.4%              	11.3%                     	4.0%               	6.6%                 	3.6%                     	1.4%                  	6.6%                      	.8%                     	14.3%                     	24.1%                	2.8%                       	3.2%                   	2.8%                         	.8%                  	.6%                    	.8%               	3.2%                 	                                    	.2%                 	                    	.2%                 	1.0%          	.2%                               	                    	                                    	from ODP Leg 121 SR Chapter 4 Table 1 p 128-131

  SR	                 	                 	                  	              	121	 758	A	  2	H	 1	   1.00	      6.0100	Chen     	Planktonic Foraminifers                      	               	                  	                      	                        	                  	                           	                       	                             	                            	                         	                   	                    	                         	                    	               	                         	                     	                       	                   	                      	                           	                           	                      	                      	                                 	                           	                         	                      	                         	                    	                         	                       	                	                       	                                     	1.2%                     	16.0%                       	1.5%             	13.6%                     	4.8%               	13.3%                	1.8%                     	1.5%                  	4.5%                      	                        	9.3%                      	17.5%                	.3%                        	3.3%                   	3.9%                         	.3%                  	                       	1.5%              	4.5%                 	                                    	.3%                 	                    	.9%                 	              	                                  	                    	                                    	from ODP Leg 121 SR Chapter 4 Table 1 p 128-131

  SR	                 	                 	                  	              	121	 758	A	  2	H	 1	  11.00	      6.1100	Chen     	Planktonic Foraminifers                      	               	                  	                      	                        	                  	                           	                       	                             	                            	                         	                   	                    	                         	                    	               	                         	                     	                       	                   	                      	                           	                           	                      	                      	                                 	                           	                         	                      	                         	                    	                         	                       	                	                       	                                     	.8%                      	13.3%                       	.8%              	13.3%                     	4.7%               	12.1%                	1.6%                     	.4%                   	6.6%                      	                        	15.2%                     	10.9%                	2.7%                       	2.7%                   	5.5%                         	                     	                       	2.7%              	4.3%                 	                                    	                    	                    	.4%                 	2.0%          	                                  	                    	                                    	from ODP Leg 121 SR Chapter 4 Table 1 p 128-131

  SR	                 	                 	                  	              	121	 758	A	  2	H	 1	  21.00	      6.2100	Chen     	Planktonic Foraminifers                      	               	                  	                      	                        	                  	                           	                       	                             	                            	                         	                   	                    	                         	                    	               	                         	                     	                       	                   	                      	                           	                           	                      	                      	                                 	                           	                         	                      	                         	                    	                         	                       	                	                       	                                     	.4%                      	8.3%                        	1.3%             	18.4%                     	1.9%               	6.6%                 	1.3%                     	1.1%                  	3.2%                      	2.1%                    	11.8%                     	21.2%                	2.6%                       	8.3%                   	3.0%                         	.2%                  	.9%                    	1.5%              	5.1%                 	                                    	                    	                    	.2%                 	.6%           	                                  	                    	                                    	from ODP Leg 121 SR Chapter 4 Table 1 p 128-131

  SR	                 	                 	                  	              	121	 758	A	  2	H	 1	  31.00	      6.3100	Chen     	Planktonic Foraminifers                      	               	                  	                      	                        	                  	                           	                       	                             	                            	                         	                   	                    	                         	                    	               	                         	                     	                       	                   	                      	                           	                           	                      	                      	                                 	                           	                         	                      	                         	                    	                         	                       	                	                       	                                     	.4%                      	12.8%                       	1.7%             	12.8%                     	1.9%               	10.2%                	.6%                      	1.3%                  	4.4%                      	1.2%                    	13.2%                     	19.2%                	2.9%                       	7.7%                   	2.9%                         	.8%                  	.6%                    	1.9%              	2.9%                 	                                    	                    	                    	.4%                 	.4%           	                                  	                    	                                    	from ODP Leg 121 SR Chapter 4 Table 1 p 128-131

  SR	                 	                 	                  	              	121	 758	A	  2	H	 1	  41.00	      6.4100	Chen     	Planktonic Foraminifers                      	               	                  	                      	                        	                  	                           	                       	                             	                            	                         	                   	                    	                         	                    	               	                         	                     	                       	                   	                      	                           	                           	                      	                      	                                 	                           	                         	                      	                         	                    	                         	                       	                	                       	                                     	                         	14.3%                       	1.7%             	14.0%                     	2.9%               	7.8%                 	.5%                      	1.5%                  	3.9%                      	1.2%                    	12.1%                     	19.9%                	.7%                        	8.7%                   	4.1%                         	.5%                  	.2%                    	1.5%              	3.9%                 	                                    	                    	                    	                    	.7%           	                                  	                    	                                    	from ODP Leg 121 SR Chapter 4 Table 1 p 128-131

  SR	                 	                 	                  	              	121	 758	A	  2	H	 1	  51.00	      6.5100	Chen     	Planktonic Foraminifers                      	               	                  	                      	                        	                  	                           	                       	                             	                            	                         	                   	                    	                         	                    	               	                         	                     	                       	                   	                      	                           	                           	                      	                      	                                 	                           	                         	                      	                         	                    	                         	                       	                	                       	                                     	                         	9.9%                        	1.0%             	18.2%                     	2.5%               	8.4%                 	.4%                      	1.3%                  	2.8%                      	1.5%                    	7.5%                      	21.6%                	1.3%                       	8.5%                   	3.4%                         	.9%                  	.3%                    	1.3%              	7.4%                 	                                    	                    	                    	.4%                 	1.0%          	.2%                               	.2%                 	                                    	from ODP Leg 121 SR Chapter 4 Table 1 p 128-131

  SR	                 	                 	                  	              	121	 758	A	  2	H	 1	  61.00	      6.6100	Chen     	Planktonic Foraminifers                      	               	                  	                      	                        	                  	                           	                       	                             	                            	                         	                   	                    	                         	                    	               	                         	                     	                       	                   	                      	                           	                           	                      	                      	                                 	                           	                         	                      	                         	                    	                         	                       	                	                       	                                     	.3%                      	14.4%                       	.6%              	17.4%                     	2.1%               	10.1%                	1.2%                     	.9%                   	5.2%                      	.3%                     	9.5%                      	18.4%                	1.8%                       	7.0%                   	2.1%                         	                     	                       	2.1%              	3.4%                 	                                    	                    	                    	1.2%                	1.5%          	.3%                               	                    	                                    	from ODP Leg 121 SR Chapter 4 Table 1 p 128-131

  SR	                 	                 	                  	              	121	 758	A	  2	H	 1	  71.00	      6.7100	Chen     	Planktonic Foraminifers                      	               	                  	                      	                        	                  	                           	                       	                             	                            	                         	                   	                    	                         	                    	               	                         	                     	                       	                   	                      	                           	                           	                      	                      	                                 	                           	                         	                      	                         	                    	                         	                       	                	                       	                                     	.2%                      	16.6%                       	1.0%             	14.6%                     	3.7%               	10.0%                	1.4%                     	.8%                   	3.1%                      	1.0%                    	13.5%                     	14.8%                	2.5%                       	10.3%                  	1.0%                         	.2%                  	                       	2.1%              	2.9%                 	                                    	                    	                    	.4%                 	              	                                  	                    	                                    	from ODP Leg 121 SR Chapter 4 Table 1 p 128-131

  SR	                 	                 	                  	              	121	 758	A	  2	H	 1	  81.00	      6.8100	Chen     	Planktonic Foraminifers                      	               	                  	                      	                        	                  	                           	                       	                             	                            	                         	                   	                    	                         	                    	               	                         	                     	                       	                   	                      	                           	                           	                      	                      	                                 	                           	                         	                      	                         	                    	                         	                       	                	                       	                                     	1.3%                     	20.5%                       	.5%              	10.9%                     	5.1%               	10.7%                	1.3%                     	.5%                   	2.7%                      	2.4%                    	2.4%                      	16.8%                	                           	15.7%                  	3.2%                         	                     	                       	.5%               	4.5%                 	.3%                                 	                    	                    	.5%                 	              	                                  	                    	                                    	from ODP Leg 121 SR Chapter 4 Table 1 p 128-131

  SR	                 	                 	                  	              	121	 758	A	  2	H	 1	  91.00	      6.9100	Chen     	Planktonic Foraminifers                      	               	                  	                      	                        	                  	                           	                       	                             	                            	                         	                   	                    	                         	                    	               	                         	                     	                       	                   	                      	                           	                           	                      	                      	                                 	                           	                         	                      	                         	                    	                         	                       	                	                       	                                     	.9%                      	33.6%                       	1.4%             	13.5%                     	9.9%               	18.8%                	.9%                      	.9%                   	1.4%                      	                        	3.1%                      	3.1%                 	1.4%                       	3.1%                   	2.7%                         	                     	                       	.9%               	3.6%                 	                                    	.5%                 	                    	                    	.5%           	                                  	                    	                                    	from ODP Leg 121 SR Chapter 4 Table 1 p 128-131

  SR	                 	                 	                  	              	121	 758	A	  2	H	 1	 101.00	      7.0100	Chen     	Planktonic Foraminifers                      	               	                  	                      	                        	                  	                           	                       	                             	                            	                         	                   	                    	                         	                    	               	                         	                     	                       	                   	                      	                           	                           	                      	                      	                                 	                           	                         	                      	                         	                    	                         	                       	                	                       	                                     	.9%                      	30.1%                       	                 	17.1%                     	9.7%               	7.4%                 	                         	                      	2.8%                      	.5%                     	8.3%                      	7.4%                 	                           	3.2%                   	2.8%                         	                     	.5%                    	.9%               	2.8%                 	                                    	.5%                 	                    	1.9%                	2.8%          	.5%                               	                    	                                    	from ODP Leg 121 SR Chapter 4 Table 1 p 128-131

  SR	                 	                 	                  	              	121	 758	A	  2	H	 1	 121.00	      7.2100	Chen     	Planktonic Foraminifers                      	               	                  	                      	                        	                  	                           	                       	                             	                            	                         	                   	                    	                         	                    	               	                         	                     	                       	                   	                      	                           	                           	                      	                      	                                 	                           	                         	                      	                         	                    	                         	                       	                	                       	                                     	                         	38.5%                       	2.1%             	16.4%                     	9.7%               	11.8%                	.5%                      	                      	1.5%                      	                        	5.6%                      	6.7%                 	                           	2.1%                   	3.6%                         	                     	                       	.5%               	.5%                  	                                    	                    	                    	.5%                 	              	                                  	                    	                                    	from ODP Leg 121 SR Chapter 4 Table 1 p 128-131

  SR	                 	                 	                  	              	121	 758	A	  2	H	 1	 131.00	      7.3100	Chen     	Planktonic Foraminifers                      	               	                  	                      	                        	                  	                           	                       	                             	                            	                         	                   	                    	                         	                    	               	                         	                     	                       	                   	                      	                           	                           	                      	                      	                                 	                           	                         	                      	                         	                    	                         	                       	                	                       	                                     	1.3%                     	21.4%                       	.9%              	14.5%                     	4.4%               	7.2%                 	                         	.6%                   	2.2%                      	4.7%                    	6.0%                      	12.3%                	.9%                        	10.1%                  	2.5%                         	.6%                  	.6%                    	1.6%              	7.2%                 	                                    	.3%                 	                    	                    	.3%           	.3%                               	                    	                                    	from ODP Leg 121 SR Chapter 4 Table 1 p 128-131
