Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Gephyrocapsa Group 2	Gephyrocapsa Group 1	Coccolithus pelagicus	Gephyrocapsa oceanica	Emiliania huxleyi	Syracosphaera sp.	Coccolithus crassipons	Crenalithus doronicoides	Pontosphaera sp.	Coccolithus streckerii	Gephyrocapsa Group 4	Emiliania pujosae	Calcidiscus leptoporus	Braarudosphaera bigelowii	Pontosphaera japonica	Syracosphaera pulchra	Gephyrocapsa caribbeanica	Gephyrocapsa Group 3	Helicosphaera carteri	Reticulofenestra sp.	Umbilicosphaera mirabilis	Thoracosphaera sp.	Gephyrocapsa sp.	Umbellosphaera tenuis	Rhabdosphaera clavigera	Comment
  SR	Late Pleistocene 	                 	NN21              	              	139	 857	A	  6	H	 7	   8.00	     49.9800	Mao      	Nannofossils                                 	C              	P                 	R                   	C                   	R                    	                     	R                	                 	                      	                        	                	                      	                    	                 	                      	R                        	                     	                     	                         	R                   	                     	                    	                         	                  	                	                     	                       	from ODP Leg 139 SR; Chapter 5; Table 7; p 66-67

  IR	Late Pleistocene 	Holocene         	NN21A             	              	139	 857	A	  6	H	CC	  22.00	     50.7600	Mao      	Nannofossils                                 	C              	P                 	                    	                    	R                    	C                    	R                	                 	                      	                        	                	                      	                    	                 	                      	R                        	                     	                     	                         	                    	                     	                    	                         	                  	                	                     	                       	,from ODP Leg 139 IR; Chapter 7; Table 7; pp 324-326

  SR	Late Pleistocene 	                 	NN21              	              	139	 857	A	  7	H	 1	   5.00	     50.4500	Mao      	Nannofossils                                 	A              	M                 	                    	A                   	F                    	                     	F                	                 	                      	                        	                	                      	R                   	R                	                      	                         	                     	                     	                         	R                   	                     	                    	                         	                  	                	                     	                       	from ODP Leg 139 SR; Chapter 5; Table 7; p 66-67

  SR	Late Pleistocene 	                 	NN21              	              	139	 857	A	  7	H	 2	   7.00	     50.7900	Mao      	Nannofossils                                 	A              	M                 	                    	A                   	F                    	                     	F                	                 	                      	F                       	                	                      	                    	                 	                      	R                        	                     	                     	                         	                    	                     	                    	                         	                  	                	                     	                       	from ODP Leg 139 SR; Chapter 5; Table 7; p 66-67

  SR	Late Pleistocene 	                 	NN21              	              	139	 857	A	  7	H	 3	 135.00	     53.5700	Mao      	Nannofossils                                 	A              	M                 	R                   	A                   	F                    	                     	F                	                 	                      	                        	                	                      	                    	                 	                      	R                        	                     	                     	                         	                    	                     	                    	                         	                  	                	                     	                       	from ODP Leg 139 SR; Chapter 5; Table 7; p 66-67

  SR	Late Pleistocene 	                 	NN21              	              	139	 857	A	  7	H	 4	   1.00	     53.6300	Mao      	Nannofossils                                 	A              	P                 	                    	A                   	F                    	A                    	F                	                 	                      	                        	                	                      	                    	                 	                      	R                        	R                    	                     	                         	                    	                     	                    	                         	                  	                	                     	                       	from ODP Leg 139 SR; Chapter 5; Table 7; p 66-67

  SR	Late Pleistocene 	                 	NN21              	              	139	 857	A	  7	H	 4	  70.00	     54.3200	Mao      	Nannofossils                                 	C              	M                 	F                   	C                   	R                    	                     	F                	                 	                      	                        	                	                      	F                   	R                	                      	R                        	                     	                     	                         	R                   	                     	                    	                         	                  	                	                     	                       	from ODP Leg 139 SR; Chapter 5; Table 7; p 66-67

  SR	Late Pleistocene 	                 	NN21              	              	139	 857	A	  7	H	 5	  80.00	     55.5700	Mao      	Nannofossils                                 	C              	P                 	                    	C                   	F                    	                     	R                	                 	                      	R                       	                	                      	                    	                 	                      	R                        	                     	                     	                         	R                   	                     	                    	                         	                  	                	                     	                       	from ODP Leg 139 SR; Chapter 5; Table 7; p 66-67

  SR	Late Pleistocene 	                 	NN21              	              	139	 857	A	  7	H	 6	  13.00	     55.8100	Mao      	Nannofossils                                 	C              	M                 	R                   	C                   	R                    	                     	F                	                 	                      	                        	                	                      	R                   	R                	                      	R                        	                     	                     	                         	                    	                     	                    	                         	                  	                	                     	                       	from ODP Leg 139 SR; Chapter 5; Table 7; p 66-67

  SR	Late Pleistocene 	                 	NN21              	              	139	 857	A	  7	H	 7	   6.00	     57.1300	Mao      	Nannofossils                                 	A              	P                 	F                   	A                   	C                    	                     	R                	                 	R                     	                        	                	                      	                    	                 	                      	R                        	                     	                     	                         	                    	                     	                    	                         	                  	                	                     	                       	from ODP Leg 139 SR; Chapter 5; Table 7; p 66-67

  IR	Late Pleistocene 	Holocene         	NN21A             	              	139	 857	A	  7	H	CC	   0.00	     57.6700	Mao      	Nannofossils                                 	F              	P                 	                    	                    	R                    	F                    	R                	                 	                      	                        	                	                      	                    	                 	                      	R                        	                     	                     	                         	                    	                     	                    	                         	                  	                	                     	                       	,from ODP Leg 139 IR; Chapter 7; Table 7; pp 324-326

  SR	Late Pleistocene 	                 	NN21              	              	139	 857	A	  8	H	 2	 107.00	     62.4700	Mao      	Nannofossils                                 	C              	P                 	R                   	C                   	F                    	                     	R                	                 	R                     	R                       	                	                      	R                   	                 	                      	                         	                     	                     	                         	                    	                     	                    	                         	                  	                	                     	                       	from ODP Leg 139 SR; Chapter 5; Table 7; p 66-67

  SR	Late Pleistocene 	                 	NN21              	              	139	 857	A	  8	H	 3	 113.00	     64.0300	Mao      	Nannofossils                                 	A              	P                 	F                   	A                   	F                    	                     	R                	                 	                      	                        	                	                      	                    	                 	                      	R                        	                     	                     	                         	                    	                     	                    	                         	                  	                	                     	                       	from ODP Leg 139 SR; Chapter 5; Table 7; p 66-67

  SR	Late Pleistocene 	                 	NN21              	              	139	 857	A	  8	H	 4	  96.00	     65.3600	Mao      	Nannofossils                                 	C              	P                 	                    	C                   	F                    	                     	                 	                 	                      	                        	                	                      	                    	                 	                      	                         	                     	                     	                         	                    	                     	                    	                         	                  	                	                     	                       	from ODP Leg 139 SR; Chapter 5; Table 7; p 66-67

  SR	Late Pleistocene 	                 	NN21              	              	139	 857	A	  8	H	 5	  57.00	     66.4700	Mao      	Nannofossils                                 	C              	P                 	F                   	C                   	F                    	                     	R                	                 	                      	R                       	                	                      	                    	                 	                      	                         	                     	                     	                         	                    	                     	                    	                         	                  	                	                     	                       	from ODP Leg 139 SR; Chapter 5; Table 7; p 66-67

  IR	Late Pleistocene 	Holocene         	NN21A             	              	139	 857	A	  8	H	 5	 114.00	     67.0400	Mao      	Nannofossils                                 	C              	P                 	                    	                    	F                    	C                    	R                	                 	                      	                        	                	                      	                    	R                	                      	R                        	R                    	R                    	R                        	                    	                     	                    	                         	                  	                	                     	                       	,from ODP Leg 139 IR; Chapter 7; Table 7; pp 324-326

  SR	Late Pleistocene 	                 	NN21              	              	139	 857	A	  8	H	 6	  67.00	     68.0700	Mao      	Nannofossils                                 	C              	P                 	R                   	C                   	F                    	                     	                 	                 	                      	                        	                	                      	                    	                 	                      	                         	                     	                     	                         	                    	                     	                    	                         	                  	                	                     	                       	from ODP Leg 139 SR; Chapter 5; Table 7; p 66-67

  SR	Late Pleistocene 	                 	NN21              	              	139	 857	A	  8	H	 7	  64.00	     69.5400	Mao      	Nannofossils                                 	C              	M                 	F                   	C                   	F                    	                     	F                	                 	                      	R                       	                	                      	R                   	                 	                      	R                        	R                    	                     	                         	                    	                     	                    	                         	                  	                	                     	                       	from ODP Leg 139 SR; Chapter 5; Table 7; p 66-67

  IR	Late Pleistocene 	Holocene         	NN21A             	              	139	 857	A	  8	H	CC	  32.00	     70.0600	Mao      	Nannofossils                                 	F              	P                 	                    	                    	R                    	F                    	R                	                 	                      	                        	                	                      	                    	                 	R                     	R                        	                     	                     	                         	                    	                     	                    	                         	                  	                	                     	                       	,from ODP Leg 139 IR; Chapter 7; Table 7; pp 324-326

  SR	Late Pleistocene 	                 	NN21              	              	139	 857	A	  9	H	 2	   7.00	     70.9700	Mao      	Nannofossils                                 	F              	M                 	                    	F                   	R                    	                     	                 	                 	                      	                        	                	                      	                    	                 	                      	                         	                     	                     	                         	                    	                     	                    	                         	                  	                	                     	                       	from ODP Leg 139 SR; Chapter 5; Table 7; p 66-67

  SR	Late Pleistocene 	                 	NN21              	              	139	 857	A	  9	H	 3	   3.00	     72.4300	Mao      	Nannofossils                                 	A              	M                 	F                   	A                   	F                    	                     	F                	                 	                      	                        	                	                      	                    	R                	                      	                         	                     	                     	                         	                    	                     	                    	                         	                  	                	                     	                       	from ODP Leg 139 SR; Chapter 5; Table 7; p 66-67

  SR	Late Pleistocene 	                 	NN21              	              	139	 857	A	  9	H	 4	   3.00	     73.9300	Mao      	Nannofossils                                 	C              	M                 	F                   	C                   	F                    	                     	R                	                 	                      	R                       	                	                      	R                   	R                	                      	                         	                     	                     	                         	                    	                     	                    	                         	                  	                	                     	                       	from ODP Leg 139 SR; Chapter 5; Table 7; p 66-67

  SR	Late Pleistocene 	                 	NN21              	              	139	 857	A	  9	H	 5	  33.00	     75.7300	Mao      	Nannofossils                                 	C              	P                 	C                   	C                   	F                    	                     	                 	                 	                      	                        	                	                      	                    	                 	                      	                         	                     	                     	                         	                    	                     	                    	                         	                  	                	                     	                       	from ODP Leg 139 SR; Chapter 5; Table 7; p 66-67

  SR	Late Pleistocene 	                 	NN21              	              	139	 857	A	  9	H	 5	  79.00	     76.1900	Mao      	Nannofossils                                 	C              	P                 	F                   	C                   	F                    	C                    	F                	                 	                      	                        	                	R                     	                    	                 	                      	                         	                     	                     	                         	                    	                     	                    	                         	                  	                	                     	                       	from ODP Leg 139 SR; Chapter 5; Table 7; p 66-67

  SR	Late Pleistocene 	                 	NN21              	              	139	 857	A	  9	H	 6	  41.00	     77.3100	Mao      	Nannofossils                                 	F              	P                 	R                   	F                   	F                    	                     	                 	                 	                      	                        	R               	                      	                    	                 	                      	                         	                     	                     	                         	                    	                     	                    	                         	                  	                	                     	                       	from ODP Leg 139 SR; Chapter 5; Table 7; p 66-67

  SR	Late Pleistocene 	                 	NN21              	              	139	 857	A	  9	H	 7	  24.00	     78.6400	Mao      	Nannofossils                                 	R              	M                 	                    	                    	R                    	                     	                 	                 	                      	                        	                	                      	                    	                 	                      	                         	                     	                     	                         	                    	                     	                    	                         	                  	                	                     	                       	from ODP Leg 139 SR; Chapter 5; Table 7; p 66-67

  IR	Late Pleistocene 	Holocene         	NN21A             	              	139	 857	A	  9	H	CC	  28.00	     79.4500	Mao      	Nannofossils                                 	F              	P                 	                    	                    	F                    	F                    	R                	                 	                      	                        	                	                      	                    	                 	                      	                         	                     	                     	                         	                    	                     	                    	                         	                  	                	                     	                       	,from ODP Leg 139 IR; Chapter 7; Table 7; pp 324-326

  SR	Late Pleistocene 	                 	NN21              	              	139	 857	A	 10	H	 1	 129.00	     80.1900	Mao      	Nannofossils                                 	C              	P                 	F                   	C                   	F                    	                     	                 	                 	                      	                        	                	                      	                    	                 	                      	                         	                     	                     	                         	                    	                     	                    	                         	                  	                	                     	                       	from ODP Leg 139 SR; Chapter 5; Table 7; p 66-67

  IR	Late Pleistocene 	Holocene         	NN21A             	              	139	 857	A	 10	H	 2	  12.00	     80.5200	Mao      	Nannofossils                                 	C              	P                 	                    	                    	R                    	C                    	R                	                 	                      	                        	                	                      	                    	                 	                      	                         	                     	                     	                         	                    	                     	                    	                         	                  	                	                     	                       	,from ODP Leg 139 IR; Chapter 7; Table 7; pp 324-326

  SR	Late Pleistocene 	                 	NN21              	              	139	 857	A	 10	H	 2	 138.00	     81.7800	Mao      	Nannofossils                                 	F              	P                 	F                   	F                   	R                    	                     	                 	                 	                      	R                       	                	                      	                    	                 	                      	                         	                     	                     	                         	                    	                     	                    	                         	                  	                	                     	                       	from ODP Leg 139 SR; Chapter 5; Table 7; p 66-67

  SR	Late Pleistocene 	                 	NN21              	              	139	 857	A	 10	H	 3	 125.00	     83.1500	Mao      	Nannofossils                                 	C              	P                 	C                   	C                   	F                    	                     	                 	                 	R                     	                        	                	                      	                    	                 	                      	                         	                     	                     	                         	                    	                     	                    	                         	                  	                	                     	                       	from ODP Leg 139 SR; Chapter 5; Table 7; p 66-67

  SR	Late Pleistocene 	                 	NN21              	              	139	 857	A	 10	H	 4	 117.00	     84.5700	Mao      	Nannofossils                                 	C              	P                 	F                   	C                   	F                    	                     	R                	                 	                      	                        	                	                      	                    	                 	                      	                         	                     	                     	                         	                    	                     	                    	                         	                  	                	                     	                       	from ODP Leg 139 SR; Chapter 5; Table 7; p 66-67

  SR	Late Pleistocene 	                 	NN21              	              	139	 857	A	 10	H	 5	   7.00	     84.9700	Mao      	Nannofossils                                 	C              	P                 	F                   	C                   	F                    	                     	                 	R                	                      	                        	                	                      	                    	                 	                      	                         	                     	                     	                         	                    	                     	                    	                         	                  	                	                     	                       	from ODP Leg 139 SR; Chapter 5; Table 7; p 66-67

  IR	Late Pleistocene 	Holocene         	NN21A             	              	139	 857	A	 11	X	CC	   2.00	     87.0900	Mao      	Nannofossils                                 	F              	P                 	                    	                    	R                    	F                    	R                	                 	                      	                        	                	                      	                    	                 	                      	                         	                     	                     	                         	                    	                     	                    	                         	                  	                	                     	                       	,from ODP Leg 139 IR; Chapter 7; Table 7; pp 324-326

  IR	Late Pleistocene 	Holocene         	NN21A             	              	139	 857	A	 12	X	CC	  13.00	     92.0300	Mao      	Nannofossils                                 	R              	P                 	                    	                    	                     	R                    	                 	                 	                      	                        	                	                      	                    	                 	                      	                         	                     	                     	                         	                    	                     	                    	                         	                  	                	                     	                       	,from ODP Leg 139 IR; Chapter 7; Table 7; pp 324-326

  IR	Late Pleistocene 	Holocene         	NN21A             	              	139	 857	A	 12	X	CC	  31.00	     92.2100	Mao      	Nannofossils                                 	R              	P                 	                    	                    	                     	F                    	R                	                 	                      	                        	                	                      	                    	                 	                      	                         	                     	                     	                         	                    	                     	                    	                         	                  	                	                     	                       	,from ODP Leg 139 IR; Chapter 7; Table 7; pp 324-326

  SR	Late Pleistocene 	                 	NN21              	              	139	 857	A	 13	X	 1	  49.00	    101.9900	Mao      	Nannofossils                                 	F              	M                 	R                   	F                   	R                    	                     	R                	                 	                      	                        	                	                      	                    	                 	                      	                         	                     	                     	                         	                    	                     	                    	                         	                  	                	                     	                       	from ODP Leg 139 SR; Chapter 5; Table 7; p 66-67

  SR	Late Pleistocene 	                 	NN21              	              	139	 857	A	 13	X	 2	  52.00	    103.5200	Mao      	Nannofossils                                 	R              	P                 	R                   	R                   	R                    	                     	                 	                 	                      	                        	                	                      	                    	                 	                      	                         	                     	                     	                         	                    	                     	                    	                         	                  	                	                     	                       	from ODP Leg 139 SR; Chapter 5; Table 7; p 66-67

  IR	Late Pleistocene 	Holocene         	NN21A             	              	139	 857	A	 13	X	 2	  68.00	    103.6800	Mao      	Nannofossils                                 	R              	P                 	                    	                    	                     	R                    	R                	                 	                      	                        	                	                      	                    	                 	                      	                         	                     	                     	                         	                    	                     	                    	                         	                  	                	                     	                       	,from ODP Leg 139 IR; Chapter 7; Table 7; pp 324-326

  SR	Late Pleistocene 	                 	NN21              	              	139	 857	A	 13	X	 4	 107.00	    107.0700	Mao      	Nannofossils                                 	F              	P                 	R                   	F                   	F                    	                     	                 	                 	                      	                        	                	                      	                    	                 	                      	                         	                     	                     	                         	                    	                     	                    	                         	                  	                	                     	                       	from ODP Leg 139 SR; Chapter 5; Table 7; p 66-67

