Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Triquetrorhabdulus rugosus/rioensis	Reticulofenestrid taxa	Reticulofenestra pseudoumbilicus	Discoaster variabilis	Discoaster moorei	Discoaster intercalaris	Discoaster calcaris	Discoaster brouweri	Discoaster bollii	Discoaster bellus	Discoaster asymmetricus	Dictyococcites spp.	Coccolithus pelagicus	Catinaster coalitus	Calcidiscus macintyrei	Calcidiscus leptoporus	Discoaster sp. 1	Discoaster pseudovariabilis	Discoaster hamatus	Catinaster calyculus	Discoaster neohamatus	Discoaster prepentaradiatus	Discoaster musicus	Sphenolith (unspecified taxon or taxa)	Minylitha convallis	Helicosphaera carteri	Discoaster surculus	Discoaster pentaradiatus	Coccolithus radiatus	Discoaster quinqueramus/berggrenii	Coccolithus miopelagicus	Discoaster sp. 2	Discoaster loeblichii	Amaurolithus primus	Amaurolithus delicatus	Amaurolithus amplificus	Discoaster triradiatus	Ceratolithus acutus	Ceratolithus armatus	Scyphosphaera spp.	Ceratolithus rugosus	Amaurolithus tricorniculatus	Geminilithella rotula	Ceratolithus cristatus	Discoaster tristellifer	Discoaster tamalis	Discoaster decorus	Umbilicosphaera spp.	Pseudoemiliania lacunosa	Helicosphaera sellii	Gephyrocapsa oceanica s.l.	Gephyrocapsa (small)	Comment
  SR	                 	                 	CN9b              	              	115	 710	B	  6	H	 5	 130.00	     52.2000	Rio      	Nannofossils                                 	A              	M                 	R                                  	A                     	C                               	C                    	                 	C                      	                   	C                  	                 	                 	                       	C                  	C                    	                   	                      	C                     	C               	                           	                  	                    	                     	                           	                  	C                                     	                   	                     	C                  	C                       	                    	A                                 	                        	R               	                     	R                  	R                     	R                      	                      	                   	                    	                  	                    	                            	                     	                      	                       	                  	                  	                    	                        	                    	                          	                    	from 115 SR. Chapter 15. Table 13. microfiche in back pocket.

  SR	                 	                 	CN9b              	              	115	 710	B	  6	H	 6	  30.00	     52.7000	Rio      	Nannofossils                                 	A              	M                 	F                                  	A                     	                                	C                    	                 	C                      	                   	A                  	                 	                 	                       	C                  	C                    	                   	                      	C                     	C               	                           	                  	                    	                     	                           	                  	C                                     	                   	                     	C                  	C                       	                    	A                                 	                        	R               	                     	F                  	R                     	F                      	                      	                   	                    	                  	                    	                            	                     	                      	                       	                  	                  	                    	                        	                    	                          	                    	from 115 SR. Chapter 15. Table 13. microfiche in back pocket.

  SR	                 	                 	CN9b              	              	115	 710	B	  6	H	 6	 110.00	     53.5000	Rio      	Nannofossils                                 	A              	M                 	F                                  	A                     	                                	C                    	                 	F                      	                   	C                  	                 	                 	                       	C                  	C                    	                   	F                     	C                     	C               	                           	                  	                    	                     	                           	                  	C                                     	                   	                     	C                  	C                       	                    	A                                 	                        	R               	                     	F                  	                      	F                      	                      	                   	                    	                  	                    	                            	                     	                      	                       	                  	                  	                    	                        	                    	                          	                    	from 115 SR. Chapter 15. Table 13. microfiche in back pocket.

  SR	                 	                 	CN9b              	              	115	 710	B	  7	H	 1	  30.00	     54.8000	Rio      	Nannofossils                                 	A              	M                 	F                                  	A                     	F                               	C                    	                 	F                      	                   	C                  	                 	                 	F                      	C                  	C                    	                   	F                     	C                     	C               	                           	                  	                    	                     	                           	                  	C                                     	                   	                     	F                  	C                       	                    	A                                 	                        	R               	                     	F                  	                      	                       	                      	                   	                    	                  	                    	                            	                     	                      	                       	                  	                  	                    	                        	                    	                          	                    	from 115 SR. Chapter 15. Table 13. microfiche in back pocket.

  SR	                 	                 	CN9b              	              	115	 710	B	  7	H	 1	 130.00	     55.8000	Rio      	Nannofossils                                 	A              	M                 	F                                  	A                     	                                	C                    	                 	F                      	                   	C                  	                 	                 	                       	C                  	C                    	                   	F                     	C                     	C               	                           	                  	                    	                     	                           	                  	A                                     	                   	                     	C                  	C                       	                    	A                                 	                        	R               	                     	F                  	R                     	cf                     	                      	                   	                    	                  	                    	                            	                     	                      	                       	                  	                  	                    	                        	                    	                          	                    	from 115 SR. Chapter 15. Table 13. microfiche in back pocket.

  SR	                 	                 	CN9b              	              	115	 710	B	  7	H	 2	  30.00	     56.3000	Rio      	Nannofossils                                 	A              	M                 	F                                  	A                     	                                	R                    	                 	R                      	                   	C                  	                 	                 	                       	C                  	C                    	                   	F                     	C                     	C               	                           	                  	                    	                     	                           	                  	A                                     	                   	                     	C                  	C                       	                    	A                                 	                        	F               	                     	R                  	R                     	R                      	                      	                   	                    	                  	                    	                            	                     	                      	                       	                  	                  	                    	                        	                    	                          	                    	from 115 SR. Chapter 15. Table 13. microfiche in back pocket.

  SR	                 	                 	CN9b              	              	115	 710	B	  7	H	 3	  30.00	     57.8000	Rio      	Nannofossils                                 	A              	M                 	R                                  	A                     	F                               	F                    	                 	                       	                   	A                  	                 	                 	                       	C                  	C                    	                   	F                     	C                     	C               	                           	                  	                    	                     	                           	                  	A                                     	                   	                     	C                  	C                       	                    	A                                 	                        	                	                     	R                  	R                     	                       	                      	                   	                    	                  	                    	                            	                     	                      	                       	                  	                  	                    	                        	                    	                          	                    	from 115 SR. Chapter 15. Table 13. microfiche in back pocket.

  SR	                 	                 	CN9b              	              	115	 710	B	  7	H	 3	 130.00	     58.8000	Rio      	Nannofossils                                 	A              	M                 	R                                  	A                     	                                	F                    	                 	                       	                   	C                  	                 	                 	                       	C                  	F                    	                   	F                     	C                     	C               	                           	                  	                    	                     	                           	                  	A                                     	                   	                     	C                  	C                       	                    	A                                 	                        	F               	                     	R                  	                      	                       	                      	                   	                    	                  	                    	                            	                     	                      	                       	                  	                  	                    	                        	                    	                          	                    	from 115 SR. Chapter 15. Table 13. microfiche in back pocket.

  SR	                 	                 	CN9b              	              	115	 710	B	  7	H	 4	  30.00	     59.3000	Rio      	Nannofossils                                 	A              	M                 	F                                  	D                     	                                	C                    	                 	R                      	                   	C                  	                 	                 	                       	C                  	C                    	                   	                      	C                     	A               	                           	                  	                    	                     	                           	                  	A                                     	                   	                     	C                  	C                       	                    	A                                 	                        	R               	                     	F                  	                      	                       	                      	                   	                    	                  	                    	                            	                     	                      	                       	                  	                  	                    	                        	                    	                          	                    	from 115 SR. Chapter 15. Table 13. microfiche in back pocket.

  SR	                 	                 	CN9a              	              	115	 710	B	  7	H	 4	 130.00	     60.3000	Rio      	Nannofossils                                 	A              	M                 	R                                  	A                     	                                	F                    	                 	                       	                   	C                  	                 	                 	                       	C                  	C                    	                   	R                     	C                     	C               	                           	                  	                    	                     	                           	                  	A                                     	                   	F                    	C                  	C                       	                    	A                                 	                        	F               	                     	                   	                      	                       	                      	                   	                    	                  	                    	                            	                     	                      	                       	                  	                  	                    	                        	                    	                          	                    	from 115 SR. Chapter 15. Table 13. microfiche in back pocket.

  SR	                 	                 	CN9a              	              	115	 710	B	  7	H	 5	  30.00	     60.8000	Rio      	Nannofossils                                 	A              	M                 	C                                  	A                     	                                	F                    	                 	F                      	                   	C                  	                 	                 	                       	F                  	C                    	                   	C                     	C                     	C               	                           	                  	                    	R                    	                           	                  	C                                     	                   	C                    	C                  	C                       	F                   	C                                 	                        	C               	                     	                   	                      	                       	                      	                   	                    	                  	                    	                            	                     	                      	                       	                  	                  	                    	                        	                    	                          	                    	from 115 SR. Chapter 15. Table 13. microfiche in back pocket.

  SR	                 	                 	CN9a              	              	115	 710	B	  7	H	 5	 130.00	     61.8000	Rio      	Nannofossils                                 	A              	M                 	C                                  	C                     	                                	C                    	                 	                       	                   	C                  	                 	                 	R                      	C                  	C                    	                   	C                     	C                     	C               	                           	                  	                    	F                    	                           	                  	C                                     	                   	R                    	C                  	C                       	                    	C                                 	                        	F               	R                    	                   	                      	                       	                      	                   	                    	                  	                    	                            	                     	                      	                       	                  	                  	                    	                        	                    	                          	                    	from 115 SR. Chapter 15. Table 13. microfiche in back pocket.

  SR	                 	                 	CN9a              	              	115	 710	B	  7	H	 6	  30.00	     62.3000	Rio      	Nannofossils                                 	A              	M                 	C                                  	C                     	                                	C                    	                 	R                      	                   	C                  	                 	                 	R                      	C                  	C                    	                   	C                     	C                     	C               	                           	                  	                    	F                    	                           	                  	C                                     	F                  	F                    	C                  	C                       	                    	C                                 	                        	                	R                    	                   	                      	                       	                      	                   	                    	                  	                    	                            	                     	                      	                       	                  	                  	                    	                        	                    	                          	                    	from 115 SR. Chapter 15. Table 13. microfiche in back pocket.

  SR	                 	                 	CN9a              	              	115	 710	B	  7	H	 6	 130.00	     63.3000	Rio      	Nannofossils                                 	A              	M                 	F                                  	C                     	                                	C                    	                 	F                      	                   	A                  	                 	                 	R                      	C                  	C                    	                   	C                     	C                     	F               	                           	                  	                    	F                    	                           	                  	C                                     	R                  	R                    	C                  	C                       	                    	C                                 	                        	                	                     	                   	                      	                       	                      	                   	                    	                  	                    	                            	                     	                      	                       	                  	                  	                    	                        	                    	                          	                    	from 115 SR. Chapter 15. Table 13. microfiche in back pocket.

  SR	                 	                 	CN9a              	              	115	 710	B	  7	H	CC	  15.00	     63.6300	Rio      	Nannofossils                                 	A              	M                 	F                                  	C                     	                                	C                    	                 	                       	                   	A                  	                 	                 	R                      	F                  	C                    	                   	F                     	C                     	C               	                           	                  	                    	C                    	                           	                  	C                                     	R                  	                     	C                  	C                       	                    	A                                 	                        	R               	                     	                   	                      	                       	                      	                   	                    	                  	                    	                            	                     	                      	                       	                  	                  	                    	                        	                    	                          	                    	from 115 SR. Chapter 15. Table 13. microfiche in back pocket.

  SR	                 	                 	CN9a              	              	115	 710	B	  7	H	CC	  22.00	     63.7000	Rio      	Nannofossils                                 	A              	M                 	                                   	C                     	                                	F                    	                 	                       	                   	A                  	                 	                 	                       	                   	C                    	                   	F                     	C                     	C               	R                          	                  	                    	C                    	                           	                  	C                                     	R                  	                     	F                  	C                       	                    	C                                 	R                       	                	                     	                   	                      	                       	                      	                   	                    	                  	                    	                            	                     	                      	                       	                  	                  	                    	                        	                    	                          	                    	from 115 SR. Chapter 15. Table 13. microfiche in back pocket.

  SR	                 	                 	CN8               	              	115	 710	B	  9	H	 1	 120.00	     75.0000	Rio      	Nannofossils                                 	A              	M                 	F                                  	F                     	F                               	C                    	                 	F                      	F                  	A                  	                 	F                	R                      	                   	C                    	                   	F                     	C                     	R               	                           	                  	                    	C                    	                           	                  	                                      	C                  	                     	                   	C                       	R                   	                                  	                        	                	                     	                   	                      	                       	                      	                   	                    	                  	                    	                            	                     	                      	                       	                  	                  	                    	                        	                    	                          	                    	from 115 SR. Chapter 15. Table 13. microfiche in back pocket.

  SR	                 	                 	CN8               	              	115	 710	B	  9	H	 2	 120.00	     76.5000	Rio      	Nannofossils                                 	A              	M                 	F                                  	A                     	C                               	C                    	                 	R                      	C                  	C                  	cf               	F                	                       	F                  	C                    	                   	C                     	C                     	F               	                           	                  	                    	C                    	A                          	                  	C                                     	C                  	R                    	                   	R                       	F                   	                                  	                        	                	                     	                   	                      	                       	                      	                   	                    	                  	                    	                            	                     	                      	                       	                  	                  	                    	                        	                    	                          	                    	from 115 SR. Chapter 15. Table 13. microfiche in back pocket.

  SR	                 	                 	CN8               	              	115	 710	B	  9	H	 3	 120.00	     78.0000	Rio      	Nannofossils                                 	A              	G                 	F                                  	C                     	C                               	C                    	R                	F                      	C                  	C                  	C                	C                	R                      	C                  	C                    	                   	C                     	C                     	F               	                           	                  	                    	C                    	C                          	                  	C                                     	C                  	R                    	cf                 	R                       	                    	                                  	                        	                	                     	                   	                      	                       	                      	                   	                    	                  	                    	                            	                     	                      	                       	                  	                  	                    	                        	                    	                          	                    	from 115 SR. Chapter 15. Table 13. microfiche in back pocket.

  SR	                 	                 	CN7               	              	115	 710	B	  9	H	 4	 120.00	     79.5000	Rio      	Nannofossils                                 	A              	M                 	F                                  	A                     	C                               	C                    	                 	                       	F                  	A                  	C                	C                	R                      	                   	C                    	R                  	F                     	C                     	F               	                           	F                 	R                   	C                    	C                          	R                 	                                      	                   	                     	                   	                        	                    	                                  	                        	                	                     	                   	                      	                       	                      	                   	                    	                  	                    	                            	                     	                      	                       	                  	                  	                    	                        	                    	                          	                    	from 115 SR. Chapter 15. Table 13. microfiche in back pocket.

  SR	                 	                 	CN7               	              	115	 710	B	  9	H	 5	 120.00	     81.0000	Rio      	Nannofossils                                 	A              	M                 	R                                  	C                     	C                               	C                    	                 	                       	                   	C                  	A                	C                	                       	R                  	F                    	C                  	F                     	F                     	                	                           	C                 	C                   	C                    	                           	                  	                                      	                   	                     	                   	                        	                    	                                  	                        	                	                     	                   	                      	                       	                      	                   	                    	                  	                    	                            	                     	                      	                       	                  	                  	                    	                        	                    	                          	                    	from 115 SR. Chapter 15. Table 13. microfiche in back pocket.

  SR	                 	                 	CN7               	              	115	 710	B	  9	H	 6	 120.00	     82.5000	Rio      	Nannofossils                                 	A              	M                 	C                                  	C                     	C                               	C                    	R                	                       	F                  	C                  	F                	C                	                       	                   	C                    	A                  	F                     	C                     	R               	C                          	F                 	C                   	                     	                           	                  	                                      	                   	                     	                   	                        	                    	                                  	                        	                	                     	                   	                      	                       	                      	                   	                    	                  	                    	                            	                     	                      	                       	                  	                  	                    	                        	                    	                          	                    	from 115 SR. Chapter 15. Table 13. microfiche in back pocket.

  SR	                 	                 	CN7               	              	115	 710	B	  9	H	CC	  22.00	     82.9400	Rio      	Nannofossils                                 	A              	M                 	R                                  	C                     	C                               	C                    	R                	R                      	C                  	C                  	cf               	R                	R                      	R                  	F                    	A                  	F                     	C                     	                	                           	                  	                    	                     	                           	                  	                                      	                   	                     	                   	                        	                    	                                  	                        	                	                     	                   	                      	                       	                      	                   	                    	                  	                    	                            	                     	                      	                       	                  	                  	                    	                        	                    	                          	                    	from 115 SR. Chapter 15. Table 13. microfiche in back pocket.

