Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Globigerina officinalis	Globigerina labiacrassata	Catapsydrax unicavus	Catapsydrax dissimilis	Tenuitellinata angustiumbilicata	Subbotina angiporoides	Chiloguembelina cubensis	Globorotaloides suteri	Globigerina praebulloides	Paragloborotalia nana	Globigerinita glutinata	Globigerina eamesi	Tenuitella gemma	Tenuitella munda	Globoturborotalita brazieri	Globigerinella obesa	Dentoglobigerina praedehiscens	Globoquadrina dehiscens	Globigerina quinqueloba	Globigerina ciperoensis	Turborotalia euapertura	Globoturborotalita woodi	Globoturborotalita connecta	Globigerina bulloides	Tenuitella minutissima	Globorotalia zealandica	Globorotalia praescitula	Globorotalia miozea	Globigerinoides trilobus	Praeorbulina curva	Paragloborotalia mayeri	Orbulina universa	Globorotalia scitula	Globorotalia peripheroronda	Globorotalia panda	Globigerina falconensis	Dentoglobigerina venezuelana	Paragloborotalia nympha	Paragloborotalia continuosa	Globoturborotalita decoraperta	Globorotalia conoidea	Globoturborotalita apertura	Globorotalia miotumida	Globorotalia juanai	Globigerinita uvula	Globorotalia inflata	Globorotalia explicationis	Globoturborotalita nepenthes	Globorotalia challengeri	Neogloboquadrina pachyderma (sinistral)	Globorotalia sphericomiozea	Neogloboquadrina pachyderma	Globorotalia pliozea	Globorotalia conomiozea	Globorotalia puncticuloides	Globorotalia puncticulata	Globorotalia crassaformis	Globorotalia triangula	Globigerinella aequilateralis	Neogloboquadrina humerosa	Globorotalia crassaconica	Globorotalia crassacarina	Globorotalia truncatulinoides	Globorotalia tosaensis	Globorotalia hirsuta	Globigerina umbilicata	Comment
  IR	                 	                 	                  	SP14b         	189	1170	A	 44	X	CC	  31.00	    405.8300	forams   	Planktonic Foraminifers                      	C              	G                 	+                      	+                        	+                   	+                     	+                               	                      	                        	+                     	+                        	                     	+                      	+                 	+               	+               	                           	                    	                              	                       	                       	                       	                       	                        	                           	                     	                      	                       	                        	                   	                        	                  	                       	                 	                    	                           	                  	                       	                            	                       	                           	                              	                     	                           	                      	                   	                   	                    	                          	                            	                        	                                       	                           	                           	                    	                       	                           	                         	                         	                      	                             	                         	                         	                         	                             	                      	                    	                      	Some specimens of Cx look v. similar to S. angiporoides

  IR	                 	                 	                  	SP13          	189	1170	A	 45	X	CC	  30.00	    410.0500	forams   	Planktonic Foraminifers                      	A              	VG                	+                      	                         	+                   	                      	+                               	+                     	                        	+                     	+                        	                     	+                      	+                 	                	+               	                           	                    	                              	                       	                       	                       	                       	                        	                           	                     	                      	                       	                        	                   	                        	                  	                       	                 	                    	                           	                  	                       	                            	                       	                           	                              	                     	                           	                      	                   	                   	                    	                          	                            	                        	                                       	                           	                           	                    	                       	                           	                         	                         	                      	                             	                         	                         	                         	                             	                      	                    	                      	       

  IR	                 	                 	                  	SP13          	189	1170	A	 46	X	CC	  20.00	    421.8200	forams   	Planktonic Foraminifers                      	C              	VG                	+                      	                         	+                   	+                     	+                               	+                     	                        	+                     	+                        	                     	+                      	+                 	+               	                	                           	                    	                              	                       	                       	                       	                       	                        	                           	                     	                      	                       	                        	                   	                        	                  	                       	                 	                    	                           	                  	                       	                            	                       	                           	                              	                     	                           	                      	                   	                   	                    	                          	                            	                        	                                       	                           	                           	                    	                       	                           	                         	                         	                      	                             	                         	                         	                         	                             	                      	                    	                      	       

  IR	                 	                 	                  	SP13          	189	1170	A	 47	X	CC	  10.00	    430.9500	forams   	Planktonic Foraminifers                      	C              	G                 	+                      	                         	+                   	+                     	+                               	+                     	                        	                      	+                        	                     	+                      	+                 	+               	                	                           	                    	                              	                       	                       	                       	                       	                        	                           	                     	                      	                       	                        	                   	                        	                  	                       	                 	                    	                           	                  	                       	                            	                       	                           	                              	                     	                           	                      	                   	                   	                    	                          	                            	                        	                                       	                           	                           	                    	                       	                           	                         	                         	                      	                             	                         	                         	                         	                             	                      	                    	                      	Large chert fragments in CC

  IR	                 	                 	                  	SN13          	189	1170	A	 48	X	CC	  26.00	    435.2600	forams   	Planktonic Foraminifers                      	F              	M                 	                       	                         	+                   	+                     	+                               	+                     	+                       	+                     	+                        	+                    	+                      	+                 	                	                	                           	                    	                              	                       	                       	                       	                       	                        	                           	                     	                      	                       	                        	                   	                        	                  	                       	                 	                    	                           	                  	                       	                            	                       	                           	                              	                     	                           	                      	                   	                   	                    	                          	                            	                        	                                       	                           	                           	                    	                       	                           	                         	                         	                      	                             	                         	                         	                         	                             	                      	                    	                      	       

  IR	                 	                 	                  	SP14a         	189	1170	A	 49	X	CC	  10.00	    450.2500	forams   	Planktonic Foraminifers                      	C              	G                 	+                      	+                        	+                   	+                     	                                	+                     	+                       	+                     	+                        	                     	                       	                  	                	                	                           	                    	                              	                       	                       	                       	                       	                        	                           	                     	                      	                       	                        	                   	                        	                  	                       	                 	                    	                           	                  	                       	                            	                       	                           	                              	                     	                           	                      	                   	                   	                    	                          	                            	                        	                                       	                           	                           	                    	                       	                           	                         	                         	                      	                             	                         	                         	                         	                             	                      	                    	                      	       

  IR	                 	                 	                  	SP14a         	189	1170	A	 50	X	CC	  22.00	    456.8200	forams   	Planktonic Foraminifers                      	F              	M                 	                       	+                        	+                   	                      	                                	+                     	                        	+                     	                         	                     	                       	                  	                	                	                           	                    	                              	                       	                       	                       	                       	                        	                           	                     	                      	                       	                        	                   	                        	                  	                       	                 	                    	                           	                  	                       	                            	                       	                           	                              	                     	                           	                      	                   	                   	                    	                          	                            	                        	                                       	                           	                           	                    	                       	                           	                         	                         	                      	                             	                         	                         	                         	                             	                      	                    	                      	       

  IR	                 	                 	                  	SP13          	189	1170	A	 51	X	CC	  33.00	    459.3300	forams   	Planktonic Foraminifers                      	R              	M                 	+                      	                         	                    	                      	+                               	+                     	+                       	                      	                         	                     	                       	                  	                	                	                           	                    	                              	                       	                       	                       	                       	                        	                           	                     	                      	                       	                        	                   	                        	                  	                       	                 	                    	                           	                  	                       	                            	                       	                           	                              	                     	                           	                      	                   	                   	                    	                          	                            	                        	                                       	                           	                           	                    	                       	                           	                         	                         	                      	                             	                         	                         	                         	                             	                      	                    	                      	       

  IR	                 	                 	SP14b             	SP11          	189	1170	A	 52	X	CC	  47.00	    464.2700	forams   	Planktonic Foraminifers                      	R              	P                 	+                      	+                        	+                   	+                     	                                	                      	                        	                      	                         	                     	                       	                  	                	                	                           	                    	                              	                       	                       	                       	                       	                        	                           	                     	                      	                       	                        	                   	                        	                  	                       	                 	                    	                           	                  	                       	                            	                       	                           	                              	                     	                           	                      	                   	                   	                    	                          	                            	                        	                                       	                           	                           	                    	                       	                           	                         	                         	                      	                             	                         	                         	                         	                             	                      	                    	                      	       

