Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Zeaglobigerina woodi,Sphaeroidinellopsis subdehiscens,Sphaeroidinellopsis seminulina,Paragloborotalia siakensis,Paragloborotalia mayeri,Orbulina universa,Globorotaloides hexagonus,Globorotalia scitula,Globorotalia praescitula,Globorotalia praemenardii,Globorotalia birnageae,Globorotalia archeomenardii,Globoquadrina dehiscens,Globigerinoides trilobus,Globigerinoides ruber,Globigerinoides obliquus,Globigerinella obesa,Globigerina venezuelana,Globigerina falconensis,Fohsella praefohsi,Fohsella peripheroacuta,Fohsella fohsi,Dentoglobigerina larmeui,Dentoglobigerina baroemoenensis,Dentoglobigerina altispira,Globigerinoides sacculifer,Globorotalia lenguaensis,G. bulbosa,Fohsella fohsi lobata,Globigerina bulloides,Fohsella fohsi robusta,Sphaeroidinellopsis kochi,Cassigerinella chipolensis,Neogloboquadrina pachyderma,Zeaglobigerina nepenthes,Zeaglobigerina decoraperta,Streptochilus spp.,Globorotalia menardii,Pulleniatina primalis,Polyperibola  christiani,Globorotalia sphericomiozea,Neogloboquadrina acostaensis (sinistral),Globigerinella siphonifera,Neogloboquadrina humerosa,Neogloboquadrina acostaensis (dextral),Globorotalia merotumida,Triserial heterohelicids,Globorotalia plesiotumida,Globigerinoides extremus,Globorotalia mediterranea,Globorotalia suterae,Candeina nitida,Globorotalia cibaoensis,Globorotalia juanai,Globorotalia conomiozea,Globorotalia margaritae,Zeaglobigerina microstoma,Globigerinoides conglobatus,Neogloboquadrina humerosa/N. dutertrei,Globigerinoides seigliei,Sphaeroidinellopsis subdehiscens/S. dehiscens,Globorotalia plesiotumida/G. tumida,Globorotalia tumida,Globorotalia aemiliana,Globorotalia pseudopima,Globigerina sp. A,Globorotalia crassaformis,Neogloboquadrina dutertrei,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N19               ,              ,166,1006,A, 39,X, 2,  85.00,    351.2500,Wright   ,Planktonic Foraminifers                      ,               ,G                 ,+                   ,-                               ,+                             ,-                         ,-                      ,+                ,-                        ,+                   ,-                       ,-                        ,-                     ,-                          ,-                      ,+                       ,-                    ,-                       ,-                   ,+                      ,-                      ,-                 ,-                      ,-             ,+                       ,-                              ,+                         ,+                         ,-                       ,-         ,-                    ,+                    ,-                     ,-                        ,-                         ,-                          ,+                       ,-                         ,-                 ,+                    ,-                    ,-                       ,-                          ,+                                       ,+                         ,-                        ,+                                     ,-                      ,-                       ,-                        ,-                       ,-                        ,+                   ,+              ,+                      ,-                  ,-                      ,-                      ,-                        ,+                          ,-                                     ,-                       ,-                                            ,-                                  ,-                  ,+                     ,-                      ,                 ,                         ,                          ,from 166SR.Ch 15.Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N19               ,              ,166,1006,A, 39,X, 2, 138.00,    351.7800,Wright   ,Planktonic Foraminifers                      ,               ,G                 ,-                   ,-                               ,+                             ,-                         ,-                      ,+                ,-                        ,-                   ,-                       ,-                        ,-                     ,-                          ,-                      ,+                       ,-                    ,+                       ,-                   ,-                      ,-                      ,-                 ,-                      ,-             ,-                       ,-                              ,+                         ,+                         ,-                       ,-         ,-                    ,-                    ,-                     ,-                        ,-                         ,-                          ,+                       ,-                         ,-                 ,+                    ,+                    ,-                       ,-                          ,+                                       ,-                         ,-                        ,-                                     ,-                      ,-                       ,-                        ,-                       ,-                        ,+                   ,+              ,                       ,-                  ,-                      ,-                      ,-                        ,-                          ,-                                     ,-                       ,-                                            ,-                                  ,-                  ,+                     ,-                      ,                 ,                         ,                          ,from 166SR.Ch 15.Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N19               ,              ,166,1006,A, 39,X, 3,  35.00,    352.2500,Wright   ,Planktonic Foraminifers                      ,               ,G                 ,-                   ,+                               ,+                             ,-                         ,-                      ,+                ,-                        ,-                   ,-                       ,-                        ,-                     ,-                          ,-                      ,+                       ,VR                   ,+                       ,-                   ,-                      ,-                      ,-                 ,-                      ,-             ,-                       ,+                              ,+                         ,+                         ,-                       ,-         ,-                    ,-                    ,-                     ,-                        ,-                         ,-                          ,+                       ,-                         ,-                 ,+                    ,+                    ,-                       ,-                          ,+                                       ,+                         ,-                        ,-                                     ,-                      ,-                       ,-                        ,-                       ,-                        ,VR                  ,+              ,                       ,-                  ,-                      ,+                      ,-                        ,-                          ,-                                     ,-                       ,-                                            ,-                                  ,-                  ,-                     ,-                      ,                 ,                         ,                          ,from 166SR.Ch 15.Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N19               ,              ,166,1006,A, 39,X, 3,  85.00,    352.7500,Wright   ,Planktonic Foraminifers                      ,               ,G                 ,-                   ,+                               ,+                             ,-                         ,-                      ,+                ,-                        ,-                   ,-                       ,-                        ,-                     ,-                          ,-                      ,+                       ,-                    ,+                       ,-                   ,-                      ,+                      ,-                 ,-                      ,-             ,-                       ,+                              ,+                         ,+                         ,-                       ,-         ,-                    ,+                    ,-                     ,-                        ,-                         ,-                          ,+                       ,+                         ,-                 ,-                    ,+                    ,-                       ,-                          ,+                                       ,-                         ,-                        ,-                                     ,-                      ,-                       ,-                        ,-                       ,-                        ,+                   ,-              ,+                      ,-                  ,-                      ,-                      ,-                        ,-                          ,-                                     ,-                       ,-                                            ,-                                  ,+                  ,+                     ,+                      ,                 ,                         ,                          ,from 166SR.Ch 15.Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N19               ,              ,166,1006,A, 39,X, 4,  35.00,    353.7500,Wright   ,Planktonic Foraminifers                      ,               ,G                 ,-                   ,+                               ,+                             ,-                         ,-                      ,+                ,-                        ,-                   ,-                       ,-                        ,-                     ,-                          ,-                      ,+                       ,-                    ,+                       ,-                   ,-                      ,-                      ,-                 ,-                      ,-             ,-                       ,-                              ,+                         ,+                         ,-                       ,-         ,-                    ,R                    ,-                     ,-                        ,-                         ,-                          ,+                       ,-                         ,-                 ,+                    ,+                    ,-                       ,-                          ,+                                       ,+                         ,+                        ,+                                     ,-                      ,-                       ,-                        ,-                       ,-                        ,+                   ,-              ,                       ,-                  ,-                      ,+                      ,-                        ,-                          ,-                                     ,-                       ,-                                            ,-                                  ,-                  ,+                     ,-                      ,                 ,                         ,                          ,from 166SR.Ch 15.Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N19               ,              ,166,1006,A, 39,X, 4,  85.00,    354.2500,Wright   ,Planktonic Foraminifers                      ,               ,G                 ,-                   ,+                               ,+                             ,-                         ,-                      ,+                ,-                        ,-                   ,-                       ,-                        ,-                     ,-                          ,-                      ,+                       ,R                    ,+                       ,-                   ,-                      ,+                      ,-                 ,-                      ,-             ,+                       ,-                              ,+                         ,-                         ,-                       ,-         ,-                    ,R                    ,-                     ,-                        ,-                         ,-                          ,+                       ,+                         ,-                 ,+                    ,+                    ,-                       ,-                          ,+                                       ,+                         ,+                        ,+                                     ,-                      ,-                       ,-                        ,-                       ,-                        ,+                   ,+              ,cf                     ,-                  ,-                      ,-                      ,-                        ,+                          ,-                                     ,-                       ,-                                            ,-                                  ,-                  ,+                     ,-                      ,                 ,                         ,                          ,from 166SR.Ch 15.Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N19               ,              ,166,1006,A, 39,X, 5,  35.00,    355.2500,Wright   ,Planktonic Foraminifers                      ,               ,G                 ,-                   ,-                               ,+                             ,-                         ,-                      ,+                ,-                        ,-                   ,-                       ,-                        ,-                     ,-                          ,-                      ,+                       ,-                    ,+                       ,-                   ,-                      ,-                      ,-                 ,-                      ,-             ,-                       ,+                              ,+                         ,+                         ,-                       ,-         ,-                    ,-                    ,-                     ,-                        ,-                         ,-                          ,+                       ,+                         ,-                 ,-                    ,+                    ,-                       ,-                          ,+                                       ,-                         ,-                        ,-                                     ,-                      ,-                       ,-                        ,-                       ,-                        ,+                   ,-              ,-                      ,-                  ,-                      ,+                      ,-                        ,+                          ,-                                     ,-                       ,-                                            ,-                                  ,-                  ,+                     ,-                      ,                 ,                         ,                          ,from 166SR.Ch 15.Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N19               ,              ,166,1006,A, 39,X, 5,  85.00,    355.7500,Wright   ,Planktonic Foraminifers                      ,               ,G                 ,-                   ,+                               ,+                             ,-                         ,-                      ,+                ,-                        ,-                   ,-                       ,-                        ,-                     ,-                          ,-                      ,+                       ,-                    ,+                       ,-                   ,+                      ,-                      ,-                 ,-                      ,-             ,-                       ,-                              ,+                         ,+                         ,-                       ,-         ,-                    ,-                    ,-                     ,-                        ,-                         ,-                          ,+                       ,+                         ,R                 ,+                    ,+                    ,-                       ,-                          ,-                                       ,-                         ,+                        ,+                                     ,-                      ,-                       ,-                        ,-                       ,-                        ,-                   ,+              ,cf                     ,-                  ,-                      ,+                      ,-                        ,+                          ,-                                     ,-                       ,+                                            ,-                                  ,-                  ,-                     ,-                      ,                 ,                         ,                          ,Rare reworked specimens. from 166SR.Ch 15.Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N19               ,              ,166,1006,A, 39,X, 5, 138.00,    356.2800,Wright   ,Planktonic Foraminifers                      ,               ,G                 ,-                   ,+                               ,+                             ,-                         ,-                      ,+                ,-                        ,-                   ,-                       ,-                        ,-                     ,-                          ,-                      ,+                       ,VR                   ,+                       ,-                   ,+                      ,-                      ,-                 ,-                      ,-             ,-                       ,+                              ,+                         ,+                         ,-                       ,-         ,-                    ,VR                   ,-                     ,-                        ,-                         ,-                          ,+                       ,-                         ,-                 ,+                    ,+                    ,-                       ,-                          ,-                                       ,-                         ,-                        ,-                                     ,-                      ,-                       ,-                        ,-                       ,-                        ,+                   ,-              ,-                      ,-                  ,-                      ,-                      ,-                        ,-                          ,-                                     ,-                       ,-                                            ,-                                  ,-                  ,+                     ,-                      ,                 ,                         ,                          ,from 166SR.Ch 15.Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N19               ,              ,166,1006,A, 40,X, 1,  85.00,    358.9500,Wright   ,Planktonic Foraminifers                      ,               ,G                 ,-                   ,+                               ,+                             ,-                         ,-                      ,+                ,-                        ,+                   ,-                       ,-                        ,-                     ,-                          ,-                      ,+                       ,VR                   ,+                       ,-                   ,+                      ,-                      ,-                 ,-                      ,-             ,-                       ,-                              ,+                         ,+                         ,-                       ,+         ,-                    ,-                    ,-                     ,-                        ,-                         ,+                          ,+                       ,-                         ,-                 ,+                    ,-                    ,-                       ,-                          ,+                                       ,-                         ,+                        ,-                                     ,-                      ,-                       ,-                        ,-                       ,-                        ,+                   ,R              ,+                      ,-                  ,-                      ,+                      ,-                        ,-                          ,-                                     ,-                       ,-                                            ,-                                  ,-                  ,+                     ,-                      ,                 ,                         ,                          ,from 166SR.Ch 15.Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N19               ,              ,166,1006,A, 40,X, 2,  85.00,    360.4500,Wright   ,Planktonic Foraminifers                      ,               ,G                 ,-                   ,+                               ,+                             ,-                         ,-                      ,+                ,-                        ,+                   ,-                       ,-                        ,-                     ,-                          ,-                      ,+                       ,VR                   ,+                       ,-                   ,-                      ,-                      ,-                 ,-                      ,-             ,-                       ,-                              ,+                         ,+                         ,cf                      ,-         ,-                    ,VR                   ,-                     ,-                        ,-                         ,-                          ,+                       ,+                         ,VR                ,+                    ,-                    ,-                       ,-                          ,+                                       ,+                         ,-                        ,-                                     ,-                      ,-                       ,-                        ,-                       ,-                        ,-                   ,-              ,+                      ,-                  ,-                      ,+                      ,-                        ,-                          ,-                                     ,-                       ,-                                            ,-                                  ,-                  ,-                     ,-                      ,                 ,                         ,                          ,Rare reworked specimens. from 166SR.Ch 15.Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N19               ,              ,166,1006,A, 40,X, 3,  85.00,    361.9500,Wright   ,Planktonic Foraminifers                      ,               ,G                 ,+                   ,+                               ,+                             ,-                         ,-                      ,+                ,-                        ,+                   ,-                       ,-                        ,-                     ,-                          ,-                      ,+                       ,-                    ,+                       ,-                   ,-                      ,-                      ,-                 ,-                      ,-             ,-                       ,-                              ,+                         ,+                         ,-                       ,-         ,-                    ,+                    ,-                     ,-                        ,-                         ,-                          ,+                       ,+                         ,-                 ,+                    ,-                    ,-                       ,-                          ,+                                       ,+                         ,+                        ,-                                     ,-                      ,-                       ,-                        ,-                       ,-                        ,+                   ,R              ,+                      ,-                  ,-                      ,+                      ,-                        ,+                          ,-                                     ,-                       ,-                                            ,-                                  ,cf                 ,-                     ,VR                     ,                 ,                         ,                          ,from 166SR.Ch 15.Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N19               ,              ,166,1006,A, 40,X, 4,  85.00,    363.4500,Wright   ,Planktonic Foraminifers                      ,               ,G                 ,-                   ,-                               ,-                             ,-                         ,-                      ,+                ,-                        ,+                   ,-                       ,-                        ,-                     ,-                          ,-                      ,+                       ,-                    ,+                       ,-                   ,-                      ,-                      ,-                 ,-                      ,-             ,-                       ,-                              ,+                         ,+                         ,cf                      ,-         ,-                    ,+                    ,-                     ,-                        ,-                         ,-                          ,+                       ,+                         ,-                 ,+                    ,-                    ,-                       ,-                          ,+                                       ,-                         ,R                        ,-                                     ,-                      ,-                       ,-                        ,-                       ,-                        ,+                   ,-              ,+                      ,-                  ,-                      ,+                      ,-                        ,-                          ,-                                     ,-                       ,-                                            ,-                                  ,-                  ,-                     ,-                      ,                 ,                         ,                          ,Rare reworked specimens. from 166SR.Ch 15.Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N19               ,              ,166,1006,A, 40,X, 5,  85.00,    364.9500,Wright   ,Planktonic Foraminifers                      ,               ,G                 ,+                   ,+                               ,+                             ,-                         ,-                      ,+                ,-                        ,+                   ,-                       ,-                        ,-                     ,-                          ,-                      ,+                       ,-                    ,+                       ,-                   ,-                      ,-                      ,-                 ,-                      ,-             ,-                       ,-                              ,+                         ,+                         ,-                       ,-         ,-                    ,+                    ,-                     ,-                        ,-                         ,-                          ,+                       ,+                         ,VR                ,+                    ,-                    ,-                       ,-                          ,+                                       ,+                         ,+                        ,-                                     ,-                      ,-                       ,-                        ,-                       ,-                        ,-                   ,+              ,+                      ,-                  ,-                      ,-                      ,-                        ,-                          ,-                                     ,-                       ,-                                            ,-                                  ,-                  ,-                     ,VR                     ,                 ,                         ,                          ,from 166SR.Ch 15.Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N19               ,              ,166,1006,A, 40,X, 6,  85.00,    366.4500,Wright   ,Planktonic Foraminifers                      ,               ,G                 ,-                   ,-                               ,+                             ,-                         ,-                      ,+                ,-                        ,-                   ,-                       ,-                        ,-                     ,-                          ,-                      ,-                       ,-                    ,+                       ,+                   ,-                      ,+                      ,-                 ,-                      ,-             ,-                       ,-                              ,+                         ,+                         ,-                       ,-         ,-                    ,+                    ,-                     ,-                        ,-                         ,-                          ,+                       ,-                         ,R                 ,+                    ,-                    ,-                       ,-                          ,-                                       ,-                         ,R                        ,-                                     ,-                      ,-                       ,-                        ,-                       ,-                        ,+                   ,+              ,-                      ,-                  ,-                      ,+                      ,-                        ,-                          ,-                                     ,-                       ,-                                            ,-                                  ,cf                 ,cf                    ,                       ,                 ,                         ,                          ,from 166SR.Ch 15.Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N19               ,              ,166,1006,A, 41,X, 1,  85.00,    368.1500,Wright   ,Planktonic Foraminifers                      ,               ,G                 ,-                   ,-                               ,+                             ,-                         ,-                      ,+                ,-                        ,+                   ,-                       ,-                        ,-                     ,-                          ,-                      ,-                       ,-                    ,+                       ,-                   ,-                      ,-                      ,-                 ,-                      ,-             ,-                       ,-                              ,+                         ,+                         ,cf                      ,-         ,-                    ,-                    ,-                     ,-                        ,-                         ,-                          ,-                       ,-                         ,+                 ,+                    ,-                    ,-                       ,-                          ,+                                       ,+                         ,-                        ,-                                     ,-                      ,-                       ,-                        ,-                       ,-                        ,+                   ,+              ,+                      ,-                  ,-                      ,-                      ,-                        ,-                          ,-                                     ,-                       ,-                                            ,-                                  ,-                  ,                      ,                       ,                 ,                         ,                          ,from 166SR.Ch 15.Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N19               ,              ,166,1006,A, 41,X, 2,  85.00,    369.6500,Wright   ,Planktonic Foraminifers                      ,               ,G                 ,-                   ,-                               ,+                             ,-                         ,-                      ,+                ,-                        ,+                   ,-                       ,-                        ,-                     ,-                          ,-                      ,+                       ,-                    ,+                       ,-                   ,-                      ,-                      ,-                 ,-                      ,-             ,-                       ,-                              ,+                         ,+                         ,-                       ,VR        ,-                    ,+                    ,-                     ,+                        ,-                         ,-                          ,+                       ,-                         ,-                 ,+                    ,-                    ,-                       ,-                          ,R                                       ,-                         ,-                        ,-                                     ,-                      ,-                       ,-                        ,-                       ,-                        ,-                   ,-              ,+                      ,-                  ,-                      ,+                      ,-                        ,-                          ,-                                     ,-                       ,-                                            ,-                                  ,-                  ,                      ,                       ,                 ,                         ,                          ,from 166SR.Ch 15.Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N19               ,              ,166,1006,A, 41,X, 3,  85.00,    371.1500,Wright   ,Planktonic Foraminifers                      ,               ,G                 ,+                   ,-                               ,+                             ,-                         ,-                      ,+                ,-                        ,-                   ,-                       ,-                        ,-                     ,-                          ,-                      ,+                       ,VR                   ,+                       ,-                   ,VR                     ,-                      ,-                 ,-                      ,-             ,-                       ,-                              ,+                         ,+                         ,-                       ,-         ,-                    ,+                    ,-                     ,-                        ,-                         ,-                          ,+                       ,-                         ,-                 ,+                    ,-                    ,-                       ,-                          ,-                                       ,-                         ,-                        ,-                                     ,-                      ,-                       ,-                        ,-                       ,-                        ,+                   ,-              ,+                      ,-                  ,-                      ,+                      ,-                        ,-                          ,-                                     ,-                       ,-                                            ,-                                  ,cf                 ,                      ,                       ,                 ,                         ,                          ,from 166SR.Ch 15.Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N19               ,              ,166,1006,A, 41,X, 4,  85.00,    372.6500,Wright   ,Planktonic Foraminifers                      ,               ,G                 ,+                   ,-                               ,+                             ,-                         ,-                      ,+                ,-                        ,+                   ,-                       ,-                        ,-                     ,-                          ,-                      ,+                       ,-                    ,+                       ,-                   ,-                      ,-                      ,-                 ,-                      ,-             ,-                       ,-                              ,+                         ,+                         ,-                       ,-         ,-                    ,VR                   ,-                     ,-                        ,-                         ,-                          ,+                       ,+                         ,VR                ,+                    ,-                    ,-                       ,-                          ,-                                       ,-                         ,R                        ,-                                     ,-                      ,-                       ,-                        ,-                       ,-                        ,+                   ,+              ,-                      ,-                  ,-                      ,+                      ,-                        ,-                          ,-                                     ,-                       ,-                                            ,-                                  ,-                  ,                      ,                       ,                 ,                         ,                          ,from 166SR.Ch 15.Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N19               ,              ,166,1006,A, 41,X, 5,  85.00,    374.1500,Wright   ,Planktonic Foraminifers                      ,               ,G                 ,-                   ,+                               ,+                             ,-                         ,-                      ,+                ,-                        ,+                   ,-                       ,-                        ,-                     ,-                          ,-                      ,+                       ,-                    ,+                       ,-                   ,-                      ,+                      ,-                 ,-                      ,-             ,-                       ,-                              ,+                         ,+                         ,-                       ,-         ,-                    ,+                    ,-                     ,-                        ,-                         ,-                          ,+                       ,-                         ,-                 ,+                    ,-                    ,-                       ,-                          ,+                                       ,+                         ,+                        ,-                                     ,-                      ,-                       ,-                        ,-                       ,-                        ,-                   ,+              ,+                      ,-                  ,-                      ,-                      ,-                        ,-                          ,-                                     ,-                       ,-                                            ,-                                  ,cf                 ,                      ,                       ,                 ,                         ,                          ,from 166SR.Ch 15.Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N19               ,              ,166,1006,A, 41,X, 6,  85.00,    375.6500,Wright   ,Planktonic Foraminifers                      ,               ,G                 ,-                   ,+                               ,+                             ,-                         ,-                      ,+                ,-                        ,+                   ,-                       ,-                        ,-                     ,-                          ,-                      ,-                       ,-                    ,+                       ,-                   ,+                      ,+                      ,-                 ,-                      ,-             ,-                       ,-                              ,+                         ,+                         ,-                       ,-         ,-                    ,+                    ,-                     ,-                        ,-                         ,-                          ,+                       ,-                         ,VR                ,+                    ,-                    ,-                       ,-                          ,+                                       ,+                         ,+                        ,-                                     ,-                      ,-                       ,-                        ,+                       ,-                        ,+                   ,+              ,-                      ,-                  ,-                      ,+                      ,-                        ,VR                         ,-                                     ,-                       ,-                                            ,-                                  ,-                  ,                      ,                       ,                 ,                         ,                          ,from 166SR.Ch 15.Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N19               ,              ,166,1006,A, 42,X, 1,  35.00,    376.7500,Wright   ,Planktonic Foraminifers                      ,               ,G                 ,-                   ,-                               ,+                             ,-                         ,-                      ,+                ,-                        ,-                   ,-                       ,-                        ,-                     ,-                          ,-                      ,A                       ,-                    ,A                       ,-                   ,-                      ,-                      ,-                 ,-                      ,-             ,-                       ,-                              ,+                         ,A                         ,-                       ,-         ,-                    ,-                    ,-                     ,-                        ,-                         ,-                          ,+                       ,+                         ,-                 ,+                    ,-                    ,-                       ,-                          ,+                                       ,-                         ,+                        ,-                                     ,-                      ,-                       ,-                        ,-                       ,-                        ,+                   ,+              ,+                      ,-                  ,-                      ,+                      ,-                        ,+                          ,-                                     ,-                       ,-                                            ,-                                  ,-                  ,                      ,                       ,                 ,                         ,                          ,from 166SR.Ch 15.Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N19               ,              ,166,1006,A, 42,X, 1,  85.00,    377.2500,Wright   ,Planktonic Foraminifers                      ,               ,G                 ,-                   ,+                               ,+                             ,-                         ,-                      ,+                ,-                        ,+                   ,-                       ,-                        ,-                     ,-                          ,-                      ,-                       ,-                    ,+                       ,-                   ,-                      ,+                      ,-                 ,-                      ,-             ,-                       ,-                              ,+                         ,+                         ,cf                      ,-         ,-                    ,+                    ,-                     ,-                        ,-                         ,-                          ,+                       ,-                         ,-                 ,VR                   ,-                    ,-                       ,-                          ,C                                       ,+                         ,+                        ,-                                     ,-                      ,-                       ,-                        ,+                       ,-                        ,+                   ,+              ,cf                     ,-                  ,-                      ,C                      ,-                        ,-                          ,-                                     ,-                       ,+                                            ,-                                  ,-                  ,                      ,                       ,                 ,                         ,                          ,from 166SR.Ch 15.Table 1
