Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Trachyneis aspera	Thalassiothrix longissima	Thalassiothrix frauenfeldii	Thalassiosira lineata	Thalassiosira leptopus	Thalassionema nitzschioides	Stephanopyxis turris	Rhaphoneis amphiceros	Pseudopodosira spp.	Paralia sulcata	Melosira westii	Melosira spp.	Freshwater species	Diploneis spp.	Delphineis angustata	Cyclotella sp.	Coscinodiscus obscurus	Coscinodiscus marginatus	Chaetoceros spp. (resting spores)	Biddulphia spp.	Azpeitia nodulifera	Actinoptychus senarius	Actinocyclus octonarius	Neodelphineis pelagica	Denticulopsis hustedtii	Coscinodiscus radiatus	Hemidiscus cuneiformis	Thalassiosira eccentrica	Cymatosira immunis	Triceratium spp.	Rhaphoneis paralis	Grammatophora spp.	Stephanopyxis spp.	Melosira architecturalis	Thalassiosira zabellinae	Goniothecium sp.	Thalassiosira spp.	Thalassionema nitzschioides  var. parva	Neodenticula kamtschatica	Thalassiosira tetraoestrupii	Thalassiosira sp. A	Rhaphoneis spp.	Plagiogramma sp.	Lyrella hennedyii	Koizumia adaroi	Thalassiosira manifesta	Thalassiosira cf. T. deicipiens	Delphineis surirella	Thalassiothrix robusta	Thalassionema schraderi	Thalassiosira nidulus	Thalassiosira plicata	Thalassionema bacillaris	Nitzschia fossilis	Cyclotella striata	Coscinodiscus perforatus	Coscinodiscus oculus-iridis	Cavitatus jouseanus	Bacteriastrum spp.	Thalassiosira symbolophora	Actinocyclus curvatulus	Thalassiosira sp. B	Thalassionema hirosakiensis	Nitzschia cylindrica	Coscinodiscus nitidus	Synedra ulna	Nitzschia reinholdii	Nitzschia miocenica	Nitzschia bicapitata	Hyalodiscus sp. A	Synedra indica	Nitzschia marina	Thalassiothrix acuta	Actinoptychus splendens	Thalassiosira pacifica	Thalassiosira ferelineata	Thalassiosira anguste-lineata	Proboscia alata	Planktoniella  sol	Koizumia tatsunokuchiensis	Denticulopsis dimorpha	Thalassiosira trifulta	Hemidiscus ovalis	Thalassiosira convexa	Actinocyclus ingens	Thalassiosira miocenica	Thalassionema sp.	Roperia tesselata	Rhizosolenia hebetata	Nitzschia spp.	Glyphodesmis acus	Coscinodiscus spp.	Thalassiosira praeoestrupii	Pseudotriceratium wallichii	Cymatosira sp.	Thalassiosira symmetrica	Thalassiosira oestrupii	Thalassiosira jouseae	Porosira pseudodenticulata	Coscinodiscus denarius	Rhizosolenia styliformis	Stictodiscus spp.	Odontella sp.	Rhizosolenia setigera	Trigonium alternans	Actinoptychus vulgaris	Pleurosigma spp.	Comment
  SR	                 	                 	                  	              	164	 997	B	 27	X	 5	  30.00	    593.6000	Okada    	Diatoms                                      	               	                  	3                	2                        	4                          	1                    	                      	40                         	4                   	                     	1                  	37             	24             	1            	0                 	2             	1                   	              	                      	                        	30                               	               	4                  	15                    	16                     	                      	                       	3                     	                      	7                       	                  	                	4                 	                  	2                 	                        	                        	3               	                  	                                       	                         	1                           	1                  	2              	                	                 	               	                       	                               	1                   	4                     	                       	2                    	4                    	1                       	8                 	                  	                        	                           	12                 	                  	1                         	1                      	                   	                           	                    	                     	            	                    	                   	                    	                 	              	                	                    	                       	                      	                         	                             	               	                  	                          	                      	                      	                 	                     	                   	                       	                 	                 	                     	              	                 	                  	                           	                           	              	                        	                       	                     	                          	                      	                        	                 	             	                     	                   	                      	                	Total Diatom Count 208; Age Est 5.95Ma; Abundance 296 10^4/g; from 164SR.Ch 35.Table 1.

  SR	                 	                 	                  	              	164	 997	B	 28	X	 4	  28.00	    600.8500	Okada    	Diatoms                                      	               	                  	1                	1                        	1                          	2                    	                      	38                         	8                   	1                    	4                  	55             	36             	             	2                 	4             	1                   	              	                      	                        	11                               	               	2                  	8                     	15                     	                      	                       	2                     	1                     	9                       	1                 	                	1                 	2                 	1                 	                        	                        	                	                  	5                                      	                         	2                           	4                  	1              	1               	                 	               	                       	1                              	1                   	2                     	                       	                     	1                    	2                       	1                 	1                 	1                       	1                          	7                  	1                 	                          	                       	                   	                           	                    	                     	            	                    	                   	                    	                 	              	                	                    	                       	                      	                         	                             	               	                  	                          	                      	                      	                 	                     	                   	                       	                 	                 	                     	              	                 	                  	                           	                           	              	                        	                       	                     	                          	                      	                        	                 	             	                     	                   	                      	                	Total Diatom Count 223; Age Est 5.98Ma; Abundance 229 10^4/g; from 164SR.Ch 35.Table 1.

  SR	                 	                 	                  	              	164	 997	B	 29	X	 3	  30.00	    609.8000	Okada    	Diatoms                                      	               	                  	                 	1                        	                           	                     	                      	1                          	                    	                     	                   	15             	3              	             	1                 	              	                    	              	                      	                        	5                                	               	                   	                      	                       	                      	1                      	                      	                      	                        	                  	                	1                 	                  	1                 	                        	                        	                	                  	                                       	                         	                            	                   	               	                	                 	               	                       	                               	                    	                      	                       	                     	                     	                        	                  	                  	                        	                           	                   	                  	                          	                       	                   	                           	                    	                     	            	                    	                   	                    	                 	              	                	                    	                       	                      	                         	                             	               	                  	                          	                      	                      	                 	                     	                   	                       	                 	                 	                     	              	                 	                  	                           	                           	              	                        	                       	                     	                          	                      	                        	                 	             	                     	                   	                      	                	Total Diatom Count 23; Age Est 6.01Ma; Abundance 13.7 10^4/g; from 164SR.Ch 35.Table 1.

  SR	                 	                 	                  	              	164	 997	B	 30	X	 1	  30.00	    616.4000	Okada    	Diatoms                                      	               	                  	                 	1                        	                           	13                   	                      	3                          	                    	                     	2                  	23             	12             	             	1                 	2             	                    	              	                      	                        	9                                	               	                   	4                     	2                      	                      	                       	1                     	                      	                        	                  	                	                  	                  	1                 	                        	                        	                	1                 	                                       	                         	                            	                   	               	                	                 	               	                       	                               	1                   	                      	                       	1                    	                     	                        	                  	                  	                        	                           	                   	                  	                          	                       	                   	                           	                    	                     	            	                    	                   	                    	                 	              	                	                    	                       	                      	                         	                             	               	                  	                          	                      	                      	                 	                     	                   	                       	                 	                 	                     	              	                 	                  	                           	                           	              	                        	                       	                     	                          	                      	                        	                 	             	                     	                   	                      	                	Total Diatom Count 67; Age Est 6.04Ma; Abundance 41.3 10^4/g; from 164SR.Ch 35.Table 1.

  SR	                 	                 	                  	              	164	 997	B	 31	X	 1	  30.00	    626.0000	Okada    	Diatoms                                      	               	                  	                 	                         	                           	                     	                      	                           	                    	                     	                   	2              	               	             	0                 	              	                    	              	                      	                        	0                                	               	                   	                      	                       	                      	                       	                      	                      	                        	                  	                	                  	                  	                  	                        	                        	                	                  	                                       	                         	                            	                   	               	                	                 	               	                       	                               	                    	                      	                       	                     	                     	                        	                  	                  	                        	                           	                   	                  	                          	                       	                   	                           	                    	                     	            	                    	                   	                    	                 	              	                	                    	                       	                      	                         	                             	               	                  	                          	                      	                      	                 	                     	                   	                       	                 	                 	                     	              	                 	                  	                           	                           	              	                        	                       	                     	                          	                      	                        	                 	             	                     	                   	                      	                	Total Diatom Count 2; Age Est 6.08Ma; Abundance 1.19 10^4/g; from 164SR.Ch 35.Table 1.

  SR	                 	                 	                  	              	164	 997	B	 31	X	 5	  30.00	    631.9300	Okada    	Diatoms                                      	               	                  	                 	1                        	                           	                     	                      	                           	                    	                     	                   	8              	2              	             	0                 	              	                    	              	                      	                        	0                                	               	                   	                      	                       	                      	                       	                      	                      	                        	                  	                	                  	                  	                  	                        	                        	                	                  	                                       	                         	                            	                   	               	                	                 	               	                       	                               	                    	                      	                       	                     	                     	                        	                  	                  	                        	                           	                   	                  	                          	                       	                   	                           	                    	                     	            	                    	                   	                    	                 	              	                	                    	                       	                      	                         	                             	               	                  	                          	                      	                      	                 	                     	                   	                       	                 	                 	                     	              	                 	                  	                           	                           	              	                        	                       	                     	                          	                      	                        	                 	             	                     	                   	                      	                	Total Diatom Count 11; Age Est 6.11Ma; Abundance 6.35 10^4/g; from 164SR.Ch 35.Table 1.

  SR	                 	                 	                  	              	164	 997	B	 33	X	 3	  30.00	    638.7700	Okada    	Diatoms                                      	               	                  	                 	1                        	                           	2                    	                      	6                          	                    	                     	                   	23             	9              	             	1                 	1             	                    	              	                      	                        	9                                	               	                   	4                     	1                      	                      	                       	                      	                      	                        	                  	                	                  	                  	                  	                        	                        	                	                  	1                                      	                         	                            	                   	               	                	                 	               	                       	                               	                    	1                     	1                      	                     	                     	                        	                  	                  	                        	                           	                   	                  	                          	                       	                   	                           	                    	                     	            	                    	                   	                    	                 	              	                	                    	                       	                      	                         	                             	               	                  	                          	                      	                      	                 	                     	                   	                       	                 	                 	                     	              	                 	                  	                           	                           	              	                        	                       	                     	                          	                      	                        	                 	             	                     	                   	                      	                	Total Diatom Count 51; Age Est 6.14Ma; Abundance 29.9 10^4/g; from 164SR.Ch 35.Table 1.

  SR	                 	                 	                  	              	164	 997	B	 34	X	CC	   0.00	    646.4500	Okada    	Diatoms                                      	               	                  	                 	1                        	                           	1                    	                      	9                          	                    	                     	1                  	23             	12             	             	0                 	1             	                    	              	                      	                        	7                                	1              	2                  	1                     	1                      	                      	                       	                      	                      	5                       	                  	                	1                 	1                 	                  	                        	                        	                	1                 	2                                      	                         	                            	                   	1              	                	                 	               	1                      	1                              	1                   	                      	                       	                     	                     	                        	                  	                  	                        	                           	                   	                  	                          	                       	                   	                           	                    	                     	            	                    	                   	                    	                 	              	                	                    	                       	                      	                         	                             	               	                  	                          	                      	                      	                 	                     	                   	                       	                 	                 	                     	              	                 	                  	                           	                           	              	                        	                       	                     	                          	                      	                        	                 	             	                     	                   	                      	                	Total Diatom Count 65; Age Est 6.17Ma; Abundance 40.1 10^4/g; from 164SR.Ch 35.Table 1.

  SR	                 	                 	                  	              	164	 997	B	 35	X	 1	  30.00	    654.8000	Okada    	Diatoms                                      	               	                  	                 	                         	                           	                     	                      	                           	                    	                     	                   	               	               	             	0                 	              	                    	              	                      	                        	0                                	               	                   	                      	                       	                      	                       	                      	                      	                        	                  	                	                  	                  	                  	                        	                        	                	                  	                                       	                         	                            	                   	               	                	                 	               	                       	                               	                    	                      	                       	                     	                     	                        	                  	                  	                        	                           	                   	                  	                          	                       	                   	                           	                    	                     	            	                    	                   	                    	                 	              	                	                    	                       	                      	                         	                             	               	                  	                          	                      	                      	                 	                     	                   	                       	                 	                 	                     	              	                 	                  	                           	                           	              	                        	                       	                     	                          	                      	                        	                 	             	                     	                   	                      	                	Total Diatom Count 0; Age Est 6.2Ma; Abundance 0 10^4/g; from 164SR.Ch 35.Table 1.

  SR	                 	                 	                  	              	164	 997	B	 35	X	 7	  30.00	    661.7100	Okada    	Diatoms                                      	               	                  	                 	                         	                           	                     	                      	                           	                    	                     	                   	               	3              	             	0                 	              	                    	              	                      	                        	0                                	               	                   	                      	                       	                      	                       	                      	                      	                        	                  	                	                  	1                 	                  	                        	1                       	                	                  	                                       	                         	                            	                   	               	                	                 	               	                       	                               	                    	                      	                       	                     	                     	                        	                  	                  	                        	                           	                   	                  	                          	                       	                   	                           	                    	                     	            	                    	                   	                    	                 	              	                	                    	                       	                      	                         	                             	               	                  	                          	                      	                      	                 	                     	                   	                       	                 	                 	                     	              	                 	                  	                           	                           	              	                        	                       	                     	                          	                      	                        	                 	             	                     	                   	                      	                	Total Diatom Count 5; Age Est 6.23Ma; Abundance 3.05 10^4/g; from 164SR.Ch 35.Table 1.

  SR	                 	                 	                  	              	164	 997	B	 37	X	 3	  30.00	    668.4000	Okada    	Diatoms                                      	               	                  	                 	                         	                           	                     	                      	2                          	                    	                     	1                  	23             	5              	1            	0                 	2             	                    	              	                      	                        	16                               	               	1                  	                      	1                      	                      	                       	                      	                      	2                       	                  	                	                  	                  	                  	1                       	                        	2               	3                 	1                                      	1                        	1                           	2                  	2              	1               	1                	1              	                       	                               	                    	                      	                       	                     	                     	                        	                  	                  	                        	                           	                   	                  	                          	                       	                   	                           	                    	                     	            	                    	                   	                    	                 	              	                	                    	                       	                      	                         	                             	               	                  	                          	                      	                      	                 	                     	                   	                       	                 	                 	                     	              	                 	                  	                           	                           	              	                        	                       	                     	                          	                      	                        	                 	             	                     	                   	                      	                	Total Diatom Count 53; Age Est 6.26Ma; Abundance 33 10^4/g; from 164SR.Ch 35.Table 1.

  SR	                 	                 	                  	              	164	 997	B	 38	X	 2	  30.00	    675.6000	Okada    	Diatoms                                      	               	                  	                 	                         	                           	1                    	                      	16                         	                    	1                    	2                  	37             	3              	             	0                 	1             	                    	              	                      	1                       	16                               	               	1                  	2                     	                       	                      	                       	                      	                      	1                       	                  	                	1                 	1                 	                  	1                       	                        	1               	                  	                                       	                         	                            	                   	               	                	                 	               	                       	                               	                    	                      	                       	                     	                     	                        	                  	                  	                        	                           	                   	                  	                          	                       	                   	                           	                    	                     	            	                    	                   	                    	                 	              	                	                    	                       	                      	                         	                             	               	                  	                          	                      	                      	                 	                     	                   	                       	                 	                 	                     	              	                 	                  	                           	                           	              	                        	                       	                     	                          	                      	                        	                 	             	                     	                   	                      	                	Total Diatom Count 69; Age Est 6.29Ma; Abundance 42 10^4/g; from 164SR.Ch 35.Table 1.

  SR	                 	                 	                  	              	164	 997	B	 39	X	 1	  30.00	    683.7000	Okada    	Diatoms                                      	               	                  	                 	                         	                           	                     	                      	4                          	                    	                     	                   	14             	3              	             	0                 	              	                    	              	                      	1                       	7                                	               	                   	                      	                       	                      	                       	                      	                      	                        	                  	                	                  	                  	                  	3                       	                        	1               	                  	                                       	1                        	                            	                   	               	                	                 	               	                       	                               	                    	                      	                       	                     	                     	                        	                  	                  	                        	                           	                   	                  	                          	                       	                   	                           	                    	                     	            	                    	                   	                    	                 	              	                	                    	                       	                      	                         	                             	               	                  	                          	                      	                      	                 	                     	                   	                       	                 	                 	                     	              	                 	                  	                           	                           	              	                        	                       	                     	                          	                      	                        	                 	             	                     	                   	                      	                	Total Diatom Count 27; Age Est 6.32Ma; Abundance 15.9 10^4/g; from 164SR.Ch 35.Table 1.

  SR	                 	                 	                  	              	164	 997	B	 39	X	 6	  30.00	    691.2000	Okada    	Diatoms                                      	               	                  	                 	1                        	                           	                     	                      	5                          	                    	                     	                   	16             	2              	             	0                 	1             	                    	              	                      	                        	5                                	               	                   	                      	                       	                      	                       	1                     	                      	1                       	                  	                	                  	                  	                  	                        	                        	                	2                 	1                                      	                         	                            	                   	               	                	                 	               	                       	                               	                    	                      	                       	                     	                     	                        	                  	                  	                        	                           	                   	                  	                          	                       	                   	                           	                    	                     	            	                    	                   	                    	                 	              	                	                    	                       	                      	                         	                             	               	                  	                          	                      	                      	                 	                     	                   	                       	                 	                 	                     	              	                 	                  	                           	                           	              	                        	                       	                     	                          	                      	                        	                 	             	                     	                   	                      	                	Total Diatom Count 31; Age Est 6.36Ma; Abundance 18.4 10^4/g; from 164SR.Ch 35.Table 1.

  SR	                 	                 	                  	              	164	 997	B	 42	X	 1	  30.00	    702.9000	Okada    	Diatoms                                      	               	                  	                 	1                        	                           	                     	1                     	10                         	                    	1                    	2                  	57             	10             	             	1                 	3             	                    	              	                      	1                       	11                               	               	                   	1                     	2                      	                      	                       	1                     	                      	1                       	                  	                	                  	3                 	                  	1                       	1                       	1               	                  	                                       	                         	                            	                   	               	                	                 	               	                       	                               	                    	                      	                       	                     	                     	                        	                  	                  	                        	                           	                   	                  	                          	                       	                   	                           	                    	                     	            	                    	                   	                    	                 	              	                	                    	                       	                      	                         	                             	               	                  	                          	                      	                      	                 	                     	                   	                       	                 	                 	                     	              	                 	                  	                           	                           	              	                        	                       	                     	                          	                      	                        	                 	             	                     	                   	                      	                	Total Diatom Count 97; Age Est 6.4Ma; Abundance 59.1 10^4/g; from 164SR.Ch 35.Table 1.

  SR	                 	                 	                  	              	164	 997	B	 42	X	CC	   0.00	    706.4200	Okada    	Diatoms                                      	               	                  	                 	                         	                           	                     	                      	2                          	                    	2                    	                   	19             	1              	             	0                 	              	                    	              	                      	                        	9                                	               	                   	1                     	1                      	                      	                       	                      	                      	2                       	                  	2               	                  	1                 	1                 	1                       	                        	                	                  	                                       	                         	                            	                   	               	                	                 	               	                       	                               	                    	                      	                       	                     	                     	                        	                  	                  	                        	                           	                   	                  	                          	                       	                   	                           	                    	                     	            	                    	                   	                    	                 	              	                	                    	                       	                      	                         	                             	               	                  	                          	                      	                      	                 	                     	                   	                       	                 	                 	                     	              	                 	                  	                           	                           	              	                        	                       	                     	                          	                      	                        	                 	             	                     	                   	                      	                	Total Diatom Count 32; Age Est 6.42Ma; Abundance 19.5 10^4/g; from 164SR.Ch 35.Table 1.

  SR	                 	                 	                  	              	164	 997	B	 43	X	 2	  27.00	    713.9700	Okada    	Diatoms                                      	               	                  	                 	1                        	1                          	1                    	                      	10                         	1                   	                     	                   	57             	6              	             	1                 	2             	                    	              	1                     	2                       	12                               	               	                   	4                     	2                      	                      	                       	                      	                      	2                       	                  	1               	1                 	2                 	                  	                        	                        	                	                  	                                       	                         	                            	                   	               	                	                 	               	                       	                               	                    	                      	                       	                     	                     	                        	                  	                  	                        	                           	                   	                  	                          	                       	                   	                           	                    	                     	            	                    	                   	                    	                 	              	                	                    	                       	                      	                         	                             	               	                  	                          	                      	                      	                 	                     	                   	                       	                 	                 	                     	              	                 	                  	                           	                           	              	                        	                       	                     	                          	                      	                        	                 	             	                     	                   	                      	                	Total Diatom Count 94; Age Est 6.45Ma; Abundance 56.7 10^4/g; from 164SR.Ch 35.Table 1.

  SR	                 	                 	                  	              	164	 997	B	 43	X	CC	  25.00	    720.7600	Okada    	Diatoms                                      	               	                  	                 	                         	                           	                     	                      	2                          	                    	                     	                   	20             	3              	             	1                 	              	                    	              	                      	                        	2                                	               	                   	3                     	                       	                      	1                      	                      	                      	2                       	1                 	                	                  	                  	                  	                        	                        	                	                  	                                       	                         	                            	                   	               	                	                 	               	                       	                               	                    	                      	                       	                     	                     	                        	                  	                  	                        	                           	                   	                  	                          	                       	                   	                           	                    	                     	            	                    	                   	                    	                 	              	                	                    	                       	                      	                         	                             	               	                  	                          	                      	                      	                 	                     	                   	                       	                 	                 	                     	              	                 	                  	                           	                           	              	                        	                       	                     	                          	                      	                        	                 	             	                     	                   	                      	                	Total Diatom Count 32; Age Est 6.48Ma; Abundance 18.9 10^4/g; from 164SR.Ch 35.Table 1.

  SR	                 	                 	                  	              	164	 997	B	 45	X	 5	  29.00	    728.9500	Okada    	Diatoms                                      	               	                  	                 	                         	                           	                     	                      	4                          	1                   	                     	1                  	19             	1              	             	0                 	              	                    	              	                      	1                       	1                                	               	                   	1                     	1                      	                      	                       	                      	1                     	                        	                  	                	                  	                  	                  	                        	                        	                	                  	                                       	                         	                            	                   	               	                	                 	               	                       	                               	                    	                      	                       	                     	                     	                        	                  	                  	                        	                           	                   	                  	                          	                       	                   	                           	                    	                     	            	                    	                   	                    	                 	              	                	                    	                       	                      	                         	                             	               	                  	                          	                      	                      	                 	                     	                   	                       	                 	                 	                     	              	                 	                  	                           	                           	              	                        	                       	                     	                          	                      	                        	                 	             	                     	                   	                      	                	Total Diatom Count 30; Age Est 6.51Ma; Abundance 17.8 10^4/g; from 164SR.Ch 35.Table 1.

  SR	                 	                 	                  	              	164	 997	B	 46	X	 5	  30.00	    736.5400	Okada    	Diatoms                                      	               	                  	                 	                         	                           	                     	                      	                           	                    	                     	                   	1              	               	             	0                 	              	                    	              	                      	                        	1                                	               	                   	                      	                       	                      	                       	                      	                      	                        	                  	                	                  	                  	                  	                        	                        	                	                  	                                       	                         	                            	                   	               	                	                 	               	                       	                               	                    	                      	                       	                     	                     	                        	                  	                  	                        	                           	                   	                  	                          	                       	                   	                           	                    	                     	            	                    	                   	                    	                 	              	                	                    	                       	                      	                         	                             	               	                  	                          	                      	                      	                 	                     	                   	                       	                 	                 	                     	              	                 	                  	                           	                           	              	                        	                       	                     	                          	                      	                        	                 	             	                     	                   	                      	                	Total Diatom Count 1; Age Est 6.55Ma; Abundance 0.61 10^4/g; from 164SR.Ch 35.Table 1.

  SR	                 	                 	                  	              	164	 997	B	 47	X	 3	  31.00	    744.4100	Okada    	Diatoms                                      	               	                  	                 	                         	                           	                     	                      	1                          	                    	                     	1                  	15             	1              	             	1                 	              	                    	              	                      	                        	0                                	1              	                   	                      	                       	1                     	1                      	1                     	                      	                        	                  	                	                  	                  	                  	                        	                        	                	                  	                                       	                         	                            	                   	               	                	                 	               	                       	                               	                    	                      	                       	                     	                     	                        	                  	                  	                        	                           	                   	                  	                          	                       	                   	                           	                    	                     	            	                    	                   	                    	                 	              	                	                    	                       	                      	                         	                             	               	                  	                          	                      	                      	                 	                     	                   	                       	                 	                 	                     	              	                 	                  	                           	                           	              	                        	                       	                     	                          	                      	                        	                 	             	                     	                   	                      	                	Total Diatom Count 23; Age Est 6.58Ma; Abundance 13.8 10^4/g; from 164SR.Ch 35.Table 1.

  SR	                 	                 	                  	              	164	 997	B	 47	X	CC	   0.00	    749.6400	Okada    	Diatoms                                      	               	                  	1                	1                        	1                          	3                    	1                     	11                         	3                   	4                    	1                  	107            	15             	1            	3                 	9             	1                   	1             	1                     	16                      	15                               	1              	4                  	4                     	2                      	                      	                       	                      	                      	                        	                  	                	                  	                  	                  	                        	                        	                	                  	                                       	                         	                            	                   	               	                	                 	               	                       	                               	                    	                      	                       	                     	                     	                        	                  	                  	                        	                           	                   	                  	                          	                       	                   	                           	                    	                     	            	                    	                   	                    	                 	              	                	                    	                       	                      	                         	                             	               	                  	                          	                      	                      	                 	                     	                   	                       	                 	                 	                     	              	                 	                  	                           	                           	              	                        	                       	                     	                          	                      	                        	                 	             	                     	                   	                      	                	Total Diatom Count 190; Age Est 6.6Ma; Abundance 113 10^4/g; from 164SR.Ch 35.Table 1.

