Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Toweius pertusus,Toweius eminens,Sphenolithus primus,Sphenolithus anarrhopus,Neochiastozygus digitosus,Markalius inversus,Fasciculithus involutus,Ellipsolithus macellus,Ellipsolithus distichus,Cruciplacolithus tenuis,Chiasmolithus danicus,Chiasmolithus consuetus,Fasciculithus tympaniformis,Fasciculithus lillianae,Discoaster multiradiatus,Coccolithus pelagicus,Campylosphaera eodela,Lophodolithus nascens,Heliolithus kleinpellii,Discoaster diastypus,Neochiastozygus junctus,Tribrachiatus bramlettei,Discoaster salisburgensis,Discoaster barbadiensis,Cruciplacolithus frequens,Tribrachiatus orthostylus,Toweius crassus,Sphenolithus radians,Chiasmolithus expansus,Campylosphaera dela,Coccolithus eopelagicus,Discoaster lodoensis,Chiasmolithus solitus,Ericsonia formosa,Discoaster sublodoensis,Discoaster kuepperi,Chiasmolithus grandis,Rhabdosphaera inflata,Discoaster saipanensis,Nannotetrina fulgens,Sphenolithus stellatus,Chiasmolithus gigas,Nannotetrina cristata,Discoaster strictus,Zygrhablithus bijugatus,Nannotetrina pappii,Sphenolithus furcatolithoides,Reticulofenestra umbilica,Bramletteius serraculoides,Pseudotriquetrorhabdulus inversus,Discoaster tanii,Sphenolithus orphanknollensis,Rhabdosphaera morionum,Cyclicargolithus gammation,Reticulofenestra dictyoda,Pemma papillatum,Neococcolithes minutus,Cribrocentrum reticulatum,Sphenolithus predistentus,Chiasmolithus titus,Dictyococcites bisectus,Sphenolithus obtusus,Discoaster nodifer,Chiasmolithus oamaruensis,Comment
  IR,                 ,Middle Eocene    ,                  ,CP13b         ,171,1051,B, 29,X,CC,  37.00,    268.4100,Watkins  ,Nannofossils                                 ,C              ,M                 ,                ,               ,                   ,                       ,                         ,                  ,                       ,                      ,                       ,                       ,                     ,                       ,                           ,                       ,                        ,                     ,                     ,                     ,                       ,                    ,                       ,                        ,                         ,R                      ,                         ,                         ,               ,                    ,                      ,                   ,                       ,                    ,+                    ,R                ,+                      ,                   ,+                    ,                     ,                      ,                    ,                      ,R                  ,+                    ,                   ,                       ,                   ,+                            ,R                        ,                          ,                                 ,                ,                             ,                      ,                          ,                         ,                ,                      ,                         ,                         ,                   ,                       ,                    ,                  ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,CP13b         ,171,1051,B, 30,X,CC,  37.00,    277.9700,Watkins  ,Nannofossils                                 ,C              ,M                 ,                ,               ,                   ,                       ,                         ,                  ,                       ,                      ,                       ,                       ,                     ,                       ,                           ,                       ,                        ,R                    ,                     ,                     ,                       ,                    ,                       ,                        ,                         ,+                      ,                         ,                         ,               ,R                   ,                      ,                   ,                       ,                    ,+                    ,R                ,                       ,                   ,+                    ,                     ,                      ,                    ,                      ,R                  ,                     ,                   ,R                      ,+                  ,                             ,                         ,                          ,                                 ,                ,                             ,                      ,                          ,                         ,                ,                      ,                         ,                         ,                   ,                       ,                    ,                  ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,CP13b         ,171,1051,B, 31,X,CC,  33.00,    287.5600,Watkins  ,Nannofossils                                 ,C              ,M                 ,                ,               ,                   ,                       ,                         ,                  ,                       ,                      ,                       ,                       ,                     ,                       ,                           ,                       ,                        ,                     ,                     ,                     ,                       ,                    ,                       ,                        ,                         ,+                      ,                         ,                         ,               ,                    ,                      ,                   ,                       ,                    ,+                    ,                 ,                       ,                   ,+                    ,                     ,                      ,+                   ,                      ,+                  ,                     ,                   ,                       ,                   ,                             ,                         ,                          ,                                 ,                ,                             ,                      ,                          ,                         ,                ,                      ,                         ,                         ,                   ,                       ,                    ,                  ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,CP13          ,171,1051,B, 32,X,CC,  33.00,    294.9600,Mita     ,Nannofossils                                 ,C              ,M                 ,                ,               ,                   ,                       ,                         ,                  ,                       ,                      ,                       ,                       ,                     ,                       ,                           ,                       ,                        ,F                    ,                     ,                     ,                       ,                    ,                       ,                        ,                         ,+                      ,                         ,                         ,               ,                    ,+                     ,                   ,                       ,                    ,R                    ,R                ,                       ,                   ,R                    ,                     ,                      ,+                   ,                      ,+                  ,                     ,                   ,R                      ,                   ,                             ,                         ,                          ,                                 ,                ,                             ,                      ,                          ,                         ,                ,                      ,                         ,                         ,                   ,                       ,                    ,                  ,                         ,CP13b
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,CP13b         ,171,1051,B, 33,X,CC,  47.00,    303.4100,Watkins  ,Nannofossils                                 ,F              ,P                 ,                ,               ,                   ,                       ,                         ,                  ,                       ,                      ,                       ,                       ,                     ,                       ,                           ,                       ,                        ,                     ,                     ,                     ,                       ,                    ,                       ,                        ,                         ,                       ,                         ,                         ,               ,                    ,                      ,                   ,+                      ,                    ,                     ,                 ,                       ,                   ,+                    ,                     ,                      ,                    ,                      ,+                  ,                     ,+                  ,                       ,                   ,                             ,                         ,                          ,                                 ,                ,                             ,                      ,                          ,                         ,                ,                      ,                         ,                         ,                   ,                       ,                    ,                  ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,CP13b         ,171,1051,B, 34,X,CC,  34.00,    307.0800,Watkins  ,Nannofossils                                 ,F              ,P                 ,                ,               ,                   ,                       ,                         ,                  ,                       ,                      ,                       ,                       ,                     ,                       ,                           ,                       ,                        ,                     ,                     ,                     ,                       ,                    ,                       ,                        ,                         ,+                      ,                         ,                         ,               ,                    ,                      ,                   ,                       ,                    ,+                    ,                 ,                       ,                   ,+                    ,                     ,                      ,+                   ,                      ,+                  ,+                    ,+                  ,                       ,                   ,                             ,                         ,                          ,                                 ,                ,                             ,                      ,                          ,                         ,                ,                      ,                         ,                         ,                   ,                       ,                    ,                  ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,CP13b         ,171,1051,B, 35,X,CC,  10.00,    315.4700,Watkins  ,Nannofossils                                 ,A              ,M                 ,                ,               ,                   ,                       ,                         ,                  ,                       ,                      ,                       ,                       ,                     ,                       ,                           ,                       ,                        ,                     ,                     ,                     ,                       ,                    ,                       ,                        ,                         ,+                      ,                         ,                         ,               ,                    ,                      ,                   ,                       ,                    ,+                    ,                 ,                       ,                   ,+                    ,                     ,                      ,                    ,                      ,+                  ,                     ,                   ,                       ,                   ,                             ,                         ,                          ,                                 ,                ,                             ,                      ,                          ,                         ,                ,                      ,                         ,                         ,                   ,                       ,                    ,                  ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,CP13b         ,171,1051,B, 36,X,CC,  22.00,    322.5800,Watkins  ,Nannofossils                                 ,A              ,M                 ,                ,               ,                   ,                       ,                         ,                  ,                       ,                      ,                       ,                       ,                     ,                       ,                           ,                       ,                        ,                     ,                     ,                     ,                       ,                    ,                       ,                        ,                         ,+                      ,                         ,                         ,               ,                    ,                      ,                   ,                       ,                    ,+                    ,                 ,                       ,                   ,+                    ,                     ,+                     ,                    ,                      ,+                  ,                     ,                   ,                       ,                   ,                             ,                         ,                          ,                                 ,                ,                             ,                      ,                          ,                         ,                ,                      ,                         ,                         ,                   ,                       ,                    ,                  ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,CP13b         ,171,1051,B, 37,X,CC,  34.00,    332.2900,Watkins  ,Nannofossils                                 ,A              ,M                 ,                ,               ,                   ,                       ,                         ,                  ,                       ,                      ,                       ,                       ,                     ,                       ,                           ,                       ,                        ,                     ,                     ,                     ,                       ,                    ,                       ,                        ,                         ,                       ,                         ,                         ,               ,                    ,                      ,                   ,                       ,                    ,+                    ,                 ,                       ,                   ,+                    ,                     ,+                     ,+                   ,+                     ,+                  ,                     ,                   ,                       ,                   ,                             ,                         ,                          ,                                 ,                ,                             ,                      ,                          ,                         ,                ,                      ,                         ,                         ,                   ,                       ,                    ,                  ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,CP13a         ,171,1051,B, 38,X,CC,  37.00,    337.8200,Watkins  ,Nannofossils                                 ,A              ,G                 ,                ,               ,                   ,                       ,                         ,                  ,                       ,                      ,                       ,                       ,                     ,                       ,                           ,                       ,                        ,                     ,                     ,                     ,                       ,                    ,                       ,                        ,                         ,+                      ,                         ,                         ,               ,                    ,                      ,                   ,                       ,                    ,+                    ,                 ,                       ,                   ,+                    ,                     ,+                     ,+                   ,                      ,                   ,                     ,                   ,                       ,                   ,                             ,                         ,                          ,                                 ,                ,                             ,                      ,                          ,                         ,                ,                      ,                         ,                         ,                   ,                       ,                    ,                  ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,CP13a         ,171,1051,B, 39,X,CC,  34.00,    351.4400,Watkins  ,Nannofossils                                 ,C              ,M                 ,                ,               ,                   ,                       ,                         ,                  ,                       ,                      ,                       ,                       ,                     ,                       ,                           ,                       ,                        ,                     ,                     ,                     ,                       ,                    ,                       ,                        ,                         ,                       ,                         ,                         ,               ,                    ,                      ,                   ,                       ,                    ,+                    ,                 ,                       ,                   ,+                    ,                     ,+                     ,+                   ,                      ,                   ,                     ,                   ,                       ,                   ,                             ,                         ,                          ,                                 ,                ,                             ,                      ,                          ,                         ,                ,                      ,                         ,                         ,                   ,                       ,                    ,                  ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,CP13a         ,171,1051,B, 40,X,CC,  46.00,    361.1900,Watkins  ,Nannofossils                                 ,C              ,M                 ,                ,               ,                   ,                       ,                         ,                  ,                       ,                      ,                       ,                       ,                     ,                       ,                           ,                       ,                        ,                     ,                     ,                     ,                       ,                    ,                       ,                        ,                         ,+                      ,                         ,                         ,               ,                    ,                      ,                   ,                       ,                    ,                     ,                 ,                       ,                   ,+                    ,                     ,+                     ,                    ,                      ,                   ,                     ,                   ,                       ,                   ,                             ,                         ,                          ,                                 ,                ,                             ,                      ,                          ,                         ,                ,                      ,                         ,                         ,                   ,                       ,                    ,                  ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,CP12b         ,171,1051,B, 41,X,CC,  38.00,    370.7100,Watkins  ,Nannofossils                                 ,A              ,M                 ,                ,               ,                   ,                       ,                         ,                  ,                       ,                      ,                       ,                       ,                     ,                       ,                           ,                       ,                        ,                     ,                     ,                     ,                       ,                    ,                       ,                        ,                         ,+                      ,                         ,                         ,               ,                    ,                      ,                   ,                       ,                    ,                     ,                 ,+                      ,                   ,                     ,+                    ,+                     ,                    ,                      ,                   ,                     ,                   ,                       ,                   ,                             ,                         ,                          ,                                 ,                ,                             ,                      ,                          ,                         ,                ,                      ,                         ,                         ,                   ,                       ,                    ,                  ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,CP12b         ,171,1051,B, 42,X,CC,  20.00,    373.6200,Watkins  ,Nannofossils                                 ,C              ,M                 ,                ,               ,                   ,                       ,                         ,                  ,                       ,                      ,                       ,                       ,                     ,                       ,                           ,                       ,                        ,                     ,                     ,                     ,                       ,                    ,                       ,                        ,                         ,+                      ,                         ,                         ,               ,                    ,                      ,                   ,                       ,                    ,+                    ,                 ,                       ,                   ,                     ,+                    ,+                     ,                    ,                      ,                   ,                     ,                   ,                       ,                   ,                             ,                         ,                          ,                                 ,                ,                             ,                      ,                          ,                         ,                ,                      ,                         ,                         ,                   ,                       ,                    ,                  ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Eocene     ,                  ,CP12a         ,171,1051,B, 43,X, 1,  35.00,    376.4500,Watkins  ,Nannofossils                                 ,F              ,G                 ,                ,               ,                   ,                       ,                         ,                  ,                       ,                      ,                       ,                       ,                     ,                       ,                           ,                       ,                        ,                     ,                     ,                     ,                       ,                    ,                       ,                        ,                         ,+                      ,                         ,                         ,               ,                    ,+                     ,                   ,                       ,+                   ,                     ,                 ,+                      ,                   ,+                    ,                     ,                      ,                    ,                      ,                   ,                     ,                   ,                       ,                   ,                             ,                         ,                          ,                                 ,                ,                             ,                      ,                          ,                         ,                ,                      ,                         ,                         ,                   ,                       ,                    ,                  ,                         ,high proportion of phillipsite
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,CP12a         ,171,1051,B, 43,X,CC,  35.00,    377.0000,Watkins  ,Nannofossils                                 ,F              ,P                 ,                ,               ,                   ,                       ,                         ,                  ,                       ,                      ,                       ,                       ,                     ,                       ,                           ,                       ,                        ,                     ,                     ,                     ,                       ,                    ,                       ,                        ,                         ,+                      ,                         ,                         ,               ,                    ,                      ,                   ,                       ,+                   ,                     ,                 ,+                      ,                   ,                     ,                     ,                      ,                    ,                      ,                   ,                     ,                   ,                       ,                   ,                             ,                         ,                          ,                                 ,                ,                             ,                      ,                          ,                         ,                ,                      ,                         ,                         ,                   ,                       ,                    ,                  ,                         ,lots of opal-CT lepispheres
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Eocene     ,                  ,CP11          ,171,1051,B, 44,X,CC,  17.00,    380.9300,Watkins  ,Nannofossils                                 ,F              ,P                 ,                ,               ,                   ,                       ,                         ,                  ,                       ,                      ,                       ,                       ,                     ,                       ,                           ,                       ,                        ,                     ,                     ,                     ,                       ,                    ,                       ,                        ,                         ,                       ,                         ,                         ,+              ,                    ,                      ,                   ,                       ,+                   ,                     ,                 ,                       ,+                  ,+                    ,                     ,                      ,                    ,                      ,                   ,                     ,                   ,                       ,                   ,                             ,                         ,                          ,                                 ,                ,                             ,                      ,                          ,                         ,                ,                      ,                         ,                         ,                   ,                       ,                    ,                  ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,CP12a         ,171,1051,B, 45,X,CC,  32.00,    385.8400,Watkins  ,Nannofossils                                 ,F              ,P                 ,                ,               ,                   ,                       ,                         ,                  ,                       ,                      ,                       ,                       ,                     ,                       ,                           ,                       ,                        ,                     ,                     ,                     ,                       ,                    ,                       ,                        ,                         ,                       ,                         ,                         ,               ,                    ,                      ,                   ,                       ,+                   ,                     ,                 ,+                      ,                   ,                     ,                     ,                      ,                    ,                      ,                   ,                     ,                   ,                       ,                   ,                             ,                         ,                          ,                                 ,                ,                             ,                      ,                          ,                         ,                ,                      ,                         ,                         ,                   ,                       ,                    ,                  ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,              ,171,1051,B, 46,X,CC,  42.00,    398.4800,Mita     ,Nannofossils                                 ,C              ,M                 ,                ,C              ,                   ,                       ,                         ,                  ,                       ,                      ,                       ,                       ,                     ,                       ,                           ,                       ,                        ,+                    ,                     ,                     ,                       ,+                   ,                       ,                        ,                         ,                       ,                         ,R                        ,F              ,F                   ,+                     ,+                  ,                       ,+                   ,+                    ,                 ,                       ,                   ,                     ,                     ,                      ,                    ,                      ,                   ,                     ,                   ,                       ,                   ,                             ,                         ,                          ,                                 ,                ,                             ,                      ,                          ,                         ,                ,                      ,                         ,                         ,                   ,                       ,                    ,                  ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,171,1051,B, 47,X,CC,  34.00,    409.0800,Mita     ,Nannofossils                                 ,               ,                  ,                ,               ,                   ,                       ,                         ,                  ,                       ,                      ,                       ,                       ,                     ,                       ,                           ,                       ,                        ,R                    ,                     ,                     ,                       ,                    ,                       ,                        ,                         ,                       ,                         ,R                        ,F              ,C                   ,                      ,R                  ,R                      ,R                   ,R                    ,R                ,                       ,                   ,                     ,                     ,                      ,                    ,                      ,                   ,                     ,                   ,                       ,                   ,                             ,                         ,                          ,                                 ,                ,                             ,                      ,                          ,                         ,                ,                      ,                         ,                         ,                   ,                       ,                    ,                  ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,CP11          ,171,1051,B, 48,X,CC,  37.00,    418.8100,Mita     ,Nannofossils                                 ,R              ,P                 ,                ,               ,                   ,                       ,                         ,R                 ,                       ,                      ,                       ,                       ,                     ,                       ,                           ,                       ,                        ,                     ,                     ,                     ,                       ,                    ,                       ,                        ,                         ,                       ,                         ,R                        ,C              ,C                   ,                      ,R                  ,                       ,R                   ,R                    ,                 ,                       ,                   ,                     ,                     ,                      ,                    ,                      ,                   ,                     ,                   ,                       ,                   ,                             ,                         ,                          ,                                 ,                ,                             ,                      ,                          ,                         ,                ,                      ,                         ,                         ,                   ,                       ,                    ,                  ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,CP11          ,171,1051,B, 49,X,CC,  43.00,    428.4100,Mita     ,Nannofossils                                 ,R              ,P                 ,                ,               ,                   ,                       ,                         ,                  ,                       ,                      ,                       ,                       ,                     ,+                      ,                           ,                       ,                        ,                     ,                     ,                     ,                       ,                    ,                       ,                        ,                         ,                       ,                         ,+                        ,+              ,+                   ,                      ,                   ,+                      ,                    ,                     ,                 ,                       ,                   ,                     ,                     ,                      ,                    ,                      ,                   ,                     ,                   ,                       ,                   ,                             ,                         ,                          ,                                 ,                ,                             ,                      ,                          ,                         ,                ,                      ,                         ,                         ,                   ,                       ,                    ,                  ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,              ,171,1051,B, 50,X,CC,  41.00,    438.1200,Mita     ,Nannofossils                                 ,C              ,M                 ,                ,               ,                   ,                       ,                         ,                  ,                       ,+                     ,                       ,                       ,                     ,                       ,                           ,                       ,+                       ,+                    ,                     ,                     ,                       ,                    ,                       ,                        ,                         ,                       ,                         ,+                        ,+              ,+                   ,+                     ,+                  ,                       ,                    ,                     ,                 ,                       ,                   ,                     ,                     ,                      ,                    ,                      ,                   ,                     ,                   ,                       ,                   ,                             ,                         ,                          ,                                 ,                ,                             ,                      ,                          ,                         ,                ,                      ,                         ,                         ,                   ,                       ,                    ,                  ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Eocene     ,                  ,CP9b          ,171,1051,B, 51,X,CC,  46.00,    447.7100,Watkins  ,Nannofossils                                 ,A              ,M                 ,                ,               ,                   ,                       ,                         ,                  ,                       ,                      ,                       ,                       ,                     ,+                      ,                           ,                       ,                        ,                     ,                     ,                     ,                       ,+                   ,                       ,                        ,                         ,+                      ,                         ,+                        ,               ,                    ,                      ,                   ,                       ,                    ,                     ,                 ,                       ,                   ,                     ,                     ,                      ,                    ,                      ,                   ,                     ,                   ,                       ,                   ,                             ,                         ,                          ,                                 ,                ,                             ,                      ,                          ,                         ,                ,                      ,                         ,                         ,                   ,                       ,                    ,                  ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Eocene     ,                  ,CP9b          ,171,1051,B, 52,X,CC,  46.00,    457.4800,Watkins  ,Nannofossils                                 ,A              ,M                 ,                ,               ,                   ,                       ,                         ,                  ,                       ,                      ,                       ,                       ,                     ,                       ,                           ,                       ,+                       ,                     ,                     ,+                    ,                       ,+                   ,                       ,                        ,                         ,+                      ,                         ,+                        ,               ,                    ,                      ,                   ,                       ,                    ,                     ,                 ,                       ,                   ,                     ,                     ,                      ,                    ,                      ,                   ,                     ,                   ,                       ,                   ,                             ,                         ,                          ,                                 ,                ,                             ,                      ,                          ,                         ,                ,                      ,                         ,                         ,                   ,                       ,                    ,                  ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Eocene     ,                  ,CP9a          ,171,1051,B, 53,X,CC,  42.00,    458.0900,Watkins  ,Nannofossils                                 ,F              ,P                 ,                ,               ,                   ,                       ,                         ,                  ,                       ,                      ,                       ,                       ,                     ,+                      ,                           ,                       ,                        ,                     ,                     ,                     ,                       ,                    ,                       ,                        ,+                        ,+                      ,+                        ,                         ,               ,                    ,                      ,                   ,                       ,                    ,                     ,                 ,                       ,                   ,                     ,                     ,                      ,                    ,                      ,                   ,                     ,                   ,                       ,                   ,                             ,                         ,                          ,                                 ,                ,                             ,                      ,                          ,                         ,                ,                      ,                         ,                         ,                   ,                       ,                    ,                  ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Eocene     ,                  ,CP9a          ,171,1051,B, 54,X,CC,  39.00,    476.7400,Watkins  ,Nannofossils                                 ,C              ,M                 ,                ,               ,                   ,                       ,                         ,                  ,                       ,                      ,                       ,                       ,                     ,                       ,                           ,                       ,+                       ,                     ,                     ,                     ,                       ,+                   ,                       ,+                       ,+                        ,                       ,                         ,                         ,               ,                    ,                      ,                   ,                       ,                    ,                     ,                 ,                       ,                   ,                     ,                     ,                      ,                    ,                      ,                   ,                     ,                   ,                       ,                   ,                             ,                         ,                          ,                                 ,                ,                             ,                      ,                          ,                         ,                ,                      ,                         ,                         ,                   ,                       ,                    ,                  ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Eocene     ,                  ,CP9a          ,171,1051,B, 55,X,CC,  52.00,    486.3600,Watkins  ,Nannofossils                                 ,C              ,P                 ,                ,               ,                   ,                       ,                         ,                  ,                       ,                      ,                       ,                       ,                     ,+                      ,                           ,                       ,+                       ,                     ,                     ,                     ,                       ,+                   ,                       ,                        ,                         ,                       ,                         ,                         ,               ,                    ,                      ,                   ,                       ,                    ,                     ,                 ,                       ,                   ,                     ,                     ,                      ,                    ,                      ,                   ,                     ,                   ,                       ,                   ,                             ,                         ,                          ,                                 ,                ,                             ,                      ,                          ,                         ,                ,                      ,                         ,                         ,                   ,                       ,                    ,                  ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Paleocene   ,                  ,CP8           ,171,1051,B, 56,X,CC,  31.00,    495.5900,Watkins  ,Nannofossils                                 ,C              ,M                 ,                ,               ,                   ,                       ,                         ,                  ,                       ,                      ,                       ,                       ,                     ,+                      ,                           ,                       ,+                       ,                     ,+                    ,                     ,                       ,                    ,+                      ,                        ,                         ,                       ,                         ,                         ,               ,                    ,                      ,                   ,                       ,                    ,                     ,                 ,                       ,                   ,                     ,                     ,                      ,                    ,                      ,                   ,                     ,                   ,                       ,                   ,                             ,                         ,                          ,                                 ,                ,                             ,                      ,                          ,                         ,                ,                      ,                         ,                         ,                   ,                       ,                    ,                  ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Eocene     ,                  ,CP8           ,171,1051,B, 58,X,CC,  36.00,    508.4400,Mita     ,Nannofossils                                 ,C              ,M                 ,                ,C              ,                   ,                       ,+                        ,                  ,                       ,                      ,+                      ,                       ,+                    ,+                      ,                           ,                       ,+                       ,+                    ,                     ,+                    ,+                      ,+                   ,                       ,                        ,                         ,                       ,                         ,                         ,               ,                    ,                      ,                   ,                       ,                    ,                     ,                 ,                       ,                   ,                     ,                     ,                      ,                    ,                      ,                   ,                     ,                   ,                       ,                   ,                             ,                         ,                          ,                                 ,                ,                             ,                      ,                          ,                         ,                ,                      ,                         ,                         ,                   ,                       ,                    ,                  ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Paleocene   ,Early Eocene     ,                  ,              ,171,1051,B, 59,X,CC,  47.00,    511.0400,Mita     ,Nannofossils                                 ,C              ,M                 ,C               ,C              ,+                  ,                       ,                         ,                  ,                       ,                      ,                       ,                       ,                     ,+                      ,                           ,                       ,C                       ,+                    ,+                    ,+                    ,                       ,                    ,                       ,                        ,                         ,                       ,                         ,                         ,               ,                    ,                      ,                   ,                       ,                    ,                     ,                 ,                       ,                   ,                     ,                     ,                      ,                    ,                      ,                   ,                     ,                   ,                       ,                   ,                             ,                         ,                          ,                                 ,                ,                             ,                      ,                          ,                         ,                ,                      ,                         ,                         ,                   ,                       ,                    ,                  ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
