Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Sample comment,Preservation,Group abundance,Florisphaera profunda,Emiliania huxleyi,Gephyrocapsa ericsonii,Gephyrocapsa oceanica,Gephyrocapsa caribbeanica,Pseudoemiliania lacunosa,Pseudoemiliania ovata,Reticulofenestra asanoi,Reticulofenestra pseudoumbilicus,Reticulofenestra minuta,Reticulofenestra haqii,Reticulofenestra rotaria,Dictyococcites antarcticus,Cyclicargolithus floridanus,Coccolithus pelagicus,Coccolithus miopelagicus,Calcidiscus leptoporus,Calcidiscus macintyrei,Umbilicosphaera sibogae,Umbilicosphaera jafari,Umbilicosphaera rotula,Oolithotus fragilis,Helicosphaera carteri,Helicosphaera wallichii,Helicosphaera pavimentum,Helicosphaera intermedia,Helicosphaera inversa,Helicosphaera sellii,Helicosphaera stalis,Helicosphaera walbersdorfensis,Pontosphaera multipora,Pontosphaera japonica,Pontosphaera discopora,Scyphosphaera apsteinii,Scyphosphaera pulcherrima,Scyphosphaera canescens,Scyphosphaera globulata,Rhabdosphaera clavigera,Discosphaera tubifera,Umbellosphaera irregularis,Umbellosphaera tenuis,Syracosphaera pulchra,Syracosphaera lamina,Calciosolenia murrayi,Ceratolithus cristatus,Ceratolithus acutus,Amaurolithus tricorniculatus,Amaurolithus delicatus,Amaurolithus primus,Amaurolithus amplificus,Sphenolithus abies,Sphenolithus moriformis,Sphenolithus heteromorphus,Sphenolithus belemnos,Discoaster brouweri,Discoaster triradiatus,Discoaster variabilis,Discoaster pentaradiatus,Discoaster surculus,Discoaster tamalis,Discoaster asymmetricus,Discoaster quinqueramus,Discoaster berggrenii,Discoaster bollii,Discoaster bellus,Discoaster loeblichii,Discoaster hamatus,Discoaster neohamatus,Discoaster deflandrei,Discoaster kugleri,Discoaster petaliformis,Discoaster signus,Discoaster druggii,Orthorhabdus rugosus,Calcidiscus premacintyrei,Catinaster calyculus,Catinaster coalitus,Ceratolithus larrymayeri,Gephyrocapsa omega,Coronocyclus nitescens,Helicosphaera ampliaperta,Helicosphaera euphratis,Minylitha convallis,Orthorhabdus serratus,Sphenolithus capricornutus,Sphenolithus disbelemnos,Triquetrorhabdulus carinatus,Algirosphaera robusta,Braarudosphaera bigelowii,Calcidiscus pacificanus,Calcidiscus pataecus,Calcidiscus quadriperforatus,Calcidiscus tropicus,Calciosolenia brasiliensis,Catinaster mexicanus,Cryptococcolithus mediaperforate,Dictyococcites bisectus,Discoaster altus,Discoaster bergenii,Discoaster braarudii,Discoaster calcaris,Discoaster challengeri,Discoaster exilis,Discoaster extensus,Discoaster musicus,Discoaster neorectus,Discoaster prepentaradiatus,Discoaster spp.,Gephyrocapsa lumina,Gephyrocapsa muellerae,Gladiolithus flabellatus,Hayaster perplexus,Hayella challengeri,Helicosphaera gertae,Helicosphaera granulata,Helicosphaera magnifica,Helicosphaera mediterranea,Helicosphaera obliqua,Helicosphaera orientalis,Helicosphaera perch-nielseniae,Helicosphaera recta,Helicosphaera scissura,Ceratolithus atlanticus,Helicosphaera truempyi,Helicosphaera vedderi,Helicosphaera waltrans,Holodiscolithus macroporus,Hughesius gizoensis,Hughesius tasmaniae,Ilselithina fusa,Orthorhabdus rioi,Orthorhabdus striatus,Pontosphaera spp.,Pontosphaera syracusana,Reticulofenestra daviesii,Reticulofenestra gelida,Reticulofenestra minutula,Rhabdosphaera poculii,Rhabdosphaera spp.,Scyphosphaera apsteinii forma dilatata,Scyphosphaera cylindrica,Scyphosphaera intermedia,Scyphosphaera lagena,Scyphosphaera tubifera,Scyphosphaera ventriosa,Solidopons petrae,Sphenolithus calyculus,Sphenolithus conicus,Sphenolithus dissimilis,Syracolithus schilleri,Tetralithoides quadrilaminata,Tetralithoides symeonidesii,Triquetrorhabdulus challengeri,Triquetrorhabdulus milowii,Umbilicosphaera hulburtiana,Reworked species,Diatoms,Radiolarian fragments,Datum type,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
363-U1482A-21H-CC-PAL-NANNO,0,5,193.35,193.4,NN11,LB Dquiqueramus,,,C,,,,,,,,A,,,,,,,,,,,,,,F,,,,,C,,,,,,,,,,,,,,,,,,,,P,,P,A,,,,,,F,C,R,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,21,H,CC,PAL,67c891df8cce5abaacda1f2c52b89c83
363-U1482A-22H-2-W 75/75-NANNO,0,0,195.16,195.16,,LB A.primus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,22,H,2,W,af6415df7d728dc7a2f30aa9eb379687
363-U1482A-22H-4-W 75/75-NANNO,0,0,198.19,198.19,,LB A. delicatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,22,H,4,W,388794eba2c1b6233972b089b2c51de6
363-U1482A-22H-6-W 75/75-NANNO,0,0,201.2,201.2,,LB A.tricor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,22,H,6,W,953b21d8b136b44f610552c1b5aa469b
363-U1482A-22H-CC-PAL-NANNO,0,5,202.91,202.96,NN11,TDJ - A. delicatus present,,,C,,,,,,,,A,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,P,,,A,,,,,,F,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,22,H,CC,PAL,1f96722fa9a4187e2a3e9e48746df49f
363-U1482A-23H-2-W 75/75-NANNO,0,0,204.65,204.65,,LB A.tric; C. armatus absent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,23,H,2,W,1217f872d5eec68434d5634c92a1512f
363-U1482A-23H-4-W 75/75-NANNO,0,0,207.66,207.66,,LB A.delicatus Cer. rug; TDJ - Cer. armatus present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,23,H,4,W,13dc836a65eff1536199d47d9f3f7ff3
363-U1482A-23H-6-W 75/75-NANNO,0,0,210.67,210.67,,LB A.delicatus A.tric.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,23,H,6,W,2a65b12df4a5ae4c1ec2c9a777cc1939
363-U1482A-23H-CC-PAL-NANNO,0,5,212.47,212.52,NN11,TDJ - A. delicatus present,,,C,,,,,,,,A,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,F,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,23,H,CC,PAL,9fd8739aea33362b7129bd51659b71b8
363-U1482A-24H-CC-PAL-NANNO,0,5,221.87,221.92,NN11,LB->5.94 =Aampl,,,C,,,,,,,,A,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,P,A,,,,,,F,C,C,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,24,H,CC,PAL,e75f4b81a49a46c1b9a39b5c054b2e49
363-U1482A-25H-CC-PAL-NANNO,0,5,231.48,231.53,NN11,LB A. delicatus,,,C,,,,,,,,A,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,F,C,C,,,X,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,25,H,CC,PAL,4805071d8644a39064e9adf63983510f
363-U1482A-26H-CC-PAL-NANNO,0,5,240.92,240.97,NN11,LB A. delicatus; TDJ - rare D. quinqueramus,,,C,,,,,,,,A,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,F,F,C,,,P,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,26,H,CC,PAL,d3cca40cd00b00bd99c49da46d31a387
363-U1482A-27H-CC-PAL-NANNO,0,5,250.4,250.45,NN11,LB - then TDJ - rare D. quinqueramus; Orthostylus rugosus; Amaurolithus delicatus present,,,C,,,,,,,,A,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,F,A,C,,,R,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,27,H,CC,PAL,9fddb2ab0359c013292fa067cfe34252
363-U1482A-28H-CC-PAL-NANNO,0,5,259.78,259.83,NN11,LB A. delicatus,,,C,,,,,,,,A,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,F,F,C,,,F,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,28,H,CC,PAL,88a0913200744225faaf5e0d330788f3
363-U1482A-29H-CC-PAL-NANNO,0,5,269.53,269.58,NN11,LB Amaurolithus; A. delicatus,,,C,,,,,,,,A,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,P,,A,,,,,,F,A,C,,,F,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,29,H,CC,PAL,025959872c9e63d1b7588b0c443c089f
363-U1482A-30H-4-W 75/75-NANNO,0,0,274.15,274.15,,TDJ - N. amplificus absent,VG [P33],D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,30,H,4,W,02766ea9b4b5116ddf1f0aa05f00b2ab
363-U1482A-30H-6-W 75/75-NANNO,0,0,277.22,277.22,,TDJ - N. amplificus present,VG [P33],D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,30,H,6,W,f07f700b7aaa81e09fb04d8765d5def2
363-U1482A-30H-CC-PAL-NANNO,0,6,278.63,278.69,NN11,NO Florisphaera; A delicatus,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,c,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,30,H,CC,PAL,e7e88cdd43b26eab7fe40b636e023304
363-U1482A-31H-CC-PAL-NANNO,0,5,288.61,288.66,NN11,LB Amaurolithus primus; A delicatus,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,x,C,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,31,H,CC,PAL,4385e899d9c7ac5c45fa5afa59d4ba65
363-U1482A-32H-CC-PAL-NANNO,0,5,297.72,297.77,NN11,TDJ - N. amplificus present; no common D. surculus (unlike 31H-CC); A. delicatus present,VG [P33],D,,,,,,,,,A,A,A,F,,,C,,R,,,C,C,,F,,,,,,,,,,R,R,,,,F,,,,F,,,,,,,P,R,A,,,,F,,,F,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,R,,,,,,,,,,,363,U1482,A,32,H,CC,PAL,09c8b47da0db2c6e0db9f50fe0d9439b
363-U1482A-33H-CC-PAL-NANNO,0,5,307.69,307.74,NN11,TDJ - D. quinqueramus; loosing middle sized retics? base NN11B? No Amaurolithus seen,VG [P33],D,,,,,,,,,F,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,A,,,,,,F,,R,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,33,H,CC,PAL,840ee10cd26241d60c22e1f5d832a766
363-U1482A-34H-CC-PAL-NANNO,0,5,317.07,317.12,NN11,TDJ - D. quinqueramus present; low discoaster abundance; dominated by small retics; 1? A. primus,VG [P33],D,,,,,,,,,F,A,F,R,,,C,,,,,,,,,,,,,,,,,,R,R,,,,,,,,F,,,,,,,P,,A,,,,,,,,,,,C,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,34,H,CC,PAL,b1e115d7f86c8a5930d774f3489537e4
363-U1482A-35H-CC-PAL-NANNO,0,5,326.52,326.57,NN11,TDJ - D. quinqueramus present; very rare Oligocene reworking. Discoaster increased in abundance relative to 34-CC.,VG [P33],D,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,P,,A,,,,,,,F,R,,,C,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,35,H,CC,PAL,da3d18a7bc3073f952d93ea43a0dcb27
363-U1482A-36H-CC-PAL-NANNO,0,5,335.02,335.07,NN11,TDJ - D. quinqueramus present,VG [P33],D,,,,,,,,,F,A,A,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,P,,A,,,,,,,,,,,C,F,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,36,H,CC,PAL,85dc02bb7b3c56e7609260bb0ff5e6fa
363-U1482A-37H-CC-PAL-NANNO,0,5,345.24,345.29,NN11,TDJ - D. quinqueramus present,VG [P33],D,,,,,,,,,F,A,A,,,,,,,,,,,,F,,,,,,,,,,,,,,,F,,,,,,,,,,,X,,C,,,,F,,R,,F,,,C,F,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,37,H,CC,PAL,7250008cf90a632666c29e7bfaa86dc6
363-U1482A-38F-4-W 86/86-NANNO,0,0,349.59,349.59,NN11,TDJ - D. quinqueramus definitely still present; lost D. berggrenii?; few >5um retics,VG [P33],D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,38,F,4,W,4c60b5b85706d1efaf8e7fb26374f95e
363-U1482A-39F-CC-PAL-NANNO,0,5,354.63,354.68,NN11,TDJ - D. quinqueramus present; no large retics,VG [P33],D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,39,F,CC,PAL,04cf36e81a9e83b99f859bb2cec27b07
363-U1482A-40F-CC-PAL-NANNO,0,5,359.18,359.23,NN11,TDJ - D. quinqueramus present,VG [P33],D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,40,F,CC,PAL,92c740cf468bb11778ce9d77ecc289dd
363-U1482A-41F-CC-PAL-NANNO,0,5,363.94,363.99,NN11,TDJ - D. quinqueramus present but less abundant; more of the D. berggrenii morphotype,VG [P33],D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,41,F,CC,PAL,339d616730979fbf006be0e338047633
363-U1482A-42F-CC-PAL-NANNO,0,5,368.75,368.8,NN11,TDJ - D. quinqueramus present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,42,F,CC,PAL,e3bb54f3aaa66fa7af89a1e887003e50
363-U1482A-43F-CC-PAL-NANNO,0,5,373.03,373.08,NN9,TDJ - D. hamatus present? LB D.surculus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,43,F,CC,PAL,84480b9708eb91a370caabf293115f56
363-U1482A-44F-CC-PAL-NANNO,0,5,377.81,377.86,NN11,LB-quinq&bergg,M [P33],D,A,,,,,,,,A,C,,,,,F,,F,F,,,,,F,,,,,,,,,,,,,,,F,,,,,,,,,,,,,A,C,,,V,,,,P,,,F,F,,,,,,,,,,,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,44,F,CC,PAL,19b027ecdb2bea03a488f9934a3588d1
363-U1482A-45F-CC-PAL-NANNO,0,0,380.16,380.16,NN11,LB-berggrenii,M [P33],D,F,,,,,,,,A,C,,,,,F,,R,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,,,,,,,x,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,45,F,CC,PAL,45eb2f7e051999503fef2fda57a8eb92
363-U1482A-46X-CC-PAL-NANNO,0,5,385.49,385.54,NN10,LB-no berggrenii,P [P33],D,F,,,,,,,,A,C,,,,,F,,R,F,,,,,C,,,,,,,,,,,,,,,F,,,,,,,,,,,,,C,C,,,P,,,P,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,46,X,CC,PAL,af5ab90f512b6a11cfb31b77641deeec
363-U1482A-47X-CC-PAL-NANNO,0,5,391.29,391.34,NN10,LB- upper NN10 D. Loeblichii- no berggrenii no quinquerqmus,P [P33],D,F,,,,,,,,A,C,,,,,F,,,F,,,,,F,,,,,,,,,,,,,,,P,,,,,,,,,,,,,C,C,,,,,P,P,,,,,?,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,47,X,CC,PAL,2bbfc4102bdea9ae4853647bfbe36f0c
363-U1482A-48X-CC-PAL-NANNO,0,5,401.1,401.15,NN10,LB no Fprofunda; 1 ? D.loeblichii,M [P33],D,X,,,,,,,,A,C,,,,,F,,,F,,,,,F,,,,,,,,,,,R,,,,,,,,,,,,,,,,,A,C,,,P,,P,,,,,,,,F,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,48,X,CC,PAL,03dd377f0172cdfa8ed4d6622bd6126f
363-U1482A-49X-CC-PAL-NANNO,0,5,410.84,410.89,NN10,"LB- (TDJ comment - marked drop in Discoaster abundance and preservation between cores 48X and 50X; this core 49X is transitional with some forms, but deteriorating preservation)",M [P33],D,,,,,,,,,A,C,,,,,F,,,C,,,,,F,,,,,,,,,,,,,,,P,,,,,,,,,,,,,A,C,,,R,,P,R,,,,,P,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,49,X,CC,PAL,23b754df404764ef32b8c4a8a9cc85a2
363-U1482A-50X-CC-PAL-NANNO,0,5,418.92,418.97,NN10,LB-Rare discoster - R.pseudo abundant,M [P33],D,X,,,,,,,,A,C,,,,,F,,,F,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,C,,,,,P,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,50,X,CC,PAL,845b57c7bae1014c117c3670bfbc8e6d
363-U1482A-51X-CC-PAL-NANNO,0,5,429.35,429.4,NN10,LB-Same as before,M [P33],D,,,,,,,,,A,C,,,,,F,,,F,,,,,C,,,,,,,,,,,,,,,C,,,,,,,,,,,,,A,C,,,,,P,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,363,U1482,A,51,X,CC,PAL,5bc180f64e401718f765f4c31c284b31
363-U1482A-52X-CC-PAL-NANNO,0,5,439.89,439.94,NN10,"TDJ - no R .pseudoumbilicus >5um; Sph. moriformis; preservation still very good in places - Orthozygus type holococcoliths preserved and Hughesius gizoensis, but discoasters rare and overgrown",G [P33],A,,,,,,,,,,C,C,,,,F,,R,,,C,F,,C,,,,,,,,,,R,,,,,,,,,R,,,,,,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,52,X,CC,PAL,81c8b236c9b6f4f4295cc8547f46f380
363-U1482A-53X-6-W 30/30-NANNO,0,0,447.53,447.53,,LB-no C.coalithus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,53,X,6,W,bee4d24e84a442620be91245bcdaedb5
363-U1482A-53X-CC-PAL-NANNO,0,5,448.38,448.43,NN10,TDJ - preservation is very good for the heterococcoliths; including Orthozygus type holococcoliths; but the discoasters are rare and overgrown; 5 and 6-rayed forms with simple ray tips.,G [P33],D,,,,,,,,,,A,C,,,,F,,,,,F,R,,F,,,,,,,,,,,,,,,C,,,,,,,,,,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,53,X,CC,PAL,b61566f34414affb54c11c0dd5527502
363-U1482A-54X-2-W 75/75-NANNO,0,0,448.81,448.81,,LB-C.coalitus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,54,X,2,W,e346597113d2a19e5ac6900579674a4f
