Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Globorotalia inflata,Globoconella cf. inflata,Neogloboquadrina pachyderma (sinistral),Neogloboquadrina pachyderma (dextral),Globorotalia scitula,Globigerina quinqueloba,Globigerina bulloides,Globigerina cf. bulloides,Globorotalia crassaformis,Globigerinita glutinata,Globorotalia crassula,Truncorotalia truncatulinoides,Orbulina universa,Neogloboquadrina dutertrei,Globigerina apertura,Globorotalia hexagonus,Globigerina aequilateralis,Comment
  SR,                 ,                 ,G. inflata        ,              ,141, 863,A, 29,X, 1,  53.00,    268.9300,Spiegler ,Planktonic Foraminifers                      ,               ,P                 ,                    ,                        ,R                                      ,                                     ,                    ,                       ,                     ,R                        ,                         ,                       ,                     ,                              ,                 ,                          ,                    ,                      ,                          ,from Leg 141 SR; Chapter 14; Table 10; p. 208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. inflata        ,              ,141, 863,A, 29,X,CC,  44.00,    270.3000,Spiegler ,Planktonic Foraminifers                      ,               ,M                 ,R                   ,R                       ,                                       ,                                     ,                    ,                       ,                     ,R                        ,                         ,                       ,                     ,                              ,                 ,                          ,                    ,                      ,                          ,from Leg 141 SR; Chapter 14; Table 10; p. 208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. inflata        ,              ,141, 863,A, 30,X, 1,  38.00,    278.4800,Spiegler ,Planktonic Foraminifers                      ,               ,M                 ,R                   ,R                       ,F                                      ,                                     ,                    ,                       ,                     ,R                        ,                         ,                       ,                     ,                              ,                 ,                          ,                    ,                      ,                          ,from Leg 141 SR; Chapter 14; Table 10; p. 208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. inflata        ,              ,141, 863,A, 30,X, 2,  39.00,    279.9900,Spiegler ,Planktonic Foraminifers                      ,               ,M                 ,                    ,                        ,                                       ,                                     ,                    ,R                      ,R                    ,                         ,                         ,                       ,                     ,                              ,                 ,                          ,                    ,                      ,                          ,from Leg 141 SR; Chapter 14; Table 10; p. 208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. inflata        ,              ,141, 863,A, 30,X,CC,  51.00,    281.0000,Spiegler ,Planktonic Foraminifers                      ,               ,P                 ,R                   ,F                       ,R                                      ,R                                    ,R                   ,                       ,                     ,                         ,                         ,                       ,                     ,                              ,                 ,                          ,                    ,                      ,                          ,different colors; from Leg 141 SR; Chapter 14; Table 10; p. 208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. inflata        ,              ,141, 863,A, 31,X, 1,  22.00,    287.8200,Spiegler ,Planktonic Foraminifers                      ,               ,P                 ,                    ,                        ,R                                      ,                                     ,                    ,                       ,                     ,                         ,                         ,                       ,                     ,                              ,                 ,                          ,                    ,                      ,                          ,different colors; from Leg 141 SR; Chapter 14; Table 10; p. 208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. inflata        ,              ,141, 863,A, 31,X,CC,  52.00,    288.7500,Spiegler ,Planktonic Foraminifers                      ,               ,P                 ,R                   ,R                       ,                                       ,                                     ,                    ,                       ,                     ,                         ,                         ,                       ,                     ,                              ,                 ,                          ,                    ,                      ,                          ,different colors; from Leg 141 SR; Chapter 14; Table 10; p. 208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
