Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Thalassiothrix longissima	Thalassiosira yabei	Thalassionema nitzschioides	Synedra jouseana	Stephanopyxis turris	Rouxia californica	Rhizosolenia barboi	Paralia sulcata	Grammatophora spp.	Denticulopsis hustedtii	Coscinodiscus marginatus	Chaetoceros spp.	Aulacoseira granulata	Actinoptychus senarius	Thalassionema schraderi	Thalassionema hirosakiensis	Rhizosolenia styliformis	Rhizosolenia hebetata	Opephora martyi	Denticulopsis dimorpha	Coscinodiscus elegans	Azpeitia endoi	Thalassiosira manifesta	Denticulopsis katayamae	Cocconeis scutellum	Cocconeis costata	Actinocyclus ingens	Goniothecium tenue	Coscinodiscus symbolophorus	Coscinodiscus obscurus	Odontella aurita	Nitzschia rolandii	Nitzschia pliocena	Thalassiosira marujamica	Nitzschia spp.	Hemiaulus polymorphus	Asteromphalus robustus	Asterolampra marylandica	Rhizosolenia miocenica	Neodenticula kamtschatica	Diploneis interrupta	Thalassiosira temperei	Pseudopodosira elegans	Nitzschia reinholdii	Denticulopsis praedimorpha	Thalassiosira antiqua	Stephanopyxis spp.	Coscinodiscus stellaris	Coscinodiscus oculus-iridis	Thalassiosira nidulus	Cocconeis californica	Cosmiodiscus insignis	Actinocyclus octonarius	Thalassiosira jacksonii	Thalassiosira zabellinae	Actinocyclus curvatulus	Diploneis smithii	Thalassiosira oestrupii	Thalassiosira sp. 1	Navicula lyra	Denticulopsis hyalina	Delphineis surirella	Cymatosira debyi	Rhizosolenia alata	Cocconeis disculus	Thalassiosira trifulta	Thalassiosira lineata	Thalassiosira eccentrica	Thalassionema bacillaris	Nitzschia sicula	Navicula spp.	Diploneis coffeiformis	Achnanthes lanceolata	Thalassiothrix frauenfeldii	Thalassiosira plicata	Thalassiosira gravida	Eunotia spp.	Thalassiosira pacifica	Rossiella tatsunokuchiensis	Trachyneis aspera	Thalassiosira leptopus	Thalassiosira hyalina	Thalassiosira convexa	Rhopalodia gibberula	Rhaphoneis amphiceros	Navicula mutica	Mastogloia capitata	Gomphonema abbreviatum	Fragilaria construens	Epithemia turgida	Diploneis oculata	Cymbella sinensis	Cyclotella striata	Cocconeis placentula var. euglypta	Actinocyclus ochotensis	Achnanthes brevipes	Lithodesmium undulatum	Hemidiscus cuneiformis	Rhizosolenia setigera	Melosira albicans	Coscinodiscus marginatus (girdles)	Chaetoceros spores	Thalassiosira nordenskioeldii	Neodenticula koizumii	Diploneis bombus	Cymatotheca weissflogii	Nitzschia granulata	Rouxia sp.	Actinocyclus sp.	Coscinodiscus radiatus	Thalassiosira lacustris	Cocconeis pseudomarginatus	Bacterosira fragilis	Neodenticula seminae	Plagiogramma staurophorum	Navicula pygmaea	Cyclotella kutzingiana	Cyclotella antiqua	Porosira glacialis	Diploneis elliptica	Cocconeis fluminensis	Azpeitia nodulifer	Actinocyclus oculatus	Achnanthes diapar	Thalassiosira decipiens	Cyclotella styroleum	Rhizosolenia curvirostris	Gomphonema olivacium	Synedra ulna	Cyclotella chaetoceras	Roperia tesselata	Rhizosolenia bergonii	Gomphonema longiceps	Fragilaria leptostauron	Calloneis bacillum	Cymbella tumida	Pseudoeunotia doliolus	Pinnularia appendiculata	Gomphonema tergrstinum	Nitzschia fossilis	Nitzschia braarudii	Diploneis weissflogi	Biddulphia sinensis	Bacillaria paradoxa	Azpeitia tabularis	Comment

  SR	                 	                 	N. koizumii       	              	127	 794	A	  8	H	 4	 124.00	     69.5400	White    	Diatoms                                      	F              	M                 	R                        	                   	R                          	                	                    	                  	                   	               	                  	                       	F                       	                	                     	R                     	                       	                           	                        	                     	               	                      	                     	              	                       	                       	                   	                 	                   	                  	                           	                      	                	                  	                  	                        	              	                     	                      	                        	                      	                         	                    	                      	                      	                    	                          	                     	                  	                       	                           	                     	                     	                     	                       	                       	                        	                       	R                	                       	                   	             	                     	                    	                	                  	                  	                      	                     	                        	                        	                	             	                      	                     	                           	                     	                     	            	                      	                           	                 	                      	                     	                     	                    	                     	               	                   	                      	                     	                 	                 	                 	                  	                                  	                       	                   	                      	                      	                     	                 	R                                 	R                 	                             	R                    	R               	                       	                   	          	                	                      	                       	                          	                    	                    	                         	                	                      	                  	                  	                   	                     	                  	                     	                 	                       	                    	                         	                    	            	                      	                 	                     	                    	                       	                  	               	                      	                        	                      	                  	                   	                    	                   	                   	                  	from ODP Legs 127&128 SR Chapter 20 Table 1 p 344-345

  SR	Late Pliocene    	                 	N. koizumii       	              	127	 794	A	  8	H	 5	  44.00	     70.2400	Koizumi  	Diatoms                                      	               	                  	2                        	                   	63                         	                	34                  	                  	11                 	16             	1                 	                       	7                       	197             	2                    	                      	                       	                           	                        	                     	               	                      	                     	              	                       	                       	                   	                 	                   	                  	                           	                      	                	                  	                  	                        	              	                     	                      	                        	                      	r2                       	                    	                      	                      	                    	                          	1                    	r6                	1                      	                           	1                    	                     	                     	                       	                       	                        	4                      	                 	5                      	                   	             	                     	1                   	                	                  	                  	                      	                     	                        	                        	                	             	                      	                     	2                          	                     	1                    	            	                      	                           	                 	                      	2                    	3                    	                    	                     	               	                   	                      	                     	                 	1                	                 	                  	                                  	                       	                   	                      	                      	                     	2                	                                  	                  	3                            	10                   	1               	                       	                   	          	                	                      	                       	                          	                    	14                  	1                        	1               	1                     	1                 	                  	                   	                     	                  	                     	                 	                       	                    	                         	                    	            	                      	                 	                     	                    	                       	                  	               	                      	                        	                      	                  	                   	                    	                   	                   	                  	from ODP Legs 127&128 SR Chapter 15 Table 2 p 264-269

  SR	                 	                 	N. koizumii       	              	127	 794	A	  8	H	 6	 124.00	     72.5400	White    	Diatoms                                      	C              	M                 	R                        	                   	F                          	                	                    	                  	                   	               	                  	                       	F                       	                	                     	R                     	                       	                           	                        	                     	               	                      	                     	              	                       	                       	                   	                 	                   	                  	                           	                      	                	                  	                  	                        	              	                     	                      	                        	                      	                         	                    	                      	                      	                    	                          	                     	                  	                       	                           	                     	                     	                     	                       	                       	                        	                       	R                	R                      	                   	             	                     	                    	                	                  	                  	                      	                     	                        	                        	                	             	                      	                     	                           	                     	                     	            	                      	                           	                 	F                     	                     	                     	                    	                     	               	                   	                      	                     	                 	                 	                 	                  	                                  	                       	                   	                      	                      	                     	                 	R                                 	R                 	                             	F                    	                	                       	                   	          	                	R                     	                       	                          	                    	                    	                         	                	                      	                  	                  	                   	                     	                  	                     	                 	                       	                    	                         	                    	            	                      	                 	                     	                    	                       	                  	               	                      	                        	                      	                  	                   	                    	                   	                   	                  	from ODP Legs 127&128 SR Chapter 20 Table 1 p 344-345

  SR	Late Pliocene    	                 	N. koizumii       	              	127	 794	A	  9	H	 1	  43.00	     73.7300	Koizumi  	Diatoms                                      	               	                  	4                        	                   	23                         	                	79                  	                  	9                  	6              	                  	                       	17                      	144             	                     	2                     	                       	                           	1                       	                     	               	                      	                     	              	                       	                       	                   	1                	                   	r1                	                           	                      	                	                  	                  	                        	              	                     	                      	                        	                      	                         	                    	                      	                      	                    	                          	1                    	                  	                       	                           	                     	                     	                     	2                      	                       	                        	3                      	                 	2                      	                   	             	                     	                    	                	                  	                  	2                     	                     	                        	                        	                	             	1                     	                     	                           	                     	4                    	            	1                     	                           	                 	                      	                     	3                    	                    	                     	               	                   	                      	                     	                 	                 	                 	1                 	                                  	1                      	                   	                      	                      	                     	                 	                                  	                  	                             	32                   	2               	                       	                   	          	                	                      	                       	                          	                    	2                   	                         	                	                      	                  	                  	                   	                     	                  	                     	                 	                       	                    	                         	                    	            	                      	                 	                     	                    	                       	                  	               	                      	                        	                      	                  	                   	                    	                   	                   	                  	from ODP Legs 127&128 SR Chapter 15 Table 2 p 264-269

  SR	                 	                 	N. koiz./N. kamtsch.	              	127	 794	A	  9	H	 1	 124.00	     74.5400	White    	Diatoms                                      	A              	M                 	F                        	                   	F                          	                	                    	                  	F                  	               	                  	                       	F                       	                	                     	                      	                       	                           	                        	                     	               	                      	                     	              	                       	                       	                   	                 	                   	                  	                           	                      	                	                  	                  	                        	              	                     	                      	                        	                      	                         	                    	                      	                      	                    	                          	                     	                  	                       	                           	                     	                     	                     	                       	                       	R                       	                       	                 	R                      	                   	             	                     	                    	                	                  	                  	                      	                     	                        	                        	                	             	                      	                     	                           	                     	F                    	            	                      	                           	                 	                      	                     	                     	                    	                     	               	                   	                      	                     	                 	                 	                 	                  	                                  	                       	                   	                      	                      	                     	                 	R                                 	                  	                             	F                    	R               	                       	                   	          	                	F                     	                       	                          	                    	                    	                         	                	                      	                  	                  	                   	                     	                  	                     	                 	                       	                    	                         	                    	            	                      	                 	                     	                    	                       	                  	               	                      	                        	                      	                  	                   	                    	                   	                   	                  	from ODP Legs 127&128 SR Chapter 20 Table 1 p 344-345

  SR	Late Pliocene    	                 	N. koiz./N. kamtsch.	              	127	 794	A	  9	H	 3	  43.00	     76.7300	Koizumi  	Diatoms                                      	               	                  	1                        	                   	44                         	                	24                  	                  	8                  	12             	1                 	r1                     	11                      	219             	                     	                      	                       	                           	2                       	                     	               	                      	                     	              	                       	                       	                   	1                	                   	                  	                           	                      	1               	                  	                  	                        	              	                     	                      	                        	                      	3                        	                    	                      	5                     	                    	                          	1                    	1                 	                       	                           	1                    	                     	                     	                       	                       	r1                      	4                      	1                	2                      	                   	             	                     	1                   	                	                  	                  	3                     	1                    	                        	                        	                	             	                      	                     	2                          	                     	3                    	            	                      	                           	                 	                      	                     	                     	                    	1                    	1              	                   	                      	                     	                 	                 	                 	                  	                                  	1                      	                   	                      	                      	                     	11               	                                  	                  	                             	50                   	                	                       	                   	          	                	                      	                       	                          	1                   	                    	                         	                	                      	                  	                  	                   	                     	                  	                     	                 	                       	                    	                         	                    	            	                      	                 	                     	                    	                       	                  	               	                      	                        	                      	                  	                   	                    	                   	                   	                  	from ODP Legs 127&128 SR Chapter 15 Table 2 p 264-269

  SR	                 	                 	N. koiz./N. kamtsch.	              	127	 794	A	  9	H	 3	 124.00	     77.5400	White    	Diatoms                                      	C              	M                 	F                        	                   	C                          	                	                    	                  	                   	               	                  	                       	C                       	                	                     	                      	                       	                           	                        	                     	               	                      	                     	              	                       	                       	                   	                 	                   	                  	                           	                      	                	                  	                  	                        	              	                     	                      	                        	                      	                         	                    	                      	                      	                    	                          	                     	                  	                       	                           	                     	                     	                     	                       	                       	R                       	                       	                 	R                      	                   	             	                     	                    	                	                  	                  	                      	                     	                        	                        	                	             	                      	                     	                           	                     	R                    	            	                      	                           	                 	R                     	                     	                     	                    	                     	               	                   	                      	                     	                 	                 	                 	                  	                                  	                       	                   	                      	                      	                     	                 	F                                 	                  	                             	F                    	R               	                       	                   	          	                	F                     	                       	                          	                    	                    	                         	                	                      	                  	                  	                   	                     	                  	                     	                 	                       	                    	                         	                    	            	                      	                 	                     	                    	                       	                  	               	                      	                        	                      	                  	                   	                    	                   	                   	                  	from ODP Legs 127&128 SR Chapter 20 Table 1 p 344-345

  SR	                 	                 	N. koiz./N. kamtsch.	              	127	 794	A	  9	H	 4	 104.00	     78.8400	White    	Diatoms                                      	C              	M                 	F                        	                   	F                          	                	                    	                  	                   	               	                  	                       	C                       	                	                     	                      	                       	                           	                        	                     	               	                      	                     	              	                       	                       	                   	                 	                   	                  	                           	                      	                	                  	                  	                        	              	                     	                      	                        	                      	                         	                    	                      	                      	                    	                          	                     	                  	                       	                           	                     	                     	                     	                       	                       	R                       	                       	R                	                       	                   	             	                     	                    	                	                  	                  	                      	                     	                        	                        	                	             	                      	                     	                           	                     	                     	            	                      	                           	                 	R                     	                     	                     	                    	                     	               	                   	                      	                     	                 	                 	                 	                  	                                  	                       	                   	                      	                      	                     	                 	R                                 	                  	                             	F                    	R               	                       	                   	          	R               	F                     	                       	                          	                    	                    	                         	                	                      	                  	                  	                   	                     	                  	                     	                 	                       	                    	                         	                    	            	                      	                 	                     	                    	                       	                  	               	                      	                        	                      	                  	                   	                    	                   	                   	                  	from ODP Legs 127&128 SR Chapter 20 Table 1 p 344-345

  SR	Late Pliocene    	                 	N. koiz./N. kamtsch.	              	127	 794	A	  9	H	 5	  43.00	     79.7300	Koizumi  	Diatoms                                      	               	                  	2                        	                   	25                         	                	26                  	                  	7                  	7              	                  	                       	66                      	89              	2                    	1                     	                       	                           	3                       	                     	               	                      	                     	              	                       	                       	1                  	                 	                   	                  	                           	                      	1               	                  	                  	                        	              	                     	                      	                        	                      	3                        	                    	                      	                      	                    	                          	1                    	                  	                       	                           	                     	                     	                     	                       	                       	                        	3                      	                 	2                      	                   	             	                     	1                   	                	1                 	1                 	1                     	1                    	                        	                        	                	             	1                     	                     	1                          	                     	                     	            	                      	                           	                 	                      	                     	                     	                    	                     	               	                   	                      	                     	                 	                 	                 	                  	1                                 	                       	                   	                      	                      	                     	2                	                                  	                  	                             	39                   	                	                       	                   	          	                	                      	1                      	1                         	                    	                    	                         	                	                      	                  	                  	                   	                     	                  	                     	                 	                       	                    	                         	                    	            	                      	                 	                     	                    	                       	                  	               	                      	                        	                      	                  	                   	                    	                   	                   	                  	from ODP Legs 127&128 SR Chapter 15 Table 2 p 264-269

  SR	                 	                 	N. koiz./N. kamtsch.	              	127	 794	A	  9	H	 5	 124.00	     80.5400	White    	Diatoms                                      	C              	M                 	R                        	                   	R                          	                	                    	                  	R                  	               	                  	                       	C                       	                	                     	R                     	                       	                           	                        	                     	               	                      	                     	              	                       	                       	                   	                 	                   	                  	                           	                      	                	                  	                  	                        	              	                     	                      	                        	                      	                         	                    	                      	                      	                    	                          	                     	                  	                       	                           	                     	                     	                     	                       	                       	R                       	                       	                 	F                      	                   	             	                     	                    	                	                  	                  	                      	                     	                        	                        	                	             	                      	                     	                           	                     	R                    	            	                      	                           	                 	                      	                     	                     	                    	                     	               	                   	                      	                     	                 	                 	                 	                  	                                  	                       	                   	                      	                      	                     	                 	C                                 	F                 	                             	R                    	                	                       	                   	          	                	                      	                       	                          	                    	                    	                         	                	                      	                  	                  	                   	                     	                  	                     	                 	                       	                    	                         	                    	            	                      	                 	                     	                    	                       	                  	               	                      	                        	                      	                  	                   	                    	                   	                   	                  	from ODP Legs 127&128 SR Chapter 20 Table 1 p 344-345

  SR	                 	                 	N. koiz./N. kamtsch.	              	127	 794	A	  9	H	 6	 124.00	     82.0400	White    	Diatoms                                      	A              	M                 	F                        	                   	C                          	                	                    	                  	F                  	               	                  	                       	C                       	                	                     	                      	                       	                           	                        	                     	               	                      	                     	              	                       	                       	                   	                 	                   	                  	                           	                      	                	                  	                  	                        	              	                     	                      	                        	                      	                         	                    	                      	                      	                    	                          	                     	                  	                       	                           	R                    	                     	                     	                       	                       	                        	                       	                 	R                      	                   	             	                     	                    	                	                  	                  	                      	                     	                        	                        	                	             	                      	                     	                           	                     	                     	            	                      	                           	                 	R                     	                     	                     	                    	                     	               	                   	                      	                     	                 	                 	                 	                  	                                  	                       	                   	                      	                      	                     	                 	C                                 	F                 	                             	C                    	                	                       	                   	          	                	R                     	                       	                          	                    	                    	                         	                	                      	                  	                  	                   	                     	                  	                     	                 	                       	                    	                         	                    	            	                      	                 	                     	                    	                       	                  	               	                      	                        	                      	                  	                   	                    	                   	                   	                  	from ODP Legs 127&128 SR Chapter 20 Table 1 p 344-345

  SR	Late Pliocene    	                 	N. koiz./N. kamtsch.	              	127	 794	A	  9	H	 7	  43.00	     82.7300	Koizumi  	Diatoms                                      	               	                  	                         	                   	15                         	                	6                   	                  	6                  	5              	                  	                       	24                      	46              	                     	                      	                       	                           	2                       	                     	               	                      	                     	              	                       	                       	                   	                 	                   	                  	                           	                      	                	                  	                  	                        	              	                     	2                     	                        	                      	60                       	                    	                      	2                     	                    	                          	1                    	                  	                       	                           	1                    	                     	                     	                       	                       	                        	1                      	                 	8                      	                   	             	                     	                    	                	                  	                  	1                     	                     	1                       	                        	                	             	                      	                     	                           	                     	1                    	            	                      	                           	                 	1                     	                     	                     	                    	                     	               	                   	                      	                     	                 	                 	                 	1                 	                                  	                       	                   	                      	                      	                     	3                	                                  	                  	                             	58                   	1               	                       	                   	          	                	                      	                       	                          	                    	                    	                         	                	                      	                  	                  	                   	                     	                  	                     	                 	                       	                    	                         	                    	            	                      	                 	                     	                    	                       	                  	               	                      	                        	                      	                  	                   	                    	                   	                   	                  	from ODP Legs 127&128 SR Chapter 15 Table 2 p 264-269

  SR	                 	                 	N. koiz./N. kamtsch.	              	127	 794	A	 10	H	 1	 124.00	     84.0400	White    	Diatoms                                      	A              	M                 	F                        	                   	C                          	                	R                   	                  	R                  	               	                  	                       	C                       	                	                     	                      	                       	                           	                        	                     	               	                      	                     	              	                       	                       	                   	                 	                   	                  	                           	                      	                	                  	                  	                        	R             	                     	                      	                        	                      	R                        	                    	                      	                      	                    	                          	                     	                  	                       	                           	R                    	                     	                     	                       	                       	R                       	                       	                 	                       	                   	             	                     	                    	                	                  	                  	                      	                     	                        	                        	                	             	                      	                     	                           	                     	R                    	            	                      	                           	                 	                      	                     	                     	                    	                     	               	                   	                      	                     	                 	                 	                 	                  	                                  	                       	                   	                      	                      	                     	                 	C                                 	R                 	                             	R                    	                	                       	                   	          	                	F                     	                       	                          	                    	                    	                         	                	                      	                  	                  	                   	                     	                  	                     	                 	                       	                    	                         	                    	            	                      	                 	                     	                    	                       	                  	               	                      	                        	                      	                  	                   	                    	                   	                   	                  	from ODP Legs 127&128 SR Chapter 20 Table 1 p 344-345

  SR	                 	                 	T. oestrupii      	              	127	 794	A	 10	H	 2	 124.00	     85.5400	White    	Diatoms                                      	F              	M                 	R                        	                   	R                          	                	                    	                  	F                  	               	                  	                       	F                       	                	                     	                      	                       	                           	                        	                     	               	                      	                     	              	                       	                       	                   	                 	                   	                  	                           	                      	                	                  	                  	                        	              	                     	                      	                        	                      	F                        	                    	                      	                      	                    	                          	                     	                  	                       	                           	                     	                     	                     	                       	                       	                        	                       	                 	                       	                   	             	                     	                    	                	                  	                  	                      	                     	                        	                        	                	             	                      	                     	                           	                     	                     	            	                      	                           	                 	R                     	                     	                     	                    	                     	               	                   	                      	                     	                 	                 	                 	                  	                                  	                       	                   	                      	                      	                     	                 	F                                 	                  	                             	                     	                	                       	                   	          	                	                      	                       	                          	                    	                    	                         	                	                      	                  	                  	                   	                     	                  	                     	                 	                       	                    	                         	                    	            	                      	                 	                     	                    	                       	                  	               	                      	                        	                      	                  	                   	                    	                   	                   	                  	from ODP Legs 127&128 SR Chapter 20 Table 1 p 344-345
