verbatim_name,name,"name to use (if different from ""name"")",name comment field,taxon_group,Comment,Unnamed: 6,normalized_name
Discoaster sanmiguelensis,Discoaster sanmiguelensis,,,nannofossils,,,Discoaster sanmiguelensis
Discoaster septemradiatus,Discoaster septemradiatus,,,nannofossils,,,Discoaster septemradiatus
Discoaster signus,Discoaster signus,,,nannofossils,,,Discoaster signus
Discoaster sp.,Discoaster sp.,,,nannofossils,,,Discoaster sp.
Discoaster sp. cf. D. brouweri,Discoaster sp. cf. D. brouweri,Discoaster cf. brouweri,,nannofossils,,,Discoaster cf. brouweri
Discoaster sp. cf. D. variabilis,Discoaster sp. cf. D. variabilis,Discoaster cf. variabilis,,nannofossils,,,Discoaster cf. variabilis
Discoaster spp.,Discoaster spp.,,,nannofossils,,,Discoaster spp.
Discoaster spp. (Neogene),Discoaster spp. (Neogene),Discoaster <spp. (Neogene)>,,nannofossils,,,Discoaster <spp. (Neogene)>
Discoaster spp. (Paleogene),Discoaster spp. (Paleogene),Discoaster <spp. (Paleogene)>,,nannofossils,,,Discoaster <spp. (Paleogene)>
Discoaster spp. (five-rayed),Discoaster spp. (five-rayed),Discoaster <spp. (five-rayed)>,,nannofossils,,,Discoaster <spp. (five-rayed)>
Discoaster stellulus,Discoaster stellulus,,,nannofossils,,,Discoaster stellulus
Discoaster sublodoensis,Discoaster sublodoensis,,,nannofossils,,,Discoaster sublodoensis
Discoaster subsurculus,Discoaster subsurculus,,,nannofossils,,,Discoaster subsurculus
Discoaster surculus,Discoaster surculus,,,nannofossils,,,Discoaster surculus
Discoaster tamalis,Discoaster tamalis,,,nannofossils,,,Discoaster tamalis
Discoaster tanii,Discoaster tanii,,,nannofossils,,,Discoaster tanii
Discoaster triradiatus,Discoaster triradiatus,,,nannofossils,,,Discoaster triradiatus
Discoaster tristellifer,Discoaster tristellifer,,,nannofossils,,,Discoaster tristellifer
Discoaster variabilis,Discoaster variabilis,,,nannofossils,,,Discoaster variabilis
Discoaster variabilis group,Discoaster variabilis group,,,nannofossils,,,Discoaster variabilis group
Discoaster wemmelensis,Discoaster wemmelensis,,,nannofossils,,,Discoaster wemmelensis
Discoaster williamsii,Discoaster williamsii,,,nannofossils,,,Discoaster williamsii
Discolithina japonica,Discolithina japonica,,,nannofossils,,,Discolithina japonica
Discorhabdus watkinsii,Discorhabdus watkinsii,,,nannofossils,,,Discorhabdus watkinsii
Discosphaera tubifera,Discosphaera tubifera,,,nannofossils,,,Discosphaera tubifera
Eifellithus,Eifellithus,Eifellithus sp.,,nannofossils,,,Eifellithus sp.
Eiffellithus angustus,Eiffellithus angustus,,,nannofossils,,,Eiffellithus angustus
Eiffellithus casulus,Eiffellithus casulus,,,nannofossils,,,Eiffellithus casulus
Eiffellithus equibiramus,Eiffellithus equibiramus,,,nannofossils,,,Eiffellithus equibiramus
Eiffellithus eximius,Eiffellithus eximius,,,nannofossils,,,Eiffellithus eximius
Eiffellithus eximius (sensu Verbeek),Eiffellithus eximius (sensu Verbeek),Eiffellithus eximius,Eiffellithus eximius (sensu Verbeek),nannofossils,,,Eiffellithus eximius
Eiffellithus gorkae,Eiffellithus gorkae,,,nannofossils,,,Eiffellithus gorkae
Eiffellithus monechiae,Eiffellithus monechiae,,,nannofossils,,,Eiffellithus monechiae
Eiffellithus parallelus,Eiffellithus parallelus,,,nannofossils,,,Eiffellithus parallelus
Eiffellithus perchnielseniae,Eiffellithus perchnielseniae,,,nannofossils,,,Eiffellithus perchnielseniae
Eiffellithus praestigium,Eiffellithus praestigium,,,nannofossils,,,Eiffellithus praestigium
Eiffellithus sp.,Eiffellithus sp.,,,nannofossils,,,Eiffellithus sp.
Eiffellithus turriseiffelii,Eiffellithus turriseiffelii,,,nannofossils,,,Eiffellithus turriseiffelii
Eiffellithus vonsalisiae,Eiffellithus vonsalisiae,,,nannofossils,,,Eiffellithus vonsalisiae
Ellipsolithus bollii,Ellipsolithus bollii,,,nannofossils,,,Ellipsolithus bollii
Ellipsolithus distichus,Ellipsolithus distichus,,,nannofossils,,,Ellipsolithus distichus
Ellipsolithus macellus,Ellipsolithus macellus,,,nannofossils,,,Ellipsolithus macellus
Ellipsolithus subdistichus,Ellipsolithus subdistichus,,,nannofossils,,,Ellipsolithus subdistichus
Emiliania huxleyi,Emiliania huxleyi,,,nannofossils,,,Emiliania huxleyi
Emiliania huxleyi (<5 microns),Emiliania huxleyi (<5 microns),,,nannofossils,,,Emiliania huxleyi (<5 microns)
Emiliania huxleyi (>5 microns),Emiliania huxleyi (>5 microns),,,nannofossils,,,Emiliania huxleyi (>5 microns)
Eprolithus eptapetalus,Eprolithus eptapetalus,,,nannofossils,,,Eprolithus eptapetalus
Eprolithus floralis,Eprolithus floralis,,,nannofossils,,,Eprolithus floralis
Eprolithus moratus,Eprolithus moratus,,,nannofossils,,,Eprolithus moratus
Eprolithus octopetalus,Eprolithus octopetalus,,,nannofossils,,,Eprolithus octopetalus
Ericsonia robusta,Ericsonia robusta,,,nannofossils,,,Ericsonia robusta
Ericsonia robusta (small),Ericsonia robusta (small),Ericsonia robusta,Ericsonia robusta (small),nannofossils,,,Ericsonia robusta
Ericsonia subpertusa,Ericsonia subpertusa,,,nannofossils,,,Ericsonia subpertusa
Fasciculithus alanii,Fasciculithus alanii,,,nannofossils,,,Fasciculithus alanii
Fasciculithus clinatus,Fasciculithus clinatus,,,nannofossils,,,Fasciculithus clinatus
Fasciculithus involutus,Fasciculithus involutus,,,nannofossils,,,Fasciculithus involutus
Fasciculithus lilianae,Fasciculithus lilianae,,,nannofossils,,,Fasciculithus lilianae
Fasciculithus magnus,Fasciculithus magnus,,,nannofossils,,,Fasciculithus magnus
Fasciculithus pileatus,Fasciculithus pileatus,,,nannofossils,,,Fasciculithus pileatus
Fasciculithus richardii,Fasciculithus richardii,,,nannofossils,,,Fasciculithus richardii
Fasciculithus shaubii,Fasciculithus shaubii,,,nannofossils,,,Fasciculithus shaubii
Fasciculithus spp.,Fasciculithus spp.,,,nannofossils,,,Fasciculithus spp.
Fasciculithus thomasii,Fasciculithus thomasii,,,nannofossils,,,Fasciculithus thomasii
Fasciculithus tympaniformis,Fasciculithus tympaniformis,,,nannofossils,,,Fasciculithus tympaniformis
Fasciculithus ulii,Fasciculithus ulii,,,nannofossils,,,Fasciculithus ulii
Fasciculithus ullii,Fasciculithus ullii,Fasciculithus ulii,,nannofossils,,,Fasciculithus ulii
Florisphaera profunda,Florisphaera profunda,,,nannofossils,,,Florisphaera profunda
Florisphaera profunda var. elongata,Florisphaera profunda var. elongata,,,nannofossils,,,Florisphaera profunda var. elongata
Gartnerago chiasta,Gartnerago chiasta,,,nannofossils,,,Gartnerago chiasta
Gartnerago nanum,Gartnerago nanum,,,nannofossils,,,Gartnerago nanum
Gartnerago obliquum,Gartnerago obliquum,,,nannofossils,,,Gartnerago obliquum
Gartnerago segmentatum,Gartnerago segmentatum,,,nannofossils,,,Gartnerago segmentatum
Gartnerago theta,Gartnerago theta,,,nannofossils,,,Gartnerago theta
Gephyrocapsa (<4 microns),Gephyrocapsa (<4 microns),Gephyrocapsa spp. (<4 microns),,nannofossils,,,Gephyrocapsa spp. (<4 microns)
Gephyrocapsa (<4 µm),Gephyrocapsa (<4 µm),Gephyrocapsa spp. (<4 microns),,nannofossils,,,Gephyrocapsa spp. (<4 microns)
Gephyrocapsa (>4 µm),Gephyrocapsa (>4 µm),Gephyrocapsa spp. (>4 microns),,nannofossils,,,Gephyrocapsa spp. (>4 microns)
Gephyrocapsa (>5.5 microns),Gephyrocapsa (>5.5 microns),Gephyrocapsa spp. (>5.5 microns),,nannofossils,,,Gephyrocapsa spp. (>5.5 microns)
Gephyrocapsa (>5.5 µm),Gephyrocapsa (>5.5 µm),Gephyrocapsa spp. (>5.5 microns),,nannofossils,,,Gephyrocapsa spp. (>5.5 microns)
Gephyrocapsa (small <4 microns),Gephyrocapsa (small <4 microns),Gephyrocapsa spp. (<4 microns),,nannofossils,,,Gephyrocapsa spp. (<4 microns)
Gephyrocapsa aperta,Gephyrocapsa aperta,,,nannofossils,,,Gephyrocapsa aperta
Gephyrocapsa caribbeanica,Gephyrocapsa caribbeanica,,,nannofossils,,,Gephyrocapsa caribbeanica
Gephyrocapsa caribbeanica (3-4 microns),Gephyrocapsa caribbeanica (3-4 microns),Gephyrocapsa caribbeanica (3-4 microns),,nannofossils,,,Gephyrocapsa caribbeanica (3-4 microns)
Gephyrocapsa caribbeanica (4-5.5 microns),Gephyrocapsa caribbeanica (4-5.5 microns),Gephyrocapsa caribbeanica (4-5.5 microns),,nannofossils,,,Gephyrocapsa caribbeanica (4-5.5 microns)
Gephyrocapsa caribbeanica (>5.5 microns),Gephyrocapsa caribbeanica (>5.5 microns),Gephyrocapsa caribbeanica (>5.5 microns),,nannofossils,,,Gephyrocapsa caribbeanica (>5.5 microns)
Gephyrocapsa caribbeanica (large),Gephyrocapsa caribbeanica (large),Gephyrocapsa caribbeanica (large),,nannofossils,,,Gephyrocapsa caribbeanica (large)
Gephyrocapsa ericsonii,Gephyrocapsa ericsonii,,,nannofossils,,,Gephyrocapsa ericsonii
Gephyrocapsa large,Gephyrocapsa large,,,nannofossils,,,Gephyrocapsa large
Gephyrocapsa margerelii/muellerae,Gephyrocapsa margerelii/muellerae,,,nannofossils,,this is an intergrade of two species,Gephyrocapsa margerelii/muellerae
Gephyrocapsa muellerae,Gephyrocapsa muellerae,,,nannofossils,,,Gephyrocapsa muellerae
Gephyrocapsa oceanica,Gephyrocapsa oceanica,,,nannofossils,,,Gephyrocapsa oceanica
Gephyrocapsa oceanica (3-4 microns),Gephyrocapsa oceanica (3-4 microns),,,nannofossils,,,Gephyrocapsa oceanica (3-4 microns)
Gephyrocapsa oceanica (4-5.5 microns),Gephyrocapsa oceanica (4-5.5 microns),,,nannofossils,,,Gephyrocapsa oceanica (4-5.5 microns)
Gephyrocapsa oceanica (<5 micron),Gephyrocapsa oceanica (<5 micron),,,nannofossils,,,Gephyrocapsa oceanica (<5 micron)
Gephyrocapsa oceanica (>5 micron),Gephyrocapsa oceanica (>5 micron),,,nannofossils,,,Gephyrocapsa oceanica (>5 micron)
Gephyrocapsa oceanica (>5.5 microns),Gephyrocapsa oceanica (>5.5 microns),,,nannofossils,,,Gephyrocapsa oceanica (>5.5 microns)
"Gephyrocapsa oceanica (Large, Diagonal bridge)","Gephyrocapsa oceanica (Large, Diagonal bridge)",Gephyrocapsa oceanica,"Gephyrocapsa oceanica (Large, Diagonal bridge)",nannofossils,,,Gephyrocapsa oceanica
Gephyrocapsa oceanica ss,Gephyrocapsa oceanica ss,Gephyrocapsa oceanica,Gephyrocapsa oceanica ss,nannofossils,,,Gephyrocapsa oceanica
Gephyrocapsa omega,Gephyrocapsa omega,,,nannofossils,,,Gephyrocapsa omega
Gephyrocapsa parallela,Gephyrocapsa parallela,,,nannofossils,,,Gephyrocapsa parallela
Gephyrocapsa sinuosa,Gephyrocapsa sinuosa,,,nannofossils,,,Gephyrocapsa sinuosa
Gephyrocapsa sp.,Gephyrocapsa sp.,,,nannofossils,,,Gephyrocapsa sp.
Gephyrocapsa sp. (4-5.5 microns),Gephyrocapsa sp. (4-5.5 microns),,,nannofossils,,,Gephyrocapsa sp. (4-5.5 microns)
Gephyrocapsa sp. (<4 microns),Gephyrocapsa sp. (<4 microns),,,nannofossils,,,Gephyrocapsa sp. (<4 microns)
Gephyrocapsa sp. (>5.5 microns),Gephyrocapsa sp. (>5.5 microns),,,nannofossils,,,Gephyrocapsa sp. (>5.5 microns)
Gephyrocapsa sp. (closed >4 microns),Gephyrocapsa sp. (closed >4 microns),,,nannofossils,,,Gephyrocapsa sp. (closed >4 microns)
Gephyrocapsa sp. (large),Gephyrocapsa sp. (large),,,nannofossils,,,Gephyrocapsa sp. (large)
Gephyrocapsa sp. 3,Gephyrocapsa sp. 3,,,nannofossils,,"this is a distinct taxon! Nannos, amirite???",Gephyrocapsa sp. 3
Gephyrocapsa sp. medium,Gephyrocapsa sp. medium,,,nannofossils,,,Gephyrocapsa sp. medium
Gephyrocapsa spp. (<3 microns),Gephyrocapsa spp. (<3 microns),,,nannofossils,,,Gephyrocapsa spp. (<3 microns)
Gephyrocapsa spp. (>4 microns),Gephyrocapsa spp. (>4 microns),,,nannofossils,,,Gephyrocapsa spp. (>4 microns)
Gephyrocapsa spp. (large >5.5 microns),Gephyrocapsa spp. (large >5.5 microns),,,nannofossils,,,Gephyrocapsa spp. (large >5.5 microns)
Gephyrocapsa spp. (medium 4-5.5 microns),Gephyrocapsa spp. (medium 4-5.5 microns),,,nannofossils,,,Gephyrocapsa spp. (medium 4-5.5 microns)
Gephyrocapsa spp. (small <3.5 microns),Gephyrocapsa spp. (small <3.5 microns),,,nannofossils,,,Gephyrocapsa spp. (small <3.5 microns)
Gephyrocapsa spp. (small),Gephyrocapsa spp. (small),,,nannofossils,,,Gephyrocapsa spp. (small)
Gephyrocapsa spp. medium,Gephyrocapsa spp. medium,,,nannofossils,,,Gephyrocapsa spp. medium
Gephyrocapsa spp. small (<4 microns),Gephyrocapsa spp. small (<4 microns),,,nannofossils,,,Gephyrocapsa spp. small (<4 microns)
Girgisia gammation,Girgisia gammation,,,nannofossils,,,Girgisia gammation
Gladiolithus flabellatus,Gladiolithus flabellatus,,,nannofossils,,,Gladiolithus flabellatus
Glaukolithus bicrescenticus,Glaukolithus bicrescenticus,,,nannofossils,,,Glaukolithus bicrescenticus
Glaukolithus diplogrammus,Glaukolithus diplogrammus,,,nannofossils,,,Glaukolithus diplogrammus
Gorkea spp.,Gorkea spp.,,,nannofossils,,,Gorkea spp.
Grantarhabdus coronadventis,Grantarhabdus coronadventis,,,nannofossils,,,Grantarhabdus coronadventis
Gyphyrocapsa caribbeanica,Gyphyrocapsa caribbeanica,Gephyrocapsa caribbeanica,,nannofossils,,,Gephyrocapsa caribbeanica
Gyphyrocapsa oceania,Gyphyrocapsa oceania,Gephyrocapsa oceanica,,nannofossils,,,Gephyrocapsa oceanica
Haqius circumradiatus,Haqius circumradiatus,,,nannofossils,,,Haqius circumradiatus
Hayaster perplexus,Hayaster perplexus,,,nannofossils,,,Hayaster perplexus
Hayella challengeri,Hayella challengeri,,,nannofossils,,,Hayella challengeri
Hayella situliformis,Hayella situliformis,,,nannofossils,,,Hayella situliformis
Hayesites albiensis,Hayesites albiensis,,,nannofossils,,,Hayesites albiensis
Helenea chiastia,Helenea chiastia,,,nannofossils,,,Helenea chiastia
Helicolithus compactus,Helicolithus compactus,,,nannofossils,,,Helicolithus compactus
Helicolithus trabeculatus,Helicolithus trabeculatus,,,nannofossils,,,Helicolithus trabeculatus
Helicolithus trabeculatus (<7 um),Helicolithus trabeculatus (<7 um),Helicolithus trabeculatus,Helicolithus trabeculatus (<7 um),nannofossils,,,Helicolithus trabeculatus
Helicolithus turonicus,Helicolithus turonicus,,,nannofossils,,,Helicolithus turonicus
Helicopontosphaera hyalina,Helicopontosphaera hyalina,,,nannofossils,,,Helicopontosphaera hyalina
Helicosphaera acuta,Helicosphaera acuta,,,nannofossils,,,Helicosphaera acuta
Helicosphaera ampliaperta,Helicosphaera ampliaperta,,,nannofossils,,,Helicosphaera ampliaperta
Helicosphaera bramlettei,Helicosphaera bramlettei,,,nannofossils,,,Helicosphaera bramlettei
Helicosphaera burkei,Helicosphaera burkei,,,nannofossils,,,Helicosphaera burkei
Helicosphaera carteri,Helicosphaera carteri,,,nannofossils,,,Helicosphaera carteri
Helicosphaera carteri var. walichii,Helicosphaera carteri var. walichii,,,nannofossils,,,Helicosphaera carteri var. walichii
Helicosphaera clarissima,Helicosphaera clarissima,,,nannofossils,,,Helicosphaera clarissima
Helicosphaera compacta,Helicosphaera compacta,,,nannofossils,,,Helicosphaera compacta
Helicosphaera ethologa,Helicosphaera ethologa,,,nannofossils,,,Helicosphaera ethologa
Helicosphaera euphratis,Helicosphaera euphratis,,,nannofossils,,,Helicosphaera euphratis
Helicosphaera euphratis (< 8 microns),Helicosphaera euphratis (< 8 microns),Helicosphaera euphratis,Helicosphaera euphratis (< 8 microns),nannofossils,,,Helicosphaera euphratis
Helicosphaera granulata,Helicosphaera granulata,,,nannofossils,,,Helicosphaera granulata
Helicosphaera hyalina,Helicosphaera hyalina,,,nannofossils,,,Helicosphaera hyalina
Helicosphaera intermedia,Helicosphaera intermedia,,,nannofossils,,,Helicosphaera intermedia
Helicosphaera inversa,Helicosphaera inversa,,,nannofossils,,,Helicosphaera inversa
Helicosphaera kamptneri,Helicosphaera kamptneri,,,nannofossils,,,Helicosphaera kamptneri
Helicosphaera kamptnerii,Helicosphaera kamptnerii,Helicosphaera kamptneri,,nannofossils,,,Helicosphaera kamptneri
Helicosphaera lophota,Helicosphaera lophota,,,nannofossils,,,Helicosphaera lophota
Helicosphaera mediterranea,Helicosphaera mediterranea,,,nannofossils,,,Helicosphaera mediterranea
Helicosphaera neogranulata,Helicosphaera neogranulata,,,nannofossils,,,Helicosphaera neogranulata
Helicosphaera obliqua,Helicosphaera obliqua,,,nannofossils,,,Helicosphaera obliqua
Helicosphaera orientalis,Helicosphaera orientalis,,,nannofossils,,,Helicosphaera orientalis
Helicosphaera pavimentum,Helicosphaera pavimentum,,,nannofossils,,,Helicosphaera pavimentum
Helicosphaera perch-nielseniae,Helicosphaera perch-nielseniae,,,nannofossils,,this is one hyphenated name (named after Katerina Perch-Nielsen) A great example of why the species field should accept non-alphabetic characters! ,Helicosphaera perch-nielseniae
Helicosphaera princei,Helicosphaera princei,,,nannofossils,,,Helicosphaera princei
Helicosphaera recta,Helicosphaera recta,,,nannofossils,,,Helicosphaera recta
Helicosphaera reticulata,Helicosphaera reticulata,,,nannofossils,,,Helicosphaera reticulata
Helicosphaera scissura,Helicosphaera scissura,,,nannofossils,,,Helicosphaera scissura
Helicosphaera sellii,Helicosphaera sellii,,,nannofossils,,,Helicosphaera sellii
Helicosphaera seminulum,Helicosphaera seminulum,,,nannofossils,,,Helicosphaera seminulum
Helicosphaera sp.,Helicosphaera sp.,,,nannofossils,,,Helicosphaera sp.
Helicosphaera spp.,Helicosphaera spp.,,,nannofossils,,,Helicosphaera spp.
Helicosphaera spp. (Negoene),Helicosphaera spp. (Negoene),Helicosphaera <spp. (Negoene)>,,nannofossils,,,Helicosphaera <spp. (Negoene)>
Helicosphaera spp. (Palegoene),Helicosphaera spp. (Palegoene),Helicosphaera <spp. (Palegoene)>,,nannofossils,,,Helicosphaera <spp. (Palegoene)>
Helicosphaera stalis,Helicosphaera stalis,,,nannofossils,,,Helicosphaera stalis
Helicosphaera vedderi,Helicosphaera vedderi,,,nannofossils,,,Helicosphaera vedderi
Helicosphaera walbersdorfensis,Helicosphaera walbersdorfensis,,,nannofossils,,,Helicosphaera walbersdorfensis
Helicosphaera wallichii,Helicosphaera wallichii,,,nannofossils,,,Helicosphaera wallichii
Helicosphaera wilcoxonii,Helicosphaera wilcoxonii,,,nannofossils,,,Helicosphaera wilcoxonii
Helicosphera inversa,Helicosphera inversa,Helicosphaera inversa,,nannofossils,,,Helicosphaera inversa
Heliolithus cantabriae,Heliolithus cantabriae,,,nannofossils,,,Heliolithus cantabriae
Heliolithus kleinpellii,Heliolithus kleinpellii,,,nannofossils,,,Heliolithus kleinpellii
Heliolithus riedelii,Heliolithus riedelii,,,nannofossils,,,Heliolithus riedelii
Holodiscolithus macroporus,Holodiscolithus macroporus,,,nannofossils,,,Holodiscolithus macroporus
Hughesius gizoensis,Hughesius gizoensis,,,nannofossils,,,Hughesius gizoensis
Hughesius tasmaniae,Hughesius tasmaniae,,,nannofossils,,,Hughesius tasmaniae
Ilselithina fusa,Ilselithina fusa,,,nannofossils,,,Ilselithina fusa
Isthmolithus recurvus,Isthmolithus recurvus,,,nannofossils,,,Isthmolithus recurvus
Jakubowskia leoniae,Jakubowskia leoniae,,,nannofossils,,,Jakubowskia leoniae
Kamptnerius magnificus,Kamptnerius magnificus,,,nannofossils,,,Kamptnerius magnificus
Lanternithus minutus,Lanternithus minutus,,,nannofossils,,,Lanternithus minutus
Lapideacassis sp.,Lapideacassis sp.,,,nannofossils,,,Lapideacassis sp.
Liliasterites angularis,Liliasterites angularis,,,nannofossils,,,Liliasterites angularis
Liliasterites atlanticus,Liliasterites atlanticus,,,nannofossils,,,Liliasterites atlanticus
Lithastrinus grillii,Lithastrinus grillii,,,nannofossils,,,Lithastrinus grillii
Lithastrinus septenarius,Lithastrinus septenarius,,,nannofossils,,,Lithastrinus septenarius
Lithoptychius ulii,Lithoptychius ulii,,,nannofossils,,,Lithoptychius ulii
Lithoptychius vertebratoides,Lithoptychius vertebratoides,,,nannofossils,,,Lithoptychius vertebratoides
Lithraphidites acutus,Lithraphidites acutus,,,nannofossils,,,Lithraphidites acutus
Lithraphidites alatus,Lithraphidites alatus,,,nannofossils,,,Lithraphidites alatus
Lithraphidites carniolensis,Lithraphidites carniolensis,,,nannofossils,,,Lithraphidites carniolensis
Lithraphidites quadratus,Lithraphidites quadratus,,,nannofossils,,,Lithraphidites quadratus
Lophodolithus acutus,Lophodolithus acutus,,,nannofossils,,,Lophodolithus acutus
Lophodolithus mochlophorus,Lophodolithus mochlophorus,,,nannofossils,,,Lophodolithus mochlophorus
Lophodolithus nascens,Lophodolithus nascens,,,nannofossils,,,Lophodolithus nascens
Lophodolithus rotundus,Lophodolithus rotundus,,,nannofossils,,,Lophodolithus rotundus
Loxolithus armilla,Loxolithus armilla,,,nannofossils,,,Loxolithus armilla
Lucianorhabdus cayeuxii,Lucianorhabdus cayeuxii,,,nannofossils,,,Lucianorhabdus cayeuxii
Lucianorhabdus maleformis,Lucianorhabdus maleformis,,,nannofossils,,,Lucianorhabdus maleformis
Lucianorhabdus spp.,Lucianorhabdus spp.,,,nannofossils,,,Lucianorhabdus spp.
Manivitella pemmatoidea,Manivitella pemmatoidea,,,nannofossils,,,Manivitella pemmatoidea
Markalius apertus,Markalius apertus,,,nannofossils,,,Markalius apertus
Markalius astroporus,Markalius astroporus,,,nannofossils,,,Markalius astroporus
Markalius inversus,Markalius inversus,,,nannofossils,,,Markalius inversus
Marthasterites furcatus,Marthasterites furcatus,,,nannofossils,,,Marthasterites furcatus
Micrantholithus flos,Micrantholithus flos,,,nannofossils,,,Micrantholithus flos
Micrantholithus spp.,Micrantholithus spp.,,,nannofossils,,,Micrantholithus spp.
Microrhabdulus belgicus,Microrhabdulus belgicus,,,nannofossils,,,Microrhabdulus belgicus
Microrhabdulus decoratus,Microrhabdulus decoratus,,,nannofossils,,,Microrhabdulus decoratus
Microrhabdulus spp.,Microrhabdulus spp.,,,nannofossils,,,Microrhabdulus spp.
Micula,Micula,Micula sp.,,nannofossils,,,Micula sp.
Micula concava,Micula concava,,,nannofossils,,,Micula concava
Micula cubiformis,Micula cubiformis,,,nannofossils,,,Micula cubiformis
Micula decussata,Micula decussata,,,nannofossils,,,Micula decussata
Micula murus,Micula murus,,,nannofossils,,,Micula murus
Micula prinsii,Micula prinsii,,,nannofossils,,,Micula prinsii
Micula staurophora,Micula staurophora,,,nannofossils,,,Micula staurophora
Minylitha convallis,Minylitha convallis,,,nannofossils,,,Minylitha convallis
Misceomarginatus pleniporus,Misceomarginatus pleniporus,,,nannofossils,,,Misceomarginatus pleniporus
Monomarginatus quaternarius,Monomarginatus quaternarius,,,nannofossils,,,Monomarginatus quaternarius
Nannoconus,Nannoconus,Nannoconus sp.,,nannofossils,,,Nannoconus sp.
Nannoconus sp.,Nannoconus sp.,,,nannofossils,,,Nannoconus sp.
Nannotetrina alata,Nannotetrina alata,,,nannofossils,,,Nannotetrina alata
Nannotetrina alata gr.,Nannotetrina alata gr.,Nannotetrina alata group,,nannofossils,,why is this different from the way other groups are treated? e.g. Discoaster <variabilis group> - resolved; JAS was confused,Nannotetrina alata group
Nannotetrina cristata,Nannotetrina cristata,,,nannofossils,,,Nannotetrina cristata
Nannotetrina fulgens,Nannotetrina fulgens,,,nannofossils,,,Nannotetrina fulgens
Nannotetrina fulgens,Nannotetrina fulgens,Nannotetrina fulgens,,nannofossils,,,Nannotetrina fulgens
Nannotetrina spp.,Nannotetrina spp.,,,nannofossils,,,Nannotetrina spp.
Neobiscutum spp.,Neobiscutum spp.,,,nannofossils,,,Neobiscutum spp.
Neochiastozygus chiastus,Neochiastozygus chiastus,,,nannofossils,,,Neochiastozygus chiastus
Neochiastozygus junctus,Neochiastozygus junctus,,,nannofossils,,,Neochiastozygus junctus
Neochiastozygus modestus,Neochiastozygus modestus,,,nannofossils,,,Neochiastozygus modestus
Neochiastozygus perfectus,Neochiastozygus perfectus,,,nannofossils,,,Neochiastozygus perfectus
Neochiastozygus rosenkrantzii,Neochiastozygus rosenkrantzii,,,nannofossils,,,Neochiastozygus rosenkrantzii
Neochiastozygus spp.,Neochiastozygus spp.,,,nannofossils,,,Neochiastozygus spp.
Neococcolithes dubius,Neococcolithes dubius,,,nannofossils,,,Neococcolithes dubius
Neococcolithes protenus,Neococcolithes protenus,,,nannofossils,,,Neococcolithes protenus
Neococcolithes spp.,Neococcolithes spp.,,,nannofossils,,,Neococcolithes spp.
Neocrepidolithus cruciatus,Neocrepidolithus cruciatus,,,nannofossils,,,Neocrepidolithus cruciatus
Neocrepidolithus dirimosus,Neocrepidolithus dirimosus,,,nannofossils,,,Neocrepidolithus dirimosus
Neocrepidolithus fossus,Neocrepidolithus fossus,,,nannofossils,,,Neocrepidolithus fossus
Neocrepidolithus neocrassus,Neocrepidolithus neocrassus,,,nannofossils,,,Neocrepidolithus neocrassus
Neocrepidolithus watkinsii,Neocrepidolithus watkinsii,,,nannofossils,,,Neocrepidolithus watkinsii
Neosphaera coccolithomorpha,Neosphaera coccolithomorpha,,,nannofossils,,,Neosphaera coccolithomorpha
Nephrolithus frequens,Nephrolithus frequens,,,nannofossils,,,Nephrolithus frequens
Nicklithus amplificus,Nicklithus amplificus,,,nannofossils,,,Nicklithus amplificus
Octocyclus sp.,Octocyclus sp.,,,nannofossils,,,Octocyclus sp.
Octolithus multiplus,Octolithus multiplus,,,nannofossils,,,Octolithus multiplus
Oolithotus fragilis,Oolithotus fragilis,,,nannofossils,,,Oolithotus fragilis
Oolithotus sp.,Oolithotus sp.,,,nannofossils,,,Oolithotus sp.
Oolithotus spp.,Oolithotus spp.,,,nannofossils,,,Oolithotus spp.
Orthorhabdus rugosus,Orthorhabdus rugosus,,,nannofossils,,,Orthorhabdus rugosus
Orthorhabdus serratus,Orthorhabdus serratus,,,nannofossils,,,Orthorhabdus serratus
Orthorhabdus striatus,Orthorhabdus striatus,,,nannofossils,,,Orthorhabdus striatus
Pedinocyclus larvalis,Pedinocyclus larvalis,,,nannofossils,,,Pedinocyclus larvalis
Pemma basquense,Pemma basquense,,,nannofossils,,,Pemma basquense
Perchnielsenella stradneri,Perchnielsenella stradneri,,,nannofossils,,,Perchnielsenella stradneri
Perissocyclus fenestratus,Perissocyclus fenestratus,,,nannofossils,,,Perissocyclus fenestratus
Petrarhabdus copulatus,Petrarhabdus copulatus,,,nannofossils,,,Petrarhabdus copulatus
Placozygus spp.,Placozygus spp.,,,nannofossils,,,Placozygus spp.
Pontesphaera multipora,Pontesphaera multipora,Pontosphaera multipora,,nannofossils,,,Pontosphaera multipora
Pontosphaera alta,Pontosphaera alta,,,nannofossils,,,Pontosphaera alta
Pontosphaera discopora,Pontosphaera discopora,,,nannofossils,,,Pontosphaera discopora
Pontosphaera enormis,Pontosphaera enormis,,,nannofossils,,,Pontosphaera enormis
Pontosphaera exilis,Pontosphaera exilis,,,nannofossils,,,Pontosphaera exilis
Pontosphaera indooceanica,Pontosphaera indooceanica,,,nannofossils,,,Pontosphaera indooceanica
Pontosphaera japonica,Pontosphaera japonica,,,nannofossils,,,Pontosphaera japonica
