verbatim_name,name,"name to use (if different from ""name"")",name comment field,taxon_group,Comment,notes,Any taxon above genus,genus modifier,genus name,species modifier,species name,subspecies modifier,subspecies name,non-taxa descriptor,comments,pbdb_taxon_id,pbdb_taxon_name,pbdb_taxon_rank,normalized_name
Cretarhabdus conicus,Cretarhabdus conicus,,,nannofossils,,,,,Cretarhabdus,,conicus,,,,,88298.0,Cretarhabdus conicus,species,Cretarhabdus conicus
Cretarhabdus crenulatus,Cretarhabdus crenulatus,,,nannofossils,,,,,Cretarhabdus,,crenulatus,,,,,87816.0,Cretarhabdus,genus,Cretarhabdus crenulatus
Cretarhabdus striatus,Cretarhabdus striatus,,,nannofossils,,,,,Cretarhabdus,,striatus,,,,,88293.0,Cretarhabdus striatus,species,Cretarhabdus striatus
Cribrocentrum reticulatum,Cribrocentrum reticulatum,,,nannofossils,,,,,Cribrocentrum,,reticulatum,,,,,424464.0,Cribrocentrum,genus,Cribrocentrum reticulatum
Cribrocorona gallica,Cribrocorona gallica,,,nannofossils,,,,,Cribrocorona,,gallica,,,,,88436.0,Cribrocorona gallica,species,Cribrocorona gallica
Cribrosphaerella daniae,Cribrosphaerella daniae,,,nannofossils,,,,,Cribrosphaerella,,daniae,,,,,88435.0,Cribrosphaerella daniae,species,Cribrosphaerella daniae
Cribrosphaerella ehrenbergii,Cribrosphaerella ehrenbergii,,,nannofossils,,,,,Cribrosphaerella,,ehrenbergii,,,,,88434.0,Cribrosphaerella ehrenbergii,species,Cribrosphaerella ehrenbergii
Cruciellipsis cuvillieri,Cruciellipsis cuvillieri,,,nannofossils,,,,,Cruciellipsis,,cuvillieri,,,,,88291.0,Cruciellipsis cuvillieri,species,Cruciellipsis cuvillieri
Cruciplacolithus asymmetricus,Cruciplacolithus asymmetricus,,,nannofossils,,,,,Cruciplacolithus,,asymmetricus,,,,,87683.0,Cruciplacolithus,genus,Cruciplacolithus asymmetricus
Cruciplacolithus cruciformis,Cruciplacolithus cruciformis,,,nannofossils,,,,,Cruciplacolithus,,cruciformis,,,,,87683.0,Cruciplacolithus,genus,Cruciplacolithus cruciformis
Cruciplacolithus edwardsii,Cruciplacolithus edwardsii,,,nannofossils,,,,,Cruciplacolithus,,edwardsii,,,,,87683.0,Cruciplacolithus,genus,Cruciplacolithus edwardsii
Cruciplacolithus frequens,Cruciplacolithus frequens,,,nannofossils,,,,,Cruciplacolithus,,frequens,,,,,87683.0,Cruciplacolithus,genus,Cruciplacolithus frequens
Cruciplacolithus intermedius,Cruciplacolithus intermedius,,,nannofossils,,,,,Cruciplacolithus,,intermedius,,,,,87683.0,Cruciplacolithus,genus,Cruciplacolithus intermedius
Cruciplacolithus latipons,Cruciplacolithus latipons,,,nannofossils,,,,,Cruciplacolithus,,latipons,,,,,87683.0,Cruciplacolithus,genus,Cruciplacolithus latipons
Cruciplacolithus primus,Cruciplacolithus primus,,,nannofossils,,,,,Cruciplacolithus,,primus,,,,,87683.0,Cruciplacolithus,genus,Cruciplacolithus primus
Cruciplacolithus spp.,Cruciplacolithus spp.,,,nannofossils,,,,,Cruciplacolithus,,spp.,,,,,87683.0,Cruciplacolithus,genus,Cruciplacolithus spp.
Cruciplacolithus tenuis,Cruciplacolithus tenuis,,,nannofossils,,,,,Cruciplacolithus,,tenuis,,,,,87683.0,Cruciplacolithus,genus,Cruciplacolithus tenuis
Cryptococcolithus mediaperforate,Cryptococcolithus mediaperforate,Cryptococcolithus mediaperforatus,,nannofossils,,,,,Cryptococcolithus,,mediaperforatus,,,,,424028.0,Cryptococcolithus,genus,Cryptococcolithus mediaperforatus
Cryptococcolithus mediaperforatus,Cryptococcolithus mediaperforatus,,,nannofossils,,,,,Cryptococcolithus,,mediaperforatus,,,,,424028.0,Cryptococcolithus,genus,Cryptococcolithus mediaperforatus
Cyclagelosphaera margerelii,Cyclagelosphaera margerelii,,,nannofossils,,,,,Cyclagelosphaera,,margerelii,,,,,88230.0,Cyclagelosphaera margerelii,species,Cyclagelosphaera margerelii
Cyclagelosphaera reinhardtii,Cyclagelosphaera reinhardtii,,,nannofossils,,,,,Cyclagelosphaera,,reinhardtii,,,,,88226.0,Cyclagelosphaera reinhardtii,species,Cyclagelosphaera reinhardtii
Cyclagelosphaera spp.,Cyclagelosphaera spp.,,,nannofossils,,,,,Cyclagelosphaera,,spp.,,,,,87800.0,Cyclagelosphaera,genus,Cyclagelosphaera spp.
Cyclicargolithus abisectus,Cyclicargolithus abisectus,,,nannofossils,,,,,Cyclicargolithus,,abisectus,,,,,366219.0,Cyclicargolithus,genus,Cyclicargolithus abisectus
Cyclicargolithus abisectus (11 µm),Cyclicargolithus abisectus (11 µm),Cyclicargolithus abisectus (11 microns),,nannofossils,,,,,Cyclicargolithus,,abisectus,,,11 microns,,366219.0,Cyclicargolithus,genus,Cyclicargolithus abisectus (11 microns)
Cyclicargolithus abisectus (>11 microns),Cyclicargolithus abisectus (>11 microns),,,nannofossils,,,,,Cyclicargolithus,,abisectus,,,>11 microns,,366219.0,Cyclicargolithus,genus,Cyclicargolithus abisectus (>11 microns)
Cyclicargolithus floridanus,Cyclicargolithus floridanus,,,nannofossils,,,,,Cyclicargolithus,,floridanus,,,,,366222.0,Cyclicargolithus floridanus,species,Cyclicargolithus floridanus
Cyclicargolithus floridanus (5-11µm),Cyclicargolithus floridanus (5-11µm),Cyclicargolithus floridanus (5-11microns),,nannofossils,,,,,Cyclicargolithus,,floridanus,,,5-11 microns,,366222.0,Cyclicargolithus floridanus,species,Cyclicargolithus floridanus (5-11microns)
Cyclicargolithus floridanus small (<5µm),Cyclicargolithus floridanus small (<5µm),Cyclicargolithus floridanus small (<5 microns),,nannofossils,,,,,Cyclicargolithus,,floridanus,,,small <5 microns,,366219.0,Cyclicargolithus,genus,Cyclicargolithus floridanus small (<5 microns)
Cyclicargolithus luminis,Cyclicargolithus luminis,,,nannofossils,,,,,Cyclicargolithus,,luminis,,,,,366219.0,Cyclicargolithus,genus,Cyclicargolithus luminis
Cyclicargolithus? luminis,Cyclicargolithus ? luminis,Cyclicargolithus ? luminis,,nannofossils,,,,,Cyclicargolithus,?,luminis,,,,,366219.0,Cyclicargolithus,genus,Cyclicargolithus ? luminis
Cylindralithus nudus,Cylindralithus nudus,,,nannofossils,,,,,Cylindralithus,,nudus,,,,,88216.0,Cylindralithus nudus,species,Cylindralithus nudus
Cylindralithus sculptus,Cylindralithus sculptus,,,nannofossils,,,,,Cylindralithus,,sculptus,,,,,88215.0,Cylindralithus sculptus,species,Cylindralithus sculptus
Cylindralithus serratus,Cylindralithus serratus,,,nannofossils,,,,,Cylindralithus,,serratus,,,,,88214.0,Cylindralithus serratus,species,Cylindralithus serratus
Daktylethra punctulata,Daktylethra punctulata,,,nannofossils,,,,,Daktylethra,,punctulata,,,,,424466.0,Daktylethra,genus,Daktylethra punctulata
Diazomatolithus lehmanii,Diazomatolithus lehmanii,,,nannofossils,,,,,Diazomatolithus,,lehmanii,,,,,88211.0,Diazomatolithus lehmanii,species,Diazomatolithus lehmanii
Dictyococcites (<3 microns),Dictyococcites sp. (<3 microns),,,nannofossils,,,,,Dictyococcites,,sp.,,,<3 microns,,255393.0,Dictyococcites,genus,Dictyococcites sp. (<3 microns)
Dictyococcites antarcticus,Dictyococcites antarcticus,,,nannofossils,,,,,Dictyococcites,,antarcticus,,,,,255393.0,Dictyococcites,genus,Dictyococcites antarcticus
Dictyococcites bisectus,Dictyococcites bisectus,,,nannofossils,,,,,Dictyococcites,,bisectus,,,,,255393.0,Dictyococcites,genus,Dictyococcites bisectus
Dictyococcites bisectus (>10 microns),Dictyococcites bisectus (>10 microns),,,nannofossils,,,,,Dictyococcites,,bisectus,,,>10 microns,,255393.0,Dictyococcites,genus,Dictyococcites bisectus (>10 microns)
Dictyococcites bisectus (>10 µm),Dictyococcites bisectus (>10 µm),Dictyococcites bisectus (>10 microns),,nannofossils,,,,,Dictyococcites,,bisectus,,,>10 microns,,255393.0,Dictyococcites,genus,Dictyococcites bisectus (>10 microns)
Dictyococcites bisectus (>10µm),Dictyococcites bisectus (>10µm),Dictyococcites bisectus (>10 microns),,nannofossils,,,,,Dictyococcites,,bisectus,,,>10 microns,,255393.0,Dictyococcites,genus,Dictyococcites bisectus (>10 microns)
Dictyococcites haqii,Dictyococcites haqii,,,nannofossils,,,,,Dictyococcites,,haqii,,,,,255393.0,Dictyococcites,genus,Dictyococcites haqii
Dictyococcites perplexus,Dictyococcites perplexus,,,nannofossils,,,,,Dictyococcites,,perplexus,,,,,255393.0,Dictyococcites,genus,Dictyococcites perplexus
Dictyococcites productus,Dictyococcites productus,,,nannofossils,,,,,Dictyococcites,,productus,,,,,255393.0,Dictyococcites,genus,Dictyococcites productus
Dictyococcites scrippsae,Dictyococcites scrippsae,,,nannofossils,,,,,Dictyococcites,,scrippsae,,,,,255393.0,Dictyococcites,genus,Dictyococcites scrippsae
Dictyococcites scrippsae (<10µm),Dictyococcites scrippsae (<10µm),Dictyococcites scrippsae (<10 microns),,nannofossils,,,,,Dictyococcites,,scrippsae,,,<10 microns,,255393.0,Dictyococcites,genus,Dictyococcites scrippsae (<10 microns)
Dictyococcites spp.,Dictyococcites spp.,,,nannofossils,,,,,Dictyococcites,,spp.,,,,,255393.0,Dictyococcites,genus,Dictyococcites spp.
Dictyococcites spp. (<6 microns),Dictyococcites spp. (<6 microns),,,nannofossils,,,,,Dictyococcites,,spp.,,,<6 microns,,255393.0,Dictyococcites,genus,Dictyococcites spp. (<6 microns)
Dictyococcites spp. (medium),Dictyococcites spp. (medium),,,nannofossils,,,,,Dictyococcites,,spp.,,,medium,,255393.0,Dictyococcites,genus,Dictyococcites spp. (medium)
Dictyococcites spp. (small),Dictyococcites spp. (small),,,nannofossils,,,,,Dictyococcites,,spp.,,,small,,255393.0,Dictyococcites,genus,Dictyococcites spp. (small)
"Discoaster ""six-rayed""","Discoaster ""six-rayed""",Discoaster <sp. six-rayed>,,nannofossils,,,,,Discoaster,,spp.,,,six-rayed,,87682.0,Discoaster,genus,Discoaster <sp. six-rayed>
Discoaster adamanteus,Discoaster adamanteus,,,nannofossils,,,,,Discoaster,,adamanteus,,,,,366223.0,Discoaster adamanteus,species,Discoaster adamanteus
Discoaster altus,Discoaster altus,,,nannofossils,,,,,Discoaster,,altus,,,,,87682.0,Discoaster,genus,Discoaster altus
Discoaster anartios,Discoaster anartios,,,nannofossils,,,,,Discoaster,,anartios,,,,,87682.0,Discoaster,genus,Discoaster anartios
Discoaster araneus,Discoaster araneus,,,nannofossils,,,,,Discoaster,,araneus,,,,,87682.0,Discoaster,genus,Discoaster araneus
Discoaster asymetricus,Discoaster asymetricus,Discoaster asymmetricus,,nannofossils,,,,,Discoaster,,asymmetricus,,,,,87682.0,Discoaster,genus,Discoaster asymmetricus
Discoaster asymmetricus,Discoaster asymmetricus,,,nannofossils,,,,,Discoaster,,asymmetricus,,,,,87682.0,Discoaster,genus,Discoaster asymmetricus
Discoaster backmanii,Discoaster backmanii,,,nannofossils,,,,,Discoaster,,backmanii,,,,,87682.0,Discoaster,genus,Discoaster backmanii
Discoaster barbadiensis,Discoaster barbadiensis,,,nannofossils,,,,,Discoaster,,barbadiensis,,,,,87682.0,Discoaster,genus,Discoaster barbadiensis
Discoaster bellus,Discoaster bellus,,,nannofossils,,,,,Discoaster,,bellus,,,,,255401.0,Discoaster bellus,species,Discoaster bellus
Discoaster bergenii,Discoaster bergenii,,,nannofossils,,,,,Discoaster,,bergenii,,,,,87682.0,Discoaster,genus,Discoaster bergenii
Discoaster berggrenii,Discoaster berggrenii,,,nannofossils,,,,,Discoaster,,berggrenii,,,,,87682.0,Discoaster,genus,Discoaster berggrenii
Discoaster bifax,Discoaster bifax,,,nannofossils,,,,,Discoaster,,bifax,,,,,87682.0,Discoaster,genus,Discoaster bifax
Discoaster binodosus,Discoaster binodosus,,,nannofossils,,,,,Discoaster,,binodosus,,,,,87682.0,Discoaster,genus,Discoaster binodosus
Discoaster blackstockae,Discoaster blackstockae,,,nannofossils,,,,,Discoaster,,blackstockae,,,,,87682.0,Discoaster,genus,Discoaster blackstockae
Discoaster bollii,Discoaster bollii,,,nannofossils,,,,,Discoaster,,bollii,,,,,87682.0,Discoaster,genus,Discoaster bollii
Discoaster braarudi,Discoaster braarudi,Discoaster braarudii,,nannofossils,,,,,Discoaster,,braarudii,,,,,87682.0,Discoaster,genus,Discoaster braarudii
Discoaster braarudii,Discoaster braarudii,,,nannofossils,,,,,Discoaster,,braarudii,,,,,87682.0,Discoaster,genus,Discoaster braarudii
Discoaster brouweri,Discoaster brouweri,,,nannofossils,,,,,Discoaster,,brouweri,,,,,388326.0,Discoaster brouweri,species,Discoaster brouweri
Discoaster brouwerii,Discoaster brouwerii,Discoaster brouweri,,nannofossils,,,,,Discoaster,,brouweri,,,,,388326.0,Discoaster brouweri,species,Discoaster brouweri
Discoaster broweri,Discoaster broweri,Discoaster brouweri,,nannofossils,,,,,Discoaster,,brouweri,,,,,388326.0,Discoaster brouweri,species,Discoaster brouweri
Discoaster calcaris,Discoaster calcaris,,,nannofossils,,,,,Discoaster,,calcaris,,,,,87682.0,Discoaster,genus,Discoaster calcaris
Discoaster calculosus,Discoaster calculosus,,,nannofossils,,,,,Discoaster,,calculosus,,,,,87682.0,Discoaster,genus,Discoaster calculosus
Discoaster challengeri,Discoaster challengeri,,,nannofossils,,,,,Discoaster,,challengeri,,,,,87682.0,Discoaster,genus,Discoaster challengeri
Discoaster challengerii,Discoaster challengerii,Discoaster challengeri,,nannofossils,,,,,Discoaster,,challengeri,,,,,87682.0,Discoaster,genus,Discoaster challengeri
Discoaster deflandrei,Discoaster deflandrei,,,nannofossils,,,,,Discoaster,,deflandrei,,,,,366224.0,Discoaster deflandrei,species,Discoaster deflandrei
Discoaster deflandrei (small),Discoaster deflandrei (small),Discoaster deflandrei,Discoaster deflandrei (small),nannofossils,,,,,Discoaster,,deflandrei,,,small,Discoaster deflandrei (small),366224.0,Discoaster deflandrei,species,Discoaster deflandrei
Discoaster delicatus,Discoaster delicatus,,,nannofossils,,,,,Discoaster,,delicatus,,,,,87682.0,Discoaster,genus,Discoaster delicatus
Discoaster diastypus,Discoaster diastypus,,,nannofossils,,,,,Discoaster,,diastypus,,,,,87682.0,Discoaster,genus,Discoaster diastypus
Discoaster distinctus,Discoaster distinctus,,,nannofossils,,,,,Discoaster,,distinctus,,,,,87682.0,Discoaster,genus,Discoaster distinctus
Discoaster druggii,Discoaster druggii,,,nannofossils,,,,,Discoaster,,druggii,,,,,87682.0,Discoaster,genus,Discoaster druggii
Discoaster druggii (< 15 microns),Discoaster druggii (< 15 microns),Discoaster druggii,Discoaster druggii (< 15 microns),nannofossils,,,,,Discoaster,,druggii,,,< 15 microns,Discoaster druggii ,87682.0,Discoaster,genus,Discoaster druggii
Discoaster elegans,Discoaster elegans,,,nannofossils,,,,,Discoaster,,elegans,,,,,87682.0,Discoaster,genus,Discoaster elegans
Discoaster exilis,Discoaster exilis,,,nannofossils,,,,,Discoaster,,exilis,,,,,87682.0,Discoaster,genus,Discoaster exilis
Discoaster falcatus,Discoaster falcatus,,,nannofossils,,,,,Discoaster,,falcatus,,,,,87682.0,Discoaster,genus,Discoaster falcatus
Discoaster gr. variabilis,Discoaster gr. variabilis,Discoaster variabilis group,,nannofossils,,,,,Discoaster,,variabilis,,group,,Discoaster variabilis group,87682.0,Discoaster,genus,Discoaster variabilis group
Discoaster hamatus,Discoaster hamatus,,,nannofossils,,,,,Discoaster,,hamatus,,,,,87682.0,Discoaster,genus,Discoaster hamatus
Discoaster hamatus/bellus,Discoaster hamatus/bellus,Discoaster hamatus-bellus,,nannofossils,,this is some sort of intergrade of two species,,,Discoaster,,hamatus-bellus,,,,,87682.0,Discoaster,genus,Discoaster hamatus-bellus
Discoaster intercalaris,Discoaster intercalaris,,,nannofossils,,,,,Discoaster,,intercalaris,,,,,255400.0,Discoaster intercalaris,species,Discoaster intercalaris
Discoaster kuepperi,Discoaster kuepperi,,,nannofossils,,,,,Discoaster,,kuepperi,,,,,87682.0,Discoaster,genus,Discoaster kuepperi
Discoaster kugleri,Discoaster kugleri,,,nannofossils,,,,,Discoaster,,kugleri,,,,,87682.0,Discoaster,genus,Discoaster kugleri
Discoaster kuglerii,Discoaster kuglerii,Discoaster kugleri,,nannofossils,,,,,Discoaster,,kugleri,,,,,87682.0,Discoaster,genus,Discoaster kugleri
Discoaster lenticularis,Discoaster lenticularis,,,nannofossils,,,,,Discoaster,,lenticularis,,,,,87682.0,Discoaster,genus,Discoaster lenticularis
Discoaster lodoensis,Discoaster lodoensis,,,nannofossils,,,,,Discoaster,,lodoensis,,,,,87682.0,Discoaster,genus,Discoaster lodoensis
Discoaster loeblichii,Discoaster loeblichii,,,nannofossils,,,,,Discoaster,,loeblichii,,,,,87682.0,Discoaster,genus,Discoaster loeblichii
Discoaster mahmoudii,Discoaster mahmoudii,,,nannofossils,,,,,Discoaster,,mahmoudii,,,,,87682.0,Discoaster,genus,Discoaster mahmoudii
Discoaster mediosus,Discoaster mediosus,,,nannofossils,,,,,Discoaster,,mediosus,,,,,87682.0,Discoaster,genus,Discoaster mediosus
Discoaster mendomobensis,Discoaster mendomobensis,,,nannofossils,,,,,Discoaster,,mendomobensis,,,,,87682.0,Discoaster,genus,Discoaster mendomobensis
Discoaster mohleri,Discoaster mohleri,,,nannofossils,,,,,Discoaster,,mohleri,,,,,87682.0,Discoaster,genus,Discoaster mohleri
Discoaster moorei,Discoaster moorei,,,nannofossils,,,,,Discoaster,,moorei,,,,,87682.0,Discoaster,genus,Discoaster moorei
Discoaster moori,Discoaster moori,Discoaster moorei,,nannofossils,,,,,Discoaster,,moorei,,,,,87682.0,Discoaster,genus,Discoaster moorei
Discoaster multiradiatus,Discoaster multiradiatus,,,nannofossils,,,,,Discoaster,,multiradiatus,,,,,87682.0,Discoaster,genus,Discoaster multiradiatus
Discoaster musicus,Discoaster musicus,,,nannofossils,,,,,Discoaster,,musicus,,,,,87682.0,Discoaster,genus,Discoaster musicus
Discoaster neohamatus,Discoaster neohamatus,,,nannofossils,,,,,Discoaster,,neohamatus,,,,,87682.0,Discoaster,genus,Discoaster neohamatus
Discoaster neorectus,Discoaster neorectus,,,nannofossils,,,,,Discoaster,,neorectus,,,,,87682.0,Discoaster,genus,Discoaster neorectus
Discoaster nobilis,Discoaster nobilis,,,nannofossils,,,,,Discoaster,,nobilis,,,,,87682.0,Discoaster,genus,Discoaster nobilis
Discoaster nodifer,Discoaster nodifer,,,nannofossils,,,,,Discoaster,,nodifer,,,,,87682.0,Discoaster,genus,Discoaster nodifer
Discoaster ornatus,Discoaster ornatus,,,nannofossils,,,,,Discoaster,,ornatus,,,,,87682.0,Discoaster,genus,Discoaster ornatus
Discoaster pacificus,Discoaster pacificus,,,nannofossils,,,,,Discoaster,,pacificus,,,,,87682.0,Discoaster,genus,Discoaster pacificus
Discoaster paelikei,Discoaster paelikei,,,nannofossils,,,,,Discoaster,,paelikei,,,,,87682.0,Discoaster,genus,Discoaster paelikei
Discoaster pansus,Discoaster pansus,,,nannofossils,,,,,Discoaster,,pansus,,,,,87682.0,Discoaster,genus,Discoaster pansus
Discoaster pentaradiatus,Discoaster pentaradiatus,,,nannofossils,,,,,Discoaster,,pentaradiatus,,,,,87682.0,Discoaster,genus,Discoaster pentaradiatus
Discoaster petaliformis,Discoaster petaliformis,,,nannofossils,,,,,Discoaster,,petaliformis,,,,,87682.0,Discoaster,genus,Discoaster petaliformis
Discoaster prepentaradiatus,Discoaster prepentaradiatus,,,nannofossils,,,,,Discoaster,,prepentaradiatus,,,,,87682.0,Discoaster,genus,Discoaster prepentaradiatus
Discoaster quadramus,Discoaster quadramus,,,nannofossils,,,,,Discoaster,,quadramus,,,,,87682.0,Discoaster,genus,Discoaster quadramus
Discoaster quinqueramus,Discoaster quinqueramus,,,nannofossils,,,,,Discoaster,,quinqueramus,,,,,388328.0,Discoaster quinqueramus,species,Discoaster quinqueramus
Discoaster quintatus,Discoaster quintatus,,,nannofossils,,,,,Discoaster,,quintatus,,,,,87682.0,Discoaster,genus,Discoaster quintatus
Discoaster saipanensis,Discoaster saipanensis,,,nannofossils,,,,,Discoaster,,saipanensis,,,,,87682.0,Discoaster,genus,Discoaster saipanensis
Discoaster salisburgensis,Discoaster salisburgensis,,,nannofossils,,,,,Discoaster,,salisburgensis,,,,,87682.0,Discoaster,genus,Discoaster salisburgensis
Discoaster sanmiguelensis,Discoaster sanmiguelensis,,,nannofossils,,,,,Discoaster,,sanmiguelensis,,,,,87682.0,Discoaster,genus,Discoaster sanmiguelensis
Discoaster septemradiatus,Discoaster septemradiatus,,,nannofossils,,,,,Discoaster,,septemradiatus,,,,,87682.0,Discoaster,genus,Discoaster septemradiatus
Discoaster signus,Discoaster signus,,,nannofossils,,,,,Discoaster,,signus,,,,,87682.0,Discoaster,genus,Discoaster signus
Discoaster sp.,Discoaster sp.,,,nannofossils,,,,,Discoaster,,sp.,,,,,87682.0,Discoaster,genus,Discoaster sp.
Discoaster sp. cf. D. brouweri,Discoaster sp. cf. D. brouweri,Discoaster cf. brouweri,,nannofossils,,,,,Discoaster,cf.,brouweri,,,,Discoaster sp. cf. D. brouweri,87682.0,Discoaster,genus,Discoaster cf. brouweri
Discoaster sp. cf. D. variabilis,Discoaster sp. cf. D. variabilis,Discoaster cf. variabilis,,nannofossils,,,,,Discoaster,cf.,variabilis,,,,Discoaster sp. cf. D. variabilis,87682.0,Discoaster,genus,Discoaster cf. variabilis
Discoaster spp.,Discoaster spp.,,,nannofossils,,,,,Discoaster,,spp.,,,,,87682.0,Discoaster,genus,Discoaster spp.
Discoaster spp. (Neogene),Discoaster spp. (Neogene),Discoaster <spp. (Neogene)>,,nannofossils,,,,,Discoaster,,spp.,,"""(Neogene)""",,Discoaster spp. (Neogene),87682.0,Discoaster,genus,Discoaster <spp. (Neogene)>
Discoaster spp. (Paleogene),Discoaster spp. (Paleogene),Discoaster <spp. (Paleogene)>,,nannofossils,,,,,Discoaster,,spp.,,"""(Paleogene)""",,Discoaster spp. (Paleogene),87682.0,Discoaster,genus,Discoaster <spp. (Paleogene)>
Discoaster spp. (five-rayed),Discoaster spp. (five-rayed),Discoaster <spp. (five-rayed)>,,nannofossils,,,,,Discoaster,,spp.,,,five-rayed,,87682.0,Discoaster,genus,Discoaster <spp. (five-rayed)>
Discoaster stellulus,Discoaster stellulus,,,nannofossils,,,,,Discoaster,,stellulus,,,,,87682.0,Discoaster,genus,Discoaster stellulus
Discoaster sublodoensis,Discoaster sublodoensis,,,nannofossils,,,,,Discoaster,,sublodoensis,,,,,87682.0,Discoaster,genus,Discoaster sublodoensis
Discoaster subsurculus,Discoaster subsurculus,,,nannofossils,,,,,Discoaster,,subsurculus,,,,,87682.0,Discoaster,genus,Discoaster subsurculus
Discoaster surculus,Discoaster surculus,,,nannofossils,,,,,Discoaster,,surculus,,,,,388327.0,Discoaster surculus,species,Discoaster surculus
Discoaster tamalis,Discoaster tamalis,,,nannofossils,,,,,Discoaster,,tamalis,,,,,87682.0,Discoaster,genus,Discoaster tamalis
Discoaster tanii,Discoaster tanii,,,nannofossils,,,,,Discoaster,,tanii,,,,,87682.0,Discoaster,genus,Discoaster tanii
Discoaster triradiatus,Discoaster triradiatus,,,nannofossils,,,,,Discoaster,,triradiatus,,,,,87682.0,Discoaster,genus,Discoaster triradiatus
Discoaster tristellifer,Discoaster tristellifer,,,nannofossils,,,,,Discoaster,,tristellifer,,,,,87682.0,Discoaster,genus,Discoaster tristellifer
Discoaster variabilis,Discoaster variabilis,,,nannofossils,,,,,Discoaster,,variabilis,,,,,255399.0,Discoaster variabilis,species,Discoaster variabilis
Discoaster variabilis group,Discoaster variabilis group,,,nannofossils,,,,,Discoaster,,variabilis,,group,,Discoaster variabilis group,87682.0,Discoaster,genus,Discoaster variabilis group
Discoaster wemmelensis,Discoaster wemmelensis,,,nannofossils,,,,,Discoaster,,wemmelensis,,,,,87682.0,Discoaster,genus,Discoaster wemmelensis
Discoaster williamsii,Discoaster williamsii,,,nannofossils,,,,,Discoaster,,williamsii,,,,,87682.0,Discoaster,genus,Discoaster williamsii
Discolithina japonica,Discolithina japonica,,,nannofossils,,,,,Discolithina,,japonica,,,,,87709.0,Discolithina,genus,Discolithina japonica
Discorhabdus watkinsii,Discorhabdus watkinsii,,,nannofossils,,,,,Discorhabdus,,watkinsii,,,,,87826.0,Discorhabdus,genus,Discorhabdus watkinsii
Discosphaera tubifera,Discosphaera tubifera,,,nannofossils,,,,,Discosphaera,,tubifera,,,,,424335.0,Discosphaera,genus,Discosphaera tubifera
Eifellithus,Eiffellithus,Eiffellithus sp.,,nannofossils,,,,,Eiffellithus,,sp.,,,,,87863.0,Eiffellithus,genus,Eiffellithus sp.
Eiffellithus angustus,Eiffellithus angustus,,,nannofossils,,,,,Eiffellithus,,angustus,,,,,87863.0,Eiffellithus,genus,Eiffellithus angustus
Eiffellithus casulus,Eiffellithus casulus,,,nannofossils,,,,,Eiffellithus,,casulus,,,,,87863.0,Eiffellithus,genus,Eiffellithus casulus
Eiffellithus equibiramus,Eiffellithus equibiramus,,,nannofossils,,,,,Eiffellithus,,equibiramus,,,,,88576.0,Eiffellithus equibiramus,species,Eiffellithus equibiramus
Eiffellithus eximius,Eiffellithus eximius,,,nannofossils,,,,,Eiffellithus,,eximius,,,,,88574.0,Eiffellithus eximius,species,Eiffellithus eximius
Eiffellithus eximius (sensu Verbeek),Eiffellithus eximius (sensu Verbeek),Eiffellithus eximius,Eiffellithus eximius (sensu Verbeek),nannofossils,,,,,Eiffellithus,,eximius,,,,Eiffellithus eximius (sensu Verbeek),88574.0,Eiffellithus eximius,species,Eiffellithus eximius
Eiffellithus gorkae,Eiffellithus gorkae,,,nannofossils,,,,,Eiffellithus,,gorkae,,,,,88573.0,Eiffellithus gorkae,species,Eiffellithus gorkae
Eiffellithus monechiae,Eiffellithus monechiae,,,nannofossils,,,,,Eiffellithus,,monechiae,,,,,88571.0,Eiffellithus monechiae,species,Eiffellithus monechiae
Eiffellithus parallelus,Eiffellithus parallelus,,,nannofossils,,,,,Eiffellithus,,parallelus,,,,,88570.0,Eiffellithus parallelus,species,Eiffellithus parallelus
Eiffellithus perchnielseniae,Eiffellithus perchnielseniae,,,nannofossils,,,,,Eiffellithus,,perchnielseniae,,,,,87863.0,Eiffellithus,genus,Eiffellithus perchnielseniae
Eiffellithus praestigium,Eiffellithus praestigium,,,nannofossils,,,,,Eiffellithus,,praestigium,,,,,88567.0,Eiffellithus praestigium,species,Eiffellithus praestigium
Eiffellithus sp.,Eiffellithus sp.,,,nannofossils,,,,,Eiffellithus,,sp.,,,,,87863.0,Eiffellithus,genus,Eiffellithus sp.
Eiffellithus turriseiffelii,Eiffellithus turriseiffelii,,,nannofossils,,,,,Eiffellithus,,turriseiffelii,,,,,88562.0,Eiffellithus turriseiffelii,species,Eiffellithus turriseiffelii
Eiffellithus vonsalisiae,Eiffellithus vonsalisiae,,,nannofossils,,,,,Eiffellithus,,vonsalisiae,,,,,88561.0,Eiffellithus vonsalisiae,species,Eiffellithus vonsalisiae
Ellipsolithus bollii,Ellipsolithus bollii,,,nannofossils,,,,,Ellipsolithus,,bollii,,,,,424492.0,Ellipsolithus,genus,Ellipsolithus bollii
Ellipsolithus distichus,Ellipsolithus distichus,,,nannofossils,,,,,Ellipsolithus,,distichus,,,,,424492.0,Ellipsolithus,genus,Ellipsolithus distichus
Ellipsolithus macellus,Ellipsolithus macellus,,,nannofossils,,,,,Ellipsolithus,,macellus,,,,,424492.0,Ellipsolithus,genus,Ellipsolithus macellus
