taxon,taxon_group,name,pbdb_taxon_id,pbdb_taxon_name,pbdb_taxon_rank,normalized_name
Streptochilus sp.,planktic foraminfera,,2624.0,Streptochilus,genus,
Antarctissa equiceps,radiolarians,,,,,
Ericsonia ovalis,nannofossils,,,,,
Heliolithus concinnus,nannofossils,,,,,
Globigerinita riveroae,planktic foraminfera,,,,,
Robulus nuttalli,benthic foraminifera,,,,,
Hastigerina adamsi,planktic foraminfera,,,,,
Spongodiscus resurgens osculosa,radiolarians,,,,,
Coscinodiscus superbus,diatoms,,,,,
Rhabdosphaera crebra,nannofossils,,,,,
Coscinodiscus occulus-iridis,diatoms,,,,,
Stephanodiscus prohantzschii,diatoms,,,,,
Diacanthocapsa amphora,radiolarians,,,,,
Pyrgodiscus triangulatus,diatoms,,,,,
Anthocorys akitaensis,radiolarians,,,,,
Biddulphia pulchela,diatoms,,,,,
Pyrgo forhasini,benthic foraminifera,,,,,
Bulimina affecta,benthic foraminifera,,,,,
Thecosphaera larnacium,radiolarians,,,,,
Bolivinopsis tubensis,benthic foraminifera,,,,,
Cannartus mammiferus,radiolarians,,,,,
Chiphragmalithus mexicanus,nannofossils,,,,,
Lituotuba sp.,benthic foraminifera,,1784.0,Lituotuba,genus,
Spirillina vivipara,benthic foraminifera,,,,,
Ellipsoglanoulina sp.,benthic foraminifera,,,,,
Gephyrocapsa lumina,nannofossils,,,,,
Cymatosira coronata,diatoms,,,,,
Umbilicosphaera sp.(q),nannofossils,,,,,
Cibicidoides subcandidulus,benthic foraminifera,,,,,
Spongosphaera streptacantha,radiolarians,,,,,
Lithamphora sp.(q),radiolarians,,,,,
Hystrichosphaera ramosa ramosa,dinoflagellates,,,,,
Globorotalia nkbrownii,planktic foraminfera,,,,,
Proteacidites subscabratus,pollen,,277162.0,Proteacidites subscabratus,species,
Discoaster germanicus,nannofossils,,,,,
Fursenkoina californiensis,benthic foraminifera,,,,,
Discoaster brouweri rutellus,nannofossils,,,,,
Podocyrtis ampla fasciolata,radiolarians,,,,,
Lychnocanoma sphaerothorax,radiolarians,,,,,
Archicircus rhombus,radiolarians,,,,,
Dentalina catenula,benthic foraminifera,,352077.0,Dentalina catenula,species,
Campylodiscus daemilianus,diatoms,,,,,
Dentalina spinosa,benthic foraminifera,,352090.0,Dentalina spinosa,species,
Pulleniatina spectabilis praespectabilis,planktic foraminfera,,,,,
Lenticulina gutticostata cocodensis,benthic foraminifera,,,,,
Proteacidites retiformis,pollen,,286023.0,Proteacidites retiformis,species,
Lejeunia hyalina,dinoflagellates,,410315.0,Lejeunia hyalina,species,
Cymatiosphaera eupeplos,dinoflagellates,,327864.0,Cymatiosphaera eupeplos,species,
Rhaphoneis pontica,diatoms,,,,,
Chiloguembelina criniata,planktic foraminfera,,,,,
Turborotalia euapertura,planktic foraminfera,,,,,
Stichodiscus californicus,diatoms,,,,,
Pemmatoides papillum,nannofossils,,,,,
Distephanus speculum speculum nonarius,silicoflagellates,,,,,
Litharachnium tenthorium,radiolarians,,,,,
Vaginulinopsis mexicana,benthic foraminifera,,,,,
Marginulina subbullata,benthic foraminifera,,153341.0,Marginulina subbullata,species,
Ceratobulimina ovoidea,benthic foraminifera,,,,,
Spongotrochus cruciferus,radiolarians,,,,,
Distephanus norvegiensis,silicoflagellates,,,,,
Cladogramma jordani,diatoms,,,,,
Quinqueloculina ersaconica,benthic foraminifera,,,,,
Pterygocythereis sp.(q),ostracod,,,,,
Woodringia hornerstownensis,planktic foraminfera,,,,,
Pontosphaera scutellum,nannofossils,,,,,
Corbisema inermis disymmetrica,silicoflagellates,,,,,
Schizocolpus marlinensis,pollen,,,,,
Pseudopolymorphina liqua,benthic foraminifera,,,,,
Lipmanella lithomelissa amazon,radiolarians,,,,,
Cannopilus binoculus,silicoflagellates,,,,,
Gavelinella barremiana,benthic foraminifera,,,,,
Dictyocha messanensis stapedia stapedia,silicoflagellates,,,,,
Helicopontosphaera ampliaperta,nannofossils,,,,,
Rzehakina epigona lata,benthic foraminifera,,,,,
Perichlamidium limbatum,radiolarians,,,,,
Compositae,pollen,,54741.0,Compositae,family,
Subbotina pseudobulloides,planktic foraminfera,,,,,
Distephanus speculum s.l.,silicoflagellates,,,,,
Globigerinoides transitorius,planktic foraminfera,,,,,
Theocotyle robusta,radiolarians,,,,,
Calcidiscus kingii,nannofossils,,,,,
Helicopontosphaera recta,nannofossils,,,,,
Anomalinoides globulosa,benthic foraminifera,,,,,
Gyroidina depressa,benthic foraminifera,,,,,
Globigerinoides cyclostoma,planktic foraminfera,,,,,
Paracytheridae neolongicaudata,ostracod,,,,,
Discoaster brouweri s.ampl.,nannofossils,,,,,
Catapsydrax gortanii gortanii,planktic foraminfera,,,,,
Guttulina caudita,benthic foraminifera,,,,,
Theocalyptra bicornis spongothorax,radiolarians,,,,,
Pseudodimerogramma elliptica,diatoms,,,,,
Boldia cushmani,benthic foraminifera,,,,,
Globorotalia margaritae margaritae,planktic foraminfera,,,,,
Tricolospyris sp.,radiolarians,,85875.0,Tricolospyris,genus,
Tilia sp.,pollen,,56055.0,Tilia,genus,
Islandiella helenae,benthic foraminifera,,,,,
Globorotalia venezuelana,planktic foraminfera,,,,,
Hemiaulus hastatus,diatoms,,,,,
Rucinolithus irregularis(q),nannofossils,,,,,
Cymatosira compacta,diatoms,,,,,
Globigerina munda,planktic foraminfera,,,,,
Discoaster extensus,nannofossils,,,,,
Distephanus speculum brevispina,silicoflagellates,,,,,
Globorotalia pseudopachyderma,planktic foraminfera,,,,,
Leguminosae,pollen,,54652.0,Leguminosae,family,
Stylosphaera angelina,radiolarians,,,,,
Globigerina eggeri eggeri,planktic foraminfera,,,,,
Discoaster bramlettei,nannofossils,,,,,
Pyrgupyxis sp.,diatoms,,,,,
Anaulus incisus,diatoms,,,,,
Paramesocena apiculata,silicoflagellates,,,,,
Globorotalia magnifica,planktic foraminfera,,,,,
Discoaster brouweri brouweri,nannofossils,,,,,
Tricolospyris leibnitziana,radiolarians,,,,,
Sigmavirgulina torqueata,benthic foraminifera,,,,,
Fabiana sp.,benthic foraminifera,,,,,
Lenticulina terryi,benthic foraminifera,,,,,
Dacrydiumites sp.,pollen,,277342.0,Dacrydiumites,genus,
Discolithina sp.,nannofossils,,87709.0,Discolithina,genus,
Globoquadrina obesa,planktic foraminfera,,,,,
Trissocyclas sp.,radiolarians,,,,,
Globigerina bulloides bulloides,planktic foraminfera,,,,,
Arachnodiscus schmidti,diatoms,,,,,
Planorotalites ehrenbergi,planktic foraminfera,,,,,
Discolithina pulcheroides,nannofossils,,,,,
Distephanus octonarius,silicoflagellates,,,,,
Tasmanites sp.,dinoflagellates,,264674.0,Tasmanites,genus,
Globorotalia tumida plesiotumida,planktic foraminfera,,422448.0,Globorotalia tumida plesiotumida,subspecies,
Spongodiscus osculosus,radiolarians,,,,,
Hypericum,pollen,,345975.0,Hypericum,genus,
Dicksonia squarrosa,pollen,,,,,
Wichmannella sp.,ostracod,,427619.0,Henryhowella (Wichmannella),subgenus,
Corbisema hexacantha,silicoflagellates,,,,,
Lithocyclia sp.,radiolarians,,192.0,Lithocyclia,genus,
Zygrhablithus crassus,nannofossils,,,,,
Bolivinoides sp.,benthic foraminifera,,999.0,Bolivinoides,genus,
Marthasterites contortus,nannofossils,,,,,
Rotorbinella tholus,benthic foraminifera,,,,,
Dentalina inflexa,benthic foraminifera,,,,,
Saccospyris preantarctica,radiolarians,,,,,
Spiroclypeus higginsi,benthic foraminifera,,,,,
Trinacria sp.,diatoms,,71279.0,Trinacria,genus,
Dictyocha brevispina ausonia,silicoflagellates,,,,,
Globoquadrina venezuelana conglomerata,planktic foraminfera,,,,,
Globigerinoides amplus,planktic foraminfera,,,,,
Subbotina higginsi,planktic foraminfera,,,,,
Anomalina flintii,benthic foraminifera,,,,,
Globorotalia convexa,planktic foraminfera,,,,,
Thecosphaera sp.,radiolarians,,367.0,Thecosphaera,genus,
Botryocylinder sp.(q),radiolarians,,,,,
Cornutella clava,radiolarians,,,,,
Dendrospyris bursa,radiolarians,,,,,
Plectina elongata,benthic foraminifera,,,,,
Anomalina cicatricosus,benthic foraminifera,,,,,
Scapholithus fossilis,nannofossils,,88452.0,Scapholithus fossilis,species,
Petalospyris diaboliscus,radiolarians,,,,,
Globigerina microfoliata,planktic foraminfera,,,,,
Quinqueloculina nitida,benthic foraminifera,,,,,
Pyrocyclus orangensis,nannofossils,,,,,
Sphaeroidina sp.,benthic foraminifera,,2567.0,Sphaeroidina,genus,
Nodosaria okinoshimaensis,benthic foraminifera,,,,,
Reticulofenestra pseudoumbilica gelida,nannofossils,,,,,
Eucyrtidium biauritium,radiolarians,,,,,
Pterocorys hirundo,radiolarians,,,,,
Ceratolithus tricorniculatus group,nannofossils,,,,,
Proteacidites rectomarginis,pollen,,,,,
Thoracosphaera narena,nannofossils,,,,,
Globigerina regina,planktic foraminfera,,,,,
Dictyocha fischeri,silicoflagellates,,,,,
Globorotalia renzi,planktic foraminfera,,,,,
Entapium regulare,radiolarians,,,,,
Uvigerina sp. cf. macrocarinata,benthic foraminifera,,,,,
Haphlohermesium simplex,ebridians,,,,,
Globorotalia tadjikistanensis,planktic foraminfera,,,,,
Cannartus petterssoni,radiolarians,,,,,
Pontosphaera wechesensis,nannofossils,,,,,
Amphiplecta sp.,radiolarians,,85715.0,Amphiplecta,genus,
Sceptroneis talwanii,diatoms,,,,,
Plectofrondicularia jarvisi,benthic foraminifera,,,,,
Deflandrea speciosa,dinoflagellates,,,,,
Melosira hibschii,diatoms,,,,,
Nuttalides umbonifera,benthic foraminifera,,,,,
Globorotaloides trema,planktic foraminfera,,,,,
Globigerinoides ruber elongatus,planktic foraminfera,,,,,
Foliatiniscus folis,ebridians,,,,,
Hemiaulus taurus,diatoms,,,,,
Eucyrtidium clavertense,radiolarians,,,,,
Discoaster hillii,nannofossils,,,,,
Eucyrtidium orthoporus,radiolarians,,,,,
Lenticulina texana,benthic foraminifera,,,,,
Cardiospermium sp.,pollen,,,,,
Pontosphaera syracusana,nannofossils,,,,,
Naviculopsis ponticulata,silicoflagellates,,,,,
Nitzschia evenescens,diatoms,,,,,
Hemiaulus malleolus,diatoms,,,,,
Baculatisporites comaumensis,pollen,,252530.0,Baculatisporites comaumensis,species,
Orbulina universa universa,planktic foraminfera,,,,,
Woodringia sp.,planktic foraminfera,,313413.0,Woodringia,genus,
Ramulina aculeata,benthic foraminifera,,,,,
Transversopontis pulcheroides,nannofossils,,,,,
Globigerina eggeri multiloba,planktic foraminfera,,,,,
Globorotalia eastropacia,planktic foraminfera,,,,,
Grammatophora angulosa islandica,diatoms,,,,,
Leupoldina pustulans,benthic foraminifera,,,,,
Coccolithus productus,nannofossils,,,,,
Catapsydrax howei,planktic foraminfera,,,,,
Bolivina midwayensis,benthic foraminifera,,,,,
Melosira ornata,diatoms,,,,,
Cycladophora turris,radiolarians,,,,,
Cyclococcolithus reticulatus,nannofossils,,,,,
Xiphatractus brevispina,radiolarians,,,,,
Globigerinoides rubriformis,planktic foraminfera,,,,,
Hastigerina aequilateralis,planktic foraminfera,,422305.0,Hastigerina aequilateralis,species,
Dracodinium varilongituda,dinoflagellates,,,,,
Lipmanella tribranchiata,radiolarians,,,,,
Pemma rotundum,nannofossils,,412397.0,Pemma rotundum,species,
Reticulofenestra  sp.,nannofossils,,255392.0,Reticulofenestra,genus,
Globoquadrina quadraria,planktic foraminfera,,,,,
Lenticulina insulsa,benthic foraminifera,,,,,
Astronion gallowayi,benthic foraminifera,,,,,
Dictyocha alta,silicoflagellates,,,,,
Clathrocanium sp.,radiolarians,,85900.0,Clathrocanium,genus,
Neobulimina sp.,benthic foraminifera,,1908.0,Neobulimina,genus,
Hemiaulus giganteus,diatoms,,,,,
Globorotalia figiensis,planktic foraminfera,,,,,
Asterolampra affinis,diatoms,,,,,
Impagidinium simplicia,dinoflagellates,,,,,
Globigerina hexagona,planktic foraminfera,,422316.0,Globigerina hexagona,species,
Discoaster toralus,nannofossils,,,,,
Hexagonifera chlamydata,dinoflagellates,,325716.0,Hexagonifera chlamydata,species,
Kozloviella minor,diatoms,,,,,
Ammotium cassis,benthic foraminifera,,240805.0,Ammotium cassis,species,
Fagus sp.,pollen,,55969.0,Fagus,genus,
Globigerina megastoma cariacoensis,planktic foraminfera,,,,,
Chiphragmalithus austriacus,nannofossils,,,,,
Globotruncana elevata elevata,planktic foraminfera,,,,,
Asterolampra punctifera,diatoms,,,,,
Lapideacassis trispina,nannofossils,,,,,
Globorotalia chapmanni,planktic foraminfera,,,,,
Globorotalia margaritae primitiva,planktic foraminfera,,,,,
Rylandsia inaequiradiata,diatoms,,,,,
Biantholithus sp.,nannofossils,,424468.0,Biantholithus,genus,
Huttonia virgata,diatoms,,,,,
Globigerinatheka mexicana kugleri,planktic foraminfera,,,,,
Globanomalina pseudoscitula,planktic foraminfera,,,,,
Rosceae,pollen,,,,,
Parsonsidites psilatus,pollen,,252766.0,Parsonsidites psilatus,species,
Theocorys japonica,radiolarians,,,,,
Fenestrella barbadensis,diatoms,,,,,
Spongodiscus phrix,radiolarians,,,,,
Thalassiosira uraholoensis,diatoms,,,,,
Turborotalia cerroazulensis pomeroli,planktic foraminfera,,,,,
Stilostomella aculeata,benthic foraminifera,,,,,
Dentalina frobisherensis,benthic foraminifera,,,,,
Pyrgupyxis johnsoniana,diatoms,,,,,
Dictyocha deflandrei(pentagonal),silicoflagellates,,,,,
Globigerina venezuelana,planktic foraminfera,,422292.0,Globigerina venezuelana,species,
Globigerina boweri,planktic foraminfera,,,,,
Lenticulina miocenica,benthic foraminifera,,,,,
Coscinodiscus excentricus macropora,diatoms,,,,,
Discoaster robustus,nannofossils,,,,,
Coscinodiscus antiquum,diatoms,,,,,
Cussia paleacea,diatoms,,,,,
Trissocyclas elevata,radiolarians,,,,,
Stephanogonia hanzawae,diatoms,,,,,
Globorotalia panda,planktic foraminfera,,422444.0,Globorotalia panda,species,
Mesocena circulus apiculata,silicoflagellates,,,,,
Globotruncana petaloidea,planktic foraminfera,,381105.0,Globotruncana (Rugoglobigerina) petaloidea,species,
Asterionella sp.,diatoms,,,,,
Palaeonummulites sp.,benthic foraminifera,,,,,
Epistominella umboniformis,benthic foraminifera,,,,,
Catapsydrax dissimilis ciperoensis,planktic foraminfera,,,,,
Quadrum gothicum,nannofossils,,,,,
Lagena vulgaris,benthic foraminifera,,202019.0,Lagena vulgaris,species,
Chaetoceros gastridium,diatoms,,,,,
Reticulofenestra minutulus,nannofossils,,,,,
Lithodesmium reynoldsii,diatoms,,,,,
Polysolenia murrayana,radiolarians,,,,,
Rocella schraderi,silicoflagellates,,,,,
Gladius pacificus,diatoms,,,,,
Rectuvigerina kleinpelli,benthic foraminifera,,,,,
Coscinodiscus globosus,diatoms,,,,,
Thalassiosira lacustris,diatoms,,,,,
Trifarina berberti,benthic foraminifera,,,,,
Thoracosphaera saxea,nannofossils,,,,,
Bitectatodinium tepikiense,dinoflagellates,,,,,
Pterotheca uralensis,diatoms,,,,,
Amphisphaera santaennae,radiolarians,,,,,
Rhizosolenia palliola,diatoms,,,,,
Spiniferites bentorii,dinoflagellates,,,,,
Globigerinita martini,planktic foraminfera,,,,,
Protobotellina cyclindica,benthic foraminifera,,,,,
Plectofrondicularia foliacea,benthic foraminifera,,,,,
Cyclonephelium sp.,dinoflagellates,,276959.0,Cyclonephelium,genus,
Theocamptra ovata,radiolarians,,,,,
Globorotalia pachytheca,planktic foraminfera,,,,,
Chaetoceros subsecundus,diatoms,,,,,
Sethopilium macropus,radiolarians,,,,,
Hazelina sp.,ostracod,,24140.0,Hazelina,genus,
Eurydinium sp.,dinoflagellates,,,,,
Cibicides westi,benthic foraminifera,,,,,
Thalassiosira convexa aspinosa,diatoms,,,,,
Klukisporites,pollen,,252482.0,Klukisporites,genus,
Bolivinoides delicatula,benthic foraminifera,,,,,
Marginulinopsis hochstetteri,benthic foraminifera,,,,,
Astromma sp.,radiolarians,,33.0,Astromma,genus,
Ephedra sp.,pollen,,251997.0,Ephedra,genus,
Micrantholithus basquensis,nannofossils,,,,,
Micromarsupium anceps,ebridians,,410977.0,Micromarsupium anceps,species,
Thalassiosira makarovae,diatoms,,,,,
Caryophyllaceae,pollen,,53554.0,Caryophyllaceae,family,
Alchornea sp.,pollen,,,,,
Siphotextularia heterostoma,benthic foraminifera,,,,,
Denticula miocenica,diatoms,,,,,
Acarinina uncinata,planktic foraminfera,,,,,
Osmundacidites wellmanii,pollen,,252480.0,Osmundacidites wellmanii,species,
Trifarina earlandi,benthic foraminifera,,,,,
Scampanella bispinosa,nannofossils,,88041.0,Scampanella bispinosa,species,
Heterostegina suborbicularis,benthic foraminifera,,,,,
Cytherura miii,ostracod,,,,,
Pseudodictyophimus sp.,radiolarians,,85747.0,Pseudodictyophimus,genus,
Homozygosphaera wettsteinii,nannofossils,,,,,
Cymatosira cornuta,diatoms,,,,,
Dentalina cooperensis,benthic foraminifera,,352080.0,Dentalina cooperensis,species,
Globotruncana stuarti,planktic foraminfera,,,,,
Robustaurila ishizakii,ostracod,,,,,
Nothofagidites cranwellae,pollen,,278269.0,Nothofagidites cranwellae,species,
Periphaena dupla,radiolarians,,,,,
Mastogloia brauni,diatoms,,,,,
Keteeleria sp.,pollen,,,,,
Robulus alato limbatus,benthic foraminifera,,,,,
Sphaeroidinellopsis subdehiscens nepenthes,planktic foraminfera,,,,,
Ellipsolithus lajollaensis,nannofossils,,,,,
Asterolampra distincta,diatoms,,,,,
Cassidulina subglobosa horizontalis,benthic foraminifera,,,,,
Bolivina gasparensis,benthic foraminifera,,,,,
Discanomalina semiipunctata,benthic foraminifera,,,,,
Cannartus sp.,radiolarians,,50.0,Cannartus,genus,
Rhizosolenia curvatulus,diatoms,,,,,
Coccolithus orangensis,nannofossils,,,,,
Apectodinium sumissum,dinoflagellates,,,,,
Tosaia sp.,benthic foraminifera,,2695.0,Tosaia,genus,
Bolivina subadvena sulphrensis,benthic foraminifera,,,,,
Reticulofenestra gartneri,nannofossils,,,,,
Globorotalia albeari,planktic foraminfera,,,,,
Robertina sp.,benthic foraminifera,,2422.0,Robertina,genus,
Praeorbulina sicanus,planktic foraminfera,,,,,
Lithomitra arachnea,radiolarians,,,,,
Xanthiopyxis papillosus,diatoms,,,,,
Zygodiscus adamas,nannofossils,,,,,
Nubecularia novorossica,benthic foraminifera,,,,,
Globorotalia peripheroronda,planktic foraminfera,,82239.0,Globorotalia peripheroronda,species,
Globorotalia tumida tumida,planktic foraminfera,,,,,
Globorotalia brevispina,planktic foraminfera,,,,,
Subbotina boweri,planktic foraminfera,,,,,
Marginulina scitula,benthic foraminifera,,,,,
Globorotalia danica,planktic foraminfera,,,,,
Opephora gemmata,diatoms,,,,,
Dictyocha fibula augusta,silicoflagellates,,,,,
Distephanus speculum minutus,silicoflagellates,,,,,
Asteromphalus affinis,diatoms,,,,,
Stylatractus ostracion,radiolarians,,,,,
Impagidinium strialatum,dinoflagellates,,,,,
Cruciplacolithus neohelis,nannofossils,,,,,
Pullenia quadriloba,benthic foraminifera,,,,,
Deflandrius cretaceus,nannofossils,,,,,
Thamnospyris schizopodia,radiolarians,,,,,
Globorotalia hirsuta hirsuta,planktic foraminfera,,82234.0,Globorotalia hirsuta hirsuta,subspecies,
Zygolithus protenus,nannofossils,,,,,
Carpocanistrum azyx,radiolarians,,,,,
Valvulina hoeringensis,benthic foraminifera,,,,,
Coscinodiscus salisburyanus,diatoms,,,,,
Amphiplecta acrostoma,radiolarians,,,,,
Naviculopsis constricta s.ampl.,silicoflagellates,,,,,
Archaeodictyomitra regina,radiolarians,,,,,
Myrtaceidites parvus,pollen,,,,,
Discoaster misconceptus,nannofossils,,,,,
Cenosphaera minuta,radiolarians,,,,,
Planorotalites reissi,planktic foraminfera,,,,,
Eunotogammma weissa producta,diatoms,,,,,
Globigerinoides siphonifera,planktic foraminfera,,,,,
Carpocanistrum cristatum,radiolarians,,,,,
Globorotalia fohsi lobata,planktic foraminfera,,,,,
Scyphosphaera campanula,nannofossils,,,,,
Dentalina tauricornus,benthic foraminifera,,,,,
Globotruncana stuartiformis,planktic foraminfera,,,,,
Nephrolepidina sumatrensis,benthic foraminifera,,,,,
Brizalina acuminata,benthic foraminifera,,,,,
Rhizosolenia paleacea,diatoms,,,,,
Heterolepa grimsdalei,benthic foraminifera,,,,,
Orthomorphina glandigena,benthic foraminifera,,,,,
Pterotheca major,diatoms,,,,,
Turborotalia prolata,planktic foraminfera,,,,,
Globigerina altiapertura,planktic foraminfera,,,,,
Entosolenia sp.,benthic foraminifera,,202034.0,Entosolenia,genus,
Globorotalia crassaformis hessi,planktic foraminfera,,,,,
Chaetoceros furcellatus,diatoms,,,,,
Cibicides pachydermus,benthic foraminifera,,,,,
Globorotalia gratata,planktic foraminfera,,,,,
Dictyocha dickii,silicoflagellates,,,,,
Rhizosolenia praebarboi,diatoms,,,,,
Thalassiosira spinosa aspinosa,diatoms,,,,,
Globorotalia acarinata,planktic foraminfera,,,,,
Paradictyocha polyactis,silicoflagellates,,,,,
Cibicidoides cookei,benthic foraminifera,,,,,
Stephanodiscus kanitzii,diatoms,,,,,
Anriculosphaera umbracula,dinoflagellates,,,,,
Carya sp.,pollen,,54583.0,Carya,genus,
Rhaphoneis angulata,diatoms,,,,,
Globorotalia binaiensis,planktic foraminfera,,,,,
Coscinodiscus anguste-lineatus,diatoms,,,,,
Valvulineria vilardeboana,benthic foraminifera,,,,,
Galium sp.,pollen,,322021.0,Galium,genus,
Neochiastozygus sapes,nannofossils,,,,,
Distephanus quinquangellus,silicoflagellates,,,,,
Discoaster cruciformis,nannofossils,,,,,
Deflandrea granulata,dinoflagellates,,,,,
Lagena scissa,benthic foraminifera,,,,,
Coscinodiscus gigas diorama,diatoms,,,,,
Cannartus tetrathalmus,radiolarians,,,,,
Hedbergella infracretacea,planktic foraminfera,,,,,
Miliolinella irregularis,benthic foraminifera,,,,,
Subbotina gortanii s. s.,planktic foraminfera,,,,,
Lyramula deflandrei,silicoflagellates,,,,,
Robulus oblonga,benthic foraminifera,,,,,
Triquetrorhabdulus inversus,nannofossils,,,,,
Bekomiforma mynx,radiolarians,,,,,
Spongodiscus quartus quartus,radiolarians,,,,,
Nothofagidites asperus,pollen,,280105.0,Nothofagidites asperus,species,
Crytomeria,pollen,,,,,
Pullenia subspherica,benthic foraminifera,,,,,
Dictyocha stapedia,silicoflagellates,,,,,
Uvigerina baggi,benthic foraminifera,,,,,
Cannartus penultimus,radiolarians,,,,,
Dictyophimus babylonis,radiolarians,,152612.0,Dictyophimus babylonis,species,
Melosira vetustissima,diatoms,,,,,
Rhopalastrum oraculibrachium,radiolarians,,,,,
Ebriopsis aplanata,ebridians,,,,,
Spiniferites ramosus ramosus,dinoflagellates,,323939.0,Spiniferites ramosus ramosus,subspecies,
Entosolenia orbignyana,benthic foraminifera,,,,,
Dictyocha calida calida,silicoflagellates,,,,,
Globigerina soldadensis,planktic foraminfera,,,,,
Lithamphora corbula,radiolarians,,,,,
Thalassiosira umaoiensis,diatoms,,,,,
Orbulina universa parkerae,planktic foraminfera,,,,,
Macrora stella,diatoms,,,,,
Dicolocapsa microcephala,radiolarians,,,,,
Thalassiosira zabelinae,diatoms,,,,,
Peponia barbadensis,diatoms,,,,,
Phormostichoartus corona,radiolarians,,,,,
Nutallides crassaformis-truempyi,benthic foraminifera,,,,,
Turborotalia acrostoma,planktic foraminfera,,,,,
Gyroidinoides girardana,benthic foraminifera,,,,,
Globigerina ciperoensis ciperoensis,planktic foraminfera,,,,,
Globigerina decoraperta decoraperta,planktic foraminfera,,,,,
Globigerinoides trilobus bisphericus,planktic foraminfera,,,,,
Gyroidina nitida,benthic foraminifera,,,,,
Cannopilus heptacanthus heptacanthus,silicoflagellates,,,,,
Rhaphoneis interposita,diatoms,,,,,
Globoquadrina advena,planktic foraminfera,,,,,
Thalassionema claviformis,diatoms,,,,,
Dracodinium solidum,dinoflagellates,,407903.0,Dracodinium solidum,species,
Elphidium pulvereum,benthic foraminifera,,,,,
Planorotalites planoconicus,planktic foraminfera,,,,,
Dictyospyris gigas,radiolarians,,,,,
Lipmanella dogieli,radiolarians,,,,,
Corbisema triacantha convexa,silicoflagellates,,,,,
Turborotalia pseudokugleri,planktic foraminfera,,,,,
Oridorsalis multiseptus,benthic foraminifera,,,,,
Circodiscus ellipticus,radiolarians,,,,,
Buxus sempervirens,pollen,,,,,
Ebriopsis cornuta,ebridians,,,,,
Dapsilidinium simplex,dinoflagellates,,,,,
Trigonastrum sp.,radiolarians,,84849.0,Trigonastrum,genus,
Lithomelissa mitra,radiolarians,,,,,
Coccolithus bisulcus,nannofossils,,,,,
Miliammina fusca,benthic foraminifera,,,,,
Toweius craticulus,nannofossils,,,,,
Cancris subconicus,benthic foraminifera,,,,,
Mesocena quadrangula s.ampl,silicoflagellates,,,,,
Coscinodiscus payeri,diatoms,,,,,
Tympanidium foliosum,radiolarians,,,,,
Ceratolithus amplificus,nannofossils,,388318.0,Ceratolithus amplificus,species,
Lophophaena cylindrica,radiolarians,,,,,
Palaeocyctodium golzowense,dinoflagellates,,,,,
Actinomma beroes,radiolarians,,,,,
Ammodiscus glabratus,benthic foraminifera,,,,,
Bathropyramis scalaris,radiolarians,,,,,
Globoquadrina tripartita tripartita,planktic foraminfera,,,,,
Denticulopsis kanayae,diatoms,,,,,
Bolivina humilis,benthic foraminifera,,,,,
Globorotalia fohsi peripheroacuta,planktic foraminfera,,,,,
Globorotalia obliquiloculata,planktic foraminfera,,,,,
Globorotalia schachdagica,planktic foraminfera,,,,,
Rhizophora sp.,pollen,,424606.0,Rhizophora,genus,
Thalassiosira domifacia,diatoms,,,,,
Pterocanium satelles,radiolarians,,,,,
Actinommura sp.,radiolarians,,,,,
Globigerina nepenthes nepenthes,planktic foraminfera,,,,,
Lycopodiumsporites rosewoodensis,pollen,,308612.0,Lycopodiumsporites rosewoodensis,species,
Stensioina sp.,benthic foraminifera,,,,,
Hyalodiscus subtilis,diatoms,,,,,
Morozovella woodi,planktic foraminfera,,,,,
Reticulofenestra sp.,nannofossils,Reticulofenestra sp.,255392.0,Reticulofenestra,genus,
Acarinina nicoli,planktic foraminfera,,,,,
Rocella schraderi,diatoms,,,,,
Archipilium macropus,radiolarians,,,,,
Naviculopsis ponticula spinosa,silicoflagellates,,,,,
Globigerina venezuelana s.l.,planktic foraminfera,,,,,
Valvulina humilis,benthic foraminifera,,,,,
Foraminisporis sp.,pollen,,276559.0,Foraminisporis,genus,
Ommatartus hughesi,radiolarians,,,,,
Naviculopsis quadrata s.ampl.,silicoflagellates,,,,,
Blackites spinosis,nannofossils,,,,,
Globorotalia opima nana,planktic foraminfera,,,,,
Krithe cita,ostracod,,,,,
Globorotalia praemenardi praemenardi,planktic foraminfera,,,,,
Odontella fimbriata,diatoms,,,,,
Discoaster desueta,nannofossils,,,,,
Botryopyle dictyocephalus,radiolarians,,,,,
Aragonia capdevilensis,benthic foraminifera,,,,,
Tytthodiscus sp.,dinoflagellates,,416186.0,Tytthodiscus,genus,
Uvigerina wanzea,benthic foraminifera,,,,,
Theocorythium trachelium dianae,radiolarians,,,,,
Cyclococcolithina protoannula,nannofossils,,,,,
Giraffospyris laterispina,radiolarians,,,,,
Vallacerta quadrata,silicoflagellates,,,,,
Biscutum romeinii,nannofossils,,,,,
Praeglobobulimina auriculata,benthic foraminifera,,,,,
Dictyocha sp.(q),silicoflagellates,,,,,
Hemiaulus altar,diatoms,,,,,
Bachmannocena venusta,silicoflagellates,,,,,
Cribroelphidium poeyanum,benthic foraminifera,,241517.0,Cribroelphidium poeyanum,species,
Pullenia quinqueloba angusta,benthic foraminifera,,,,,
Uvigerina hootsi,benthic foraminifera,,,,,
Globigerinita glutinata parkerae,planktic foraminfera,,,,,
