Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Stilostomella antillea	Pullenia subcarinata	Pullenia bulloides	Oridorsalis umbonatus	Nuttallides umbonifera	Lagena spp.	Heronallenia crosbyi	Hanzawaia spp.	Gyroidina spp.	Gyroidina soldanii	Gavelinopsis cf. prageri	Fissurina spp.	Eponides weddellensis	Epistominella exigua	Eggerella bradyi	Cibicidoides mundulus	Cassidulina subglobosa	Cassidulina laevigata	Bulimina alazanensis	Bolivinita trunctum	Bolivina pseudoplicata	Turrila spp.	Trifarina angulosa	Tosaia hanzawai	Stilostomella spp.	Siphotextularia rolshauseni	Nonion spp.	Neoconorbina spp.	Fursenkoina pontoni	Elphidium spp.	Discorbinella spp.	Brizalina spathulata	Bolivinita spp.	Bolivina inflata	Pleurostomella spp.	Oolina spp.	Lenticulina spp.	Lamarckina spp.	Dentalina spp.	Bulimina spp.	Quinqueloculina seminulum	Nonion barleeanum	Hopkinsina spp.	Gyroidina polius	Fursenkoina fusiformis	Cibicidoides robertsonianus	Uvigerina spp.	Miliolid taxa	Florilus spp.	Bolivina pygmaea	Sigmoilina tenuis	Globobulimina auriculata	Eponides tumidulus	Stilostomella bradyi	Stetsonia arctica	Quinqueloculina stalkeri	Pyrgo williamsoni	Gyroidina orbicularis	Cibicides wuellerstorfi	Trifarina fluens	Nonion auriculata	Gavelinopsis translucens	Bulimina marginata	Bolivina decussata	Valvulineria arctica	Patellina corrugata	Elphidium excavatum	Discorbis spp.	Brizalina lowmani	Bolivina subspinescens	Astrononion gallowayi	Anomalina globulosa	Glabratella spp.	Gavelinopsis lobatulus	Elphidium crispum	Cibicides lobatulus	Nonionella atlantica	Spiroloculina spp.	Brizalina pseudopunctata	Haynesina orbiculare	Epistominella takayanagii	Elphidium discoidale	Ammodiscoides japonicus	Ophthalmidium pusillum	Planulina ariminensis	Nonionella turgida	Cassidulina spp.	Bolivina arctica	Valvulineria laevigata	Fursenkoina pauciloculata	Pseudopolymorphina novangliae	Karreriella bradyi	Pyrgo murrhyna	Buliminella elegantissima	Elphidium poeyanum	Cyclogyra involvens	Brizalina subaenariensis	Uvigerina peregrina	Elphidium advenum	Planorbulina mediterreansis	Eoeponides pulchella	Elphidium gunteri	Elphidium galvestonense	Ammobaculites agglutinans	Rosalina columbiensis	Glabratella wrightii	Anomalina spp.	Ammonia beccarii	Bulimina striata	Sigmoilopsis schlumbergeri	Quinqueloculina agglutinans	Hoeglundina elegans	Triloculina tricarinata	Textularia conica	Rosalina floridana	Hyalina balthica	Comment

  SR	                 	                 	                  	              	149	 898	A	  4	H	 3	  17.00	     31.3700	Collins  	Benthic Foraminifers                         	               	                  	                      	                    	9.0%              	                     	.3%                   	           	                    	              	              	                  	                        	              	2.1%                 	                    	                	                     	                      	10.7%                	                    	                   	                      	            	                  	               	                  	                           	           	                 	                   	              	                  	                    	               	                	                   	           	                	               	              	             	1.8%                     	                 	               	2.7%            	                      	                           	              	             	1.2%         	                	                 	                        	15.2%             	                    	                 	                        	                 	                     	                       	                	2.7%             	                        	                  	                  	                    	                   	                   	.6%           	                 	                      	                     	                   	                	                      	                 	2.7%               	                    	1.5%              	                        	                    	3.6%                     	                    	                       	1.2%                  	                     	2.1%              	                	                	                      	                         	.6%                          	.6%               	1.2%          	.3%                      	                  	                   	                        	                   	                 	                           	29.0%               	                 	                       	                         	                     	                    	              	8.7%            	                	2.1%                      	.3%                        	                   	                       	                 	                  	                	1787 Total individuals/10 cm3. 4.3% Reworked foraminifers. from 149 SR. Chapter 9. Table 1. pages 221-228.

  SR	                 	                 	                  	              	149	 898	A	  4	H	 4	  17.00	     32.8700	Collins  	Benthic Foraminifers                         	               	                  	                      	                    	.4%               	                     	                      	           	                    	              	              	                  	                        	              	                     	1.6%                	                	                     	                      	19.9%                	.4%                 	                   	.8%                   	            	1.2%              	               	                  	                           	           	                 	2.4%               	              	.8%               	                    	               	                	                   	           	                	               	              	             	                         	                 	               	.4%             	                      	                           	              	             	             	                	                 	                        	4.0%              	                    	                 	                        	                 	                     	                       	                	                 	                        	                  	                  	                    	                   	                   	              	                 	                      	                     	                   	                	3.6%                  	                 	                   	                    	                  	7.2%                    	                    	                         	4.4%                	                       	                      	                     	1.6%              	33.9%           	2.0%            	4.4%                  	                         	                             	                  	              	4.8%                     	                  	                   	                        	                   	2.0%             	                           	                    	3.6%             	                       	                         	                     	                    	              	.8%             	                	                          	                           	                   	                       	                 	                  	                	2677 Total individuals/10 cm3. 4.4% Reworked foraminifers. from 149 SR. Chapter 9. Table 1. pages 221-228.

  SR	                 	                 	                  	              	149	 898	A	  4	H	 5	  95.00	     35.1500	Collins  	Benthic Foraminifers                         	               	                  	                      	7.0%                	2.0%              	2.0%                 	4.7%                  	1.3%       	                    	              	              	5.4%              	                        	2.0%          	6.4%                 	26.4%               	.3%             	                     	10.0%                 	                     	                    	                   	                      	            	                  	2.0%           	                  	2.0%                       	           	                 	                   	              	                  	                    	               	                	                   	           	                	               	              	             	                         	                 	               	                	3.7%                  	                           	              	             	             	                	                 	                        	6.0%              	                    	                 	1.3%                    	.7%              	                     	3.3%                   	                	                 	                        	.7%               	                  	                    	                   	                   	              	2.0%             	                      	                     	10.7%              	                	                      	                 	                   	                    	                  	                        	                    	                         	                    	                       	                      	                     	                  	                	                	                      	                         	                             	                  	              	                         	                  	                   	                        	                   	                 	                           	                    	                 	                       	                         	                     	                    	              	                	                	                          	                           	                   	                       	                 	                  	                	2453 Total individuals/10 cm3. from 149 SR. Chapter 9. Table 1. pages 221-228.

  SR	                 	                 	                  	              	149	 898	A	  4	H	 6	  44.00	     36.1400	Collins  	Benthic Foraminifers                         	               	                  	                      	3.7%                	                  	3.4%                 	                      	.4%        	                    	              	              	4.1%              	                        	2.6%          	65.3%                	4.9%                	.4%             	                     	                      	                     	                    	                   	                      	            	                  	               	                  	.7%                        	           	                 	                   	              	                  	                    	               	                	                   	           	                	               	.4%           	             	                         	                 	               	                	3.0%                  	                           	              	             	             	                	                 	.4%                     	3.4%              	                    	3.4%             	.7%                     	                 	                     	2.2%                   	                	                 	                        	                  	                  	                    	                   	                   	              	.4%              	                      	                     	.4%                	                	                      	                 	                   	                    	                  	                        	                    	                         	                    	                       	                      	                     	                  	                	                	                      	                         	                             	.4%               	              	                         	                  	                   	                        	                   	                 	                           	                    	                 	                       	                         	                     	                    	              	                	                	                          	                           	                   	                       	                 	                  	                	1429 Total individuals/10 cm3. from 149 SR. Chapter 9. Table 1. pages 221-228.

  SR	                 	                 	                  	              	149	 898	A	  5	H	 1	  35.00	     38.0500	Collins  	Benthic Foraminifers                         	               	                  	                      	5.6%                	                  	.4%                  	                      	           	                    	              	              	1.3%              	                        	              	1.3%                 	.4%                 	                	                     	35.9%                 	8.7%                 	                    	                   	                      	            	                  	               	                  	                           	           	                 	                   	              	                  	1.3%                	               	                	                   	           	                	               	              	             	                         	                 	               	                	11.7%                 	                           	              	             	             	.4%             	                 	1.3%                    	                  	                    	1.3%             	                        	                 	                     	.4%                    	3.0%            	                 	                        	                  	4.3%              	                    	                   	                   	              	10.8%            	                      	.9%                  	1.7%               	                	                      	                 	4.3%               	                    	                  	.9%                     	                    	                         	                    	                       	                      	                     	2.2%              	                	                	.4%                   	                         	                             	                  	              	                         	.4%               	                   	                        	                   	                 	                           	                    	                 	                       	                         	                     	                    	              	                	.4%             	                          	                           	                   	                       	                 	                  	                	18480 Total individuals/10 cm3. 0.4% Reworked foraminifers. from 149 SR. Chapter 9. Table 1. pages 221-228.

  SR	                 	                 	                  	              	149	 898	A	  5	H	 2	 113.00	     40.3300	Collins  	Benthic Foraminifers                         	               	                  	                      	2.5%                	                  	61.5%                	                      	           	                    	              	              	1.1%              	                        	.4%           	11.9%                	                    	                	                     	1.8%                  	                     	                    	                   	                      	            	                  	.4%            	                  	                           	           	                 	                   	              	                  	                    	               	                	                   	           	                	               	.4%           	             	.4%                      	.4%              	               	                	6.5%                  	                           	              	             	             	                	                 	1.8%                    	                  	                    	6.1%             	1.4%                    	                 	                     	1.1%                   	                	                 	                        	                  	                  	.4%                 	                   	                   	              	                 	                      	                     	1.4%               	                	                      	                 	                   	                    	                  	                        	                    	                         	                    	                       	                      	                     	                  	                	                	                      	.7%                      	                             	                  	              	                         	                  	                   	                        	                   	                 	                           	                    	                 	                       	                         	                     	                    	              	                	                	                          	                           	                   	                       	                 	                  	                	1711 Total individuals/10 cm3. from 149 SR. Chapter 9. Table 1. pages 221-228.

  SR	                 	                 	                  	              	149	 898	A	  5	H	 3	  53.00	     41.2300	Collins  	Benthic Foraminifers                         	               	                  	                      	.4%                 	                  	1.2%                 	                      	           	                    	              	              	2.0%              	                        	1.2%          	                     	.8%                 	                	                     	25.5%                 	13.3%                	                    	                   	                      	            	                  	               	                  	                           	           	                 	                   	              	                  	5.1%                	               	                	                   	           	.4%             	               	              	             	1.6%                     	.8%              	               	                	                      	                           	              	             	             	.4%             	                 	                        	                  	.4%                 	                 	                        	                 	                     	10.6%                  	2.7%            	                 	2.4%                    	.8%               	1.6%              	                    	                   	                   	.4%           	5.5%             	                      	                     	                   	                	.4%                   	                 	12.9%              	                    	                  	                        	                    	.4%                      	                    	                       	                      	                     	                  	                	                	                      	                         	                             	                  	              	                         	4.7%              	                   	                        	                   	.8%              	                           	                    	.4%              	                       	                         	                     	                    	              	3.5%            	                	                          	                           	                   	                       	                 	                  	                	5440 Total individuals/10 cm3. from 149 SR. Chapter 9. Table 1. pages 221-228.

  SR	                 	                 	                  	              	149	 898	A	  5	H	 4	  31.00	     42.5400	Collins  	Benthic Foraminifers                         	               	                  	                      	1.6%                	                  	53.9%                	                      	           	                    	              	              	                  	                        	.8%           	11.8%                	                    	                	                     	4.1%                  	                     	                    	                   	                      	            	                  	               	                  	.8%                        	           	                 	                   	              	                  	                    	               	                	                   	1.2%       	                	               	              	             	.4%                      	                 	               	                	.4%                   	                           	              	             	             	                	                 	                        	                  	                    	17.6%            	                        	1.2%             	                     	2.4%                   	                	                 	                        	                  	                  	                    	                   	                   	              	                 	                      	                     	3.3%               	                	                      	                 	                   	                    	                  	                        	                    	                         	                    	                       	                      	                     	                  	                	                	                      	.4%                      	                             	                  	              	                         	                  	                   	                        	                   	                 	                           	                    	                 	                       	                         	                     	                    	              	                	                	                          	                           	                   	                       	                 	                  	                	5227 Total individuals/10 cm3. from 149 SR. Chapter 9. Table 1. pages 221-228.

  SR	                 	                 	                  	              	149	 898	A	  5	H	 5	  90.00	     44.6300	Collins  	Benthic Foraminifers                         	               	                  	                      	1.3%                	                  	                     	                      	.3%        	                    	              	              	.7%               	                        	2.3%          	                     	.3%                 	                	                     	14.0%                 	.7%                  	                    	                   	                      	            	                  	               	                  	                           	           	                 	                   	              	                  	5.0%                	               	                	                   	           	                	               	.7%           	             	                         	                 	               	                	32.6%                 	                           	              	             	             	.3%             	                 	                        	                  	                    	12.6%            	                        	                 	                     	13.0%                  	.7%             	                 	.7%                     	                  	1.3%              	5.0%                	                   	                   	              	3.7%             	                      	.3%                  	.3%                	                	                      	.3%              	                   	                    	                  	1.0%                    	                    	.3%                      	                    	                       	                      	                     	1.3%              	                	                	                      	                         	                             	                  	              	                         	                  	                   	                        	                   	                 	                           	                    	.3%              	                       	                         	                     	                    	              	                	                	                          	                           	                   	                       	                 	                  	                	376 Total individuals/10 cm3. 1% Reworked foraminifers. from 149 SR. Chapter 9. Table 1. pages 221-228.

  SR	                 	                 	                  	              	149	 898	A	  5	H	 7	  35.00	     47.1000	Collins  	Benthic Foraminifers                         	               	                  	                      	2.6%                	                  	7.0%                 	                      	.4%        	                    	              	              	1.1%              	                        	3.3%          	26.5%                	                    	                	                     	.7%                   	1.5%                 	                    	                   	                      	            	                  	               	                  	2.6%                       	           	                 	                   	              	                  	                    	               	                	                   	1.8%       	                	               	              	             	                         	.4%              	               	                	9.9%                  	                           	              	             	             	                	                 	                        	                  	                    	6.6%             	.7%                     	                 	                     	2.2%                   	.7%             	                 	                        	.4%               	.4%               	                    	                   	                   	              	.7%              	                      	                     	1.1%               	                	                      	                 	4.0%               	                    	                  	                        	                    	                         	                    	                       	                      	                     	                  	                	                	                      	24.6%                    	                             	                  	              	                         	.7%               	                   	                        	                   	                 	                           	                    	                 	                       	                         	                     	                    	              	                	                	                          	                           	                   	                       	                 	                  	                	363 Total individuals/10 cm3. from 149 SR. Chapter 9. Table 1. pages 221-228.

  SR	                 	                 	                  	              	149	 898	A	  6	H	 2	  83.00	     49.5400	Collins  	Benthic Foraminifers                         	               	                  	                      	2.2%                	                  	5.6%                 	                      	           	                    	              	              	                  	                        	              	4.5%                 	1.9%                	                	                     	29.1%                 	15.7%                	                    	                   	                      	            	                  	               	                  	                           	           	                 	                   	              	                  	3.7%                	               	                	                   	           	.4%             	               	.7%           	             	                         	.4%              	               	                	                      	                           	              	             	             	                	                 	                        	                  	.4%                 	                 	                        	                 	                     	.4%                    	.4%             	                 	5.2%                    	1.1%              	3.0%              	                    	                   	1.9%               	3.0%          	                 	                      	                     	                   	                	                      	                 	16.0%              	                    	                  	                        	                    	                         	1.1%                	                       	                      	                     	                  	                	                	                      	                         	                             	                  	              	                         	.4%               	                   	                        	                   	2.2%             	                           	                    	                 	                       	                         	                     	                    	              	                	                	                          	                           	                   	                       	                 	                  	                	1787 Total individuals/10 cm3. 0.7% Reworked foraminifers. from 149 SR. Chapter 9. Table 1. pages 221-228.

  SR	                 	                 	                  	              	149	 898	A	  6	H	 3	 131.00	     51.5200	Collins  	Benthic Foraminifers                         	               	                  	                      	5.0%                	.3%               	1.6%                 	4.1%                  	.9%        	                    	              	              	2.8%              	                        	1.9%          	31.3%                	20.7%               	.6%             	                     	8.8%                  	                     	                    	                   	                      	            	                  	1.9%           	                  	1.3%                       	           	                 	                   	              	                  	                    	               	                	                   	           	                	               	              	             	.6%                      	1.6%             	               	                	.3%                   	                           	              	             	             	                	                 	                        	3.1%              	                    	4.4%             	1.3%                    	1.6%             	                     	.6%                    	                	                 	                        	                  	                  	.6%                 	                   	                   	              	                 	                      	                     	3.4%               	                	                      	                 	                   	                    	                  	                        	                    	.6%                      	                    	                       	.3%                   	                     	                  	                	                	                      	                         	                             	                  	.3%           	                         	                  	                   	                        	                   	                 	                           	                    	                 	                       	                         	                     	                    	              	                	                	                          	                           	                   	                       	                 	                  	                	798 Total individuals/10 cm3. from 149 SR. Chapter 9. Table 1. pages 221-228.

  SR	                 	                 	                  	              	149	 898	A	  6	H	 3	 134.00	     51.5500	Collins  	Benthic Foraminifers                         	               	                  	                      	3.6%                	                  	1.6%                 	.8%                   	1.2%       	                    	              	              	2.0%              	                        	2.0%          	33.7%                	14.6%               	                	                     	1.2%                  	                     	                    	                   	.4%                   	            	                  	.4%            	                  	                           	           	                 	                   	              	                  	                    	               	                	                   	           	                	               	              	             	.4%                      	                 	               	                	8.0%                  	                           	              	             	             	                	                 	                        	1.2%              	                    	22.5%            	.8%                     	                 	.8%                  	.4%                    	                	                 	                        	                  	                  	.4%                 	                   	                   	              	.8%              	                      	                     	2.8%               	                	                      	                 	                   	                    	                  	                        	                    	                         	                    	                       	.4%                   	                     	                  	                	                	                      	                         	                             	                  	              	                         	                  	                   	                        	                   	                 	                           	                    	                 	                       	                         	                     	                    	              	                	                	                          	                           	                   	                       	                 	                  	                	293 Total individuals/10 cm3. from 149 SR. Chapter 9. Table 1. pages 221-228.

  SR	                 	                 	                  	              	149	 898	A	  6	H	 4	  84.00	     52.5500	Collins  	Benthic Foraminifers                         	               	                  	                      	2.4%                	                  	7.6%                 	7.0%                  	.3%        	                    	              	              	.9%               	                        	1.8%          	25.9%                	22.6%               	.6%             	                     	7.9%                  	                     	                    	                   	                      	            	                  	2.1%           	                  	.9%                        	           	                 	                   	              	                  	.3%                 	               	                	                   	.6%        	                	               	              	             	                         	.6%              	               	                	1.2%                  	                           	              	             	             	                	                 	                        	5.5%              	                    	                 	                        	.9%              	                     	.9%                    	                	                 	                        	                  	                  	                    	                   	                   	              	                 	                      	                     	9.8%               	                	                      	                 	                   	                    	                  	                        	                    	                         	                    	                       	                      	                     	                  	                	                	                      	                         	                             	                  	              	                         	                  	                   	                        	                   	                 	                           	                    	                 	                       	                         	                     	                    	              	                	                	                          	                           	                   	                       	                 	                  	                	4374 Total individuals/10 cm3. from 149 SR. Chapter 9. Table 1. pages 221-228.

  SR	                 	                 	                  	              	149	 898	A	  6	H	 5	  62.00	     53.8400	Collins  	Benthic Foraminifers                         	               	                  	                      	2.0%                	                  	                     	                      	.4%        	                    	              	              	1.2%              	                        	2.0%          	1.6%                 	.4%                 	                	                     	43.1%                 	4.7%                 	                    	                   	                      	            	                  	               	                  	                           	           	                 	                   	              	                  	.8%                 	               	                	                   	           	.4%             	               	              	             	                         	                 	               	                	10.3%                 	                           	              	             	             	                	                 	                        	                  	.4%                 	                 	                        	                 	                     	                       	3.2%            	                 	.8%                     	1.6%              	3.6%              	                    	                   	2.4%               	3.2%          	9.5%             	                      	                     	                   	                	                      	                 	6.7%               	                    	                  	                        	                    	                         	.4%                 	                       	                      	                     	.8%               	                	                	                      	                         	                             	                  	              	                         	                  	                   	                        	.4%                	.4%              	                           	                    	                 	                       	                         	                     	                    	              	                	                	                          	                           	                   	                       	                 	                  	                	19049 Total individuals/10 cm3. from 149 SR. Chapter 9. Table 1. pages 221-228.

  SR	                 	                 	                  	              	149	 898	A	  6	H	 7	  12.00	     56.3400	Collins  	Benthic Foraminifers                         	               	                  	                      	3.3%                	                  	                     	4.4%                  	           	                    	              	              	                  	                        	1.1%          	8.8%                 	                    	                	                     	7.7%                  	                     	                    	                   	                      	            	                  	               	                  	1.1%                       	           	                 	                   	              	                  	                    	               	                	                   	           	                	               	              	             	                         	                 	               	                	40.7%                 	                           	              	             	             	                	                 	                        	1.1%              	                    	16.5%            	                        	                 	                     	                       	                	                 	                        	                  	                  	13.1%               	                   	                   	              	1.1%             	                      	                     	                   	                	                      	                 	                   	                    	                  	1.1%                    	                    	                         	                    	                       	                      	                     	                  	                	                	                      	                         	                             	                  	              	                         	                  	                   	                        	                   	                 	                           	                    	                 	                       	                         	                     	                    	              	                	                	                          	                           	                   	                       	                 	                  	                	65 Total individuals/10 cm3. from 149 SR. Chapter 9. Table 1. pages 221-228.

  SR	                 	                 	                  	              	149	 898	A	  7	H	 4	  80.00	     62.0000	Collins  	Benthic Foraminifers                         	               	                  	                      	.8%                 	                  	.4%                  	                      	           	                    	              	              	.8%               	                        	4.8%          	1.6%                 	.8%                 	                	                     	6.4%                  	2.0%                 	                    	                   	                      	            	                  	               	                  	.4%                        	           	                 	                   	              	                  	.8%                 	               	                	                   	           	                	               	              	             	1.2%                     	                 	               	                	22.8%                 	                           	              	             	             	                	                 	                        	.4%               	                    	4.4%             	                        	                 	                     	.4%                    	2.8%            	                 	2.4%                    	.4%               	12.0%             	7.2%                	                   	.8%                	1.6%          	14.0%            	                      	                     	                   	                	                      	                 	                   	1.2%                	                  	4.8%                    	                    	2.4%                     	                    	                       	                      	.4%                  	                  	                	                	                      	                         	                             	                  	              	                         	                  	                   	                        	.8%                	                 	                           	                    	                 	                       	                         	.4%                  	.4%                 	.4%           	                	                	                          	                           	                   	                       	                 	                  	                	4706 Total individuals/10 cm3. from 149 SR. Chapter 9. Table 1. pages 221-228.

  SR	                 	                 	                  	              	149	 898	A	  7	H	 6	  27.00	     64.4700	Collins  	Benthic Foraminifers                         	               	                  	                      	.4%                 	                  	                     	                      	           	                    	              	              	.7%               	                        	4.8%          	.4%                  	                    	                	                     	18.8%                 	2.2%                 	                    	                   	                      	            	                  	.4%            	                  	                           	           	                 	                   	              	                  	19.1%               	               	                	                   	           	                	               	              	             	                         	                 	               	                	1.8%                  	                           	              	             	             	.7%             	                 	                        	                  	                    	.4%              	                        	                 	                     	2.9%                   	1.8%            	                 	11.8%                   	.4%               	15.1%             	.4%                 	                   	                   	.7%           	                 	                      	                     	.7%                	                	2.9%                  	2.2%             	8.1%               	                    	                  	                        	                    	.4%                      	                    	                       	                      	                     	.4%               	                	                	                      	                         	.4%                          	                  	              	                         	1.5%              	                   	                        	                   	                 	                           	                    	.4%              	                       	.4%                      	                     	                    	              	                	                	                          	                           	                   	                       	                 	                  	                	38684 Total individuals/10 cm3. from 149 SR. Chapter 9. Table 1. pages 221-228.
