Expedition,Site,Hole,"Core,    section",Top (m CSF-A),Bottom (m CSF-A),Abundance,Preservation,Actinocyclus curvatulus,Actinocyclus ochotensis,Actinocyclus oculatus,Actinoptychus senarius,Arachnoidiscus spp.,Asteromphalus brookei,Asteromphalus hyalinus,Asteromphalus robustus,Azpeitia nodulifera,Bacterosira fragilis,Chaetoceros spp.,Chaetoceros spp. resting spore,Chaetoceros spp. vegetative spore,Cocconeis californica cf. kerguelensis,Cocconeis costata,Cocconeis scutellum,Cocconeis sp. 1,Cocconeis vitrea,Coscinodiscus marginatus,Coscinodiscus oculus-iridis,Delphineis cf. angustata,Delphineis kippae,Delphineis surirella,Frgilariopsis cylindrus,Frgilariopsis oceanica,Grammatophora spp.,Neodenticula kamtschatica,Neodenticula koizumii,Neodenticula seminae,Nitzschia spp.,Odontella aurita,Paralia sol,Paralia sulcata,Pinnularia spp.,Porosira glacialis,Proboscia barboi,Proboscia curvirostris,Proboscia cf. subarctica,Pyxidicula horridus,Pyxidicula pustulatus,Pyxidicula sp. 2,Pyxidicula sp. 3,Pyxidicula sp. 6,Pyxidicula turris,Pyxidicula zabelinae,Pyxilla americana,Rhabdonema spp.,Rhizosolenia hebetata f. hebetata,Rhizosolenia hebetata f. hiemalis,Rhizosolenia hebetata f. semispina,Rhizosolenia styliformis,Stellarima microtrias,Synedra spp.,Thalassionema bacillaris,Thalassionema nitzschioides,Thalassionema robusta,Thalassiosira spp.,Thalassiosira antiqua,Thalassiosira antarctica spore,Thalassiosira cf. leptopus,Thalassiosira decipiens,Thalassiosira eccentrica,Thalassiosira gravida,Thalassiosira hyalina,Thalassiosira jouseae,Thalassiosira lacustris,Thalassiosira latimarginata sl.,Thalassiosira lineata,Thalassiosira marujamica,Thalassiosira nordenskioeldii,Thalassiosira oestrupii,Thalassiosira poroseriata,Thalassiothrix longissima,
323,U1341,B,11H-CC,104.15,104.25,A,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,F,,C,,,,R,,,,,,,,F,,,,,,,,,F,,,R,R,,,,,C,,,,,C,F,Proboscia curvirostris (NPD 11)
323,U1341,B,12H-CC,113.49,113.59,A,M-G,R,,,,,,,,,,,C,C,,R,,,,,,,,,,,,,R,A,,,,R,,R,R,,,,,,,,,,,,F,,,,,,,,,F,,R,,R,F,,,C,,F,,,,,,R,Proboscia curvirostris (NPD 11)
323,U1341,B,13H-CC,123.14,123.24,A,G,C,F,C,,,,,F,,R,,,F,R,,R,,,,,,,,,,,,,A,,,,,,F,R,F,,,,,,,,,,,R,,,F,,,,,,,,F,,,,,,F,,F,,,,F,,R,Actinocyclus oculatus (NPD10)
323,U1341,B,14H-CC,132.74,132.84,A,G,A,R,C,,,,F,F,R,,,,,,,,,,R,R,,,,,,,,,A,,,,,,F,C,,,,,,,,,,,,,,R,,,,,,,,,F,,,,,,,,C,,,,R,,R,Actinocyclus oculatus (NPD10)
323,U1341,B,15H-CC,142.26,142.36,A,G,F,F,C,,,,,,,,,,,,R,,,,,F,,,,,,,F,F,A,,,,,,R,R,R,,,,,,,R,,,,,,R,,,,,R,,,,F,,,,,,,,C,,,,C,,,Actinocyclus oculatus (NPD10)
323,U1341,B,16H-CC,151.58,151.68,A,G,C,R,C,,,R,,R,,,,,,,,,,,,,,,,,R,,,C,A,,,,,,R,C,C,,,,,,,,,,,,,C,R,,,,,,,,R,,,,,,R,,F,,,,C,,R,Actinocyclus oculatus (NPD10)
323,U1341,B,17H-CC,158.09,158.19,C,M,C,F,C,,,,,,,,,,,,,,,,,,,,,,,R,,C,A,,,,,,F,R,C,,,,,,,,,,,,,C,,,,,R,,,,R,,,,,,,,F,,,,C,,R,Actinocyclus oculatus (NPD10)
323,U1341,B,18H-CC,166.71,166.81,A,G,F,R,C,,,,R,,,,,,,,,,,,,R,,,,R,,,,C,A,,,,,,F,R,,,,,,,,F,,,,R,,R,,,,,,,,,R,,,,,R,,,F,,,,C,,C,Actinocyclus oculatus (NPD10)
323,U1341,B,19H-CC,176.55,176.65,A,G,F,R,R,,,,,,,,,,,,,,,,,,,,,,,,,R,D,,,,,,R,,,,,,,,,,,,,R,,F,,,,,,,,,R,,,,,,,,,,,,C,,R,Actinocyclus oculatus (NPD10)
323,U1341,B,20H-CC,180.07,180.17,A,G,F,,C,,,,,R,,,,,,,,,,,R,,,,,,,,,R,D,,,,,,F,F,,,,,,,,R,,,,R,,,,,,,,,,,,,,,,,,,R,,,,R,,F,Actinocyclus oculatus (NPD10)
323,U1341,B,21H-CC,190.62,190.72,A,G,C,R,R,,,,,,,,,,,,,,,,,F,R,,,,,,,F,D,,,,,,,R,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,F,,R,,,,C,,R,Actinocyclus oculatus (NPD10)
323,U1341,B,22H-CC,199.87,199.97,A,G,F,R,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,F,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,R,,R,,,,C,,R,Actinocyclus oculatus (NPD10)
323,U1341,B,23H-CC,209.68,209.78,A,G,R,F,,,,,,,,,,C,,,,R,,,,R,,,,,R,,,A,A,,,,,,,F,,,R,,,,,,,F,,,,F,,,,,,,,,R,,,,,,C,,R,,,,C,,R,Neodenticula kozumii (NPD9)
323,U1341,B,24H-CC,218.83,218.93,C,M-G,C,R,,,,,,,,,,,,,R,,,,,,,,,,,,,A,C,,,,,,F,R,,,C,,,,,F,R,,,R,,,,,,,,,,,,,,,,,,,C,,,,R,,C,Neodenticula kozumii (NPD9)
323,U1341,B,25H-CC,228.42,228.52,A,G,A,,,,,,,,,,,C,R,,R,,,,F,R,,,R,,,,,C,A,,,,R,,F,F,,,F,,,,,,,,,,,,,,,,,,,R,R,,,R,,,,,F,R,,,R,,C,Neodenticula kozumii (NPD9)
323,U1341,B,26H-CC,238.11,238.21,A,G,A,R,R,,,,,,,,,,,,F,,,,F,R,,,,,,,,A,F,,,,,,R,R,,,,,,,,R,,,,R,,,,,,,,,,C,,,,,,,R,,C,,,,R,,F,Neodenticula kozumii (NPD9)
323,U1341,B,27H-CC,247.5,247.6,A,G,C,,R,,,,,,,,,C,,,,,,,,,,,R,,,,,C,R,,,R,,,R,,,,F,,,,,,,,,,,,,,,,,,,R,,,,,,,R,,C,,,,R,,A,Neodenticula kozumii (NPD9)
323,U1341,B,28H-CC,257.09,257.19,A,G,C,R,,,,,,,,,,R,,,R,,,,,R,,,,,,,,A,C,,,,,,F,,,,R,,,,,,,,,R,,,,,,,,,,R,R,,,,,,R,,C,,,,C,,,Neodenticula kozumii (NPD9)
323,U1341,B,29H-CC,265.92,266.02,A,G,A,F,F,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,F,,F,,,R,,,,,,,,,,,,,,F,,,,F,,,,,C,,,,R,F,C,Neodenticula kozumii (NPD9)
323,U1341,B,30H-CC,276.09,276.19,A,G,C,R,R,,,,,,,,,,,,R,,,,R,R,,,,,,,,C,R,,,,,,R,F,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,A,,,,C,,F,Neodenticula kozumii (NPD9)
323,U1341,B,31H-CC,283.71,283.81,A,G,C,,,,,,,F,,,,,,,,,,,R,,,,,,,,,A,,,,,,,,,,R,C,,C,,,F,,,,,,,,,,,,,F,,,,,,,,,,C,,,,,,C,Neodenticula kozumii (NPD9)
323,U1341,B,32H-CC,291.56,291.66,A,G,C,F,,,,,,R,,,,,,,R,,,,,,,,,,,,,D,,,,,,,,R,,,R,,,,,C,,,,,,,,,,,,,,,,,,,,,,,F,,,,F,,F,Neodenticula kozumii (NPD9)
323,U1341,B,33H-CC,301.13,301.23,C,G,C,,F,,,,,R,,,,,,,,,,,,,,,,,,,F,A,C,,,,,,,,,,F,,C,,,,,,,R,,,,,,R,R,,,,,,,,,,,,C,,,,,,A,Neodenticula kozumii (NPD9)
323,U1341,B,34H-CC,307.22,307.32,A,G,C,F,R,,,,,,,,,R,,,,,,,R,F,,,,,,,F,A,F,,,,R,,,R,,,F,R,,,,F,,,,,,R,,,,,,,,,,,,,,,,,F,,,,R,,C,Neodenticula kozumii (NPD9)
323,U1341,B,35H-CC,316.65,316.75,A,G,A,R,F,,,,,,,,,R,,,,,,,,,,,,,,,F,C,F,,,,,,,,,,C,,,F,R,F,,,,R,R,,R,,,,,,F,,,,,R,,,,,C,,,,,,C,Neodenticula kozumii (NPD9)
323,U1341,B,36H-CC,325.83,325.93,A,G,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,A,C,,,,,R,,R,,,,,,,,R,,,,,,,,,,,,,,C,R,,,,,,,,R,,,,F,,,Neodenticula kozumii (NPD9)
323,U1341,B,37H-CC,335.18,335.28,F,G,C,F,F,,,,,,,,,C,,,,,,,,,,,,,,,C,A,,,,,,,,,,,F,,R,,,F,,,,,,,,,,,,,,F,,,,R,,,,,C,,,,,F,F,Neodenticula kozumii (NPD9)
323,U1341,B,38H-CC,345.68,345.78,A,G,R,R,,,,,,,,,,,,,R,,,,,,,,,,,,,A,C,,,,,,,R,,,R,,,,,C,,,,,,,,R,,,,,,C,,,,,,,,,F,,,,,,,Neodenticula kozumii (NPD9)
323,U1341,B,39H-CC,354.99,355.09,A,G,A,C,F,,,,,,,,,,,,,,,,,,,,,,,,C,A,,,,,,,,R,,R,R,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,Neodenticula kozumii (NPD9)
323,U1341,B,40H-CC,358.01,358.11,A,G,A,R,,,,,,,,,,,,,R,,,,,,,,,,,,,A,C,,,,,,,R,,,,,,,,R,,,,,,,,,,,,,,R,R,,,,,,,,F,,,,R,,,Neodenticula kozumii (NPD9)
323,U1341,B,41H-CC,366.14,366.24,A,G,C,R,C,,,,,,,,,C,R,,,R,,,,,,,,,,,C,A,,,,,,,,R,,,C,,F,,,,,,,,R,,,,,,,,,F,F,,,R,,,,,C,,,,,,F,Neodenticula koizumii - N. kamtschatica Zone (NPD8)
323,U1341,B,42H-CC,375.58,375.68,A,G,C,,R,,,,,,,,,,,,,,,,,,,,,,,,C,A,,,,,,,,F,,,C,,,,,C,R,,,R,,,R,,,,,,,F,,,,,,,R,,C,,,,F,,C,Neodenticula koizumii - N. kamtschatica Zone (NPD8)
323,U1341,B,43H-CC,385.38,385.48,A,G,C,R,F,,,,,,,,,,,,,R,,,R,,R,,,,,,C,A,,,,,,,,R,,,C,,,,,R,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,C,Neodenticula koizumii - N. kamtschatica Zone (NPD8)
