Expedition,Hole,"Core, section, interval (cm)",Depth CSF (m),Preservation,Abundance,Amaurolithus delicatus,Amaurolithus primus,Amaurolithus tricorniculatus ,Calcidiscus leptoporus,Calcidiscus macintyrei,Calcidiscus premacintyrei,Calcidiscus tropicus,Catinaster coalitus ,Ceratolithus acutus,Ceratolithus cristatus,Ceratolithus rugosus,Ceratolithus telesmus,Clausicoccus fenestratus,Coccolithus miopelagicus,Coccolithus pelagicus,Coronocyclus nitescens,Coronocyclus nitescens (ellipical),Cyclicargolithus abisectus ,Cyclicargolithus floridanus,Dictyococcites antarcticus,Dictyococcites (<3 µm) ,Discoaster altus,Discoaster asymmetricus,Discoaster bellus,Discoaster berggrenii,Discoaster bollii ,Discoaster braarudii,Discoaster brouweri,Discoaster calcaris,Discoaster challengeri,Discoaster deflandrei ,Discoaster druggii,Discoaster exilis,Discoaster hamatus,Discoaster kugleri,"Discoaster loeblichii
Discoaster prepentaradiatus",Discoaster neohamatus,Discoaster pentaradiatus ,Discoaster petaliformis,Discoaster prepentaradiatus,"Discoaster quinqueramus 
",Discoaster signus ,Discoaster surculus ,Discoaster tamalis,Discoaster triradiatus,Discoaster variabilis ,Emiliania huxleyi,Gephyrocapsa caribbeanica,Gephyrocapsa ericsonii,Gephyrocapsa oceanica,Gephyrocapsa omega,Gephyrocapsa (>5.5 µm) ,Hayella challengeri,Helicosphaera ampliaperta,Helicosphaera carteri,Helicosphaera euphratis,Helicosphaera granulata,Helicosphaera intermedia,Helicosphaera inversa,Helicosphaera obliqua,Helicosphaera sellii,Neosphaera coccolithomorpha,Nicklithus amplificus,Orthorhabdus spp.,Pontosphaera discopora,Pontosphaera japonica,Pontosphaera multipora,Pseudoemiliania lacunosa,Pseudoemiliania ovata,Reticulofenestra asanoi,Reticulofenestra daviesii,Reticulofenestra haqii ,Reticulofenestra pseudoumbilicus,Scyphosphaera pulcherrima,Sphenolithus abies,Sphenolithus belemnos ,Sphenolithus conicus ,Sphenolithus delphix,Sphenolithus disbelemnos,Sphenolithus dissimilis,Sphenolithus grandis,Sphenolithus heteromorphus,Sphenolithus moriformis ,Syracosphaera pulchra,Triquetrorhabdulus carinatus,Triquetrorhabdulus milowii,Triquetrorhabdulus rugosus,Umbilicosphaera jafari ,Umbilicosphaera rotula,Umbilicosphaera sibogae
321,U1337A,"36X-3, 80",332.30,M,A,,,,,,,,,,,,,,C,A,F,,,C,C,,,,,,,,,,,C,,,,,,,,,,,,,,,C,,,,,,,,,F,,,F,,,,,,,,,,,,,,A,R,,,,,,,,,A,A,,,,,,,
321,U1337A,"36X-5, 75",335.25,M,A,,,,,,,,,,,,,,C,C,R,,,C,F,,,,,,,,,,,C,,,,,,,,,,,,,,,F,,,,,,,,,,,R,,,,,,,,,,,,,,,A,F,,,,,,,,,C,A,,,,,,,
321,U1337A,36X-CC,338.15,P,A,,,,,,,,,,,,,,F,C,F,,,C,F,,,,,,,,,,,C,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,C,F,,,,,,,,,A,A,,,,,,,
321,U1337A,"37X-3, 75",341.75,P,A,,,,,,,,,,,,,,F,C,R,,,C,F,,,,,,,,,,,C,,,,,,,,,,,,,,,F,,,,,,,,,,,,R,,,,,,,,,,,,,,C,,,,,,,,,,C,C,,,,,,,
321,U1337A,"37X-5, 75",344.75,P,A,,,,,,,,,,,,,,F,C,R,,,C,C,,,,,,,,,,,C,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,C,F,,,,,,,,,C,C,,,,,,,
321,U1337A,37X-CC,347.64,M,A,,,,,,,,,,,,,,C,C,F,,,A,A,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,R,R,,,,,,,,,,,,,,F,C,F,,,,,,,,,F,C,,,,,,,
321,U1337A,"38X-2, 75",349.85,M,A,,,,,,,,,,,,,,C,C,F,,,C,C,C,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,F,F,,R,,,,,,,,,,,,,,C,A,F,,,,,,,,,C,C,,,,R,,,
321,U1337A,"38X-4, 70",352.30,M,A,,,,R,,,,,,,,,,C,C,F,,,C,C,C,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,F,C,F,,,,,,,,,F,C,,,,,,,
321,U1337A,38X-CC,352.65,M,A,,,,R,,,,,,,,,,F,C,C,,,C,A,C,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,R,F,R,R,,,,,,,,,,,,,,F,C,,,,,,,,,,F,C,,,C,,,,
321,U1337A,"39X-2, 40",359.10,M,A,,,,,,,,,,,,,,F,C,C,,,C,F,C,,,,,,,,,,C,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,C,C,C,,,C,,,F,,F,,C,,,,,,,
321,U1337A,"39X-5, 40",363.60,M,A,,,,,R,,,,,,,,,F,A,F,,,C,F,,,,,,,,,,,C,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,C,C,C,,,C,,,C,,F,,A,,,,,,,
321,U1337A,39X-CC,366.85,M,A,,,,,,,,,,,,,,F,A,F,,,A,C,C,,,,,,,,,,C,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,C,C,,,C,,,F,,F,,F,,,R,,R,R,
321,U1337A,"40X-2, 55",368.85,M,A,,,,,,,,,,,,,F,F,A,F,,,A,C,C,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,,F,C,,,,R,,,R,,F,,C,,F,F,,,,
321,U1337A,"40X-5, 65",373.45,M–P,A,,,,,,,,,,,,,,C,C,F,,,C,A,C,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,C,F,,,F,,,C,,F,,C,,F,,,,,
321,U1337A,40X-CC,376.47,M–P,A,,,,,,,,,,,,,1,F,A,F,,,C,A,F,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,F,F,C,,,1,,,C,,F,,F,,F,,,,R,
321,U1337A,"41X-3, 40",379.80,M,A,,,,,,,,,,,,,,F,A,F,,,C,A,A,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,C,,,,,,,,C,,F,,A,,F,,,,,
321,U1337A,"41X-5, 40",382.80,M,A,,,,,,,,,,,,,,F,C,C,,,C,A,A,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,F,,,,,,,C,,F,,A,,F,,,,,
321,U1337A,41X-CC,386.06,M,A,,,,,,,,,,,,,,C,A,F,,,C,A,A,,,,,,,,,,A,R,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,F,,,R,,,,F,,,,,,,,F,,F,,C,,,,,R,,
321,U1337A,"42X-3, 40",389.40,M,A,,,,,,,,,,,,,F,F,C,F,,F,C,C,A,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,C,,,,,,,,F,,R,,A,,F,F,,,,
321,U1337A,"42X-5, 40",392.40,M,A,,,,,,,,,,,,,F,F,C,F,,,C,C,A,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,R,,,,F,,,,,,,,F,,R,,A,,F,C,,,,
321,U1337A,42X-CC,394.23,M,A,,,,,,,,,,,,,,C,C,F,,,C,A,A,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,F,,,,,,,,C,,F,,A,,F,C,,,,
321,U1337A,"43X-3, 40
43X-5, 40","399.00
402.00","M
M","A
A",,,,,,,,,,,,,R,"F
F","C
C","F
F",R,,"C
C","A
C","A
C",,,,,,,,,,"C
C",,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,"F
F",,R,,,,,,"F
F",,"F
C",,"C
A",,"F
F","C
C",,,,
321,U1337A,43X-CC,405.14,M–P,A,,,,,,,,,,,,,,F,C,F,,,C,A,A,,,,,,,,,,C,1?,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,R,,,,F,,,,,,,,F,,R,,C,,R,C,,,R,
321,U1337A,"44X-3, 40",408.30,M,A,,,,,,,,,,,,,R,F,C,R,,F,A,C,A,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,F?,F?,,,,,,,,,,,,,,,C,,,,,,,,F,,F,,A,,F,R,,,F,
321,U1337A,"44X-5, 40",411.30,M,A,,,,,,,,,,,,,,F,C,F,,F,A,C,A,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,C,,,,,,,,F,,F,,C,,R,F,,,,
321,U1337A,44X-CC,414.54,M,A,,,,,,,,,,,,,,F,C,R,,,A,A,A,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,C,F,,,,,,,,,,,,,,C,,,,,,,,C,R,C,,A,,R,F,,,,
321,U1337A,"45X-2, 75",416.75,M,A,,,,,,,,,,,,,,F,C,,,F,A,C,C,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,F,,C,,A,,R,F,,,,
321,U1337A,"45X-5, 75",421.25,M,A,,,,,,,,,,,,,,F,C,,,C,A,F,A,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,F,,,,,,C,,F,,A,,F,F,,,,
321,U1337A,45X-CC,424.19,M,A,,,,,,,,,,,,,,F,C,F,,,A,F,A,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,R,F,,,,R,,,,,,,,,,,C,,,,,,,,C,R,F,,A,,F,F,,,,
321,U1337A,"46X-2, 75",426.25,M,A,,,,,,,,,,,,,,F,C,F,,,A,F,A,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,C,,,,,,,,R,,F,,A,,F,F,,,,
321,U1337A,"46X-5, 75",430.75,M–P,A,,,,,,,,,,,,,,F,C,F,,F,A,F,F,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,R,,,,C,,,,,,,,?,,F,,A,,,F,,,,
321,U1337A,46X-CC,433.49,M,A,,,,,,,,,,,,,,F,C,F,,,A,,R,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,C,,,,,,,,F,,F,,A,,F,F,,,,
321,U1337A,"47X-2, 75",435.85,M,A,,,,,,,,,,,,,R,F,C,F,,C,A,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,R,,,,C,,A,,,,,,,
321,U1337A,"47X-5, 80",440.40,M–P,A,,,,,,,,,,,,,,F,C,,,,A,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,F,,C,,A,,,,,
321,U1337A,47X-CC,443.45,M,A,,,,,,,,,,,,,1,F,C,,,,A,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,R,F,,C,,C,,,,,
321,U1337A,"48X-3, 55",446.75,M,A,,,,,,,,,,,,,,F,C,,,,A,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,C,,,,,,,R,,,F,,C,,A,,,,,
321,U1337A,"48X-4, 140",449.10,M,A,,,,,,,,,,,,,R,C,C,F,,,A,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,F,,,,,,C,,,,,,,,,,F,,A,,C,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
