Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Discoaster druggii,Discoaster deflandrei,Coccolithus pelagicus,Helicosphaera euphratis,Cyclicargolithus floridanus,Coronocyclus nitescens,Sphenolithus moriformis,Sphenolithus disbelemnos,Reticulofenestra haqii,Calcidiscus leptoporus,Hughesius tasmaniae,Hayella challengeri,Coccolithus miopelagicus,Reticulofenestra minuta,Sphenolithus spp.,Sphenolithus heteromorphus,Sphenolithus grandis,Sphenolithus delphix,Helicosphaera mediterranea,Helicosphaera ampliaperta,Umbilicosphaera rotula,Helicosphaera scissura,Helicosphaera perch-nielseniae,Discoaster spp.,Discoaster musicus,Triquetrorhabdulus milowii,Syracosphaera spp.,Cryptococcolithus mediaperforatus,Umbilicosphaera jafari,Reticulofenestra pseudoumbilica(5-7microns),Pontosphaera multipora,Discoaster exilis,Discoaster petaliformis,Calcidiscus premacintyrei,Reticulofenestra pseudoumbilica (>7microns),Helicosphaera intermedia,Sphenolithus dissimilis,Helicosphaera carteri,Helicosphaera stalis,Florisphaera profunda,Pontosphaera japonica,Discoaster challengeri,Helicosphaera walbersdorfensis,Helicosphaera orientalis,Umbilicosphaera rotaria,Discoaster bollii,Helicosphaera granulata,Braarudosphaera bigelowii,Discoaster kugleri,Triquetrorhabdulus rugosus,Sphenolithus ciperoensis,Sphenolithus abies,Reticulofenestra spp.,Discoaster prepentaradiatus,Discoaster pansus,Discoaster calcaris,Discoaster brouweri,Discoaster braarudii,Ceratolithus atlanticus,Calcidiscus tropicus,Discoaster quinqueramus,Discoaster pentaradiatus,Discoaster bergenii,Calcidiscus macintyrei,Gephyrocapsa spp. (small),Discoaster surculus,Discoaster neorectus,Discoaster variabilis,Amaurolithus primus,Amaurolithus delicatus,Discoaster triradiatus,Reticulofenestra minutula,Pseudoemiliania ovata,Scapholithus fossilis,Pseudoemiliania lacunosa,Discoaster asymmetricus,Amaurolithus tricorniculatus,Coccolithus pelagicus (with bar),Helicosphaera sellii,Ceratolithus cristatus,Umbilicosphaera sibogae var. sibogae,Comment
  IR,                 ,                 ,                  ,              ,190,1177,A, 28,R,CC,  12.00,    559.5200,Boeckel  ,Nannofossils                                 ,R              ,P                 ,                  ,                     ,                     ,                       ,                           ,                      ,                       ,                        ,                      ,                      ,                   ,                   ,                        ,D                      ,                 ,                          ,                    ,                    ,                          ,                         ,                      ,                      ,                              ,               ,                  ,                          ,                  ,                                 ,                      ,                                           ,                      ,                 ,                       ,                         ,                                           ,                        ,                       ,                     ,                    ,                     ,                     ,                      ,                              ,                        ,                       ,                 ,                       ,                         ,                  ,                          ,                        ,                  ,                     ,                           ,                 ,                   ,                   ,                    ,                       ,                    ,                       ,                        ,                   ,                      ,                         ,                   ,                    ,                     ,                   ,                      ,                      ,                         ,                     ,                     ,                        ,                       ,                            ,                                ,                    ,                      ,                                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,190,1177,A, 31,R,CC,  34.00,    591.3600,Boeckel  ,Nannofossils                                 ,R              ,P                 ,                  ,                     ,                     ,                       ,                           ,                      ,                       ,                        ,D                     ,                      ,                   ,                   ,                        ,                       ,                 ,                          ,                    ,                    ,                          ,                         ,                      ,                      ,                              ,               ,                  ,                          ,                  ,                                 ,                      ,                                           ,                      ,                 ,                       ,                         ,                                           ,                        ,                       ,                     ,                    ,                     ,                     ,                      ,                              ,                        ,                       ,                 ,                       ,                         ,                  ,                          ,                        ,                  ,                     ,                           ,                 ,                   ,                   ,                    ,                       ,                    ,                       ,                        ,                   ,                      ,                         ,                   ,                    ,                     ,                   ,                      ,                      ,                         ,                     ,                     ,                        ,                       ,                            ,                                ,                    ,                      ,                                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,190,1177,A, 32,R, 1,  68.00,    598.4800,Boeckel  ,Nannofossils                                 ,R              ,P                 ,                  ,                     ,                     ,                       ,                           ,                      ,                       ,                        ,A                     ,                      ,                   ,                   ,                        ,                       ,                 ,                          ,                    ,                    ,                          ,                         ,C                     ,                      ,                              ,               ,                  ,                          ,                  ,                                 ,                      ,                                           ,                      ,                 ,                       ,                         ,A                                          ,                        ,                       ,                     ,                    ,                     ,                     ,A                     ,                              ,                        ,                       ,                 ,                       ,                         ,                  ,                          ,                        ,                  ,                     ,                           ,                 ,                   ,                   ,                    ,                       ,                    ,                       ,                        ,                   ,                      ,                         ,                   ,                    ,                     ,                   ,                      ,                      ,                         ,                     ,                     ,                        ,                       ,                            ,                                ,                    ,                      ,                                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,190,1177,A, 32,R, 1,  81.00,    598.6100,Boeckel  ,Nannofossils                                 ,F              ,P                 ,                  ,                     ,A                    ,                       ,                           ,                      ,                       ,                        ,                      ,                      ,                   ,                   ,C                       ,A                      ,                 ,F                         ,                    ,                    ,                          ,                         ,                      ,                      ,                              ,               ,                  ,                          ,                  ,                                 ,                      ,A                                          ,                      ,C                ,                       ,                         ,A                                          ,                        ,                       ,                     ,                    ,                     ,                     ,C                     ,                              ,F                       ,                       ,C                ,                       ,                         ,C                 ,                          ,                        ,                  ,                     ,                           ,                 ,                   ,                   ,                    ,                       ,                    ,                       ,                        ,                   ,                      ,                         ,                   ,                    ,                     ,                   ,                      ,                      ,                         ,                     ,                     ,                        ,                       ,                            ,                                ,                    ,                      ,                                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,190,1177,A, 34,R,CC,  16.00,    617.2600,Boeckel  ,Nannofossils                                 ,R              ,P                 ,                  ,                     ,F                    ,                       ,                           ,F                     ,C                      ,                        ,C                     ,                      ,                   ,                   ,                        ,D                      ,F                ,                          ,                    ,                    ,                          ,                         ,F                     ,                      ,                              ,F              ,                  ,                          ,                  ,                                 ,                      ,                                           ,F                     ,F                ,                       ,                         ,A                                          ,                        ,                       ,F                    ,                    ,                     ,                     ,                      ,                              ,F                       ,                       ,                 ,                       ,                         ,F                 ,                          ,                        ,C                 ,C                    ,                           ,                 ,                   ,                   ,                    ,                       ,                    ,                       ,                        ,                   ,                      ,                         ,                   ,                    ,                     ,                   ,                      ,                      ,                         ,                     ,                     ,                        ,                       ,                            ,                                ,                    ,                      ,                                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,190,1177,A, 35,R,CC,  21.00,    628.8200,Boeckel  ,Nannofossils                                 ,F              ,P                 ,                  ,F                    ,F                    ,                       ,C                          ,                      ,C                      ,                        ,C                     ,                      ,                   ,                   ,                        ,D                      ,C                ,                          ,                    ,                    ,                          ,                         ,                      ,                      ,                              ,               ,                  ,                          ,                  ,                                 ,C                     ,C                                          ,                      ,F                ,                       ,                         ,C                                          ,                        ,                       ,F                    ,                    ,                     ,F                    ,                      ,                              ,                        ,C                      ,F                ,                       ,                         ,C                 ,F                         ,F                       ,                  ,                     ,                           ,                 ,                   ,                   ,                    ,                       ,                    ,                       ,                        ,                   ,                      ,                         ,                   ,                    ,                     ,                   ,                      ,                      ,                         ,                     ,                     ,                        ,                       ,                            ,                                ,                    ,                      ,                                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,190,1177,A, 36,R, 1,  40.00,    636.7000,Boeckel  ,Nannofossils                                 ,R              ,P                 ,                  ,C                    ,C                    ,                       ,                           ,                      ,                       ,                        ,                      ,                      ,                   ,                   ,                        ,                       ,                 ,A                         ,F                   ,                    ,                          ,                         ,                      ,                      ,                              ,               ,                  ,                          ,                  ,                                 ,                      ,A                                          ,                      ,C                ,                       ,                         ,F                                          ,                        ,                       ,F                    ,                    ,                     ,                     ,                      ,                              ,                        ,                       ,A                ,                       ,                         ,F                 ,                          ,                        ,                  ,                     ,                           ,                 ,                   ,                   ,                    ,                       ,                    ,                       ,                        ,                   ,                      ,                         ,                   ,                    ,                     ,                   ,                      ,                      ,                         ,                     ,                     ,                        ,                       ,                            ,                                ,                    ,                      ,                                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,190,1177,A, 36,R,CC,  19.00,    638.4600,Boeckel  ,Nannofossils                                 ,R              ,P                 ,                  ,C                    ,C                    ,                       ,F                          ,F                     ,                       ,                        ,A                     ,                      ,                   ,                   ,                        ,A                      ,                 ,C                         ,                    ,                    ,                          ,                         ,A                     ,                      ,                              ,               ,                  ,                          ,                  ,                                 ,                      ,C                                          ,                      ,C                ,                       ,                         ,                                           ,                        ,                       ,                     ,F                   ,F                    ,F                    ,                      ,                              ,                        ,                       ,                 ,C                      ,F                        ,                  ,                          ,                        ,                  ,                     ,                           ,                 ,                   ,                   ,                    ,                       ,                    ,                       ,                        ,                   ,                      ,                         ,                   ,                    ,                     ,                   ,                      ,                      ,                         ,                     ,                     ,                        ,                       ,                            ,                                ,                    ,                      ,                                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,190,1177,A, 37,R, 2,  74.00,    647.1400,Boeckel  ,Nannofossils                                 ,F              ,P                 ,                  ,C                    ,C                    ,                       ,C                          ,                      ,                       ,                        ,A                     ,                      ,                   ,F                  ,                        ,D                      ,                 ,                          ,                    ,                    ,                          ,                         ,                      ,                      ,                              ,               ,                  ,                          ,                  ,                                 ,                      ,C                                          ,                      ,                 ,                       ,                         ,C                                          ,                        ,                       ,                     ,                    ,                     ,                     ,                      ,                              ,                        ,F                      ,F                ,                       ,                         ,                  ,                          ,                        ,                  ,                     ,                           ,                 ,                   ,                   ,                    ,                       ,                    ,                       ,                        ,                   ,                      ,                         ,                   ,                    ,                     ,                   ,                      ,                      ,                         ,                     ,                     ,                        ,                       ,                            ,                                ,                    ,                      ,                                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,190,1177,A, 37,R, 3,  74.00,    648.1400,Boeckel  ,Nannofossils                                 ,F              ,P                 ,                  ,C                    ,C                    ,                       ,F                          ,                      ,F                      ,                        ,A                     ,F                     ,                   ,A                  ,R                       ,D                      ,C                ,                          ,R                   ,                    ,                          ,                         ,C                     ,                      ,                              ,               ,                  ,                          ,R                 ,                                 ,                      ,C                                          ,R                     ,R                ,                       ,R                        ,C                                          ,                        ,                       ,R                    ,                    ,                     ,                     ,                      ,R                             ,F                       ,                       ,                 ,                       ,                         ,                  ,                          ,                        ,                  ,                     ,                           ,                 ,                   ,                   ,                    ,                       ,                    ,                       ,                        ,                   ,                      ,                         ,                   ,                    ,                     ,                   ,                      ,                      ,                         ,                     ,                     ,                        ,                       ,                            ,                                ,                    ,                      ,                                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,190,1177,A, 37,R,CC,  23.00,    649.4100,Boeckel  ,Nannofossils                                 ,R              ,P                 ,                  ,A                    ,                     ,                       ,                           ,                      ,                       ,                        ,                      ,                      ,                   ,                   ,                        ,A                      ,A                ,                          ,                    ,                    ,                          ,                         ,                      ,                      ,                              ,               ,                  ,                          ,                  ,                                 ,                      ,A                                          ,                      ,C                ,                       ,                         ,C                                          ,A                       ,                       ,                     ,                    ,                     ,C                    ,C                     ,                              ,                        ,                       ,                 ,                       ,                         ,                  ,                          ,                        ,                  ,                     ,                           ,                 ,                   ,                   ,                    ,                       ,                    ,                       ,                        ,                   ,                      ,                         ,                   ,                    ,                     ,                   ,                      ,                      ,                         ,                     ,                     ,                        ,                       ,                            ,                                ,                    ,                      ,                                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,190,1177,A, 38,R,CC,  23.00,    656.4000,Boeckel  ,Nannofossils                                 ,F              ,P                 ,                  ,C                    ,C                    ,                       ,C                          ,                      ,C                      ,                        ,A                     ,C                     ,                   ,C                  ,                        ,A                      ,C                ,                          ,                    ,                    ,                          ,                         ,C                     ,                      ,F                             ,C              ,F                 ,                          ,                  ,                                 ,C                     ,C                                          ,                      ,C                ,                       ,C                        ,F                                          ,                        ,                       ,                     ,C                   ,F                    ,                     ,                      ,                              ,                        ,                       ,                 ,                       ,                         ,                  ,                          ,                        ,                  ,                     ,                           ,                 ,                   ,                   ,                    ,                       ,                    ,                       ,                        ,                   ,                      ,                         ,                   ,                    ,                     ,                   ,                      ,                      ,                         ,                     ,                     ,                        ,                       ,                            ,                                ,                    ,                      ,                                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,190,1177,A, 39,R, 2,  76.00,    667.4600,Boeckel  ,Nannofossils                                 ,R              ,P                 ,                  ,                     ,A                    ,                       ,                           ,                      ,                       ,                        ,                      ,                      ,                   ,                   ,                        ,A                      ,                 ,                          ,                    ,                    ,                          ,                         ,                      ,                      ,                              ,               ,                  ,                          ,                  ,                                 ,                      ,                                           ,                      ,                 ,                       ,                         ,                                           ,                        ,                       ,                     ,                    ,                     ,                     ,                      ,                              ,                        ,                       ,                 ,                       ,                         ,                  ,                          ,                        ,                  ,                     ,                           ,                 ,                   ,                   ,                    ,                       ,                    ,                       ,                        ,                   ,                      ,                         ,                   ,                    ,                     ,                   ,                      ,                      ,                         ,                     ,                     ,                        ,                       ,                            ,                                ,                    ,                      ,                                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,190,1177,A, 39,R,CC,  26.00,    669.4500,Boeckel  ,Nannofossils                                 ,R              ,P                 ,                  ,C                    ,C                    ,                       ,A                          ,A                     ,                       ,                        ,                      ,A                     ,                   ,A                  ,                        ,                       ,                 ,                          ,                    ,                    ,                          ,                         ,                      ,                      ,                              ,               ,                  ,                          ,                  ,                                 ,                      ,A                                          ,                      ,C                ,                       ,                         ,                                           ,                        ,                       ,                     ,                    ,                     ,                     ,                      ,                              ,                        ,                       ,                 ,                       ,                         ,                  ,                          ,                        ,                  ,                     ,                           ,                 ,                   ,                   ,                    ,                       ,                    ,                       ,                        ,                   ,                      ,                         ,                   ,                    ,                     ,                   ,                      ,                      ,                         ,                     ,                     ,                        ,                       ,                            ,                                ,                    ,                      ,                                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,190,1177,A, 40,R, 1,  71.00,    675.5100,Boeckel  ,Nannofossils                                 ,R              ,P                 ,                  ,                     ,A                    ,                       ,C                          ,                      ,A                      ,                        ,                      ,                      ,                   ,                   ,C                       ,A                      ,                 ,C                         ,                    ,                    ,                          ,                         ,                      ,                      ,                              ,               ,                  ,                          ,                  ,                                 ,                      ,A                                          ,                      ,                 ,                       ,                         ,                                           ,                        ,                       ,C                    ,                    ,                     ,                     ,                      ,                              ,                        ,                       ,                 ,                       ,                         ,                  ,                          ,                        ,                  ,                     ,                           ,                 ,                   ,                   ,                    ,                       ,                    ,                       ,                        ,                   ,                      ,                         ,                   ,                    ,                     ,                   ,                      ,                      ,                         ,                     ,                     ,                        ,                       ,                            ,                                ,                    ,                      ,                                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,190,1177,A, 40,R,CC,  18.00,    676.1900,Boeckel  ,Nannofossils                                 ,R              ,P                 ,                  ,                     ,                     ,                       ,A                          ,C                     ,A                      ,                        ,                      ,                      ,                   ,                   ,                        ,A                      ,                 ,C                         ,                    ,C                   ,                          ,                         ,                      ,                      ,                              ,               ,                  ,                          ,                  ,                                 ,                      ,C                                          ,C                     ,                 ,                       ,                         ,                                           ,                        ,                       ,                     ,                    ,                     ,                     ,                      ,                              ,                        ,                       ,                 ,                       ,                         ,                  ,                          ,                        ,                  ,                     ,                           ,                 ,                   ,                   ,                    ,                       ,                    ,                       ,                        ,                   ,                      ,                         ,                   ,                    ,                     ,                   ,                      ,                      ,                         ,                     ,                     ,                        ,                       ,                            ,                                ,                    ,                      ,                                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,190,1177,A, 41,R, 2,  65.00,    686.5500,Boeckel  ,Nannofossils                                 ,R              ,P                 ,                  ,                     ,                     ,                       ,F                          ,C                     ,A                      ,                        ,                      ,                      ,                   ,                   ,                        ,                       ,A                ,A                         ,                    ,                    ,                          ,                         ,                      ,                      ,                              ,               ,                  ,                          ,                  ,                                 ,                      ,                                           ,                      ,                 ,                       ,                         ,                                           ,                        ,                       ,                     ,                    ,                     ,                     ,                      ,                              ,                        ,                       ,                 ,                       ,                         ,                  ,                          ,                        ,                  ,                     ,                           ,                 ,                   ,                   ,                    ,                       ,                    ,                       ,                        ,                   ,                      ,                         ,                   ,                    ,                     ,                   ,                      ,                      ,                         ,                     ,                     ,                        ,                       ,                            ,                                ,                    ,                      ,                                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,190,1177,A, 41,R,CC,  23.00,    688.7000,Boeckel  ,Nannofossils                                 ,R              ,P                 ,                  ,                     ,                     ,                       ,C                          ,                      ,                       ,                        ,                      ,                      ,                   ,F                  ,                        ,A                      ,A                ,A                         ,                    ,                    ,                          ,                         ,                      ,                      ,                              ,               ,                  ,                          ,C                 ,                                 ,                      ,                                           ,                      ,                 ,F                      ,                         ,                                           ,                        ,C                      ,                     ,                    ,                     ,                     ,                      ,                              ,                        ,                       ,                 ,                       ,                         ,                  ,                          ,                        ,                  ,                     ,                           ,                 ,                   ,                   ,                    ,                       ,                    ,                       ,                        ,                   ,                      ,                         ,                   ,                    ,                     ,                   ,                      ,                      ,                         ,                     ,                     ,                        ,                       ,                            ,                                ,                    ,                      ,                                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,190,1177,A, 42,R, 1,  55.00,    694.5500,Boeckel  ,Nannofossils                                 ,R              ,P                 ,                  ,                     ,                     ,                       ,C                          ,                      ,                       ,                        ,                      ,                      ,                   ,                   ,                        ,A                      ,A                ,A                         ,                    ,                    ,                          ,                         ,F                     ,                      ,                              ,               ,                  ,                          ,                  ,                                 ,                      ,C                                          ,                      ,                 ,                       ,                         ,                                           ,                        ,                       ,                     ,                    ,                     ,                     ,                      ,                              ,                        ,                       ,                 ,                       ,                         ,                  ,                          ,                        ,                  ,                     ,                           ,                 ,                   ,                   ,                    ,                       ,                    ,                       ,                        ,                   ,                      ,                         ,                   ,                    ,                     ,                   ,                      ,                      ,                         ,                     ,                     ,                        ,                       ,                            ,                                ,                    ,                      ,                                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,190,1177,A, 42,R,CC,  20.00,    696.5000,Boeckel  ,Nannofossils                                 ,R              ,P                 ,                  ,C                    ,                     ,                       ,F                          ,                      ,C                      ,                        ,                      ,C                     ,                   ,                   ,                        ,A                      ,                 ,C                         ,                    ,                    ,                          ,                         ,                      ,                      ,                              ,               ,                  ,                          ,A                 ,                                 ,                      ,F                                          ,                      ,                 ,                       ,                         ,                                           ,C                       ,                       ,                     ,                    ,                     ,                     ,                      ,                              ,                        ,                       ,                 ,                       ,                         ,                  ,                          ,                        ,                  ,                     ,                           ,                 ,                   ,                   ,                    ,                       ,                    ,                       ,                        ,                   ,                      ,                         ,                   ,                    ,                     ,                   ,                      ,                      ,                         ,                     ,                     ,                        ,                       ,                            ,                                ,                    ,                      ,                                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,190,1177,A, 43,R, 2,  66.00,    705.8600,Boeckel  ,Nannofossils                                 ,R              ,P                 ,                  ,C                    ,C                    ,                       ,C                          ,                      ,C                      ,                        ,                      ,                      ,                   ,                   ,C                       ,A                      ,C                ,A                         ,                    ,                    ,                          ,                         ,                      ,                      ,                              ,               ,                  ,                          ,                  ,                                 ,                      ,F                                          ,                      ,                 ,                       ,C                        ,F                                          ,                        ,                       ,                     ,                    ,                     ,                     ,                      ,                              ,                        ,                       ,                 ,                       ,                         ,                  ,                          ,                        ,                  ,                     ,                           ,                 ,                   ,                   ,                    ,                       ,                    ,                       ,                        ,                   ,                      ,                         ,                   ,                    ,                     ,                   ,                      ,                      ,                         ,                     ,                     ,                        ,                       ,                            ,                                ,                    ,                      ,                                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,190,1177,A, 43,R,CC,  21.00,    707.1600,Boeckel  ,Nannofossils                                 ,R              ,P                 ,                  ,C                    ,                     ,                       ,                           ,                      ,                       ,                        ,                      ,                      ,                   ,                   ,                        ,A                      ,D                ,                          ,                    ,                    ,                          ,                         ,                      ,                      ,                              ,               ,                  ,                          ,                  ,                                 ,                      ,A                                          ,                      ,                 ,                       ,                         ,                                           ,                        ,                       ,                     ,                    ,                     ,                     ,                      ,                              ,                        ,                       ,                 ,                       ,                         ,                  ,                          ,                        ,                  ,                     ,                           ,                 ,                   ,                   ,                    ,                       ,                    ,                       ,                        ,                   ,                      ,                         ,                   ,                    ,                     ,                   ,                      ,                      ,                         ,                     ,                     ,                        ,                       ,                            ,                                ,                    ,                      ,                                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,190,1177,A, 44,R, 2,  54.00,    715.3400,Boeckel  ,Nannofossils                                 ,R              ,P                 ,                  ,                     ,                     ,                       ,                           ,                      ,                       ,                        ,                      ,                      ,                   ,                   ,                        ,A                      ,A                ,C                         ,                    ,                    ,                          ,                         ,C                     ,                      ,                              ,               ,                  ,                          ,                  ,                                 ,                      ,A                                          ,                      ,                 ,                       ,                         ,                                           ,                        ,                       ,                     ,                    ,                     ,                     ,                      ,                              ,                        ,                       ,                 ,                       ,                         ,                  ,                          ,                        ,                  ,                     ,                           ,                 ,                   ,                   ,                    ,                       ,                    ,                       ,                        ,                   ,                      ,                         ,                   ,                    ,                     ,                   ,                      ,                      ,                         ,                     ,                     ,                        ,                       ,                            ,                                ,                    ,                      ,                                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,190,1177,A, 44,R,CC,  21.00,    716.2400,Boeckel  ,Nannofossils                                 ,C              ,P                 ,                  ,F                    ,F                    ,                       ,F                          ,                      ,                       ,                        ,C                     ,C                     ,                   ,                   ,                        ,A                      ,D                ,C                         ,                    ,                    ,                          ,                         ,                      ,                      ,                              ,               ,                  ,                          ,                  ,                                 ,                      ,F                                          ,                      ,                 ,F                      ,F                        ,                                           ,                        ,                       ,                     ,                    ,                     ,                     ,                      ,                              ,                        ,                       ,                 ,                       ,                         ,                  ,                          ,                        ,                  ,                     ,                           ,                 ,                   ,                   ,                    ,                       ,                    ,                       ,                        ,                   ,                      ,                         ,                   ,                    ,                     ,                   ,                      ,                      ,                         ,                     ,                     ,                        ,                       ,                            ,                                ,                    ,                      ,                                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,190,1177,A, 45,R, 1,  96.00,    723.8600,Boeckel  ,Nannofossils                                 ,F              ,P                 ,                  ,                     ,                     ,                       ,C                          ,                      ,                       ,                        ,C                     ,                      ,                   ,                   ,                        ,A                      ,A                ,A                         ,                    ,                    ,                          ,                         ,                      ,                      ,                              ,               ,                  ,                          ,                  ,                                 ,                      ,C                                          ,                      ,                 ,                       ,                         ,                                           ,                        ,                       ,                     ,                    ,                     ,                     ,                      ,                              ,                        ,                       ,                 ,                       ,                         ,                  ,                          ,                        ,                  ,                     ,                           ,                 ,                   ,                   ,                    ,                       ,                    ,                       ,                        ,                   ,                      ,                         ,                   ,                    ,                     ,                   ,                      ,                      ,                         ,                     ,                     ,                        ,                       ,                            ,                                ,                    ,                      ,                                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
