Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Thalassiphora pelagica,Thalassiphora delicata,Thalassiphora cf. T. pansa,Tectatodinium pellitum,Spiniferites ramosus,Spiniferites membranaceus,Reticulatosphaera actinocoronata,Polysphaeridium zoharyi,Pentadinium laticinctum,Operculodinium centrocarpum,Nematosphaeropsis labyrinthea,Incertae sedis sp.1,Impagidinium? pallidum,Impagidinium velorum,Impagidinium aspinatum,Hystrichokolpoma rigaudiae,Hystrichokolpoma cinctum,Homotryblium floripes,Distatodinium paradoxum,Dapsilidinium pseudocolligerum,Dapsilidinium pastielsii,Cyclopsiella granosa,Chiropteridium mespilanum,Cannosphaeropsis cf. C. utinensis,Caligodinium pychnum,Apteodinium spiridoides,Apteodinium australiense,Tuberculodinium vancampoae,Palaeocystodinium golzowense,Operculodinium janduchenei,Impagidinium patulum,Dapsilidinium sp. ,Batiacasphaera sphaerica,Apteodinium sp. A,Spiniferites rubinus,Polysphaeridium congregatum,Nematosphaeropsis major,Micrhystridium sp.,Impagidinium aliferum,Homotryblium vallum,Homotryblium tenuispinosum,Bitectatodinium spp.,Amiculosphaera umbracula,Spiniferites spp.,Lingulodinium machaerophorum,Hystrichosphaeropsis obscura,Operculodinium? eirikianum,Operculodinium israelianum/crassum,Hystrichokolpoma denticulatum,Habibacysta tectata,Filisphaera filifera,Bitectatodinium tepikiense,Achomosphaera andalousiensis,Selenopemphix nephroides,Cymatiosphaera invaginata,Sumatradinium hispidum,Spiniferites mirabilis,Spiniferites elongatus,Operculodinium psilatum,Nematosphaeropsis oblonga,Multispinula minuta,Invertocysta lacrymosa,Impagidinium strialatum,Impagidinium bacatum,Impagidinium aculeatum,Lejeunecysta communis,Impagidinium sp. F ,Impagidinium sphaericum,Impagidinium japonicum,Galeacysta etrusca,Achomosphaera ramulifera,Melitasphaeridium choanophorum,Selenopemphix brevispinosa,Stelladinium stellatum,Spiniferites bentorii,Multispinula quanta,Comment
  SR,Pleistocene      ,                 ,Zone IV           ,              ,149, 898,A,  6,H, 7,  15.00,     56.3700,McCarthy ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                      ,                      ,                          ,                      ,                    ,                         ,                                ,                       ,                       ,                           ,                             ,                   ,                      ,                    ,                      ,                          ,                        ,                     ,                       ,                              ,                        ,                    ,                         ,                                 ,                    ,                       ,                        ,                          ,                            ,                          ,R                   ,                  ,                        ,                 ,                    ,                           ,                       ,                  ,                     ,                   ,                          ,A                   ,                        ,C                ,                            ,                            ,                          ,                                  ,                             ,                   ,                    ,R                         ,                            ,R                       ,                         ,                      ,                      ,                      ,                       ,                         ,F                  ,                      ,                       ,                    ,                      ,                     ,                   ,                       ,                      ,                  ,                        ,                              ,                          ,R                     ,                     ,R                  ,6.95 Dinocyst concentration/ml (×1000). from 149 SR. Chapter 10. Table 1. pages 244-249.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,Zone IV           ,              ,149, 898,A,  7,H, 3,  77.00,     60.4700,McCarthy ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                      ,                      ,                          ,                      ,                    ,                         ,                                ,                       ,                       ,F                          ,R                            ,                   ,                      ,                    ,                      ,                          ,                        ,                     ,                       ,                              ,                        ,                    ,                         ,                                 ,                    ,                       ,                        ,                          ,                            ,                          ,F                   ,                  ,                        ,                 ,                    ,                           ,                       ,                  ,                     ,                   ,                          ,                    ,                        ,F                ,F                           ,                            ,                          ,                                  ,                             ,                   ,                    ,C                         ,                            ,                        ,                         ,                      ,R                     ,                      ,                       ,                         ,                   ,                      ,                       ,                    ,R                     ,                     ,                   ,R                      ,                      ,                  ,                        ,                              ,                          ,                      ,                     ,                   ,1.23 Dinocyst concentration/ml (×1000). from 149 SR. Chapter 10. Table 1. pages 244-249.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,Zone IV           ,              ,149, 898,A,  7,H, 4,  82.00,     62.0200,McCarthy ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                      ,                      ,                          ,                      ,R                   ,                         ,                                ,                       ,                       ,F                          ,                             ,                   ,                      ,                    ,                      ,                          ,                        ,                     ,                       ,                              ,                        ,                    ,                         ,                                 ,                    ,                       ,                        ,                          ,                            ,                          ,R                   ,                  ,                        ,                 ,                    ,                           ,                       ,                  ,                     ,                   ,                          ,A                   ,                        ,C                ,F                           ,                            ,                          ,                                  ,                             ,                   ,                    ,R                         ,R                           ,R                       ,                         ,                      ,                      ,R                     ,                       ,                         ,                   ,                      ,                       ,                    ,                      ,                     ,                   ,                       ,                      ,                  ,                        ,                              ,                          ,R                     ,                     ,F                  ,10.8 Dinocyst concentration/ml (×1000). from 149 SR. Chapter 10. Table 1. pages 244-249.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,Zone IV           ,              ,149, 898,A,  7,H, 6, 110.00,     65.3000,McCarthy ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                      ,                      ,                          ,                      ,F                   ,                         ,                                ,R                      ,                       ,C                          ,R                            ,                   ,                      ,                    ,                      ,                          ,                        ,                     ,                       ,                              ,                        ,                    ,                         ,                                 ,                    ,                       ,                        ,                          ,                            ,R                         ,F                   ,                  ,                        ,                 ,                    ,                           ,                       ,                  ,                     ,                   ,                          ,F                   ,                        ,F                ,F                           ,                            ,                          ,F                                 ,                             ,                   ,                    ,R                         ,R                           ,R                       ,                         ,                      ,F                     ,                      ,                       ,                         ,                   ,                      ,                       ,                    ,F                     ,                     ,                   ,R                      ,R                     ,                  ,R                       ,                              ,                          ,                      ,                     ,                   ,0.92 Dinocyst concentration/ml (×1000). from 149 SR. Chapter 10. Table 1. pages 244-249.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,Zone IV           ,              ,149, 898,A,  8,H, 1,  42.00,     66.6200,McCarthy ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                      ,                      ,                          ,R                     ,F                   ,                         ,                                ,                       ,                       ,                           ,                             ,                   ,                      ,                    ,                      ,                          ,                        ,                     ,                       ,                              ,                        ,                    ,                         ,                                 ,                    ,                       ,                        ,                          ,                            ,                          ,                    ,                  ,                        ,                 ,                    ,                           ,                       ,                  ,                     ,                   ,                          ,C                   ,                        ,C                ,F                           ,                            ,                          ,C                                 ,                             ,                   ,                    ,C                         ,F                           ,F                       ,                         ,                      ,F                     ,                      ,                       ,                         ,                   ,                      ,                       ,                    ,                      ,                     ,                   ,                       ,                      ,                  ,                        ,                              ,                          ,                      ,                     ,                   ,2.95 Dinocyst concentration/ml (×1000). from 149 SR. Chapter 10. Table 1. pages 244-249.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,Zone IV           ,              ,149, 898,A,  8,H, 5, 103.00,     73.2900,McCarthy ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                      ,                      ,                          ,                      ,                    ,                         ,                                ,                       ,                       ,C                          ,                             ,                   ,                      ,                    ,                      ,                          ,                        ,                     ,                       ,                              ,                        ,                    ,                         ,                                 ,                    ,                       ,                        ,                          ,                            ,                          ,                    ,                  ,                        ,                 ,                    ,                           ,                       ,                  ,                     ,                   ,                          ,                    ,                        ,R                ,                            ,                            ,                          ,                                  ,                             ,                   ,                    ,R                         ,                            ,                        ,                         ,                      ,                      ,                      ,                       ,                         ,                   ,                      ,                       ,                    ,A                     ,                     ,                   ,                       ,                      ,                  ,                        ,                              ,                          ,                      ,                     ,                   ,0.64 Dinocyst concentration/ml (×1000). from 149 SR. Chapter 10. Table 1. pages 244-249.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,Zone IV           ,              ,149, 898,A,  8,H, 7,  58.00,     75.8400,McCarthy ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                      ,                      ,                          ,R                     ,F                   ,                         ,                                ,                       ,                       ,                           ,                             ,                   ,                      ,                    ,                      ,                          ,                        ,                     ,                       ,                              ,                        ,                    ,                         ,                                 ,                    ,                       ,                        ,                          ,                            ,                          ,                    ,                  ,                        ,                 ,                    ,                           ,                       ,                  ,                     ,                   ,                          ,A                   ,                        ,F                ,                            ,                            ,                          ,F                                 ,                             ,                   ,                    ,C                         ,                            ,F                       ,                         ,                      ,                      ,                      ,                       ,                         ,F                  ,                      ,                       ,                    ,F                     ,                     ,                   ,                       ,                      ,                  ,                        ,                              ,                          ,                      ,                     ,                   ,0.16 Dinocyst concentration/ml (×1000). from 149 SR. Chapter 10. Table 1. pages 244-249.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,Zone IV           ,              ,149, 898,A,  9,H, 6, 104.00,     84.3500,McCarthy ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                      ,                      ,                          ,                      ,R                   ,                         ,                                ,                       ,                       ,                           ,                             ,                   ,                      ,                    ,                      ,                          ,                        ,                     ,                       ,                              ,                        ,                    ,                         ,                                 ,                    ,                       ,                        ,                          ,                            ,                          ,                    ,                  ,                        ,                 ,                    ,                           ,                       ,                  ,                     ,                   ,                          ,                    ,                        ,F                ,                            ,                            ,                          ,                                  ,                             ,                   ,R                   ,C                         ,                            ,                        ,                         ,                      ,                      ,                      ,                       ,                         ,                   ,                      ,                       ,                    ,F                     ,                     ,                   ,R                      ,                      ,                  ,R                       ,                              ,                          ,                      ,                     ,                   ,2.53 Dinocyst concentration/ml (×1000). from 149 SR. Chapter 10. Table 1. pages 244-249.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,Zone IV           ,              ,149, 898,A,  9,H, 7,  66.00,     85.4700,McCarthy ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                      ,                      ,                          ,                      ,R                   ,                         ,                                ,                       ,                       ,F                          ,                             ,                   ,                      ,                    ,                      ,                          ,                        ,                     ,                       ,                              ,                        ,                    ,                         ,                                 ,                    ,                       ,                        ,                          ,                            ,                          ,                    ,                  ,                        ,                 ,                    ,                           ,                       ,                  ,                     ,                   ,                          ,A                   ,                        ,C                ,                            ,                            ,                          ,R                                 ,                             ,                   ,                    ,C                         ,F                           ,R                       ,                         ,                      ,R                     ,                      ,                       ,                         ,F                  ,                      ,                       ,                    ,                      ,                     ,                   ,                       ,                      ,                  ,                        ,                              ,                          ,                      ,                     ,                   ,9.42 Dinocyst concentration/ml (×1000). from 149 SR. Chapter 10. Table 1. pages 244-249.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,Zone IV           ,              ,149, 898,A, 10,H, 3,  99.00,     89.1900,McCarthy ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                      ,                      ,                          ,                      ,                    ,                         ,                                ,                       ,                       ,R                          ,                             ,                   ,                      ,                    ,                      ,                          ,                        ,                     ,                       ,                              ,                        ,                    ,                         ,                                 ,                    ,                       ,                        ,                          ,                            ,                          ,F                   ,                  ,                        ,                 ,                    ,                           ,                       ,                  ,                     ,                   ,                          ,A                   ,                        ,F                ,                            ,                            ,                          ,                                  ,                             ,                   ,                    ,C                         ,F                           ,F                       ,                         ,                      ,                      ,                      ,                       ,                         ,                   ,                      ,F                      ,                    ,                      ,                     ,                   ,                       ,                      ,                  ,                        ,                              ,                          ,                      ,                     ,                   ,4.97 Dinocyst concentration/ml (×1000). from 149 SR. Chapter 10. Table 1. pages 244-249.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,Zone IV           ,              ,149, 898,A, 10,H, 5,  88.00,     92.0800,McCarthy ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                      ,                      ,                          ,                      ,                    ,                         ,                                ,                       ,                       ,                           ,                             ,                   ,                      ,                    ,                      ,                          ,                        ,                     ,                       ,                              ,                        ,                    ,                         ,                                 ,                    ,                       ,                        ,                          ,                            ,                          ,                    ,                  ,                        ,                 ,                    ,                           ,                       ,                  ,                     ,                   ,                          ,A                   ,                        ,C                ,                            ,                            ,                          ,F                                 ,                             ,                   ,                    ,C                         ,R                           ,R                       ,                         ,                      ,                      ,                      ,                       ,                         ,R                  ,                      ,                       ,                    ,R                     ,                     ,                   ,                       ,                      ,                  ,                        ,                              ,                          ,R                     ,                     ,R                  ,4.34 Dinocyst concentration/ml (×1000). from 149 SR. Chapter 10. Table 1. pages 244-249.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,Zone IV           ,              ,149, 898,A, 11,H, 1, 111.00,     95.8100,McCarthy ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                      ,                      ,                          ,                      ,                    ,                         ,                                ,R                      ,                       ,                           ,                             ,                   ,                      ,                    ,                      ,                          ,                        ,                     ,                       ,                              ,                        ,                    ,                         ,                                 ,                    ,                       ,                        ,                          ,                            ,                          ,F                   ,                  ,                        ,                 ,                    ,                           ,                       ,                  ,                     ,                   ,                          ,F                   ,                        ,C                ,                            ,                            ,                          ,                                  ,                             ,                   ,                    ,A                         ,F                           ,                        ,                         ,                      ,                      ,                      ,                       ,                         ,                   ,                      ,                       ,                    ,F                     ,                     ,                   ,F                      ,                      ,                  ,                        ,                              ,                          ,                      ,                     ,                   ,6.58 Dinocyst concentration/ml (×1000). from 149 SR. Chapter 10. Table 1. pages 244-249.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,Zone IV           ,              ,149, 898,A, 11,H, 2,  19.00,     96.4100,McCarthy ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                      ,                      ,                          ,R                     ,                    ,                         ,                                ,                       ,                       ,R                          ,                             ,                   ,                      ,                    ,                      ,                          ,                        ,                     ,                       ,                              ,                        ,                    ,                         ,                                 ,                    ,                       ,                        ,                          ,                            ,                          ,F                   ,                  ,                        ,                 ,                    ,                           ,                       ,                  ,                     ,                   ,                          ,                    ,                        ,F                ,R                           ,                            ,                          ,                                  ,                             ,                   ,                    ,A                         ,F                           ,R                       ,                         ,                      ,                      ,                      ,                       ,                         ,R                  ,                      ,                       ,                    ,C                     ,                     ,                   ,R                      ,                      ,                  ,                        ,                              ,                          ,                      ,                     ,                   ,5.88 Dinocyst concentration/ml (×1000). from 149 SR. Chapter 10. Table 1. pages 244-249.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,Zone IV           ,              ,149, 898,A, 11,H, 4,  21.00,     99.4300,McCarthy ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                      ,                      ,                          ,                      ,                    ,                         ,                                ,                       ,                       ,F                          ,                             ,                   ,                      ,                    ,                      ,                          ,                        ,                     ,                       ,                              ,                        ,                    ,                         ,                                 ,                    ,                       ,                        ,                          ,                            ,                          ,                    ,                  ,                        ,                 ,                    ,                           ,                       ,                  ,                     ,                   ,                          ,                    ,                        ,C                ,R                           ,                            ,                          ,R                                 ,                             ,                   ,                    ,A                         ,F                           ,                        ,                         ,                      ,F                     ,                      ,                       ,                         ,                   ,                      ,R                      ,                    ,F                     ,                     ,                   ,                       ,                      ,                  ,                        ,                              ,                          ,                      ,                     ,                   ,5.25 Dinocyst concentration/ml (×1000). from 149 SR. Chapter 10. Table 1. pages 244-249.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,Zone IV           ,              ,149, 898,A, 11,H, 5, 148.00,    102.2000,McCarthy ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                      ,                      ,                          ,                      ,                    ,                         ,                                ,                       ,                       ,R                          ,                             ,                   ,                      ,                    ,                      ,                          ,                        ,                     ,                       ,                              ,                        ,                    ,                         ,                                 ,                    ,                       ,                        ,                          ,                            ,                          ,R                   ,                  ,                        ,                 ,                    ,                           ,                       ,                  ,                     ,                   ,                          ,C                   ,                        ,                 ,                            ,                            ,                          ,R                                 ,                             ,                   ,                    ,A                         ,                            ,                        ,                         ,                      ,                      ,                      ,                       ,                         ,                   ,                      ,C                      ,                    ,                      ,                     ,                   ,R                      ,                      ,                  ,                        ,                              ,                          ,                      ,                     ,                   ,1.74 Dinocyst concentration/ml (×1000). from 149 SR. Chapter 10. Table 1. pages 244-249.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,Zone IV           ,              ,149, 898,A, 12,H, 1, 136.00,    105.5600,McCarthy ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                      ,                      ,                          ,                      ,                    ,                         ,                                ,F                      ,                       ,F                          ,                             ,                   ,                      ,                    ,                      ,                          ,                        ,                     ,                       ,                              ,                        ,                    ,                         ,                                 ,                    ,                       ,                        ,                          ,                            ,                          ,                    ,                  ,                        ,                 ,                    ,                           ,                       ,                  ,                     ,                   ,                          ,A                   ,                        ,F                ,F                           ,                            ,                          ,C                                 ,                             ,                   ,                    ,F                         ,                            ,F                       ,                         ,                      ,                      ,                      ,                       ,                         ,                   ,                      ,                       ,                    ,                      ,R                    ,                   ,                       ,                      ,                  ,                        ,                              ,                          ,                      ,                     ,F                  ,6.75 Dinocyst concentration/ml (×1000). from 149 SR. Chapter 10. Table 1. pages 244-249.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,Zone IV           ,              ,149, 898,A, 12,H, 3, 110.00,    108.3200,McCarthy ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                      ,                      ,                          ,                      ,                    ,                         ,                                ,                       ,                       ,R                          ,                             ,                   ,                      ,                    ,                      ,                          ,                        ,                     ,                       ,                              ,                        ,                    ,                         ,                                 ,                    ,                       ,                        ,                          ,                            ,                          ,                    ,                  ,                        ,                 ,                    ,                           ,                       ,                  ,                     ,                   ,                          ,A                   ,                        ,F                ,F                           ,                            ,                          ,                                  ,                             ,                   ,                    ,C                         ,R                           ,F                       ,                         ,                      ,                      ,                      ,                       ,                         ,                   ,                      ,                       ,                    ,                      ,                     ,                   ,                       ,                      ,                  ,                        ,                              ,                          ,F                     ,                     ,                   ,14 Dinocyst concentration/ml (×1000). from 149 SR. Chapter 10. Table 1. pages 244-249.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,Zone IV           ,              ,149, 898,A, 12,H, 4,  70.00,    109.4200,McCarthy ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                      ,                      ,                          ,                      ,                    ,                         ,                                ,                       ,                       ,F                          ,                             ,                   ,                      ,                    ,                      ,                          ,                        ,                     ,                       ,                              ,                        ,                    ,                         ,                                 ,                    ,                       ,                        ,                          ,                            ,                          ,                    ,                  ,                        ,                 ,                    ,                           ,                       ,                  ,                     ,                   ,                          ,F                   ,                        ,A                ,                            ,                            ,                          ,F                                 ,                             ,                   ,                    ,A                         ,                            ,                        ,                         ,                      ,R                     ,                      ,                       ,                         ,                   ,                      ,                       ,                    ,F                     ,                     ,                   ,R                      ,                      ,                  ,                        ,                              ,                          ,                      ,                     ,                   ,10.2 Dinocyst concentration/ml (×1000). from 149 SR. Chapter 10. Table 1. pages 244-249.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,Zone IV           ,              ,149, 898,A, 13,H, 1,  85.00,    114.5500,McCarthy ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                      ,                      ,                          ,                      ,                    ,                         ,                                ,                       ,                       ,                           ,                             ,                   ,                      ,                    ,                      ,                          ,                        ,                     ,                       ,                              ,                        ,                    ,                         ,                                 ,                    ,                       ,                        ,                          ,                            ,                          ,                    ,                  ,                        ,                 ,                    ,                           ,                       ,                  ,                     ,                   ,                          ,A                   ,                        ,C                ,                            ,                            ,                          ,                                  ,                             ,                   ,                    ,F                         ,                            ,                        ,                         ,                      ,                      ,                      ,                       ,                         ,F                  ,                      ,                       ,                    ,                      ,R                    ,                   ,                       ,                      ,                  ,                        ,                              ,                          ,                      ,                     ,                   ,5.57 Dinocyst concentration/ml (×1000). from 149 SR. Chapter 10. Table 1. pages 244-249.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,Zone IV           ,              ,149, 898,A, 13,H, 6,  13.00,    121.3300,McCarthy ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                      ,                      ,                          ,                      ,F                   ,                         ,                                ,                       ,                       ,F                          ,                             ,                   ,                      ,                    ,                      ,                          ,                        ,                     ,                       ,                              ,                        ,                    ,                         ,                                 ,                    ,                       ,                        ,                          ,                            ,                          ,                    ,                  ,                        ,                 ,                    ,                           ,                       ,                  ,                     ,                   ,                          ,F                   ,                        ,R                ,F                           ,                            ,                          ,C                                 ,                             ,                   ,                    ,A                         ,R                           ,                        ,                         ,                      ,                      ,                      ,                       ,                         ,                   ,                      ,                       ,                    ,                      ,                     ,                   ,                       ,                      ,                  ,                        ,                              ,                          ,                      ,                     ,                   ,7.19 Dinocyst concentration/ml (×1000). from 149 SR. Chapter 10. Table 1. pages 244-249.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,Zone IV           ,              ,149, 898,A, 14,H, 5,   1.00,    129.2700,McCarthy ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                      ,                      ,                          ,                      ,                    ,                         ,                                ,R                      ,                       ,F                          ,                             ,                   ,                      ,                    ,                      ,                          ,                        ,                     ,                       ,                              ,                        ,                    ,                         ,                                 ,                    ,                       ,                        ,                          ,                            ,                          ,                    ,                  ,                        ,                 ,                    ,                           ,                       ,                  ,                     ,                   ,                          ,R                   ,                        ,A                ,C                           ,                            ,                          ,C                                 ,                             ,                   ,                    ,F                         ,R                           ,                        ,                         ,                      ,                      ,                      ,                       ,                         ,                   ,R                     ,R                      ,                    ,                      ,                     ,                   ,                       ,                      ,                  ,                        ,                              ,                          ,                      ,                     ,R                  ,6.06 Dinocyst concentration/ml (×1000). from 149 SR. Chapter 10. Table 1. pages 244-249.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,Zone IV           ,              ,149, 898,A, 15,X, 2,  48.00,    134.6800,McCarthy ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                      ,                      ,                          ,                      ,R                   ,                         ,                                ,F                      ,                       ,R                          ,                             ,                   ,                      ,                    ,                      ,                          ,                        ,                     ,                       ,                              ,                        ,                    ,                         ,                                 ,                    ,                       ,                        ,                          ,                            ,                          ,                    ,                  ,                        ,                 ,                    ,                           ,                       ,                  ,                     ,                   ,                          ,C                   ,                        ,F                ,F                           ,                            ,                          ,F                                 ,                             ,                   ,                    ,F                         ,                            ,R                       ,                         ,                      ,                      ,R                     ,                       ,                         ,                   ,F                     ,                       ,                    ,                      ,R                    ,                   ,                       ,                      ,                  ,                        ,                              ,                          ,                      ,                     ,F                  ,3.5 Dinocyst concentration/ml (×1000). from 149 SR. Chapter 10. Table 1. pages 244-249.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,Zone IV           ,              ,149, 898,A, 15,X, 4,  71.00,    137.9100,McCarthy ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                      ,                      ,                          ,R                     ,                    ,                         ,                                ,                       ,                       ,                           ,                             ,                   ,                      ,                    ,                      ,                          ,                        ,                     ,                       ,                              ,                        ,                    ,                         ,                                 ,                    ,                       ,                        ,                          ,                            ,                          ,                    ,                  ,                        ,                 ,                    ,                           ,                       ,                  ,                     ,                   ,                          ,F                   ,                        ,F                ,R                           ,                            ,                          ,A                                 ,                             ,                   ,                    ,F                         ,                            ,R                       ,                         ,                      ,F                     ,                      ,                       ,                         ,                   ,                      ,                       ,                    ,                      ,                     ,                   ,                       ,                      ,                  ,                        ,                              ,                          ,                      ,                     ,                   ,10.8 Dinocyst concentration/ml (×1000). from 149 SR. Chapter 10. Table 1. pages 244-249.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
