Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Subbotina linaperta	Globoquadrina venezuelana	Subbotina patagonica	Globigerinatheka index	Subbotina angiporoides	Catapsydrax dissimilis	Globorotaloides suteri	Paragloborotalia pseudocontinuosa	Paragloborotalia nana	Globigerina officinalis	Catapsydrax unicavus	Globorotalia (Fohsella) cf. pseudokugleri	Globigerina praebulloides	Turborotalia euapertura	Tenuitella gemma	Globoquadrina dehiscens	Globigerinita glutinata	Globigerina quinqueloba	Dentoglobigerina praedehiscens	Catapsydrax stainforthi	Tenuitellinata angustiumbilicata	Tenuitella minutissima	Paragloborotalia continuosa	Paragloborotalia bella	Globoturborotalita woodi	Globoturborotalita connecta	Globorotalia zealandica	Globorotalia praescitula	Globorotalia panda	Praeorbulina curva	Globorotalia praemenardii	Globorotalia miozea	Globigerina bulloides	Paragloborotalia nympha	Globoturborotalita decoraperta	Globoturborotalita brazieri	Globigerinoides trilobus	Globorotalia scitula	Globorotalia peripheroronda	Paragloborotalia mayeri	Orbulina suturalis	Orbulina universa	Globorotalia miotumida	Globorotalia conoidea	Globigerinita uvula	Globigerinoides parawoodi	Globorotalia conica	Globigerinella praesiphonifera	Globorotalia explicationis	Globigerinoides quadrilobatus	Pulleniatina primalis	Pulleniatina obliquiloculata	Neogloboquadrina humerosa	Neogloboquadrina pachyderma (sinistral)	Globorotalia limbata	Globigerinella obesa	Globoturborotalita apertura	Globorotalia conomiozea	Globorotalia sphericomiozea	Neogloboquadrina pachyderma	Globorotalia puncticuloides	Globorotalia puncticulata	Globorotalia pliozea	Globorotalia crassaformis	Globigerina falconensis	Globorotalia crassaconica	Globorotalia crassula	Globorotalia crassacarina	Globigerinoides obliquus	Globigerinella aequilateralis	Globorotalia triangula	Globorotalia inflata	Globigerina umbilicata	Globorotalia truncatulinoides	Globigerinita parkerae	Comment
  IR	                 	                 	                  	SP14b         	189	1172	A	 38	X	CC	  24.00	    353.7600	forams   	Planktonic Foraminifers                      	R              	P                 	                   	                         	                    	                      	                      	                      	                      	                                 	                     	                       	                    	+                                        	+                        	                       	                	                       	                       	                       	                              	                       	                                	                      	                           	                      	                        	                           	                       	                        	                  	                  	                         	                   	                     	                       	                              	                           	                        	                    	                           	                       	                  	                 	                      	                     	                   	                         	                   	                              	                          	                             	                     	                            	                         	                                       	                    	                    	                           	                       	                           	                           	                           	                         	                    	                         	                       	                         	                     	                         	                        	                             	                      	                    	                      	                             	                      	       

  IR	                 	                 	                  	AP13          	189	1172	A	 39	X	 2	   5.00	    356.1500	forams   	Planktonic Foraminifers                      	R              	M                 	                   	                         	                    	                      	+                     	                      	+                     	+                                	+                    	+                      	+                   	                                         	                         	                       	                	                       	                       	                       	                              	                       	                                	                      	                           	                      	                        	                           	                       	                        	                  	                  	                         	                   	                     	                       	                              	                           	                        	                    	                           	                       	                  	                 	                      	                     	                   	                         	                   	                              	                          	                             	                     	                            	                         	                                       	                    	                    	                           	                       	                           	                           	                           	                         	                    	                         	                       	                         	                     	                         	                        	                             	                      	                    	                      	                             	                      	       

  IR	                 	                 	                  	AP12          	189	1172	A	 39	X	CC	  27.00	    364.3400	forams   	Planktonic Foraminifers                      	R              	M                 	+                  	                         	                    	                      	+                     	+                     	+                     	                                 	                     	                       	                    	                                         	                         	                       	                	                       	                       	                       	                              	                       	                                	                      	                           	                      	                        	                           	                       	                        	                  	                  	                         	                   	                     	                       	                              	                           	                        	                    	                           	                       	                  	                 	                      	                     	                   	                         	                   	                              	                          	                             	                     	                            	                         	                                       	                    	                    	                           	                       	                           	                           	                           	                         	                    	                         	                       	                         	                     	                         	                        	                             	                      	                    	                      	                             	                      	       

  IR	                 	                 	SP11              	AP12          	189	1172	A	 40	X	CC	  26.00	    374.0000	forams   	Planktonic Foraminifers                      	F              	G                 	+                  	                         	                    	                      	+                     	+                     	+                     	                                 	                     	                       	                    	                                         	                         	                       	                	                       	                       	                       	                              	                       	                                	                      	                           	                      	                        	                           	                       	                        	                  	                  	                         	                   	                     	                       	                              	                           	                        	                    	                           	                       	                  	                 	                      	                     	                   	                         	                   	                              	                          	                             	                     	                            	                         	                                       	                    	                    	                           	                       	                           	                           	                           	                         	                    	                         	                       	                         	                     	                         	                        	                             	                      	                    	                      	                             	                      	2 different species of biserial planktics, C. cubensis??

  IR	                 	                 	SP11              	SP10          	189	1172	A	 41	X	CC	  31.00	    383.4500	forams   	Planktonic Foraminifers                      	F              	G                 	+                  	                         	                    	                      	+                     	+                     	                      	                                 	                     	                       	                    	                                         	                         	                       	                	                       	                       	                       	                              	                       	                                	                      	                           	                      	                        	                           	                       	                        	                  	                  	                         	                   	                     	                       	                              	                           	                        	                    	                           	                       	                  	                 	                      	                     	                   	                         	                   	                              	                          	                             	                     	                            	                         	                                       	                    	                    	                           	                       	                           	                           	                           	                         	                    	                         	                       	                         	                     	                         	                        	                             	                      	                    	                      	                             	                      	       

  IR	                 	                 	SP11              	SP9           	189	1172	A	 42	X	CC	  51.00	    393.1800	forams   	Planktonic Foraminifers                      	R              	M                 	+                  	                         	+                   	+                     	                      	                      	                      	                                 	                     	                       	                    	                                         	                         	                       	                	                       	                       	                       	                              	                       	                                	                      	                           	                      	                        	                           	                       	                        	                  	                  	                         	                   	                     	                       	                              	                           	                        	                    	                           	                       	                  	                 	                      	                     	                   	                         	                   	                              	                          	                             	                     	                            	                         	                                       	                    	                    	                           	                       	                           	                           	                           	                         	                    	                         	                       	                         	                     	                         	                        	                             	                      	                    	                      	                             	                      	C. cubensis absent and G. index present (41.20-42.90 Ma)

  IR	                 	                 	SP11              	SP9           	189	1172	A	 43	X	CC	  33.00	    402.8300	forams   	Planktonic Foraminifers                      	R              	M                 	+                  	+                        	                    	                      	                      	                      	                      	                                 	                     	                       	                    	                                         	                         	                       	                	                       	                       	                       	                              	                       	                                	                      	                           	                      	                        	                           	                       	                        	                  	                  	                         	                   	                     	                       	                              	                           	                        	                    	                           	                       	                  	                 	                      	                     	                   	                         	                   	                              	                          	                             	                     	                            	                         	                                       	                    	                    	                           	                       	                           	                           	                           	                         	                    	                         	                       	                         	                     	                         	                        	                             	                      	                    	                      	                             	                      	       

