Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Discoaster calculosus,Sphenolithus heteromorphus,Sphenolithus abies,Reticulofenestra pseudoumbilica,Discoaster deflandrei,Cyclicargolithus floridanus,Discoaster tristellifer,Sphenolithus moriformis,Coccolithus pelagicus,Coronocyclus nitescens,Coccolithus miopelagicus,Helicosphaera obliqua,Helicosphaera intermedia,Helicosphaera carteri,Discoaster variabilis,Reticulofenestra minutula,Sphenolithus distentus,Reticulofenestra minuta,Helicosphaera granulata,Helicosphaera ampliaperta,Discoaster exilis,Pontosphaera pachymorpha,Discoaster bollii,Calcidiscus leptoporus,Catinaster coalitus,Scyphosphaera pulcherrima,Discoaster adamanteus,Discolithina sp.,Discoaster druggii,Discoaster kugleri,Discoaster sp. cf. Discoaster bellus,Discoaster brouweri,Discoaster bellus,Sphenolithus predistentus,Discoaster hamatus,Discoaster quinqueramus,Discoaster prepentaradiatus,Discoaster surculus,Discoaster berggrenii,Amaurolithus primus,Discoaster neohamatus,Amaurolithus delicatus,Discoaster pentaradiatus,Ceratolithus cristatus,Discoaster asymmetricus (grainy),Pseudoemiliania lacunosa,Calcidiscus tropicus,Gephyrocapsa spp. (small),Gephyrocapsa oceanica s.l.,Umbilicosphaera sibogae,Comment
  SR,Late Miocene     ,                 ,CN9a              ,              ,116, 718,C, 28,X, 1,  16.00,    265.9600,Gartner  ,Nannofossils                                 ,               ,                  ,                     ,                          ,R                 ,T                              ,                     ,                           ,T                      ,                       ,T                    ,                      ,                        ,                     ,                        ,                     ,                     ,                         ,                      ,                       ,                       ,                         ,                 ,                        ,                 ,                      ,                   ,                         ,                     ,                ,                  ,                  ,                                    ,                   ,                 ,                         ,                  ,                       ,                           ,                   ,                     ,                   ,                     ,                      ,                        ,                      ,                                ,                        ,                    ,                         ,                          ,                       ,from ODP Leg 116 SR Chapter 15 Figure 7 p 176-181
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN9a              ,              ,116, 718,C, 28,X,CC,  10.00,    266.3200,Gartner  ,Nannofossils                                 ,               ,                  ,                     ,                          ,T                 ,T                              ,                     ,                           ,                       ,                       ,                     ,                      ,                        ,                     ,                        ,                     ,                     ,                         ,                      ,                       ,                       ,                         ,                 ,                        ,                 ,                      ,                   ,                         ,                     ,                ,                  ,                  ,                                    ,T                  ,                 ,                         ,                  ,T                      ,T                          ,                   ,                     ,                   ,                     ,                      ,                        ,                      ,                                ,                        ,                    ,                         ,                          ,                       ,from ODP Leg 116 SR Chapter 15 Figure 7 p 176-181
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN9a              ,              ,116, 718,C, 29,X,CC,  33.00,    277.0800,Gartner  ,Nannofossils                                 ,               ,                  ,                     ,                          ,T                 ,                               ,                     ,                           ,                       ,                       ,T                    ,                      ,                        ,                     ,                        ,                     ,                     ,                         ,                      ,                       ,                       ,                         ,                 ,                        ,                 ,T                     ,                   ,                         ,                     ,                ,                  ,                  ,                                    ,                   ,                 ,                         ,                  ,                       ,                           ,                   ,                     ,                   ,                     ,                      ,                        ,                      ,                                ,                        ,                    ,                         ,                          ,                       ,from ODP Leg 116 SR Chapter 15 Figure 7 p 176-181
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN9a              ,              ,116, 718,C, 31,X,CC,   0.00,    294.3000,Gartner  ,Nannofossils                                 ,               ,                  ,                     ,                          ,R                 ,R                              ,                     ,                           ,                       ,                       ,                     ,                      ,                        ,                     ,                        ,                     ,                     ,                         ,                      ,                       ,                       ,                         ,                 ,                        ,                 ,                      ,                   ,                         ,                     ,                ,                  ,                  ,                                    ,                   ,                 ,                         ,                  ,R                      ,                           ,                   ,                     ,                   ,                     ,                      ,                        ,                      ,                                ,                        ,                    ,                         ,                          ,                       ,from ODP Leg 116 SR Chapter 15 Figure 7 p 176-181
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN9a              ,              ,116, 718,C, 32,X, 1, 118.00,    304.9800,Gartner  ,Nannofossils                                 ,               ,                  ,                     ,                          ,R                 ,T                              ,                     ,                           ,                       ,                       ,                     ,                      ,                        ,                     ,                        ,                     ,                     ,R                        ,                      ,                       ,                       ,                         ,                 ,                        ,                 ,                      ,                   ,                         ,                     ,                ,                  ,                  ,                                    ,R                  ,                 ,                         ,                  ,                       ,T                          ,                   ,                     ,                   ,                     ,                      ,                        ,                      ,                                ,                        ,                    ,                         ,                          ,                       ,from ODP Leg 116 SR Chapter 15 Figure 7 p 176-181
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN9a              ,              ,116, 718,C, 33,X,CC,  14.00,    313.6700,Gartner  ,Nannofossils                                 ,               ,                  ,                     ,                          ,                  ,                               ,                     ,                           ,                       ,                       ,                     ,                      ,                        ,                     ,                        ,                     ,                     ,T                        ,                      ,                       ,                       ,                         ,                 ,                        ,                 ,                      ,                   ,                         ,                     ,                ,                  ,                  ,                                    ,                   ,                 ,                         ,                  ,T                      ,                           ,                   ,                     ,                   ,                     ,                      ,                        ,                      ,                                ,                        ,                    ,                         ,                          ,                       ,from ODP Leg 116 SR Chapter 15 Figure 7 p 176-181
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN9a              ,              ,116, 718,C, 35,X,CC,   0.00,    332.3000,Gartner  ,Nannofossils                                 ,               ,                  ,                     ,                          ,                  ,                               ,                     ,                           ,                       ,                       ,                     ,                      ,                        ,                     ,                        ,                     ,T                    ,                         ,                      ,                       ,                       ,                         ,                 ,                        ,                 ,                      ,                   ,                         ,                     ,                ,                  ,                  ,                                    ,T                  ,                 ,                         ,                  ,T                      ,                           ,                   ,                     ,                   ,                     ,                      ,                        ,                      ,                                ,                        ,                    ,                         ,                          ,                       ,from ODP Leg 116 SR Chapter 15 Figure 7 p 176-181
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN8a              ,CN8b          ,116, 718,C, 37,X,CC,  34.00,    353.3100,Gartner  ,Nannofossils                                 ,               ,                  ,                     ,                          ,                  ,T                              ,                     ,                           ,                       ,                       ,                     ,                      ,                        ,                     ,                        ,                     ,                     ,                         ,                      ,                       ,                       ,                         ,                 ,                        ,                 ,                      ,                   ,                         ,                     ,                ,                  ,                  ,                                    ,                   ,                 ,                         ,T                 ,                       ,                           ,                   ,                     ,                   ,                     ,                      ,                        ,                      ,                                ,                        ,                    ,                         ,                          ,                       ,from ODP Leg 116 SR Chapter 15 Figure 7 p 176-181
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN8a              ,CN8b          ,116, 718,C, 38,X, 1,   8.00,    360.8800,Gartner  ,Nannofossils                                 ,               ,                  ,                     ,                          ,                  ,T                              ,                     ,                           ,T                      ,                       ,                     ,                      ,                        ,                     ,                        ,                     ,T                    ,                         ,                      ,                       ,                       ,                         ,                 ,                        ,T                ,                      ,                   ,                         ,                     ,                ,                  ,                  ,T                                   ,                   ,                 ,                         ,                  ,                       ,                           ,                   ,                     ,                   ,                     ,                      ,                        ,                      ,                                ,                        ,                    ,                         ,                          ,                       ,from ODP Leg 116 SR Chapter 15 Figure 7 p 176-181
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN8a              ,CN8b          ,116, 718,C, 38,X,CC,  27.00,    362.1100,Gartner  ,Nannofossils                                 ,               ,                  ,                     ,                          ,                  ,T                              ,                     ,                           ,                       ,                       ,                     ,                      ,                        ,                     ,                        ,                     ,                     ,                         ,                      ,                       ,                       ,                         ,                 ,                        ,                 ,                      ,                   ,                         ,                     ,                ,                  ,                  ,T                                   ,                   ,                 ,                         ,                  ,                       ,                           ,                   ,                     ,                   ,                     ,                      ,                        ,                      ,                                ,                        ,                    ,                         ,                          ,                       ,from ODP Leg 116 SR Chapter 15 Figure 7 p 176-181
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN8a              ,CN8b          ,116, 718,C, 39,X,CC,  13.00,    370.4300,Gartner  ,Nannofossils                                 ,               ,                  ,                     ,                          ,                  ,                               ,                     ,                           ,                       ,                       ,T                    ,                      ,                        ,                     ,                        ,                     ,T                    ,                         ,                      ,                       ,                       ,                         ,                 ,                        ,                 ,                      ,                   ,                         ,                     ,                ,                  ,                  ,                                    ,T                  ,                 ,                         ,                  ,T                      ,                           ,                   ,                     ,                   ,                     ,                      ,                        ,                      ,                                ,                        ,                    ,                         ,                          ,                       ,from ODP Leg 116 SR Chapter 15 Figure 7 p 176-181
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN8a              ,CN8b          ,116, 718,C, 41,X, 1,  16.00,    389.4600,Gartner  ,Nannofossils                                 ,               ,                  ,                     ,                          ,                  ,R                              ,                     ,                           ,                       ,                       ,                     ,                      ,                        ,                     ,                        ,T                    ,                     ,                         ,                      ,                       ,                       ,                         ,                 ,                        ,                 ,                      ,                   ,                         ,                     ,                ,                  ,                  ,                                    ,                   ,                 ,                         ,                  ,                       ,                           ,                   ,                     ,                   ,                     ,                      ,                        ,                      ,                                ,                        ,                    ,                         ,                          ,                       ,from ODP Leg 116 SR Chapter 15 Figure 7 p 176-181
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,CN6               ,CN7           ,116, 718,C, 41,X, 2,  64.00,    391.4400,Gartner  ,Nannofossils                                 ,               ,                  ,                     ,                          ,                  ,A                              ,                     ,                           ,                       ,                       ,F                    ,                      ,                        ,                     ,                        ,                     ,F                    ,                         ,                      ,                       ,                       ,                         ,                 ,                        ,F                ,                      ,F                  ,                         ,                     ,                ,                  ,                  ,                                    ,R                  ,C                ,                         ,R                 ,                       ,                           ,                   ,                     ,                   ,                     ,                      ,                        ,                      ,                                ,                        ,                    ,                         ,                          ,                       ,from ODP Leg 116 SR Chapter 15 Figure 7 p 176-181
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,CN6               ,CN7           ,116, 718,C, 41,X, 3,  38.00,    392.6800,Gartner  ,Nannofossils                                 ,               ,                  ,                     ,                          ,                  ,C                              ,                     ,                           ,                       ,                       ,F                    ,                      ,                        ,                     ,                        ,                     ,F                    ,                         ,                      ,                       ,                       ,                         ,                 ,                        ,                 ,                      ,F                  ,                         ,                     ,                ,                  ,                  ,C                                   ,                   ,                 ,                         ,R                 ,                       ,                           ,                   ,                     ,                   ,                     ,                      ,                        ,                      ,                                ,                        ,                    ,                         ,                          ,                       ,from ODP Leg 116 SR Chapter 15 Figure 7 p 176-181
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,CN6               ,CN7           ,116, 718,C, 41,X,CC,  34.00,    399.0600,Gartner  ,Nannofossils                                 ,               ,                  ,                     ,                          ,                  ,R                              ,                     ,                           ,T                      ,                       ,                     ,                      ,                        ,                     ,                        ,                     ,                     ,                         ,                      ,                       ,                       ,                         ,                 ,                        ,                 ,                      ,                   ,                         ,                     ,                ,                  ,                  ,                                    ,                   ,                 ,                         ,                  ,                       ,                           ,                   ,                     ,                   ,                     ,                      ,                        ,                      ,                                ,                        ,                    ,                         ,                          ,                       ,from ODP Leg 116 SR Chapter 15 Figure 7 p 176-181
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,CN6               ,CN7           ,116, 718,C, 43,X,CC,  18.00,    409.2900,Gartner  ,Nannofossils                                 ,               ,                  ,                     ,                          ,                  ,A                              ,                     ,T                          ,                       ,                       ,                     ,                      ,                        ,                     ,                        ,                     ,                     ,                         ,                      ,                       ,                       ,                         ,                 ,                        ,                 ,                      ,                   ,                         ,                     ,                ,                  ,                  ,                                    ,                   ,                 ,T                        ,                  ,                       ,                           ,                   ,                     ,                   ,                     ,                      ,                        ,                      ,                                ,                        ,                    ,                         ,                          ,                       ,from ODP Leg 116 SR Chapter 15 Figure 7 p 176-181
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,CN6               ,CN7           ,116, 718,C, 44,X, 1,  71.00,    418.5100,Gartner  ,Nannofossils                                 ,               ,                  ,                     ,                          ,                  ,T                              ,                     ,T                          ,                       ,                       ,                     ,                      ,                        ,                     ,                        ,                     ,T                    ,                         ,                      ,                       ,                       ,                         ,                 ,                        ,                 ,                      ,                   ,                         ,                     ,                ,                  ,                  ,                                    ,                   ,                 ,                         ,                  ,                       ,                           ,                   ,                     ,                   ,                     ,                      ,                        ,                      ,                                ,                        ,                    ,                         ,                          ,                       ,from ODP Leg 116 SR Chapter 15 Figure 7 p 176-181
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,CN6               ,CN7           ,116, 718,C, 44,X,CC,  28.00,    419.2100,Gartner  ,Nannofossils                                 ,               ,                  ,                     ,                          ,                  ,T                              ,                     ,                           ,T                      ,                       ,                     ,                      ,                        ,                     ,                        ,                     ,                     ,                         ,                      ,                       ,                       ,                         ,                 ,                        ,                 ,                      ,                   ,                         ,                     ,                ,                  ,                  ,                                    ,                   ,                 ,                         ,                  ,                       ,                           ,                   ,                     ,                   ,                     ,                      ,                        ,                      ,                                ,                        ,                    ,                         ,                          ,                       ,from ODP Leg 116 SR Chapter 15 Figure 7 p 176-181
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,CN6               ,CN7           ,116, 718,C, 47,X, 1, 118.00,    447.4800,Gartner  ,Nannofossils                                 ,               ,                  ,                     ,                          ,                  ,                               ,                     ,                           ,T                      ,                       ,                     ,                      ,                        ,                     ,                        ,                     ,                     ,                         ,                      ,                       ,                       ,                         ,                 ,                        ,                 ,T                     ,T                  ,                         ,                     ,                ,                  ,                  ,T                                   ,                   ,                 ,                         ,                  ,                       ,                           ,                   ,                     ,                   ,                     ,                      ,                        ,                      ,                                ,                        ,                    ,                         ,                          ,                       ,from ODP Leg 116 SR Chapter 15 Figure 7 p 176-181
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,CN6               ,CN7           ,116, 718,C, 48,X, 1,   3.00,    455.8300,Gartner  ,Nannofossils                                 ,               ,                  ,                     ,                          ,                  ,R                              ,                     ,                           ,R                      ,                       ,                     ,                      ,                        ,                     ,                        ,                     ,R                    ,                         ,                      ,                       ,                       ,                         ,                 ,                        ,                 ,                      ,R                  ,                         ,                     ,                ,                  ,                  ,                                    ,                   ,                 ,                         ,                  ,                       ,                           ,                   ,                     ,                   ,                     ,                      ,                        ,                      ,                                ,                        ,                    ,                         ,                          ,                       ,from ODP Leg 116 SR Chapter 15 Figure 7 p 176-181
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,CN6               ,CN7           ,116, 718,C, 48,X,CC,  26.00,    456.6600,Gartner  ,Nannofossils                                 ,               ,                  ,                     ,                          ,                  ,T                              ,                     ,                           ,                       ,                       ,                     ,                      ,                        ,                     ,                        ,                     ,T                    ,                         ,                      ,                       ,                       ,                         ,                 ,                        ,                 ,                      ,                   ,                         ,                     ,                ,                  ,                  ,                                    ,                   ,                 ,                         ,                  ,                       ,                           ,                   ,                     ,                   ,                     ,                      ,                        ,                      ,                                ,                        ,                    ,                         ,                          ,                       ,from ODP Leg 116 SR Chapter 15 Figure 7 p 176-181
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,CN6               ,CN7           ,116, 718,C, 49,X, 1,  10.00,    465.4000,Gartner  ,Nannofossils                                 ,               ,                  ,                     ,                          ,                  ,                               ,                     ,                           ,                       ,                       ,                     ,                      ,                        ,                     ,                        ,                     ,                     ,                         ,                      ,                       ,                       ,                         ,                 ,                        ,                 ,                      ,T                  ,                         ,                     ,                ,                  ,                  ,                                    ,                   ,T                ,                         ,                  ,                       ,                           ,                   ,                     ,                   ,                     ,                      ,                        ,                      ,                                ,                        ,                    ,                         ,                          ,                       ,from ODP Leg 116 SR Chapter 15 Figure 7 p 176-181
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,CN6               ,CN7           ,116, 718,C, 50,X, 1,  43.00,    475.2300,Gartner  ,Nannofossils                                 ,               ,                  ,                     ,                          ,                  ,                               ,                     ,                           ,                       ,                       ,                     ,                      ,                        ,                     ,                        ,                     ,T                    ,R                        ,                      ,                       ,                       ,                         ,                 ,                        ,                 ,                      ,                   ,                         ,                     ,                ,                  ,                  ,                                    ,                   ,                 ,                         ,                  ,                       ,                           ,                   ,                     ,                   ,                     ,                      ,                        ,                      ,                                ,                        ,                    ,                         ,                          ,                       ,from ODP Leg 116 SR Chapter 15 Figure 7 p 176-181
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,CN6               ,CN7           ,116, 718,C, 51,X, 2,  15.00,    485.9500,Gartner  ,Nannofossils                                 ,               ,                  ,                     ,                          ,                  ,R                              ,                     ,T                          ,                       ,                       ,                     ,                      ,                        ,                     ,                        ,                     ,                     ,                         ,                      ,                       ,                       ,                         ,                 ,                        ,                 ,                      ,                   ,                         ,                     ,                ,                  ,                  ,                                    ,                   ,                 ,                         ,                  ,                       ,                           ,                   ,                     ,                   ,                     ,                      ,                        ,                      ,                                ,                        ,                    ,                         ,                          ,                       ,from ODP Leg 116 SR Chapter 15 Figure 7 p 176-181
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,CN6               ,CN7           ,116, 718,C, 51,X,CC,  21.00,    486.3000,Gartner  ,Nannofossils                                 ,               ,                  ,                     ,                          ,                  ,                               ,                     ,                           ,                       ,                       ,                     ,                      ,                        ,                     ,                        ,T                    ,                     ,                         ,                      ,                       ,                       ,                         ,                 ,                        ,                 ,                      ,                   ,                         ,                     ,                ,                  ,                  ,                                    ,                   ,                 ,                         ,                  ,                       ,                           ,                   ,                     ,                   ,                     ,                      ,                        ,                      ,                                ,                        ,                    ,                         ,                          ,                       ,from ODP Leg 116 SR Chapter 15 Figure 7 p 176-181
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,CN6               ,CN7           ,116, 718,C, 53,X,CC,  14.00,    504.5400,Gartner  ,Nannofossils                                 ,               ,                  ,                     ,                          ,                  ,T                              ,                     ,                           ,                       ,                       ,                     ,                      ,                        ,                     ,                        ,T                    ,                     ,                         ,                      ,                       ,                       ,                         ,                 ,                        ,                 ,                      ,                   ,                         ,                     ,                ,                  ,                  ,                                    ,                   ,                 ,                         ,                  ,                       ,                           ,                   ,                     ,                   ,                     ,                      ,                        ,                      ,                                ,                        ,                    ,                         ,                          ,                       ,from ODP Leg 116 SR Chapter 15 Figure 7 p 176-181
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,CN6               ,CN7           ,116, 718,C, 54,X, 1,  37.00,    513.1700,Gartner  ,Nannofossils                                 ,               ,                  ,                     ,                          ,                  ,R                              ,                     ,                           ,T                      ,T                      ,                     ,                      ,                        ,                     ,                        ,T                    ,                     ,R                        ,                      ,                       ,                       ,                         ,                 ,                        ,                 ,                      ,                   ,                         ,                     ,                ,                  ,                  ,                                    ,                   ,                 ,                         ,                  ,                       ,                           ,                   ,                     ,                   ,                     ,                      ,                        ,                      ,                                ,                        ,                    ,                         ,                          ,                       ,from ODP Leg 116 SR Chapter 15 Figure 7 p 176-181
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,CN6               ,CN7           ,116, 718,C, 54,X,CC,  30.00,    514.1100,Gartner  ,Nannofossils                                 ,               ,                  ,                     ,                          ,                  ,T                              ,                     ,                           ,                       ,                       ,                     ,                      ,                        ,                     ,                        ,T                    ,                     ,                         ,                      ,                       ,                       ,                         ,                 ,                        ,                 ,T                     ,                   ,                         ,                     ,                ,                  ,                  ,                                    ,                   ,                 ,                         ,                  ,                       ,                           ,                   ,                     ,                   ,                     ,                      ,                        ,                      ,                                ,                        ,                    ,                         ,                          ,                       ,from ODP Leg 116 SR Chapter 15 Figure 7 p 176-181
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,CN6               ,CN7           ,116, 718,C, 55,X, 1,   0.00,    522.3000,Gartner  ,Nannofossils                                 ,               ,                  ,                     ,                          ,T                 ,                               ,                     ,                           ,T                      ,                       ,                     ,                      ,                        ,                     ,                        ,                     ,                     ,                         ,                      ,                       ,                       ,                         ,                 ,                        ,                 ,                      ,                   ,                         ,                     ,                ,                  ,                  ,                                    ,                   ,                 ,                         ,                  ,                       ,                           ,                   ,                     ,                   ,                     ,                      ,                        ,                      ,                                ,                        ,                    ,                         ,                          ,                       ,from ODP Leg 116 SR Chapter 15 Figure 7 p 176-181
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,CN6               ,CN7           ,116, 718,C, 55,X,CC,  32.00,    525.6200,Gartner  ,Nannofossils                                 ,               ,                  ,                     ,                          ,                  ,                               ,                     ,                           ,                       ,                       ,                     ,                      ,                        ,                     ,                        ,                     ,                     ,                         ,                      ,T                      ,                       ,                         ,                 ,                        ,                 ,                      ,                   ,                         ,                     ,                ,                  ,                  ,                                    ,                   ,                 ,                         ,                  ,                       ,                           ,                   ,                     ,                   ,                     ,                      ,                        ,                      ,                                ,                        ,                    ,                         ,                          ,                       ,from ODP Leg 116 SR Chapter 15 Figure 7 p 176-181
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,CN6               ,CN7           ,116, 718,C, 56,X, 4,  43.00,    536.7300,Gartner  ,Nannofossils                                 ,               ,                  ,                     ,                          ,T                 ,T                              ,                     ,                           ,                       ,                       ,                     ,                      ,                        ,                     ,T                       ,                     ,                     ,                         ,                      ,T                      ,                       ,                         ,                 ,                        ,T                ,                      ,                   ,                         ,                     ,                ,                  ,                  ,                                    ,                   ,                 ,                         ,                  ,                       ,                           ,                   ,                     ,                   ,                     ,                      ,                        ,                      ,                                ,                        ,                    ,                         ,                          ,                       ,from ODP Leg 116 SR Chapter 15 Figure 7 p 176-181
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,CN6               ,CN7           ,116, 718,C, 56,X,CC,   9.00,    537.2500,Gartner  ,Nannofossils                                 ,               ,                  ,                     ,                          ,                  ,R                              ,                     ,                           ,                       ,                       ,                     ,T                     ,T                       ,                     ,                        ,                     ,                     ,                         ,                      ,                       ,                       ,                         ,                 ,                        ,                 ,                      ,                   ,                         ,                     ,                ,                  ,T                 ,                                    ,                   ,                 ,                         ,                  ,                       ,                           ,                   ,                     ,                   ,                     ,                      ,                        ,                      ,                                ,                        ,                    ,                         ,                          ,                       ,from ODP Leg 116 SR Chapter 15 Figure 7 p 176-181
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,CN6               ,CN7           ,116, 718,C, 57,X, 4,  32.00,    546.1200,Gartner  ,Nannofossils                                 ,               ,                  ,                     ,                          ,                  ,T                              ,                     ,                           ,T                      ,                       ,                     ,                      ,                        ,                     ,                        ,                     ,                     ,                         ,                      ,                       ,                       ,                         ,                 ,                        ,                 ,                      ,                   ,                         ,                     ,                ,                  ,                  ,                                    ,                   ,                 ,                         ,                  ,                       ,                           ,                   ,                     ,                   ,                     ,                      ,                        ,                      ,                                ,                        ,                    ,                         ,                          ,                       ,from ODP Leg 116 SR Chapter 15 Figure 7 p 176-181
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,CN6               ,CN7           ,116, 718,C, 57,X,CC,  29.00,    548.7100,Gartner  ,Nannofossils                                 ,               ,                  ,                     ,                          ,                  ,T                              ,                     ,                           ,T                      ,                       ,                     ,                      ,                        ,                     ,                        ,                     ,T                    ,                         ,                      ,                       ,                       ,                         ,                 ,                        ,                 ,                      ,                   ,                         ,                     ,                ,                  ,                  ,                                    ,                   ,                 ,                         ,                  ,                       ,                           ,                   ,                     ,                   ,                     ,                      ,                        ,                      ,                                ,                        ,                    ,                         ,                          ,                       ,from ODP Leg 116 SR Chapter 15 Figure 7 p 176-181
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
