Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Trinovantedinium capitatum,Tectatodinium sp. III,Tectatodinium sp. II,Tectatodinium sp. I,Tectatodinium sp.,Tectatodinium simplex,Tectatodinium pellitum,Systematophora placacantha,Stelladinium reidii,Spiniferites spp.,"Spiniferites sp. ""TS""",Spiniferites scabratus,Spiniferites rubinus,Spiniferites pachyderma,Spiniferites elongatus,Spiniferites bentorii,Selenopemphix nephroides,Reticulatosphaera actinocoronata,Polysphaeridium zoharyi,Platycystidia sp. 1,Peridinium faeroense,Pentadinium laticinctum,Pediastrum sp.,Palaeostomocystis spp.,Operculodinium wallii,Operculodinium sp.,Operculodinium sp.,Operculodinium longispinigerum,Operculodinium israelianum,Operculodinium echigoense,Operculodinium crassum,Operculodinium centrocarpum,Nematosphaeropsis oblonga,Nematosphaeropsis lemniscata,Nematosphaeropsis labyrinthea,Multispinula minuta,Melitasphaeridium choanophorum,Lingulodinium machaerophorum,Labyrinthodinium truncatum,Impletosphaeridium spp.,Impagidinium spp.,Impagidinium sphaericum,Impagidinium pallidum,Impagidinium multiplexum,Impagidinium aquaeductum,Hystrichosphaeropsis pontiana,Hystrichokolpoma sp.,Hystrichokolpoma rigaudiae,Filisphaera filifera,Dinocyst sp. 1,Dapsilidinium pastielsii,Cymatiosphaera sp. 1,Cyclopsiella elliptica,Corrudinium harlandii,Brigantedinium sp. group B,Brigantedinium sp. group A,Brigantedinium simplex,Bitectatodinium tepikiense,Batiacasphaera sphaerica,Batiacasphaera sp. II,Ataxiodinium choanum,Amiculosphaera umbracula,Achomosphaera sp. A,Achomosphaera ramulifera,Achomosphaera andalousiensis,?Pyxidiella sp. 1,?Labyrinthodinium sp. 1,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 642,B,  5,H, 4,  71.00,     34.6100,Mudie    ,Dinoflagellates/Acritarchs/Prasinophytes     ,B              ,                  ,-                         ,-                    ,-                   ,-                  ,-                ,-                    ,-                     ,-                         ,-                  ,-                ,-                    ,-                     ,-                   ,-                      ,-                     ,-                    ,-                       ,-                               ,-                      ,-                  ,-                   ,-                      ,-             ,-                     ,-                    ,-                 ,-                 ,-                             ,-                         ,-                        ,-                     ,-                          ,-                        ,-                           ,-                            ,-                  ,-                             ,-                           ,-                         ,-                      ,-                ,-                      ,-                    ,-                       ,-                       ,-                            ,-                   ,-                         ,-                   ,-             ,-                       ,-                   ,-                     ,-                    ,-                         ,-                         ,-                     ,-                         ,-                       ,-                    ,-                   ,-                       ,-                  ,-                       ,-                           ,-                ,-                      ,from ODP 104 SR Chapter 31 Fig 5 p 593
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,PM1 (Mudie1989)   ,              ,104, 642,B,  5,H, 5,  71.00,     36.1100,Mudie    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,-                         ,R                    ,R                   ,R                  ,-                ,-                    ,R                     ,-                         ,-                  ,C                ,-                    ,-                     ,R                   ,-                      ,R                     ,R                    ,-                       ,-                               ,R                      ,-                  ,R                   ,-                      ,-             ,-                     ,-                    ,-                 ,-                 ,-                             ,R                         ,-                        ,-                     ,A                          ,-                        ,-                           ,-                            ,-                  ,-                             ,R                           ,-                         ,-                      ,R                ,R                      ,R                    ,-                       ,-                       ,-                            ,-                   ,-                         ,-                   ,R             ,-                       ,-                   ,-                     ,-                    ,-                         ,-                         ,-                     ,C                         ,-                       ,-                    ,-                   ,-                       ,R                  ,-                       ,R                           ,-                ,-                      ,from ODP 104 SR Chapter 31 Fig 5 p 593
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,PM1 (Mudie1989)   ,              ,104, 642,B,  5,H, 6,  71.00,     37.6100,Mudie    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,-                         ,-                    ,-                   ,R                  ,-                ,-                    ,R                     ,-                         ,-                  ,R                ,-                    ,-                     ,-                   ,-                      ,R                     ,-                    ,-                       ,-                               ,-                      ,-                  ,-                   ,-                      ,-             ,-                     ,-                    ,-                 ,-                 ,-                             ,-                         ,-                        ,-                     ,C                          ,-                        ,-                           ,C                            ,-                  ,-                             ,R                           ,-                         ,-                      ,R                ,R                      ,R                    ,-                       ,-                       ,-                            ,-                   ,-                         ,-                   ,R             ,-                       ,-                   ,-                     ,-                    ,-                         ,-                         ,-                     ,C                         ,-                       ,-                    ,-                   ,-                       ,-                  ,-                       ,-                           ,-                ,-                      ,from ODP 104 SR Chapter 31 Fig 5 p 593
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,PM1 (Mudie1989)   ,              ,104, 642,B,  5,H, 7,  71.00,     39.1100,Mudie    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,-                         ,-                    ,-                   ,-                  ,-                ,-                    ,-                     ,-                         ,-                  ,A                ,-                    ,-                     ,-                   ,-                      ,-                     ,-                    ,-                       ,-                               ,-                      ,-                  ,-                   ,-                      ,-             ,-                     ,-                    ,-                 ,-                 ,-                             ,-                         ,-                        ,-                     ,C                          ,-                        ,-                           ,-                            ,-                  ,-                             ,-                           ,-                         ,-                      ,-                ,-                      ,-                    ,-                       ,-                       ,-                            ,-                   ,-                         ,-                   ,-             ,-                       ,-                   ,-                     ,-                    ,-                         ,-                         ,-                     ,-                         ,-                       ,-                    ,-                   ,-                       ,-                  ,-                       ,-                           ,-                ,-                      ,from ODP 104 SR Chapter 31 Fig 5 p 593
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,PM1 (Mudie1989)   ,              ,104, 642,B,  5,H,CC,  12.00,     39.5500,Mudie    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,-                         ,-                    ,-                   ,-                  ,-                ,-                    ,-                     ,-                         ,-                  ,C                ,-                    ,C                     ,-                   ,-                      ,-                     ,C                    ,-                       ,-                               ,-                      ,-                  ,-                   ,-                      ,-             ,-                     ,-                    ,-                 ,-                 ,-                             ,-                         ,-                        ,-                     ,C                          ,-                        ,-                           ,-                            ,C                  ,-                             ,-                           ,-                         ,-                      ,-                ,-                      ,-                    ,-                       ,-                       ,-                            ,-                   ,-                         ,-                   ,-             ,-                       ,-                   ,-                     ,-                    ,-                         ,-                         ,C                     ,-                         ,-                       ,-                    ,-                   ,-                       ,-                  ,-                       ,-                           ,-                ,-                      ,from ODP 104 SR Chapter 31 Fig 5 p 593
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,PM2 (Mudie1989)   ,              ,104, 642,B,  6,H, 1,  42.00,     39.3200,Mudie    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,-                         ,-                    ,-                   ,-                  ,-                ,-                    ,-                     ,-                         ,-                  ,C                ,-                    ,-                     ,-                   ,-                      ,R                     ,-                    ,-                       ,-                               ,-                      ,-                  ,-                   ,-                      ,R             ,-                     ,-                    ,-                 ,-                 ,-                             ,R                         ,-                        ,-                     ,A                          ,-                        ,R                           ,C                            ,-                  ,-                             ,-                           ,-                         ,-                      ,R                ,-                      ,-                    ,R                       ,-                       ,-                            ,-                   ,-                         ,-                   ,-             ,-                       ,-                   ,-                     ,-                    ,-                         ,-                         ,-                     ,C                         ,-                       ,-                    ,-                   ,-                       ,-                  ,-                       ,-                           ,-                ,-                      ,from ODP 104 SR Chapter 31 Fig 5 p 593
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,PM2 (Mudie1989)   ,              ,104, 642,B,  6,H, 2,  42.00,     40.8200,Mudie    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,-                         ,-                    ,C                   ,-                  ,-                ,-                    ,C                     ,-                         ,-                  ,C                ,-                    ,-                     ,-                   ,-                      ,-                     ,-                    ,-                       ,-                               ,-                      ,-                  ,-                   ,-                      ,-             ,-                     ,-                    ,-                 ,-                 ,-                             ,-                         ,-                        ,-                     ,-                          ,-                        ,-                           ,-                            ,-                  ,-                             ,-                           ,-                         ,-                      ,-                ,-                      ,-                    ,-                       ,-                       ,-                            ,-                   ,-                         ,-                   ,-             ,-                       ,-                   ,-                     ,-                    ,-                         ,-                         ,-                     ,-                         ,-                       ,-                    ,-                   ,-                       ,-                  ,-                       ,-                           ,-                ,-                      ,from ODP 104 SR Chapter 31 Fig 5 p 593
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,PM2 (Mudie1989)   ,              ,104, 642,B,  6,H, 3,  42.00,     42.3200,Mudie    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,-                         ,-                    ,R                   ,R                  ,-                ,-                    ,-                     ,-                         ,-                  ,C                ,R                    ,R                     ,-                   ,-                      ,R                     ,-                    ,-                       ,-                               ,-                      ,-                  ,-                   ,-                      ,-             ,-                     ,-                    ,-                 ,-                 ,-                             ,-                         ,-                        ,-                     ,C                          ,-                        ,-                           ,-                            ,-                  ,-                             ,R                           ,-                         ,-                      ,-                ,-                      ,-                    ,-                       ,-                       ,-                            ,-                   ,-                         ,R                   ,-             ,-                       ,-                   ,-                     ,-                    ,-                         ,-                         ,-                     ,C                         ,-                       ,-                    ,-                   ,-                       ,-                  ,-                       ,-                           ,-                ,-                      ,from ODP 104 SR Chapter 31 Fig 5 p 593
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,PM2 (Mudie1989)   ,              ,104, 642,B,  6,H, 4,  42.00,     43.8200,Mudie    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,-                         ,-                    ,-                   ,C                  ,-                ,-                    ,-                     ,-                         ,-                  ,-                ,-                    ,-                     ,-                   ,-                      ,-                     ,R                    ,-                       ,-                               ,-                      ,-                  ,-                   ,-                      ,-             ,C                     ,-                    ,-                 ,-                 ,-                             ,-                         ,-                        ,-                     ,C                          ,-                        ,-                           ,-                            ,-                  ,-                             ,-                           ,-                         ,-                      ,R                ,-                      ,-                    ,-                       ,-                       ,-                            ,-                   ,-                         ,-                   ,-             ,-                       ,-                   ,-                     ,-                    ,-                         ,C                         ,-                     ,R                         ,-                       ,-                    ,-                   ,-                       ,-                  ,-                       ,-                           ,-                ,-                      ,from ODP 104 SR Chapter 31 Fig 5 p 593
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,PM2 (Mudie1989)   ,              ,104, 642,B,  6,H, 5,  42.00,     45.3200,Mudie    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,-                         ,-                    ,-                   ,-                  ,-                ,-                    ,A                     ,-                         ,-                  ,-                ,-                    ,-                     ,-                   ,-                      ,-                     ,-                    ,-                       ,-                               ,-                      ,-                  ,-                   ,-                      ,-             ,-                     ,-                    ,-                 ,-                 ,-                             ,-                         ,-                        ,-                     ,-                          ,-                        ,-                           ,-                            ,-                  ,-                             ,-                           ,-                         ,-                      ,-                ,-                      ,-                    ,-                       ,-                       ,-                            ,-                   ,-                         ,-                   ,-             ,-                       ,-                   ,-                     ,-                    ,-                         ,-                         ,-                     ,-                         ,-                       ,-                    ,-                   ,-                       ,-                  ,-                       ,-                           ,-                ,-                      ,from ODP 104 SR Chapter 31 Fig 5 p 593
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,PM2 (Mudie1989)   ,              ,104, 642,B,  6,H, 6,  42.00,     46.8200,Mudie    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,-                         ,-                    ,R                   ,R                  ,-                ,-                    ,R                     ,-                         ,-                  ,C                ,-                    ,-                     ,-                   ,-                      ,R                     ,R                    ,-                       ,-                               ,-                      ,-                  ,-                   ,-                      ,R             ,-                     ,-                    ,-                 ,-                 ,-                             ,-                         ,-                        ,-                     ,C                          ,-                        ,-                           ,-                            ,-                  ,-                             ,-                           ,-                         ,-                      ,-                ,-                      ,R                    ,R                       ,-                       ,-                            ,-                   ,-                         ,-                   ,-             ,-                       ,-                   ,-                     ,-                    ,-                         ,-                         ,-                     ,C                         ,-                       ,-                    ,-                   ,-                       ,R                  ,R                       ,-                           ,-                ,-                      ,from ODP 104 SR Chapter 31 Fig 5 p 593
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,PM2 (Mudie1989)   ,              ,104, 642,B,  7,H, 1,  62.00,     48.0200,Mudie    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,-                         ,R                    ,R                   ,-                  ,-                ,-                    ,-                     ,-                         ,-                  ,C                ,-                    ,-                     ,-                   ,-                      ,-                     ,R                    ,R                       ,-                               ,-                      ,-                  ,-                   ,-                      ,A             ,-                     ,-                    ,-                 ,-                 ,-                             ,-                         ,-                        ,-                     ,C                          ,-                        ,R                           ,R                            ,-                  ,-                             ,-                           ,-                         ,-                      ,-                ,-                      ,-                    ,-                       ,-                       ,-                            ,-                   ,-                         ,R                   ,R             ,-                       ,-                   ,-                     ,-                    ,R                         ,C                         ,-                     ,-                         ,-                       ,-                    ,-                   ,-                       ,-                  ,-                       ,-                           ,-                ,-                      ,from ODP 104 SR Chapter 31 Fig 5 p 593
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,PM2 (Mudie1989)   ,              ,104, 642,B,  7,H, 2,  62.00,     49.5200,Mudie    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,-                         ,C                    ,-                   ,-                  ,-                ,-                    ,-                     ,-                         ,-                  ,C                ,-                    ,-                     ,-                   ,-                      ,-                     ,-                    ,-                       ,-                               ,-                      ,-                  ,-                   ,-                      ,-             ,-                     ,-                    ,-                 ,-                 ,-                             ,-                         ,-                        ,-                     ,C                          ,-                        ,-                           ,-                            ,-                  ,-                             ,-                           ,-                         ,-                      ,-                ,-                      ,-                    ,-                       ,-                       ,-                            ,-                   ,-                         ,-                   ,-             ,-                       ,-                   ,-                     ,-                    ,-                         ,-                         ,-                     ,C                         ,-                       ,-                    ,-                   ,-                       ,-                  ,-                       ,-                           ,-                ,-                      ,from ODP 104 SR Chapter 31 Fig 5 p 593
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,PM2 (Mudie1989)   ,              ,104, 642,B,  7,H, 3,  62.00,     51.0200,Mudie    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,-                         ,R                    ,R                   ,-                  ,-                ,-                    ,R                     ,-                         ,-                  ,C                ,-                    ,-                     ,R                   ,-                      ,R                     ,-                    ,-                       ,-                               ,-                      ,-                  ,-                   ,-                      ,R             ,-                     ,-                    ,-                 ,-                 ,-                             ,-                         ,-                        ,R                     ,A                          ,-                        ,-                           ,-                            ,-                  ,-                             ,-                           ,-                         ,-                      ,-                ,-                      ,R                    ,-                       ,-                       ,-                            ,-                   ,-                         ,R                   ,-             ,-                       ,-                   ,-                     ,-                    ,-                         ,-                         ,-                     ,R                         ,-                       ,-                    ,-                   ,-                       ,-                  ,-                       ,-                           ,-                ,-                      ,from ODP 104 SR Chapter 31 Fig 5 p 593
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,PM2 (Mudie1989)   ,              ,104, 642,B,  7,H, 4,  62.00,     52.5200,Mudie    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,-                         ,-                    ,-                   ,-                  ,-                ,-                    ,-                     ,-                         ,-                  ,C                ,-                    ,-                     ,-                   ,-                      ,-                     ,-                    ,-                       ,-                               ,-                      ,-                  ,-                   ,-                      ,R             ,-                     ,-                    ,-                 ,-                 ,-                             ,-                         ,-                        ,-                     ,C                          ,-                        ,-                           ,-                            ,-                  ,-                             ,C                           ,-                         ,-                      ,-                ,-                      ,-                    ,-                       ,-                       ,-                            ,-                   ,-                         ,C                   ,-             ,-                       ,-                   ,-                     ,-                    ,-                         ,-                         ,-                     ,C                         ,-                       ,-                    ,-                   ,-                       ,-                  ,-                       ,-                           ,-                ,-                      ,from ODP 104 SR Chapter 31 Fig 5 p 593
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,PM2 (Mudie1989)   ,              ,104, 642,B,  7,H, 5,  62.00,     54.0200,Mudie    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,-                         ,R                    ,R                   ,R                  ,-                ,-                    ,-                     ,-                         ,-                  ,C                ,-                    ,-                     ,-                   ,-                      ,-                     ,-                    ,-                       ,-                               ,-                      ,-                  ,-                   ,-                      ,-             ,-                     ,-                    ,-                 ,-                 ,-                             ,-                         ,-                        ,R                     ,C                          ,-                        ,-                           ,-                            ,-                  ,-                             ,R                           ,-                         ,C                      ,-                ,-                      ,-                    ,-                       ,-                       ,-                            ,-                   ,-                         ,-                   ,-             ,-                       ,R                   ,-                     ,-                    ,-                         ,-                         ,-                     ,R                         ,-                       ,-                    ,-                   ,R                       ,R                  ,-                       ,-                           ,-                ,-                      ,from ODP 104 SR Chapter 31 Fig 5 p 593
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,PM2 (Mudie1989)   ,              ,104, 642,B,  7,H, 6,  62.00,     55.5200,Mudie    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,-                         ,-                    ,R                   ,-                  ,-                ,-                    ,-                     ,-                         ,-                  ,C                ,-                    ,-                     ,-                   ,-                      ,R                     ,-                    ,-                       ,-                               ,-                      ,-                  ,-                   ,-                      ,-             ,-                     ,R                    ,-                 ,-                 ,R                             ,-                         ,R                        ,R                     ,A                          ,R                        ,R                           ,R                            ,-                  ,-                             ,-                           ,-                         ,-                      ,-                ,-                      ,R                    ,-                       ,-                       ,-                            ,-                   ,-                         ,R                   ,R             ,-                       ,-                   ,-                     ,-                    ,R                         ,-                         ,-                     ,R                         ,-                       ,-                    ,-                   ,R                       ,-                  ,-                       ,-                           ,-                ,-                      ,from ODP 104 SR Chapter 31 Fig 5 p 593
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,PM2 (Mudie1989)   ,              ,104, 642,B,  7,H, 7,  62.00,     57.0200,Mudie    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,-                         ,-                    ,-                   ,-                  ,-                ,-                    ,-                     ,-                         ,-                  ,C                ,-                    ,-                     ,-                   ,-                      ,-                     ,-                    ,-                       ,-                               ,-                      ,-                  ,-                   ,-                      ,-             ,-                     ,-                    ,-                 ,-                 ,-                             ,-                         ,-                        ,-                     ,C                          ,-                        ,-                           ,-                            ,-                  ,-                             ,-                           ,-                         ,-                      ,-                ,-                      ,-                    ,-                       ,-                       ,-                            ,-                   ,-                         ,-                   ,-             ,-                       ,-                   ,-                     ,-                    ,-                         ,C                         ,-                     ,-                         ,-                       ,-                    ,-                   ,-                       ,-                  ,-                       ,-                           ,-                ,-                      ,from ODP 104 SR Chapter 31 Fig 5 p 593
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,PM2 (Mudie1989)   ,              ,104, 642,B,  8,H, 1,  61.00,     57.5100,Mudie    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,-                         ,-                    ,-                   ,-                  ,-                ,-                    ,-                     ,-                         ,-                  ,-                ,-                    ,-                     ,-                   ,-                      ,-                     ,-                    ,R                       ,-                               ,-                      ,-                  ,-                   ,-                      ,R             ,C                     ,-                    ,R                 ,-                 ,-                             ,-                         ,-                        ,-                     ,-                          ,-                        ,-                           ,-                            ,-                  ,-                             ,-                           ,-                         ,-                      ,-                ,-                      ,-                    ,-                       ,-                       ,-                            ,-                   ,-                         ,R                   ,-             ,-                       ,-                   ,-                     ,R                    ,R                         ,-                         ,-                     ,R                         ,-                       ,-                    ,-                   ,-                       ,-                  ,-                       ,-                           ,-                ,-                      ,from ODP 104 SR Chapter 31 Fig 5 p 593
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,PM2 (Mudie1989)   ,              ,104, 642,B,  8,H, 2,  61.00,     59.0100,Mudie    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,-                         ,R                    ,R                   ,R                  ,-                ,-                    ,R                     ,-                         ,-                  ,C                ,C                    ,-                     ,R                   ,-                      ,-                     ,-                    ,-                       ,-                               ,-                      ,-                  ,-                   ,-                      ,-             ,-                     ,-                    ,-                 ,-                 ,-                             ,R                         ,-                        ,R                     ,-                          ,-                        ,-                           ,R                            ,-                  ,-                             ,-                           ,-                         ,R                      ,-                ,-                      ,R                    ,-                       ,-                       ,-                            ,-                   ,-                         ,-                   ,R             ,-                       ,R                   ,-                     ,-                    ,R                         ,-                         ,-                     ,R                         ,-                       ,-                    ,-                   ,-                       ,-                  ,-                       ,R                           ,-                ,-                      ,from ODP 104 SR Chapter 31 Fig 5 p 593
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,PM2 (Mudie1989)   ,              ,104, 642,B,  8,H, 3,  61.00,     60.5100,Mudie    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,-                         ,R                    ,R                   ,-                  ,-                ,R                    ,C                     ,-                         ,-                  ,C                ,R                    ,-                     ,-                   ,-                      ,-                     ,-                    ,-                       ,-                               ,-                      ,-                  ,-                   ,-                      ,-             ,-                     ,R                    ,-                 ,-                 ,-                             ,R                         ,R                        ,R                     ,-                          ,-                        ,R                           ,R                            ,-                  ,-                             ,R                           ,-                         ,R                      ,-                ,-                      ,-                    ,-                       ,-                       ,-                            ,R                   ,-                         ,-                   ,R             ,-                       ,R                   ,-                     ,-                    ,-                         ,-                         ,-                     ,C                         ,-                       ,-                    ,-                   ,-                       ,R                  ,-                       ,R                           ,-                ,-                      ,from ODP 104 SR Chapter 31 Fig 5 p 593
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,PM2 (Mudie1989)   ,              ,104, 642,B,  8,H, 4,  61.00,     62.0100,Mudie    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,-                         ,R                    ,R                   ,R                  ,-                ,R                    ,C                     ,-                         ,-                  ,C                ,R                    ,-                     ,-                   ,-                      ,-                     ,-                    ,R                       ,-                               ,-                      ,R                  ,-                   ,-                      ,-             ,-                     ,-                    ,-                 ,-                 ,-                             ,-                         ,-                        ,R                     ,R                          ,-                        ,R                           ,-                            ,-                  ,-                             ,R                           ,-                         ,R                      ,-                ,-                      ,R                    ,-                       ,-                       ,-                            ,-                   ,-                         ,R                   ,C             ,-                       ,-                   ,-                     ,R                    ,-                         ,R                         ,-                     ,R                         ,-                       ,-                    ,-                   ,R                       ,R                  ,R                       ,-                           ,-                ,-                      ,from ODP 104 SR Chapter 31 Fig 5 p 593
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,PM2 (Mudie1989)   ,              ,104, 642,B,  8,H, 5,  61.00,     63.5100,Mudie    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,-                         ,R                    ,-                   ,-                  ,-                ,-                    ,C                     ,-                         ,-                  ,R                ,-                    ,-                     ,-                   ,-                      ,-                     ,-                    ,-                       ,-                               ,-                      ,R                  ,-                   ,-                      ,-             ,-                     ,-                    ,-                 ,-                 ,R                             ,-                         ,-                        ,R                     ,C                          ,-                        ,R                           ,-                            ,-                  ,-                             ,R                           ,-                         ,-                      ,R                ,R                      ,R                    ,-                       ,-                       ,-                            ,-                   ,-                         ,R                   ,C             ,-                       ,R                   ,-                     ,-                    ,R                         ,-                         ,-                     ,C                         ,-                       ,-                    ,-                   ,-                       ,-                  ,-                       ,R                           ,-                ,R                      ,from ODP 104 SR Chapter 31 Fig 5 p 593
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,PM2 (Mudie1989)   ,              ,104, 642,B,  8,H, 6,  61.00,     65.0100,Mudie    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,-                         ,-                    ,-                   ,-                  ,-                ,-                    ,R                     ,-                         ,-                  ,-                ,-                    ,-                     ,R                   ,-                      ,-                     ,-                    ,-                       ,-                               ,R                      ,R                  ,-                   ,-                      ,-             ,-                     ,-                    ,-                 ,-                 ,-                             ,-                         ,-                        ,R                     ,R                          ,-                        ,-                           ,-                            ,-                  ,?                             ,-                           ,-                         ,-                      ,-                ,-                      ,-                    ,-                       ,-                       ,-                            ,C                   ,-                         ,C                   ,C             ,-                       ,-                   ,-                     ,-                    ,-                         ,R                         ,-                     ,C                         ,-                       ,-                    ,-                   ,R                       ,-                  ,R                       ,-                           ,R                ,-                      ,from ODP 104 SR Chapter 31 Fig 5 p 593
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
