Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),,Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Stylosphaera goruna,Stylosphaera coronata coronata,Spongurus quadratus,Phormocyrtis striata exquisita,Lamptonium pennatum,Entapium regulare,Clathrocycloma parcum,Buryella tetradica,Buryella pentadica,Bekoma campechensis,Astrosphaerin sp. F,Astrosphaerin sp. E,Amphisphaera minor,Stylotrochus alveatus,Dorcadospyris sp. cf. D. platycantha,Periphaena decora,Pterocodon (?) ampla,Lychnocanoma sp. B,Lithomitra docilis,Cromyomma riedeli,Bathropyramis woodringi,Bekoma divaricata,Bekoma bidartensis,Theocorys phyzella,Bekoma sp. aff. B. campechensis,Pterocodon (?) anteclinata,Podocyrtis papalis,Xiphosphaera circularis,Lithocyclia ocellus,Thyrsocyrtis tarsipes,Theocotylissa alpha,Theocotyle nigriniae,Buryella clinata,Theocotylissa auctor,Spongatractus balbis,Calocyclas hispida,Podocyrtis turgida,Phormocyrtis striata striata,Lamptonium fabaeforme fabaeforme,Calocycloma castum,Thyrsocyrtis rhizodon,Thyrsocyrtis hirsuta,Spongatractus pachystylus,Podocyrtis acalles,Lamptonium sanfilippoae,Lamptonium fabaeforme chaunothorax,Lamptonium fabaeforme constrictum,Thyrsocyrtis tensa,Theocotylissa ficus,Podocyrtis sinuosa,Theocotyle cryptocephala,Dictyoprora mongolfieri,Thyrsocyrtis triacantha,Theocotyle venezuelensis,Podocyrtis dorus,Podocyrtis diamesa,Eusyringium lagena,Theocotyle conica,Lychnocanoma bellum,Eusyringium fistuligerum,Podocyrtis fasciolata,Podocyrtis tensa,Podocyrtis phyxis,Podocyrtis  ampla,Podocyrtis trachodes,Comment
  IR,                 ,Late Paleocene   ,                  ,B. bidartensis,,171,1050,A,27,X,CC,23.00,249.1200,Blome    ,Radiolarians                                 ,C              ,VG                ,F                  ,A                             ,C                  ,R                             ,                   ,C                ,                     ,A                 ,                  ,F                  ,                   ,                   ,                  ,F                    ,                                    ,                 ,                    ,                  ,                  ,                 ,                       ,                 ,F                 ,                  ,                               ,F                         ,                  ,                       ,                   ,                     ,                   ,                    ,                ,                    ,                    ,                  ,                  ,                            ,                                ,                  ,                     ,                    ,                         ,                  ,                       ,                                  ,                                 ,                  ,                   ,                  ,                        ,                       ,                       ,                        ,                ,                  ,                  ,                 ,                   ,                        ,                     ,                ,                 ,                 ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Eocene     ,Late Paleocene   ,                  ,B. bidartensis,,171,1050,A,28,X,CC,32.00,255.3800,Blome    ,Radiolarians                                 ,C              ,VG                ,F                  ,A                             ,                   ,F                             ,                   ,C                ,                     ,                  ,                  ,R                  ,                   ,                   ,                  ,                     ,                                    ,                 ,                    ,                  ,                  ,                 ,                       ,                 ,F                 ,C                 ,R                              ,                          ,                  ,                       ,                   ,                     ,                   ,                    ,                ,                    ,                    ,                  ,                  ,                            ,                                ,                  ,                     ,                    ,                         ,                  ,                       ,                                  ,                                 ,                  ,                   ,                  ,                        ,                       ,                       ,                        ,                ,                  ,                  ,                 ,                   ,                        ,                     ,                ,                 ,                 ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Paleocene   ,Early Paleocene  ,                  ,B. campechensis,,171,1050,A,29,X,CC,38.00,266.8200,Blome    ,Radiolarians                                 ,C              ,G                 ,                   ,A                             ,                   ,C                             ,                   ,                 ,                     ,C                 ,F                 ,F                  ,                   ,                   ,                  ,                     ,F                                   ,                 ,                    ,                  ,                  ,C                ,                       ,                 ,                  ,                  ,                               ,                          ,                  ,                       ,                   ,                     ,                   ,                    ,                ,                    ,                    ,                  ,                  ,                            ,                                ,                  ,                     ,                    ,                         ,                  ,                       ,                                  ,                                 ,                  ,                   ,                  ,                        ,                       ,                       ,                        ,                ,                  ,                  ,                 ,                   ,                        ,                     ,                ,                 ,                 ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Paleocene   ,Early Paleocene  ,                  ,B. campechensis,,171,1050,A,30,X,CC,14.00,276.1100,Blome    ,Radiolarians                                 ,R              ,M                 ,F                  ,C                             ,                   ,R                             ,                   ,                 ,                     ,F                 ,                  ,                   ,                   ,                   ,                  ,                     ,                                    ,                 ,                    ,R                 ,                  ,                 ,                       ,                 ,R                 ,                  ,                               ,                          ,                  ,                       ,                   ,                     ,                   ,                    ,                ,                    ,                    ,                  ,                  ,                            ,                                ,                  ,                     ,                    ,                         ,                  ,                       ,                                  ,                                 ,                  ,                   ,                  ,                        ,                       ,                       ,                        ,                ,                  ,                  ,                 ,                   ,                        ,                     ,                ,                 ,                 ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Paleocene   ,Early Paleocene  ,                  ,B. campechensis,,171,1050,A,31,X,CC,40.00,285.9500,Blome    ,Radiolarians                                 ,C              ,G                 ,                   ,A                             ,                   ,                              ,                   ,                 ,F                    ,C                 ,F                 ,F                  ,                   ,C                  ,                  ,                     ,                                    ,                 ,                    ,                  ,                  ,C                ,F                      ,R                ,                  ,                  ,                               ,                          ,                  ,                       ,                   ,                     ,                   ,                    ,                ,                    ,                    ,                  ,                  ,                            ,                                ,                  ,                     ,                    ,                         ,                  ,                       ,                                  ,                                 ,                  ,                   ,                  ,                        ,                       ,                       ,                        ,                ,                  ,                  ,                 ,                   ,                        ,                     ,                ,                 ,                 ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Paleocene   ,Early Paleocene  ,                  ,B. campechensis,,171,1050,A,32,X,CC,27.00,291.7300,Blome    ,Radiolarians                                 ,C              ,G                 ,                   ,A                             ,                   ,                              ,                   ,                 ,                     ,C                 ,F                 ,F                  ,                   ,C                  ,                  ,                     ,                                    ,                 ,F                   ,F                 ,F                 ,C                ,R                      ,                 ,                  ,                  ,                               ,                          ,                  ,                       ,                   ,                     ,                   ,                    ,                ,                    ,                    ,                  ,                  ,                            ,                                ,                  ,                     ,                    ,                         ,                  ,                       ,                                  ,                                 ,                  ,                   ,                  ,                        ,                       ,                       ,                        ,                ,                  ,                  ,                 ,                   ,                        ,                     ,                ,                 ,                 ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Paleocene   ,Early Paleocene  ,                  ,B. campechensis,,171,1050,A,33,X,CC,36.00,298.1100,Blome    ,Radiolarians                                 ,C              ,VG                ,C                  ,A                             ,C                  ,F                             ,                   ,                 ,                     ,C                 ,F                 ,F                  ,F                  ,C                  ,                  ,F                    ,                                    ,C                ,                    ,                  ,                  ,                 ,                       ,                 ,                  ,                  ,                               ,                          ,                  ,                       ,                   ,                     ,                   ,                    ,                ,                    ,                    ,                  ,                  ,                            ,                                ,                  ,                     ,                    ,                         ,                  ,                       ,                                  ,                                 ,                  ,                   ,                  ,                        ,                       ,                       ,                        ,                ,                  ,                  ,                 ,                   ,                        ,                     ,                ,                 ,                 ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Paleocene   ,Early Paleocene  ,                  ,B. campechensis,,171,1050,A,34,X,CC,46.00,300.0800,Blome    ,Radiolarians                                 ,F              ,M                 ,                   ,C                             ,                   ,                              ,                   ,                 ,                     ,F                 ,R                 ,R                  ,                   ,F                  ,                  ,                     ,                                    ,                 ,                    ,                  ,                  ,                 ,                       ,                 ,                  ,                  ,                               ,                          ,                  ,                       ,                   ,                     ,                   ,                    ,                ,                    ,                    ,                  ,                  ,                            ,                                ,                  ,                     ,                    ,                         ,                  ,                       ,                                  ,                                 ,                  ,                   ,                  ,                        ,                       ,                       ,                        ,                ,                  ,                  ,                 ,                   ,                        ,                     ,                ,                 ,                 ,                    ,"Few radiolarians present, masked by clay minerals and preservation poor to moderate"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Paleocene   ,Early Paleocene  ,                  ,B. campechensis,,171,1050,A,35,X,CC,26.00,314.6100,Blome    ,Radiolarians                                 ,C              ,G                 ,F                  ,F                             ,F                  ,                              ,                   ,R                ,                     ,C                 ,F                 ,F                  ,                   ,C                  ,A                 ,C                    ,R                                   ,                 ,                    ,                  ,                  ,                 ,                       ,                 ,                  ,                  ,                               ,                          ,                  ,                       ,                   ,                     ,                   ,                    ,                ,                    ,                    ,                  ,                  ,                            ,                                ,                  ,                     ,                    ,                         ,                  ,                       ,                                  ,                                 ,                  ,                   ,                  ,                        ,                       ,                       ,                        ,                ,                  ,                  ,                 ,                   ,                        ,                     ,                ,                 ,                 ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Paleocene   ,Early Paleocene  ,                  ,B. campechensis,,171,1050,A,36,X,CC,13.00,319.7200,Blome    ,Radiolarians                                 ,C              ,VG                ,C                  ,C                             ,F                  ,F                             ,C                  ,F                ,A                    ,C                 ,F                 ,F                  ,F                  ,F                  ,R                 ,                     ,                                    ,                 ,                    ,                  ,                  ,                 ,                       ,                 ,                  ,                  ,                               ,                          ,                  ,                       ,                   ,                     ,                   ,                    ,                ,                    ,                    ,                  ,                  ,                            ,                                ,                  ,                     ,                    ,                         ,                  ,                       ,                                  ,                                 ,                  ,                   ,                  ,                        ,                       ,                       ,                        ,                ,                  ,                  ,                 ,                   ,                        ,                     ,                ,                 ,                 ,                    ,       
