Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Stylodictya sp.	Stylatractus sp.	Spongodiscus sp.	Siphocampe sp.	Lychnocanoma sp.	Larcopyle sp.	Eucyrtidium sp.	Calocycletta sp.	Botryostrobus sp.	Cyrtocapsella japonica	Thecosphaera sp.	Peripyramis sp.	Lithelius nautiloides	Eucyrtidium calvertense	Euchitonia sp.	Antarctissa strelkovi	Spongotrochus glacialis	Spongodiscus osculosus	Hexacontium sp.	Cycladophora davisiana davisiana	Botryostrobus auritus/australis	Stylatractus universus	Saccospyris antarctica	Antarctissa denticulata	Botryostrobus aquilonaris	Stylacontarium bispiculum	Prunopyle antarctica	Phorticium clevei	Axoprunum angelinum	Triceraspyris antarctica	Saturnalis circularis	Pterocanium trilobum	Dictyophimus hirundo	Carpocanistrum sp.	Spongoplegma antarcticum	Theocorythium sp.	Cycladophora davisiana cornutoides	Actinomma leptodermum	Antarctissa longa	Heliodiscus asteriscus	Stichocorys peregrina	Gondwanaria dogieli	Dictyophimus sp.	Cycladophora bicornis bicornis	Cornutella profunda	Phormostichoartus fistula	Lamprocyrtis maritalis	Actinomma sp.	Lamprocyrtis nigriniae	Comment
  IR	                 	                 	                  	              	181	1122	C	 31	X	CC	  16.00	    266.3400	rads     	Radiolarians                                 	F              	G                 	C              	                	A               	              	                	C            	T              	                	                 	                      	                	               	                     	                       	              	F                    	                       	                      	               	R                               	                               	                      	R                     	F                      	                         	                         	                    	                 	T                  	                        	                     	                    	                    	R                 	                        	                 	R                                 	F                    	                 	                      	                     	                   	                	                              	                   	                         	                      	             	                      	       

  IR	                 	                 	                  	              	181	1122	C	 32	X	CC	  16.00	    273.7500	rads     	Radiolarians                                 	R              	G                 	R              	                	R               	              	                	R            	               	                	                 	                      	                	               	                     	                       	              	                     	                       	                      	               	                                	                               	                      	                      	                       	                         	                         	                    	                 	                   	                        	                     	                    	                    	                  	                        	                 	                                  	                     	                 	                      	                     	                   	                	                              	                   	                         	                      	             	                      	       

  IR	                 	                 	                  	              	181	1122	C	 33	X	CC	   8.00	    287.9800	rads     	Radiolarians                                 	R              	M                 	R              	                	R               	              	                	             	               	                	                 	                      	                	               	                     	                       	              	T                    	                       	                      	               	                                	                               	                      	                      	                       	                         	                         	                    	                 	                   	                        	                     	                    	                    	                  	                        	                 	                                  	                     	                 	                      	                     	                   	                	                              	                   	                         	                      	             	                      	       

  IR	                 	                 	                  	              	181	1122	C	 34	X	CC	   0.00	    297.7400	rads     	Radiolarians                                 	C              	M                 	A              	                	C               	              	                	A            	               	                	                 	                      	R               	               	T                    	                       	              	A                    	                       	R                     	F              	                                	                               	                      	R                     	A                      	                         	                         	T                   	R                	R                  	R                       	                     	T                   	                    	                  	                        	R                	                                  	                     	                 	                      	                     	                   	                	                              	                   	                         	                      	             	                      	       

  IR	                 	                 	                  	              	181	1122	C	 35	X	CC	  24.00	    307.8400	rads     	Radiolarians                                 	C              	M                 	A              	                	A               	              	                	A            	               	                	                 	                      	                	               	R                    	                       	              	A                    	T                      	                      	F              	C                               	F                              	                      	R                     	A                      	                         	                         	T                   	                 	                   	                        	                     	                    	                    	                  	R                       	                 	                                  	                     	                 	                      	                     	                   	                	                              	                   	                         	                      	             	                      	       

  IR	                 	                 	                  	              	181	1122	C	 36	X	CC	  20.00	    318.2200	rads     	Radiolarians                                 	F              	M                 	               	C               	C               	              	                	C            	               	                	                 	                      	                	               	R                    	                       	              	                     	                       	                      	F              	                                	                               	                      	                      	                       	                         	                         	                    	                 	                   	                        	                     	                    	                    	                  	                        	                 	                                  	                     	                 	                      	                     	                   	                	                              	                   	                         	                      	             	                      	       

  IR	                 	                 	                  	              	181	1122	C	 37	X	CC	   7.00	    328.2100	rads     	Radiolarians                                 	C              	M                 	C              	                	A               	              	                	A            	               	                	                 	                      	A               	               	R                    	                       	R             	A                    	                       	R                     	               	R                               	F                              	                      	R                     	A                      	                         	R                        	C                   	                 	C                  	R                       	T                    	R                   	T                   	R                 	                        	                 	                                  	                     	                 	                      	                     	                   	                	                              	                   	                         	                      	             	                      	       

