Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Coccolith species E,Watznaueria barnesae,Vekshinella stradnerii,Tranolithus phacelosus,Stradneria crenulata,Repagalum parvidentatum,Reinhardtites levis,Prediscosphaera stoveri,Prediscosphaera spinosa,Prediscosphaera bukryi,Prediscosphaera arkhangelskyi,Placozygus sigmoides,Placozygus fibuliformis,Neocrepidolithus watkinsii,Monomarginatus spp.,Monomarginatus pectinatus,Misceomarginatus pleniporus,Micula decussata,Lucianorhabdus cayeuxii,Kamptnerius magnificus,Gartnerago obliquum,Eiffellithus turriseiffelii,Cribrosphaerella ehrenbergii,Cretarhabdus sp. cf. C. conicus,Chiastozygus litterarius,Biscutum magnum,Biscutum dissimilis,Biscutum coronum,Biscutum constans,Arkhangelskiella specillata,Arkhangelskiella cymbiformis,Ahmuellerella octoradiata,Zeugrhabdotus pseudanthophorus,Vekshinella sp. A,Prediscosphaera intercisa,Prediscosphaera cretacea,Lapideacassis mariae,Scampanella magnifica,Lucianorhabdus arcuatus,Cretarhabdus conicus,Biscutum notaculum,Aspidolithus parcus constrictus,Teichorhabdus ethmos,Sollasites lowei,Rhagodiscus angustus,Nephrolithus corystus,Glaukolithus compactus,Eiffellithus gorkae,Calculites obscurus,Markalius inversus,Octolithus multiplus,Monomarginatus quaternarius,Cribrosphaerella daniae,Vekshinella angusta,Acuturris scotus,Nephrolithus frequens miniporus,Nephrolithus frequens,Rhombolithion rhombicum,Lithraphidites carniolensis,Lapideacassis tricornus,Broinsonia dentata,Bidiscus rotatorius,Prediscosphaera grandis,Vekshinella parma,Lithraphidites quadratus,Lapideacassis glans,Thoracosphaera spp.,Scampanella spp.,Prinsius spp.,Neocrepidolithus cohenii,Microrhabdulus decoratus,Hornibrookina sp. cf. H. teuriensis,Goniolithus fluckigeri,Glaukolithus fessus,Ericsonia subpertusa,Ellipsagelosphaera sp.,Cyclagelosphaera margerelii,Cruciplacolithus spp.,Cretarhabdus spp.,Coccolithus pelagicus,Biscutum castrorum,Cretarhabdus crenulatus,Thoracosphaera operculata,Scampanella asymmetrica,Cruciplacolithus primus,Scampanella bispinosa,Biantholithus sparsus,Thoracosphaera sp. cf. T. imperforata,Lithastrinus floralis,Cruciplacolithus tenuis,Rhagodiscus spp.,Thoracosphaera (unspecified taxon or taxa),Reinhardtites anthophorus,Prinsius (unspecified taxon or taxa),Hornbrookina (unspecified taxon or taxa),Ericsonia cava,Cruciplacolithus unspecified taxon or taxa,Scampanella wisei,Biscutum kerguelensis,Prinsius martinii,Lapideacassis blackii,Chiasmolithus danicus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,120, 750,A, 15,R, 3,  22.00,    349.3200,Aubry    ,Nannofossils                                 ,               ,                  ,                   ,.0%                 ,                      ,                      ,                    ,                       ,                   ,.0%                    ,.0%                    ,                      ,                             ,24.0%               ,.0%                    ,                          ,                   ,                         ,                           ,.0%             ,.3%                    ,.6%                   ,                   ,.0%                        ,.0%                         ,                               ,                        ,               ,                   ,                ,                 ,                           ,.0%                         ,.0%                      ,                              ,                 ,                         ,.6%                     ,                    ,                     ,                       ,                    ,                  ,                               ,                    ,                ,                    ,                     ,                      ,                   ,                   ,2.3%              ,                    ,                           ,                       ,                   ,                ,                               ,.9%                  ,                       ,                           ,                       ,                  ,                   ,                       ,                 ,                        ,                   ,1.7%               ,.0%             ,93.2%        ,5.0%                    ,.0%                     ,.0%                                ,.0%                   ,.0%                ,.0%                 ,.0%                   ,.0%                        ,55.2%                ,.6%              ,.0%                  ,1.7%              ,                       ,C                        ,                       ,A                      ,                     ,                     ,                                     ,                     ,C                      ,                ,67                                        ,                         ,579                                 ,1                                       ,              ,151                                       ,                 ,                     ,                 ,                     ,                     ,from ODP Leg 120 Vol 2 Chapter 25 Table 10 p 470
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,120, 750,A, 15,R, 3,  26.00,    349.3600,Zachos   ,Nannofossils                                 ,               ,                  ,                   ,                    ,                      ,                      ,                    ,                       ,                   ,                       ,                       ,                      ,                             ,                    ,                       ,                          ,                   ,                         ,                           ,                ,                       ,                      ,                   ,                           ,                            ,                               ,                        ,               ,                   ,                ,                 ,                           ,                            ,                         ,                              ,                 ,                         ,                        ,                    ,                     ,                       ,                    ,                  ,                               ,                    ,                ,                    ,                     ,                      ,                   ,                   ,                  ,                    ,                           ,                       ,                   ,                ,                               ,                     ,                       ,                           ,                       ,                  ,                   ,                       ,                 ,                        ,                   ,                   ,                ,             ,                        ,                        ,                                   ,                      ,                   ,                    ,                      ,                           ,                     ,                 ,                     ,                  ,                       ,                         ,                       ,                       ,                     ,                     ,                                     ,                     ,                       ,                ,86                                        ,                         ,467                                 ,3                                       ,              ,145                                       ,                 ,                     ,                 ,                     ,                     ,from ODP Leg 120 SR Vol 2 Chapter 54 Table 2 p 967
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Paleocene  ,                 ,NP2               ,              ,120, 750,A, 15,R, 3,  27.00,    349.3700,Aubry    ,Nannofossils                                 ,A              ,G                 ,                   ,                    ,                      ,                      ,                    ,                       ,                   ,R                      ,VR                     ,                      ,                             ,C                   ,                       ,                          ,                   ,                         ,                           ,                ,                       ,VR                    ,                   ,                           ,VR                          ,                               ,                        ,               ,                   ,                ,                 ,                           ,VR                          ,VR                       ,                              ,                 ,                         ,VR                      ,                    ,                     ,                       ,                    ,                  ,                               ,                    ,                ,                    ,                     ,                      ,                   ,                   ,C                 ,                    ,                           ,                       ,                   ,                ,                               ,R                    ,                       ,                           ,                       ,                  ,                   ,                       ,                 ,                        ,                   ,                   ,                ,A            ,C                       ,VR                      ,C                                  ,                      ,                   ,                    ,                      ,R                          ,                     ,                 ,                     ,C                 ,                       ,C                        ,                       ,C                      ,                     ,                     ,                                     ,                     ,C                      ,                ,                                          ,                         ,                                    ,                                        ,              ,                                          ,                 ,                     ,                 ,                     ,                     ,from ODP Leg 120 SR Vol 2 Chapter 25 Fig 5 p 462 and Fig 6 p 463
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,120, 750,A, 15,R, 3,  34.00,    349.4400,Aubry    ,Nannofossils                                 ,               ,                  ,                   ,.0%                 ,                      ,                      ,                    ,                       ,                   ,.0%                    ,.0%                    ,                      ,                             ,14.8%               ,.0%                    ,                          ,                   ,                         ,                           ,.0%             ,.3%                    ,.0%                   ,                   ,.0%                        ,.0%                         ,                               ,                        ,               ,                   ,                ,                 ,                           ,.0%                         ,.0%                      ,                              ,                 ,                         ,.0%                     ,                    ,                     ,                       ,                    ,                  ,                               ,                    ,                ,                    ,                     ,                      ,                   ,                   ,1.6%              ,                    ,                           ,R                      ,                   ,                ,                               ,1.1%                 ,                       ,                           ,                       ,                  ,                   ,                       ,                 ,                        ,                   ,18.8%              ,.0%             ,44.7%        ,3.0%                    ,.0%                     ,.5%                                ,.0%                   ,.0%                ,.0%                 ,.0%                   ,.0%                        ,62.2%                ,.8%              ,.0%                  ,4.7%              ,                       ,C                        ,                       ,C                      ,VR                   ,                     ,R                                    ,                     ,R                      ,                ,91                                        ,                         ,415                                 ,5                                       ,              ,145                                       ,                 ,                     ,                 ,                     ,                     ,from ODP Leg 120 Vol 2 Chapter 25 Table 10 p 470
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Paleocene  ,                 ,NP2               ,              ,120, 750,A, 15,R, 3,  35.00,    349.4500,Aubry    ,Nannofossils                                 ,A              ,G                 ,                   ,                    ,                      ,                      ,                    ,                       ,                   ,                       ,VR                     ,                      ,                             ,C                   ,                       ,                          ,                   ,                         ,                           ,                ,VR                     ,                      ,                   ,VR                         ,VR                          ,                               ,                        ,               ,                   ,                ,                 ,                           ,R                           ,                         ,                              ,                 ,                         ,VR                      ,                    ,                     ,                       ,                    ,                  ,                               ,                    ,                ,                    ,                     ,                      ,                   ,                   ,R                 ,                    ,                           ,R                      ,                   ,                ,                               ,R                    ,                       ,                           ,                       ,                  ,                   ,                       ,                 ,                        ,                   ,                   ,                ,A            ,R                       ,                        ,C                                  ,                      ,                   ,                    ,                      ,R                          ,                     ,                 ,                     ,C                 ,R                      ,A                        ,                       ,A                      ,                     ,                     ,                                     ,                     ,C                      ,                ,                                          ,                         ,                                    ,                                        ,              ,                                          ,                 ,                     ,                 ,                     ,                     ,from ODP Leg 120 SR Vol 2 Chapter 25 Fig 5 p 462 and Fig 6 p 463
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,120, 750,A, 15,R, 3,  36.00,    349.4600,Zachos   ,Nannofossils                                 ,               ,                  ,                   ,                    ,                      ,                      ,                    ,                       ,                   ,                       ,                       ,                      ,                             ,                    ,                       ,                          ,                   ,                         ,                           ,                ,                       ,                      ,                   ,                           ,                            ,                               ,                        ,               ,                   ,                ,                 ,                           ,                            ,                         ,                              ,                 ,                         ,                        ,                    ,                     ,                       ,                    ,                  ,                               ,                    ,                ,                    ,                     ,                      ,                   ,                   ,                  ,                    ,                           ,                       ,                   ,                ,                               ,                     ,                       ,                           ,                       ,                  ,                   ,                       ,                 ,                        ,                   ,                   ,                ,             ,                        ,                        ,                                   ,                      ,                   ,                    ,                      ,                           ,                     ,                 ,                     ,                  ,                       ,                         ,                       ,                       ,                     ,                     ,                                     ,                     ,                       ,                ,127                                       ,                         ,288                                 ,9                                       ,              ,99                                        ,                 ,                     ,                 ,                     ,                     ,from ODP Leg 120 SR Vol 2 Chapter 54 Table 2 p 967
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Paleocene  ,                 ,NP2               ,              ,120, 750,A, 15,R, 3,  41.00,    349.5100,Aubry    ,Nannofossils                                 ,A              ,G                 ,                   ,                    ,                      ,                      ,                    ,                       ,                   ,                       ,                       ,                      ,                             ,C                   ,                       ,                          ,                   ,                         ,                           ,                ,R                      ,                      ,                   ,                           ,                            ,                               ,                        ,               ,                   ,                ,                 ,                           ,R                           ,                         ,                              ,                 ,                         ,                        ,                    ,                     ,                       ,                    ,                  ,                               ,                    ,                ,                    ,                     ,                      ,                   ,                   ,C                 ,                    ,                           ,                       ,                   ,                ,                               ,R                    ,                       ,                           ,                       ,                  ,                   ,                       ,                 ,                        ,                   ,                   ,                ,AA           ,R                       ,                        ,C                                  ,                      ,R                  ,                    ,                      ,VR                         ,                     ,                 ,                     ,C                 ,                       ,A                        ,R                      ,C                      ,                     ,                     ,C                                    ,                     ,C                      ,                ,                                          ,                         ,                                    ,                                        ,VR            ,                                          ,R                ,                     ,                 ,                     ,                     ,from ODP Leg 120 SR Vol 2 Chapter 25 Fig 5 p 462 and Fig 6 p 463
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Paleocene  ,                 ,NP2               ,              ,120, 750,A, 15,R, 3,  44.00,    349.5400,Aubry    ,Nannofossils                                 ,A              ,G                 ,                   ,                    ,                      ,                      ,                    ,                       ,                   ,R                      ,                       ,                      ,                             ,C                   ,                       ,                          ,                   ,                         ,                           ,                ,R                      ,R                     ,                   ,                           ,                            ,                               ,                        ,               ,                   ,                ,                 ,                           ,R                           ,                         ,                              ,                 ,                         ,R                       ,                    ,                     ,                       ,                    ,                  ,                               ,                    ,                ,                    ,                     ,                      ,                   ,                   ,C                 ,                    ,                           ,                       ,                   ,                ,                               ,R                    ,                       ,                           ,                       ,                  ,                   ,                       ,                 ,                        ,                   ,                   ,                ,A            ,R                       ,                        ,C                                  ,                      ,R                  ,                    ,                      ,VR                         ,                     ,                 ,                     ,C                 ,                       ,A                        ,                       ,C                      ,                     ,                     ,                                     ,                     ,C                      ,                ,                                          ,VR                       ,                                    ,                                        ,              ,                                          ,                 ,                     ,                 ,                     ,                     ,from ODP Leg 120 SR Vol 2 Chapter 25 Fig 5 p 462 and Fig 6 p 463
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,120, 750,A, 15,R, 3,  46.00,    349.5600,Aubry    ,Nannofossils                                 ,               ,                  ,                   ,.0%                 ,                      ,                      ,                    ,                       ,                   ,.0%                    ,.0%                    ,                      ,                             ,27.3%               ,.0%                    ,                          ,                   ,                         ,                           ,.0%             ,.0%                    ,.3%                   ,                   ,.0%                        ,1.0%                        ,                               ,                        ,               ,                   ,                ,                 ,                           ,.3%                         ,.0%                      ,                              ,                 ,                         ,.3%                     ,                    ,                     ,                       ,R                   ,                  ,                               ,                    ,                ,                    ,                     ,                      ,                   ,                   ,1.8%              ,                    ,                           ,R                      ,                   ,                ,                               ,1.8%                 ,                       ,                           ,                       ,                  ,                   ,                       ,                 ,                        ,                   ,22.4%              ,.0%             ,52.9%        ,4.0%                    ,.0%                     ,2.9%                               ,.0%                   ,.0%                ,.0%                 ,.3%                   ,.0%                        ,40.8%                ,.0%              ,.0%                  ,10.0%             ,                       ,A                        ,                       ,A                      ,                     ,                     ,R                                    ,                     ,C                      ,                ,146                                       ,R                        ,229                                 ,11                                      ,              ,55                                        ,                 ,                     ,                 ,                     ,                     ,from ODP Leg 120 Vol 2 Chapter 25 Table 10 p 470
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Paleocene  ,                 ,NP2               ,              ,120, 750,A, 15,R, 3,  51.00,    349.6100,Aubry    ,Nannofossils                                 ,A              ,G                 ,                   ,                    ,                      ,                      ,                    ,                       ,                   ,R                      ,VR                     ,                      ,                             ,A                   ,R                      ,                          ,                   ,                         ,                           ,VR              ,R                      ,R                     ,                   ,R                          ,R                           ,                               ,                        ,               ,                   ,                ,                 ,                           ,R                           ,R                        ,                              ,                 ,                         ,R                       ,                    ,                     ,                       ,VR                  ,                  ,                               ,                    ,                ,                    ,                     ,                      ,                   ,                   ,C                 ,                    ,                           ,R                      ,                   ,                ,                               ,R                    ,                       ,                           ,                       ,                  ,                   ,                       ,                 ,                        ,                   ,                   ,                ,C            ,C                       ,                        ,C                                  ,R                     ,R                  ,                    ,                      ,VR                         ,R                    ,                 ,                     ,A                 ,                       ,A                        ,                       ,C                      ,VR                   ,VR                   ,C                                    ,                     ,C                      ,                ,81                                        ,VR                       ,278                                 ,12                                      ,              ,55                                        ,                 ,                     ,                 ,                     ,                     ,from ODP Leg 120 SR Vol 2 Chapter 25 Fig 5 p 462 and Fig 6 p 463
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,120, 750,A, 15,R, 3,  56.00,    349.6600,Aubry    ,Nannofossils                                 ,               ,                  ,                   ,.0%                 ,                      ,                      ,                    ,                       ,                   ,.0%                    ,.0%                    ,                      ,                             ,34.4%               ,.0%                    ,                          ,                   ,                         ,                           ,.0%             ,.2%                    ,.5%                   ,                   ,.0%                        ,1.0%                        ,                               ,                        ,               ,                   ,                ,                 ,                           ,.7%                         ,.0%                      ,                              ,                 ,                         ,.0%                     ,                    ,                     ,                       ,VR                  ,                  ,                               ,                    ,                ,                    ,                     ,                      ,                   ,                   ,3.6%              ,                    ,                           ,R                      ,                   ,                ,                               ,2.4%                 ,                       ,                           ,                       ,                  ,                   ,                       ,                 ,                        ,                   ,45.9%              ,.0%             ,10.6%        ,6.0%                    ,.0%                     ,8.8%                               ,.0%                   ,1.0%               ,.0%                 ,.2%                   ,.0%                        ,20.7%                ,.5%              ,.2%                  ,11.0%             ,R                      ,A                        ,VR                     ,C                      ,                     ,VR                   ,C                                    ,                     ,                       ,                ,72                                        ,                         ,252                                 ,11                                      ,              ,34                                        ,                 ,                     ,                 ,                     ,                     ,from ODP Leg 120 Vol 2 Chapter 25 Table 10 p 470
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Paleocene  ,                 ,NP1               ,              ,120, 750,A, 15,R, 3,  60.00,    349.7000,Aubry    ,Nannofossils                                 ,A              ,G                 ,                   ,                    ,                      ,                      ,                    ,                       ,                   ,R                      ,                       ,                      ,                             ,A                   ,                       ,                          ,                   ,                         ,                           ,                ,R                      ,R                     ,                   ,R                          ,R                           ,                               ,                        ,               ,                   ,                ,                 ,                           ,R                           ,R                        ,                              ,                 ,                         ,VR                      ,                    ,                     ,                       ,                    ,                  ,                               ,                    ,                ,                    ,                     ,                      ,                   ,                   ,C                 ,                    ,                           ,R                      ,                   ,                ,                               ,R                    ,                       ,                           ,                       ,                  ,                   ,                       ,                 ,                        ,                   ,                   ,                ,C            ,C                       ,VR                      ,C                                  ,                      ,VR                 ,                    ,                      ,R                          ,                     ,VR               ,                     ,C                 ,                       ,A                        ,R                      ,C                      ,R                    ,VR                   ,C                                    ,R                    ,                       ,                ,                                          ,R                        ,                                    ,                                        ,              ,                                          ,                 ,                     ,                 ,                     ,                     ,from ODP Leg 120 SR Vol 2 Chapter 25 Fig 5 p 462 and Fig 6 p 463
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Paleocene  ,                 ,NP1               ,              ,120, 750,A, 15,R, 3,  61.00,    349.7100,Aubry    ,Nannofossils                                 ,A              ,G                 ,                   ,                    ,                      ,                      ,                    ,                       ,                   ,R                      ,VR                     ,                      ,                             ,A                   ,VR                     ,                          ,                   ,                         ,                           ,                ,R                      ,R                     ,                   ,VR                         ,VR                          ,                               ,                        ,               ,                   ,                ,                 ,                           ,R                           ,R                        ,                              ,                 ,                         ,R                       ,                    ,                     ,                       ,                    ,                  ,                               ,                    ,                ,                    ,                     ,                      ,                   ,                   ,C                 ,                    ,                           ,R                      ,                   ,                ,                               ,C                    ,                       ,                           ,                       ,                  ,                   ,                       ,                 ,                        ,                   ,                   ,                ,C            ,C                       ,VR                      ,C                                  ,VR                    ,R                  ,                    ,                      ,                           ,R                    ,                 ,                     ,C                 ,                       ,A                        ,                       ,A                      ,                     ,                     ,C                                    ,                     ,                       ,                ,                                          ,                         ,                                    ,                                        ,              ,                                          ,                 ,                     ,                 ,                     ,                     ,from ODP Leg 120 SR Vol 2 Chapter 25 Fig 5 p 462 and Fig 6 p 463
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,120, 750,A, 15,R, 3,  61.00,    349.7100,Aubry    ,Nannofossils                                 ,               ,                  ,                   ,.0%                 ,                      ,                      ,                    ,                       ,                   ,.0%                    ,.0%                    ,                      ,                             ,51.2%               ,.0%                    ,                          ,                   ,                         ,                           ,.0%             ,.2%                    ,.2%                   ,                   ,.0%                        ,.0%                         ,                               ,                        ,               ,                   ,                ,                 ,                           ,.7%                         ,.0%                      ,                              ,                 ,                         ,.2%                     ,                    ,                     ,                       ,                    ,                  ,                               ,                    ,                ,                    ,                     ,                      ,                   ,                   ,2.6%              ,                    ,                           ,                       ,                   ,                ,                               ,1.5%                 ,                       ,                           ,                       ,                  ,                   ,                       ,                 ,                        ,                   ,49.4%              ,.0%             ,11.7%        ,1.0%                    ,.0%                     ,10.0%                              ,.0%                   ,.0%                ,.0%                 ,.0%                   ,.0%                        ,14.6%                ,.0%              ,.0%                  ,10.0%             ,                       ,                         ,                       ,                       ,                     ,                     ,                                     ,                     ,                       ,                ,                                          ,                         ,                                    ,                                        ,              ,                                          ,                 ,                     ,                 ,                     ,                     ,from ODP Leg 120 Vol 2 Chapter 25 Table 10 p 470
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Paleocene  ,                 ,NP1               ,              ,120, 750,A, 15,R, 3,  66.00,    349.7600,Aubry    ,Nannofossils                                 ,A              ,G                 ,                   ,VR                  ,                      ,                      ,                    ,                       ,                   ,R                      ,                       ,                      ,                             ,A                   ,                       ,                          ,                   ,                         ,                           ,                ,R                      ,R                     ,                   ,                           ,VR                          ,                               ,                        ,               ,                   ,                ,                 ,                           ,VR                          ,R                        ,                              ,                 ,                         ,R                       ,                    ,                     ,                       ,VR                  ,                  ,                               ,                    ,                ,                    ,                     ,                      ,                   ,                   ,R                 ,                    ,                           ,R                      ,                   ,                ,                               ,C                    ,                       ,                           ,                       ,                  ,                   ,                       ,                 ,                        ,                   ,                   ,                ,C            ,R                       ,                        ,C                                  ,R                     ,VR                 ,                    ,                      ,R                          ,                     ,                 ,                     ,C                 ,                       ,A                        ,                       ,C                      ,                     ,                     ,C                                    ,                     ,                       ,                ,81                                        ,R                        ,230                                 ,11                                      ,              ,9                                         ,R                ,                     ,                 ,                     ,                     ,from ODP Leg 120 SR Vol 2 Chapter 25 Fig 5 p 462 and Fig 6 p 463
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,120, 750,A, 15,R, 3,  66.00,    349.7600,Aubry    ,Nannofossils                                 ,               ,                  ,                   ,.0%                 ,                      ,                      ,                    ,                       ,                   ,.0%                    ,.0%                    ,                      ,                             ,48.6%               ,.0%                    ,                          ,                   ,                         ,                           ,.0%             ,1.0%                   ,.7%                   ,                   ,.0%                        ,1.0%                        ,                               ,                        ,               ,                   ,                ,                 ,                           ,.5%                         ,1.0%                     ,                              ,                 ,                         ,1.0%                    ,                    ,                     ,                       ,                    ,                  ,                               ,                    ,                ,                    ,                     ,                      ,                   ,                   ,1.7%              ,                    ,                           ,                       ,                   ,                ,                               ,2.2%                 ,                       ,                           ,                       ,                  ,                   ,                       ,                 ,                        ,                   ,52.9%              ,.0%             ,3.4%         ,2.0%                    ,.0%                     ,18.0%                              ,.0%                   ,.0%                ,.0%                 ,.0%                   ,.0%                        ,5.5%                 ,.0%              ,.0%                  ,12.0%             ,                       ,                         ,                       ,                       ,                     ,                     ,                                     ,                     ,                       ,                ,                                          ,                         ,                                    ,                                        ,              ,                                          ,                 ,                     ,                 ,                     ,                     ,from ODP Leg 120 Vol 2 Chapter 25 Table 10 p 470
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,120, 750,A, 15,R, 3,  71.00,    349.8100,Aubry    ,Nannofossils                                 ,               ,                  ,                   ,.0%                 ,                      ,                      ,                    ,                       ,                   ,.0%                    ,.0%                    ,                      ,                             ,32.6%               ,.0%                    ,                          ,                   ,                         ,                           ,.0%             ,1.1%                   ,2.0%                  ,                   ,.0%                        ,1.0%                        ,                               ,                        ,               ,                   ,                ,                 ,                           ,.4%                         ,1.0%                     ,                              ,                 ,                         ,2.5%                    ,                    ,                     ,                       ,                    ,                  ,                               ,                    ,                ,                    ,                     ,                      ,                   ,                   ,2.9%              ,                    ,                           ,                       ,                   ,                ,                               ,3.6%                 ,                       ,                           ,                       ,                  ,                   ,                       ,                 ,                        ,                   ,75.8%              ,.0%             ,.0%          ,2.0%                    ,.0%                     ,14.0%                              ,.0%                   ,.0%                ,.0%                 ,.0%                   ,.0%                        ,16.6%                ,.0%              ,.0%                  ,12.0%             ,                       ,A                        ,R                      ,C                      ,                     ,                     ,C                                    ,                     ,                       ,                ,                                          ,R                        ,                                    ,                                        ,              ,                                          ,                 ,                     ,                 ,                     ,                     ,from ODP Leg 120 Vol 2 Chapter 25 Table 10 p 470
