Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Tuberculodinium vancampoae	Tectatodinium sp. 3	Tectatodinium sp. 2	Tectatodinium psilatum	Systematophora placacantha	Sumatradinium? sp. C	Spiniferites spp.	Spiniferites ramosus brevifurcatus	Spiniferites ramosus	Spiniferites pseudofurcatus	Spiniferites cf. mirabilis	Spiniferites bentorii	Pyxidinopsis sp.1	Platycystidia (?) sp. II	Pentadinium laticinctum imaginatum	Palaeocystodinium sp. A	Palaeocystodinium golzowense	Operculodinium sp. 3	Operculodinium sp. 1	Operculodinium sp.	Operculodinium placitum	Operculodinium longispinigerum	Operculodinium israelianum	Operculodinium crassum	Operculodinium cf. giganteum 	Operculodinium centrocarpum	Nematosphaeropsis lemniscata	Nematosphaeropsis labyrinthea	Melitasphaeridium choanophorum	Litosphaeridium sp. 1	Lingulodinium sp. 1	Lingulodinium machaerophorum	Labyrinthodinium truncatum	Labyrinthodinium cf. truncatum	Invertocysta tabulata	Invertocysta lacrymosa	Impletosphaeridium spp.	Impagidinium velorum	Impagidinium spp.	Impagidinium sp.3	Impagidinium sp.2	Impagidinium patulum	Impagidinium paradoxum	Impagidinium pallidum	Impagidinium maculatum	Impagidinium aquaeductum	Hystrichostrogylon sp.	Hystrichostrogylon cf. membraniphorum	Hystrichosphaeropsis obscura	Hystrichosphaeridium latirictum	Hystrichokolpoma rigaudiae	Homotryblium vallum	Homotryblium floripes	Gen. et sp. indet	Filisphaera filifera	Evittosphaerula? sp. 2 	Distatodinium paradoxum	Dinocyst II	Dinocyst 7	Dinocyst 6	Dapsilidinium pseudocolligerum	Dapsilidinium pastielsii	Cordosphaeridium sp. I	Cleistosphaeridium sp. 1	Cannosphaeropsis utinensis	Cannosphaeropsis sp. A	Bitectatodinium tepikiense	Batiacasphaera sphaerica	Batiacasphaera sp. 2	Batiacasphaera sp. 1	Batiacasphaera hirsuta	Ascostomocystis granosa	Areosphaeridium actinocoronatum 	Apteodinium tectatum	Amiculosphaera umbracula	Amiculosphaera cf. umbracula	Achomosphaera ramulifera	Achomosphaera andalousiensis	Tectatodinium sp. III	Tectatodinium sp. II	Tectatodinium sp. I	Tectatodinium simplex	Tectatodinium pellitum	Spiniferites sp. "TS"	Spiniferites rubinus	Spiniferites elongatus	Selenopemphix quanta	Selenopemphix nephroides	Reticulatosphaera actinocoronata	Quinquecuspis spp.	Polysphaeridium zoharyi	Platycystidia sp. 1	Operculodinium wallii	Operculodinium sp.	Operculodinium echigoense	Nematosphaeropsis oblonga	Invertocysta spp.	Impagidinium spp.	Impagidinium sphaericum	Hystrichosphaeropsis pontiana	Hystrichokolpoma sp. 1	Hystrichokolpoma sp.	Dinocyst sp. 1	Cymatiosphaera sp. 1	Corrudinium harlandii	Brigantedinium sp. group A	Achomosphaera sp. A	?Pyxidiella sp. 1	Comment
  SR	Early Pliocene   	                 	PM3 (Mudie1989)   	              	104	 642	C	 11	H	 4	  89.00	     78.3900	Mudie    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                          	                   	                   	                      	                          	                    	C                	                                  	                    	                           	                          	                     	                 	                        	                                  	                       	                            	                    	                    	                  	                       	                              	R                         	R                     	                             	R                          	-                           	R                            	-                             	                     	                   	R                           	                          	                              	                     	                      	-                      	                    	                 	                 	                 	                    	                      	-                    	                      	                        	                      	                                     	                            	                               	                          	                   	                     	                 	-                   	                       	                       	           	          	          	                              	                        	                      	                        	                          	                      	-                         	                        	                    	                    	                      	                       	                                	                    	-                       	                            	-                       	-                           	-                    	R                   	-                  	-                    	-                     	R                    	R                   	-                     	-                   	-                       	-                               	R                 	-                      	-                  	R                    	-                 	-                        	-                        	-                	R                	-                      	-                            	-                     	R                   	R             	R                   	R                    	C                         	-                  	-                	from ODP 104 SR Chapter 31 Figure 6 p 594

  SR	Early Pliocene   	                 	PM3 (Mudie1989)   	              	104	 642	C	 11	H	 4	 108.00	     78.5800	Mudie    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                          	                   	                   	                      	                          	                    	-                	                                  	                    	                           	                          	                     	                 	                        	                                  	                       	                            	                    	                    	                  	                       	                              	-                         	R                     	                             	C                          	-                           	R                            	-                             	                     	                   	-                           	                          	                              	                     	                      	R                      	                    	                 	                 	                 	                    	                      	R                    	                      	                        	                      	                                     	                            	                               	                          	                   	                     	                 	-                   	                       	                       	           	          	          	                              	                        	                      	                        	                          	                      	-                         	                        	                    	                    	                      	                       	                                	                    	R                       	                            	-                       	R                           	-                    	-                   	-                  	-                    	-                     	-                    	-                   	-                     	-                   	R                       	R                               	-                 	-                      	-                  	R                    	R                 	-                        	-                        	R                	-                	-                      	-                            	R                     	-                   	-             	-                   	R                    	C                         	-                  	-                	Black spores =  C; from ODP 104 SR Chapter 31 Figure 6 p 594

  SR	Early Pliocene   	                 	PM3 (Mudie1989)   	              	104	 642	C	 11	H	 4	 138.00	     78.8800	Mudie    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                          	                   	                   	                      	                          	                    	C                	                                  	                    	                           	                          	                     	                 	                        	                                  	                       	                            	                    	                    	                  	                       	                              	R                         	C                     	                             	R                          	-                           	-                            	-                             	                     	                   	R                           	                          	                              	                     	                      	R                      	                    	                 	                 	                 	                    	                      	-                    	                      	                        	                      	                                     	                            	                               	                          	                   	                     	                 	-                   	                       	                       	           	          	          	                              	                        	                      	                        	                          	                      	-                         	                        	                    	                    	                      	                       	                                	                    	R                       	                            	R                       	-                           	-                    	-                   	-                  	R                    	-                     	R                    	-                   	-                     	-                   	-                       	-                               	R                 	-                      	-                  	-                    	-                 	-                        	-                        	-                	-                	-                      	-                            	R                     	-                   	-             	R                   	-                    	C                         	-                  	-                	Black spores =  R; from ODP 104 SR Chapter 31 Figure 6 p 594

  SR	Early Pliocene   	                 	PM3 (Mudie1989)   	              	104	 642	C	 11	H	 5	  42.00	     79.4200	Mudie    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                          	                   	                   	                      	                          	                    	C                	                                  	                    	                           	                          	                     	                 	                        	                                  	                       	                            	                    	                    	                  	                       	                              	-                         	C                     	                             	C                          	-                           	R                            	-                             	                     	                   	R                           	                          	                              	                     	                      	R                      	                    	                 	                 	                 	                    	                      	-                    	                      	                        	                      	                                     	                            	                               	                          	                   	                     	                 	-                   	                       	                       	           	          	          	                              	                        	                      	                        	                          	                      	-                         	                        	                    	                    	                      	                       	                                	                    	R                       	                            	-                       	-                           	-                    	R                   	R                  	-                    	-                     	-                    	-                   	-                     	-                   	-                       	R                               	-                 	-                      	-                  	-                    	-                 	-                        	-                        	-                	-                	-                      	-                            	R                     	-                   	-             	R                   	C                    	C                         	-                  	-                	from ODP 104 SR Chapter 31 Figure 6 p 594

  SR	Late Miocene     	                 	PM3 (Mudie1989)   	              	104	 642	C	 11	H	 5	 108.00	     80.0800	Mudie    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                          	                   	                   	                      	                          	                    	-                	                                  	                    	                           	                          	                     	                 	                        	                                  	                       	                            	                    	                    	                  	                       	                              	R                         	C                     	                             	R                          	-                           	R                            	-                             	                     	                   	R                           	                          	                              	                     	                      	R                      	                    	                 	                 	                 	                    	                      	-                    	                      	                        	                      	                                     	                            	                               	                          	                   	                     	                 	-                   	                       	                       	           	          	          	                              	                        	                      	                        	                          	                      	-                         	                        	                    	                    	                      	                       	                                	                    	-                       	                            	-                       	-                           	-                    	R                   	R                  	R                    	-                     	-                    	-                   	-                     	-                   	-                       	-                               	-                 	-                      	-                  	R                    	R                 	-                        	-                        	-                	-                	-                      	-                            	R                     	-                   	-             	R                   	-                    	C                         	-                  	-                	from ODP 104 SR Chapter 31 Figure 6 p 594

  SR	Late Miocene     	                 	PM3 (Mudie1989)   	              	104	 642	C	 11	H	 5	 124.00	     80.2400	Mudie    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                          	                   	                   	                      	                          	                    	C                	                                  	                    	                           	                          	                     	                 	                        	                                  	                       	                            	                    	                    	                  	                       	                              	-                         	-                     	                             	-                          	-                           	-                            	R                             	                     	                   	-                           	                          	                              	                     	                      	-                      	                    	                 	                 	                 	                    	                      	-                    	                      	                        	                      	                                     	                            	                               	                          	                   	                     	                 	-                   	                       	                       	           	          	          	                              	                        	                      	                        	                          	                      	R                         	                        	                    	                    	                      	                       	                                	                    	-                       	                            	-                       	-                           	-                    	R                   	R                  	R                    	-                     	-                    	R                   	-                     	-                   	R                       	-                               	-                 	-                      	R                  	-                    	-                 	R                        	-                        	-                	R                	-                      	-                            	-                     	-                   	-             	-                   	-                    	R                         	-                  	-                	from ODP 104 SR Chapter 31 Figure 6 p 594

  SR	Late Miocene     	                 	PM3 (Mudie1989)   	              	104	 642	C	 11	H	 5	 137.00	     80.3700	Mudie    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                          	                   	                   	                      	                          	                    	C                	                                  	                    	                           	                          	                     	                 	                        	                                  	                       	                            	                    	                    	                  	                       	                              	-                         	C                     	                             	R                          	R                           	-                            	-                             	                     	                   	-                           	                          	                              	                     	                      	-                      	                    	                 	                 	                 	                    	                      	R                    	                      	                        	                      	                                     	                            	                               	                          	                   	                     	                 	-                   	                       	                       	           	          	          	                              	                        	                      	                        	                          	                      	R                         	                        	                    	                    	                      	                       	                                	                    	-                       	                            	-                       	R                           	-                    	-                   	-                  	-                    	-                     	-                    	-                   	-                     	-                   	-                       	-                               	-                 	-                      	R                  	-                    	-                 	-                        	-                        	-                	R                	R                      	-                            	-                     	-                   	-             	-                   	-                    	-                         	-                  	R                	from ODP 104 SR Chapter 31 Figure 6 p 594

  SR	Late Miocene     	                 	PM3 (Mudie1989)   	              	104	 642	C	 11	H	 6	  19.00	     80.6900	Mudie    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                          	                   	                   	                      	                          	                    	R                	                                  	                    	                           	                          	                     	                 	                        	                                  	                       	                            	                    	                    	                  	                       	                              	R                         	R                     	                             	R                          	R                           	-                            	R                             	                     	                   	R                           	                          	                              	                     	                      	R                      	                    	                 	                 	                 	                    	                      	-                    	                      	                        	                      	                                     	                            	                               	                          	                   	                     	                 	-                   	                       	                       	           	          	          	                              	                        	                      	                        	                          	                      	-                         	                        	                    	                    	                      	                       	                                	                    	-                       	                            	-                       	-                           	-                    	-                   	-                  	C                    	-                     	-                    	-                   	-                     	-                   	R                       	-                               	-                 	-                      	R                  	-                    	R                 	R                        	-                        	-                	-                	-                      	-                            	R                     	-                   	-             	R                   	R                    	R                         	-                  	R                	from ODP 104 SR Chapter 31 Figure 6 p 594

  SR	Late Miocene     	                 	PM3 (Mudie1989)   	              	104	 642	C	 11	H	 6	  38.00	     80.8800	Mudie    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                          	                   	                   	                      	                          	                    	C                	                                  	                    	                           	                          	                     	                 	                        	                                  	                       	                            	                    	                    	                  	                       	                              	-                         	R                     	                             	R                          	R                           	-                            	-                             	                     	                   	-                           	                          	                              	                     	                      	-                      	                    	                 	                 	                 	                    	                      	-                    	                      	                        	                      	                                     	                            	                               	                          	                   	                     	                 	-                   	                       	                       	           	          	          	                              	                        	                      	                        	                          	                      	-                         	                        	                    	                    	                      	                       	                                	                    	-                       	                            	-                       	R                           	-                    	-                   	-                  	R                    	-                     	-                    	-                   	-                     	-                   	-                       	R                               	R                 	-                      	-                  	-                    	R                 	-                        	-                        	-                	R                	-                      	-                            	R                     	-                   	-             	-                   	R                    	C                         	-                  	-                	Black spores =  A; from ODP 104 SR Chapter 31 Figure 6 p 594

  SR	Late Miocene     	                 	PM3 (Mudie1989)   	              	104	 642	C	 11	H	 6	 108.00	     81.5800	Mudie    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                          	                   	                   	                      	                          	                    	C                	                                  	                    	                           	                          	                     	                 	                        	                                  	                       	                            	                    	                    	                  	                       	                              	-                         	C                     	                             	C                          	-                           	-                            	-                             	                     	                   	-                           	                          	                              	                     	                      	R                      	                    	                 	                 	                 	                    	                      	-                    	                      	                        	                      	                                     	                            	                               	                          	                   	                     	                 	-                   	                       	                       	           	          	          	                              	                        	                      	                        	                          	                      	-                         	                        	                    	                    	                      	                       	                                	                    	R                       	                            	-                       	-                           	-                    	-                   	-                  	-                    	-                     	-                    	-                   	-                     	-                   	R                       	R                               	-                 	-                      	-                  	-                    	-                 	-                        	-                        	-                	-                	-                      	-                            	R                     	-                   	-             	R                   	-                    	-                         	-                  	-                	from ODP 104 SR Chapter 31 Figure 6 p 594

  SR	Late Miocene     	                 	PM3 (Mudie1989)   	              	104	 642	C	 11	H	 6	 138.00	     81.8800	Mudie    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                          	                   	                   	                      	                          	                    	R                	                                  	                    	                           	                          	                     	                 	                        	                                  	                       	                            	                    	                    	                  	                       	                              	-                         	A                     	                             	-                          	R                           	R                            	-                             	                     	                   	R                           	                          	                              	                     	                      	R                      	                    	                 	                 	                 	                    	                      	-                    	                      	                        	                      	                                     	                            	                               	                          	                   	                     	                 	-                   	                       	                       	           	          	          	                              	                        	                      	                        	                          	                      	-                         	                        	                    	                    	                      	                       	                                	                    	-                       	                            	R                       	-                           	-                    	R                   	-                  	-                    	-                     	-                    	-                   	R                     	-                   	-                       	-                               	-                 	-                      	-                  	R                    	R                 	-                        	-                        	R                	R                	-                      	-                            	R                     	-                   	-             	-                   	-                    	R                         	R                  	R                	Black spores =  R; from ODP 104 SR Chapter 31 Figure 6 p 594

  SR	Late Miocene     	                 	PM3 (Mudie1989)   	              	104	 642	C	 11	H	 7	  42.00	     82.4200	Mudie    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                          	                   	                   	                      	                          	                    	R                	                                  	                    	                           	                          	                     	                 	                        	                                  	                       	                            	                    	                    	                  	                       	                              	-                         	C                     	                             	-                          	-                           	-                            	R                             	                     	                   	R                           	                          	                              	                     	                      	C                      	                    	                 	                 	                 	                    	                      	-                    	                      	                        	                      	                                     	                            	                               	                          	                   	                     	                 	-                   	                       	                       	           	          	          	                              	                        	                      	                        	                          	                      	-                         	                        	                    	                    	                      	                       	                                	                    	-                       	                            	-                       	-                           	-                    	R                   	C                  	-                    	-                     	-                    	R                   	-                     	-                   	-                       	-                               	-                 	-                      	-                  	-                    	-                 	-                        	-                        	-                	-                	-                      	-                            	R                     	-                   	R             	C                   	-                    	C                         	-                  	-                	Black spores =  C; from ODP 104 SR Chapter 31 Figure 6 p 594

  SR	                 	                 	A. andalousiensis 	              	104	 642	C	 12	H	 1	  78.00	     83.2800	Manum    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	-                         	-                  	-                  	-                     	-                         	-                   	R                	-                                 	A                   	-                          	-                         	-                    	-                	-                       	-                                 	-                      	-                           	-                   	-                   	-                 	-                      	C                             	C                         	C                     	-                            	-                          	A                           	R                            	R                             	-                    	-                  	R                           	-                         	-                             	-                    	C                     	-                      	-                   	-                	-                	-                	R                   	-                     	R                    	-                     	-                       	-                     	-                                    	R                           	-                              	-                         	-                  	-                    	-                	-                   	-                      	?                      	-          	-         	-         	-                             	-                       	-                     	R                       	-                         	-                     	R                         	R                       	-                   	-                   	-                     	-                      	R                               	-                   	-                       	-                           	R                       	R                           	                     	                    	                   	                     	                      	                     	                    	                      	                    	                        	                                	                  	                       	                   	                     	                  	                         	                         	                 	                 	                       	                             	                      	                    	              	                    	                     	                          	                   	                 	from Odp 104 SR  Chapter 32 Figure 6  p 635

  SR	                 	                 	A. andalousiensis 	              	104	 642	C	 14	H	 1	  79.00	    102.2900	Manum    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	R                         	-                  	-                  	-                     	R                         	R                   	R                	-                                 	C                   	-                          	-                         	-                    	-                	-                       	-                                 	-                      	-                           	-                   	-                   	-                 	-                      	C                             	-                         	C                     	-                            	R                          	R                           	R                            	-                             	-                    	-                  	-                           	-                         	-                             	-                    	R                     	R                      	-                   	-                	-                	-                	-                   	-                     	-                    	R                     	-                       	-                     	-                                    	-                           	-                              	R                         	-                  	-                    	-                	R                   	-                      	-                      	-          	-         	-         	-                             	-                       	-                     	-                       	-                         	-                     	A                         	-                       	-                   	-                   	R                     	-                      	R                               	-                   	-                       	R                           	C                       	R                           	                     	                    	                   	                     	                      	                     	                    	                      	                    	                        	                                	                  	                       	                   	                     	                  	                         	                         	                 	                 	                       	                             	                      	                    	              	                    	                     	                          	                   	                 	from Odp 104 SR  Chapter 32 Figure 6  p 635

  SR	                 	                 	A. andalousiensis 	              	104	 642	C	 15	H	 1	  79.00	    111.7900	Manum    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	-                         	-                  	R                  	R                     	-                         	-                   	C                	-                                 	A                   	-                          	-                         	-                    	-                	-                       	-                                 	-                      	-                           	-                   	-                   	R                 	-                      	-                             	-                         	A                     	-                            	-                          	-                           	C                            	R                             	-                    	-                  	-                           	-                         	-                             	-                    	R                     	R                      	-                   	R                	-                	-                	R                   	-                     	-                    	-                     	-                       	-                     	-                                    	R                           	-                              	-                         	R                  	-                    	-                	R                   	A                      	-                      	-          	-         	-         	-                             	-                       	-                     	-                       	-                         	-                     	R                         	-                       	-                   	-                   	-                     	-                      	R                               	-                   	R                       	-                           	R                       	R                           	                     	                    	                   	                     	                      	                     	                    	                      	                    	                        	                                	                  	                       	                   	                     	                  	                         	                         	                 	                 	                       	                             	                      	                    	              	                    	                     	                          	                   	                 	from Odp 104 SR  Chapter 32 Figure 6  p 635

  SR	                 	                 	I. aquaeductum    	              	104	 642	C	 17	H	 1	  69.00	    130.6900	Manum    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	R                         	R                  	R                  	R                     	R                         	-                   	R                	-                                 	A                   	R                          	R                         	R                    	-                	-                       	-                                 	-                      	-                           	R                   	-                   	R                 	-                      	-                             	-                         	R                     	C                            	-                          	-                           	R                            	R                             	R                    	R                  	R                           	R                         	A                             	-                    	-                     	-                      	-                   	-                	R                	-                	-                   	R                     	-                    	-                     	-                       	R                     	-                                    	R                           	-                              	C                         	-                  	-                    	R                	-                   	-                      	-                      	R          	-         	-         	-                             	R                       	-                     	-                       	-                         	-                     	-                         	R                       	-                   	-                   	-                     	-                      	A                               	-                   	-                       	-                           	-                       	-                           	                     	                    	                   	                     	                      	                     	                    	                      	                    	                        	                                	                  	                       	                   	                     	                  	                         	                         	                 	                 	                       	                             	                      	                    	              	                    	                     	                          	                   	                 	from Odp 104 SR  Chapter 32 Figure 6  p 635

  SR	                 	                 	I. aquaeductum    	              	104	 642	C	 18	H	 1	  81.00	    140.3100	Manum    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	-                         	R                  	-                  	-                     	R                         	-                   	R                	-                                 	A                   	-                          	-                         	R                    	-                	-                       	-                                 	-                      	R                           	-                   	-                   	R                 	-                      	-                             	-                         	-                     	-                            	R                          	R                           	C                            	-                             	-                    	-                  	R                           	R                         	R                             	-                    	-                     	-                      	-                   	R                	-                	-                	-                   	-                     	R                    	-                     	-                       	-                     	-                                    	-                           	-                              	R                         	-                  	-                    	R                	R                   	-                      	-                      	-          	-         	-         	-                             	R                       	-                     	-                       	R                         	-                     	-                         	-                       	-                   	-                   	R                     	-                      	R                               	-                   	-                       	-                           	-                       	-                           	                     	                    	                   	                     	                      	                     	                    	                      	                    	                        	                                	                  	                       	                   	                     	                  	                         	                         	                 	                 	                       	                             	                      	                    	              	                    	                     	                          	                   	                 	from Odp 104 SR  Chapter 32 Figure 6  p 635

  SR	                 	                 	I. aquaeductum    	              	104	 642	C	 19	H	 3	  61.00	    152.6100	Manum    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	-                         	-                  	-                  	-                     	R                         	-                   	A                	R                                 	A                   	-                          	-                         	-                    	R                	-                       	-                                 	-                      	-                           	-                   	-                   	-                 	R                      	-                             	-                         	-                     	-                            	R                          	-                           	C                            	-                             	C                    	-                  	R                           	-                         	-                             	-                    	-                     	-                      	-                   	-                	-                	-                	-                   	R                     	-                    	-                     	-                       	-                     	R                                    	-                           	-                              	R                         	-                  	R                    	R                	-                   	-                      	-                      	R          	-         	R         	-                             	R                       	R                     	-                       	-                         	-                     	-                         	R                       	-                   	-                   	C                     	-                      	R                               	-                   	-                       	-                           	-                       	-                           	                     	                    	                   	                     	                      	                     	                    	                      	                    	                        	                                	                  	                       	                   	                     	                  	                         	                         	                 	                 	                       	                             	                      	                    	              	                    	                     	                          	                   	                 	from Odp 104 SR  Chapter 32 Figure 6  p 635

  SR	                 	                 	I. aquaeductum    	              	104	 642	C	 20	H	 7	  67.00	    167.7500	Manum    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	R                         	-                  	R                  	-                     	R                         	-                   	R                	-                                 	C                   	R                          	-                         	-                    	-                	-                       	R                                 	R                      	-                           	-                   	-                   	-                 	-                      	-                             	-                         	-                     	-                            	-                          	-                           	-                            	R                             	-                    	-                  	R                           	R                         	-                             	R                    	-                     	R                      	R                   	-                	-                	R                	-                   	-                     	R                    	-                     	R                       	-                     	-                                    	R                           	-                              	R                         	-                  	-                    	R                	-                   	-                      	-                      	-          	-         	-         	R                             	R                       	-                     	R                       	-                         	-                     	-                         	A                       	-                   	-                   	-                     	R                      	R                               	-                   	-                       	-                           	-                       	-                           	                     	                    	                   	                     	                      	                     	                    	                      	                    	                        	                                	                  	                       	                   	                     	                  	                         	                         	                 	                 	                       	                             	                      	                    	              	                    	                     	                          	                   	                 	from Odp 104 SR  Chapter 32 Figure 6  p 635

  SR	                 	                 	L. truncatum      	              	104	 642	C	 21	H	 6	  81.00	    176.3100	Manum    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	R                         	-                  	-                  	-                     	R                         	R                   	C                	-                                 	C                   	R                          	-                         	-                    	R                	-                       	-                                 	A                      	-                           	-                   	-                   	R                 	R                      	-                             	-                         	-                     	-                            	C                          	-                           	-                            	-                             	-                    	-                  	R                           	C                         	-                             	R                    	-                     	R                      	-                   	R                	-                	-                	-                   	-                     	-                    	-                     	-                       	-                     	-                                    	R                           	-                              	R                         	-                  	-                    	-                	-                   	-                      	-                      	C          	-         	-         	-                             	R                       	-                     	-                       	-                         	-                     	-                         	A                       	-                   	-                   	R                     	R                      	R                               	-                   	-                       	-                           	-                       	-                           	                     	                    	                   	                     	                      	                     	                    	                      	                    	                        	                                	                  	                       	                   	                     	                  	                         	                         	                 	                 	                       	                             	                      	                    	              	                    	                     	                          	                   	                 	from Odp 104 SR  Chapter 32 Figure 6  p 635

  SR	                 	                 	L. truncatum      	              	104	 642	C	 22	H	 5	  67.00	    184.1700	Manum    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	-                         	-                  	-                  	-                     	R                         	R                   	C                	-                                 	A                   	-                          	-                         	-                    	-                	-                       	R                                 	C                      	R                           	-                   	-                   	-                 	R                      	-                             	-                         	R                     	-                            	R                          	-                           	R                            	-                             	-                    	-                  	R                           	-                         	-                             	-                    	-                     	R                      	-                   	-                	-                	-                	-                   	R                     	-                    	R                     	-                       	-                     	-                                    	R                           	-                              	R                         	-                  	-                    	C                	-                   	-                      	-                      	R          	-         	R         	-                             	R                       	-                     	R                       	-                         	-                     	-                         	A                       	-                   	-                   	R                     	-                      	C                               	R                   	-                       	-                           	-                       	-                           	                     	                    	                   	                     	                      	                     	                    	                      	                    	                        	                                	                  	                       	                   	                     	                  	                         	                         	                 	                 	                       	                             	                      	                    	              	                    	                     	                          	                   	                 	from Odp 104 SR  Chapter 32 Figure 6  p 635

  SR	                 	                 	L. truncatum      	              	104	 642	C	 23	H	 2	  81.00	    186.6100	Manum    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	C                         	-                  	R                  	-                     	R                         	R                   	R                	-                                 	C                   	R                          	-                         	-                    	-                	-                       	-                                 	R                      	R                           	-                   	R                   	-                 	-                      	-                             	-                         	-                     	-                            	R                          	-                           	-                            	R                             	-                    	R                  	R                           	R                         	-                             	R                    	-                     	R                      	R                   	-                	-                	R                	-                   	R                     	R                    	R                     	-                       	-                     	-                                    	R                           	R                              	R                         	-                  	-                    	-                	-                   	-                      	-                      	R          	R         	R         	-                             	R                       	-                     	R                       	-                         	R                     	-                         	A                       	-                   	-                   	R                     	-                      	C                               	R                   	-                       	-                           	-                       	-                           	                     	                    	                   	                     	                      	                     	                    	                      	                    	                        	                                	                  	                       	                   	                     	                  	                         	                         	                 	                 	                       	                             	                      	                    	              	                    	                     	                          	                   	                 	from Odp 104 SR  Chapter 32 Figure 6  p 635

  SR	                 	                 	                  	              	104	 642	C	 24	H	 3	  81.00	    196.2100	Manum    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	-                         	-                  	-                  	-                     	C                         	-                   	R                	-                                 	C                   	-                          	-                         	-                    	R                	R                       	-                                 	R                      	A                           	-                   	R                   	-                 	R                      	-                             	-                         	R                     	-                            	R                          	-                           	-                            	R                             	-                    	-                  	-                           	-                         	-                             	-                    	-                     	R                      	-                   	-                	-                	-                	-                   	R                     	-                    	-                     	-                       	-                     	-                                    	-                           	-                              	-                         	-                  	-                    	-                	-                   	-                      	R                      	A          	-         	R         	-                             	-                       	-                     	R                       	-                         	-                     	-                         	A                       	R                   	R                   	-                     	R                      	R                               	-                   	-                       	-                           	-                       	-                           	                     	                    	                   	                     	                      	                     	                    	                      	                    	                        	                                	                  	                       	                   	                     	                  	                         	                         	                 	                 	                       	                             	                      	                    	              	                    	                     	                          	                   	                 	from Odp 104 SR  Chapter 32 Figure 6  p 635

