Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Thalassiothrix longissima	Thalassiosira zabellinae	Thalassiosira trifulta	Thalassiosira oestrupii	Thalassiosira jacksonii	Thalassiosira hyalina	Thalassionema nitzschioides	Stephanopyxis turris	Stephanopyxis spp.	Rhizosolenia styliformis	Rhizosolenia hebetata	Odontella aurita	Nitzschia sp. 1	Neodenticula kamtschatica	Melosira albicans	Grammatophora spp.	Delphineis ischaboensis	Coscinodiscus marginatus	Cocconeis scutellum	Cocconeis costata	Chaetoceros spp.	Actinoptychus senarius	Thalassiosira nidulus	Thalassiosira marujamica	Thalassiosira leptopus	Thalassiosira gravida	Thalassiosira antiqua	Rhizosolenia barboi	Paralia sulcata	Navicula sp. 1	Melosira polaris	Denticulopsis dimorpha	Delphineis surirella	Cymatosira debyi	Coscinodiscus obscurus	Calloneis bacillum	Thalassiosira manifesta	Rouxia californica	Rossiella tatsunokuchiensis	Pseudopodosira elegans	Denticulopsis hustedtii	Cocconeis pseudomarginatus	Cocconeis californica	Bacillaria paradoxa	Rhizosolenia setigera	Rhizosolenia alata	Rhaphoneis amphiceros	Nitzschia cylindrica	Coscinodiscus stellaris	Cocconeis placentula var. euglypta	Thalassiosira nordenskioeldii	Navicula directa	Lithodesmium undulatum	Coscinodiscus oculus-iridis	Thalassiosira pacifica	Thalassiosira eccentrica	Thalassionema schraderi	Hemidiscus cuneiformis	Asteromphalus darwinii	Thalassiosira temperei	Rhabdonema japonicum	Gomphonema lanceolata	Thalassiosira lineata	Pinnularia borealis	Delphineis angustata	Asteromphalus flabellatus	Actinocyclus ochotensis	Thalassiosira glacilis	Nitzschia rolandii	Actinocyclus curvatulus	Nitzschia fossilis	Cocconeis disculus	Actinocyclus ingens	Coscinodiscus elegans	Aulacoseira granulata	Thalassionema nitzschioides var. nitzschioides	Opephora martyi	Coscinodiscus marginatus (girdles)	Coscinodiscus radiatus	Neodenticula koizumii	Bacterosira fragilis	Asteromphalus robustus	Rhizosolenia curvirostris	Chaetoceros spores	Azpeitia endoi	Thalassiosira sp. 1	Nitzschia reinholdii	Thalassiothrix frauenfeldii	Synedra jouseana	Nitzschia extincta	Denticulopsis hyalina	Actinocyclus sp.	Goniothecium tenue	Actinocyclus oculatus	Actinocyclus octonarius	Thalassiosira yabei	Thalassiosira convexa	Diploneis bombus	Diploneis smithii	Trachyneis aspera	Plagiogramma staurophorum	Nitzschia granulata	Navicula pygmaea	Mediaria splendida	Cocconeis antiqua	Stephanodiscus niagarae	Porosira glacialis	Diploneis suborbicularis	Coscinodiscus symbolophorus	Cocconeis decipiens	Thalassiosira plicata	Neodenticula seminae	Denticulopsis katayamae	Cyclotella striata	Coscinodiscus subtilis	Cyclotella kutzingiana	Azpeitia nodulifer	Thalassiosira lacustris	Tetracyclus lacustris	Epithemia argus	Rhizosolenia bergonii	Thalassionema hirosakiensis	Thalassionema bacillaris	Pinnularia alphina	Achnanthes brevipes	Thalassiosira sp.	Synedra ulna	Gomphonema angustatum	Fragilaria construens	Diploneis coffeiformis	Pseudoeunotia doliolus	Nitzschia marina	Nitzschia grunowii	Amphora ovalis	Stephanodiscus astraea	Cyclotella chaetoceras	Diploneis interrupta	Rhizosolenia  semispina	Rhizosolenia imbricata	Nitzschia sicula	Diploneis oculata	Azpeitia tabularis	Actinoptychus splendens	Comment

  SR	Late Pliocene    	                 	N. koizumii       	              	127	 795	A	 12	H	 2	  29.00	    106.0900	Koizumi  	Diatoms                                      	               	                  	2                        	r1                      	2                     	1                      	                       	                     	21                         	26                  	1                 	3                       	1                    	                	               	24                       	                 	5                 	                       	5                       	1                  	2                	75              	2                     	2                    	1                       	                      	3                    	                     	                   	21             	              	                	r3                    	                    	                	                      	                  	                       	r2                	                           	1                     	r4                     	1                         	                     	                   	4                    	                  	                     	                    	1                      	                                  	                             	                	                      	1                          	2                     	                        	                       	                      	                      	                      	                    	                     	1                    	                   	                    	                         	6                      	                      	                  	2                      	                  	                  	                   	                     	1                    	                                              	               	                                  	                      	13                   	                    	                      	                         	                  	              	                   	                    	1                          	                	                  	                     	                	                  	12                   	3                      	                   	                     	3               	                 	1                	                         	1                  	                	                  	                 	                       	1                 	1                       	                           	                   	                     	5                   	r4                     	1                 	1                     	                      	                  	                       	                     	               	                     	                           	                        	                  	                   	                 	            	                     	                     	                      	                      	                	                  	              	                      	                      	                    	                       	                      	                	                 	                  	                       	from ODP Legs 127&128 Chapter 15 Table 4 p 276-281

  SR	                 	                 	N. koizumii       	              	127	 795	A	 12	H	 2	 120.00	    107.0000	White    	Diatoms                                      	R              	P                 	                         	                        	                      	                       	                       	                     	                           	                    	                  	                        	                     	                	               	                         	                 	                  	                       	R                       	                   	                 	                	                      	                     	                        	                      	                     	                     	                   	               	              	                	                      	                    	                	                      	                  	                       	                  	                           	                      	                       	                          	                     	                   	                     	                  	                     	                    	                       	                                  	                             	                	                      	                           	                      	                        	                       	                      	                      	                      	                    	                     	                     	                   	                    	                         	                       	                      	                  	                       	                  	                  	                   	                     	                     	                                              	               	                                  	                      	                     	                    	                      	                         	                  	              	                   	                    	                           	                	                  	                     	                	                  	                     	                       	                   	                     	                	                 	                 	                         	                   	                	                  	                 	                       	                  	                        	                           	                   	                     	                    	                       	                  	                      	                      	                  	                       	                     	               	                     	                           	                        	                  	                   	                 	            	                     	                     	                      	                      	                	                  	              	                      	                      	                    	                       	                      	                	                 	                  	                       	from ODP Legs 127&128 Chapter 20 Table 2 p 346-347

  SR	                 	                 	N. koizumii       	              	127	 795	A	 12	H	 5	 120.00	    111.5000	White    	Diatoms                                      	R              	P                 	                         	                        	                      	                       	                       	                     	                           	                    	                  	                        	                     	                	               	                         	                 	                  	                       	R                       	                   	                 	                	                      	                     	                        	                      	                     	                     	                   	               	              	                	                      	                    	                	                      	                  	                       	                  	                           	                      	                       	                          	                     	                   	                     	                  	                     	                    	                       	                                  	                             	                	                      	                           	                      	                        	                       	                      	                      	                      	                    	                     	                     	                   	                    	                         	                       	                      	                  	                       	                  	                  	                   	                     	                     	                                              	               	                                  	                      	                     	                    	                      	                         	                  	              	                   	                    	                           	                	                  	                     	                	                  	                     	                       	                   	                     	                	                 	                 	                         	                   	                	                  	                 	                       	                  	                        	                           	                   	                     	                    	                       	                  	                      	                      	                  	                       	                     	               	                     	                           	                        	                  	                   	                 	            	                     	                     	                      	                      	                	                  	              	                      	                      	                    	                       	                      	                	                 	                  	                       	from ODP Legs 127&128 Chapter 20 Table 2 p 346-347

  SR	Late Pliocene    	                 	N. koizumii       	              	127	 795	A	 12	H	 6	  29.00	    112.0900	Koizumi  	Diatoms                                      	               	                  	                         	r1                      	2                     	4                      	r2                     	                     	15                         	40                  	7                 	                        	                     	                	               	r6                       	1                	2                 	                       	1                       	1                  	7                	118             	3                     	4                    	                        	2                     	3                    	1                    	3                  	30             	              	                	                      	                    	                	                      	                  	                       	                  	                           	                      	r2                     	                          	1                    	                   	                     	                  	                     	                    	                       	                                  	                             	                	                      	                           	                      	2                       	                       	                      	                      	                      	                    	                     	                     	                   	                    	                         	12                     	                      	                  	3                      	                  	                  	                   	                     	                     	                                              	               	                                  	                      	24                   	                    	1                     	                         	                  	              	                   	1                   	                           	                	                  	                     	                	                  	5                    	3                      	                   	                     	3               	                 	                 	                         	                   	                	                  	                 	                       	1                 	                        	                           	                   	1                    	6                   	                       	                  	                      	                      	                  	                       	                     	               	                     	                           	                        	                  	                   	                 	            	                     	                     	                      	                      	                	                  	              	                      	                      	                    	                       	                      	                	                 	                  	                       	from ODP Legs 127&128 Chapter 15 Table 4 p 276-281

  SR	                 	                 	N. koizumii       	              	127	 795	A	 12	H	 6	 120.00	    113.0000	White    	Diatoms                                      	F              	M                 	                         	                        	                      	                       	                       	                     	                           	                    	                  	                        	                     	                	               	                         	                 	                  	                       	F                       	                   	                 	                	                      	                     	                        	                      	                     	                     	R                  	               	              	                	                      	                    	                	                      	                  	                       	                  	                           	                      	                       	                          	                     	                   	                     	                  	                     	                    	                       	                                  	                             	                	                      	                           	                      	                        	                       	                      	                      	                      	                    	                     	                     	                   	                    	                         	                       	                      	                  	                       	                  	                  	                   	                     	                     	                                              	               	R                                 	R                     	                     	                    	                      	                         	                  	              	                   	                    	                           	                	                  	                     	                	                  	                     	                       	                   	                     	                	                 	                 	                         	                   	                	                  	                 	                       	                  	                        	                           	                   	                     	                    	                       	                  	                      	                      	                  	                       	                     	               	                     	                           	                        	                  	                   	                 	            	                     	                     	                      	                      	                	                  	              	                      	                      	                    	                       	                      	                	                 	                  	                       	from ODP Legs 127&128 Chapter 20 Table 2 p 346-347

  SR	                 	                 	N. koizumii       	              	127	 795	A	 13	H	 1	 120.00	    115.0000	White    	Diatoms                                      	R              	P                 	                         	                        	                      	                       	                       	                     	                           	                    	                  	                        	                     	                	               	                         	                 	                  	                       	R                       	                   	                 	                	                      	                     	                        	                      	                     	                     	                   	               	              	                	                      	                    	                	                      	                  	                       	                  	                           	                      	                       	                          	                     	                   	                     	                  	                     	                    	                       	                                  	                             	                	                      	                           	                      	                        	                       	                      	                      	                      	                    	                     	                     	                   	                    	                         	                       	                      	                  	                       	                  	                  	                   	                     	                     	                                              	               	                                  	                      	                     	                    	                      	                         	                  	              	                   	                    	                           	                	                  	                     	                	                  	                     	                       	                   	                     	                	                 	                 	                         	                   	                	                  	                 	                       	                  	                        	                           	                   	                     	                    	                       	                  	                      	                      	                  	                       	                     	               	                     	                           	                        	                  	                   	                 	            	                     	                     	                      	                      	                	                  	              	                      	                      	                    	                       	                      	                	                 	                  	                       	from ODP Legs 127&128 Chapter 20 Table 2 p 346-347

  SR	                 	                 	N. koizumii       	              	127	 795	A	 13	H	 2	 120.00	    116.5000	White    	Diatoms                                      	F              	P                 	                         	                        	                      	                       	                       	                     	                           	                    	                  	                        	                     	                	               	                         	                 	                  	                       	F                       	                   	                 	                	                      	                     	                        	                      	                     	                     	                   	               	              	                	                      	                    	                	                      	                  	                       	                  	                           	                      	                       	                          	                     	                   	                     	                  	                     	                    	                       	                                  	                             	                	                      	                           	                      	                        	                       	                      	                      	                      	                    	                     	                     	                   	                    	                         	                       	                      	                  	                       	                  	                  	                   	                     	                     	                                              	               	R                                 	R                     	                     	                    	                      	                         	                  	              	                   	                    	                           	                	                  	                     	                	                  	                     	                       	                   	                     	                	                 	                 	                         	                   	                	                  	                 	                       	                  	                        	                           	                   	                     	                    	                       	                  	                      	                      	                  	                       	                     	               	                     	                           	                        	                  	                   	                 	            	                     	                     	                      	                      	                	                  	              	                      	                      	                    	                       	                      	                	                 	                  	                       	from ODP Legs 127&128 Chapter 20 Table 2 p 346-347

  SR	                 	                 	N. koizumii       	              	127	 795	A	 13	H	 3	 120.00	    118.0000	White    	Diatoms                                      	R              	P                 	                         	                        	                      	                       	                       	                     	                           	                    	                  	                        	                     	                	               	                         	                 	                  	                       	R                       	                   	                 	                	                      	                     	                        	                      	                     	                     	                   	               	              	                	                      	                    	                	                      	                  	                       	                  	                           	                      	                       	                          	                     	                   	                     	                  	                     	                    	                       	                                  	                             	                	                      	                           	                      	                        	                       	                      	                      	                      	                    	                     	                     	                   	                    	                         	                       	                      	                  	                       	                  	                  	                   	                     	                     	                                              	               	                                  	                      	                     	                    	                      	                         	                  	              	                   	                    	                           	                	                  	                     	                	                  	                     	                       	                   	                     	                	                 	                 	                         	                   	                	                  	                 	                       	                  	                        	                           	                   	                     	                    	                       	                  	                      	                      	                  	                       	                     	               	                     	                           	                        	                  	                   	                 	            	                     	                     	                      	                      	                	                  	              	                      	                      	                    	                       	                      	                	                 	                  	                       	from ODP Legs 127&128 Chapter 20 Table 2 p 346-347

  SR	Late Pliocene    	                 	N. koizumii       	              	127	 795	A	 13	H	 4	  29.00	    118.5900	Koizumi  	Diatoms                                      	               	                  	1                        	                        	3                     	4                      	                       	                     	23                         	44                  	2                 	5                       	                     	1               	               	r7                       	                 	1                 	                       	6                       	4                  	16               	143             	2                     	5                    	2                       	                      	9                    	4                    	6                  	3              	              	                	r1                    	2                   	                	                      	                  	                       	                  	                           	1                     	r5                     	                          	2                    	                   	                     	                  	                     	                    	                       	                                  	1                            	                	                      	                           	                      	1                       	                       	                      	                      	r1                    	                    	                     	                     	                   	1                   	                         	7                      	                      	                  	2                      	                  	                  	r2                 	                     	1                    	                                              	               	                                  	                      	13                   	                    	1                     	                         	                  	              	                   	1                   	                           	                	                  	r1                   	                	                  	                     	                       	                   	                     	                	1                	                 	1                        	                   	                	                  	                 	1                      	3                 	1                       	1                          	1                  	                     	                    	                       	                  	                      	                      	                  	                       	                     	               	                     	                           	                        	                  	                   	                 	            	                     	                     	                      	                      	                	                  	              	                      	                      	                    	                       	                      	                	                 	                  	                       	from ODP Legs 127&128 Chapter 15 Table 4 p 276-281

  SR	                 	                 	N. koizumii       	              	127	 795	A	 13	H	 4	 120.00	    119.5000	White    	Diatoms                                      	C              	M                 	                         	                        	                      	                       	                       	                     	                           	                    	                  	                        	                     	                	               	                         	                 	                  	                       	C                       	                   	                 	                	                      	                     	                        	                      	                     	                     	                   	               	              	                	                      	                    	                	                      	                  	                       	                  	                           	                      	                       	                          	                     	                   	                     	                  	                     	                    	                       	                                  	                             	                	                      	                           	                      	                        	                       	R                     	                      	                      	                    	                     	                     	                   	                    	                         	                       	                      	                  	                       	                  	                  	                   	                     	                     	                                              	               	F                                 	F                     	                     	                    	                      	                         	F                 	              	                   	                    	                           	                	                  	                     	                	                  	                     	                       	                   	                     	                	                 	                 	                         	                   	                	                  	                 	                       	                  	                        	                           	                   	                     	                    	                       	                  	                      	                      	                  	                       	                     	               	                     	                           	                        	                  	                   	                 	            	                     	                     	                      	                      	                	                  	              	                      	                      	                    	                       	                      	                	                 	                  	                       	from ODP Legs 127&128 Chapter 20 Table 2 p 346-347

  SR	                 	                 	N. koizumii       	              	127	 795	A	 13	H	 5	 120.00	    121.0000	White    	Diatoms                                      	C              	M                 	                         	                        	                      	                       	                       	                     	R                          	R                   	                  	                        	                     	                	               	                         	                 	                  	                       	C                       	                   	                 	                	                      	                     	                        	                      	                     	                     	R                  	               	              	                	                      	                    	                	                      	                  	                       	                  	                           	                      	                       	                          	                     	                   	                     	                  	                     	                    	                       	                                  	                             	                	                      	                           	                      	                        	                       	                      	                      	                      	                    	                     	                     	                   	                    	                         	                       	                      	                  	                       	                  	                  	                   	                     	                     	                                              	               	R                                 	F                     	                     	                    	                      	                         	F                 	              	                   	                    	                           	                	                  	                     	                	                  	                     	                       	                   	                     	                	                 	                 	                         	                   	                	                  	                 	                       	                  	                        	                           	                   	                     	                    	                       	                  	                      	                      	                  	                       	                     	               	                     	                           	                        	                  	                   	                 	            	                     	                     	                      	                      	                	                  	              	                      	                      	                    	                       	                      	                	                 	                  	                       	from ODP Legs 127&128 Chapter 20 Table 2 p 346-347

  SR	                 	                 	N. koizumii       	              	127	 795	A	 13	H	 6	 120.00	    122.5000	White    	Diatoms                                      	A              	G                 	R                        	                        	                      	F                      	                       	                     	C                          	                    	                  	                        	                     	                	               	                         	                 	                  	                       	F                       	                   	                 	                	                      	                     	                        	F                     	F                    	R                    	                   	               	              	                	                      	                    	                	                      	                  	                       	                  	                           	                      	                       	                          	                     	                   	                     	                  	                     	                    	                       	                                  	                             	                	                      	                           	                      	R                       	                       	R                     	                      	                      	                    	                     	                     	                   	                    	                         	                       	                      	                  	                       	                  	                  	                   	                     	                     	                                              	               	                                  	                      	R                    	                    	                      	                         	F                 	              	                   	                    	                           	                	                  	                     	R               	                  	                     	                       	                   	                     	                	                 	                 	                         	                   	                	                  	                 	                       	                  	                        	                           	                   	                     	                    	                       	                  	                      	                      	                  	                       	                     	               	                     	                           	                        	                  	                   	                 	            	                     	                     	                      	                      	                	                  	              	                      	                      	                    	                       	                      	                	                 	                  	                       	from ODP Legs 127&128 Chapter 20 Table 2 p 346-347

  SR	                 	                 	N. koizumii       	              	127	 795	A	 13	H	 7	  61.00	    123.4100	White    	Diatoms                                      	C              	M                 	                         	                        	                      	                       	                       	                     	R                          	R                   	                  	                        	                     	                	               	                         	                 	                  	                       	F                       	                   	                 	                	                      	                     	                        	                      	                     	                     	                   	               	              	                	                      	                    	                	                      	                  	                       	                  	                           	                      	                       	                          	                     	                   	                     	                  	                     	                    	                       	                                  	                             	                	                      	                           	                      	                        	                       	                      	                      	                      	                    	                     	                     	                   	                    	                         	                       	                      	                  	                       	                  	                  	                   	                     	                     	                                              	               	R                                 	                      	R                    	                    	                      	                         	                  	              	                   	                    	                           	                	                  	                     	                	                  	                     	                       	                   	                     	                	                 	                 	                         	                   	                	                  	                 	                       	                  	                        	                           	                   	                     	                    	                       	                  	                      	                      	                  	                       	                     	               	                     	                           	                        	                  	                   	                 	            	                     	                     	                      	                      	                	                  	              	                      	                      	                    	                       	                      	                	                 	                  	                       	from ODP Legs 127&128 Chapter 20 Table 2 p 346-347

  SR	Late Pliocene    	                 	N. koizumii       	              	127	 795	A	 14	H	 2	  79.00	    125.5900	Koizumi  	Diatoms                                      	               	                  	3                        	                        	2                     	4                      	                       	4                    	19                         	45                  	6                 	1                       	                     	                	               	r8                       	1                	2                 	                       	15                      	3                  	14               	98              	                      	2                    	                        	                      	5                    	1                    	7                  	4              	              	                	r1                    	2                   	                	                      	                  	1                      	r1                	1                          	1                     	r1                     	                          	                     	                   	2                    	                  	                     	                    	                       	                                  	                             	                	                      	                           	                      	1                       	                       	                      	                      	                      	                    	                     	1                    	                   	                    	                         	3                      	                      	                  	                       	                  	                  	                   	                     	4                    	                                              	1              	                                  	                      	24                   	1                   	                      	                         	                  	              	                   	                    	                           	                	                  	r1                   	                	                  	                     	2                      	                   	                     	                	                 	1                	1                        	1                  	1               	1                 	1                	                       	                  	                        	                           	                   	                     	                    	                       	                  	                      	                      	                  	                       	                     	               	                     	                           	                        	                  	                   	                 	            	                     	                     	                      	                      	                	                  	              	                      	                      	                    	                       	                      	                	                 	                  	                       	from ODP Legs 127&128 Chapter 15 Table 4 p 276-281
