Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Tripilidium clavipes,Tricolocapsa sp.,Theocyrtis diabloensis,Stylodictya targaeformis,Spongomelissa sp.,Siphocampe pachyderma,Siphocampe imbricata,Pseudodictyophimus galeatus,Prunopyle polyacantha,Prunopyle monikae,Prunopyle hayesi,Prunopyle frakesi,Periphaena decora,Perichlamydium praetextum,Lophocyrtis longiventer,Lithomelissa robusta,Lithomelissa ehrenbergi,Lithomelissa dupliphysa,Lithomelissa challengerae,Lithelius aff. Lithelius formanae,Eurystomoskevos petrushevskayaae,Eucyrtidium (?) mariae,Eucyrtidium antiquum,Dictyoprora physothorax,Dictyophimus(?) callosus,Dictyophimus(?) archipilium,Cymaetron sinolampas,Ceratocyrtis mashae,Ceratocyrtis amplus,Cenosphaera oceanica,Calocyclas asperum,Botryostrobus rednosus,Botryostrobus kerguelensis,Axoprunum sp.,Archipilium sp.,Amphymenium splendiarmatum,Actinomma kerguelenensis,Velicucullus sp.,Prunopyle trypopyrena,Cyrtocapsella robusta,Actinomma campylacantha,Theocorys sp.,Stylodictya ocellata,Lithomelissa sphaerocephalis,Cycladophora cabrilloensis subhumerus,Stylosphaera hispida,Stylodictya hastata,Saturnalis circularis,Mitrocalpis sp.,Lamprocyclas inexpectata,Dictyophimus pocillum,Cycladophora conica,Stylatractus universus,Spongodiscus osculosus,Phormostichoartus marylandicus,Lipmanella sp.,Ceratocyrtis cucullaris,Tholospyris (all generic taxa),Stylosphaera radiosa,Lithomelissa cheni,Lychnocanoma conica,Cyrtocapsella longithorax,Antarctissa sp.,Actinomma medusa,Stylosphaera angelina,Eucyrtidium teuscheri,Acrosphaera sp.,Lophophaena thaumasia,Lamprocyclas prionotocodon,Theocyrtis robusta,Lychnocanoma elongata,Gondwanaria hister,Cycladophora campanula,Velicucullus (all generic taxa),Stichocorys delmontensis,Rhizosphaera antarctica,Lithocarpium fragilis,Cycladophora humerus,Carpocanistrum brevispina,Dendrospyris megalocephalis,Cyrtocapsella tetrapera,Cycladophora golli regipileus,Cycladophora golli golli,Lampromitra coronata,Hexalonche philosophica?,Druppatractus hastatus,Cycladophora antiqua,Circodiscus ellipticus,Amphistylus angelinus,Stylatractus santaeannae,Lithartractus timmsi?,Eucyrtidium cienkowskii,Actinomma magnifenestra,Dictyophimus crisiae,Desmospyris rhodospyroides,Acrosphaera mercurius,Ceratocyrtis sp.,Stauroxiphos communis,Spongomelissa dilli,Cycladophora cosma cosma,Stylacontarium bispiculum,Lithomelissa stigi,Eucyrtidium punctatum,Cyrtocapsella cornuta,Triceraspyris coronata,Stichopilium bicorne?,Eucyrtidium calvertense,Acrosphaera australis,Siphonosphaera vesuvius,Siphonosphaera magnisphaera,Antarctissa deflandrei,Cycladophora bicornis,Thyrsocyrtis clausa,Dendrospyris cf. megalocephalis,Calocyclas humerus,Actinomma golownini,Spongodiscus craticulatus,Prunopyle tetrapila,Cycladophora spongothorax,Botryopera deflandrei,Pterocanium korotnevi,Acrosphaera murrayana,Stylatractus universus var. transparum,Spongotrochus glacialis,Phormostichoartus fistula,Antarctissa robusta,Rhopalastrum spp.,Prunopyle titan,Eucyrtidium pseudoinflatum,Eucyrtidium inflatum,Cycladophora pliocenica,Antarctissa strelkovi,Lychnocanium grande,Desmospyris spongiosa,Acrosphaera labrata,Stichocorys peregrina,Siphocampe arachnea,Helotholus praevema,Eucyrtidium biconicum,Botryostrobus auritus/australis,Antarctissa cylindrica,Helotholus vema,Antarctissa denticulata,Triceraspyris antarctica,Cycladophora davisiana,Saccospyris conithorax,Prunopyle antarctica,Gondwanaria dogieli,Cyrtolagena laguncula,Pterocanium charybdeum trilobum,Spongodiscus setosus,Pterocanium trilobum,Phormostichoartus pitomorphus,Lithelius nautiloides,Ceratocyrtis histricosa,Spongoplegma antarcticum,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. golli regipileus,              ,119, 744,A,  8,H, 3,  53.00,     64.7300,Lazarus  ,Radiolarians                                 ,A              ,P-M               ,                    ,                ,                      ,                        ,                 ,                     ,                    ,                           ,                     ,                 ,C               ,                 ,                 ,                         ,                       ,                    ,                       ,                       ,                         ,                                 ,                                ,                      ,                    ,                       ,                        ,                           ,                    ,                   ,                   ,                    ,                  ,                      ,                          ,             ,               ,                          ,                        ,R               ,                     ,                     ,                       ,             ,                    ,                            ,                                     ,                    ,                   ,+                    ,               ,                        ,                     ,                   ,                      ,                      ,                              ,              ,                       ,                              ,                    ,                  ,                   ,+                        ,               ,                ,                     ,                     ,               ,                     ,                          ,                  ,                     ,                  ,                      ,                               ,                        ,                       ,                     ,                    ,                         ,                           ,C                      ,C                            ,C                       ,                    ,                        ,R                     ,                    ,R                     ,C                    ,                        ,F                    ,R                      ,R                      ,+                   ,                          ,                     ,                ,                     ,                   ,                        ,F                        ,                  ,R                    ,                     ,                      ,+                    ,                       ,                     ,                       ,                           ,                      ,                     ,                   ,                               ,                  ,                   ,                         ,                   ,                         ,                     ,                     ,                     ,                                      ,                       ,                         ,                   ,                 ,               ,                          ,                    ,                       ,                     ,                   ,                     ,                   ,                     ,                   ,                   ,                     ,                               ,                      ,               ,                       ,                        ,                      ,                      ,                    ,                   ,                     ,                               ,                    ,                    ,                             ,                     ,                       ,                        ,from ODP Leg 120 SR Vol 2 Chapter 41 Table 1 microfiche backpocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. golli regipileus,              ,119, 744,A,  8,H, 4,  53.00,     66.2300,Lazarus  ,Radiolarians                                 ,C              ,P                 ,                    ,                ,                      ,                        ,                 ,                     ,                    ,                           ,                     ,                 ,C               ,                 ,                 ,                         ,                       ,                    ,                       ,                       ,                         ,                                 ,                                ,                      ,                    ,                       ,                        ,                           ,                    ,                   ,                   ,                    ,                  ,                      ,                          ,             ,               ,                          ,                        ,R               ,                     ,                     ,                       ,             ,                    ,                            ,                                     ,                    ,                   ,R                    ,               ,                        ,                     ,                   ,                      ,                      ,                              ,              ,                       ,                              ,                    ,                  ,                   ,                         ,               ,                ,                     ,                     ,               ,                     ,                          ,                  ,                     ,                  ,                      ,                               ,                        ,                       ,                     ,                    ,                         ,                           ,F                      ,F                            ,C                       ,                    ,                        ,R                     ,                    ,                      ,F                    ,R                       ,R                    ,F                      ,                       ,R                   ,+                         ,                     ,                ,                     ,                   ,                        ,R                        ,                  ,F                    ,                     ,R                     ,R                    ,                       ,                     ,                       ,                           ,                      ,                     ,                   ,                               ,                  ,                   ,                         ,                   ,                         ,                     ,                     ,                     ,                                      ,                       ,                         ,                   ,                 ,               ,                          ,                    ,                       ,                     ,                   ,                     ,                   ,                     ,                   ,                   ,                     ,                               ,                      ,               ,                       ,                        ,                      ,                      ,                    ,                   ,                     ,                               ,                    ,                    ,                             ,                     ,                       ,                        ,from ODP Leg 120 SR Vol 2 Chapter 41 Table 1 microfiche backpocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,NR16              ,NR11          ,119, 744,A,  8,H,CC,  17.00,     67.1200,Caulet   ,Radiolarians                                 ,C              ,G                 ,                    ,                ,                      ,                        ,                 ,                     ,                    ,                           ,                     ,                 ,R               ,                 ,                 ,                         ,                       ,                    ,                       ,                       ,                         ,                                 ,                                ,                      ,                    ,                       ,                        ,                           ,                    ,                   ,R                  ,                    ,                  ,                      ,                          ,             ,               ,                          ,                        ,                ,                     ,                     ,                       ,             ,                    ,                            ,                                     ,                    ,                   ,T                    ,               ,                        ,                     ,                   ,                      ,                      ,                              ,              ,                       ,                              ,                    ,                  ,                   ,C                        ,               ,                ,C                    ,                     ,               ,                     ,                          ,                  ,                     ,R                 ,                      ,                               ,                        ,R                      ,R                    ,                    ,                         ,                           ,A                      ,R                            ,C                       ,                    ,                        ,                      ,                    ,                      ,                     ,                        ,                     ,                       ,                       ,                    ,                          ,                     ,                ,R                    ,                   ,R                       ,                         ,                  ,T                    ,R                    ,                      ,                     ,                       ,                     ,                       ,                           ,                      ,                     ,                   ,                               ,                  ,                   ,                         ,                   ,                         ,                     ,                     ,                     ,                                      ,                       ,                         ,                   ,                 ,               ,                          ,                    ,                       ,                     ,                   ,                     ,                   ,                     ,                   ,                   ,                     ,                               ,                      ,               ,                       ,                        ,                      ,                      ,                    ,                   ,                     ,                               ,                    ,                    ,                             ,                     ,                       ,                        ,from 119 SR Chapter 28 Table 4 page 522.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. golli regipileus,              ,119, 744,A,  9,H, 1,  60.00,     71.3000,Lazarus  ,Radiolarians                                 ,A              ,M                 ,                    ,                ,                      ,                        ,                 ,                     ,                    ,                           ,                     ,                 ,C               ,                 ,                 ,                         ,                       ,                    ,                       ,                       ,                         ,                                 ,                                ,                      ,                    ,                       ,                        ,                           ,                    ,                   ,                   ,                    ,                  ,                      ,                          ,             ,               ,                          ,                        ,F               ,                     ,                     ,                       ,             ,                    ,                            ,                                     ,                    ,                   ,                     ,               ,                        ,                     ,                   ,                      ,                      ,                              ,              ,                       ,                              ,                    ,                  ,                   ,                         ,               ,                ,                     ,                     ,               ,                     ,                          ,                  ,                     ,                  ,                      ,                               ,                        ,                       ,                     ,                    ,                         ,                           ,C                      ,C                            ,C                       ,                    ,                        ,R                     ,                    ,R                     ,C                    ,                        ,C                    ,R                      ,C                      ,+                   ,F                         ,                     ,R               ,                     ,                   ,                        ,F                        ,F                 ,                     ,                     ,                      ,                     ,                       ,                     ,                       ,                           ,                      ,                     ,                   ,                               ,                  ,                   ,                         ,                   ,                         ,                     ,                     ,                     ,                                      ,                       ,                         ,                   ,                 ,               ,                          ,                    ,                       ,                     ,                   ,                     ,                   ,                     ,                   ,                   ,                     ,                               ,                      ,               ,                       ,                        ,                      ,                      ,                    ,                   ,                     ,                               ,                    ,                    ,                             ,                     ,                       ,                        ,from ODP Leg 120 SR Vol 2 Chapter 41 Table 1 microfiche backpocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,NR16              ,NR11          ,119, 744,A,  9,H,CC,  20.00,     71.8500,Caulet   ,Radiolarians                                 ,C              ,M                 ,                    ,                ,                      ,                        ,                 ,                     ,                    ,                           ,                     ,                 ,C               ,                 ,                 ,                         ,                       ,                    ,                       ,                       ,                         ,                                 ,                                ,                      ,                    ,                       ,                        ,                           ,                    ,                   ,R                  ,                    ,                  ,                      ,                          ,             ,               ,                          ,                        ,                ,                     ,                     ,                       ,             ,                    ,                            ,                                     ,                    ,                   ,T                    ,               ,                        ,                     ,                   ,                      ,                      ,                              ,              ,                       ,                              ,                    ,                  ,                   ,                         ,               ,                ,C                    ,                     ,               ,                     ,                          ,                  ,                     ,                  ,                      ,R                              ,                        ,                       ,T                    ,                    ,                         ,                           ,R                      ,A                            ,A                       ,                    ,                        ,                      ,                    ,T                     ,                     ,                        ,                     ,C                      ,                       ,                    ,                          ,                     ,                ,A                    ,T                  ,C                       ,                         ,                  ,                     ,                     ,                      ,                     ,                       ,                     ,                       ,                           ,                      ,                     ,                   ,                               ,                  ,                   ,                         ,                   ,                         ,                     ,                     ,                     ,                                      ,                       ,                         ,                   ,                 ,               ,                          ,                    ,                       ,                     ,                   ,                     ,                   ,                     ,                   ,                   ,                     ,                               ,                      ,               ,                       ,                        ,                      ,                      ,                    ,                   ,                     ,                               ,                    ,                    ,                             ,                     ,                       ,                        ,from 119 SR Chapter 28 Table 4 page 522.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. longithorax    ,              ,119, 744,A, 10,H, 1,  53.00,     80.7300,Lazarus  ,Radiolarians                                 ,A              ,P-M               ,                    ,                ,                      ,                        ,                 ,                     ,                    ,                           ,                     ,                 ,C               ,                 ,                 ,                         ,                       ,                    ,                       ,                       ,                         ,                                 ,                                ,                      ,                    ,                       ,                        ,                           ,                    ,                   ,                   ,                    ,                  ,                      ,                          ,             ,               ,                          ,                        ,+               ,                     ,                     ,                       ,             ,                    ,                            ,                                     ,                    ,                   ,                     ,               ,                        ,                     ,                   ,                      ,                      ,                              ,              ,                       ,                              ,                    ,                  ,                   ,C                        ,               ,                ,                     ,                     ,               ,                     ,                          ,                  ,                     ,                  ,                      ,                               ,                        ,                       ,                     ,                    ,                         ,                           ,F                      ,                             ,C                       ,                    ,R                       ,+                     ,+                   ,                      ,C                    ,+                       ,                     ,                       ,F                      ,                    ,F                         ,                     ,+               ,                     ,                   ,                        ,                         ,                  ,                     ,                     ,                      ,                     ,                       ,                     ,                       ,                           ,                      ,                     ,                   ,                               ,                  ,                   ,                         ,                   ,                         ,                     ,                     ,                     ,                                      ,                       ,                         ,                   ,                 ,               ,                          ,                    ,                       ,                     ,                   ,                     ,                   ,                     ,                   ,                   ,                     ,                               ,                      ,               ,                       ,                        ,                      ,                      ,                    ,                   ,                     ,                               ,                    ,                    ,                             ,                     ,                       ,                        ,from ODP Leg 120 SR Vol 2 Chapter 41 Table 1 microfiche backpocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. longithorax    ,              ,119, 744,A, 10,H, 3,  55.00,     83.7500,Lazarus  ,Radiolarians                                 ,A              ,P-M               ,                    ,                ,                      ,                        ,                 ,                     ,                    ,                           ,                     ,                 ,C               ,                 ,                 ,                         ,                       ,                    ,                       ,                       ,                         ,                                 ,                                ,                      ,                    ,                       ,                        ,                           ,                    ,                   ,                   ,                    ,                  ,                      ,                          ,             ,               ,                          ,                        ,R               ,                     ,                     ,                       ,             ,                    ,                            ,                                     ,                    ,                   ,                     ,               ,                        ,                     ,                   ,                      ,                      ,                              ,              ,                       ,                              ,                    ,                  ,                   ,F                        ,               ,                ,                     ,                     ,               ,                     ,                          ,                  ,                     ,                  ,                      ,                               ,                        ,                       ,                     ,                    ,                         ,                           ,R                      ,                             ,C                       ,                    ,R                       ,+                     ,R                   ,R                     ,C                    ,R                       ,C                    ,R                      ,R                      ,                    ,R                         ,                     ,                ,                     ,                   ,                        ,                         ,                  ,                     ,                     ,                      ,                     ,                       ,                     ,                       ,                           ,                      ,                     ,                   ,                               ,                  ,                   ,                         ,                   ,                         ,                     ,                     ,                     ,                                      ,                       ,                         ,                   ,                 ,               ,                          ,                    ,                       ,                     ,                   ,                     ,                   ,                     ,                   ,                   ,                     ,                               ,                      ,               ,                       ,                        ,                      ,                      ,                    ,                   ,                     ,                               ,                    ,                    ,                             ,                     ,                       ,                        ,from ODP Leg 120 SR Vol 2 Chapter 41 Table 1 microfiche backpocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. longithorax    ,              ,119, 744,A, 10,H, 4,  55.00,     85.2500,Lazarus  ,Radiolarians                                 ,A              ,M                 ,                    ,                ,                      ,                        ,                 ,                     ,                    ,                           ,                     ,                 ,C               ,                 ,                 ,                         ,                       ,                    ,                       ,                       ,                         ,                                 ,                                ,                      ,                    ,                       ,                        ,                           ,                    ,                   ,                   ,                    ,                  ,                      ,                          ,             ,               ,                          ,                        ,R               ,                     ,                     ,                       ,             ,                    ,                            ,                                     ,                    ,                   ,                     ,               ,                        ,                     ,                   ,                      ,                      ,                              ,              ,                       ,                              ,                    ,                  ,                   ,C                        ,               ,                ,                     ,                     ,               ,                     ,                          ,                  ,                     ,                  ,                      ,                               ,                        ,                       ,                     ,                    ,                         ,                           ,F                      ,                             ,R                       ,R                   ,                        ,R                     ,C                   ,                      ,F                    ,                        ,F                    ,                       ,                       ,+                   ,R                         ,R                    ,                ,                     ,                   ,                        ,                         ,                  ,                     ,                     ,                      ,                     ,                       ,                     ,                       ,                           ,                      ,                     ,                   ,                               ,                  ,                   ,                         ,                   ,                         ,                     ,                     ,                     ,                                      ,                       ,                         ,                   ,                 ,               ,                          ,                    ,                       ,                     ,                   ,                     ,                   ,                     ,                   ,                   ,                     ,                               ,                      ,               ,                       ,                        ,                      ,                      ,                    ,                   ,                     ,                               ,                    ,                    ,                             ,                     ,                       ,                        ,from ODP Leg 120 SR Vol 2 Chapter 41 Table 1 microfiche backpocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. longithorax    ,              ,119, 744,A, 10,H, 6,  55.00,     88.2500,Lazarus  ,Radiolarians                                 ,A              ,M                 ,                    ,                ,                      ,                        ,                 ,                     ,                    ,                           ,                     ,                 ,C               ,                 ,                 ,                         ,                       ,                    ,                       ,                       ,                         ,                                 ,                                ,                      ,                    ,                       ,                        ,                           ,                    ,                   ,                   ,                    ,                  ,                      ,                          ,             ,               ,                          ,                        ,R               ,                     ,                     ,                       ,             ,                    ,                            ,                                     ,                    ,                   ,                     ,               ,                        ,                     ,                   ,                      ,                      ,                              ,              ,                       ,                              ,                    ,                  ,                   ,+                        ,               ,                ,                     ,                     ,               ,                     ,                          ,                  ,                     ,                  ,                      ,                               ,                        ,                       ,                     ,                    ,                         ,                           ,F                      ,                             ,C                       ,F                   ,C                       ,R                     ,R                   ,R                     ,F                    ,+                       ,F                    ,R                      ,R                      ,                    ,                          ,                     ,                ,                     ,                   ,                        ,                         ,                  ,                     ,                     ,                      ,                     ,                       ,                     ,                       ,                           ,                      ,                     ,                   ,                               ,                  ,                   ,                         ,                   ,                         ,                     ,                     ,                     ,                                      ,                       ,                         ,                   ,                 ,               ,                          ,                    ,                       ,                     ,                   ,                     ,                   ,                     ,                   ,                   ,                     ,                               ,                      ,               ,                       ,                        ,                      ,                      ,                    ,                   ,                     ,                               ,                    ,                    ,                             ,                     ,                       ,                        ,from ODP Leg 120 SR Vol 2 Chapter 41 Table 1 microfiche backpocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. antiqua        ,              ,119, 744,A, 10,H, 7,  20.00,     89.4000,Lazarus  ,Radiolarians                                 ,A              ,P-M               ,                    ,                ,                      ,                        ,                 ,                     ,                    ,                           ,                     ,                 ,C               ,                 ,                 ,                         ,                       ,                    ,                       ,                       ,                         ,                                 ,                                ,                      ,                    ,                       ,                        ,                           ,                    ,                   ,                   ,                    ,                  ,                      ,                          ,             ,               ,                          ,                        ,                ,                     ,                     ,                       ,             ,                    ,                            ,                                     ,                    ,                   ,                     ,               ,                        ,                     ,                   ,                      ,                      ,                              ,              ,                       ,                              ,                    ,                  ,                   ,                         ,               ,                ,                     ,                     ,               ,                     ,                          ,                  ,                     ,                  ,                      ,                               ,                        ,                       ,                     ,                    ,                         ,                           ,C                      ,                             ,C                       ,R                   ,F                       ,F                     ,F                   ,F                     ,C                    ,                        ,                     ,                       ,                       ,                    ,                          ,                     ,                ,                     ,                   ,                        ,                         ,                  ,                     ,                     ,                      ,                     ,                       ,                     ,                       ,                           ,                      ,                     ,                   ,                               ,                  ,                   ,                         ,                   ,                         ,                     ,                     ,                     ,                                      ,                       ,                         ,                   ,                 ,               ,                          ,                    ,                       ,                     ,                   ,                     ,                   ,                     ,                   ,                   ,                     ,                               ,                      ,               ,                       ,                        ,                      ,                      ,                    ,                   ,                     ,                               ,                    ,                    ,                             ,                     ,                       ,                        ,from ODP Leg 120 SR Vol 2 Chapter 41 Table 1 microfiche backpocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,NR16              ,NR11          ,119, 744,A, 10,H,CC,  17.00,     90.0100,Caulet   ,Radiolarians                                 ,C              ,M                 ,                    ,                ,                      ,                        ,                 ,                     ,                    ,                           ,                     ,                 ,R               ,                 ,                 ,                         ,                       ,                    ,                       ,                       ,                         ,                                 ,                                ,                      ,                    ,                       ,                        ,                           ,                    ,                   ,                   ,                    ,                  ,                      ,                          ,             ,               ,                          ,                        ,                ,                     ,                     ,                       ,             ,                    ,                            ,                                     ,                    ,                   ,                     ,               ,                        ,                     ,                   ,                      ,                      ,                              ,              ,                       ,                              ,                    ,                  ,                   ,                         ,               ,                ,                     ,                     ,               ,                     ,                          ,                  ,                     ,                  ,                      ,R                              ,                        ,                       ,T                    ,                    ,C                        ,A                          ,R                      ,R                            ,C                       ,                    ,                        ,                      ,                    ,                      ,                     ,                        ,                     ,                       ,                       ,                    ,                          ,                     ,                ,                     ,                   ,                        ,                         ,                  ,                     ,                     ,                      ,                     ,                       ,                     ,                       ,                           ,                      ,                     ,                   ,                               ,                  ,                   ,                         ,                   ,                         ,                     ,                     ,                     ,                                      ,                       ,                         ,                   ,                 ,               ,                          ,                    ,                       ,                     ,                   ,                     ,                   ,                     ,                   ,                   ,                     ,                               ,                      ,               ,                       ,                        ,                      ,                      ,                    ,                   ,                     ,                               ,                    ,                    ,                             ,                     ,                       ,                        ,from 119 SR Chapter 28 Table 4 page 522.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,NR16              ,NR11          ,119, 744,A, 11,H,CC,  10.00,     98.4100,Caulet   ,Radiolarians                                 ,C              ,M                 ,                    ,                ,                      ,                        ,                 ,                     ,                    ,                           ,                     ,                 ,C               ,                 ,                 ,                         ,                       ,                    ,                       ,                       ,                         ,                                 ,                                ,                      ,                    ,                       ,                        ,                           ,                    ,                   ,                   ,                    ,                  ,                      ,                          ,             ,               ,                          ,                        ,                ,T                    ,                     ,                       ,             ,                    ,                            ,                                     ,                    ,                   ,                     ,               ,                        ,                     ,                   ,T                     ,                      ,                              ,              ,                       ,                              ,                    ,                  ,                   ,R                        ,               ,                ,                     ,                     ,               ,                     ,                          ,                  ,                     ,                  ,                      ,T                              ,T                       ,T                      ,C                    ,R                   ,C                        ,                           ,                       ,                             ,                        ,                    ,                        ,                      ,                    ,                      ,                     ,                        ,                     ,                       ,                       ,                    ,                          ,                     ,                ,                     ,                   ,                        ,                         ,                  ,                     ,                     ,                      ,                     ,                       ,                     ,                       ,                           ,                      ,                     ,                   ,                               ,                  ,                   ,                         ,                   ,                         ,                     ,                     ,                     ,                                      ,                       ,                         ,                   ,                 ,               ,                          ,                    ,                       ,                     ,                   ,                     ,                   ,                     ,                   ,                   ,                     ,                               ,                      ,               ,                       ,                        ,                      ,                      ,                    ,                   ,                     ,                               ,                    ,                    ,                             ,                     ,                       ,                        ,from 119 SR Chapter 28 Table 4 page 522.
