Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Syracosphaera pulchra,Gephyrocapsa caribbeanica,Gephyrocapsa (small),Emiliania huxleyi,Coccolithus pelagicus,Calcidiscus leptoporus,Pontosphaera japonica,Helicosphaera wallichii,Helicosphaera kamptneri,Gephyrocapsa Group 3,Gephyrocapsa Group 2,Gephyrocapsa Group 1,Crenalithus doronicoides,Coccolithus crassipons,Gephyrocapsa Group 4,Braarudosphaera bigelowii,Pontosphaera sp.,Emiliania pujosae,Coccolithus streckerii,Umbilicosphaera mirabilis,Thoracosphaera sp.,Comment
  IR,Late Pleistocene ,Holocene         ,NN21              ,              ,139, 855,A,  6,R,CC,   7.00,     47.4100,Mao      ,Nannofossils                                 ,F              ,P                 ,                     ,R                        ,F                   ,                 ,R                    ,R                     ,                     ,                       ,                       ,                    ,                    ,                    ,                        ,                      ,                    ,                         ,                ,                 ,                      ,                         ,                  ,from ODP Leg 139 IR; Chapter 5; Tables 5 & 6; pp. 118-19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN21              ,              ,139, 855,A,  7,R, 1,  92.00,     56.0200,Mao      ,Nannofossils                                 ,R              ,P                 ,                     ,                         ,                    ,                 ,                     ,                      ,                     ,                       ,                       ,                    ,                    ,R                   ,                        ,                      ,                    ,                         ,                ,                 ,                      ,                         ,                  ,from ODP Leg 139 SR; Chapter 5; Table 3; p 62
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN21              ,              ,139, 855,A,  7,R, 2,  72.00,     57.3200,Mao      ,Nannofossils                                 ,A              ,P                 ,                     ,                         ,                    ,                 ,C                    ,                      ,                     ,                       ,                       ,                    ,F                   ,A                   ,F                       ,                      ,                    ,                         ,                ,                 ,                      ,                         ,                  ,from ODP Leg 139 SR; Chapter 5; Table 3; p 62
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN21              ,              ,139, 855,A,  7,R, 3,  18.00,     58.2800,Mao      ,Nannofossils                                 ,A              ,M                 ,                     ,                         ,                    ,R                ,C                    ,F                     ,R                    ,R                      ,R                      ,F                   ,F                   ,A                   ,F                       ,R                     ,                    ,                         ,                ,                 ,                      ,                         ,                  ,from ODP Leg 139 SR; Chapter 5; Table 3; p 62
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,Holocene         ,NN21              ,              ,139, 855,A,  7,R,CC,  14.00,     59.0000,Mao      ,Nannofossils                                 ,C              ,P                 ,                     ,R                        ,C                   ,                 ,R                    ,R                     ,                     ,                       ,                       ,                    ,                    ,                    ,                        ,                      ,                    ,                         ,                ,                 ,                      ,                         ,                  ,from ODP Leg 139 IR; Chapter 5; Tables 5 & 6; pp. 118-19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,Holocene         ,NN21              ,              ,139, 855,A,  8,R, 1,   0.00,     64.8000,Mao      ,Nannofossils                                 ,A              ,P                 ,R                    ,R                        ,A                   ,R                ,F                    ,F                     ,                     ,                       ,                       ,                    ,                    ,                    ,                        ,                      ,                    ,                         ,                ,                 ,                      ,                         ,                  ,from ODP Leg 139 IR; Chapter 5; Tables 5 & 6; pp. 118-19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
