Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Stilostomella spp.	Pleurostomella spp.	Plectofrondicularia spp.	Orthomorphina spp.	Comment
  SR	                 	                 	                  	              	108	 658	A	 27	X	 7	  70.00	    242.8200	Weinholz 	Benthic Foraminifers                         	               	                  	                  	                   	2                       	                  	Total account = 203; from ODP Leg 108 SR Chapter 7 Table 2 p 115-116

  SR	                 	                 	                  	              	108	 658	A	 28	X	 2	  70.00	    245.6000	Weinholz 	Benthic Foraminifers                         	               	                  	                  	                   	1                       	                  	Total account = 209; from ODP Leg 108 SR Chapter 7 Table 2 p 115-116

  SR	                 	                 	                  	              	108	 658	A	 28	X	 4	  70.00	    248.6000	Weinholz 	Benthic Foraminifers                         	               	                  	                  	                   	2                       	                  	Total account = 119; from ODP Leg 108 SR Chapter 7 Table 2 p 115-116

  SR	                 	                 	                  	              	108	 658	A	 28	X	 6	  67.00	    251.5700	Weinholz 	Benthic Foraminifers                         	               	                  	1                 	1                  	1                       	                  	Total account = 190; from ODP Leg 108 SR Chapter 7 Table 2 p 115-116

  SR	                 	                 	                  	              	108	 658	A	 29	X	 3	  72.00	    255.4700	Weinholz 	Benthic Foraminifers                         	               	                  	                  	                   	1                       	2                 	Total account = 187; from ODP Leg 108 SR Chapter 7 Table 2 p 115-116

  SR	                 	                 	                  	              	108	 658	A	 29	X	 5	  72.00	    258.4700	Weinholz 	Benthic Foraminifers                         	               	                  	3                 	                   	1                       	2                 	Total account = 246; from ODP Leg 108 SR Chapter 7 Table 2 p 115-116

  SR	                 	                 	                  	              	108	 658	A	 29	X	 7	  72.00	    261.4700	Weinholz 	Benthic Foraminifers                         	               	                  	11                	                   	2                       	1                 	Total account = 282; from ODP Leg 108 SR Chapter 7 Table 2 p 115-116

  SR	                 	                 	                  	              	108	 658	A	 30	X	 1	  68.00	    263.0800	Weinholz 	Benthic Foraminifers                         	               	                  	1                 	                   	1                       	3                 	Total account = 253; from ODP Leg 108 SR Chapter 7 Table 2 p 115-116

  SR	                 	                 	                  	              	108	 658	A	 30	X	 6	  70.00	    269.5000	Weinholz 	Benthic Foraminifers                         	               	                  	17                	                   	1                       	                  	Total account = 217; from ODP Leg 108 SR Chapter 7 Table 2 p 115-116

  SR	                 	                 	                  	              	108	 658	A	 31	X	 3	  63.00	    275.5300	Weinholz 	Benthic Foraminifers                         	               	                  	14                	                   	2                       	2                 	Total account = 60; from ODP Leg 108 SR Chapter 7 Table 2 p 115-116

  SR	                 	                 	                  	              	108	 658	A	 32	X	 1	  68.00	    282.0800	Weinholz 	Benthic Foraminifers                         	               	                  	                  	                   	1                       	                  	Total account = 200; from ODP Leg 108 SR Chapter 7 Table 2 p 115-116

  SR	                 	                 	                  	              	108	 658	A	 33	X	 1	  70.00	    291.6000	Weinholz 	Benthic Foraminifers                         	               	                  	4                 	                   	                        	                  	Total account = 217; from ODP Leg 108 SR Chapter 7 Table 2 p 115-116

  SR	                 	                 	                  	              	108	 658	A	 33	X	 2	  70.00	    293.1000	Weinholz 	Benthic Foraminifers                         	               	                  	                  	1                  	                        	1                 	Total account = 256; from ODP Leg 108 SR Chapter 7 Table 2 p 115-116

  SR	                 	                 	                  	              	108	 658	A	 33	X	 4	  70.00	    296.1000	Weinholz 	Benthic Foraminifers                         	               	                  	4                 	1                  	1                       	2                 	Total account = 243; from ODP Leg 108 SR Chapter 7 Table 2 p 115-116

