Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sphaeroidinellopsis seminulina,Neogloboquadrina pachyderma (sinistral),Globorotaloides hexagona,Globorotalia merotumida,Globorotalia limbata,Globoquadrina altispira,Globigerinoides trilobus,Globigerinoides obliquus obliquus,Globigerina nepenthes,Sphaeroidinellopsis kochi,Orbulina universa,Neogloboquadrina humerosa,Neogloboquadrina continuosa (dextral),Neogloboquadrina acostaensis (sinistral),Globorotalia scitula,Globoquadrina dehiscens,Globigerinita glutinata,Globoquadrina venezuelana,Sphaeroidinellopsis paenedehiscens,Neogloboquadrina acostaensis (dextral),Globigerinoides sacculifer,Neogloboquadrina pachyderma (dextral),Pulleniatina primalis,Globorotalia menardii,Globorotalia cibaoensis,Globorotalia miocenica,Globorotalia exilis,Globigerinoides obliquus extremus,Globorotalia margaritae,Globigerina decoraperta,Beella digitata,Globorotalia crassula,Pulleniatina praecursor,Neogloboquadrina continuosa (sinistral),Globorotalia tumida tumida,Globigerinella aequilateralis,Globigerina bulloides,Globorotalia puncticulata,Globigerina falconensis,Globorotalia crassaformis crassaformis,Globigerinoides conglobatus,Globorotalia tumida flexuosa,Globigerinoides ruber (white),Sphaeroidinella dehiscens,Globorotalia multicamerata,Neogloboquadrina pseudopima,Globigerinoides fistulosus,Globigerinoides sp. cf. G. fistulosus,Globigerinoides tenellus,Globorotalia crassaformis hessi,Pulleniatina obliquiloculata,Neogloboquadrina dutertrei,Globorotalia truncatulinoides,Globorotalia triangula,Globorotalia inflata,Globigerinella calida,Globorotalia ungulata,Globigerinoides ruber (pink),Globigerina quinqueloba,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,M11               ,M12           ,108, 664,D, 28,H,CC,  14.00,    259.0200,Weaver   ,Planktonic Foraminifers                      ,C              ,M                 ,F                             ,C                                      ,R                       ,R                      ,                    ,F                      ,F                       ,R                                ,F                    ,                         ,R                ,                         ,F                                    ,                                        ,                    ,                       ,                       ,                         ,R                                 ,                                      ,R                         ,F                                    ,                     ,                     ,                       ,                      ,                   ,                                 ,                       ,                       ,               ,                     ,                       ,                                       ,                          ,                             ,                     ,                         ,                       ,                                      ,                           ,                            ,                             ,                         ,                          ,                           ,                          ,                                     ,                        ,                               ,                            ,                          ,                             ,                      ,                    ,                     ,                     ,                            ,                       ,from ODP Leg 108 SR Chapter 5 Table 12 p 86
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,M11               ,M12           ,108, 664,D, 29,H,CC,  22.00,    268.6400,Weaver   ,Planktonic Foraminifers                      ,F              ,P                 ,F                             ,C                                      ,R                       ,R                      ,                    ,F                      ,                        ,R                                ,C                    ,                         ,R                ,                         ,                                     ,                                        ,R                   ,R                      ,                       ,                         ,R                                 ,F                                     ,R                         ,                                     ,                     ,                     ,                       ,                      ,                   ,                                 ,                       ,                       ,               ,                     ,                       ,                                       ,                          ,                             ,                     ,                         ,                       ,                                      ,                           ,                            ,                             ,                         ,                          ,                           ,                          ,                                     ,                        ,                               ,                            ,                          ,                             ,                      ,                    ,                     ,                     ,                            ,                       ,from ODP Leg 108 SR Chapter 5 Table 12 p 86
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,M11               ,M12           ,108, 664,D, 30,H,CC,  21.00,    278.0600,Weaver   ,Planktonic Foraminifers                      ,A              ,M                 ,R                             ,C                                      ,                        ,R                      ,                    ,F                      ,C                       ,F                                ,C                    ,                         ,R                ,R                        ,                                     ,C                                       ,                    ,                       ,R                      ,R                        ,                                  ,                                      ,                          ,                                     ,                     ,                     ,                       ,                      ,                   ,                                 ,                       ,                       ,               ,                     ,                       ,                                       ,                          ,                             ,                     ,                         ,                       ,                                      ,                           ,                            ,                             ,                         ,                          ,                           ,                          ,                                     ,                        ,                               ,                            ,                          ,                             ,                      ,                    ,                     ,                     ,                            ,                       ,from ODP Leg 108 SR Chapter 5 Table 12 p 86
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,M11               ,M12           ,108, 664,D, 31,H,CC,  19.00,    287.4400,Weaver   ,Planktonic Foraminifers                      ,A              ,G                 ,R                             ,C                                      ,                        ,F                      ,                    ,R                      ,F                       ,F                                ,F                    ,R                        ,R                ,R                        ,F                                    ,F                                       ,R                   ,R                      ,R                      ,                         ,                                  ,                                      ,                          ,                                     ,                     ,                     ,                       ,                      ,                   ,                                 ,                       ,                       ,               ,                     ,                       ,                                       ,                          ,                             ,                     ,                         ,                       ,                                      ,                           ,                            ,                             ,                         ,                          ,                           ,                          ,                                     ,                        ,                               ,                            ,                          ,                             ,                      ,                    ,                     ,                     ,                            ,                       ,from ODP Leg 108 SR Chapter 5 Table 12 p 86
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,M11               ,M12           ,108, 664,D, 32,H,CC,   7.00,    296.9000,Weaver   ,Planktonic Foraminifers                      ,C              ,M                 ,R                             ,C                                      ,R                       ,R                      ,F                   ,C                      ,F                       ,R                                ,R                    ,                         ,                 ,                         ,                                     ,                                        ,                    ,                       ,                       ,                         ,                                  ,                                      ,                          ,                                     ,                     ,                     ,                       ,                      ,                   ,                                 ,                       ,                       ,               ,                     ,                       ,                                       ,                          ,                             ,                     ,                         ,                       ,                                      ,                           ,                            ,                             ,                         ,                          ,                           ,                          ,                                     ,                        ,                               ,                            ,                          ,                             ,                      ,                    ,                     ,                     ,                            ,                       ,from ODP Leg 108 SR Chapter 5 Table 12 p 86
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
