Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Unilocular species,Pullenia sp.,Pullenia quinqueloba,Pullenia osloensis,Pleurostomella sp.,Oridorsalis umbonatus,Nuttallides umbonifera,Melonis pompilioides,Laticarinina pauperata,Ioanella tumidula,Gyroidinoides lamarckianus,Gyroidina umbonata,Globocassidulina subglobosa,Epistominella sp. A,Epistominella exigua,Discorbinella bertheloti,Cibicidoides wuellerstorfi,Cibicidoides mundulus,Bolivina pacifica,Alabaminella weddellensis,Tosaia hanzawai,Siphotextularia catenata,Schackoinella sp.,Oridorsalis tenera,Miliolid taxa,Gyroidina orbicularis,Cibicides  bradyi,Bulimina sp. A,Pyrgo murrhina,Pullenia zaandamae,Gyroidinoides neosoldanii,Uvigerina hispida,Melonis barleeanus,Gyroidina regularis,Miliolid taxa (thin-walled),Cassidulina spp.,Bolivina spp.,Astrononion echolsi,Nonionella sp.,Abditodentrix pseudothalmanni,Sphaeroidina bulloides,Gyroidina spp.,Pyrgo sp.,Cibicidoides kullenbergi,Anomalinoides globulosus,Stainforthia fusiformis,Pullenia bulloides,Orthomorphina sp.,Pseudoparrella sp.,Cibicides lobatulus,Uvigerina spp.,Nodogenerina sp.,Uvigerina peregrina,Oridorsalis sp.,Cibicidoides robertsonianus,Comment
  SR,                 ,                 ,                  ,              ,154, 929,A,  5,H, 3,  60.00,     36.6000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,8                 ,            ,3                   ,9                 ,                  ,22                   ,42                    ,                    ,                      ,3                ,2                         ,                  ,24                         ,2                  ,84                  ,                        ,4                         ,3                    ,                 ,16                       ,1              ,1                       ,1                ,3                 ,             ,                     ,                 ,              ,              ,                  ,                         ,                 ,                  ,                   ,                           ,                ,             ,                   ,3             ,                             ,1                     ,              ,         ,                        ,                        ,                       ,                  ,                 ,                  ,                   ,              ,                ,                   ,               ,                           ,Other taxa = 8; Total count = 242; from Leg 154SR Ch 27 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 929,A,  5,H, 4,  60.00,     38.1000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,11                ,7           ,4                   ,7                 ,                  ,17                   ,40                    ,4                   ,                      ,1                ,                          ,                  ,25                         ,                   ,22                  ,                        ,2                         ,6                    ,                 ,46                       ,4              ,3                       ,3                ,                  ,1            ,                     ,                 ,              ,1             ,                  ,                         ,                 ,                  ,                   ,                           ,7               ,             ,                   ,              ,                             ,                      ,              ,         ,                        ,                        ,                       ,                  ,                 ,                  ,                   ,              ,                ,                   ,2              ,                           ,Other taxa = 5; Total count = 219; from Leg 154SR Ch 27 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 929,A,  5,H, 5,  60.00,     39.6000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,7                 ,1           ,                    ,                  ,                  ,16                   ,41                    ,                    ,                      ,4                ,1                         ,2                 ,3                          ,1                  ,37                  ,                        ,6                         ,14                   ,                 ,78                       ,6              ,3                       ,                 ,5                 ,3            ,                     ,                 ,              ,              ,                  ,                         ,                 ,                  ,1                  ,                           ,                ,             ,                   ,              ,                             ,                      ,              ,         ,                        ,                        ,                       ,                  ,                 ,                  ,                   ,              ,                ,                   ,3              ,                           ,Other taxa = 12; Total count = 244; from Leg 154SR Ch 27 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 929,A,  5,H, 6,  60.00,     41.1000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,13                ,            ,8                   ,6                 ,                  ,24                   ,41                    ,3                   ,                      ,9                ,5                         ,                  ,10                         ,2                  ,41                  ,                        ,                          ,10                   ,                 ,38                       ,4              ,2                       ,2                ,                  ,7            ,                     ,                 ,              ,              ,1                 ,                         ,                 ,2                 ,                   ,                           ,4               ,             ,                   ,              ,                             ,                      ,              ,1        ,                        ,                        ,2                      ,3                 ,                 ,                  ,                   ,              ,                ,2                  ,2              ,                           ,Other taxa = 10; Total count = 255; from Leg 154SR Ch 27 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 929,A,  6,H, 1,  60.00,     43.1000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,6                 ,            ,1                   ,7                 ,                  ,22                   ,18                    ,                    ,                      ,3                ,                          ,2                 ,13                         ,3                  ,63                  ,                        ,2                         ,12                   ,                 ,35                       ,3              ,3                       ,3                ,                  ,4            ,1                    ,                 ,1             ,1             ,1                 ,                         ,                 ,                  ,                   ,                           ,2               ,1            ,2                  ,              ,                             ,                      ,              ,         ,                        ,                        ,                       ,                  ,                 ,                  ,                   ,              ,                ,                   ,               ,                           ,Other taxa = 6; Total count = 215; from Leg 154SR Ch 27 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 929,A,  6,H, 2,  60.00,     44.6000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,11                ,            ,3                   ,11                ,                  ,4                    ,67                    ,                    ,                      ,2                ,                          ,1                 ,11                         ,3                  ,13                  ,                        ,8                         ,11                   ,                 ,30                       ,2              ,3                       ,1                ,                  ,1            ,                     ,                 ,2             ,              ,2                 ,                         ,                 ,                  ,                   ,                           ,                ,             ,3                  ,              ,                             ,                      ,              ,         ,                        ,1                       ,1                      ,                  ,                 ,                  ,                   ,              ,                ,                   ,               ,                           ,Other taxa = 3; Total count = 196; from Leg 154SR Ch 27 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 929,A,  6,H, 3,  60.00,     46.1000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,11                ,            ,3                   ,4                 ,                  ,6                    ,56                    ,1                   ,                      ,8                ,6                         ,2                 ,4                          ,1                  ,9                   ,                        ,3                         ,17                   ,                 ,36                       ,3              ,3                       ,2                ,1                 ,5            ,                     ,5                ,4             ,              ,                  ,                         ,                 ,1                 ,                   ,                           ,3               ,             ,                   ,              ,                             ,                      ,              ,1        ,                        ,                        ,                       ,1                 ,                 ,                  ,                   ,              ,                ,3                  ,               ,                           ,Other taxa = 6; Total count = 210; from Leg 154SR Ch 27 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 929,A,  6,H, 4,  60.00,     47.6000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,6                 ,4           ,55                  ,5                 ,                  ,38                   ,4                     ,13                  ,                      ,20               ,7                         ,1                 ,5                          ,                   ,1                   ,                        ,3                         ,16                   ,                 ,30                       ,6              ,3                       ,                 ,                  ,5            ,1                    ,1                ,              ,              ,                  ,                         ,                 ,                  ,                   ,                           ,                ,             ,                   ,              ,                             ,                      ,              ,         ,                        ,                        ,                       ,2                 ,                 ,                  ,                   ,              ,                ,                   ,               ,                           ,Other taxa = 3; Total count = 251; from Leg 154SR Ch 27 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 929,A,  6,H, 5,  60.00,     48.9800,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,12                ,1           ,4                   ,11                ,                  ,1                    ,67                    ,                    ,                      ,13               ,3                         ,                  ,12                         ,                   ,7                   ,                        ,5                         ,10                   ,                 ,39                       ,2              ,                        ,1                ,1                 ,             ,2                    ,                 ,3             ,1             ,2                 ,3                        ,                 ,                  ,                   ,                           ,2               ,             ,1                  ,              ,                             ,2                     ,              ,         ,                        ,                        ,                       ,                  ,                 ,                  ,                   ,              ,                ,                   ,               ,                           ,Other taxa = 4; Total count = 284; from Leg 154SR Ch 27 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 929,A,  6,H, 6,  60.00,     50.4800,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,8                 ,1           ,10                  ,8                 ,                  ,15                   ,38                    ,2                   ,                      ,5                ,22                        ,                  ,20                         ,                   ,40                  ,                        ,5                         ,2                    ,                 ,62                       ,6              ,8                       ,2                ,3                 ,4            ,                     ,1                ,              ,4             ,                  ,5                        ,                 ,                  ,                   ,                           ,                ,             ,                   ,2             ,                             ,                      ,              ,         ,                        ,                        ,1                      ,                  ,                 ,                  ,                   ,              ,                ,                   ,               ,                           ,Other taxa = 5; Total count = 279; from Leg 154SR Ch 27 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 929,A,  7,H, 1,  60.00,     52.6000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,15                ,            ,4                   ,15                ,                  ,4                    ,81                    ,2                   ,                      ,13               ,7                         ,                  ,5                          ,2                  ,10                  ,                        ,2                         ,14                   ,                 ,16                       ,2              ,7                       ,4                ,1                 ,             ,3                    ,                 ,6             ,1             ,                  ,2                        ,                 ,2                 ,                   ,                           ,                ,             ,                   ,              ,                             ,1                     ,              ,         ,                        ,                        ,1                      ,2                 ,                 ,                  ,                   ,              ,                ,                   ,               ,                           ,Other taxa = 1; Total count = 225; from Leg 154SR Ch 27 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 929,A,  7,H, 2,  60.00,     54.1000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,15                ,2           ,8                   ,3                 ,                  ,33                   ,19                    ,                    ,                      ,16               ,4                         ,                  ,12                         ,3                  ,26                  ,                        ,3                         ,6                    ,                 ,42                       ,7              ,5                       ,                 ,2                 ,2            ,2                    ,                 ,              ,1             ,                  ,                         ,                 ,                  ,                   ,                           ,                ,             ,                   ,              ,                             ,                      ,              ,         ,                        ,                        ,3                      ,                  ,                 ,                  ,                   ,              ,                ,                   ,               ,                           ,Other taxa = 11; Total count = 235; from Leg 154SR Ch 27 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 929,A,  7,H, 3,  60.00,     55.6000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,8                 ,1           ,9                   ,17                ,                  ,4                    ,48                    ,1                   ,                      ,5                ,1                         ,                  ,8                          ,                   ,26                  ,                        ,2                         ,13                   ,                 ,20                       ,7              ,5                       ,6                ,3                 ,4            ,1                    ,1                ,4             ,2             ,2                 ,                         ,                 ,2                 ,                   ,                           ,2               ,             ,1                  ,              ,                             ,                      ,              ,3        ,                        ,                        ,                       ,1                 ,                 ,                  ,                   ,2             ,1               ,                   ,               ,                           ,Other taxa = 4; Total count = 218; from Leg 154SR Ch 27 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 929,A,  7,H, 4,  60.00,     57.1000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,11                ,            ,8                   ,7                 ,                  ,14                   ,30                    ,1                   ,                      ,2                ,2                         ,                  ,8                          ,                   ,49                  ,                        ,                          ,13                   ,                 ,28                       ,3              ,4                       ,8                ,5                 ,3            ,                     ,                 ,3             ,              ,                  ,1                        ,                 ,                  ,                   ,                           ,1               ,             ,2                  ,              ,                             ,                      ,              ,1        ,                        ,                        ,1                      ,1                 ,                 ,                  ,                   ,              ,                ,                   ,               ,                           ,Other taxa = 2; Total count = 213; from Leg 154SR Ch 27 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 929,A,  7,H, 5,  60.00,     58.6000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,11                ,            ,12                  ,20                ,                  ,9                    ,9                     ,1                   ,                      ,6                ,10                        ,                  ,19                         ,2                  ,1                   ,                        ,4                         ,23                   ,                 ,44                       ,5              ,5                       ,                 ,4                 ,2            ,2                    ,1                ,2             ,              ,                  ,4                        ,                 ,3                 ,                   ,                           ,3               ,             ,2                  ,              ,                             ,                      ,              ,         ,                        ,                        ,1                      ,1                 ,                 ,                  ,                   ,              ,                ,                   ,               ,                           ,Other taxa = 5; Total count = 211; from Leg 154SR Ch 27 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 929,A,  7,H, 6,  60.00,     60.1000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,18                ,8           ,13                  ,7                 ,                  ,25                   ,21                    ,                    ,                      ,7                ,12                        ,4                 ,32                         ,3                  ,                    ,                        ,4                         ,6                    ,                 ,42                       ,7              ,6                       ,                 ,3                 ,1            ,1                    ,                 ,              ,              ,                  ,                         ,                 ,                  ,                   ,                           ,2               ,             ,                   ,              ,                             ,                      ,              ,         ,                        ,                        ,20                     ,                  ,                 ,                  ,                   ,              ,                ,                   ,               ,                           ,Other taxa = 7; Total count = 251; from Leg 154SR Ch 27 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 929,A,  8,H, 1,  60.00,     62.1000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,14                ,4           ,9                   ,24                ,                  ,12                   ,90                    ,                    ,                      ,10               ,10                        ,3                 ,22                         ,2                  ,64                  ,                        ,2                         ,8                    ,                 ,39                       ,1              ,2                       ,                 ,4                 ,             ,                     ,                 ,              ,              ,                  ,2                        ,                 ,                  ,                   ,                           ,2               ,             ,                   ,              ,                             ,                      ,              ,         ,                        ,                        ,                       ,6                 ,                 ,                  ,                   ,              ,                ,                   ,               ,                           ,Other taxa = 10; Total count = 340; from Leg 154SR Ch 27 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 929,A,  8,H, 2,  60.00,     63.6000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,13                ,5           ,9                   ,6                 ,                  ,18                   ,11                    ,3                   ,                      ,9                ,11                        ,                  ,22                         ,                   ,2                   ,                        ,4                         ,4                    ,                 ,82                       ,5              ,6                       ,                 ,2                 ,             ,                     ,                 ,              ,              ,                  ,                         ,                 ,                  ,                   ,                           ,4               ,             ,                   ,              ,                             ,                      ,              ,         ,                        ,                        ,                       ,                  ,                 ,                  ,                   ,              ,                ,                   ,               ,                           ,Other taxa = 6; Total count =222 ; from Leg 154SR Ch 27 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 929,A,  8,H, 3,  60.00,     65.1000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,12                ,            ,8                   ,9                 ,                  ,3                    ,34                    ,                    ,1                     ,7                ,6                         ,1                 ,17                         ,                   ,35                  ,                        ,3                         ,8                    ,                 ,38                       ,4              ,                        ,3                ,6                 ,6            ,                     ,                 ,5             ,1             ,                  ,                         ,                 ,1                 ,                   ,                           ,                ,             ,                   ,              ,                             ,                      ,1             ,         ,5                       ,                        ,                       ,                  ,                 ,                  ,                   ,              ,                ,                   ,               ,                           ,Other taxa = 4; Total count = 299; from Leg 154SR Ch 27 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 929,A,  8,H, 4,  60.00,     66.6000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,9                 ,1           ,7                   ,2                 ,2                 ,11                   ,13                    ,                    ,                      ,5                ,2                         ,                  ,25                         ,                   ,46                  ,                        ,                          ,14                   ,                 ,46                       ,1              ,3                       ,2                ,1                 ,4            ,2                    ,                 ,              ,2             ,                  ,1                        ,                 ,3                 ,                   ,                           ,2               ,             ,1                  ,              ,                             ,                      ,              ,         ,1                       ,                        ,                       ,                  ,                 ,                  ,                   ,              ,                ,                   ,               ,                           ,Other taxa = 10; Total count = 217; from Leg 154SR Ch 27 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 929,A,  8,H, 5,  60.00,     68.1000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,7                 ,            ,9                   ,6                 ,                  ,10                   ,42                    ,1                   ,                      ,7                ,6                         ,                  ,31                         ,                   ,30                  ,1                       ,4                         ,10                   ,                 ,47                       ,2              ,4                       ,6                ,2                 ,2            ,                     ,                 ,              ,              ,                  ,1                        ,                 ,1                 ,                   ,                           ,                ,             ,                   ,1             ,                             ,1                     ,              ,         ,3                       ,                        ,                       ,                  ,                 ,2                 ,                   ,              ,                ,                   ,               ,                           ,Other taxa = 3; Total count = 250; from Leg 154SR Ch 27 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 929,A,  8,H, 6,  60.00,     69.6000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,14                ,2           ,6                   ,19                ,                  ,13                   ,53                    ,1                   ,                      ,21               ,2                         ,                  ,12                         ,3                  ,                    ,                        ,3                         ,3                    ,                 ,54                       ,6              ,8                       ,                 ,2                 ,2            ,                     ,1                ,              ,              ,                  ,                         ,                 ,                  ,                   ,                           ,9               ,             ,                   ,              ,                             ,                      ,              ,1        ,                        ,                        ,9                      ,1                 ,                 ,                  ,2                  ,              ,                ,                   ,               ,                           ,Other taxa = 17; Total count = 264; from Leg 154SR Ch 27 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 929,A,  9,H, 1,  60.00,     71.6000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,7                 ,            ,8                   ,20                ,2                 ,12                   ,49                    ,1                   ,                      ,5                ,5                         ,                  ,16                         ,1                  ,25                  ,                        ,3                         ,25                   ,                 ,82                       ,2              ,6                       ,                 ,2                 ,             ,                     ,2                ,              ,              ,                  ,                         ,                 ,2                 ,                   ,                           ,2               ,             ,                   ,              ,                             ,                      ,              ,         ,                        ,                        ,1                      ,2                 ,                 ,1                 ,                   ,              ,                ,                   ,               ,                           ,Other taxa = 6; Total count = 287; from Leg 154SR Ch 27 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 929,A,  9,H, 2,  57.00,     73.0700,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,8                 ,3           ,6                   ,6                 ,                  ,24                   ,19                    ,                    ,                      ,8                ,3                         ,3                 ,20                         ,                   ,                    ,                        ,3                         ,17                   ,1                ,85                       ,5              ,4                       ,                 ,3                 ,2            ,                     ,                 ,              ,2             ,1                 ,                         ,                 ,                  ,                   ,                           ,1               ,             ,                   ,              ,                             ,                      ,              ,         ,                        ,                        ,                       ,1                 ,                 ,                  ,                   ,              ,                ,                   ,               ,                           ,Other taxa = 6; Total count = 231; from Leg 154SR Ch 27 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 929,A,  9,H, 3,  60.00,     74.6000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,7                 ,1           ,1                   ,13                ,                  ,7                    ,64                    ,                    ,                      ,22               ,4                         ,                  ,15                         ,1                  ,7                   ,                        ,6                         ,4                    ,                 ,50                       ,4              ,6                       ,2                ,5                 ,3            ,                     ,                 ,              ,              ,                  ,                         ,                 ,                  ,                   ,                           ,                ,             ,                   ,              ,                             ,                      ,              ,         ,                        ,                        ,1                      ,                  ,                 ,                  ,                   ,              ,                ,                   ,               ,                           ,Other taxa = 15; Total count = 238; from Leg 154SR Ch 27 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 929,A,  9,H, 4,  60.00,     76.1000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,11                ,2           ,2                   ,21                ,                  ,36                   ,6                     ,                    ,                      ,10               ,17                        ,                  ,14                         ,3                  ,3                   ,                        ,6                         ,5                    ,                 ,74                       ,8              ,8                       ,                 ,6                 ,2            ,                     ,                 ,              ,1             ,                  ,                         ,                 ,1                 ,                   ,                           ,                ,             ,                   ,              ,                             ,                      ,              ,2        ,                        ,                        ,3                      ,                  ,                 ,1                 ,                   ,              ,                ,                   ,               ,                           ,Other taxa = 8; Total count = 250; from Leg 154SR Ch 27 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 929,A,  9,H, 4,  94.00,     76.4400,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,25                ,            ,2                   ,21                ,3                 ,17                   ,18                    ,5                   ,                      ,5                ,4                         ,                  ,31                         ,7                  ,10                  ,                        ,7                         ,14                   ,2                ,55                       ,5              ,4                       ,                 ,                  ,1            ,                     ,1                ,8             ,              ,                  ,3                        ,                 ,1                 ,                   ,                           ,                ,             ,                   ,              ,                             ,3                     ,              ,         ,                        ,                        ,1                      ,                  ,                 ,                  ,                   ,              ,                ,                   ,               ,                           ,Other taxa = 12; Total count = 265; from Leg 154SR Ch 27 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 929,A,  9,H, 5,   4.00,     77.0400,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,9                 ,            ,1                   ,8                 ,2                 ,7                    ,37                    ,                    ,                      ,1                ,6                         ,3                 ,40                         ,3                  ,30                  ,                        ,2                         ,10                   ,                 ,28                       ,2              ,1                       ,11               ,2                 ,3            ,                     ,                 ,3             ,1             ,                  ,                         ,                 ,                  ,                   ,                           ,                ,             ,                   ,              ,                             ,                      ,              ,         ,                        ,                        ,                       ,                  ,                 ,                  ,                   ,              ,                ,                   ,               ,                           ,Other taxa = 7; Total count = 217; from Leg 154SR Ch 27 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 929,A,  9,H, 5,  60.00,     77.6000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,11                ,5           ,11                  ,19                ,                  ,14                   ,10                    ,1                   ,                      ,                 ,9                         ,2                 ,26                         ,                   ,4                   ,                        ,1                         ,8                    ,                 ,117                      ,4              ,                        ,                 ,3                 ,1            ,                     ,                 ,1             ,              ,                  ,                         ,                 ,                  ,                   ,                           ,                ,             ,                   ,              ,                             ,                      ,1             ,         ,                        ,                        ,2                      ,                  ,                 ,                  ,                   ,              ,                ,                   ,               ,                           ,Other taxa = 5; Total count = 255; from Leg 154SR Ch 27 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 929,A,  9,H, 6,  27.00,     78.7700,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,11                ,            ,3                   ,12                ,                  ,1                    ,70                    ,1                   ,1                     ,4                ,2                         ,                  ,15                         ,                   ,44                  ,                        ,3                         ,10                   ,                 ,6                        ,2              ,4                       ,1                ,4                 ,3            ,                     ,                 ,1             ,1             ,                  ,                         ,                 ,                  ,                   ,                           ,                ,             ,                   ,              ,                             ,1                     ,              ,         ,                        ,                        ,2                      ,                  ,                 ,                  ,                   ,              ,                ,                   ,               ,                           ,Other taxa = 2; Total count = 204; from Leg 154SR Ch 27 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 929,A,  9,H, 6,  60.00,     79.1000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,12                ,1           ,3                   ,12                ,1                 ,7                    ,66                    ,                    ,                      ,3                ,2                         ,                  ,16                         ,2                  ,50                  ,                        ,1                         ,4                    ,                 ,15                       ,2              ,2                       ,11               ,                  ,4            ,2                    ,                 ,4             ,1             ,                  ,1                        ,                 ,                  ,2                  ,                           ,2               ,             ,                   ,              ,                             ,                      ,              ,         ,                        ,                        ,                       ,                  ,                 ,                  ,                   ,              ,                ,                   ,               ,                           ,Other taxa = 6; Total count = 232; from Leg 154SR Ch 27 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 929,A,  9,H, 7,  20.00,     80.2000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,11                ,            ,4                   ,9                 ,                  ,                     ,83                    ,1                   ,                      ,5                ,4                         ,                  ,19                         ,1                  ,38                  ,                        ,                          ,7                    ,1                ,12                       ,1              ,2                       ,6                ,1                 ,3            ,                     ,                 ,2             ,              ,                  ,                         ,                 ,                  ,1                  ,                           ,                ,             ,                   ,              ,                             ,                      ,              ,         ,3                       ,                        ,1                      ,                  ,                 ,                  ,                   ,              ,                ,                   ,               ,                           ,Other taxa = 4; Total count = 219; from Leg 154SR Ch 27 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
