Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis kochi,Orbulina universa,Globoturborotalita nepenthes,Globorotaloides variabilis,Globorotaloides hexagona,Globoquadrina venezuelana,Globoquadrina baroemoenensis,Globigerinoides obliquus s.l.,Globigerinoides quadrilobatus s.l.,Dentoglobigerina altispira altispira,Globorotalia limbata,Dentoglobigerina altispira globosa,Globorotalia menardii,Neogloboquadrina acostaensis,Globorotalia plesiotumida,Globigerinella siphonifera,Globorotalia scitula,Globoquadrina dehiscens,Orbulina suturalis,Globigerinoides conglobatus,Globorotalia tumida,Sphaeroidinellopsis disjuncta,Turborotalita humilis,Sphaeroidinellopsis paenedehiscens,Sphaeroidinella dehiscens,Pulleniatina primalis (sin.),Pulleniatina primalis (dex.),Neogloboquadrina pachyderma (sin.),Neogloboquadrina pachyderma (dex.),Neogloboquadrina dutertrei,Globorotalia menardii (sin.),Globorotalia menardii (dex.),Globigerinoides sacculifer (without sack),Globigerinoides sacculifer,Globigerinoides obliquus,Globigerinita glutinata,Globigerinella aequilateralis,Globigerina woodi,Globigerina nepenthes,Globigerina bulloides,Globigerina apertura,Dentoglobigerina altispira,Beella praedigitata,Globorotalia ungulata,Globorotalia crassula,Globigerinoides ruber,Globigerinoides fistulosus,Pulleniatina obliquiloculata,Globorotalia tosaensis,Comment
  SR,Late Miocene     ,                 ,N17a              ,              ,138, 852,B, 10,H, 6,  90.00,     93.3000,Vincent  ,Planktonic Foraminifers                      ,C              ,M                 ,+                             ,T                        ,+                ,+                           ,                          ,+                       ,+                        ,+                           ,+                            ,+                                 ,T                                   ,+                   ,T                                 ,+                    ,+                           ,T                        ,T                         ,T                   ,                       ,                  ,                           ,                   ,                             ,                     ,                                  ,                         ,                            ,                            ,                                  ,                                  ,                          ,                            ,                            ,                                         ,                          ,                        ,                       ,                             ,                 ,                     ,                     ,                    ,                          ,                   ,                     ,                     ,                     ,                          ,                            ,                      ,from ODP Leg 138 SR Chapter 46 Table 6 p 903
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N17a              ,              ,138, 852,B, 10,H, 7,  75.00,     94.6500,Vincent  ,Planktonic Foraminifers                      ,F              ,P                 ,+                             ,                         ,+                ,+                           ,+                         ,T                       ,+                        ,+                           ,+                            ,T                                 ,T                                   ,+                   ,+                                 ,T                    ,+                           ,+                        ,T                         ,+                   ,T                      ,                  ,                           ,                   ,                             ,                     ,                                  ,                         ,                            ,                            ,                                  ,                                  ,                          ,                            ,                            ,                                         ,                          ,                        ,                       ,                             ,                 ,                     ,                     ,                    ,                          ,                   ,                     ,                     ,                     ,                          ,                            ,                      ,from ODP Leg 138 SR Chapter 46 Table 6 p 903
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N17a              ,              ,138, 852,B, 10,H,CC,  26.00,     95.0200,Vincent  ,Planktonic Foraminifers                      ,A              ,M                 ,+                             ,+                        ,+                ,+                           ,T                         ,+                       ,+                        ,+                           ,+                            ,T                                 ,+                                   ,+                   ,T                                 ,T                    ,+                           ,+                        ,T                         ,T                   ,                       ,                  ,                           ,                   ,                             ,                     ,                                  ,                         ,                            ,                            ,                                  ,                                  ,                          ,                            ,                            ,                                         ,                          ,                        ,                       ,                             ,                 ,                     ,                     ,                    ,                          ,                   ,                     ,                     ,                     ,                          ,                            ,                      ,from ODP Leg 138 SR Chapter 46 Table 6 p 903
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N17a              ,              ,138, 852,B, 11,H, 1,  87.00,     95.2700,Vincent  ,Planktonic Foraminifers                      ,F              ,P                 ,+                             ,+                        ,+                ,T                           ,                          ,T                       ,+                        ,                            ,+                            ,+                                 ,                                    ,+                   ,                                  ,+                    ,+                           ,+                        ,T                         ,                    ,                       ,                  ,                           ,                   ,                             ,                     ,                                  ,                         ,                            ,                            ,                                  ,                                  ,                          ,                            ,                            ,                                         ,                          ,                        ,                       ,                             ,                 ,                     ,                     ,                    ,                          ,                   ,                     ,                     ,                     ,                          ,                            ,                      ,from ODP Leg 138 SR Chapter 46 Table 6 p 903
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N17a              ,              ,138, 852,B, 11,H, 2,  87.00,     96.7700,Vincent  ,Planktonic Foraminifers                      ,C              ,P                 ,+                             ,+                        ,+                ,+                           ,                          ,T                       ,+                        ,+                           ,+                            ,+                                 ,+                                   ,+                   ,T                                 ,+                    ,+                           ,T                        ,T                         ,                    ,                       ,                  ,                           ,                   ,                             ,                     ,                                  ,                         ,                            ,                            ,                                  ,                                  ,                          ,                            ,                            ,                                         ,                          ,                        ,                       ,                             ,                 ,                     ,                     ,                    ,                          ,                   ,                     ,                     ,                     ,                          ,                            ,                      ,from ODP Leg 138 SR Chapter 46 Table 6 p 903
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N17a              ,              ,138, 852,B, 11,H, 3,  87.00,     98.2700,Vincent  ,Planktonic Foraminifers                      ,C              ,P                 ,+                             ,+                        ,+                ,T                           ,                          ,+                       ,+                        ,+                           ,+                            ,+                                 ,T                                   ,+                   ,T                                 ,+                    ,+                           ,T                        ,T                         ,                    ,                       ,                  ,                           ,                   ,                             ,                     ,                                  ,                         ,                            ,                            ,                                  ,                                  ,                          ,                            ,                            ,                                         ,                          ,                        ,                       ,                             ,                 ,                     ,                     ,                    ,                          ,                   ,                     ,                     ,                     ,                          ,                            ,                      ,from ODP Leg 138 SR Chapter 46 Table 6 p 903
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N17a              ,              ,138, 852,B, 11,H, 4,  87.00,     99.7700,Vincent  ,Planktonic Foraminifers                      ,C              ,M                 ,+                             ,+                        ,+                ,+                           ,                          ,+                       ,+                        ,T                           ,+                            ,+                                 ,T                                   ,+                   ,T                                 ,T                    ,+                           ,T                        ,T                         ,                    ,                       ,                  ,                           ,                   ,                             ,                     ,                                  ,                         ,                            ,                            ,                                  ,                                  ,                          ,                            ,                            ,                                         ,                          ,                        ,                       ,                             ,                 ,                     ,                     ,                    ,                          ,                   ,                     ,                     ,                     ,                          ,                            ,                      ,from ODP Leg 138 SR Chapter 46 Table 6 p 903
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N17a              ,              ,138, 852,B, 11,H, 5,  87.00,    101.2700,Vincent  ,Planktonic Foraminifers                      ,C              ,P                 ,+                             ,+                        ,+                ,T                           ,                          ,+                       ,+                        ,+                           ,+                            ,+                                 ,+                                   ,T                   ,T                                 ,                     ,+                           ,T                        ,+                         ,                    ,                       ,                  ,                           ,                   ,                             ,                     ,                                  ,                         ,                            ,                            ,                                  ,                                  ,                          ,                            ,                            ,                                         ,                          ,                        ,                       ,                             ,                 ,                     ,                     ,                    ,                          ,                   ,                     ,                     ,                     ,                          ,                            ,                      ,from ODP Leg 138 SR Chapter 46 Table 6 p 903
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N17a              ,              ,138, 852,B, 11,H, 6,  87.00,    102.7700,Vincent  ,Planktonic Foraminifers                      ,F              ,P                 ,+                             ,+                        ,+                ,+                           ,+                         ,T                       ,+                        ,T                           ,                             ,+                                 ,T                                   ,+                   ,                                  ,T                    ,+                           ,T                        ,                          ,                    ,                       ,                  ,                           ,                   ,                             ,                     ,                                  ,                         ,                            ,                            ,                                  ,                                  ,                          ,                            ,                            ,                                         ,                          ,                        ,                       ,                             ,                 ,                     ,                     ,                    ,                          ,                   ,                     ,                     ,                     ,                          ,                            ,                      ,from ODP Leg 138 SR Chapter 46 Table 6 p 903
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N14               ,N16           ,138, 852,B, 11,H, 7,  76.00,    104.1600,Vincent  ,Planktonic Foraminifers                      ,F              ,P                 ,+                             ,+                        ,+                ,T                           ,+                         ,                        ,+                        ,+                           ,                             ,+                                 ,T                                   ,+                   ,T                                 ,T                    ,                            ,                         ,                          ,                    ,                       ,                  ,                           ,                   ,                             ,                     ,                                  ,                         ,                            ,                            ,                                  ,                                  ,                          ,                            ,                            ,                                         ,                          ,                        ,                       ,                             ,                 ,                     ,                     ,                    ,                          ,                   ,                     ,                     ,                     ,                          ,                            ,                      ,from ODP Leg 138 SR Chapter 46 Table 6 p 903
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N14               ,N16           ,138, 852,B, 11,H,CC,  26.00,    104.5000,Vincent  ,Planktonic Foraminifers                      ,R              ,P                 ,+                             ,+                        ,+                ,+                           ,T                         ,                        ,+                        ,T                           ,                             ,                                  ,T                                   ,T                   ,T                                 ,                     ,                            ,                         ,                          ,                    ,                       ,                  ,                           ,                   ,                             ,                     ,                                  ,                         ,                            ,                            ,                                  ,                                  ,                          ,                            ,                            ,                                         ,                          ,                        ,                       ,                             ,                 ,                     ,                     ,                    ,                          ,                   ,                     ,                     ,                     ,                          ,                            ,                      ,from ODP Leg 138 SR Chapter 46 Table 6 p 903
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N14               ,N16           ,138, 852,B, 12,H, 1,  90.00,    104.8000,Vincent  ,Planktonic Foraminifers                      ,F              ,P                 ,+                             ,+                        ,+                ,T                           ,+                         ,                        ,+                        ,                            ,                             ,+                                 ,T                                   ,                    ,                                  ,                     ,                            ,                         ,                          ,                    ,                       ,                  ,                           ,                   ,                             ,                     ,                                  ,                         ,                            ,                            ,                                  ,                                  ,                          ,                            ,                            ,                                         ,                          ,                        ,                       ,                             ,                 ,                     ,                     ,                    ,                          ,                   ,                     ,                     ,                     ,                          ,                            ,                      ,from ODP Leg 138 SR Chapter 46 Table 6 p 903
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N14               ,N16           ,138, 852,B, 12,H, 2,  90.00,    106.3000,Vincent  ,Planktonic Foraminifers                      ,A              ,P                 ,T                             ,T                        ,                 ,                            ,T                         ,                        ,                         ,                            ,                             ,                                  ,                                    ,                    ,                                  ,                     ,                            ,                         ,                          ,                    ,                       ,                  ,                           ,                   ,                             ,                     ,                                  ,                         ,                            ,                            ,                                  ,                                  ,                          ,                            ,                            ,                                         ,                          ,                        ,                       ,                             ,                 ,                     ,                     ,                    ,                          ,                   ,                     ,                     ,                     ,                          ,                            ,                      ,from ODP Leg 138 SR Chapter 46 Table 6 p 903
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N14               ,N16           ,138, 852,B, 12,H, 3,  90.00,    107.8000,Vincent  ,Planktonic Foraminifers                      ,R              ,P                 ,T                             ,                         ,                 ,                            ,                          ,                        ,+                        ,                            ,                             ,                                  ,                                    ,                    ,                                  ,                     ,                            ,                         ,                          ,                    ,                       ,                  ,                           ,                   ,                             ,                     ,                                  ,                         ,                            ,                            ,                                  ,                                  ,                          ,                            ,                            ,                                         ,                          ,                        ,                       ,                             ,                 ,                     ,                     ,                    ,                          ,                   ,                     ,                     ,                     ,                          ,                            ,                      ,from ODP Leg 138 SR Chapter 46 Table 6 p 903
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N14               ,N16           ,138, 852,B, 12,H, 4,  90.00,    109.3000,Vincent  ,Planktonic Foraminifers                      ,R              ,P                 ,                              ,T                        ,                 ,                            ,                          ,                        ,T                        ,                            ,                             ,                                  ,                                    ,                    ,                                  ,                     ,                            ,                         ,                          ,                    ,                       ,                  ,                           ,                   ,                             ,                     ,                                  ,                         ,                            ,                            ,                                  ,                                  ,                          ,                            ,                            ,                                         ,                          ,                        ,                       ,                             ,                 ,                     ,                     ,                    ,                          ,                   ,                     ,                     ,                     ,                          ,                            ,                      ,from ODP Leg 138 SR Chapter 46 Table 6 p 903
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N14               ,N16           ,138, 852,B, 12,H, 5,  90.00,    110.8000,Vincent  ,Planktonic Foraminifers                      ,R              ,P                 ,+                             ,+                        ,T                ,+                           ,+                         ,+                       ,+                        ,T                           ,                             ,                                  ,                                    ,                    ,                                  ,                     ,                            ,                         ,                          ,                    ,                       ,                  ,                           ,                   ,                             ,                     ,                                  ,                         ,                            ,                            ,                                  ,                                  ,                          ,                            ,                            ,                                         ,                          ,                        ,                       ,                             ,                 ,                     ,                     ,                    ,                          ,                   ,                     ,                     ,                     ,                          ,                            ,                      ,from ODP Leg 138 SR Chapter 46 Table 6 p 903
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N14               ,N16           ,138, 852,B, 12,H, 6,  90.00,    112.3000,Vincent  ,Planktonic Foraminifers                      ,R              ,P                 ,+                             ,+                        ,T                ,T                           ,+                         ,T                       ,+                        ,T                           ,T                            ,                                  ,                                    ,                    ,                                  ,                     ,                            ,                         ,                          ,                    ,                       ,                  ,                           ,                   ,                             ,                     ,                                  ,                         ,                            ,                            ,                                  ,                                  ,                          ,                            ,                            ,                                         ,                          ,                        ,                       ,                             ,                 ,                     ,                     ,                    ,                          ,                   ,                     ,                     ,                     ,                          ,                            ,                      ,from ODP Leg 138 SR Chapter 46 Table 6 p 903
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
