leg,site,hole,core,section,top interval depth(cm),bottom interval depth (cm),coredepth(m),sample depth(m),total number of observed fossils,investigators name,publication date (month/year),dsdp initial report volume number,fossil group,group abundance,chemical overgrowth,chemical dissolution,mechanical preservations,age,page number reference,fossil code,fossil,fossil abundance,fossil preservation,record join code,eodp_id,sample
56,436,,3,5,,,17.50,23.50,10,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PPINU0010,Pinus sp.,15%,  ,1,2356a919bc5303c536d9794c505445e4,56-436-3-5
56,436,,3,5,,,17.50,23.50,10,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PTSUA0010,Tsuga sp.,01%,  ,1,d35ad8dedaf569d56655d478c2f1436a,56-436-3-5
56,436,,3,5,,,17.50,23.50,10,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PTAXU0010,Taxus,38%,  ,1,0637b26ae3d7c9508caccec98fdd24d6,56-436-3-5
56,436,,3,5,,,17.50,23.50,10,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PALNU0010,Alnus sp.,11%,  ,1,aebd76a2b7d0be579196874a0631fd43,56-436-3-5
56,436,,3,5,,,17.50,23.50,10,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PBETU0010,Betula sp.,05%,  ,1,6eb817de92cd716260a9a0568becc3a5,56-436-3-5
56,436,,3,5,,,17.50,23.50,10,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PCARP0010,Carpinus sp.,03%,  ,1,df39c66fb1af8bcf7660111832a3c8a5,56-436-3-5
56,436,,3,5,,,17.50,23.50,10,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PFAGU0010,Fagus sp.,03%,  ,1,7065c7fdd0a897c3593fcb08e0480afb,56-436-3-5
56,436,,3,5,,,17.50,23.50,10,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PQUER0010,Quercus sp.,03%,  ,1,4fb4176ca49b5a7b187b47a4be780904,56-436-3-5
56,436,,3,5,,,17.50,23.50,10,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PZELK0010,Zelkova sp.,04%,  ,1,2a7f648bc2dee9c03a7fd3cfa8c6860f,56-436-3-5
56,436,,3,5,,,17.50,23.50,10,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PULMU0010,Ulmus sp.,04%,  ,1,a585fb5e985c373b85bb2beec40961a4,56-436-3-5
56,436,,4,1,,,27.00,27.00, 9,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PPINU0010,Pinus sp.,35%,  ,1,2e7aadd20c94fd9d111cd2dabb417bbc,56-436-4-1
56,436,,4,1,,,27.00,27.00, 9,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PTSUA0010,Tsuga sp.,09%,  ,1,b9fb76405194195e04f7bf2e4de9d32c,56-436-4-1
56,436,,4,1,,,27.00,27.00, 9,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PTAXU0010,Taxus,35%,  ,1,c5384c40dbdac881870df25969695144,56-436-4-1
56,436,,4,1,,,27.00,27.00, 9,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PALNU0010,Alnus sp.,05%,  ,1,6aa25e7fcb504f924d1f9b9c0dca6c61,56-436-4-1
56,436,,4,1,,,27.00,27.00, 9,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PBETU0010,Betula sp.,01%,  ,1,022f9106a5cee7b27223e5770d29794c,56-436-4-1
56,436,,4,1,,,27.00,27.00, 9,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PFAGU0010,Fagus sp.,03%,  ,1,1c178b1d18ef290a3cadc652b90b0e70,56-436-4-1
56,436,,4,1,,,27.00,27.00, 9,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PQUER0010,Quercus sp.,03%,  ,1,93b631e09f4975203aaf5ae694c09233,56-436-4-1
56,436,,4,1,,,27.00,27.00, 9,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PZELK0010,Zelkova sp.,02%,  ,1,d1860482268b04564628a5fd9d7a2f07,56-436-4-1
56,436,,4,1,,,27.00,27.00, 9,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PULMU0010,Ulmus sp.,02%,  ,1,0ef7b823debcc31582b6d78ea95d4fae,56-436-4-1
56,436,,4,6,,,27.00,34.50,10,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PPINU0010,Pinus sp.,46%,  ,1,b69905628628dbcc1c5d4d737ea41a19,56-436-4-6
56,436,,4,6,,,27.00,34.50,10,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PTSUA0010,Tsuga sp.,13%,  ,1,cbb590f27a7042d166c58340b004bd64,56-436-4-6
56,436,,4,6,,,27.00,34.50,10,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PTAXU0010,Taxus,13%,  ,1,46d489a1be47cb0f15f66e45d6a4975c,56-436-4-6
56,436,,4,6,,,27.00,34.50,10,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PALNU0010,Alnus sp.,10%,  ,1,0b080f011f7206742daa1b157b415132,56-436-4-6
56,436,,4,6,,,27.00,34.50,10,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PCARP0010,Carpinus sp.,02%,  ,1,198f1a2339aaad09b8b6511e835f9faa,56-436-4-6
56,436,,4,6,,,27.00,34.50,10,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PCORY0010,Corylus sp.,01%,  ,1,0b5adbaf030c9629c1e085248b52dbdf,56-436-4-6
56,436,,4,6,,,27.00,34.50,10,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PQUER0010,Quercus sp.,01%,  ,1,8a504674c7d7e6577b7ed0d0916d3fe3,56-436-4-6
56,436,,4,6,,,27.00,34.50,10,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PZELK0010,Zelkova sp.,03%,  ,1,ab7dafe6cdc9889eb1bb3b853dcaaaca,56-436-4-6
56,436,,4,6,,,27.00,34.50,10,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PULMU0010,Ulmus sp.,03%,  ,1,300f91fec497cde7b24a9bb2132f90ba,56-436-4-6
56,436,,4,6,,,27.00,34.50,10,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PCHEN0010,Chenopodiaceae,01%,  ,1,630fa963f5501ae8e53a9bff28372cde,56-436-4-6
56,436,,5,1,,,36.50,36.50,11,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PPINU0010,Pinus sp.,33%,  ,1,dbf29b9797f5c22fd44d1fc53befed60,56-436-5-1
56,436,,5,1,,,36.50,36.50,11,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PTSUA0010,Tsuga sp.,06%,  ,1,8bc5e6f35fe4629e1880f8c5015c10f3,56-436-5-1
56,436,,5,1,,,36.50,36.50,11,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PTAXU0010,Taxus,16%,  ,1,8f48f042c4fc4079e9e2d93cfadb1b17,56-436-5-1
56,436,,5,1,,,36.50,36.50,11,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PPTER0010,Pterocarya sp.,01%,  ,1,2359184fab1f01a54d05687854a671c2,56-436-5-1
56,436,,5,1,,,36.50,36.50,11,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PALNU0010,Alnus sp.,19%,  ,1,3cae99e91efef1dc74a753a32141ed6e,56-436-5-1
56,436,,5,1,,,36.50,36.50,11,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PBETU0010,Betula sp.,04%,  ,1,9b56e8ec1907ec163d3fd483c32c59df,56-436-5-1
56,436,,5,1,,,36.50,36.50,11,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PCARP0010,Carpinus sp.,02%,  ,1,c92a90b678e4992ebed57d73bb7877be,56-436-5-1
56,436,,5,1,,,36.50,36.50,11,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PCORY0010,Corylus sp.,02%,  ,1,14319b1866358a4e02b0af4f099a1072,56-436-5-1
56,436,,5,1,,,36.50,36.50,11,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PZELK0010,Zelkova sp.,02%,  ,1,a6e49ac5557b28c943e5abaae7ecfd1c,56-436-5-1
56,436,,5,1,,,36.50,36.50,11,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PULMU0010,Ulmus sp.,02%,  ,1,904428f8db9944d7264c5131099fdb40,56-436-5-1
56,436,,5,1,,,36.50,36.50,11,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PCHEN0010,Chenopodiaceae,02%,  ,2,b6148577a50337c27eedb9a145fe0c97,56-436-5-1
56,436,,5,4,,,36.50,41.00, 8,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PPINU0010,Pinus sp.,50%,  ,1,0cfddc11c50596ab471125c5086270a2,56-436-5-4
56,436,,5,4,,,36.50,41.00, 8,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PTSUA0010,Tsuga sp.,15%,  ,1,31a36b336bf603cafa342a1c505a789e,56-436-5-4
56,436,,5,4,,,36.50,41.00, 8,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PTAXU0010,Taxus,15%,  ,1,6102954e48a05ea6ea1c684c3255443d,56-436-5-4
