Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Thalassiothrix longissima	Thalassiosira oestrupii	Thalassiosira nidulus	Thalassiosira jouseae	Thalassiosira gravida spore	Thalassionema nitzschioides	Stephanopyxis turris	Rhizosolenia setigera	Rhizosolenia hebetata f. semispina	Rhizosolenia hebetata f. hebetata	Nitzschia reinholdii	Nitzschia marina	Coscinodiscus marginatus	Chaetoceros spp. (resting spores)	Bacterosira fragilis	Actinocyclus oculatus	Actinocyclus curvatulus	Coscinodiscus asteromphalus	Thalassiosira lineata	Nitzschia fossilis	Hemidiscus cuneiformis	Azpeitia nodulifer	Thalassiosira antiqua	Pseudoeunotia doliolus	Roperia tesselata	Rhizosolenia styliformis	Proboscia alata	Rhizosolenia bergonii	Nitzschia panduriformis	Bacteriastrum hyalinum	Thalassiosira trifulta	Thalassiosira gravida vegetative	Thalassiosira eccentrica	Proboscia curvirostris	Thalassiosira nordenskioeldii	Nitzschia bicapitata	Neodenticula seminae	Coscinodiscus radiatus	Comment
  IR	                 	Pleistocene      	                  	N. seminae    	162	 983	A	 12	H	 2	  49.00	    104.3900	Koc      	Diatoms                                      	F              	P                 	F                        	                       	                     	                     	                           	                           	                    	                     	                                  	                                 	                    	R               	R                       	F                                	                    	                     	                       	                           	                     	                  	                      	                  	                     	                      	                 	                        	               	                     	                       	                      	                      	R                               	                        	                      	                             	                    	R                   	                      	from 162SR. Ch 4. Table 1.

  IR	                 	Pleistocene      	                  	N. seminae    	162	 983	A	 12	H	 4	  49.00	    107.3900	Koc      	Diatoms                                      	A              	G                 	C                        	C                      	                     	R                    	F                          	C                          	                    	R                    	A                                 	                                 	R                   	                	R                       	A                                	                    	                     	F                      	                           	                     	F                 	R                     	                  	                     	                      	                 	                        	               	                     	                       	                      	                      	                                	                        	C                     	                             	                    	A                   	                      	from 162SR. Ch 4. Table 1.

  IR	                 	Pleistocene      	                  	N. seminae    	162	 983	A	 12	H	 6	  49.00	    110.3900	Koc      	Diatoms                                      	A              	M                 	C                        	F                      	                     	R                    	F                          	                           	                    	                     	C                                 	R                                	                    	                	F                       	C                                	                    	F                    	F                      	R                          	                     	C                 	R                     	                  	                     	                      	                 	                        	               	                     	                       	                      	                      	F                               	                        	                      	                             	                    	A                   	                      	from 162SR. Ch 4. Table 1.

  IR	                 	Pleistocene      	                  	N. seminae    	162	 983	A	 12	H	 7	  49.00	    111.8900	Koc      	Diatoms                                      	A              	G                 	C                        	C                      	                     	                     	F                          	F                          	                    	                     	F                                 	                                 	R                   	                	                        	A                                	                    	                     	                       	                           	                     	C                 	                      	                  	                     	F                     	                 	                        	R              	                     	                       	F                     	                      	C                               	                        	C                     	                             	                    	A                   	                      	from 162SR. Ch 4. Table 1.

  IR	                 	Pleistocene      	                  	N. seminae    	162	 983	A	 13	H	 1	  49.00	    112.3900	Koc      	Diatoms                                      	C              	M                 	C                        	F                      	                     	F                    	R                          	                           	                    	                     	C                                 	R                                	                    	                	F                       	C                                	                    	                     	F                      	R                          	                     	F                 	                      	                  	                     	                      	                 	                        	               	                     	                       	                      	R                     	F                               	                        	F                     	                             	                    	C                   	                      	from 162SR. Ch 4. Table 1.

  IR	                 	Pleistocene      	                  	N. seminae    	162	 983	A	 13	H	 2	  49.00	    113.8900	Koc      	Diatoms                                      	C              	M                 	F                        	F                      	                     	                     	R                          	                           	                    	                     	                                  	                                 	                    	                	F                       	C                                	                    	                     	F                      	                           	                     	F                 	                      	                  	                     	                      	                 	                        	               	                     	                       	R                     	                      	                                	                        	R                     	                             	                    	C                   	                      	from 162SR. Ch 4. Table 1.

  IR	                 	Pleistocene      	                  	N. seminae    	162	 983	A	 13	H	 3	  49.00	    115.3900	Koc      	Diatoms                                      	C              	M                 	F                        	F                      	                     	                     	F                          	                           	                    	                     	C                                 	F                                	                    	                	R                       	C                                	                    	                     	F                      	                           	                     	F                 	                      	                  	                     	                      	                 	                        	               	                     	                       	                      	                      	F                               	                        	R                     	                             	                    	C                   	                      	from 162SR. Ch 4. Table 1.

  IR	                 	Pleistocene      	                  	N. seminae    	162	 983	A	 13	H	 4	  49.00	    116.8900	Koc      	Diatoms                                      	C              	M                 	F                        	                       	                     	R                    	F                          	                           	                    	                     	C                                 	F                                	                    	                	                        	C                                	                    	                     	F                      	                           	                     	                  	                      	                  	                     	                      	                 	                        	               	                     	                       	                      	F                     	                                	                        	C                     	                             	                    	C                   	                      	from 162SR. Ch 4. Table 1.

  IR	                 	Pleistocene      	                  	N. seminae    	162	 983	A	 13	H	 5	  49.00	    118.3900	Koc      	Diatoms                                      	A              	G                 	C                        	C                      	                     	R                    	                           	A                          	C                   	                     	F                                 	                                 	R                   	R               	                        	A                                	                    	                     	F                      	R                          	F                    	C                 	                      	                  	                     	R                     	F                	                        	R              	                     	R                      	R                     	                      	F                               	                        	F                     	                             	                    	A                   	                      	from 162SR. Ch 4. Table 1.

  IR	                 	Pleistocene      	                  	N. seminae    	162	 983	A	 13	H	 7	  49.00	    121.3900	Koc      	Diatoms                                      	A              	G                 	F                        	A                      	                     	                     	R                          	A                          	                    	                     	F                                 	                                 	R                   	                	R                       	C                                	                    	                     	F                      	R                          	                     	C                 	R                     	                  	                     	F                     	                 	                        	F              	                     	                       	R                     	                      	F                               	                        	F                     	                             	                    	A                   	                      	from 162SR. Ch 4. Table 1.

  IR	                 	Pleistocene      	                  	N. seminae    	162	 983	A	 14	H	 1	  49.00	    121.8900	Koc      	Diatoms                                      	A              	M                 	C                        	A                      	                     	                     	F                          	C                          	F                   	                     	F                                 	                                 	F                   	                	R                       	A                                	                    	                     	F                      	R                          	F                    	C                 	                      	                  	                     	                      	                 	                        	F              	                     	                       	                      	                      	F                               	                        	F                     	                             	                    	A                   	                      	from 162SR. Ch 4. Table 1.

  IR	                 	Pleistocene      	                  	N. seminae    	162	 983	A	 14	H	 3	  49.00	    124.8900	Koc      	Diatoms                                      	C              	M                 	C                        	R                      	                     	R                    	                           	                           	F                   	                     	F                                 	                                 	                    	                	                        	C                                	                    	R                    	                       	                           	                     	F                 	                      	                  	                     	                      	                 	                        	               	                     	                       	                      	                      	F                               	                        	R                     	                             	                    	C                   	                      	from 162SR. Ch 4. Table 1.

  IR	                 	Pleistocene      	                  	N. seminae    	162	 983	A	 14	H	 5	  49.00	    127.8900	Koc      	Diatoms                                      	R              	P                 	                         	                       	                     	                     	                           	                           	                    	                     	                                  	                                 	                    	                	                        	R                                	                    	                     	                       	                           	                     	                  	                      	                  	                     	                      	                 	                        	               	                     	                       	                      	                      	                                	                        	                      	                             	                    	                    	                      	from 162SR. Ch 4. Table 1.

  IR	                 	Pleistocene      	                  	N. seminae    	162	 983	A	 14	H	 6	  49.00	    129.3900	Koc      	Diatoms                                      	C              	M                 	F                        	                       	                     	F                    	F                          	                           	R                   	                     	C                                 	                                 	                    	                	                        	                                 	R                   	R                    	F                      	                           	                     	                  	                      	                  	                     	                      	                 	                        	               	                     	                       	                      	                      	R                               	                        	C                     	                             	                    	C                   	                      	from 162SR. Ch 4. Table 1.

  IR	                 	Pleistocene      	                  	N. seminae    	162	 983	A	 14	H	 7	  49.00	    130.8900	Koc      	Diatoms                                      	A              	M                 	C                        	C                      	                     	R                    	F                          	                           	C                   	R                    	F                                 	R                                	                    	R               	                        	A                                	                    	                     	F                      	R                          	                     	R                 	R                     	                  	                     	                      	                 	R                       	               	                     	                       	                      	                      	                                	                        	F                     	                             	                    	A                   	                      	from 162SR. Ch 4. Table 1.

  IR	                 	Pleistocene      	                  	N. seminae    	162	 983	A	 15	H	 1	  49.00	    131.3900	Koc      	Diatoms                                      	A              	M                 	A                        	F                      	                     	F                    	F                          	F                          	C                   	                     	C                                 	                                 	                    	                	                        	A                                	                    	                     	                       	                           	F                    	C                 	                      	                  	                     	                      	                 	F                       	               	                     	                       	R                     	                      	C                               	                        	C                     	                             	                    	A                   	                      	from 162SR. Ch 4. Table 1.

  IR	                 	Pleistocene      	                  	N. seminae    	162	 983	A	 15	H	 2	  49.00	    132.8900	Koc      	Diatoms                                      	C              	P                 	F                        	C                      	                     	R                    	                           	R                          	                    	                     	                                  	                                 	                    	                	                        	C                                	                    	                     	                       	                           	                     	F                 	                      	                  	                     	                      	                 	                        	R              	                     	                       	                      	                      	F                               	                        	F                     	                             	                    	C                   	                      	from 162SR. Ch 4. Table 1.

  IR	                 	Pleistocene      	                  	N. seminae    	162	 983	A	 15	H	 6	  49.00	    138.8900	Koc      	Diatoms                                      	F              	P                 	R                        	                       	                     	                     	                           	                           	                    	                     	                                  	R                                	                    	                	R                       	F                                	                    	                     	F                      	                           	                     	                  	                      	                  	                     	                      	                 	                        	               	                     	                       	                      	F                     	                                	                        	                      	                             	                    	R                   	                      	from 162SR. Ch 4. Table 1.

  IR	                 	Pleistocene      	                  	N. seminae    	162	 983	A	 15	H	 7	  49.00	    140.3900	Koc      	Diatoms                                      	F              	P                 	F                        	F                      	                     	                     	R                          	                           	                    	                     	                                  	                                 	                    	                	R                       	                                 	                    	                     	                       	                           	                     	R                 	                      	                  	                     	                      	                 	                        	               	                     	                       	                      	                      	                                	                        	R                     	                             	                    	F                   	                      	from 162SR. Ch 4. Table 1.

  IR	                 	Pleistocene      	                  	N. seminae    	162	 983	A	 16	H	 1	  49.00	    140.8900	Koc      	Diatoms                                      	A              	G                 	C                        	C                      	                     	                     	R                          	A                          	C                   	                     	C                                 	                                 	F                   	                	F                       	A                                	                    	                     	                       	R                          	                     	R                 	                      	                  	                     	C                     	                 	                        	R              	R                    	                       	                      	                      	                                	R                       	C                     	                             	R                   	A                   	                      	from 162SR. Ch 4. Table 1.

  IR	Late Pliocene    	Pleistocene      	                  	N. reinholdii 	162	 983	A	 16	H	 2	  49.00	    142.3900	Koc      	Diatoms                                      	C              	M                 	F                        	C                      	                     	                     	                           	C                          	C                   	                     	                                  	R                                	                    	                	                        	C                                	                    	                     	                       	R                          	                     	F                 	                      	                  	                     	C                     	                 	                        	R              	                     	                       	F                     	                      	R                               	                        	C                     	                             	                    	                    	                      	from 162SR. Ch 4. Table 1.

  IR	Late Pliocene    	Pleistocene      	                  	N. reinholdii 	162	 983	A	 16	H	 5	  49.00	    146.8900	Koc      	Diatoms                                      	C              	P                 	F                        	C                      	                     	R                    	R                          	F                          	                    	                     	R                                 	                                 	                    	                	R                       	C                                	                    	                     	                       	R                          	                     	                  	R                     	                  	                     	                      	                 	                        	               	                     	                       	                      	                      	R                               	                        	F                     	                             	                    	                    	                      	from 162SR. Ch 4. Table 1.

  IR	Late Pliocene    	Pleistocene      	                  	N. reinholdii 	162	 983	A	 17	H	 1	  49.00	    150.3900	Koc      	Diatoms                                      	A              	G                 	C                        	C                      	                     	                     	F                          	C                          	                    	                     	F                                 	F                                	R                   	                	R                       	F                                	                    	                     	R                      	                           	R                    	R                 	                      	                  	                     	R                     	                 	                        	R              	                     	F                      	                      	                      	                                	                        	F                     	                             	                    	                    	                      	from 162SR. Ch 4. Table 1.

  IR	Late Pliocene    	Pleistocene      	                  	N. reinholdii 	162	 983	A	 17	H	 3	  49.00	    153.3900	Koc      	Diatoms                                      	A              	M                 	C                        	C                      	                     	                     	F                          	C                          	                    	                     	F                                 	R                                	R                   	                	                        	A                                	                    	                     	F                      	R                          	R                    	                  	                      	                  	                     	R                     	                 	                        	R              	                     	                       	                      	                      	                                	                        	                      	                             	                    	                    	                      	from 162SR. Ch 4. Table 1.

  IR	Late Pliocene    	Pleistocene      	                  	N. reinholdii 	162	 983	A	 17	H	 5	  49.00	    156.3900	Koc      	Diatoms                                      	A              	M                 	C                        	A                      	                     	                     	                           	A                          	F                   	                     	C                                 	                                 	                    	                	R                       	A                                	                    	                     	                       	R                          	                     	R                 	                      	                  	                     	R                     	R                	                        	R              	                     	                       	                      	                      	                                	                        	C                     	R                            	                    	                    	                      	from 162SR. Ch 4. Table 1.

  IR	Late Pliocene    	Pleistocene      	                  	N. reinholdii 	162	 983	A	 17	H	 6	  49.00	    157.8900	Koc      	Diatoms                                      	A              	M                 	C                        	C                      	                     	                     	                           	A                          	C                   	                     	F                                 	                                 	                    	                	F                       	A                                	                    	                     	                       	                           	F                    	F                 	                      	                  	                     	                      	                 	                        	F              	F                    	                       	                      	                      	                                	F                       	C                     	                             	                    	                    	                      	from 162SR. Ch 4. Table 1.

  IR	Late Pliocene    	Pleistocene      	                  	N. reinholdii 	162	 983	A	 17	H	 7	  49.00	    159.3900	Koc      	Diatoms                                      	A              	M                 	C                        	C                      	                     	R                    	R                          	C                          	C                   	                     	F                                 	                                 	                    	R               	C                       	A                                	R                   	                     	F                      	R                          	R                    	F                 	                      	                  	                     	                      	                 	                        	               	                     	                       	R                     	                      	F                               	                        	C                     	R                            	                    	                    	                      	from 162SR. Ch 4. Table 1.

  IR	Late Pliocene    	Pleistocene      	                  	N. reinholdii 	162	 983	A	 18	H	 1	  49.00	    159.8900	Koc      	Diatoms                                      	A              	M                 	C                        	A                      	                     	                     	                           	                           	F                   	                     	F                                 	                                 	R                   	R               	F                       	A                                	                    	                     	C                      	R                          	R                    	F                 	                      	                  	                     	R                     	                 	                        	               	                     	                       	R                     	                      	C                               	                        	A                     	R                            	                    	                    	                      	from 162SR. Ch 4. Table 1.

  IR	Late Pliocene    	Pleistocene      	                  	N. reinholdii 	162	 983	A	 18	H	 2	  49.00	    161.3900	Koc      	Diatoms                                      	F              	P                 	R                        	R                      	                     	                     	                           	                           	                    	                     	R                                 	                                 	                    	                	F                       	                                 	                    	                     	                       	R                          	                     	                  	                      	                  	                     	                      	                 	                        	               	                     	                       	                      	                      	                                	                        	                      	                             	                    	                    	                      	from 162SR. Ch 4. Table 1.

  IR	Late Pliocene    	Pleistocene      	                  	N. reinholdii 	162	 983	A	 18	H	 3	  49.00	    162.8900	Koc      	Diatoms                                      	F              	P                 	R                        	                       	                     	                     	                           	                           	                    	                     	R                                 	                                 	                    	                	                        	                                 	                    	                     	R                      	R                          	                     	                  	                      	                  	                     	                      	                 	                        	               	                     	                       	                      	                      	                                	                        	                      	                             	                    	                    	                      	from 162SR. Ch 4. Table 1.

  IR	Late Pliocene    	Pleistocene      	                  	N. reinholdii 	162	 983	A	 18	H	 4	  49.00	    164.3900	Koc      	Diatoms                                      	A              	M                 	C                        	C                      	                     	R                    	F                          	                           	F                   	                     	C                                 	R                                	                    	                	                        	A                                	                    	                     	F                      	                           	                     	R                 	                      	                  	                     	                      	                 	                        	               	                     	                       	                      	                      	C                               	R                       	F                     	                             	                    	                    	                      	from 162SR. Ch 4. Table 1.

  IR	Late Pliocene    	Pleistocene      	                  	N. reinholdii 	162	 983	A	 18	H	 5	  49.00	    165.8900	Koc      	Diatoms                                      	A              	M                 	C                        	C                      	                     	F                    	F                          	A                          	F                   	R                    	C                                 	                                 	R                   	                	R                       	A                                	                    	                     	F                      	R                          	                     	F                 	                      	                  	                     	R                     	                 	                        	               	                     	                       	                      	                      	                                	R                       	C                     	F                            	                    	                    	                      	from 162SR. Ch 4. Table 1.

  IR	Late Pliocene    	Pleistocene      	                  	N. reinholdii 	162	 983	A	 18	H	 7	  49.00	    168.8900	Koc      	Diatoms                                      	R              	P                 	R                        	                       	                     	                     	                           	                           	                    	                     	R                                 	                                 	                    	                	                        	                                 	                    	                     	                       	                           	                     	                  	                      	                  	                     	                      	                 	                        	               	                     	                       	                      	                      	                                	                        	                      	                             	                    	                    	                      	from 162SR. Ch 4. Table 1.

  IR	Late Pliocene    	Pleistocene      	                  	N. reinholdii 	162	 983	A	 19	H	 1	  49.00	    169.3900	Koc      	Diatoms                                      	C              	P                 	F                        	F                      	                     	                     	                           	F                          	                    	                     	                                  	                                 	                    	                	                        	C                                	                    	                     	                       	R                          	                     	                  	                      	                  	                     	                      	                 	                        	               	                     	                       	                      	                      	                                	                        	C                     	                             	                    	                    	                      	from 162SR. Ch 4. Table 1.

  IR	Late Pliocene    	Pleistocene      	                  	N. reinholdii 	162	 983	A	 19	H	 2	  49.00	    170.8900	Koc      	Diatoms                                      	A              	P                 	C                        	                       	R                    	                     	F                          	A                          	C                   	                     	F                                 	                                 	R                   	                	C                       	A                                	R                   	                     	R                      	                           	R                    	F                 	                      	                  	                     	                      	                 	                        	F              	                     	                       	                      	                      	                                	                        	C                     	                             	                    	                    	                      	from 162SR. Ch 4. Table 1.

  IR	Late Pliocene    	Pleistocene      	                  	N. reinholdii 	162	 983	A	 19	H	 3	  49.00	    172.3900	Koc      	Diatoms                                      	A              	G                 	C                        	F                      	                     	                     	F                          	A                          	F                   	                     	F                                 	                                 	R                   	                	C                       	A                                	R                   	R                    	                       	F                          	F                    	F                 	                      	                  	                     	R                     	                 	R                       	F              	                     	                       	                      	                      	F                               	                        	C                     	                             	                    	                    	                      	from 162SR. Ch 4. Table 1.

  IR	Late Pliocene    	Pleistocene      	                  	N. reinholdii 	162	 983	A	 19	H	 4	  49.00	    173.8900	Koc      	Diatoms                                      	A              	M                 	C                        	C                      	F                    	                     	F                          	A                          	C                   	                     	F                                 	                                 	F                   	                	C                       	A                                	                    	                     	                       	                           	                     	F                 	                      	                  	                     	                      	                 	                        	C              	                     	                       	                      	                      	                                	R                       	A                     	R                            	                    	                    	                      	from 162SR. Ch 4. Table 1.

  IR	Late Pliocene    	Pleistocene      	                  	N. reinholdii 	162	 983	A	 19	H	 5	  49.00	    175.3900	Koc      	Diatoms                                      	F              	P                 	F                        	                       	                     	                     	                           	                           	                    	                     	                                  	                                 	                    	                	                        	F                                	                    	                     	                       	                           	                     	                  	                      	                  	                     	                      	                 	                        	               	                     	                       	                      	                      	                                	                        	                      	                             	                    	                    	                      	from 162SR. Ch 4. Table 1.

  IR	Late Pliocene    	Pleistocene      	                  	N. reinholdii 	162	 983	A	 19	H	 6	  49.00	    176.8900	Koc      	Diatoms                                      	A              	M                 	F                        	C                      	C                    	F                    	C                          	                           	                    	R                    	C                                 	                                 	R                   	                	A                       	A                                	R                   	R                    	                       	                           	                     	F                 	                      	                  	                     	R                     	                 	                        	               	                     	                       	                      	                      	                                	F                       	A                     	F                            	                    	                    	                      	from 162SR. Ch 4. Table 1.

  IR	Late Pliocene    	Pleistocene      	                  	N. reinholdii 	162	 983	A	 19	H	 7	  49.00	    178.3900	Koc      	Diatoms                                      	C              	P                 	F                        	F                      	                     	                     	                           	                           	                    	                     	C                                 	                                 	                    	                	R                       	C                                	                    	                     	                       	R                          	                     	                  	                      	                  	                     	                      	                 	                        	R              	                     	                       	                      	                      	                                	                        	C                     	R                            	                    	                    	                      	from 162SR. Ch 4. Table 1.

  IR	Late Pliocene    	Pleistocene      	                  	N. reinholdii 	162	 983	A	 20	H	 1	  49.00	    178.8900	Koc      	Diatoms                                      	A              	M                 	C                        	A                      	                     	                     	                           	A                          	                    	                     	R                                 	                                 	F                   	R               	F                       	A                                	                    	                     	                       	R                          	R                    	C                 	                      	                  	                     	                      	                 	                        	               	                     	                       	R                     	                      	                                	R                       	C                     	                             	                    	                    	                      	from 162SR. Ch 4. Table 1.

  IR	Late Pliocene    	Pleistocene      	                  	N. reinholdii 	162	 983	A	 20	H	 2	  49.00	    180.3900	Koc      	Diatoms                                      	A              	M                 	C                        	C                      	R                    	                     	                           	A                          	F                   	                     	R                                 	                                 	                    	R               	C                       	A                                	                    	                     	                       	                           	                     	F                 	                      	                  	                     	                      	                 	                        	R              	                     	                       	                      	                      	                                	                        	C                     	                             	                    	                    	                      	from 162SR. Ch 4. Table 1.

  IR	Late Pliocene    	Pleistocene      	                  	N. reinholdii 	162	 983	A	 20	H	 3	  49.00	    181.8900	Koc      	Diatoms                                      	F              	P                 	R                        	                       	                     	                     	                           	F                          	                    	                     	F                                 	                                 	                    	R               	                        	F                                	                    	                     	R                      	                           	                     	                  	                      	                  	                     	                      	                 	                        	               	                     	                       	                      	                      	                                	                        	F                     	                             	                    	                    	                      	from 162SR. Ch 4. Table 1.

  IR	Late Pliocene    	Pleistocene      	                  	N. reinholdii 	162	 983	A	 20	H	 5	  49.00	    184.8900	Koc      	Diatoms                                      	A              	G                 	C                        	C                      	                     	R                    	F                          	A                          	                    	                     	F                                 	R                                	F                   	                	F                       	A                                	                    	                     	C                      	R                          	R                    	R                 	                      	                  	                     	R                     	                 	                        	               	                     	                       	                      	                      	F                               	R                       	C                     	                             	                    	                    	                      	from 162SR. Ch 4. Table 1.

  IR	Late Pliocene    	Pleistocene      	                  	N. reinholdii 	162	 983	A	 20	H	 6	  49.00	    186.3900	Koc      	Diatoms                                      	F              	P                 	R                        	R                      	                     	                     	                           	R                          	                    	                     	F                                 	R                                	                    	                	R                       	F                                	                    	                     	                       	                           	                     	                  	                      	                  	                     	                      	                 	                        	               	                     	                       	                      	                      	R                               	                        	                      	                             	                    	                    	                      	from 162SR. Ch 4. Table 1.

  IR	Late Pliocene    	Pleistocene      	                  	N. reinholdii 	162	 983	A	 21	H	 1	  49.00	    188.3900	Koc      	Diatoms                                      	C              	P                 	C                        	F                      	                     	R                    	F                          	F                          	                    	                     	A                                 	F                                	                    	                	F                       	C                                	                    	                     	C                      	                           	                     	                  	                      	                  	                     	                      	                 	                        	               	                     	                       	                      	                      	                                	                        	                      	                             	                    	                    	                      	from 162SR. Ch 4. Table 1.

  IR	Late Pliocene    	Pleistocene      	                  	N. reinholdii 	162	 983	A	 21	H	 3	  49.00	    191.3900	Koc      	Diatoms                                      	A              	M                 	C                        	C                      	                     	R                    	F                          	F                          	                    	                     	C                                 	F                                	F                   	                	R                       	A                                	                    	                     	F                      	                           	R                    	R                 	                      	                  	                     	R                     	                 	R                       	F              	                     	                       	R                     	                      	                                	                        	                      	                             	                    	                    	                      	from 162SR. Ch 4. Table 1.

  IR	Late Pliocene    	Pleistocene      	                  	N. reinholdii 	162	 983	A	 21	H	 4	  49.00	    192.8900	Koc      	Diatoms                                      	C              	P                 	F                        	C                      	                     	                     	R                          	F                          	                    	                     	F                                 	                                 	R                   	                	F                       	C                                	                    	                     	C                      	                           	                     	R                 	                      	                  	                     	                      	                 	                        	               	                     	                       	                      	                      	                                	                        	                      	                             	                    	                    	                      	from 162SR. Ch 4. Table 1.

  IR	Late Pliocene    	Pleistocene      	                  	N. reinholdii 	162	 983	A	 21	H	 5	  49.00	    194.3900	Koc      	Diatoms                                      	C              	P                 	F                        	F                      	                     	                     	                           	F                          	                    	                     	C                                 	R                                	F                   	                	R                       	C                                	                    	                     	F                      	                           	                     	R                 	                      	                  	                     	                      	                 	                        	               	                     	                       	                      	                      	                                	                        	                      	                             	                    	                    	                      	from 162SR. Ch 4. Table 1.

  IR	Late Pliocene    	Pleistocene      	                  	N. reinholdii 	162	 983	A	 21	H	 6	  49.00	    195.8900	Koc      	Diatoms                                      	F              	P                 	F                        	                       	R                    	F                    	R                          	                           	                    	                     	F                                 	                                 	                    	                	R                       	F                                	                    	                     	F                      	                           	                     	                  	                      	                  	                     	                      	                 	                        	               	                     	                       	                      	                      	                                	                        	                      	                             	                    	                    	                      	from 162SR. Ch 4. Table 1.

  IR	Late Pliocene    	Pleistocene      	                  	N. reinholdii 	162	 983	A	 21	H	 7	  49.00	    197.3900	Koc      	Diatoms                                      	F              	P                 	R                        	                       	R                    	                     	                           	                           	                    	                     	F                                 	                                 	                    	                	                        	                                 	                    	                     	R                      	                           	                     	                  	                      	                  	                     	                      	                 	                        	               	                     	                       	                      	                      	                                	                        	                      	                             	                    	                    	                      	from 162SR. Ch 4. Table 1.

  IR	Late Pliocene    	Pleistocene      	                  	N. reinholdii 	162	 983	A	 22	H	 1	  49.00	    197.8900	Koc      	Diatoms                                      	C              	P                 	R                        	F                      	F                    	R                    	                           	F                          	R                   	                     	                                  	                                 	                    	                	R                       	C                                	                    	                     	F                      	                           	R                    	                  	                      	                  	                     	                      	                 	                        	F              	                     	                       	                      	                      	R                               	                        	                      	                             	                    	                    	                      	from 162SR. Ch 4. Table 1.

  IR	Late Pliocene    	Pleistocene      	                  	N. reinholdii 	162	 983	A	 22	H	 3	  49.00	    200.8900	Koc      	Diatoms                                      	C              	M                 	C                        	C                      	F                    	R                    	F                          	C                          	                    	                     	C                                 	R                                	F                   	                	                        	C                                	                    	                     	F                      	                           	                     	R                 	F                     	                  	                     	                      	                 	                        	F              	                     	                       	                      	                      	                                	                        	                      	                             	                    	                    	                      	from 162SR. Ch 4. Table 1.

  IR	Late Pliocene    	Pleistocene      	                  	N. reinholdii 	162	 983	A	 22	H	 4	  49.00	    202.3900	Koc      	Diatoms                                      	A              	M                 	C                        	A                      	R                    	                     	F                          	C                          	                    	                     	F                                 	                                 	                    	R               	R                       	A                                	                    	                     	C                      	                           	R                    	R                 	R                     	                  	                     	                      	                 	                        	               	                     	                       	                      	                      	                                	                        	                      	                             	                    	                    	                      	from 162SR. Ch 4. Table 1.

  IR	Late Pliocene    	Pleistocene      	                  	N. reinholdii 	162	 983	A	 22	H	 5	  49.00	    203.8900	Koc      	Diatoms                                      	A              	M                 	F                        	C                      	                     	F                    	F                          	C                          	                    	                     	C                                 	F                                	R                   	                	R                       	A                                	                    	                     	C                      	                           	                     	R                 	R                     	                  	                     	R                     	                 	                        	               	                     	F                      	                      	                      	                                	                        	                      	                             	                    	                    	                      	from 162SR. Ch 4. Table 1.

  IR	Late Pliocene    	Pleistocene      	                  	N. reinholdii 	162	 983	A	 22	H	 6	  49.00	    205.3900	Koc      	Diatoms                                      	C              	P                 	F                        	C                      	                     	R                    	R                          	F                          	                    	                     	F                                 	                                 	                    	R               	R                       	C                                	                    	                     	F                      	                           	                     	R                 	R                     	                  	                     	                      	                 	                        	               	                     	                       	                      	                      	                                	                        	                      	                             	                    	                    	                      	from 162SR. Ch 4. Table 1.

  IR	Late Pliocene    	Pleistocene      	                  	N. reinholdii 	162	 983	A	 22	H	 7	  49.00	    206.8900	Koc      	Diatoms                                      	C              	M                 	C                        	C                      	R                    	R                    	F                          	C                          	                    	                     	C                                 	R                                	                    	                	R                       	C                                	                    	                     	F                      	                           	                     	                  	                      	                  	R                    	                      	                 	                        	               	                     	                       	                      	                      	                                	                        	                      	                             	                    	                    	                      	from 162SR. Ch 4. Table 1.

  IR	Late Pliocene    	Pleistocene      	                  	N. reinholdii 	162	 983	A	 23	H	 1	  49.00	    207.3900	Koc      	Diatoms                                      	C              	M                 	F                        	F                      	R                    	                     	                           	F                          	                    	                     	C                                 	                                 	                    	                	F                       	C                                	                    	                     	C                      	R                          	                     	                  	                      	                  	R                    	                      	                 	                        	               	                     	                       	                      	                      	                                	                        	                      	                             	                    	                    	                      	from 162SR. Ch 4. Table 1.

  IR	Late Pliocene    	Pleistocene      	                  	N. reinholdii 	162	 983	A	 23	H	 2	  49.00	    208.8900	Koc      	Diatoms                                      	C              	M                 	F                        	C                      	R                    	R                    	                           	F                          	                    	                     	C                                 	                                 	                    	                	F                       	C                                	                    	                     	F                      	                           	R                    	R                 	                      	                  	                     	                      	                 	                        	               	                     	                       	                      	                      	                                	                        	                      	                             	                    	                    	                      	from 162SR. Ch 4. Table 1.

  IR	Late Pliocene    	Pleistocene      	                  	N. reinholdii 	162	 983	A	 23	H	 3	  49.00	    210.3900	Koc      	Diatoms                                      	A              	M                 	F                        	A                      	R                    	R                    	C                          	A                          	                    	                     	F                                 	                                 	R                   	                	F                       	A                                	                    	C                    	F                      	R                          	R                    	R                 	R                     	                  	                     	R                     	                 	                        	R              	                     	                       	                      	                      	                                	                        	                      	                             	                    	                    	                      	from 162SR. Ch 4. Table 1.

