Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Sphenolithus heteromorphus	Reticulofenestra minutula	Reticulofenestra haqii	Orthorhabdus serratus	Helicosphaera mediterranea	Helicosphaera kamptneri	Discoaster variabilis	Discoaster petaliformis	Discoaster exilis	Discoaster druggii	Cyclicargolithus floridanus	Coronocyclus nitescens (circular)	Coccolithus pelagicus	Triquetrorhabdulus auritus	Sphenolithus abies	Solidopons petrae	Pontosphaera multipora	Helicosphaera granulata	Coccolithus eopelagicus	Discoaster sanmiguelensis	Discoaster deflandrei	Triquetrorhabdulus rugosus	Reticulofenestra pseudoumbilicus	Helicosphaera intermedia	Geminilithella rotula	Discoaster signus	Coronocyclus nitescens (oval)	Calcidiscus premacintyrei	Calcidiscus macintyrei	Discoaster moorei	Calcidiscus leptoporus	Sphenolithus moriformis	Scapholithus fossilis	Discoaster kugleri	Discoaster braarudii	Discoaster bollii	Syracosphaera? fragilis	Discoaster toralis	Coccolithus miopelagicus	Discoaster triradiatus	Pontosphaera japonica	Helicosphaera stalis	Reticulofenestra ampliumbilicus	Catinaster mexicanus	Discoaster brouweri	Catinaster coalitus	Helicosphaera orientalis	Discoaster prepentaradiatus	Discoaster hamatus	Helicosphaera pacifica	Discoaster pseudovariabilis	Helicosphaera obliqua	Catinaster calyculus	Discoaster loeblichii	Discoaster tristellifer	Sphenolithus neoabies	Discoaster pentaradiatus	Discoaster calcaris	Quadrum giganteum	Discoaster neohamatus	Minylitha convallis	Discoaster neorectus	Discoaster asymmetricus	Discoaster berggrenii	Reticulofenestra minuta	Helicosphaera rhomba	Helicosphaera burkei	Discoaster surculus	Discoaster challengeri	Discoaster quinqueramus	Amaurolithus delicatus	Triquetrorhabdulus farnsworthii	Amaurolithus tricorniculatus	Amaurolithus primus	Reticulofenestra rotaria	Helicosphaera sellii	Discoaster tamalis	Amaurolithus amplificus	Discoaster subsurculus	Syracosphaera pulchra	Florisphaera profunda	Discoaster pansus	Ceratolithus armatus/rugosus	Ceratolithus armatus	Ceratolithus rugosus	Rhabdosphaera clavigera	Coccolithus pelagicus (w/ bar)	Ceratolithus separatus	Pontosphaera indooceanica	Pseudoemiliania lacunosa (small)	Gephyrocapsa spp. (small)	Gephyrocapsa aperta	Pseudoemiliania lacunosa	Pontosphaera plana	Discoaster blackstockae	Discoaster decorus	Helicosphaera scissura	Helicosphaera elongata	Reticulofenestra astoni	Umbilicosphaera sibogae	Ceratolithus cristatus	Helicosphaera inversa	Gephyrocapsa caribbeanica	Comment

  SR	Early Pliocene   	                 	CN11b             	              	159	 959	B	  6	H	 2	  59.00	     45.0900	Shafik   	Nannofossils                                 	A              	G                 	                          	                         	                      	                     	+                         	+                      	+                    	                       	                 	                  	                           	                                 	+                    	                          	                  	                 	                      	                       	                       	                         	                     	                          	+                               	                        	+                    	                 	                             	                         	+                     	                 	                      	                       	                     	                  	                    	                 	                       	                  	                        	                      	R                    	                    	                               	                    	F                  	                   	                        	                           	                  	                      	                           	                     	                    	                     	                       	                     	F                       	                   	                 	                     	                   	                    	                       	                     	+                      	                    	                    	R                  	                      	                       	                      	                               	                            	                   	                        	                    	+                 	                       	                      	                     	                     	                 	                            	                    	+                   	                       	                              	                      	                         	                                	                         	                   	+                       	                  	                       	                  	                      	                      	                       	                       	                      	                     	                         	From Leg 159SR Ch 37 Table 2

  SR	Early Pliocene   	                 	CN11b             	              	159	 959	B	  6	H	 3	  59.00	     46.5900	Shafik   	Nannofossils                                 	A              	G                 	                          	+                        	                      	                     	+                         	                       	                     	                       	                 	                  	                           	                                 	+                    	                          	                  	                 	+                     	                       	                       	                         	                     	                          	+                               	                        	+                    	                 	                             	                         	+                     	                 	+                     	                       	                     	                  	                    	                 	                       	                  	                        	                      	                     	                    	                               	                    	C                  	                   	                        	                           	                  	                      	                           	                     	                    	                     	                       	                     	C                       	                   	                 	                     	                   	                    	                       	                     	                       	                    	                    	F                  	                      	                       	                      	                               	                            	                   	                        	                    	R                 	                       	                      	                     	                     	                 	                            	                    	                    	+                      	                              	                      	R                        	                                	                         	                   	F                       	                  	                       	                  	                      	                      	                       	                       	                      	                     	                         	From Leg 159SR Ch 37 Table 2

  SR	Early Pliocene   	                 	CN11b             	              	159	 959	B	  6	H	 4	  59.00	     48.0900	Shafik   	Nannofossils                                 	A              	G                 	                          	C                        	                      	                     	                          	+                      	                     	                       	                 	                  	                           	                                 	+                    	                          	+                 	                 	                      	                       	                       	                         	                     	                          	                                	                        	+                    	                 	                             	                         	+                     	                 	+                     	                       	                     	                  	                    	                 	                       	                  	                        	                      	                     	                    	                               	                    	+                  	                   	                        	                           	                  	                      	                           	                     	                    	                     	                       	+                    	+                       	                   	                 	                     	                   	                    	F                      	                     	                       	                    	                    	+                  	                      	                       	                      	                               	                            	                   	                        	F                   	                  	                       	                      	                     	                     	                 	                            	                    	                    	+                      	                              	                      	+                        	                                	                         	                   	F                       	F                 	                       	                  	                      	                      	                       	                       	                      	                     	                         	From Leg 159SR Ch 37 Table 2

  SR	Early Pliocene   	                 	CN11b             	              	159	 959	B	  6	H	 6	  59.00	     51.0900	Shafik   	Nannofossils                                 	A              	G                 	                          	                         	                      	                     	                          	+                      	+                    	                       	                 	                  	                           	                                 	+                    	                          	+                 	                 	+                     	                       	                       	                         	                     	                          	                                	                        	+                    	                 	                             	                         	+                     	                 	+                     	                       	+                    	                  	                    	                 	                       	                  	                        	+                     	+                    	                    	                               	                    	+                  	                   	                        	                           	                  	                      	                           	                     	                    	                     	                       	+                    	+                       	                   	                 	                     	                   	                    	C                      	                     	                       	                    	                    	+                  	                      	                       	                      	                               	                            	                   	                        	+                   	+                 	                       	                      	                     	C                    	                 	                            	                    	+                   	                       	                              	                      	                         	                                	A                        	C                  	+                       	                  	                       	                  	                      	                      	                       	                       	                      	                     	                         	From Leg 159SR Ch 37 Table 2

  SR	Early Pliocene   	                 	CN11b             	              	159	 959	B	  6	H	 7	  54.00	     52.5400	Shafik   	Nannofossils                                 	A              	G                 	                          	                         	                      	                     	                          	+                      	+                    	                       	                 	                  	                           	                                 	                     	                          	+                 	                 	+                     	                       	                       	                         	                     	                          	+                               	                        	+                    	                 	                             	                         	+                     	                 	+                     	                       	                     	                  	                    	                 	                       	                  	                        	                      	                     	                    	                               	                    	+                  	                   	                        	                           	                  	                      	                           	                     	                    	                     	                       	+                    	+                       	                   	                 	                     	                   	                    	                       	                     	                       	                    	                    	+                  	                      	                       	                      	                               	                            	                   	                        	                    	                  	                       	                      	                     	                     	                 	                            	                    	+                   	                       	                              	                      	+                        	                                	                         	                   	+                       	                  	                       	                  	                      	                      	                       	                       	                      	                     	                         	From Leg 159SR Ch 37 Table 2

  SR	Early Pliocene   	                 	CN11b             	              	159	 959	B	  7	H	 1	  59.00	     53.0900	Shafik   	Nannofossils                                 	A              	G                 	                          	                         	                      	                     	                          	+                      	                     	                       	                 	                  	                           	                                 	+                    	                          	+                 	                 	+                     	                       	                       	                         	                     	                          	+                               	                        	                     	                 	                             	                         	                      	                 	+                     	                       	                     	                  	                    	                 	                       	                  	                        	+                     	                     	                    	                               	                    	+                  	                   	                        	                           	                  	                      	                           	                     	                    	                     	                       	+                    	+                       	                   	                 	                     	                   	                    	                       	+                    	                       	                    	                    	                   	                      	                       	                      	                               	                            	                   	                        	                    	                  	                       	                      	                     	                     	                 	                            	                    	+                   	                       	                              	                      	                         	                                	                         	                   	R                       	                  	                       	                  	                      	                      	                       	                       	                      	                     	                         	From Leg 159SR Ch 37 Table 2

  SR	Early Pliocene   	                 	CN11b             	              	159	 959	B	  7	H	 2	  59.00	     54.5900	Shafik   	Nannofossils                                 	A              	G                 	                          	+                        	                      	                     	                          	+                      	+                    	                       	                 	                  	                           	                                 	+                    	                          	+                 	                 	+                     	                       	                       	                         	                     	                          	+                               	                        	+                    	                 	                             	                         	                      	                 	+                     	                       	                     	                  	                    	                 	                       	                  	                        	+                     	+                    	                    	                               	                    	                   	                   	                        	                           	                  	                      	                           	                     	                    	                     	                       	+                    	+                       	                   	                 	                     	                   	                    	                       	                     	                       	                    	                    	+                  	                      	+                      	                      	                               	                            	                   	                        	                    	                  	                       	                      	                     	                     	                 	                            	                    	                    	+                      	                              	                      	+                        	                                	                         	                   	+                       	                  	                       	                  	                      	                      	                       	                       	                      	                     	                         	From Leg 159SR Ch 37 Table 2

  SR	Early Pliocene   	                 	CN11a             	              	159	 959	B	  7	H	 3	  59.00	     56.0900	Shafik   	Nannofossils                                 	A              	G                 	                          	+                        	                      	                     	                          	C                      	+                    	                       	                 	                  	                           	                                 	+                    	                          	C                 	                 	                      	                       	                       	                         	                     	                          	F                               	                        	F                    	                 	                             	                         	F                     	                 	F                     	                       	                     	                  	                    	                 	                       	                  	                        	+                     	R                    	                    	                               	                    	F                  	                   	                        	                           	                  	                      	                           	                     	                    	                     	+                      	C                    	F                       	                   	                 	                     	                   	                    	                       	                     	C                      	                    	                    	                   	                      	                       	                      	                               	                            	                   	                        	                    	                  	                       	                      	                     	C                    	                 	                            	                    	+                   	R                      	                              	                      	                         	+                               	+                        	                   	                        	                  	                       	                  	                      	                      	                       	                       	                      	                     	                         	From Leg 159SR Ch 37 Table 2

  SR	Early Pliocene   	                 	CN11a             	              	159	 959	B	  7	H	 4	  59.00	     57.5900	Shafik   	Nannofossils                                 	A              	G                 	                          	C                        	                      	                     	                          	C                      	R                    	                       	                 	                  	                           	                                 	                     	                          	C                 	                 	R                     	                       	                       	                         	                     	                          	F                               	                        	F                    	                 	                             	                         	F                     	                 	F                     	                       	+                    	                  	F                   	                 	                       	                  	                        	                      	                     	                    	                               	                    	                   	                   	                        	                           	                  	                      	                           	                     	                    	                     	                       	C                    	C                       	                   	                 	                     	                   	                    	                       	                     	                       	                    	                    	F                  	                      	                       	                      	                               	                            	                   	                        	                    	                  	                       	                      	                     	C                    	                 	                            	                    	                    	R                      	                              	                      	                         	F                               	R                        	R                  	                        	                  	                       	                  	                      	                      	                       	                       	                      	                     	                         	From Leg 159SR Ch 37 Table 2

  SR	Early Pliocene   	                 	CN11a             	              	159	 959	B	  7	H	 5	  59.00	     59.0900	Shafik   	Nannofossils                                 	A              	G                 	                          	A                        	                      	                     	                          	C                      	+                    	                       	                 	                  	                           	                                 	+                    	                          	C                 	                 	R                     	                       	                       	                         	                     	                          	F                               	+                       	F                    	                 	                             	                         	R                     	                 	R                     	                       	                     	                  	                    	                 	                       	                  	                        	+                     	+                    	                    	                               	                    	F                  	                   	                        	                           	                  	                      	                           	                     	                    	                     	                       	C                    	C                       	                   	                 	                     	                   	                    	                       	                     	                       	                    	                    	F                  	                      	                       	                      	                               	                            	                   	                        	                    	                  	                       	                      	                     	                     	                 	                            	                    	R                   	                       	                              	                      	                         	F                               	                         	                   	                        	                  	                       	                  	                      	                      	                       	                       	                      	                     	                         	From Leg 159SR Ch 37 Table 2

  SR	Early Pliocene   	                 	CN11a             	              	159	 959	B	  7	H	 6	  59.00	     60.5900	Shafik   	Nannofossils                                 	A              	G                 	                          	C                        	                      	                     	                          	F                      	                     	                       	                 	                  	                           	                                 	                     	                          	C                 	                 	R                     	                       	                       	                         	                     	                          	F                               	                        	F                    	                 	                             	                         	R                     	                 	F                     	                       	                     	                  	                    	                 	                       	                  	                        	                      	R                    	                    	                               	                    	F                  	                   	                        	                           	                  	                      	                           	                     	                    	                     	                       	C                    	C                       	                   	                 	                     	                   	                    	                       	                     	F                      	                    	                    	F                  	                      	                       	                      	                               	                            	                   	                        	                    	                  	                       	                      	                     	C                    	                 	                            	                    	                    	                       	R                             	                      	                         	                                	                         	                   	                        	                  	                       	                  	                      	                      	                       	                       	                      	                     	                         	From Leg 159SR Ch 37 Table 2

  SR	Early Pliocene   	                 	CN11a             	              	159	 959	B	  7	H	 7	  59.00	     62.0900	Shafik   	Nannofossils                                 	A              	G                 	                          	+                        	                      	                     	                          	+                      	F                    	                       	                 	                  	                           	                                 	+                    	                          	+                 	                 	+                     	                       	                       	                         	                     	                          	+                               	                        	+                    	                 	                             	                         	+                     	                 	+                     	                       	                     	                  	                    	                 	                       	                  	                        	                      	                     	                    	                               	                    	C                  	                   	                        	                           	                  	                      	                           	                     	                    	                     	                       	+                    	A                       	                   	                 	                     	                   	                    	                       	                     	                       	                    	                    	C                  	                      	                       	                      	                               	                            	                   	                        	                    	                  	                       	                      	                     	                     	                 	                            	                    	                    	+                      	                              	                      	+                        	                                	                         	                   	                        	                  	                       	                  	                      	                      	                       	                       	                      	                     	                         	From Leg 159SR Ch 37 Table 2

  SR	Early Pliocene   	                 	CN11a             	              	159	 959	B	  8	H	 1	  59.00	     62.5900	Shafik   	Nannofossils                                 	A              	G                 	                          	A                        	                      	                     	                          	C                      	                     	                       	                 	                  	                           	                                 	                     	                          	C                 	                 	R                     	                       	                       	                         	                     	                          	C                               	                        	F                    	                 	                             	                         	                      	                 	R                     	                       	+                    	                  	                    	                 	                       	                  	                        	                      	                     	                    	                               	                    	F                  	                   	                        	                           	                  	                      	                           	                     	                    	                     	                       	C                    	+                       	                   	                 	                     	                   	                    	                       	                     	                       	                    	                    	                   	                      	                       	                      	                               	                            	                   	                        	                    	                  	                       	                      	                     	F                    	                 	                            	                    	                    	                       	F                             	                      	R                        	                                	                         	                   	                        	                  	                       	                  	                      	                      	                       	                       	                      	                     	                         	From Leg 159SR Ch 37 Table 2

  SR	Early Pliocene   	                 	CN11a             	              	159	 959	B	  8	H	 2	  59.00	     64.0900	Shafik   	Nannofossils                                 	A              	G                 	                          	F                        	                      	                     	                          	+                      	                     	                       	                 	                  	                           	                                 	F                    	                          	                  	                 	R                     	                       	                       	                         	                     	                          	C                               	+                       	F                    	                 	                             	                         	                      	                 	F                     	                       	+                    	                  	                    	                 	                       	                  	                        	                      	                     	                    	                               	                    	A                  	                   	                        	                           	                  	                      	                           	                     	                    	                     	                       	C                    	C                       	                   	                 	                     	                   	                    	                       	                     	A                      	                    	                    	F                  	                      	                       	                      	                               	                            	                   	                        	                    	                  	                       	                      	                     	                     	                 	                            	                    	+                   	                       	                              	                      	R                        	                                	                         	                   	                        	                  	                       	                  	                      	                      	                       	                       	                      	                     	                         	From Leg 159SR Ch 37 Table 2

  SR	Early Pliocene   	                 	CN11a             	              	159	 959	B	  8	H	 3	  59.00	     65.5900	Shafik   	Nannofossils                                 	A              	G                 	                          	                         	                      	                     	                          	A                      	                     	                       	                 	                  	                           	                                 	                     	                          	C                 	                 	R                     	                       	                       	                         	                     	                          	C                               	                        	R                    	                 	                             	                         	                      	                 	F                     	                       	                     	                  	                    	                 	                       	                  	                        	                      	R                    	                    	                               	                    	F                  	                   	                        	                           	                  	                      	                           	                     	                    	                     	                       	A                    	                        	                   	                 	                     	                   	                    	                       	                     	A                      	                    	                    	F                  	                      	                       	                      	                               	                            	                   	                        	                    	+                 	                       	                      	                     	                     	C                	                            	                    	+                   	                       	F                             	                      	+                        	                                	                         	                   	                        	                  	                       	                  	                      	                      	                       	                       	                      	                     	                         	From Leg 159SR Ch 37 Table 2

  SR	Early Pliocene   	                 	CN11a             	              	159	 959	B	  8	H	 4	  59.00	     67.0900	Shafik   	Nannofossils                                 	A              	G                 	                          	F                        	                      	                     	                          	A                      	                     	                       	                 	                  	                           	                                 	                     	                          	A                 	                 	R                     	                       	                       	                         	                     	                          	F                               	                        	F                    	                 	                             	                         	F                     	                 	F                     	                       	                     	                  	                    	                 	                       	                  	                        	R                     	                     	                    	                               	                    	C                  	                   	                        	                           	                  	                      	                           	                     	                    	                     	                       	A                    	A                       	                   	                 	                     	                   	                    	+                      	                     	A                      	                    	                    	F                  	+                     	                       	                      	                               	                            	                   	                        	                    	                  	                       	                      	                     	R                    	                 	                            	                    	                    	R                      	F                             	R                     	                         	                                	                         	                   	                        	                  	                       	                  	                      	                      	                       	                       	                      	                     	                         	From Leg 159SR Ch 37 Table 2

  SR	Early Pliocene   	                 	CN10c             	              	159	 959	B	  8	H	 5	  59.00	     68.5900	Shafik   	Nannofossils                                 	A              	G                 	                          	C                        	                      	                     	                          	A                      	R                    	                       	                 	                  	                           	                                 	                     	                          	C                 	                 	R                     	                       	                       	                         	                     	                          	C                               	                        	                     	                 	                             	                         	                      	                 	F                     	                       	                     	                  	                    	                 	                       	                  	                        	R                     	                     	                    	                               	                    	C                  	                   	                        	                           	                  	                      	                           	                     	                    	                     	                       	C                    	C                       	                   	                 	                     	                   	                    	                       	                     	                       	                    	                    	C                  	                      	                       	                      	                               	R                           	                   	                        	                    	                  	                       	                      	                     	                     	                 	                            	                    	R                   	                       	                              	                      	                         	                                	                         	                   	                        	                  	                       	                  	                      	                      	                       	                       	                      	                     	                         	From Leg 159SR Ch 37 Table 2

  SR	Early Pliocene   	                 	CN10c             	              	159	 959	B	  8	H	 6	  59.00	     70.0900	Shafik   	Nannofossils                                 	A              	G                 	                          	C                        	                      	                     	                          	C                      	                     	                       	                 	                  	                           	                                 	                     	                          	C                 	                 	                      	                       	                       	                         	                     	                          	A                               	                        	                     	                 	                             	                         	R                     	                 	F                     	                       	                     	                  	                    	                 	                       	                  	                        	                      	                     	                    	                               	                    	C                  	                   	                        	                           	                  	                      	                           	                     	                    	                     	                       	C                    	C                       	                   	                 	                     	                   	                    	                       	                     	A                      	                    	                    	C                  	                      	                       	                      	                               	R                           	                   	                        	                    	                  	                       	                      	                     	                     	                 	                            	                    	R                   	                       	                              	                      	                         	                                	                         	                   	                        	                  	                       	                  	                      	                      	                       	                       	                      	                     	                         	From Leg 159SR Ch 37 Table 2
