Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Zygrhablithus bijugatus,Umbilicosphaera sp.,Sphenolithus sp.,Sphenolithus pseudoradians,Sphenolithus predistentus,Sphenolithus moriformis,Sphenolithus distentus,Reticulofenestra umbilica,Reticulofenestra sp. (5-7 microns),Pedinocyclus larvalis,Helicosphaera compacta,Discoaster sp. (5-rayed),Discoaster sp.,Discoaster nodifer,Discoaster deflandrei,Discoaster brouweri,Discoaster adamanteus,Dictyococcites scrippsae,Dictyococcites bisectus,Cyclicargolithus floridanus,Cyclicargolithus abisectus,Coronocyclus nitescens,Coccolithus sp.,Coccolithus pelagicus,Clausicoccus fenestratus,Chiasmolithus altus,Helicosphaera sp.,Discoaster barbadiensis,Pontosphaera segmenta,Discoaster tanii,Catinaster umbrellus,Discoaster saipanensis,Calcidiscus sp.,Sphenolithus ciperoensis,Sphenolithus radians,Discoaster sp. (9-rayed),Triquetrorhabdulus carinatus,Dictyococcites sp.,Sphenolithus tribulosus,Sphenolithus abies/neoabies,Reticulofenestra sp. (<5 microns),Reticulofenestra pseudoumbilica (>7microns),Pseudoemiliania lacunosa,Helicosphaera kamptneri,Helicosphaera granulata,Hayaster perplexus,Discoaster variabilis,Discoaster surculus,Calcidiscus macintyrei,Calcidiscus leptoporus,Umbilicosphaera mirabilis,Scyphosphaera sp.,Pontosphaera sp.,Discoaster triradiatus,Discoaster quinqueramus,Discoaster pentaradiatus,Discoaster asymmetricus,Amaurolithus delicatus,Syracosphaera sp.,Rhabdosphaera sp.,Oolithotus fragilis,Coronocyclus sp.,Syracosphaera pulchra,Scapholithus fossilis,Rhabdosphaera clavigera,Gephyrocapsa spp. small (<3.5 microns),Gephyrocapsa oceanica (4-5.5 microns)  ,Pontosphaera japonica,Helicosphaera sellii,Ceratolithus rugosus,Ceratolithus cristatus,Discosphaera tubifera,Ceratolithus sp.,Umbellosphaera irregularis,Pontosphaera multipora,Discoaster berggrenii,Ceratolithus telesmus,Helicosphaera euphratis,Discoaster tamalis,Discoaster challengeri,Braarudosphaera bigelowii,Sphenolithus heteromorphus,Emiliania huxleyi,Umbilicosphaera angustiforamen,Discoaster pansus,Gephyrocapsa spp. large (>5.5 microns),Ceratolithus simplex,Amaurolithus tricorniculatus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,CN15              ,              ,134, 828,A,  4,H, 4,  30.00,     28.2000,Staerker ,Nannofossils                                 ,R              ,E                 ,                       ,                   ,                ,                          ,                         ,                       ,                      ,                         ,R                                 ,                     ,                      ,                        ,rR            ,                  ,                     ,rR                 ,                     ,                        ,                       ,                           ,                          ,                      ,               ,R                    ,                        ,                   ,                 ,                       ,                     ,                ,                    ,                      ,               ,                        ,                    ,                        ,                            ,C                 ,                       ,rS                         ,                                 ,                                           ,rR                      ,C                      ,                       ,                  ,rR                   ,                   ,rR                    ,A                     ,C                        ,                 ,                ,                      ,rR                     ,                        ,                       ,                      ,                 ,                 ,R                  ,                ,C                    ,S                    ,S                      ,C                                     ,A                                      ,                     ,R                   ,                    ,                      ,R                    ,                ,R                         ,                      ,                     ,                     ,                       ,                  ,                      ,                         ,                          ,V                ,                              ,                 ,S                                     ,                    ,                            ,from ODP Leg 134 SR Chapter 10 Table 2 pp190-193
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,CN15              ,              ,134, 828,A,  4,H, 5,  30.00,     29.7000,Staerker ,Nannofossils                                 ,R              ,E                 ,                       ,                   ,                ,                          ,                         ,                       ,                      ,                         ,R                                 ,                     ,                      ,                        ,rR            ,                  ,                     ,rR                 ,                     ,                        ,                       ,rR                         ,                          ,                      ,               ,R                    ,                        ,                   ,                 ,                       ,                     ,                ,                    ,                      ,               ,                        ,                    ,                        ,                            ,C                 ,                       ,rR                         ,                                 ,                                           ,                        ,C                      ,                       ,                  ,                     ,                   ,                      ,                      ,C                        ,                 ,R               ,                      ,rR                     ,rR                      ,                       ,                      ,R                ,                 ,                   ,                ,C                    ,C                    ,C                      ,                                      ,A                                      ,R                    ,                    ,                    ,R                     ,                     ,                ,S                         ,                      ,                     ,                     ,                       ,                  ,                      ,                         ,rR                        ,V                ,                              ,                 ,R                                     ,R                   ,rC                          ,from ODP Leg 134 SR Chapter 10 Table 2 pp190-193
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,CN15              ,              ,134, 828,A,  4,H, 6,  30.00,     31.2000,Staerker ,Nannofossils                                 ,R              ,E                 ,                       ,                   ,                ,                          ,                         ,                       ,                      ,                         ,R                                 ,                     ,                      ,                        ,rR            ,                  ,rR                   ,rR                 ,                     ,                        ,                       ,rR                         ,                          ,                      ,               ,                     ,                        ,                   ,                 ,                       ,                     ,                ,                    ,                      ,               ,                        ,                    ,                        ,                            ,C                 ,                       ,rR                         ,                                 ,                                           ,                        ,S                      ,                       ,                  ,rR                   ,                   ,                      ,A                     ,C                        ,                 ,                ,                      ,rR                     ,                        ,                       ,                      ,                 ,                 ,                   ,                ,S                    ,R                    ,S                      ,C                                     ,A                                      ,R                    ,R                   ,                    ,                      ,                     ,                ,R                         ,                      ,                     ,                     ,                       ,                  ,                      ,                         ,                          ,V                ,                              ,                 ,R                                     ,                    ,                            ,from ODP Leg 134 SR Chapter 10 Table 2 pp190-193
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,CN15              ,              ,134, 828,A,  4,H, 7,  30.00,     32.7000,Staerker ,Nannofossils                                 ,R              ,E                 ,                       ,                   ,                ,                          ,                         ,rR                     ,                      ,                         ,R                                 ,                     ,                      ,                        ,rC            ,                  ,rR                   ,rR                 ,                     ,                        ,                       ,rS                         ,                          ,                      ,               ,R                    ,                        ,                   ,R                ,                       ,                     ,                ,                    ,                      ,               ,                        ,                    ,                        ,                            ,C                 ,                       ,rR                         ,                                 ,                                           ,rR                      ,C                      ,                       ,                  ,rR                   ,                   ,                      ,A                     ,C                        ,                 ,R               ,                      ,rR                     ,rR                      ,                       ,                      ,                 ,                 ,                   ,                ,S                    ,                     ,C                      ,S                                     ,A                                      ,                     ,                    ,                    ,                      ,                     ,                ,R                         ,                      ,                     ,                     ,                       ,                  ,                      ,                         ,                          ,V                ,                              ,                 ,R                                     ,                    ,                            ,from ODP Leg 134 SR Chapter 10 Table 2 pp190-193
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,CN15              ,              ,134, 828,A,  5,H, 1,  35.00,     33.2500,Staerker ,Nannofossils                                 ,R              ,E                 ,                       ,                   ,                ,                          ,                         ,rR                     ,                      ,                         ,R                                 ,                     ,                      ,                        ,rC            ,                  ,                     ,rR                 ,                     ,                        ,                       ,rR                         ,                          ,rR                    ,               ,R                    ,                        ,                   ,                 ,                       ,                     ,                ,                    ,                      ,               ,                        ,                    ,                        ,                            ,C                 ,                       ,rC                         ,                                 ,                                           ,rR                      ,C                      ,                       ,                  ,rR                   ,                   ,rR                    ,A                     ,C                        ,                 ,                ,                      ,rR                     ,rR                      ,                       ,                      ,                 ,                 ,                   ,                ,C                    ,R                    ,C                      ,C                                     ,V                                      ,R                    ,R                   ,                    ,R                     ,R                    ,R               ,R                         ,                      ,                     ,R                    ,                       ,                  ,                      ,                         ,                          ,A                ,                              ,                 ,S                                     ,                    ,                            ,from ODP Leg 134 SR Chapter 10 Table 2 pp190-193
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,CN15              ,              ,134, 828,A,  5,H, 2,  35.00,     34.7500,Staerker ,Nannofossils                                 ,R              ,E                 ,                       ,                   ,                ,                          ,                         ,rR                     ,                      ,                         ,R                                 ,                     ,                      ,                        ,rC            ,                  ,rR                   ,rR                 ,                     ,                        ,                       ,rC                         ,                          ,                      ,               ,R                    ,                        ,                   ,                 ,                       ,                     ,                ,                    ,                      ,               ,                        ,                    ,                        ,                            ,C                 ,                       ,rC                         ,                                 ,                                           ,rR                      ,C                      ,                       ,                  ,rR                   ,                   ,                      ,C                     ,A                        ,                 ,                ,                      ,rR                     ,                        ,                       ,                      ,                 ,                 ,                   ,                ,C                    ,C                    ,C                      ,C                                     ,A                                      ,R                    ,                    ,                    ,R                     ,R                    ,                ,R                         ,                      ,                     ,R                    ,                       ,                  ,                      ,                         ,rR                        ,A                ,                              ,                 ,R                                     ,                    ,                            ,from ODP Leg 134 SR Chapter 10 Table 2 pp190-193
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,CN15              ,              ,134, 828,A,  5,H, 3,  29.00,     36.1900,Staerker ,Nannofossils                                 ,R              ,E                 ,                       ,                   ,                ,                          ,                         ,rR                     ,                      ,                         ,S                                 ,                     ,                      ,                        ,rC            ,                  ,                     ,rS                 ,                     ,                        ,                       ,rS                         ,                          ,                      ,R              ,                     ,                        ,                   ,                 ,                       ,                     ,                ,                    ,                      ,               ,                        ,                    ,                        ,                            ,C                 ,                       ,rC                         ,                                 ,                                           ,                        ,S                      ,                       ,                  ,rR                   ,rR                 ,                      ,A                     ,A                        ,                 ,                ,                      ,rR                     ,                        ,                       ,                      ,                 ,                 ,                   ,                ,R                    ,                     ,C                      ,S                                     ,V                                      ,                     ,                    ,                    ,                      ,                     ,                ,                          ,                      ,                     ,                     ,                       ,                  ,                      ,                         ,rS                        ,A                ,                              ,                 ,S                                     ,                    ,                            ,from ODP Leg 134 SR Chapter 10 Table 2 pp190-193
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,CN15              ,              ,134, 828,A,  5,H, 4,  29.00,     37.6900,Staerker ,Nannofossils                                 ,R              ,E                 ,                       ,                   ,                ,                          ,                         ,                       ,                      ,                         ,S                                 ,                     ,                      ,                        ,rR            ,                  ,                     ,rR                 ,                     ,                        ,                       ,rR                         ,                          ,                      ,               ,R                    ,                        ,                   ,                 ,                       ,                     ,                ,                    ,                      ,               ,                        ,                    ,                        ,                            ,C                 ,                       ,rR                         ,                                 ,                                           ,                        ,C                      ,                       ,                  ,                     ,                   ,                      ,A                     ,C                        ,                 ,                ,rR                    ,rR                     ,rR                      ,                       ,                      ,                 ,                 ,                   ,                ,S                    ,C                    ,C                      ,A                                     ,A                                      ,                     ,R                   ,                    ,                      ,                     ,R               ,                          ,                      ,                     ,                     ,                       ,                  ,                      ,                         ,                          ,C                ,                              ,                 ,R                                     ,                    ,                            ,from ODP Leg 134 SR Chapter 10 Table 2 pp190-193
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,CN15              ,              ,134, 828,A,  5,H, 5,  29.00,     39.1900,Staerker ,Nannofossils                                 ,R              ,E                 ,                       ,                   ,                ,                          ,                         ,rR                     ,                      ,                         ,C                                 ,                     ,                      ,                        ,rR            ,                  ,                     ,rR                 ,                     ,                        ,                       ,rR                         ,                          ,                      ,               ,R                    ,                        ,                   ,                 ,                       ,                     ,                ,                    ,                      ,               ,                        ,                    ,                        ,                            ,C                 ,                       ,rS                         ,                                 ,                                           ,                        ,C                      ,                       ,                  ,rR                   ,                   ,                      ,C                     ,A                        ,                 ,                ,                      ,rR                     ,rR                      ,                       ,                      ,R                ,                 ,                   ,                ,C                    ,R                    ,C                      ,A                                     ,A                                      ,                     ,R                   ,                    ,R                     ,                     ,                ,                          ,                      ,                     ,                     ,                       ,                  ,                      ,                         ,rR                        ,C                ,R                             ,                 ,R                                     ,                    ,                            ,from ODP Leg 134 SR Chapter 10 Table 2 pp190-193
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,CN15              ,              ,134, 828,A,  5,H, 6,  29.00,     40.6900,Staerker ,Nannofossils                                 ,R              ,E                 ,                       ,                   ,rR              ,                          ,                         ,rR                     ,                      ,                         ,C                                 ,                     ,                      ,                        ,rC            ,                  ,                     ,rR                 ,                     ,                        ,                       ,rC                         ,                          ,                      ,               ,R                    ,                        ,                   ,                 ,                       ,                     ,                ,                    ,                      ,               ,                        ,                    ,                        ,                            ,A                 ,                       ,rC                         ,                                 ,                                           ,rR                      ,C                      ,                       ,                  ,rR                   ,                   ,                      ,C                     ,A                        ,                 ,                ,                      ,rR                     ,                        ,                       ,                      ,R                ,                 ,                   ,                ,R                    ,                     ,S                      ,A                                     ,A                                      ,                     ,                    ,                    ,                      ,                     ,                ,R                         ,                      ,                     ,                     ,                       ,                  ,                      ,                         ,rR                        ,C                ,R                             ,rR               ,                                      ,                    ,                            ,from ODP Leg 134 SR Chapter 10 Table 2 pp190-193
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,CN15              ,              ,134, 828,A,  5,H, 7,  29.00,     42.1900,Staerker ,Nannofossils                                 ,R              ,E                 ,                       ,                   ,rR              ,                          ,                         ,rS                     ,                      ,                         ,C                                 ,                     ,                      ,                        ,rC            ,                  ,rR                   ,rR                 ,                     ,                        ,                       ,rC                         ,                          ,                      ,               ,C                    ,                        ,                   ,                 ,                       ,                     ,                ,                    ,                      ,               ,                        ,                    ,                        ,                            ,A                 ,                       ,-                          ,                                 ,                                           ,rR                      ,C                      ,                       ,                  ,rR                   ,rR                 ,                      ,A                     ,S                        ,                 ,R               ,                      ,rR                     ,                        ,                       ,                      ,                 ,                 ,                   ,                ,S                    ,S                    ,S                      ,A                                     ,A                                      ,R                    ,R                   ,                    ,R                     ,                     ,R               ,                          ,                      ,                     ,                     ,                       ,                  ,                      ,                         ,rS                        ,S                ,                              ,                 ,                                      ,                    ,                            ,from ODP Leg 134 SR Chapter 10 Table 2 pp190-193
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,CN15              ,              ,134, 828,A,  6,H, 1,  64.00,     43.0400,Staerker ,Nannofossils                                 ,R              ,E                 ,                       ,                   ,                ,                          ,                         ,rR                     ,                      ,                         ,R                                 ,                     ,                      ,                        ,rS            ,                  ,rR                   ,rR                 ,                     ,                        ,                       ,rS                         ,                          ,                      ,               ,                     ,                        ,                   ,                 ,                       ,                     ,                ,                    ,                      ,               ,                        ,                    ,                        ,                            ,A                 ,                       ,rC                         ,                                 ,                                           ,                        ,C                      ,                       ,                  ,rR                   ,                   ,                      ,A                     ,S                        ,                 ,                ,                      ,rR                     ,rR                      ,                       ,                      ,                 ,                 ,                   ,                ,S                    ,S                    ,S                      ,A                                     ,A                                      ,                     ,R                   ,                    ,                      ,                     ,                ,S                         ,                      ,rR                   ,                     ,                       ,                  ,                      ,                         ,rR                        ,R                ,                              ,                 ,                                      ,                    ,                            ,from ODP Leg 134 SR Chapter 10 Table 2 pp190-193
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,CN15              ,              ,134, 828,A,  6,H, 2,  22.00,     44.1200,Staerker ,Nannofossils                                 ,R              ,E                 ,                       ,R                  ,rR              ,                          ,                         ,rR                     ,                      ,                         ,R                                 ,                     ,                      ,                        ,rS            ,                  ,                     ,rR                 ,                     ,                        ,                       ,rR                         ,                          ,                      ,               ,R                    ,                        ,                   ,                 ,                       ,                     ,                ,                    ,                      ,               ,                        ,                    ,                        ,                            ,C                 ,                       ,rS                         ,                                 ,                                           ,                        ,R                      ,                       ,                  ,                     ,                   ,                      ,S                     ,C                        ,                 ,                ,                      ,rR                     ,                        ,                       ,                      ,                 ,                 ,                   ,                ,S                    ,C                    ,C                      ,V                                     ,A                                      ,                     ,                    ,                    ,                      ,                     ,                ,R                         ,                      ,                     ,                     ,                       ,                  ,                      ,                         ,                          ,R                ,                              ,                 ,                                      ,                    ,                            ,from ODP Leg 134 SR Chapter 10 Table 2 pp190-193
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,CN15              ,              ,134, 828,A,  6,H, 3,  32.00,     45.7200,Staerker ,Nannofossils                                 ,R              ,E                 ,                       ,                   ,                ,                          ,                         ,                       ,                      ,                         ,                                  ,                     ,                      ,                        ,rR            ,                  ,                     ,rR                 ,                     ,                        ,                       ,rR                         ,                          ,                      ,R              ,R                    ,                        ,                   ,                 ,                       ,                     ,                ,                    ,                      ,               ,                        ,                    ,                        ,                            ,S                 ,                       ,rR                         ,                                 ,                                           ,                        ,R                      ,                       ,                  ,                     ,                   ,                      ,C                     ,C                        ,                 ,                ,                      ,rR                     ,                        ,                       ,                      ,                 ,                 ,                   ,                ,S                    ,S                    ,S                      ,V                                     ,A                                      ,                     ,                    ,                    ,                      ,                     ,                ,                          ,                      ,                     ,                     ,                       ,                  ,                      ,                         ,                          ,R                ,R                             ,                 ,                                      ,                    ,                            ,from ODP Leg 134 SR Chapter 10 Table 2 pp190-193
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,CN15              ,              ,134, 828,A,  6,H, 4,  76.00,     47.6600,Staerker ,Nannofossils                                 ,R              ,E                 ,                       ,                   ,                ,                          ,                         ,                       ,                      ,                         ,                                  ,                     ,                      ,                        ,rS            ,                  ,                     ,rR                 ,                     ,                        ,                       ,                           ,                          ,                      ,R              ,R                    ,                        ,                   ,                 ,                       ,                     ,                ,                    ,                      ,               ,                        ,                    ,                        ,                            ,C                 ,                       ,rS                         ,                                 ,                                           ,                        ,S                      ,                       ,                  ,rR                   ,                   ,                      ,A                     ,A                        ,                 ,R               ,                      ,rR                     ,rR                      ,                       ,                      ,                 ,                 ,                   ,                ,C                    ,S                    ,C                      ,V                                     ,A                                      ,R                    ,                    ,                    ,                      ,                     ,                ,R                         ,R                     ,                     ,                     ,                       ,                  ,                      ,                         ,                          ,R                ,                              ,                 ,                                      ,                    ,                            ,from ODP Leg 134 SR Chapter 10 Table 2 pp190-193
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,CN15              ,              ,134, 828,A,  6,H, 5,  36.00,     48.7600,Staerker ,Nannofossils                                 ,R              ,E                 ,                       ,                   ,rR              ,                          ,                         ,                       ,                      ,                         ,R                                 ,                     ,                      ,                        ,rR            ,                  ,                     ,rR                 ,                     ,                        ,                       ,rR                         ,                          ,                      ,               ,R                    ,                        ,                   ,                 ,                       ,                     ,                ,                    ,                      ,               ,                        ,                    ,                        ,                            ,S                 ,                       ,rS                         ,                                 ,                                           ,                        ,S                      ,                       ,                  ,rR                   ,                   ,rR                    ,A                     ,C                        ,                 ,                ,                      ,rR                     ,rR                      ,                       ,                      ,                 ,                 ,                   ,                ,R                    ,S                    ,R                      ,V                                     ,C                                      ,R                    ,                    ,                    ,                      ,                     ,R               ,R                         ,                      ,rR                   ,                     ,                       ,                  ,rR                    ,                         ,rR                        ,R                ,                              ,                 ,                                      ,                    ,                            ,from ODP Leg 134 SR Chapter 10 Table 2 pp190-193
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Pleistocene,                 ,CN14b             ,              ,134, 828,A,  6,H, 6,  36.00,     50.2600,Staerker ,Nannofossils                                 ,R              ,E                 ,                       ,                   ,rR              ,                          ,                         ,                       ,                      ,                         ,R                                 ,                     ,                      ,                        ,rR            ,                  ,rR                   ,rR                 ,                     ,                        ,                       ,rR                         ,                          ,                      ,               ,R                    ,                        ,                   ,R                ,                       ,                     ,                ,                    ,                      ,               ,                        ,                    ,                        ,                            ,C                 ,                       ,rS                         ,                                 ,                                           ,rR                      ,S                      ,                       ,                  ,rR                   ,                   ,rR                    ,A                     ,C                        ,                 ,                ,                      ,rR                     ,rR                      ,                       ,                      ,                 ,                 ,                   ,                ,R                    ,S                    ,S                      ,A                                     ,A                                      ,R                    ,                    ,                    ,R                     ,                     ,                ,R                         ,R                     ,rR                   ,                     ,                       ,                  ,rR                    ,                         ,rR                        ,                 ,                              ,                 ,                                      ,                    ,                            ,from ODP Leg 134 SR Chapter 10 Table 2 pp190-193
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Pleistocene,                 ,CN14b             ,              ,134, 828,A,  6,H, 7,  15.00,     51.5500,Staerker ,Nannofossils                                 ,R              ,E                 ,                       ,                   ,rR              ,                          ,                         ,rR                     ,                      ,                         ,R                                 ,                     ,                      ,                        ,rS            ,                  ,                     ,rR                 ,                     ,                        ,                       ,rR                         ,                          ,                      ,               ,R                    ,                        ,                   ,                 ,rR                     ,                     ,                ,                    ,                      ,               ,                        ,                    ,                        ,                            ,C                 ,                       ,rS                         ,                                 ,                                           ,rR                      ,C                      ,                       ,                  ,rR                   ,                   ,                      ,C                     ,C                        ,                 ,R               ,                      ,rR                     ,rR                      ,                       ,                      ,                 ,                 ,                   ,                ,R                    ,R                    ,C                      ,V                                     ,A                                      ,R                    ,                    ,                    ,R                     ,                     ,                ,S                         ,R                     ,                     ,R                    ,                       ,                  ,rR                    ,R                        ,                          ,                 ,                              ,                 ,                                      ,                    ,                            ,from ODP Leg 134 SR Chapter 10 Table 2 pp190-193
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Pleistocene,                 ,CN14b             ,              ,134, 828,A,  7,H, 1,  39.00,     52.2900,Staerker ,Nannofossils                                 ,R              ,E                 ,                       ,                   ,                ,                          ,                         ,                       ,                      ,                         ,R                                 ,                     ,                      ,                        ,rR            ,                  ,                     ,rR                 ,                     ,                        ,                       ,rS                         ,                          ,                      ,               ,R                    ,                        ,                   ,                 ,                       ,                     ,                ,                    ,                      ,               ,                        ,                    ,                        ,                            ,S                 ,                       ,rC                         ,                                 ,                                           ,                        ,C                      ,                       ,                  ,rR                   ,                   ,                      ,C                     ,C                        ,                 ,R               ,                      ,rR                     ,                        ,                       ,                      ,                 ,                 ,                   ,                ,R                    ,C                    ,R                      ,V                                     ,A                                      ,R                    ,                    ,                    ,                      ,                     ,                ,                          ,R                     ,                     ,R                    ,rR                     ,rR                ,                      ,                         ,                          ,                 ,                              ,                 ,                                      ,                    ,                            ,from ODP Leg 134 SR Chapter 10 Table 2 pp190-193
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Pleistocene,                 ,CN14b             ,              ,134, 828,A,  7,H, 2,  40.00,     53.8000,Staerker ,Nannofossils                                 ,R              ,E                 ,                       ,                   ,rR              ,                          ,                         ,rR                     ,                      ,                         ,R                                 ,                     ,                      ,                        ,rR            ,                  ,                     ,rR                 ,                     ,                        ,                       ,                           ,                          ,                      ,               ,                     ,                        ,                   ,                 ,                       ,                     ,                ,                    ,                      ,               ,                        ,                    ,                        ,                            ,S                 ,                       ,rC                         ,                                 ,                                           ,                        ,S                      ,                       ,                  ,rR                   ,                   ,rR                    ,C                     ,C                        ,                 ,R               ,                      ,rR                     ,rR                      ,                       ,                      ,                 ,                 ,                   ,                ,S                    ,C                    ,C                      ,V                                     ,A                                      ,                     ,                    ,                    ,R                     ,                     ,R               ,R                         ,R                     ,rR                   ,                     ,                       ,                  ,                      ,                         ,                          ,                 ,                              ,                 ,                                      ,                    ,                            ,from ODP Leg 134 SR Chapter 10 Table 2 pp190-193
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Pleistocene,                 ,CN14b             ,              ,134, 828,A,  7,H, 3,  40.00,     55.3000,Staerker ,Nannofossils                                 ,R              ,E                 ,                       ,                   ,                ,                          ,                         ,rR                     ,                      ,                         ,R                                 ,                     ,                      ,                        ,rR            ,                  ,                     ,rR                 ,                     ,                        ,                       ,rR                         ,                          ,                      ,               ,R                    ,                        ,                   ,                 ,                       ,                     ,                ,                    ,                      ,               ,                        ,                    ,                        ,                            ,R                 ,                       ,rS                         ,                                 ,                                           ,rR                      ,S                      ,                       ,                  ,rR                   ,                   ,rR                    ,C                     ,C                        ,                 ,                ,                      ,rR                     ,                        ,                       ,                      ,                 ,                 ,                   ,                ,R                    ,R                    ,S                      ,V                                     ,V                                      ,                     ,R                   ,                    ,R                     ,                     ,R               ,                          ,                      ,                     ,                     ,                       ,                  ,                      ,                         ,                          ,                 ,                              ,                 ,                                      ,                    ,                            ,from ODP Leg 134 SR Chapter 10 Table 2 pp190-193
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
