Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Stylatractus universus	Diartus petterssoni	Diartus hughesi	Stichocorys wolffii	Stichocorys delmontensis	Didymocyrtis laticonus	Didymocyrtis antepenultima	Eusyringium fistuligerum	Dorcadospyris ateuchus	Theocyrtis tuberosa	Lithocyclia aristotelis	Cyrtocapsella cornuta	Siphocampe crustula	Lamprocyclas hannai	Dictyophimus splendens	Phormostichoartus fistula	Botryostrobus bramlettei bramlettei	Larcospira moschkovskii	Dictyoprora mongolfieri	Stichocorys peregrina	Acrosphaera murrayana	Anthocyrtidium ehrenbergi	Prunopyle hayesi	Didymocyrtis penultima	Cyrtocapsella elongata	Botryostrobus auritus/australis	Anthocyrtidium pliocenica	Siphocampe modeloensis	Tholospyris capoi	Pterocorys minythorax	Lamprocyrtis nigriniae	Lamprocyclas junonis group	Gondwanaria dogieli	Eucyrtidium infundibulum	Cycladophora davisiana	Botryostrobus bramlettei pretumidulus	Anthocyrtidium ophirense	Theocorythium trachelium	Stichopilium bicorne	Saturnalis circularis	Pterocorys clausus	Pterocanium korotnevi	Prunopyle antarctica	Phormostichoartus pitomorphus	Lithostrobus hexagonalis	Lamprocyclas maritalis group	Eucyrtidium teuscheri teuscheri	Eucyrtidium teuscheri orthoporus	Eucyrtidium indiensis	Eucyrtidium calvertense	Didymocyrtis tetrathalamus	Botryostrobus bramlettei tumidulus	Anthocyrtidium nosicaae	Acrosphaera pseudarktios	Carpocanium sp.A	Streblacantha circumtexta	Eucyrtidium dufresni	Pseudocubus warreni	Rhizosphaera antarctica	Amphirhopalum ypsilon	Octopyle stenozona	Acrosphaera trepanata	Dictyophimus infabricatus	Pterocanium grandiporus	Anthocyrtidium zanguebaricum	Spongotrochus glacialis	Plectacantha cremastoplegma	Cypassis irregularis	Comment
  SR	Late Miocene     	                 	D. antepenultima RN7	              	112	 685	A	 40	X	CC	  20.00	    360.9100	De Wever 	Radiolarians                                 	F              	M                 	P                     	                   	P              	P                  	P                       	                      	P                         	                        	                      	                   	                       	P                    	                   	                   	                      	                         	                                   	                       	                       	                     	                     	                         	                	                      	                      	                               	                         	                      	                 	                     	                      	                          	                   	                        	                      	                                     	                        	                        	                    	                     	                  	                     	                    	                             	                        	                            	                               	                                	                     	                       	                          	                                  	                       	                        	                	                         	                    	                   	                       	                     	                  	                     	                         	                       	                            	                       	                           	                    	from ODP Leg 112 SR Chapter 12 Table AppxB p.202-203

  SR	Late Miocene     	                 	D. antepenultima RN7	              	112	 685	A	 41	X	CC	  23.00	    367.4600	De Wever 	Radiolarians                                 	F              	P                 	                      	                   	P              	P                  	P                       	                      	P                         	                        	                      	                   	                       	                     	                   	                   	                      	                         	                                   	                       	                       	                     	                     	                         	                	                      	                      	                               	                         	                      	                 	                     	                      	                          	                   	                        	                      	                                     	                        	                        	                    	                     	                  	                     	                    	                             	                        	                            	                               	                                	                     	                       	                          	                                  	                       	                        	                	                         	                    	                   	                       	                     	                  	                     	                         	                       	                            	                       	                           	                    	from ODP Leg 112 SR Chapter 12 Table AppxB p.202-203

  SR	Late Miocene     	                 	D. antepenultima RN7	              	112	 685	A	 42	X	CC	  24.00	    378.9400	De Wever 	Radiolarians                                 	R              	P                 	P                     	                   	P              	P                  	P                       	                      	P                         	                        	                      	                   	                       	                     	                   	                   	                      	                         	                                   	                       	                       	                     	                     	                         	                	                      	                      	                               	                         	                      	                 	                     	                      	                          	                   	                        	                      	                                     	                        	                        	                    	                     	                  	                     	                    	                             	                        	                            	                               	                                	                     	                       	                          	                                  	                       	                        	                	                         	                    	                   	                       	                     	                  	                     	                         	                       	                            	                       	                           	                    	from ODP Leg 112 SR Chapter 12 Table AppxB p.202-203

  SR	Late Miocene     	                 	D. antepenultima RN7	              	112	 685	A	 43	X	CC	  20.00	    386.4500	De Wever 	Radiolarians                                 	R              	M                 	                      	                   	               	                   	                        	                      	                          	                        	                      	P                  	P                      	                     	                   	                   	                      	                         	                                   	                       	                       	                     	                     	                         	                	                      	                      	                               	                         	                      	                 	                     	                      	                          	                   	                        	                      	                                     	                        	                        	                    	                     	                  	                     	                    	                             	                        	                            	                               	                                	                     	                       	                          	                                  	                       	                        	                	                         	                    	                   	                       	                     	                  	                     	                         	                       	                            	                       	                           	                    	from ODP Leg 112 SR Chapter 12 Table AppxB p.202-203

  SR	Late Miocene     	                 	D. antepenultima RN7	              	112	 685	A	 44	X	CC	  31.00	    396.4100	De Wever 	Radiolarians                                 	R              	M                 	                      	                   	P              	P                  	P                       	                      	P                         	P                       	P                     	                   	                       	                     	                   	                   	                      	                         	                                   	                       	                       	                     	                     	                         	                	                      	                      	                               	                         	                      	                 	                     	                      	                          	                   	                        	                      	                                     	                        	                        	                    	                     	                  	                     	                    	                             	                        	                            	                               	                                	                     	                       	                          	                                  	                       	                        	                	                         	                    	                   	                       	                     	                  	                     	                         	                       	                            	                       	                           	                    	from ODP Leg 112 SR Chapter 12 Table AppxB p.202-203

  SR	Late Miocene     	                 	D. antepenultima RN7	              	112	 685	A	 45	X	CC	   6.00	    402.5700	De Wever 	Radiolarians                                 	F              	M                 	P                     	                   	P              	P                  	P                       	                      	P                         	                        	                      	                   	                       	                     	                   	                   	                      	                         	                                   	                       	                       	                     	                     	                         	                	                      	                      	                               	                         	                      	                 	                     	                      	                          	                   	                        	                      	                                     	                        	                        	                    	                     	                  	                     	                    	                             	                        	                            	                               	                                	                     	                       	                          	                                  	                       	                        	                	                         	                    	                   	                       	                     	                  	                     	                         	                       	                            	                       	                           	                    	from ODP Leg 112 SR Chapter 12 Table AppxB p.202-203

  SR	Late Miocene     	                 	D. antepenultima RN7	              	112	 685	A	 46	X	CC	   6.00	    413.6600	De Wever 	Radiolarians                                 	F              	M                 	P                     	P                  	P              	P                  	P                       	P                     	P                         	                        	                      	                   	                       	                     	                   	                   	                      	                         	                                   	                       	                       	                     	                     	                         	                	                      	                      	                               	                         	                      	                 	                     	                      	                          	                   	                        	                      	                                     	                        	                        	                    	                     	                  	                     	                    	                             	                        	                            	                               	                                	                     	                       	                          	                                  	                       	                        	                	                         	                    	                   	                       	                     	                  	                     	                         	                       	                            	                       	                           	                    	from ODP Leg 112 SR Chapter 12 Table AppxB p.202-203

  SR	Late Miocene     	                 	D. antepenultima RN7	              	112	 685	A	 48	X	CC	  26.00	    432.8100	De Wever 	Radiolarians                                 	R              	P                 	P                     	P                  	P              	                   	                        	                      	                          	                        	                      	                   	                       	                     	                   	                   	                      	                         	                                   	                       	                       	                     	                     	                         	                	                      	                      	                               	                         	                      	                 	                     	                      	                          	                   	                        	                      	                                     	                        	                        	                    	                     	                  	                     	                    	                             	                        	                            	                               	                                	                     	                       	                          	                                  	                       	                        	                	                         	                    	                   	                       	                     	                  	                     	                         	                       	                            	                       	                           	                    	from ODP Leg 112 SR Chapter 12 Table AppxB p.202-203

