Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Tenuitellinata angustiumbilicata,Tenuitella gemma,Subbotina angiporoides,Paragloborotalia nana,Hantkenina alabamensis,Globigerina euapertura,Chiloguembelina cubensis,Catapsydrax unicavus,Catapsydrax dissimilis,Subbotina (?) eocaena,Subbotina linaperta,Pseudohastigerina spp.,Globorotaloides suteri,Globigerina tapuriensis,Globigerina pseudovenezuelana,Globigerina gortanii,Turborotalia ampliapertura,Turborotalia pomeroli,Turborotalia increbescens,Globigerina  cf. G. praeturritilina,Globigerina yeguaensis,Cassigerinella chipolensis,Globigerina tripartita,Globoquadrina venezuelana,Globigerina praebulloides,Paragloborotalia opima,Globigerina ouachitaensis,Globigerina sellii,Globigerina angulisuturalis,Globigerinella obesa,Globigerinita glutinata,Paragloborotalia semivera-mayeri group,Paragloborotalia pseudokugleri,Paragloborotalia kugleri,Globoquadrina dehiscens,Globigerinita uvula,Globigerinoides primordius,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,P21b              ,              ,130, 803,D, 45,X, 3,  57.00,    413.2700,Leckie   ,Planktonic Foraminifers                      ,               ,MG                ,F/C                             ,R               ,                      ,F/C                  ,                      ,F/C                   ,R                       ,R                   ,R                     ,                     ,                   ,                      ,R                     ,                       ,R                            ,R                   ,                          ,                     ,                         ,R                                  ,R                     ,R                         ,                      ,R                        ,F/C                      ,                      ,                         ,?                 ,R                          ,                    ,                       ,                                      ,                              ,                        ,                       ,                   ,                          ,from 130SR.Chapter 9.Figure 6.page 118.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,P21b              ,              ,130, 803,D, 45,X, 5,  53.00,    416.2300,Leckie   ,Planktonic Foraminifers                      ,               ,MG                ,F/C                             ,R               ,                      ,F/C                  ,                      ,F/C                   ,R                       ,R                   ,R                     ,                     ,                   ,                      ,R                     ,                       ,F/C                          ,F/C                 ,                          ,                     ,                         ,R                                  ,R                     ,F/C                       ,                      ,R                        ,F/C                      ,R                     ,                         ,R                 ,R                          ,                    ,                       ,                                      ,                              ,                        ,                       ,                   ,                          ,from 130SR.Chapter 9.Figure 6.page 118.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,P21b              ,              ,130, 803,D, 45,X,CC,  18.00,    418.8500,Leckie   ,Planktonic Foraminifers                      ,               ,MG                ,F/C                             ,                ,                      ,R                    ,                      ,R                     ,R                       ,R                   ,R                     ,                     ,                   ,                      ,                      ,                       ,R                            ,R                   ,                          ,                     ,                         ,                                   ,R                     ,R                         ,                      ,                         ,R                        ,R                     ,                         ,                  ,                           ,                    ,                       ,                                      ,                              ,                        ,                       ,                   ,                          ,from 130SR.Chapter 9.Figure 6.page 118.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,P21b              ,              ,130, 803,D, 46,X, 1,  49.00,    419.7900,Leckie   ,Planktonic Foraminifers                      ,               ,MP                ,F/C                             ,                ,                      ,F/C                  ,                      ,F/C                   ,                        ,R                   ,R                     ,                     ,                   ,                      ,R                     ,                       ,R                            ,R                   ,                          ,                     ,                         ,                                   ,R                     ,R                         ,                      ,R                        ,R                        ,R                     ,                         ,                  ,                           ,                    ,                       ,                                      ,                              ,                        ,                       ,                   ,                          ,from 130SR.Chapter 9.Figure 6.page 118.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,P21b              ,              ,130, 803,D, 46,X, 3,  51.00,    422.8100,Leckie   ,Planktonic Foraminifers                      ,               ,MP                ,F/C                             ,                ,                      ,R                    ,                      ,R                     ,                        ,R                   ,R                     ,                     ,                   ,                      ,                      ,                       ,R                            ,R                   ,                          ,                     ,                         ,                                   ,R                     ,R                         ,                      ,                         ,R                        ,R                     ,R                        ,                  ,                           ,                    ,                       ,                                      ,                              ,                        ,                       ,                   ,                          ,from 130SR.Chapter 9.Figure 6.page 118.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,P21b              ,              ,130, 803,D, 46,X, 5,  51.00,    425.8100,Leckie   ,Planktonic Foraminifers                      ,               ,MP                ,F/C                             ,                ,                      ,F/C                  ,                      ,F/C                   ,R                       ,R                   ,R                     ,                     ,                   ,                      ,                      ,R                      ,R                            ,R                   ,                          ,                     ,                         ,                                   ,R                     ,R                         ,                      ,R                        ,                         ,R                     ,                         ,                  ,?                          ,                    ,                       ,                                      ,                              ,                        ,                       ,                   ,                          ,from 130SR.Chapter 9.Figure 6.page 118.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,P21b              ,              ,130, 803,D, 46,X,CC,  31.00,    427.6600,Leckie   ,Planktonic Foraminifers                      ,               ,MP                ,F/C                             ,                ,                      ,F/C                  ,                      ,F/C                   ,R                       ,R                   ,R                     ,                     ,                   ,                      ,R                     ,                       ,R                            ,R                   ,                          ,                     ,                         ,                                   ,F/C                   ,R                         ,                      ,                         ,F/C                      ,F/C                   ,R                        ,                  ,R                          ,                    ,                       ,                                      ,                              ,                        ,                       ,                   ,                          ,from 130SR.Chapter 9.Figure 6.page 118.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,P21a              ,              ,130, 803,D, 47,X, 1,  51.00,    429.5100,Leckie   ,Planktonic Foraminifers                      ,               ,MG                ,F/C                             ,R               ,                      ,F/C                  ,                      ,F/C                   ,F/C                     ,R                   ,R                     ,                     ,                   ,                      ,R                     ,R                      ,F/C                          ,R                   ,                          ,                     ,                         ,R                                  ,R                     ,R                         ,                      ,R                        ,R                        ,F/C                   ,                         ,                  ,?                          ,                    ,                       ,                                      ,                              ,                        ,                       ,                   ,                          ,from 130SR.Chapter 9.Figure 6.page 118.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,P21a              ,              ,130, 803,D, 47,X, 3,  56.00,    432.5600,Leckie   ,Planktonic Foraminifers                      ,               ,MP                ,F/C                             ,R               ,                      ,F/C                  ,                      ,F/C                   ,F/C                     ,R                   ,R                     ,                     ,                   ,                      ,                      ,                       ,F/C                          ,R                   ,                          ,                     ,                         ,                                   ,F/C                   ,R                         ,                      ,R                        ,R                        ,F/C                   ,                         ,                  ,?                          ,                    ,                       ,                                      ,                              ,                        ,                       ,                   ,                          ,from 130SR.Chapter 9.Figure 6.page 118.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,P21a              ,              ,130, 803,D, 47,X, 5,  48.00,    435.4800,Leckie   ,Planktonic Foraminifers                      ,               ,MP                ,F/C                             ,R               ,                      ,F/C                  ,                      ,F/C                   ,R                       ,R                   ,R                     ,                     ,                   ,                      ,                      ,R                      ,F/C                          ,R                   ,                          ,                     ,                         ,R                                  ,R                     ,R                         ,R                     ,R                        ,R                        ,F/C                   ,                         ,                  ,R                          ,                    ,                       ,                                      ,                              ,                        ,                       ,                   ,                          ,from 130SR.Chapter 9.Figure 6.page 118.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,P20               ,              ,130, 803,D, 47,X,CC,  23.00,    436.1700,Leckie   ,Planktonic Foraminifers                      ,               ,MP                ,F/C                             ,R               ,                      ,F/C                  ,                      ,R                     ,R                       ,R                   ,R                     ,                     ,                   ,                      ,R                     ,                       ,R                            ,R                   ,                          ,                     ,                         ,                                   ,R                     ,                          ,                      ,                         ,R                        ,R                     ,R                        ,                  ,                           ,                    ,                       ,                                      ,                              ,                        ,                       ,                   ,                          ,from 130SR.Chapter 9.Figure 6.page 118.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,P20               ,              ,130, 803,D, 48,X, 1,  49.00,    439.0900,Leckie   ,Planktonic Foraminifers                      ,               ,MP                ,F/C                             ,                ,R                     ,F/C                  ,                      ,R                     ,                        ,R                   ,R                     ,?                    ,                   ,                      ,                      ,                       ,F/C                          ,R                   ,                          ,                     ,                         ,R                                  ,R                     ,R                         ,                      ,                         ,R                        ,R                     ,                         ,R                 ,                           ,                    ,                       ,                                      ,                              ,                        ,                       ,                   ,                          ,from 130SR.Chapter 9.Figure 6.page 118.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,P20               ,              ,130, 803,D, 48,X, 3,  53.00,    442.1300,Leckie   ,Planktonic Foraminifers                      ,               ,MP                ,F/C                             ,                ,?                     ,F/C                  ,                      ,R                     ,R                       ,R                   ,R                     ,?                    ,                   ,                      ,                      ,                       ,F/C                          ,R                   ,                          ,                     ,                         ,R                                  ,R                     ,R                         ,R                     ,R                        ,R                        ,R                     ,                         ,R                 ,                           ,                    ,                       ,                                      ,                              ,                        ,                       ,                   ,                          ,from 130SR.Chapter 9.Figure 6.page 118.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,P20               ,              ,130, 803,D, 48,X,CC,  11.00,    444.5800,Leckie   ,Planktonic Foraminifers                      ,               ,MG                ,R                               ,                ,                      ,F/C                  ,                      ,F/C                   ,R                       ,R                   ,R                     ,                     ,                   ,                      ,R                     ,R                      ,F/C                          ,R                   ,                          ,                     ,                         ,                                   ,R                     ,                          ,                      ,                         ,F/C                      ,R                     ,R                        ,                  ,                           ,                    ,                       ,                                      ,                              ,                        ,                       ,                   ,                          ,from 130SR.Chapter 9.Figure 6.page 118.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,P20               ,              ,130, 803,D, 49,X, 1,  57.00,    448.3700,Leckie   ,Planktonic Foraminifers                      ,               ,MP                ,F/C                             ,                ,                      ,F/C                  ,                      ,R                     ,R                       ,R                   ,R                     ,R                    ,                   ,                      ,                      ,R                      ,R                            ,                    ,                          ,                     ,                         ,                                   ,R                     ,                          ,                      ,                         ,R                        ,                      ,                         ,                  ,                           ,                    ,                       ,                                      ,                              ,                        ,                       ,                   ,                          ,from 130SR.Chapter 9.Figure 6.page 118.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,P20               ,              ,130, 803,D, 49,X, 3,  70.00,    451.5000,Leckie   ,Planktonic Foraminifers                      ,               ,MP                ,F/C                             ,?               ,?                     ,F/C                  ,                      ,R                     ,F/C                     ,R                   ,R                     ,?                    ,                   ,                      ,                      ,R                      ,F/C                          ,R                   ,                          ,                     ,                         ,                                   ,R                     ,R                         ,R                     ,R                        ,R                        ,                      ,                         ,                  ,                           ,                    ,                       ,                                      ,                              ,                        ,                       ,                   ,                          ,from 130SR.Chapter 9.Figure 6.page 118.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,P20               ,              ,130, 803,D, 49,X,CC,  18.00,    453.8000,Leckie   ,Planktonic Foraminifers                      ,               ,MP                ,F/C                             ,R               ,                      ,R                    ,                      ,R                     ,R                       ,F/C                 ,F/C                   ,                     ,                   ,                      ,                      ,                       ,F/C                          ,R                   ,                          ,                     ,                         ,                                   ,R                     ,R                         ,                      ,                         ,R                        ,                      ,                         ,                  ,                           ,                    ,                       ,                                      ,                              ,                        ,                       ,                   ,                          ,from 130SR.Chapter 9.Figure 6.page 118.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,P20               ,              ,130, 803,D, 50,X, 3,  37.00,    460.8700,Leckie   ,Planktonic Foraminifers                      ,               ,MP                ,F/C                             ,                ,R                     ,R                    ,                      ,R                     ,                        ,F/C                 ,F/C                   ,R                    ,                   ,                      ,                      ,                       ,F/C                          ,R                   ,                          ,                     ,                         ,                                   ,                      ,                          ,                      ,                         ,                         ,                      ,                         ,                  ,                           ,                    ,                       ,                                      ,                              ,                        ,                       ,                   ,                          ,from 130SR.Chapter 9.Figure 6.page 118.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,P20               ,              ,130, 803,D, 50,X,CC,  24.00,    463.6400,Leckie   ,Planktonic Foraminifers                      ,               ,MG                ,F/C                             ,R               ,?                     ,R                    ,                      ,R                     ,                        ,F/C                 ,F/C                   ,                     ,                   ,                      ,R                     ,                       ,R                            ,R                   ,                          ,                     ,                         ,                                   ,R                     ,                          ,R                     ,                         ,R                        ,                      ,                         ,                  ,                           ,                    ,                       ,                                      ,                              ,                        ,                       ,                   ,                          ,from 130SR.Chapter 9.Figure 6.page 118.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,P20               ,              ,130, 803,D, 51,X, 1,  63.00,    467.8300,Leckie   ,Planktonic Foraminifers                      ,               ,MP                ,F/C                             ,R               ,?                     ,F/C                  ,                      ,F/C                   ,                        ,R                   ,R                     ,R                    ,                   ,                      ,                      ,R                      ,F/C                          ,R                   ,?                         ,                     ,                         ,?                                  ,R                     ,                          ,R                     ,                         ,                         ,                      ,                         ,                  ,                           ,                    ,                       ,                                      ,                              ,                        ,                       ,                   ,                          ,from 130SR.Chapter 9.Figure 6.page 118.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,P19               ,              ,130, 803,D, 51,X, 3,  36.00,    470.5600,Leckie   ,Planktonic Foraminifers                      ,               ,MP                ,F/C                             ,R               ,?                     ,F/C                  ,                      ,F/C                   ,R                       ,R                   ,R                     ,R                    ,                   ,                      ,                      ,R                      ,F/C                          ,R                   ,R                         ,                     ,                         ,R                                  ,R                     ,R                         ,R                     ,                         ,                         ,                      ,                         ,                  ,                           ,                    ,                       ,                                      ,                              ,                        ,                       ,                   ,                          ,from 130SR.Chapter 9.Figure 6.page 118.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,P19               ,              ,130, 803,D, 51,X,CC,  18.00,    471.7700,Leckie   ,Planktonic Foraminifers                      ,               ,MP                ,F/C                             ,                ,                      ,R                    ,                      ,F/C                   ,                        ,F/C                 ,F/C                   ,                     ,                   ,                      ,R                     ,R                      ,F/C                          ,R                   ,                          ,                     ,                         ,R                                  ,R                     ,                          ,R                     ,                         ,                         ,                      ,                         ,                  ,                           ,                    ,                       ,                                      ,                              ,                        ,                       ,                   ,                          ,from 130SR.Chapter 9.Figure 6.page 118.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,P19               ,              ,130, 803,D, 52,X, 1,  55.00,    477.4500,Leckie   ,Planktonic Foraminifers                      ,               ,MP                ,F/C                             ,                ,                      ,R                    ,                      ,R                     ,                        ,R                   ,R                     ,                     ,                   ,                      ,                      ,R                      ,R                            ,                    ,                          ,                     ,                         ,                                   ,                      ,                          ,                      ,R                        ,                         ,                      ,                         ,                  ,                           ,                    ,                       ,                                      ,                              ,                        ,                       ,                   ,                          ,from 130SR.Chapter 9.Figure 6.page 118.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,P19               ,              ,130, 803,D, 52,X, 3,  66.00,    480.5600,Leckie   ,Planktonic Foraminifers                      ,               ,P                 ,F/C                             ,                ,R                     ,R                    ,                      ,R                     ,R                       ,R                   ,R                     ,                     ,?                  ,                      ,                      ,                       ,R                            ,R                   ,R                         ,                     ,                         ,                                   ,                      ,                          ,                      ,                         ,                         ,                      ,                         ,                  ,                           ,                    ,                       ,                                      ,                              ,                        ,                       ,                   ,                          ,from 130SR.Chapter 9.Figure 6.page 118.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,P19               ,              ,130, 803,D, 52,X,CC,  35.00,    481.3900,Leckie   ,Planktonic Foraminifers                      ,               ,MP                ,R                               ,R               ,R                     ,F/C                  ,                      ,F/C                   ,R                       ,R                   ,F/C                   ,R                    ,                   ,                      ,R                     ,                       ,F/C                          ,R                   ,R                         ,                     ,                         ,                                   ,                      ,                          ,                      ,                         ,                         ,                      ,                         ,                  ,                           ,                    ,                       ,                                      ,                              ,                        ,                       ,                   ,                          ,from 130SR.Chapter 9.Figure 6.page 118.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,P19               ,              ,130, 803,D, 53,X, 1,  55.00,    487.1500,Leckie   ,Planktonic Foraminifers                      ,               ,MP                ,R                               ,F/C             ,R                     ,F/C                  ,                      ,R                     ,R                       ,R                   ,F/C                   ,R                    ,                   ,                      ,                      ,R                      ,F/C                          ,R                   ,?                         ,                     ,                         ,R                                  ,R                     ,                          ,R                     ,                         ,                         ,                      ,                         ,                  ,                           ,                    ,                       ,                                      ,                              ,                        ,                       ,                   ,                          ,from 130SR.Chapter 9.Figure 6.page 118.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,P19               ,              ,130, 803,D, 53,X, 3,  52.00,    490.1200,Leckie   ,Planktonic Foraminifers                      ,               ,MP                ,R                               ,F/C             ,                      ,F/C                  ,                      ,R                     ,                        ,R                   ,F/C                   ,R                    ,R                  ,                      ,                      ,                       ,F/C                          ,R                   ,?                         ,                     ,                         ,                                   ,R                     ,                          ,                      ,                         ,                         ,                      ,                         ,                  ,                           ,                    ,                       ,                                      ,                              ,                        ,                       ,                   ,                          ,from 130SR.Chapter 9.Figure 6.page 118.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,P19               ,              ,130, 803,D, 53,X,CC,  17.00,    492.2300,Leckie   ,Planktonic Foraminifers                      ,               ,MP                ,F/C                             ,R               ,R                     ,R                    ,                      ,R                     ,                        ,R                   ,F/C                   ,R                    ,R                  ,                      ,                      ,                       ,F/C                          ,R                   ,R                         ,                     ,                         ,                                   ,                      ,R                         ,R                     ,                         ,                         ,                      ,                         ,                  ,                           ,                    ,                       ,                                      ,                              ,                        ,                       ,                   ,                          ,from 130SR.Chapter 9.Figure 6.page 118.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,P19               ,              ,130, 803,D, 54,X, 1,  41.00,    496.7100,Leckie   ,Planktonic Foraminifers                      ,               ,MP                ,R                               ,F/C             ,R                     ,R                    ,                      ,R                     ,                        ,F/C                 ,F/C                   ,R                    ,                   ,                      ,R                     ,R                      ,F/C                          ,R                   ,R                         ,                     ,                         ,R                                  ,                      ,                          ,R                     ,                         ,                         ,                      ,                         ,                  ,                           ,                    ,                       ,                                      ,                              ,                        ,                       ,                   ,                          ,from 130SR.Chapter 9.Figure 6.page 118.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,P19               ,              ,130, 803,D, 54,X, 3,  57.00,    499.8700,Leckie   ,Planktonic Foraminifers                      ,               ,MG                ,F/C                             ,F/C             ,                      ,                     ,                      ,F/C                   ,R                       ,R                   ,R                     ,F/C                  ,R                  ,                      ,R                     ,R                      ,F/C                          ,R                   ,R                         ,                     ,                         ,R                                  ,R                     ,                          ,R                     ,                         ,                         ,                      ,                         ,                  ,                           ,                    ,                       ,                                      ,                              ,                        ,                       ,                   ,                          ,from 130SR.Chapter 9.Figure 6.page 118.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,P19               ,              ,130, 803,D, 54,X,CC,  25.00,    502.9000,Leckie   ,Planktonic Foraminifers                      ,               ,MP                ,                                ,R               ,?                     ,                     ,                      ,R                     ,F/C                     ,R                   ,R                     ,F/C                  ,R                  ,                      ,                      ,R                      ,R                            ,                    ,F/C                       ,                     ,?                        ,                                   ,R                     ,                          ,R                     ,                         ,                         ,                      ,                         ,                  ,                           ,                    ,                       ,                                      ,                              ,                        ,                       ,                   ,                          ,from 130SR.Chapter 9.Figure 6.page 118.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,P19               ,              ,130, 803,D, 55,X, 1,  63.00,    506.6300,Leckie   ,Planktonic Foraminifers                      ,               ,MP                ,                                ,F/C             ,                      ,                     ,                      ,R                     ,F/C                     ,R                   ,R                     ,F/C                  ,                   ,                      ,                      ,                       ,R                            ,                    ,F/C                       ,                     ,                         ,                                   ,R                     ,F/C                       ,R                     ,                         ,                         ,                      ,                         ,                  ,                           ,                    ,                       ,                                      ,                              ,                        ,                       ,                   ,                          ,from 130SR.Chapter 9.Figure 6.page 118.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,P19               ,              ,130, 803,D, 55,X, 3,  64.00,    509.6400,Leckie   ,Planktonic Foraminifers                      ,               ,MG                ,                                ,F/C             ,?                     ,R                    ,                      ,F/C                   ,R                       ,R                   ,F/C                   ,F/C                  ,                   ,                      ,                      ,R                      ,F/C                          ,R                   ,R                         ,                     ,                         ,                                   ,                      ,R                         ,                      ,                         ,                         ,                      ,                         ,                  ,                           ,                    ,                       ,                                      ,                              ,                        ,                       ,                   ,                          ,from 130SR.Chapter 9.Figure 6.page 118.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,P18               ,              ,130, 803,D, 55,X,CC,  41.00,    512.3300,Leckie   ,Planktonic Foraminifers                      ,               ,MG                ,R                               ,F/C             ,?                     ,R                    ,                      ,F/C                   ,R                       ,R                   ,R                     ,F/C                  ,?                  ,F/C                   ,R                     ,R                      ,F/C                          ,                    ,F/C                       ,                     ,                         ,                                   ,R                     ,                          ,                      ,                         ,                         ,                      ,                         ,                  ,                           ,                    ,                       ,                                      ,                              ,                        ,                       ,                   ,                          ,from 130SR.Chapter 9.Figure 6.page 118.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,P18               ,              ,130, 803,D, 56,X, 1,  66.00,    516.2600,Leckie   ,Planktonic Foraminifers                      ,               ,MG                ,R                               ,R               ,?                     ,R                    ,                      ,F/C                   ,F/C                     ,R                   ,R                     ,F/C                  ,                   ,F/C                   ,                      ,R                      ,F/C                          ,R                   ,F/C                       ,                     ,R                        ,                                   ,                      ,                          ,R                     ,                         ,                         ,                      ,                         ,                  ,                           ,                    ,                       ,                                      ,                              ,                        ,                       ,                   ,                          ,from 130SR.Chapter 9.Figure 6.page 118.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,P18               ,              ,130, 803,D, 56,X, 3,  50.00,    519.1000,Leckie   ,Planktonic Foraminifers                      ,               ,MG                ,                                ,F/C             ,?                     ,                     ,                      ,R                     ,R                       ,                    ,R                     ,R                    ,                   ,F/C                   ,                      ,R                      ,                             ,R                   ,R                         ,                     ,                         ,R                                  ,                      ,R                         ,                      ,                         ,                         ,                      ,                         ,                  ,                           ,                    ,                       ,                                      ,                              ,                        ,                       ,                   ,                          ,from 130SR.Chapter 9.Figure 6.page 118.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,P18               ,              ,130, 803,D, 56,X, 5,  51.00,    522.1100,Leckie   ,Planktonic Foraminifers                      ,               ,MG                ,                                ,F/C             ,R                     ,                     ,                      ,F/C                   ,F/C                     ,R                   ,R                     ,R                    ,R                  ,F/C                   ,                      ,R                      ,F/C                          ,R                   ,R                         ,                     ,R                        ,R                                  ,R                     ,                          ,                      ,                         ,                         ,                      ,                         ,                  ,                           ,                    ,                       ,                                      ,                              ,                        ,                       ,                   ,                          ,from 130SR.Chapter 9.Figure 6.page 118.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,P18               ,              ,130, 803,D, 56,X,CC,  35.00,    524.6700,Leckie   ,Planktonic Foraminifers                      ,               ,G                 ,R                               ,F/C             ,                      ,                     ,                      ,R                     ,F/C                     ,R                   ,R                     ,R                    ,R                  ,F/C                   ,                      ,                       ,F/C                          ,R                   ,R                         ,                     ,R                        ,                                   ,                      ,F/C                       ,                      ,                         ,                         ,                      ,                         ,                  ,                           ,                    ,                       ,                                      ,                              ,                        ,                       ,                   ,                          ,from 130SR.Chapter 9.Figure 6.page 118.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,P18               ,              ,130, 803,D, 57,X, 1,  71.00,    526.0100,Leckie   ,Planktonic Foraminifers                      ,               ,MP                ,                                ,R               ,                      ,                     ,                      ,R                     ,F/C                     ,R                   ,R                     ,F/C                  ,                   ,F/C                   ,                      ,                       ,F/C                          ,R                   ,R                         ,                     ,R                        ,                                   ,R                     ,F/C                       ,                      ,                         ,                         ,                      ,                         ,                  ,                           ,                    ,                       ,                                      ,                              ,                        ,                       ,                   ,                          ,from 130SR.Chapter 9.Figure 6.page 118.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,P18               ,              ,130, 803,D, 57,X, 3,  46.00,    528.7600,Leckie   ,Planktonic Foraminifers                      ,               ,MG                ,R                               ,                ,                      ,                     ,                      ,F/C                   ,F/C                     ,R                   ,R                     ,F/C                  ,                   ,F/C                   ,                      ,R                      ,F/C                          ,R                   ,R                         ,                     ,R                        ,                                   ,R                     ,F/C                       ,                      ,                         ,                         ,                      ,                         ,                  ,                           ,                    ,                       ,                                      ,                              ,                        ,                       ,                   ,                          ,from 130SR.Chapter 9.Figure 6.page 118.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
