Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Agglutinated spp. (indeterminate),Nonionella miocenica,Cassidulina minuta,Epistominella pacifica,Uvigerina peregrina,Quinqueloculina sp.,Globobulimina pacifica,Valvulineria araucana,Bulimina striata mexicana,Lagena spp.,Calcareous spp. (indeterminate),Melonis pompilioides,Gyroidina soldanii rotundimargo,Gyroidina soldanii altiformis,Fissurina spp.,Elphidium excavatum f. clavatum,Cibicidoides wuellerstorfi,Oridorsalis umbonatus,Elphidium spp.,Fursenkoina sp.,Elphidiella hannai,Cassidulina spp.,Uvigerina senticosa,Bolivina spissa,Fursenkoina bradyi,Cibicides spp.,Chilostomella oolina,Cassidulinoides bradyi,Bulimina subacuminata,Cassidulina limbata,Pyrgo spp.,Pullenia bulloides,Nonionella labradorica,Cassidulina translucens,Buliminella subfusiformis,Bulimina subcalva,Bulimina exilis,Bulimina barbata,Buccella frigida,Uvigerina hispida,Trifarina angulosa,Nodosaria spp.,Globocassidulina subglobosa,Dorothia sp.,Cibicidoides spp.,Cassidulina californica,Buccella tenerrima,Chilostomella ovoidea,Elphidiella oregonense,Cassidulina teretis,Uvigerina dirupta,Lenticulina sp.,Guttulina sp.,Cassidulinoides cornuta,Bolivina spp.,Bolivina subspinescens,Eponides healdi,Pullenia salisburyi,Glandulina laevigata,Cibicidoides mckannai,Globobulimina affinis,Buliminella elegantissima,Nonionella globosa,Trichohyalus ornatissima,Eggerella bradyi,Cassidulina carinata,Karreriella sp.,Cassidulina norcrossi,Cassidulina cushmani,Bulimina spp.,Bolivina seminuda,Bolivina interjuncta,Bolivina argentea,Astrononion sp.,Triloculina sp.,Epistominella sp.,Epistominella exigua,Reophax sp.,Bolivina translucens,Suggrunda sp.,Globobulimina auriculata,Bolivina pseudobeyrichi,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 888,B,  6,H, 2,   4.00,     45.0400,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,S                                ,                    ,                  ,                      ,                   ,                   ,                      ,                     ,                         ,           ,                               ,                    ,                               ,                             ,              ,                               ,                          ,                     ,              ,               ,                  ,                ,                   ,               ,                  ,              ,                    ,                      ,                     ,                   ,          ,                  ,                      ,                       ,                         ,                 ,               ,                ,                ,                 ,                  ,              ,                           ,            ,                 ,                       ,                  ,                     ,                      ,                   ,                 ,               ,             ,                       ,             ,                      ,               ,                   ,                    ,                     ,                     ,                         ,                  ,                        ,                ,                    ,               ,                     ,                    ,             ,                 ,                    ,                 ,               ,               ,                 ,                    ,           ,                    ,             ,                        ,                       ,from Leg 146 SR; Ch 5; Table 1; p. 82-90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 888,B,  6,H, 3,   2.00,     46.5200,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,S                                ,                    ,                  ,                      ,                   ,                   ,                      ,                     ,                         ,           ,                               ,                    ,                               ,                             ,              ,                               ,                          ,                     ,              ,               ,                  ,                ,                   ,               ,                  ,              ,                    ,                      ,                     ,                   ,          ,                  ,                      ,                       ,                         ,                 ,               ,                ,                ,                 ,                  ,              ,                           ,            ,                 ,                       ,                  ,                     ,                      ,                   ,                 ,               ,             ,                       ,             ,                      ,               ,                   ,                    ,                     ,                     ,                         ,                  ,                        ,                ,                    ,               ,                     ,                    ,             ,                 ,                    ,                 ,               ,               ,                 ,                    ,           ,                    ,             ,                        ,                       ,from Leg 146 SR; Ch 5; Table 1; p. 82-90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 888,B,  6,H, 4,   1.00,     48.0100,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,S                                ,                    ,                  ,S                     ,                   ,                   ,                      ,                     ,                         ,           ,                               ,                    ,                               ,                             ,              ,                               ,                          ,                     ,              ,               ,                  ,                ,                   ,               ,                  ,              ,                    ,                      ,                     ,                   ,          ,                  ,                      ,                       ,                         ,                 ,               ,                ,                ,                 ,                  ,              ,                           ,            ,                 ,                       ,                  ,                     ,                      ,                   ,                 ,               ,             ,                       ,             ,                      ,               ,                   ,                    ,                     ,                     ,                         ,                  ,                        ,                ,                    ,               ,                     ,                    ,             ,                 ,                    ,                 ,               ,               ,                 ,                    ,           ,                    ,             ,                        ,                       ,from Leg 146 SR; Ch 5; Table 1; p. 82-90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 888,B,  6,H,CC,  25.00,     53.4500,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,                                 ,                    ,S                 ,S                     ,                   ,                   ,                      ,                     ,                         ,           ,                               ,                    ,                               ,                             ,              ,                               ,                          ,                     ,              ,               ,                  ,                ,                   ,               ,                  ,S             ,                    ,                      ,                     ,                   ,          ,                  ,                      ,                       ,                         ,                 ,               ,                ,                ,                 ,                  ,              ,                           ,            ,                 ,                       ,                  ,                     ,                      ,                   ,                 ,               ,             ,                       ,             ,                      ,               ,                   ,                    ,                     ,                     ,                         ,R                 ,                        ,                ,                    ,               ,                     ,                    ,             ,                 ,                    ,                 ,               ,               ,                 ,                    ,           ,                    ,             ,                        ,                       ,from Leg 146 SR; Ch 5; Table 1; p. 82-90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 888,B,  7,H, 1, 111.00,     54.1100,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,S                                ,                    ,                  ,                      ,                   ,                   ,                      ,                     ,                         ,           ,                               ,                    ,                               ,                             ,              ,                               ,                          ,                     ,              ,               ,                  ,                ,                   ,               ,                  ,              ,                    ,                      ,                     ,                   ,          ,                  ,                      ,                       ,                         ,                 ,               ,                ,                ,                 ,                  ,              ,                           ,            ,                 ,                       ,                  ,                     ,                      ,                   ,                 ,               ,             ,                       ,             ,                      ,               ,                   ,                    ,                     ,                     ,                         ,                  ,                        ,                ,                    ,               ,                     ,                    ,             ,                 ,                    ,                 ,               ,               ,                 ,                    ,           ,                    ,             ,                        ,                       ,from Leg 146 SR; Ch 5; Table 1; p. 82-90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 888,B,  7,H, 2, 115.00,     55.6500,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,                                 ,                    ,                  ,                      ,                   ,                   ,                      ,                     ,                         ,           ,                               ,                    ,                               ,                             ,              ,                               ,                          ,                     ,              ,               ,                  ,                ,                   ,               ,                  ,              ,                    ,                      ,                     ,                   ,          ,                  ,                      ,                       ,                         ,                 ,               ,                ,                ,                 ,                  ,              ,                           ,            ,                 ,                       ,                  ,                     ,                      ,                   ,                 ,               ,             ,                       ,             ,                      ,               ,                   ,                    ,                     ,                     ,                         ,S                 ,                        ,                ,                    ,               ,                     ,                    ,             ,                 ,                    ,                 ,               ,S              ,                 ,                    ,           ,                    ,             ,                        ,                       ,from Leg 146 SR; Ch 5; Table 1; p. 82-90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 888,B,  7,H, 3,  84.00,     56.8600,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,S                                ,                    ,S                 ,R                     ,                   ,S                  ,                      ,                     ,                         ,           ,                               ,                    ,                               ,                             ,              ,                               ,                          ,                     ,              ,               ,                  ,                ,                   ,               ,                  ,              ,                    ,                      ,                     ,                   ,          ,                  ,                      ,                       ,                         ,                 ,               ,                ,                ,                 ,                  ,              ,                           ,            ,                 ,                       ,                  ,                     ,                      ,                   ,                 ,               ,             ,                       ,             ,                      ,               ,                   ,                    ,                     ,                     ,                         ,                  ,                        ,                ,                    ,               ,                     ,                    ,             ,                 ,                    ,                 ,               ,               ,                 ,                    ,           ,                    ,             ,                        ,                       ,from Leg 146 SR; Ch 5; Table 1; p. 82-90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 888,B,  7,H, 5, 144.00,     60.4600,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,                                 ,                    ,R                 ,                      ,                   ,                   ,                      ,                     ,                         ,           ,                               ,                    ,                               ,                             ,              ,                               ,                          ,                     ,              ,               ,                  ,                ,                   ,               ,                  ,              ,                    ,                      ,                     ,                   ,          ,                  ,                      ,                       ,                         ,                 ,               ,                ,                ,                 ,                  ,              ,                           ,            ,                 ,                       ,                  ,                     ,                      ,                   ,                 ,               ,             ,                       ,             ,                      ,               ,                   ,                    ,                     ,                     ,                         ,                  ,                        ,                ,                    ,               ,                     ,                    ,             ,                 ,                    ,                 ,               ,               ,                 ,                    ,           ,                    ,             ,                        ,                       ,from Leg 146 SR; Ch 5; Table 1; p. 82-90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 888,B,  7,H, 6, 125.00,     61.7700,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,                                 ,                    ,C                 ,S                     ,                   ,                   ,                      ,                     ,                         ,           ,                               ,                    ,                               ,                             ,              ,R                              ,                          ,                     ,              ,               ,                  ,                ,                   ,               ,                  ,              ,                    ,                      ,                     ,                   ,          ,                  ,                      ,                       ,                         ,                 ,               ,                ,                ,                 ,                  ,              ,                           ,            ,                 ,                       ,                  ,                     ,                      ,                   ,                 ,               ,             ,                       ,             ,                      ,               ,                   ,                    ,                     ,                     ,                         ,C                 ,                        ,                ,                    ,               ,                     ,                    ,             ,                 ,                    ,                 ,               ,               ,                 ,                    ,           ,                    ,             ,                        ,                       ,from Leg 146 SR; Ch 5; Table 1; p. 82-90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 888,B,  7,H,CC,  33.00,     63.1500,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,                                 ,                    ,                  ,S                     ,                   ,                   ,                      ,                     ,                         ,S          ,                               ,                    ,                               ,                             ,              ,                               ,                          ,                     ,              ,               ,                  ,                ,                   ,               ,                  ,              ,                    ,                      ,                     ,                   ,          ,                  ,                      ,                       ,                         ,                 ,               ,                ,                ,                 ,                  ,              ,                           ,            ,                 ,                       ,                  ,                     ,                      ,                   ,                 ,               ,             ,                       ,             ,                      ,               ,                   ,                    ,                     ,                     ,                         ,                  ,                        ,                ,                    ,               ,                     ,                    ,             ,                 ,                    ,                 ,               ,               ,                 ,                    ,           ,                    ,             ,                        ,                       ,from Leg 146 SR; Ch 5; Table 1; p. 82-90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 888,B,  8,H, 1, 146.00,     63.9600,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,S                                ,                    ,                  ,                      ,                   ,                   ,                      ,                     ,                         ,           ,                               ,                    ,                               ,                             ,              ,                               ,                          ,                     ,              ,R              ,                  ,                ,                   ,               ,                  ,              ,                    ,                      ,                     ,                   ,          ,                  ,                      ,                       ,                         ,                 ,               ,                ,                ,                 ,                  ,              ,                           ,            ,                 ,                       ,                  ,                     ,                      ,                   ,                 ,               ,             ,                       ,             ,                      ,               ,                   ,                    ,                     ,                     ,                         ,S                 ,                        ,                ,                    ,               ,                     ,                    ,             ,                 ,                    ,                 ,               ,               ,                 ,                    ,           ,                    ,             ,                        ,                       ,from Leg 146 SR; Ch 5; Table 1; p. 82-90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 888,B,  8,H, 2, 146.00,     65.4700,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,                                 ,                    ,S                 ,                      ,                   ,                   ,                      ,                     ,                         ,           ,                               ,                    ,                               ,                             ,              ,S                              ,                          ,                     ,              ,               ,                  ,                ,                   ,               ,                  ,              ,                    ,                      ,                     ,                   ,          ,                  ,                      ,                       ,                         ,                 ,               ,                ,                ,                 ,                  ,              ,                           ,            ,                 ,                       ,                  ,                     ,                      ,                   ,                 ,               ,             ,                       ,             ,                      ,               ,                   ,                    ,                     ,                     ,                         ,                  ,                        ,                ,                    ,               ,                     ,                    ,             ,                 ,                    ,                 ,               ,               ,                 ,                    ,           ,                    ,             ,                        ,                       ,from Leg 146 SR; Ch 5; Table 1; p. 82-90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 888,B,  8,H, 4, 129.00,     68.3100,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,S                                ,S                   ,R                 ,R                     ,                   ,                   ,                      ,                     ,                         ,S          ,                               ,                    ,                               ,                             ,              ,                               ,                          ,                     ,R             ,               ,                  ,                ,                   ,               ,                  ,              ,                    ,                      ,                     ,                   ,          ,                  ,                      ,                       ,                         ,                 ,               ,                ,                ,                 ,                  ,              ,                           ,            ,                 ,                       ,                  ,                     ,                      ,                   ,                 ,               ,             ,                       ,             ,                      ,               ,                   ,                    ,                     ,                     ,                         ,R                 ,                        ,                ,                    ,               ,                     ,                    ,             ,                 ,                    ,                 ,               ,               ,                 ,                    ,S          ,                    ,             ,                        ,                       ,from Leg 146 SR; Ch 5; Table 1; p. 82-90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 888,B,  8,H, 5, 146.00,     69.9800,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,                                 ,                    ,F                 ,                      ,                   ,                   ,                      ,                     ,                         ,           ,                               ,                    ,                               ,                             ,              ,                               ,                          ,                     ,              ,R              ,                  ,                ,                   ,               ,                  ,              ,                    ,                      ,                     ,                   ,          ,                  ,                      ,                       ,                         ,                 ,               ,                ,                ,                 ,                  ,              ,                           ,            ,                 ,                       ,                  ,                     ,                      ,                   ,                 ,               ,             ,                       ,             ,                      ,               ,                   ,                    ,                     ,                     ,                         ,R                 ,                        ,                ,                    ,               ,                     ,                    ,             ,                 ,                    ,                 ,               ,S              ,                 ,                    ,           ,                    ,             ,                        ,                       ,from Leg 146 SR; Ch 5; Table 1; p. 82-90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 888,B,  8,H,CC,   0.00,     71.6900,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,                                 ,R                   ,F                 ,C                     ,R                  ,S                  ,R                     ,                     ,                         ,           ,R                              ,                    ,                               ,                             ,              ,F                              ,                          ,                     ,              ,S              ,                  ,S               ,                   ,               ,                  ,R             ,                    ,                      ,R                    ,S                  ,          ,                  ,R                     ,                       ,R                        ,                 ,               ,                ,R               ,                 ,S                 ,              ,                           ,            ,                 ,                       ,S                 ,                     ,                      ,                   ,S                ,               ,             ,                       ,             ,                      ,               ,                   ,                    ,S                    ,                     ,S                        ,                  ,                        ,                ,                    ,               ,                     ,                    ,             ,                 ,S                   ,                 ,               ,               ,                 ,                    ,           ,                    ,             ,                        ,                       ,from Leg 146 SR; Ch 5; Table 1; p. 82-90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 888,B,  9,H, 2, 136.00,     74.8600,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,S                                ,                    ,                  ,S                     ,                   ,                   ,                      ,                     ,                         ,           ,                               ,                    ,                               ,                             ,              ,                               ,                          ,                     ,              ,               ,                  ,                ,                   ,               ,                  ,              ,                    ,                      ,                     ,                   ,          ,                  ,                      ,                       ,                         ,                 ,               ,                ,                ,                 ,                  ,              ,                           ,            ,                 ,                       ,                  ,                     ,                      ,                   ,                 ,               ,             ,                       ,             ,                      ,               ,                   ,                    ,                     ,                     ,                         ,                  ,                        ,                ,                    ,               ,                     ,                    ,             ,                 ,                    ,                 ,               ,               ,                 ,S                   ,           ,                    ,             ,                        ,                       ,from Leg 146 SR; Ch 5; Table 1; p. 82-90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 888,B,  9,H, 3, 127.00,     76.2900,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,S                                ,                    ,                  ,                      ,                   ,R                  ,                      ,                     ,                         ,           ,                               ,                    ,                               ,                             ,              ,                               ,S                         ,                     ,              ,               ,                  ,                ,                   ,               ,                  ,S             ,                    ,                      ,                     ,                   ,          ,                  ,                      ,                       ,                         ,                 ,               ,                ,                ,                 ,                  ,              ,                           ,            ,                 ,                       ,                  ,                     ,                      ,                   ,                 ,               ,             ,                       ,             ,                      ,               ,                   ,                    ,                     ,                     ,                         ,S                 ,                        ,                ,                    ,               ,                     ,                    ,             ,                 ,                    ,                 ,               ,S              ,                 ,                    ,           ,                    ,             ,                        ,                       ,from Leg 146 SR; Ch 5; Table 1; p. 82-90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 888,B,  9,H, 4,  67.00,     77.1900,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,S                                ,                    ,                  ,                      ,                   ,R                  ,                      ,R                    ,                         ,           ,                               ,R                   ,                               ,S                            ,              ,                               ,S                         ,                     ,              ,S              ,                  ,                ,R                  ,               ,                  ,              ,                    ,                      ,R                    ,                   ,          ,R                 ,                      ,                       ,                         ,                 ,               ,                ,                ,                 ,                  ,              ,                           ,            ,                 ,                       ,                  ,                     ,                      ,                   ,                 ,               ,             ,                       ,             ,                      ,               ,                   ,                    ,                     ,                     ,                         ,                  ,                        ,                ,                    ,               ,                     ,                    ,S            ,                 ,                    ,                 ,               ,R              ,                 ,                    ,           ,                    ,             ,                        ,                       ,from Leg 146 SR; Ch 5; Table 1; p. 82-90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 888,B,  9,H, 5, 136.00,     79.3800,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,S                                ,                    ,                  ,                      ,                   ,                   ,                      ,                     ,                         ,           ,                               ,                    ,                               ,                             ,              ,R                              ,                          ,                     ,              ,               ,                  ,R               ,                   ,               ,                  ,R             ,                    ,                      ,                     ,                   ,          ,                  ,                      ,                       ,                         ,                 ,               ,                ,                ,                 ,                  ,              ,                           ,            ,                 ,                       ,                  ,                     ,                      ,                   ,                 ,               ,             ,                       ,             ,                      ,R              ,                   ,                    ,                     ,                     ,                         ,                  ,                        ,                ,                    ,               ,                     ,                    ,             ,                 ,                    ,                 ,               ,               ,S                ,                    ,           ,                    ,             ,                        ,                       ,from Leg 146 SR; Ch 5; Table 1; p. 82-90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 888,B,  9,H, 6, 137.00,     80.8900,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,S                                ,S                   ,R                 ,S                     ,R                  ,S                  ,                      ,R                    ,                         ,           ,                               ,S                   ,                               ,                             ,              ,R                              ,                          ,S                    ,              ,R              ,                  ,                ,S                  ,S              ,                  ,S             ,                    ,                      ,                     ,                   ,          ,                  ,                      ,                       ,                         ,                 ,               ,                ,                ,                 ,                  ,              ,                           ,            ,                 ,                       ,                  ,                     ,                      ,                   ,                 ,               ,             ,                       ,             ,                      ,               ,                   ,                    ,                     ,                     ,                         ,                  ,                        ,                ,                    ,               ,                     ,                    ,             ,                 ,                    ,                 ,               ,               ,                 ,                    ,           ,                    ,             ,                        ,                       ,from Leg 146 SR; Ch 5; Table 1; p. 82-90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 888,B,  9,H,CC,  22.00,     81.5100,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,                                 ,                    ,S                 ,R                     ,                   ,                   ,                      ,                     ,                         ,           ,                               ,                    ,                               ,                             ,              ,R                              ,                          ,                     ,              ,               ,                  ,                ,                   ,               ,                  ,S             ,                    ,                      ,                     ,                   ,          ,                  ,                      ,                       ,                         ,                 ,               ,                ,                ,                 ,                  ,              ,                           ,            ,                 ,                       ,                  ,                     ,                      ,                   ,                 ,               ,             ,                       ,             ,                      ,               ,                   ,                    ,                     ,                     ,                         ,                  ,                        ,                ,                    ,               ,                     ,                    ,             ,                 ,                    ,                 ,               ,               ,                 ,                    ,           ,                    ,             ,                        ,                       ,from Leg 146 SR; Ch 5; Table 1; p. 82-90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 888,B, 10,H, 1,  46.00,     81.9600,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,S                                ,                    ,S                 ,                      ,                   ,                   ,                      ,                     ,                         ,           ,S                              ,                    ,                               ,                             ,              ,                               ,                          ,                     ,              ,               ,                  ,                ,                   ,               ,                  ,              ,                    ,                      ,                     ,                   ,          ,                  ,                      ,                       ,                         ,                 ,               ,                ,                ,                 ,                  ,              ,                           ,            ,                 ,                       ,                  ,                     ,                      ,                   ,                 ,               ,             ,                       ,             ,                      ,               ,                   ,                    ,                     ,                     ,                         ,                  ,                        ,                ,                    ,               ,                     ,                    ,             ,                 ,                    ,                 ,               ,               ,                 ,                    ,           ,                    ,             ,                        ,                       ,from Leg 146 SR; Ch 5; Table 1; p. 82-90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 888,B, 10,H, 2, 135.00,     84.3500,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,S                                ,                    ,                  ,                      ,                   ,R                  ,                      ,                     ,                         ,           ,                               ,                    ,                               ,                             ,              ,                               ,                          ,                     ,              ,               ,                  ,                ,                   ,               ,                  ,              ,                    ,                      ,                     ,                   ,          ,                  ,                      ,                       ,                         ,                 ,               ,                ,                ,                 ,                  ,              ,                           ,            ,                 ,                       ,                  ,                     ,                      ,                   ,                 ,               ,             ,                       ,             ,                      ,               ,                   ,                    ,                     ,                     ,                         ,                  ,                        ,                ,                    ,               ,                     ,                    ,             ,                 ,                    ,                 ,               ,R              ,                 ,                    ,           ,                    ,             ,                        ,                       ,from Leg 146 SR; Ch 5; Table 1; p. 82-90
