Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Watznaueria barnesae	Tranolithus orionatus	Prediscosphaera cretacea	Parhabdolithus angustus	Lithastrinus floralis	Gartnerago obliquum	Gartnerago nanum	Eiffellithus turriseiffelii	Cretarhabdus surirellus	Cretarhabdus conicus	Chiastozygus litterarius	Broinsonia signata	Biscutum constans	Ahmuellerella octoradiata	Kamptnerius magnificus	Zygodiscus diplogrammus	Micula staurophora	Lithraphidites carniolensis	Cylindralithus sp.	Cyclagelosphaera margerelii	Biscutum magnum	Reinhardtites anthophorus	Seribiscutum primitivum	Lucianorhabdus cayeuxii	Eiffellithus trabeculatus	Eiffellithus eximius	Biscutum coronum	Arkhangelskiella cymbiformis	Broinsonia enormis	Broinsonia parca	Prediscosphaera spinosa	Reinhardtites levis	Zygodiscus spiralis	Nephrolithus frequens	Nephrolithus corystus	Cribrosphaerella ehrenbergii	Cribrosphaerella daniae	Markalius inversus (oval)	Thoracosphaera spp.	Microrhabdulus decoratus	Biscutum sp.	Crepidolithus sp.	Prediscosphaera stoveri	Toweius sp.	Markalius inversus	Cruciplacolithus tenuis	Zygodiscus sigmoides	Biantholithus sparsus	Prinsius dimorphosus	Markalius inversus (circular)	Cruciplacolithus primus	Hornibrookina teuriensis	Cruciplacolithus subrotundus	Cyclagelosphaera reinhardtii	Coccolithus pelagicus	Cruciplacolithus edwardsii	Chiasmolithus danicus	Neochiastozygus modestus	Toweius pertusus	Toweius craticulus	Prinsius martinii	Neochiastozygus concinnus	Lapideacassis sp.	Neochiastozygus sp.	Fasciculithus ulii	Prinsius bisulcus	Fasciculithus tympaniformis	Chiasmolithus bidens	Markalius apertus	Coccolithus subpertusus	Sphenolithus primus	Fasciculithus pileatus	Toweius eminens	Heliolithus sp.	Heliolithus kleinpellii	Discoaster mohleri	Zygrhablithus bijugatus	Toweius callosus	Neococcolithes dubius	Discoaster nobilis	Discoaster multiradiatus	Chiasmolithus solitus	Chiasmolithus consuetus	Discoaster diastypus	Tribrachiatus orthostylus	Sphenolithus moriformis	Ellipsolithus distichus	Discoaster barbadiensis	Sphenolithus radians	Discoaster kuepperi	Coccolithus formosus	Chiasmolithus expansus	Reticulofenestra samodurovii	Discoaster lodoensis	Discoaster spp.	Clausicoccus fenestratus	Helicosphaera sp.	Chiasmolithus grandis	Discoaster sublodoensis	Discoaster praebifax	Reticulofenestra daviesii	Nannotetrina cristata	Comment

  SR	Selandian        	                 	NA6               	              	119	 738	C	 17	R	 1	 115.00	    342.4500	Pospichal	Nannofossils                                 	A              	M                 	                    	                     	                        	                       	                     	                   	                	                           	                       	                    	                        	                  	                 	                         	                      	                       	                  	                           	                  	                           	               	                         	                       	                       	                         	                    	                	                            	                  	                	                       	                   	                   	                     	                     	                            	                       	                         	C                  	                        	            	                 	                       	           	                  	                       	R                   	                     	                    	                             	R                      	R                       	                            	                            	R                    	                          	                     	                        	F               	                  	A                	R                        	                 	                   	                  	C                	                           	A                   	R                	                       	                   	                      	               	               	                       	                  	                       	                	                     	                  	                        	                     	                       	                    	                         	                       	                       	                       	                    	                   	                    	                      	                            	                    	               	                        	                 	                     	                       	                    	                         	                     	from 119 SR Chapter 27 Table 2 page 498-499.

  SR	Selandian        	                 	NA6               	              	119	 738	C	 17	R	 2	  15.00	    342.9500	Pospichal	Nannofossils                                 	A              	M                 	                    	                     	                        	                       	                     	                   	                	                           	                       	                    	                        	                  	                 	                         	                      	                       	                  	                           	                  	                           	               	                         	                       	                       	                         	                    	                	                            	                  	                	                       	                   	                   	                     	                     	                            	                       	                         	C                  	                        	            	                 	                       	           	                  	                       	F                   	                     	                    	                             	                       	R                       	                            	                            	R                    	                          	                     	                        	C               	                  	A                	R                        	                 	                   	                  	A                	                           	C                   	R                	                       	                   	                      	               	               	                       	                  	                       	                	                     	                  	                        	                     	                       	                    	                         	                       	                       	                       	                    	                   	                    	                      	                            	                    	               	                        	                 	                     	                       	                    	                         	                     	from 119 SR Chapter 27 Table 2 page 498-499.

  SR	Selandian        	                 	NA6               	              	119	 738	C	 17	R	 2	  66.00	    343.4600	Pospichal	Nannofossils                                 	A              	M                 	                    	                     	                        	                       	                     	                   	                	                           	                       	                    	                        	                  	                 	                         	                      	                       	                  	                           	                  	                           	               	                         	                       	                       	                         	                    	                	                            	                  	                	                       	                   	                   	                     	                     	                            	                       	                         	C                  	                        	            	                 	                       	           	                  	                       	R                   	                     	                    	                             	                       	R                       	                            	                            	R                    	                          	                     	                        	C               	                  	A                	                         	                 	                   	                  	A                	                           	A                   	R                	                       	                   	                      	               	               	                       	                  	                       	                	                     	                  	                        	                     	                       	                    	                         	                       	                       	                       	                    	                   	                    	                      	                            	                    	               	                        	                 	                     	                       	                    	                         	                     	from 119 SR Chapter 27 Table 2 page 498-499.

  SR	Selandian        	                 	NA6               	              	119	 738	C	 17	R	 2	 115.00	    343.9500	Pospichal	Nannofossils                                 	A              	M                 	                    	                     	                        	                       	                     	                   	                	                           	                       	                    	                        	                  	                 	                         	                      	                       	                  	                           	                  	                           	               	                         	                       	                       	                         	                    	                	                            	                  	                	                       	                   	                   	                     	                     	                            	                       	                         	C                  	                        	            	                 	                       	           	                  	                       	R                   	                     	                    	                             	                       	R                       	                            	                            	                     	                          	                     	                        	C               	                  	A                	                         	                 	                   	                  	A                	R                          	A                   	                 	                       	                   	                      	               	               	                       	                  	                       	                	                     	                  	                        	                     	                       	                    	                         	                       	                       	                       	                    	                   	                    	                      	                            	                    	               	                        	                 	                     	                       	                    	                         	                     	from 119 SR Chapter 27 Table 2 page 498-499.

  SR	Selandian        	                 	NA6               	              	119	 738	C	 17	R	 3	  15.00	    344.4500	Pospichal	Nannofossils                                 	A              	M                 	                    	                     	                        	                       	                     	                   	                	                           	                       	                    	                        	                  	                 	                         	                      	                       	                  	                           	                  	                           	               	                         	                       	                       	                         	                    	                	                            	                  	                	                       	                   	                   	                     	                     	                            	                       	                         	C                  	                        	            	                 	                       	           	R                 	                       	F                   	                     	                    	                             	                       	R                       	                            	                            	                     	                          	                     	                        	C               	                  	A                	                         	                 	                   	                  	C                	                           	A                   	                 	                       	                   	                      	               	               	                       	                  	                       	                	                     	                  	                        	                     	                       	                    	                         	                       	                       	                       	                    	                   	                    	                      	                            	                    	               	                        	                 	                     	                       	                    	                         	                     	from 119 SR Chapter 27 Table 2 page 498-499.

  SR	Selandian        	                 	NA6               	              	119	 738	C	 17	R	 3	  66.00	    344.9600	Pospichal	Nannofossils                                 	A              	M                 	                    	                     	                        	                       	                     	                   	                	                           	                       	                    	                        	                  	                 	                         	                      	                       	                  	                           	                  	                           	               	                         	                       	                       	                         	                    	                	                            	                  	                	                       	                   	                   	                     	                     	                            	                       	                         	C                  	                        	            	                 	                       	           	R                 	                       	R                   	                     	                    	                             	                       	R                       	                            	                            	                     	                          	                     	                        	C               	                  	A                	                         	R                	                   	                  	A                	                           	A                   	                 	                       	                   	                      	               	               	                       	                  	                       	                	                     	                  	                        	                     	                       	                    	                         	                       	                       	                       	                    	                   	                    	                      	                            	                    	               	                        	                 	                     	                       	                    	                         	                     	from 119 SR Chapter 27 Table 2 page 498-499.

  SR	Selandian        	                 	NA6               	              	119	 738	C	 17	R	 3	 115.00	    345.4500	Pospichal	Nannofossils                                 	A              	M                 	                    	                     	                        	                       	                     	                   	                	                           	                       	                    	                        	                  	                 	                         	                      	                       	                  	                           	                  	                           	               	                         	                       	                       	                         	                    	                	                            	                  	                	                       	                   	                   	                     	                     	                            	                       	                         	C                  	                        	            	                 	                       	           	R                 	                       	                    	                     	                    	                             	                       	                        	                            	                            	                     	                          	                     	                        	F               	                  	A                	                         	                 	                   	                  	A                	                           	A                   	                 	                       	                   	                      	               	               	                       	                  	                       	                	                     	                  	                        	                     	                       	                    	                         	                       	                       	                       	                    	                   	                    	                      	                            	                    	               	                        	                 	                     	                       	                    	                         	                     	from 119 SR Chapter 27 Table 2 page 498-499.

  SR	Selandian        	                 	NA6               	              	119	 738	C	 17	R	 4	  15.00	    345.9500	Pospichal	Nannofossils                                 	A              	M                 	                    	                     	                        	                       	                     	                   	                	                           	                       	                    	                        	                  	                 	                         	                      	                       	                  	                           	                  	                           	               	                         	                       	                       	                         	                    	                	                            	                  	                	                       	                   	                   	                     	                     	                            	                       	                         	C                  	                        	            	                 	                       	           	                  	                       	F                   	                     	                    	                             	                       	                        	                            	                            	                     	                          	                     	                        	C               	                  	A                	                         	                 	                   	                  	A                	                           	A                   	R                	R                      	                   	                      	               	               	                       	                  	                       	                	                     	                  	                        	                     	                       	                    	                         	                       	                       	                       	                    	                   	                    	                      	                            	                    	               	                        	                 	                     	                       	                    	                         	                     	from 119 SR Chapter 27 Table 2 page 498-499.

  SR	Selandian        	                 	NA6               	              	119	 738	C	 17	R	 4	  66.00	    346.4600	Pospichal	Nannofossils                                 	A              	M                 	                    	                     	                        	                       	                     	                   	                	                           	                       	                    	                        	                  	                 	                         	                      	                       	                  	                           	                  	                           	               	                         	                       	                       	                         	                    	                	                            	                  	                	                       	                   	                   	                     	                     	                            	                       	                         	C                  	                        	            	                 	                       	           	                  	                       	R                   	                     	                    	                             	                       	R                       	                            	                            	                     	                          	                     	                        	C               	                  	A                	                         	                 	                   	                  	A                	                           	A                   	R                	C                      	                   	                      	               	               	                       	                  	                       	                	                     	                  	                        	                     	                       	                    	                         	                       	                       	                       	                    	                   	                    	                      	                            	                    	               	                        	                 	                     	                       	                    	                         	                     	from 119 SR Chapter 27 Table 2 page 498-499.

  SR	Danian           	                 	NA6               	              	119	 738	C	 17	R	 4	 115.00	    346.9500	Pospichal	Nannofossils                                 	A              	M                 	                    	                     	                        	                       	                     	                   	                	                           	                       	                    	                        	                  	                 	                         	                      	                       	                  	                           	                  	                           	               	                         	                       	                       	                         	                    	                	                            	                  	                	                       	                   	                   	                     	                     	                            	                       	                         	C                  	                        	            	                 	                       	           	R                 	                       	R                   	                     	                    	                             	                       	R                       	                            	                            	                     	                          	                     	                        	C               	                  	A                	                         	                 	                   	                  	A                	                           	C                   	                 	                       	                   	                      	               	               	                       	                  	                       	                	                     	                  	                        	                     	                       	                    	                         	                       	                       	                       	                    	                   	                    	                      	                            	                    	               	                        	                 	                     	                       	                    	                         	                     	from 119 SR Chapter 27 Table 2 page 498-499.

  SR	Danian           	                 	NA6               	              	119	 738	C	 17	R	 5	  15.00	    347.4500	Pospichal	Nannofossils                                 	A              	M                 	                    	                     	                        	                       	                     	                   	                	                           	                       	                    	                        	                  	                 	                         	                      	                       	                  	                           	                  	                           	               	                         	                       	                       	                         	                    	                	                            	                  	                	                       	                   	                   	                     	                     	                            	                       	                         	F                  	                        	            	                 	                       	           	R                 	                       	R                   	                     	                    	                             	                       	R                       	                            	                            	R                    	                          	                     	                        	A               	                  	A                	                         	                 	                   	                  	A                	                           	A                   	                 	                       	                   	                      	               	               	                       	                  	                       	                	                     	                  	                        	                     	                       	                    	                         	                       	                       	                       	                    	                   	                    	                      	                            	                    	               	                        	                 	                     	                       	                    	                         	                     	from 119 SR Chapter 27 Table 2 page 498-499.

  SR	Danian           	                 	NA6               	              	119	 738	C	 17	R	 5	  66.00	    347.9600	Pospichal	Nannofossils                                 	A              	M                 	                    	                     	                        	                       	                     	                   	                	                           	                       	                    	                        	                  	                 	                         	                      	                       	                  	                           	                  	                           	               	                         	                       	                       	                         	                    	                	                            	                  	                	                       	                   	                   	                     	                     	                            	                       	                         	F                  	                        	            	                 	                       	           	R                 	                       	R                   	                     	                    	                             	                       	                        	                            	                            	                     	                          	                     	                        	C               	                  	A                	                         	                 	                   	                  	A                	                           	A                   	                 	                       	                   	                      	               	               	                       	                  	                       	                	                     	                  	                        	                     	                       	                    	                         	                       	                       	                       	                    	                   	                    	                      	                            	                    	               	                        	                 	                     	                       	                    	                         	                     	from 119 SR Chapter 27 Table 2 page 498-499.

  SR	Danian           	                 	NA6               	              	119	 738	C	 17	R	 5	 115.00	    348.4500	Pospichal	Nannofossils                                 	A              	M                 	                    	                     	                        	                       	                     	                   	                	                           	                       	                    	                        	                  	rR               	                         	                      	                       	                  	                           	                  	                           	               	                         	                       	                       	                         	                    	                	                            	                  	                	                       	                   	                   	                     	                     	                            	                       	                         	F                  	                        	            	                 	                       	           	R                 	                       	R                   	                     	                    	                             	                       	R                       	                            	                            	R                    	                          	                     	                        	C               	                  	A                	                         	R                	                   	                  	C                	R                          	A                   	R                	R                      	                   	                      	               	               	                       	                  	                       	                	                     	                  	                        	                     	                       	                    	                         	                       	                       	                       	                    	                   	                    	                      	                            	                    	               	                        	                 	                     	                       	                    	                         	                     	from 119 SR Chapter 27 Table 2 page 498-499.

  SR	Danian           	                 	NA6               	              	119	 738	C	 17	R	 6	  15.00	    348.9500	Pospichal	Nannofossils                                 	A              	M                 	                    	                     	                        	                       	                     	                   	                	                           	                       	                    	                        	                  	rR               	                         	                      	                       	                  	                           	                  	                           	               	                         	                       	                       	                         	                    	                	                            	                  	                	                       	                   	                   	                     	                     	                            	                       	                         	F                  	                        	            	                 	                       	           	R                 	                       	R                   	                     	                    	                             	                       	R                       	                            	                            	                     	                          	                     	                        	C               	                  	A                	                         	                 	                   	                  	A                	                           	A                   	                 	                       	                   	                      	               	               	                       	                  	                       	                	                     	                  	                        	                     	                       	                    	                         	                       	                       	                       	                    	                   	                    	                      	                            	                    	               	                        	                 	                     	                       	                    	                         	                     	from 119 SR Chapter 27 Table 2 page 498-499.

  SR	Danian           	                 	NA6               	              	119	 738	C	 17	R	 6	  66.00	    349.4600	Pospichal	Nannofossils                                 	A              	M                 	                    	                     	                        	                       	                     	                   	                	                           	                       	                    	                        	                  	                 	                         	                      	                       	                  	                           	                  	                           	               	                         	                       	                       	                         	                    	                	                            	                  	                	                       	                   	                   	                     	                     	                            	                       	                         	F                  	                        	            	                 	                       	           	R                 	                       	R                   	                     	                    	                             	                       	R                       	                            	                            	                     	                          	                     	                        	C               	                  	A                	                         	                 	                   	                  	A                	R                          	A                   	                 	                       	                   	                      	               	               	                       	                  	                       	                	                     	                  	                        	                     	                       	                    	                         	                       	                       	                       	                    	                   	                    	                      	                            	                    	               	                        	                 	                     	                       	                    	                         	                     	from 119 SR Chapter 27 Table 2 page 498-499.

  SR	Danian           	                 	NA6               	              	119	 738	C	 17	R	 6	 115.00	    349.9500	Pospichal	Nannofossils                                 	A              	M                 	                    	                     	                        	                       	                     	                   	                	                           	                       	                    	                        	                  	rR               	                         	                      	                       	                  	                           	                  	                           	               	                         	                       	                       	                         	                    	                	                            	                  	                	                       	                   	                   	                     	                     	                            	                       	                         	F                  	                        	            	                 	                       	           	                  	                       	R                   	                     	                    	                             	                       	R                       	                            	                            	                     	                          	                     	                        	A               	                  	A                	                         	                 	                   	                  	A                	                           	A                   	                 	                       	                   	                      	               	               	                       	                  	                       	                	                     	                  	                        	                     	                       	                    	                         	                       	                       	                       	                    	                   	                    	                      	                            	                    	               	                        	                 	                     	                       	                    	                         	                     	from 119 SR Chapter 27 Table 2 page 498-499.

  SR	Danian           	                 	NA6               	              	119	 738	C	 17	R	 7	  15.00	    350.4500	Pospichal	Nannofossils                                 	A              	M                 	                    	                     	                        	                       	                     	                   	                	                           	                       	                    	                        	                  	rR               	                         	                      	                       	                  	                           	                  	                           	               	                         	                       	                       	                         	                    	                	                            	                  	                	                       	                   	                   	                     	                     	                            	                       	                         	F                  	                        	            	                 	                       	           	                  	                       	R                   	                     	                    	                             	                       	R                       	                            	                            	                     	                          	                     	                        	C               	                  	A                	                         	                 	                   	                  	A                	                           	A                   	                 	                       	                   	                      	               	               	                       	                  	                       	                	                     	                  	                        	                     	                       	                    	                         	                       	                       	                       	                    	                   	                    	                      	                            	                    	               	                        	                 	                     	                       	                    	                         	                     	from 119 SR Chapter 27 Table 2 page 498-499.

  SR	Late Paleocene   	                 	CP4               	              	119	 738	C	 17	R	CC	  26.00	    351.2900	Wei      	Nannofossils                                 	A              	M                 	                    	                     	                        	                       	                     	                   	                	                           	                       	                    	                        	                  	rR               	                         	                      	                       	                  	                           	                  	                           	               	                         	                       	                       	                         	                    	                	                            	                  	                	                       	                   	                   	                     	                     	                            	                       	                         	C                  	                        	            	                 	                       	           	F                 	R                      	C                   	                     	F                   	F                            	                       	R                       	                            	                            	                     	F                         	C                    	                        	C               	C                 	A                	F                        	                 	                   	                  	A                	R                          	C                   	                 	                       	                   	                      	               	               	                       	                  	                       	                	                     	                  	                        	                     	                       	                    	                         	                       	                       	                       	                    	                   	                    	                      	                            	                    	               	                        	                 	                     	                       	                    	                         	                     	from 119 SR Chapter 26 Table 5 fold-out back pocket.
