Exp,Hole,Core,Type,Section,Top Depth [m],Foraminferal preservation,Foraminiferal abundance,Planktic foraminiferal %,Globigerina spp.,Globigerina bulloides,Globigerina eamesi,Globigerina falconensis,Globigerinella sp.,Globigerinella aequilateralis,Globigerinita glutinata,Globigerinoides ruber,Globigerinopsis obesa,Globoconella conomiozea,Globoconella explicationis,Globoconella inflata,Globoconella miotumida,Globoconella puncticulata,Globoconella puncticuloides,Globoconella sphericomiozea,Hirsutella scitula,Hirsutella panda,Neogloboquadrina incompta,Neogloboquadrina pachyderma,Neogloboquadrina dutertrei,Orbulina universa,Paragloborotalia mayeri s.l.,Tenuitella sp.,Truncorotalia crassaformis,Truncorotalia juanai,Turborotalita quinqueloba,Truncorotalia truncatulinoides,Zeaglobigerina sp.,Zeaglobierina druryi,Zeaglobierina woodi,Echinoid plate fragments,Echinoid spines,Fish teeth,Ostracods,Shell fragments,Micro-mollusks,Baranacle fragments,Bryozoan fragments,Remarks,Site,Top [cm],Bottom [cm],Bottom Depth [m],A/W,Sample,eodp_id
317,B,75,X,CC,649.79,G,A,12,X,X,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,R,R,,F,,,,,U1351,,,,,317-U1351B-75X-CC-nan,0983e48540db0e58051a6d6c7e997043
317,B,76,X,CC,659.58,G,A,12,X,,,,,,,,,,,,,X,,,,,,X,,,,,,,,,,,,,,F,,F,,,,,U1351,,,,,317-U1351B-76X-CC-nan,289e6e599eae36fa36fb12884129e0d2
317,B,77,X,CC,669.72,G,A,18,X,X,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,R,R,,C,,,,,U1351,,,,,317-U1351B-77X-CC-nan,391c9c24b8826a3ce77c12556294352c
317,B,78,H,CC,678.99,G,A,44,X,X,,,,,,,,,,,,X,,,,,,X,,,,,,,,,,,,,,,,F,,,,,U1351,,,,,317-U1351B-78H-CC-nan,c264b4c832f314663eaabe4bc9955930
317,B,79,X,CC,679.46,G,A,34,X,X,,,,,,,,,,,,X,,,,,,X,,X,,,,,,,,,,,R,,,F,,,,,U1351,,,,,317-U1351B-79X-CC-nan,35c0f2209c7acb7225886b1627bd50ee
317,B,80,X,CC,688.06,G,A,6,X,,,,,,,,,,,,,X,,,,,,X,,,,,,,,,,,?,,R,,,C,,,,,U1351,,,,,317-U1351B-80X-CC-nan,a72cc78f9d073b15ddd64b1c91cfb08b
317,B,81,X,CC,697.67,G,A,10,X,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,C,,,,,U1351,,,,,317-U1351B-81X-CC-nan,8e28a0650a9f4a711890de34a6455aa2
317,B,82,X,CC,707.27,G,A,7,,X,,,,,,,,,,,,X,,,,,,cf.,,,,,,,,,,,,,,,,C,,,,,U1351,,,,,317-U1351B-82X-CC-nan,f8e41f3135f67a10a07a2ec51d735e45
317,B,83,X,CC,716.94,G,A,21,X,X,,,,,,,,,,,,X,,,,,,X,,,,,,,,,,,,,,,,C,,,,,U1351,,,,,317-U1351B-83X-CC-nan,b277e97cc82eb32cc24b5db2706d7769
317,B,84,X,CC,726.71,G,A,57,X,X,,,,,,,,,,,,X,,,,,,X,,,,,X,,,,,,,,F,,,F,,,,,U1351,,,,,317-U1351B-84X-CC-nan,d3349efbf6f7402c2ec6c92fe27bb8f8
