Age,Nannofossil Zone,Sample,Top Depth [m],Preservation,Nannofossil abundance,Amaurolithus delicatus,Amaurolithus primus,Amaurolithus tricorniculatus,Calcidiscus leptoporus,Calcidiscus macintyrei,Calcidiscus premacintyrei,Calcidiscus tropicus,Catinaster coalitus,Ceratolithus acutus,Ceratolithus cristatus,Ceratolithus rugosus,Clausicoccus fenestratus,Coccolithus miopelagicus,Coccolithus pelagicus,Coronocyclus nitescens elliptical,Coronocyclus nitescens,Cyclicargolithus floridanus,Dictyococcites <3 µm,Dictyococcites antarcticus,Discoaster altus,Discoaster asymmetricus,Discoaster bellus,Discoaster berggrenii,Discoaster bollii,Discoaster braarudii,Discoaster brouweri,Discoaster challengeri,Discoaster deflandrei,Discoaster exilis,Discoaster hamatus,Discoaster kugleri,Discoaster loeblichii,Discoaster neorectus,Discoaster pentaradiatus,Discoaster petaliformis,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster surculus,Discoaster tamalis,Discoaster triradiatus,Discoaster variabilis,Gephyrocapsa (>5.5 µm),Gephyrocapsa caribbeanica,Gephyrocapsa ericsonii,Gephyrocapsa oceanica,Gephyrocapsa omega,Hayella challengeri,Helicosphaera ampliaperta,Helicosphaera carteri,Helicosphaera euphratis,Helicosphaera granulata,Helicosphaera intermedia,Helicosphaera sellii,Nicklithus amplificus,Orthorhabdus serratus,Pontosphaera discopora,Pontosphaera japonica,Pontosphaera multipora,Pontosphaera syracusana,Pseudoemiliania lacunosa,Pseudoemiliania ovata,Reticulofenestra asanoi,Reticulofenestra daviesii,Reticulofenestra haqii,Reticulofenestra pseudoumbilicus,small reticlofenestrids,Scyphosphaera apsteinii,Scyphosphaera lagena,Solidopons petrae,Sphenolithus abies,Sphenolithus conicus,Sphenolithus heteromorphus,Sphenolithus moriformis,Syracosphaera pulchra,Triquetrorhabdulus milowii,Triquetrorhabdulus rioi,Triquetrorhabdulus rugosus,Umbilicosphaera jafari,Umbilicosphaera rotula,Umbilicosphaera sibogae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Top [cm],Bottom [cm],Bottom Depth [m],Exp,Site,Hole,Section,Core,A/W,Type,eodp_id
late Miocene,NN10,321-U1338A-22H-2,195.00,M,A,,,,F,F,,,,,,,,,F,,,,,C,,,F,,,,F,,,R,,,,,,,,,F,,,F,,,,,,,,,,,,,,,,,,,,,,,A,C,,,,,A,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,84cddafbd64d3d6020dcf4813a744edf
late Miocene,NN10,321-U1338A-22H-4,198.00,P,C,,,,,F,,,,,,,,,F,,,,C,C,,,F,,,,F,,,R,,,,,R,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,C,C,,,,,C,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,71f473f733ec686abcf31b5a78541a69
late Miocene,NN9,321-U1338A-22H-CC,202.58,M,A,,,,F,F,,,,,,,,,F,,,,,C,,,F,,,,F,,,,R,,,,,,R,,F,,,C,,,,,,,,,,,,,,,,,,,,,,,A,A,,,,,C,,,,,,,R,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d63c04c2fde9b32d4e51f5268e1969cc
late Miocene,NN9,321-U1338A-23H-2,204.50,M,A,,,,F,F,,,,,,,,,F,,,,,C,,,F,,,,,,,F,F,,,,,,,,,,R,C,,,,,,,,,,,,,,,,,,,,,,,C,C,,,,,F,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,2672d642470bd00f8b1cba49dd7843c7
late Miocene,NN9,321-U1338A-23H-4,207.50,M,A,,,,F,F,,,,,,,,,C,,,,C,C,,,R,,,,R,,,F,R,,,,,,,,,,,F,,,,,,,,R,,,,,,,,,,,,,,,C,C,,,,,F,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,19431ad07b74cb8727db24e00f629498
late Miocene,NN9,321-U1338A-23H-CC,211.90,M,A,,,,C,C,,,,,,,,,F,,,,,,,,C,,,,,F,,,F,,,,,,,,,,R,C,,,,,,,,,,,,,,,,,,,,,,,A,A,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a3e6e70d9e32c3e473f681d3027c7bc0
late Miocene,NN9,321-U1338A-24H-2,214.00,M,A,,,,F,F,,,,,,,,,F,,,,,C,,,C,,,,R,,,R,F,,,,,,,,,,R,F,,,,,,,,,,,,,,,,,,,,,,,A,C,,,,,C,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,87cf584c5adfd5ae14524044e9e1a36b
late Miocene,NN9,321-U1338A-24H-4-80,217.00,M,A,,,,R,F,,,,,,,,,F,,,,,C,,,F,,,,,,,R,F,,,,R,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,A,A,,,,,C,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bc047859941f39a41a598975719fac3d
late Miocene,NN9,321-U1338A-24H-CC,221.64,M,A,,,,F,C,,,,,,,,,F,,,,,F,,,C,,,,,,,,R,,,,,,,,R,,,C,,,,,,,,R,,,,,,,,,,,,,,,A,A,,,,,F,,,,,,,F,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,382ab5b27ac04c0a9cc56d227b39dd86
late Miocene,NN8,321-U1338A-25H-2,223.51,M,A,,,,,F,,,R,,,,,F,F,,,,,C,,,,,,R,,F,,F,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,A,A,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,1cdcba86dc991ab1c1e6c893e85db622
late Miocene,NN7,321-U1338A-25H-4,226.53,M,A,,,,,F,,R,,,,,,C,R,,,,,C,,,,,,,,,,F,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,A,A,,,,,C,,,,,,,F,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,1719da03739b88bebbd005eae1e70d98
late Miocene,NN7,321-U1338A-25H-CC,230.92,M,A,,,,,C,,,,,,,,C,C,,,,,C,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,F,,,,,,,,,,,,,,,A,A,,,,,F,,,,,,,F,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164b0147580a8bc1d197d32db0cb40cd
late Miocene,NN7,321-U1338A-26H-2,233.00,P,F,,,,F,F,,,,,,,,C,C,,,,,,,,,,,,,,,R,,,,,,,,,,,,F,,,,,,,,F,,,,,,,,,,,,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,50914f1599313c1f27bccc805896a4f6
late Miocene,NN7,321-U1338A-26H-4,236.00,M,A,,,,R,C,,,,,,,,C,C,,,,,A,,,,,,,,,,F,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,A,A,,,,,F,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,a0d17fe089e9b45abffcb2d6648fdb6e
late Miocene,NN7,321-U1338A-26H-CC,240.64,M,A,,,,R,C,,,,,,,,F,C,,,,A,C,,,,,,,,,,F,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,A,A,,,,,C,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7029f7c730db3c046d2fffa17eb66dfc
late Miocene,NN7,321-U1338A-27X-2,242.50,M,A,,,,C,C,,F,,,,,,F,C,,,,A,A,,,,,,,,,,F,,,,,,,,,,,,C,,,,,,,,F,,,,,,,,,,,,,,,A,C,,,,,C,,,,,,,C,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,0fdbe88097a64a0cbfceba88dea05bf7
late Miocene,NN7,321-U1338A-27X-4,245.50,M,A,,,,F,C,,R,,,,,,R,C,,,,D,A,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,F,,,,,,,,,,,,,,,A,C,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,476bf66b318e2ef4db0604789cd290c4
late Miocene,NN7,321-U1338A-27X-CC,247.60,G,D,,,,,C,,F,,,,,,C,C,,,,A,C,,,,,,,,,R,F,,,,,,,,,,,,C,,,,,,,,F,,R,,,,,,,,,,,,,A,A,,,,,C,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,690299de584e208e5637356290afb150
middle Miocene,NN7,321-U1338B-28H-2,259.40,M,A,,,,F,F,,,,,,,,F,C,,,,C,A,,,,,,,,,,F,,C,,,,,,,,,,F,,,,,,,,F,,,,,,,,,,,,,,,A,C,,,,,C,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,1dadaefa489f11364aa0505dc8595158
middle Miocene,NN7,321-U1338B-28H-4,262.40,M,A,,,,F,R,,F,,,,,,C,C,,,,A,A,,,,,,,,,,F,,C,,,,,,,,,,F,,,,,,,,F,,R,,,,,,,,,,,,,C,C,,,,,A,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,25a57ab6982f6b06050cad99c2cbc1c1
middle Miocene,NN7,321-U1338A-29X-2,261.70,M,A,,,,R,F,,R,,,,,,F,C,,,,A,A,,,,,,,,,,R,,C,,,,,,,,,,F,,,,,,,,F,,,,,,,,,,,,,,,A,C,,,,,C,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,37b6c21dfb77008aa093560cc45242bf
middle Miocene,NN7,321-U1338A-29X-4,264.70,M,A,,,,F,F,,F,,,,,,F,C,,,,A,A,,,,,,,,,,F,,F,,,,,,,,,,F,,,,,,,,F,,F,R,,,,,,,,,,,,C,C,,,,,C,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,6aaf7f5ca62964971874216b109bc094
middle Miocene,NN7,321-U1338A-29X-CC,268.33,M,A,,,,,C,,,,,,,,F,C,,,,A,C,,,,,,,,,,F,,,,,,,,,,,,C,,,,,,,,C,,,,,,,,,,,,,,,A,A,,,,,C,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f0b5b35ac1a2d053d04b44c89a1665ae
middle Miocene,NN7,321-U1338A-30X-CC,269.00,M,A,,,,,C,,,,,,,,F,C,,,,A,A,,,,,,,,,R,F,,,,,,,,,,,,C,,,,,,,,C,,,R,,,,R,,,,,,,,A,A,,,,,C,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,da26655aec01edf4d1f88c280e64d7fe
middle Miocene,NN6,321-U1338B-29H-2,268.90,M,A,,,,R,R,,F,,,,,,F,C,,,,A,A,,,,,,,,,,F,,,,,,,,,,,,F,,,,,,,,F,,,R,,,,,,,,,,,,A,C,,,,,C,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,f166579bf3498f90e3bb62bfb846ec95
middle Miocene,NN6,321-U1338B-29H-4,271.90,M,A,,,,F,F,,F,,,,,,C,C,R,R,F,D,A,,,,,,,,,,R,,,,,,,,,,,,F,,,,,,,,R,,,R,,,,F,,,,,,,,C,C,,,,,C,,,,,,F,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,d3425d058ba4555b2a4f3a84795ee2d6
middle Miocene,NN6,321-U1338A-31X-CC,278.50,G,A,,,,F,F,F,F,,,,,,F,C,,R,R,D,A,,,,,R,,,,F,R,,R,,,,,,,,,,F,,,,,,,,C,,,R,,,F,F,,,,,,,,F,F,,,,,C,,,,,F,F,R,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8f0938b6615f729e7d2f9c9826015af0
middle Miocene,NN6,321-U1338A-32X-2,290.30,M,A,,,,F,R,R,,,,,,,C,C,,C,R,A,A,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,F,R,,,,,F,,,,,,,,,C,A,,,,,C,,,,,F,F,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,5c43bb277e6caedc766af7d319c0e8aa
middle Miocene,NN6,321-U1338A-32X-4,293.30,M,A,,,,F,R,R,,,,,,,C,C,R,C,C,C,A,,,,,,,,,R,F,,,,,,,,,,,,F,,,,,,,,C,,,,,,F,,,,,,,,,A,C,,,,,C,,,,,F,F,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,69ef384b5b77bdacad11b146fbf009a9
middle Miocene,NN6,321-U1338A-32X-CC,296.57,M,A,,,,F,F,F,,,,,,,C,F,,F,R,F,C,,,,,,,,,F,,,,,,,,,,,,,F,,,,,,,,F,,,,,,C,R,,,,,,,,A,C,,,,,C,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,452f287fd31bb70908112955558817ba
middle Miocene,NN6,321-U1338A-33X-2,300.00,M,A,,,,F,F,R,,,,,,,F,C,,,F,A,A,,,,,,,,,R,,,,,,,,,,,,,F,,,,,,,,F,,,,,,F,,,,,,,,,A,C,,,,,C,,,,,,C,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,b47930b3ce839ee6d7e1ce2b01a63d3a
middle Miocene,NN6,321-U1338A-33X-4,303.00,M,A,,,,F,F,F,,,,,,,C,A,,F,R,A,A,,,,,,,,,F,R,,,,,,,,,,,,F,,,,,,,,F,,,,,,F,,,F,,,,,,A,F,,,,,A,,,,,R,F,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,fd1d7f8099fe8b329a2a4e6c4d21608e
middle Miocene,NN6,321-U1338A-33X-CC,306.45,M,A,,,,F,R,R,,,,,,,F,F,F,F,R,A,C,,,,,,,,,R,F,,,,,,,,,,,,C,,,,,,,,F,,R,,,,F,,,,,,,,,A,C,,,,,A,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cd7be6bc0f78a47e749f07962b655871
middle Miocene,NN6,321-U1338A-34X-2,309.60,M,A,,,,F,F,R,,,,,,,C,F,R,F,,C,A,,,,,,,,,,R,,,,,,,,,,,,F,,,,,,,,F,,,,,,F,,,,,,,,,A,F,,,,,A,,,,,R,F,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,8379c80d0002a361885b4c803d8ec112
middle Miocene,NN6,321-U1338A-34X-4,312.60,M,A,,,,R,F,F,,,,,,,F,C,R,R,,A,A,,,,,,,,,,R,,,,,,,,,,,,F,,,,,,,,C,R,,,,,F,,,,,,,,,A,C,,,,,A,,,,,F,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,fb560c7501a5cc2cefb1b54c0f4aa44c
middle Miocene,NN6,321-U1338A-34X-CC,316.10,M,A,,,,,F,R,,,,,,,C,C,,F,F,A,A,,,,,,,,,,R,,,,,,F,,,,,,F,,,,,,,,F,R,F,,,,F,,,R,,,,,,A,C,,,,R,C,,,,,F,F,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6c7a14fbac90445387e271842fc1b2a1
middle Miocene,NN5,321-U1337A-35X-CC,319.79,M,A,,,,F,R,R,,,,,,,F,C,R,R,C,A,C,,,,,,,,,,R,,,,,,F,,,,,,F,,,,,,,,F,,,,,,F,R,,,,,,,,A,F,,,,,C,,F,F,,F,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57a4a3d8acf65212b5905164bda70993
middle Miocene,NN5,321-U1338A-36X-CC,327.68,M,A,,,,R,R,R,,,,,,,C,C,,F,F,A,C,,,,,,,,,,F,,,,,,R,,,,,,F,,,,,,,,R,,F,,,,R,R,,,,,,,,A,C,,,,,C,,F,F,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6d9a68940d80cd88d193f89ec4ae9213
middle Miocene,NN5,321-U1338A-37X-CC,337.18,M,A,,,,R,,,,,,,,,C,C,F,F,C,A,C,,,,,,,,,F,F,,,,,,,,,,,,F,,,,,,,,F,,,,,,F,R,,,,,,,,A,C,,,,,C,,C,F,,F,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a8142825927bd490f309501b8f7b3ddf
middle Miocene,NN5,321-U1338A-38X-2,347.70,M,A,,,,R,R,R,,,,,,,C,C,R,F,C,C,A,,,,,,,,,F,F,,,,,,,,,,,,F,,,,,,,,C,,R,,,,R,,,,,,,,,A,C,,,,,A,,C,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,b5e57d6faaaabe249873ea9dc8472589
middle Miocene,NN5,321-U1338A-38X-4,350.70,M,A,,,,F,,,,,,,,,F,C,F,C,C,A,A,,,,,,,,,F,F,,,,,,R,,,,,,F,,,,,,,,C,,,,,,R,F,,,,,,,,A,,,,R,,C,,C,C,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,8cf367f6cff61a13990f05ffd103acca
middle Miocene,NN4-5,321-U1338A-38X-CC,354.70,M,A,,,,C,,R,,,,,,,C,C,,F,C,C,C,,,,,,,,,C,F,,,,,,,,,,,,F,,,,,,,1,F,,F,,,,,R,,,,,,,,A,,,,,,F,,A,C,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0883842f40ba324734bd0d8ff89e7e9e
middle Miocene,NN4-5,321-U1338A-39X-2,357.10,P,A,,,,F,,F,,,,,,,C,C,,,C,,C,,,,,,,,,C,F,,,,,,,,,,,,F,,,,,,,,C,,,,,,,,,,,,,,,C,,,,,,,,C,C,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,efdb2f62e3b857058d79b31a4c14fcb5
middle Miocene,NN4-5,321-U1338A-39X-4,360.10,M,A,,,,F,,,,,,,,,C,C,,R,C,C,A,,,,,,,,,C,,,,,,,,,,,,,F,,,,,,,,C,,F,,,,,,,,,,,,,C,,,R,,R,,,C,C,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,e656fbf5763e4943f25ba04e1f6269e7
middle Miocene,NN4-5,321-U1338A-39X-CC,363.76,P-M,A,,,,F,R,,,,,,,,F,C,,C,C,F,C,,,,,,,,,C,F,,,,,,F,,,,,,F,,,,,,,,C,R,F,,,,,R,,,,,,,,C,,,R,,,,,A,C,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,034ba4ac9066a1243ccb3380b46d83cb
middle Miocene,NN4-5,321-U1338A-40X-2,366.68,P,A,,,,F,,R,,,,,,,F,C,,,C,F,C,,,,,,,,,C,R,,,,,,,,,,,,R,,,,,,,,F,R,R,,,,F,R,,,,,,,,C,,,,,,,,C,C,,R,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,8aff02b28dd1429856dc814b5cf56bab
middle Miocene,NN4,321-U1338A-40X-CC,367.74,P,A,,,,R,,R,,,,,,,C,C,,F,C,C,C,,,,,,,,,C,,,,,,,R,,,,,,R,,,,,,,R,C,,F,,,,F,R,,,,,,,,C,,,,R,,,,C,C,,F,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23a79c47f9f9f5742c80ced75d9e00d9
middle Miocene,NN4,321-U1338A-41X-2,376.40,P,C,,,,R,R,R,,,,,,,F,C,,,C,C,C,,,,,,,,,C,,,,,,,,,,,,,F,,,,,,,,F,R,,,,,F,,,,,,,,,C,,,,,,,,C,C,,F,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,b037ecc7d33e69f9838a99b56d67d27f
early Miocene,NN4,321-U1338A-41X-4,379.40,P,A,,,,,R,R,,,,,,,F,C,,R,C,C,F,,,,,,,,,C,,,,,,,,,,,,,F,,,,,,,R,C,,R,,,,F,,,R,,,,,R,C,F,,,,,,R,F,C,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,53a0450a44c7cdf848c69dc2eef1aeb8
early Miocene,NN4,321-U1338A-41X-CC,382.72,P,A,,,,R,,R,,,,,,,F,C,,,A,,,,,,,,,,,C,,,,,,,,,,,,,F,,,,,,,R,F,,,,,,,,,,,,,,,C,C,,,,,,,A,C,,F,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ebfddf58b9069182c3cac0cf408eec96
early Miocene,NN4,321-U1338A-42X-2,385.86,P,A,,,,R,F,R,,,,,,,C,A,,F,C,,,,,,,,,,,C,,,,,,,,,,,,,C,,,,,,,,F,,R,,,,F,,,,,,,,,C,C,,,,,,,A,C,,F,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,,,,,,,,,,05982c8039b103d94cfdf8a738a81a1b
early Miocene,NN4,321-U1338A-42X-4,388.90,P,A,,,,,R,R,,,,,,,C,C,,F,C,F,F,,,,,,,,,C,,,,,,,,,,,,,F,,,,,,R,,F,R,R,,,,,,,,,,,,,A,C,,,,,,F,C,C,,F,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,67ac2376493fbfedaf5e73a003613311
early Miocene,NN4,321-U1338A-42X-CC,391.07,P,A,,,,,,R,,,,,,,F,C,,R,C,F,F,,,,,,,,,C,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,C,C,,,,,,,C,C,,F,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d8910eae4273d5f2c832a343a1a3e66f
early Miocene,NN4,321-U1338A-43X-2,395.20,P,A,,,,,,,,,,,,,F,C,,,C,,,,,,,,,,,C,,,,,,,,,,,,,F,,,,,,,,R,,,,,,,,,,,,,,,C,R,,,,,,,A,C,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,08a96e446f58467d28e59a1fa2475694
early Miocene,NN4,321-U1338A-43X-CC,396.41,P,A,,,,,,,,,,,,,R,C,,,C,,R,,,,,,,,,A,,,,,,,,,,,,,F,,,,,,,,R,,R,R,,,,,,,,,,,,A,F,,,,,,,A,C,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c1db5d92f794ab257207b3d82f0052ac
early Miocene,NN4,321-U1338A-44X-2,404.80,P,A,,,,,,,,,,,,,F,C,,,C,,C,,,,,,,,,C,,,,,,,,,,,,,R,,,,,,,,R,,,,,,,,,,,,,,,C,F,,,,,,,F,C,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,f9c69be54a730cd52ea36a60c1f83b08
early Miocene,NN4,321-U1338A-44X-4,407.80,P,A,,,,R,,,,,,,,,F,C,,,C,F,F,,,,,,,,,C,,,,,,,,,,,,,R,,,,,,,,F,,,,,,1,,,,,,,,F,C,F,,,,,,,,C,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,2e2a01a5d848ddec2059ae8bc8554b9b
early Miocene,NN4,321-U1338A-44X-CC,408.34,P-M,A,,,,,,,,,,,,,F,C,,F,A,R,C,,,,,,,,,C,,,,,,,,,,,,,F,,,,,,,,F,R,,,,,,,,,,,,,F,C,F,,,,,,,1,C,,F,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000d20b7959d7807efb657f051861a69
