Site,Exp,Hole,Core,Core Type - Section,Top Depth [m],Bottom Depth [m],Group Abundance,Preservation,Anomalinoides parvumbilianus,Anomalinoides sphericus,Astorononion spp.,Bolivina spp.,Bolivinita pliozea,Bolivinita cf. pliozea,Bulimina aculeata,Bulimina marginata,Cassidulina carinata,Cassidulina spp.,Cibicides deliquatus,Cibicides molestus,Cibicidoides neoperforatus,Cibicidoides spp.,Eherenbergina mestateri,Elphidium charlottense,Elphidium novozealandicum,Gavelinopsis spp.,Globocassidulina subglobosa,Haeuslella finlayi,Haeuslerella morgani,Haeuslerella parri,Haynesina depressa,Hoeglundina elegans,Hopkinsina mioindex,Lenticulina calcar,Melonis affinis,Melonis pompilioides,Nonionella flemingi,Nonionella spp.,Nonionella turgida,Notorotalia aucklandica,Notorotalia briggsi,Notorotalia clathrata (hornibrooki),Notorotalia depressa,Notorotalia finlayi,Notorotalia hurupiensis,Notorotalia inornata,Notorotalia profunda,Notorotalia sp. A (large plano-convex),Notorotalia taranakia,Notorotalia zealandica,Paracassidulina neocarinata,Pullenia bulloides,Pullenia spp.,Pyrgo anomala,Pyrgo guerreri,Pyrgo spp.,Quinqueloculina auberiana,Quinqueloculina seminula,Rectobolivina parvula,Sigmoilopsis schlumbergeri,Sphaeroidina bulloides,Textularia miozea,Texturalia spp.,Trifarina spp.,Uvigerina miozea,Uvigerina peregrina,Uvigerina rodleyi,Others,Comments,Type,Section,Top [cm],Bottom [cm],A/W,Sample,eodp_id
,317,U1351B,89,X-CC,766.94,766.95,D,G,,,F,R,,,,,,,,,,,,,,,,,,C,,,,,F,,,,,,,,,,A,,C,,F,,C,,,,,,R,,,,,,C,,,,,F,,X,CC,,,,317-nanU1351B-89X-CC-nan,67440f093b1865ce5b574db137b364f4
,317,U1351B,90,X-CC,778.52,778.53,D,P,,,R,R,,,,,,,,,,F,,,,,,,,C,,,,,F,R,F,,,,,,,,C,F,D,,R,,,,,,,,F,,,,,,C,,,F,,F,,X,CC,,,,317-nanU1351B-90X-CC-nan,c669e3d22445ef47e9bbbfed969e5f2c
,317,U1351B,91,X-CC,784.04,784.05,D,P,F,C,,,,,,,,,,R,,C,,,,,,,,C,,,,,,,C,,,,,,,,F,,D,,,,,,,,,R,,,,,,,C,,,F,,R,,X,CC,,,,317-nanU1351B-91X-CC-nan,9b3540978b827c5b1d59621fb228761a
,317,U1351B,92,X-CC,796.33,796.34,A,G,,C,,R,,,,,,,,,,C,,,,,R,,,C,,,,,,,F,,,,,,,,,,C,,A,,,,,,,,,,,,,,C,,,F,,F,,X,CC,,,,317-nanU1351B-92X-CC-nan,58a680586a87d7eb0a95e1028d08c1b9
,317,U1351B,93,X-CC,812.51,812.52,D,P,,F,,,,,,,,,,,,F,,,,,,,,C,,,,,,,F,,,,,,,,F,,,,C,,,F,,,,,,,,,,,C,,,F,,R,,X,CC,,,,317-nanU1351B-93X-CC-nan,be087931a80bb8cbfbc0bac99df41d01
,317,U1351B,94,X-CC,819.12,819.13,D,P,,C,,,,,,,,F,,,,F,,,,,,,,C,,,,,,,F,,,,,,,,F,,,,C,,,,,,,,,,,,,,C,,,,,R,BF rare,X,CC,,,,317-nanU1351B-94X-CC-nan,6a28e7cf85d0f98b3d239e623d591e98
,317,U1351B,95,X-CC,822.69,822.70,D,P,,R,,,R,,,,,,,,,F,,,,,,,R,,,,,,F,,R,,,,,,,,,,A,,C,,,,,,,,,,,,,,,,,F,,R,BF rare,X,CC,,,,317-nanU1351B-95X-CC-nan,83ae0ed76209852cd24dba04202cfd79
,317,U1351B,96,X-CC,832.15,832.16,A,P,,A,F,,,,,,,,,,,R,,,,,,,R,,,,,,,,,,,,,,,,F,,A,,F,,,,,,,,,,,,,,,,,C,,,,X,CC,,,,317-nanU1351B-96X-CC-nan,52404978674bf82811792bb6dc1e2678
,317,U1351B,97,X-CC,847.79,847.80,A,P,,,,,,R,,,,,,,,,F,,,,,,R,,,,,,,,,,,,,,,,F,,D,,,,,,,,,,,,,,,F,,,,,,,BF rare,X,CC,,,,317-nanU1351B-97X-CC-nan,043390e5111ef75d659880fe5969fa13
,317,U1351B,98,X-CC,851.64,851.65,A,P,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,C,,,,,,,,,,C,,A,,R,,,,,,,,,,,,A,,,,A,F,BF rare,X,CC,,,,317-nanU1351B-98X-CC-nan,a1852cf09ea8557652f68589e35d653c
,317,U1351B,99,X-CC,861.39,861.40,D,M,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,C,,,,,,,,F,,C,,A,,,F,,,,,,,,,,,A,,,,C,,BF rare,X,CC,,,,317-nanU1351B-99X-CC-nan,21d98e57ed587c32bb712e649b726450
,317,U1351B,100,X-CC,877.62,877.63,D,M,,,F,,,,,,,,,,,,,,,,,,A,,,,,,F,,,,,,,,,,A,,C,,C,,,,,,,,,,,,,,D,,,,C,,,X,CC,,,,317-nanU1351B-100X-CC-nan,db72f4b680b7d4971e09bb2711b064c0
,317,U1351B,101,X-CC,882.55,882.56,D,G,,,,,,,F,,,F,,,,,,,,,,,A,,,,,,C,,,,,,,,,,A,,D,,C,,,,,,,,,,,,,,,,,,,C,,X,CC,,,,317-nanU1351B-101X-CC-nan,4b070b0c47b043a9a63a631773643546
,317,U1351B,102,X-CC,889.81,889.82,D,P,,,,,,,,,,,,,,A,,,,,,,F,,,,,,F,F,,,,,,,,,,,D,,F,,,,,,,,,,,,,,,,,,,,BF rare,X,CC,,,,317-nanU1351B-102X-CC-nan,5d2cbd3344dad083ce57ecf51180a461
,317,U1351B,103,X-CC,900.59,900.60,D,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,C,,,,,,,,,,,,,,,,D,,,,,,BF rare,X,CC,,,,317-nanU1351B-103X-CC-nan,dd4c46961507703ff27324a62000048d
,317,U1351B,104,X-CC,913.35,913.36,D,P,,F,,,,,R,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,D,,C,,C,,,,,,,,,,,,,,D,,,R,,,BF rare,X,CC,,,,317-nanU1351B-104X-CC-nan,24390dd8157e25b6cc16dd057731777f
,317,U1351B,105,X-CC,918.77,918.78,D,P,,,,,,,R,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,C,,D,,,,,,,,,,,,,,F,,C,,,,,,BF rare,X,CC,,,,317-nanU1351B-105X-CC-nan,9d049d2178b76dae180947204ad75527
,317,U1351B,106,X-CC,933.14,933.15,A,M,,,F,,,R,,,,,,,,R,,,,,,,F,,,,,,F,F,,,,,,,,,F,,A,,,,,,,,,,,,,,,,F,,,F,,R,,X,CC,,,,317-nanU1351B-106X-CC-nan,3dc20eab54a29bfe7635913ded91c4ce
,317,U1351B,107,X-CC,938.22,938.23,A,P,,,,,,R,,,,R,,,,,,,,,,,C,,,,,,R,F,,,,,,,,,F,,A,,,,,,,,,,,,,,,,D,,,F,,,,X,CC,,,,317-nanU1351B-107X-CC-nan,5229f3308453d4487d3e6717c86ead8b
,317,U1351B,108,X-CC,947.70,938.23,A,G,,,,,,R,,,,,,,,R,,,,,,,R,,,,,,R,,,,,,,,,,F,,A,,,,,,,,,,,,,,,,A,,,,,R,,X,CC,,,,317-nanU1351B-108X-CC-nan,ccb16b8936de80d4cc3c03e5a1b02ff4
,317,U1351B,109,X-CC,961.40,947.71,A,G,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,F,,,,,R,,,,,,,,,,,C,,,,,F,,X,CC,,,,317-nanU1351B-109X-CC-nan,d3bad770dd36504551991fe6eb34cf8e
,317,U1351B,110,X-CC,966.74,961.41,A,P,,,,,,,,,,R,,,,R,,,,,,,,,,,,,,,F,,,,,,,,,,D,,,,,,,,,,,,,,,,F,,,,,,BF rare,X,CC,,,,317-nanU1351B-110X-CC-nan,41d27676a2f5585ad17197ba1da71e1a
,317,U1351B,111,X-CC,976.66,966.75,A,P,,,,,,,,,,F,,,,F,,,,,,,,,,,,,F,,C,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,BF rare,X,CC,,,,317-nanU1351B-111X-CC-nan,4a48044f2f32b378c9518ae12bac3a56
,317,U1351B,112,X-CC,991.18,976.67,A,P,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,D,,,BF rare,X,CC,,,,317-nanU1351B-112X-CC-nan,bbd8cf908ee72af69a163e5cb5d6b105
,317,U1351B,113,X-CC,998.34,991.19,A,P,,F,,,,R,,,,,R,,,,,,,,,,,,,,,,F,,R,,,,,,,,C,,A,,A,,F,,,,,,,,,,,,A,,,C,,,BF rare,X,CC,,,,317-nanU1351B-113X-CC-nan,dc448205e9ad9773947f7bd41bc03c42
,317,U1351B,114,X-CC,1005.34,998.35,A,P,,,,,,R,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,C,,A,,A,,,,,,,,,,,,,,A,,,F,,,BF rare,X,CC,,,,317-nanU1351B-114X-CC-nan,02fcbb227e348b4a6f5aa80c53d13812
,317,U1351B,115,X-CC,1014.56,1005.35,A,P,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,C,,A,,,F,,,,,,,,,F,,A,,,F,,,,X,CC,,,,317-nanU1351B-115X-CC-nan,c2efac07d636192275933ff1daa65ecc
,317,U1351B,116,X-CC,1024.39,1014.57,A,M,F,,,,,,,,R,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,A,,A,,,R,,,,,,,,,,,,,,F,,,,X,CC,,,,317-nanU1351B-116X-CC-nan,6633a8bc1aaf6d7648a023bfa0749208
