Exp,Hole,Core,Type,Section,Top Depth [m],Bottom Depth [m],Preservation,Total radiolarians,Actinomma boreale,Actinomma medianum,Amphimelissa setosa,Axoprunum acquilonium,Botryostrobus aquilonaris,Ceratospyris borealis,Collosphaera pyloma,Cycladophora cornutoides,Cycladophora cosma,Cycladophora davisiana,Cycladophora sakaii,Cyrtocapsella japonica,Dendrospyris sakaii,Dictyophimus bullatus,Dictyophimus hirundo,Eucyrtidium asanoi,Eucyrtidium inflatum,Eucyrtidium matuyamai,Lamprocyrtis heteroporos,Larcopyle buetschlii,Lipmanella redondoensis,Lithelius barbatus,Lychnocanomma magnacornuta,Lychnocanomma nipponica sakaii,Lychnocanomma parallelipes,Phormostichoartus fistula,Porodiscus circularis,Sphaeropyle langii/robusta group,Spongodiscus sp.,Spongopyle osculosa,Spongotrochus glacialis,Spongurus pylomaticus,Stichocorys delmontensis,Stichocorys peregrina,Stylatractus universus,Stylochlamydium venustum,Stylodictya validispina,Thecosphaera akitaensis,Unnamed: 47,Unnamed: 48,Site,Top [cm],Bottom [cm],A/W,Sample,eodp_id
323,E,58,X,CC,502.88,502.98,M,F,,,,F,,F,,,,F,,,,,,,,,,,,,,,,,,,,F,F,,,,,,F,,,,U1343,,,,323-U1343E-58X-CC-nan,3d7f4fdcbb348eb3fdd7ce863560c74e
323,E,59,X,CC,512.52,512.62,M,F,,,,F,,F,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,F,,,,U1343,,,,323-U1343E-59X-CC-nan,5f633426187c226c83b16667e569b44b
323,E,60,X,CC,521.9,522,M,F,,,,F,,F,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,F,,,,U1343,,,,323-U1343E-60X-CC-nan,cdbf7d0bb54d605279349ef389d6b540
323,E,61,X,CC,532.41,532.51,P,F,,,,F,,,,,,F,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,U1343,,,,323-U1343E-61X-CC-nan,6822ecca0cb24c1a714887ab0906e7bf
323,E,62,X,CC,541.78,541.88,M,F,,,,F,,F,,,,F,,,,,F,,,,,,,,,,,,,,,,F,,,,,,,,,,U1343,,,,323-U1343E-62X-CC-nan,9a21b7e1a14ecd8c7e1f73b2d7512919
323,E,63,X,CC,550.54,550.64,M,F,,,,,,F,,,,F,F,,,,F,,,,,,,,,,,,,,,,F,,,,,,F,,,,U1343,,,,323-U1343E-63X-CC-nan,70fe84a8356597577551d76bc130ea29
323,E,64,X,CC,561.05,561.15,M,F,,,,F,,,,,,F,,,,,,,,F,,,,,,,,,,,,F,F,,,,,,,,,,U1343,,,,323-U1343E-64X-CC-nan,d16cd1288f5f23c64cfd83d99db763ad
323,E,65,X,CC,568.77,568.87,M,F,,,,F,,,,,,,,,,,,,,,,F,,,,,,,,,,F,F,F,,,,,F,,,,U1343,,,,323-U1343E-65X-CC-nan,99cc3c48ffb10a044ea53d4d0fa6ada2
323,E,66,X,CC,581.04,581.14,P,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,U1343,,,,323-U1343E-66X-CC-nan,e5d05e0008480d2db2db7ff205759270
323,E,67,X,CC,588.5,588.6,M,F,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,U1343,,,,323-U1343E-67X-CC-nan,832182502a73c149aedbccc6989accc2
323,E,68,X,CC,599.26,599.36,M,F,,,,F,,,,,,F,,,,,,,,,,,,,,,,,,,,,F,,,,,,F,,,,U1343,,,,323-U1343E-68X-CC-nan,f837f6a83a9f4ebeb32ddc73bd94acaf
323,E,69,X,CC,606.84,606.94,G,F,F,,,F,,,,,,F,,,,,,,,,,,,,,,,,,,,,F,,,,,,F,,,,U1343,,,,323-U1343E-69X-CC-nan,550f3c6b25320094b894eb8d6fe44569
323,E,70,X,CC,617.9,618,P,F,,,,F,,,,,,,,,,,,,,F,,F,,,,,,,,,,,F,F,,,,,F,,,,U1343,,,,323-U1343E-70X-CC-nan,b16534fd76f01f94236fe0b1de99b717
323,E,71,X,CC,628.16,628.26,P,F,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,U1343,,,,323-U1343E-71X-CC-nan,97a26d4f77f994b9c4ac6086e59a4a13
323,E,72,X,CC,634.44,634.54,P,F,,,,F,,,,,,F,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,U1343,,,,323-U1343E-72X-CC-nan,2cad664348446a30089a7384dc0f99d0
323,E,73,X,CC,643.79,643.89,P,F,F,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,U1343,,,,323-U1343E-73X-CC-nan,a9b4b2348c152b6daccf5353d951845b
323,E,74,X,CC,657.41,657.51,P,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,U1343,,,,323-U1343E-74X-CC-nan,cbb37633ac7d36db11be2474f94f15e1
323,E,75,X,CC,667.09,667.19,P,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,U1343,,,,323-U1343E-75X-CC-nan,2caa381750ce9a3e92612acbcc64c24c
323,E,76,X,CC,674.96,675.06,M,F,F,,,F,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U1343,,,,323-U1343E-76X-CC-nan,68d79510b27fe16338cf39adaaa6cddf
323,E,77,X,CC,686.37,686.37,P,F,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,U1343,,,,323-U1343E-77X-CC-nan,841f4ababe0f8517aaaad39a5b3daab6
323,E,78,X,CC,695.2,695.3,P,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,F,,,,U1343,,,,323-U1343E-78X-CC-nan,69786171b0ae5e79c0a8a95d50c2ba35
323,E,79,X,CC,705.72,705.82,P,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U1343,,,,323-U1343E-79X-CC-nan,4d54cef5f6bf763dbd64b69c5a8bc8f9
323,E,80,X,CC,713.8,713.9,P,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,U1343,,,,323-U1343E-80X-CC-nan,97dbe10d047bf13f2e722a0c94a1c12f
323,E,81,X,CC,724.96,725.06,M,F,,,,,,,,,,F,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,U1343,,,,323-U1343E-81X-CC-nan,424546eb9ace0f4ea35a0062e4644297
323,E,82,X,CC,734.41,734.51,P,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,F,,,,U1343,,,,323-U1343E-82X-CC-nan,a6baf97e01409858468cf1cf37d7960b
323,E,83,X,CC,743.9,744,P,F,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,U1343,,,,323-U1343E-83X-CC-nan,f5eef69df84fe04a4ef7c2eb0acd4488
