Expedition,Hole,Core,Core type,Section,Half,Top [cm],Bottom [cm],Top depth [CSF m],Preservation,Group abundance,REMARKS,Braarudosphaera bigelowiI,Braarudosphaera sp.,Calcidiscus leptoporus,Calcidiscus leptoporus (10-11 µm),Calcidiscus tropicus,Calcidiscus tropicus (>10 µm),Catinaster mexicanus,Ceratolithus cristatus,Chiasmolithus altus,Coccolithus formosus,Coccolithus miopelagicus,Coccolithus pelagicus,Coccolithus pelagicus f. braarudii,Coccolithus streckeri,Crenalithus doronicoides,Cricolithus jonesii,Cyclicargolithus abisectus (10-11 μm),Cyclicargolithus abisectus (>11 μm),Cyclicargolithus floridanus,Dictyococcites antarcticus,Dictyococcites bisectus,Dictyococcites productellus (<3 μm),Dictyococcites productellus (3-5 μm),Dictyococcites scripsae,Dictyococcites stavensis (10-14 μm),Discoaster deflandrei,Discoaster sp.,Emiliania huxleyi,Emiliania pujosae,Gephyrocapsa aperta,Gephyrocapsa caribbeanica (3-4 μm),Gephyrocapsa caribbeanica (4-5.5 μm),Gephyrocapsa caribbeanica (5.5-6.5 μm),Gephyrocapsa crassipons,Gephryocapsa ericsonii,Gephyrocapsa oceanica (3-4 μm),Gephyrocapsa oceanica (4-5.5 μm),Gephyrocapsa oceanica (5.5--6.5 μm),Gephyrocapsa omega,Helicosphaera carteri,Helicosphaera euphratis,Helicosphaera inversa,Helicosphaera omanica,Helicosphaera cf. sellii,Helicosphaera sellii,Helicosphaera vedderi,Helicosphaera wallichii,Minylitha convalis,Pontosphaera discopora,Pontosphaera japonIca,Pontosphaera multipora,Pseudoemiliania lacunosa,Pseudoemiliania ovata,Pseudoemiliania pacifica,Pseudoemiliania sp.,Pyrociclus sp.,Rhabdosphaera procera,Reticulofenestra ampla,Reticulofenestra daviesi,Reticulofenestra dictyoda,Reticulofenestra filewiczii,Reticulofenestra gelida (8-10 µm),Reticulofenestra gelida (>10 μm),Reticulofenestra haqii (<3 μm),Reticulofenestra haqii (3-5 μm),Reticulofenestra minuta (<3 μm),Reticulofenestra minutula,Reticulofenestra minutula (circular),Reticulofenestra pseudoumbilicus (8-10 μm),Reticulofenestra pseudoumbilicus (>10 μm),Reticulofenestra reticulata,Reticulofenestra umbilicus (10-14 µm),Reticulofenestra umbilicus (>14 µm),Scyphosphaera apsteinii.,Scyphosphaera spp.,Sphenolithus abies,Sphenolithus moriformis,Syracosphaera spp.,Thoracosphaera spp.,Umbilicosphaera cricota,Umbilicosphaera jafari,Umbilicosphaera sibogae,Umbilicosphaera sp.,
317,U1354B,2,H,CC,,,,11.68 ,M,F,NN21a,,,R,,R,,,,,,,R,R,,,R,,,R,,P,,,,,,,F,,C, ,,,,,C,,,,F,,,,,,,,,,,,,,,,,,,,P,P,R,,,F,R,F,,,,,,,,,,,,F,,,,,
317,U1354B,3,H,CC,,,,12.08 ,G,C,NN21a,,,,,,,,,P,,,R,,,,R,P,,,,P,,,,,,,R,,C,,,,,,A,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,R,R,,,,,P,,,,,,,,,,,,,
317,U1354B,4,H,CC,,,,17.64 ,M,A,NN21a,,,R,,P,,,,,,,C,C,R,,,,,,,P,,,,,,,P,,C,C,,,A,,,,,,F,,,,,,,,,,,,,,,,,,,,P,,,,,,R,,,,,,,,,,,,,R,,,,,
317,U1354B,5,H,CC,,,,20.31 ,G,A,NN21a,,,R,,,,,,,,,R,F,R,,F,,,,,,,,,,,,R,,C,,,,F,,A,P,,,,,,,,,,,,,,,,,,,,,,,R,,,,,R,,,,,,,,,,,,,,,,,,,
317,U1354B,6,H,CC,,,,20.88 ,M,R,NN21a,,,,,,,,,,,,,R,,,,,,,,P,,,,,,,,,R,R,,,R,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,
317,U1354B,7,H,CC,,,,26.50 ,G,R,NN21a,,,,,,,,,,,,P,,,,,,,,,,,,,,,,P,,R,,,,R,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,
317,U1354B,8,H,CC,,,,33.45 ,G,A,NN20,,,,,,,,,,,,F,F,P,,,,,,,,,,,,,,,,A,R,P,,R,,A,,,,R,,,,,,,,,,,,,,,,,,,,P,,,,,,C,,,,,,,,,,,,,F,,,,,
317,U1354B,9,H,CC,,,,41.46 ,G,A,NN20,P,,,,P,,,,,,,F,R,P,,,,,,,R,,,,,,,,,A,A,,,A,,C,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,
317,U1354B,10,H,CC,,,,50.29 ,M,A,NN20,,,,,,,,,,,,,R,,,P,P,,,,R,,,P,P,,,,,D,C,,,C,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,R,,,,,,,,,,,,R,,,,,
317,U1354B,11,H,CC,,,,57.73 ,G,F,"NN20, basal",,,,,,,,,,,,R,F,,F,,,,,P,,,,,,,,,,R,,,,,,,,,,F,,,,,,,,,,,,,R,F,R,,,,,R,,,,,,C,,,,,,,,,,,,,R,,,,,
