Exp,Hole,Core,Type,Section,Top Depth [m],Foraminiferal preservation,Foraminiferal abundance,Planktic foraminiferal %,Globigerina spp.,Globigerina bulloides,Globigerina falconensis,Globigerinella aequilateralis,Globigerinita glutinata,Globigerinopsis obesa,Globoconella inflata,Globoconella puncticuloides,Hirsutella scitula,Neogloboquadrina dutertrei,Neogloboquadrina incompta,Neogloboquadrina pachyderma,Orbulina universa,Turborotalita sp.,Turborotalita quinqueloba,Truncorotalia truncatulinoides,Zeaglobierina woodi,Bryozoa fragments,Echinoid plate fragments,Echinoid spines,Fish teeth,Ostracods,Otoliths,Radiolarians,Sponge spicules,Shell fragments,Micro mollusks,Comments,Site,Top [cm],Bottom [cm],Bottom Depth [m],A/W,Sample,eodp_id
317,B,41,H,CC,202.79,G,A,1,X,X,,,,,,,,,X,X,,,,,,,,R,,C,,,,A,,,U1353,,,,,317-U1353B-41H-CC-nan,74c8f193add05bf7d843590f6eb35548
317,B,42,H,CC,204.98,G,A,1,X,,,,,,,X,,,,,,,,,,,,,,F,,,,A,,,U1353,,,,,317-U1353B-42H-CC-nan,37050a01b73926a8bb3589becd0e1f50
317,B,43,H,CC,206.27,G,A,,,,,,,,,,,,,,,,,,,,,,,F,,,,A,,No planktics,U1353,,,,,317-U1353B-43H-CC-nan,cede88d6338151be73c740d29288d871
317,B,44,X,CC,206.42,G,C,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,No planktics,U1353,,,,,317-U1353B-44X-CC-nan,7c955bdfae8e950e030b37ddbb417ed0
317,B,45,H,CC,220.75,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,No planktics,U1353,,,,,317-U1353B-45H-CC-nan,f22707c25f6433f4ff44bf53bd909ce6
317,B,46,H,CC,225.76,G,A,,,,,,,,,,,,,,,,,,,,C,,,F,,,,A,,No planktics,U1353,,,,,317-U1353B-46H-CC-nan,b16b059a1537dec8ab4c6c84568c61fa
317,B,47,H,CC,228.68,G,C,,,,,,,,,,,,,,,,,,,,F,,,F,,,,C,,No planktics,U1353,,,,,317-U1353B-47H-CC-nan,5122309beb5af4b2c8a5e4b5c08e4792
317,B,48,H,CC,232.08,G,A,2,X,,,,,,,,,,,,,,,,,,A,,,C,,,,A,,,U1353,,,,,317-U1353B-48H-CC-nan,3a2cb8a39ecbecbfe1ea2af9c71803eb
317,B,50,X,CC,233.66,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,No planktics,U1353,,,,,317-U1353B-50X-CC-nan,6e3ff37fbb81a10482dceec4b3958f5b
317,B,51,H,CC,242.90,M,A,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,No planktics,U1353,,,,,317-U1353B-51H-CC-nan,d53ff9aab16adea1bd49481bc182a090
317,B,52,H,CC,245.06,G,A,<1,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,U1353,,,,,317-U1353B-52H-CC-nan,51dc67c7ac1f901e9be6cd961dabf6c7
317,B,53,H,CC,245.83,G,A,,,,,,,,,,,,,,,,,,,,R,,,R,,,,A,,No planktics,U1353,,,,,317-U1353B-53H-CC-nan,f4bbb229f0993463e12cb94e7a02b31c
317,B,54,H,CC,248.31,G,C,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,No planktics,U1353,,,,,317-U1353B-54H-CC-nan,fa6c4c717ffb69c3e32e2abf3c10a6ec
317,B,55,H,CC,250.14,G,A,,,,,,,,,,,,,,,,,,,,F,,,F,,,,A,,No planktics,U1353,,,,,317-U1353B-55H-CC-nan,c6e98164ebe6b7f695bdf01e6497ab3b
317,B,56,H,CC,251.63,M,A,2,X,X,,,,,X,,,cf.,X,X,,X,X,,X,,,,,F,,F,,A,,,U1353,,,,,317-U1353B-56H-CC-nan,d53fcaf3808649ba7f143f87d6c1fa4b
317,B,57,H,CC,253.50,G,A,1,X,,,,,,,,,,,,,,,,,,F,,,F,,,,D,F,,U1353,,,,,317-U1353B-57H-CC-nan,a84647fefd5d92345ba79fd01999f8fc
317,B,58,H,CC,254.83,G,A,,,,,,,,,,,,,,,,,,,,F,F,,F,,,,A,F,No planktics,U1353,,,,,317-U1353B-58H-CC-nan,2f02bf96a2891f1ef0cd5d01a8bda826
317,B,59,H,CC,256.04,G,A,<1,X,,,,,,X,,,,,,,,cf.,,,,F,,,F,,,F,A,,,U1353,,,,,317-U1353B-59H-CC-nan,1ad8901f8a327ff225357c3a9aef9fdc
317,B,60,H,CC,257.69,G,A,<1,X,,,,,,,,,,X,,X,,,,,,,,,,,,,A,,,U1353,,,,,317-U1353B-60H-CC-nan,3ea6de0fa456472cf861b0556c61f6ec
317,B,61,X,CC,258.07,G,A,<1,X,,,,,,,,,,,,,,,,,,R,,,R,,,,A,,,U1353,,,,,317-U1353B-61X-CC-nan,d34e8a25fd188b45fdd5da65b10fe18b
317,B,62,X,CC,263.44,G,A,,,,,,,,,,,,,,,,,,,,F,,R,F,,,,D,,No planktics,U1353,,,,,317-U1353B-62X-CC-nan,9d1a72ffc457baf52878767718a30717
317,B,63,X,CC,270.91,G,C,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,No planktics,U1353,,,,,317-U1353B-63X-CC-nan,6d55f8ef5e58985548bc13b20562f3cd
317,B,64,X,CC,280.08,G,F,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,No planktics,U1353,,,,,317-U1353B-64X-CC-nan,d5a90c005023cf87a330851a4ccf4299
317,B,65,X,CC,290.38,G,A,<1,,X,,,,,,,,,,,,,,,,,,,,,,,,A,,,U1353,,,,,317-U1353B-65X-CC-nan,62679e3a289d5af95dfc03b48186abc2
317,B,66,X,CC,300.33,G,A,<1,X,,,,,,,,,,,,,,,,,,,,,,,,,A,,No planktics,U1353,,,,,317-U1353B-66X-CC-nan,9b9ee5b0c3977f7fb8d978d59514c52f
317,B,67,X,CC,308.27,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,No planktics,U1353,,,,,317-U1353B-67X-CC-nan,bc7c81ec1d28b744ebb1f91c50792c11
317,B,68,X,CC,319.07,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,No planktics,U1353,,,,,317-U1353B-68X-CC-nan,2d7066f52d8b2856f5864d11ca0996c7
317,B,69,X,CC,327.80,M,C,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,No planktics,U1353,,,,,317-U1353B-69X-CC-nan,03c3458aa372fc5b4252b9e432ba4724
317,B,70,X,CC,337.33,M,A,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,No planktics,U1353,,,,,317-U1353B-70X-CC-nan,b515499fa42bbe8bbfd0cad10f916fd2
317,B,71,X,CC,347.11,G,F,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,No planktics,U1353,,,,,317-U1353B-71X-CC-nan,6a83e942fb5b761de1e6edda96c0c8e5
317,B,72,X,CC,355.94,P,R,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,No planktics,U1353,,,,,317-U1353B-72X-CC-nan,baa4252f630fef4f6848eb725b6d1a5d
317,B,73,X,CC,365.69,M,A,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,No planktics,U1353,,,,,317-U1353B-73X-CC-nan,94c6993d7d320426a0b93f58e93e8707
317,B,74,X,CC,374.99,G,C,,,,,,,,,,,,,,,,,,,,R,,,,,,,D,,No planktics,U1353,,,,,317-U1353B-74X-CC-nan,f52580b1cd45ac531c6e8fd8748bce9f
317,B,75,X,CC,385.12,G,R,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,No planktics,U1353,,,,,317-U1353B-75X-CC-nan,f86e597de0ed72d5814e35346e63b221
