Sample,Top [cm],Bottom [cm],Datum name,Datum type,Datum age average (Ma),Biozone name (short),Biozone name,Preservation,Group abundance,Emiliania huxleyi,Gephyrocapsa caribbeanica,Gephyrocapsa oceanica,Gephyrocapsa sp. (<4 microns),Gephyrocapsa sp. (closed >4 microns),Gephyrocapsa sp. (4-5.5 microns),Gephyrocapsa sp. (>5.5 microns),Pseudoemiliania lacunosa,Reticulofenestra sp. (>7 microns),Reticulofenestra sp. (5-7 microns),Reticulofenestra sp. (3-5 microns),Reticulofenestra sp. (<3 microns),Reticulofenestra asanoi,Reticulofenestra pseudoumbilicus,Cyclicargolithus floridanus,Coccolithus pelagicus,Calcidiscus leptoporus,Calcidiscus macintyrei,Helicosphaera carteri,Helicosphaera sellii,Helicosphaera spp.,Pontosphaera japonica,Pontosphaera multipora,Pontosphaera sp.,Scyphosphaera spp.,Rhabdosphaera clavigera,Syracosphaera pulchra,Syracosphaera spp.,Braarudosphaera bigelowii,Discosphaera tubifera,Umbellosphaera irregularis,Umbellosphaera tenuis,Calciosolenia murrayi,Discoaster brouweri,Discoaster asymmetricus,Discoaster tamalis,Discoaster triradiatus,Discoaster surculus,Discoaster variabilis,Discoaster pentaradiatus,Discoaster quinqueramus,Discoaster challengeri,Discoaster spp.,Sphenolithus abies,Sphenolithus spp.,Ceratolithus cristatus,Ceratolithus armatus,Ceratolithus acutus,Ceratolithus rugosus,Ceratolithus spp.,Amaurolithus delicatus,Amaurolithus tricorniculatus,Amaurolithus primus,Amaurolithus spp.,Nicklithus amplificus,Triquetrorhabdulus rugosus,Florisphaera profunda,Reworked species,Nannofossil comment,Top Depth [m],Bottom Depth [m],Exp,Site,Hole,Core,Type,Section,A/W
361-U1479B-17H-1-W 75/75-NANNO,149.45,149.45,,,,NN16,"NN16 - Discoaster surculus (Gradstein et al., 2012)",G,A,,,,,,,,F,,C,A,A,,F,,C,,C,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,R,,,,361,U1479,B,17,H,1,W
361-U1479B-17H-3-W 75/75-NANNO,152.45,152.45,,,,NN16,"NN16 - Discoaster surculus (Gradstein et al., 2012)",M,A,,,,,,,,F,,F,C,A,,F,,C,,C,,C,,,,,,,,,,,,,,F,F,F,,F,,F,,,,,,,,,,,,,,,,,,R,,,,361,U1479,B,17,H,3,W
361-U1479B-17H-5-W 75/75-NANNO,155.45,155.45,,,,NN16,"NN16 - Discoaster surculus (Gradstein et al., 2012)",G,A,,,,,,,,F,,C,,A,,R,,C,,F,,C,,,,,,,,,,,,,,F,P,P,,C,,F,,,,,,,,,,,,,,,,,,R,,,,361,U1479,B,17,H,5,W
361-U1479B-17H-CC-PAL-NANNO,158.31,158.36,,,,NN16,"NN16 - Discoaster surculus (Gradstein et al., 2012)",G,A,,,,,,,,F,,F,A,A,,,,C,C,C,,C,F,,,,,,,R,,,,,,R,F,,,F,,R,,,,,,,,,,F,,,,,,,,R,reworked R. umbilica and floridanus,,,361,U1479,B,17,H,CC,PAL
361-U1479B-18H-1-W 75/75-NANNO,158.95,158.95,,,,NN16,"NN16 - Discoaster surculus (Gradstein et al., 2012)",M,A,,,,,,,,F,,,C,A,,,,C,,C,,C,,,,,,,,,,,,,,P,,,,R,,P,,,,,,,,,,,,,,,,,,R,,,,361,U1479,B,18,H,1,W
361-U1479B-18H-3-W 75/75-NANNO,161.93,161.93,,,,NN16,"NN16 - Discoaster surculus (Gradstein et al., 2012)",G,A,,,,,,,,F,,,,A,,,,A,,C,,C,,,,,,,,,,,,,,R,F,R,,F,,F,,,,,,,,,,,,,,,,,,F,,,,361,U1479,B,18,H,3,W
361-U1479B-18H-5-W 75/75-NANNO,164.93,164.93,,,,NN16,"NN16 - Discoaster surculus (Gradstein et al., 2012)",G,A,,,,,,,,F,,,C,A,,,,A,,C,,C,,,,,,,,,,,,,,P,P,P,,P,,P,,,,,,,,,,,,,,,,,,,,,,361,U1479,B,18,H,5,W
361-U1479B-18H-CC-PAL-NANNO,168.18,168.23,"T Sphenolithus spp. (Gradstein et al., 2012)",T,3.54,NN16,"NN16 - Discoaster surculus (Gradstein et al., 2012)",G,A,,,,,,,,F,,F,C,A,,,,A,C,F,,C,F,,,F,,C,,P,,,,,,R,F,R,,C,,R,,,,,F,,,,,,,,,,,,,F,,,,361,U1479,B,18,H,CC,PAL
361-U1479B-19H-2-W 75/75-NANNO,169.95,169.95,,,,NN16,"NN16 - Discoaster surculus (Gradstein et al., 2012)",M,A,,,,,,,,,,,,,,,,C,,F,,F,C,,,C,,,,,,,,,,F,,F,,F,,F,,,R,,F,,,,,,,,,,,,,F,,,,361,U1479,B,19,H,2,W
361-U1479B-19H-4-W 75/75-NANNO,172.95,172.95,"T Reticulofenestra pseudoumbilicus (Gradstein et al., 2012)",T,3.7,NN15 - NN16,"NN15 - Reticulofenestra pseudoumbilicus - NN16 - Discoaster surculus (Gradstein et al., 2012)",M,A,,,,,,,,,C,C,,,,C,,C,,F,,F,F,,,F,,,,,,,,,,C,R,R,,C,,C,,,F,,F,,,,,,,,,,,,,F,,,,361,U1479,B,19,H,4,W
361-U1479B-19H-6-W 50/50-NANNO,175.7,175.7,,,,NN15,"NN15 - Reticulofenestra pseudoumbilicus (Gradstein et al., 2012)",M,A,,,,,,,,,C,C,A,A,,C,,C,,F,,F,C,,,,,,,,,,,,,F,F,P,,F,,F,,,F,,F,,,,,,,,,,,,,F,,,,361,U1479,B,19,H,6,W
361-U1479B-19H-CC-PAL-NANNO,176.92,176.97,,,,NN15,"NN15 - Reticulofenestra pseudoumbilicus (Gradstein et al., 2012)",G,A,,,,,,,,,F,,,A,,A,,C,C,F,,C,C,,F,F,P,F,,F,,,,,,R,F,P,,R,,R,,,F,,R,,,,,,,,,,,,,,"rare discoasters, mostly pieces",,,361,U1479,B,19,H,CC,PAL
361-U1479B-20H-2-W 75/75-NANNO,179.45,179.45,,,,NN15,"NN15 - Reticulofenestra pseudoumbilicus (Gradstein et al., 2012)",M,A,,,,,,,,,C,C,,,,C,,C,,F,,F,,,,,,,,,,,,,,F,F,,P,R,,F,,,F,,F,,,,P,,,,,,,,,,overgrown and fragmented discoasters,,,361,U1479,B,20,H,2,W
361-U1479B-20H-4-W 75/75-NANNO,182.45,182.45,,,,NN15,"NN15 - Reticulofenestra pseudoumbilicus (Gradstein et al., 2012)",G,A,,,,,,,,,C,C,C,A,,C,,C,,F,,F,,,,,,,,,,,,,,F,F,,P,C,,F,,,C,,F,,,,P,,,,,,,,,,,,,361,U1479,B,20,H,4,W
361-U1479B-20H-6-W 75/75-NANNO,185.45,185.45,"T Amaurolithus tricorniculatus (Gradstein et al, 2012)",T,3.92,NN14 - NN15,"NN14 - Discoaster asymmetricus to NN15 - T Reticulofenestra pseudoumbilicus(Gradstein et al., 2012)",G,A,,,,,,,,,C,C,A,A,,C,,C,,F,,F,,,,,,,,,,,,,,F,R,P,P,F,,F,,,F,,F,,,,,,,P,,P,,,,,,,,361,U1479,B,20,H,6,W
361-U1479B-20H-CC-PAL-NANNO,187.1,187.15,,,,NN14,"NN14 - Discoaster asymmetricus (Gradstein et al., 2012)",G,A,,,,,,,,,C,,C,A,,A,,C,C,F,,C,C,,,,,C,,,,,,,,R,F,,,F,,R,,,F,,F,,,,,,,R,,F,,,,,,,,361,U1479,B,20,H,CC,PAL
361-U1479B-21H-1-W 75/75-NANNO,187.45,187.45,"Bc Discoaster asymmetricus (Gradstein et al, 2012)",Bc,4.13,NN13,"NN13 - Ceratolithus rugosus (Gradstein et al., 2012)",G,A,,,,,,,,,C,,,A,,C,,C,,F,,C,,,,,,,,,,,,,,F,F,P,,F,,F,,,F,,F,,,,P,,,,,,,,,,,,,361,U1479,B,21,H,1,W
361-U1479B-21H-3-W 75/75-NANNO,190.45,190.45,,,,NN13,"NN13 - Ceratolithus rugosus (Gradstein et al., 2012)",G,A,,,,,,,,,C,,,C,,C,,C,,F,,F,,,,,,,,,,,,,,R,R,,,C,,R,,,F,,C,,,P,,,,P,,P,,,,,,,,361,U1479,B,21,H,3,W
361-U1479B-21H-5-W 75/75-NANNO,193.45,193.45,"T Amaurolithus primus (Gradstein et al, 2012)",T,4.5,NN13,"NN13 - Ceratolithus rugosus (Gradstein et al., 2012)",G,A,,,,,,,,,A,C,,A,,A,,C,,R,,F,,,,,,,,,,,,,,F,R,,,F,,R,,,R,,F,,,,P,,,P,P,F,,,,R,,,,361,U1479,B,21,H,5,W
361-U1479B-21H-CC-PAL-NANNO,196.68,196.73,,,,NN13,"NN13 - Ceratolithus rugosus (Gradstein et al., 2012)",G,A,,,,,,,,,C,,C,A,,A,,C,C,F,,F,,,,C,P,F,,F,,,,,P,F,,,,F,,F,,,F,,C,,,,,,,,,R,,,,,,,,361,U1479,B,21,H,CC,PAL
361-U1479B-22H-1-W 75/75-NANNO,196.95,196.95,,,,NN13,"NN13 - Ceratolithus rugosus (Gradstein et al., 2012)",M,A,,,,,,,,,C,,,A,,C,,C,,F,,F,,,,,,,,,,,,,,F,P,,,F,,R,,,F,,C,,,,P,,,P,P,,,,,,,,,361,U1479,B,22,H,1,W
361-U1479B-22H-3-W 75/75-NANNO,199.95,199.95,,,,NN13,"NN13 - Ceratolithus rugosus (Gradstein et al., 2012)",G,A,,,,,,,,,A,F,,A,,A,,C,,F,,F,,,,,,,,,,,,,,F,,,,C,,C,,,C,,C,,,,P,,,,,,,,,F,,,,361,U1479,B,22,H,3,W
361-U1479B-22H-5-W 75/75-NANNO,202.95,202.95,,,,NN13,"NN13 - Ceratolithus rugosus (Gradstein et al., 2012)",G,A,,,,,,,,,A,C,,A,,A,,C,,C,,C,,,,,,,,,,,,,,R,,,,R,,R,,,F,,C,,,,P,,,,,,,,,F,,,,361,U1479,B,22,H,5,W
361-U1479B-22H-CC-PAL-NANNO,206.11,206.16,,,,NN13,"NN13 - Ceratolithus rugosus (Gradstein et al., 2012)",M,A,,,,,,,,,A,,,A,,A,,C,C,F,,F,C,,,C,,,,,,,,,,F,,,,F,,R,,,F,,C,,,,,,,,,F,,,,R,,,,361,U1479,B,22,H,CC,PAL
361-U1479B-23H-2-W 75/75-NANNO,207.95,207.95,,,,NN13,"NN13 - Ceratolithus rugosus (Gradstein et al., 2012)",G,A,,,,,,,,,C,C,,A,,C,,C,,F,,C,,,,,,,,,,,,,,F,,,,C,,C,,,F,,C,,,,P,,,P,F,R,,,,,,,,361,U1479,B,23,H,2,W
361-U1479B-23H-4-W 75/75-NANNO,210.95,210.95,,,,NN13,"NN13 - Ceratolithus rugosus (Gradstein et al., 2012)",G,A,,,,,,,,,C,C,,A,,C,,C,,C,,C,,,,,,,,,,,,,,F,,,,F,,F,,,P,,C,,,,P,,F,,F,P,,,,,,,,361,U1479,B,23,H,4,W
361-U1479B-23H-6-W 75/75-NANNO,213.95,213.95,,,,NN13,"NN13 - Ceratolithus rugosus (Gradstein et al., 2012)",G,A,,,,,,,,,C,C,C,A,,C,,C,,C,,C,,,,,,,,,,,,,,F,,,,F,,F,,,F,,C,,,,,,,,F,R,,,,,,,,361,U1479,B,23,H,6,W
361-U1479B-23H-CC-PAL-NANNO,215.6,215.65,,,,NN13,"NN13 - Ceratolithus rugosus (Gradstein et al., 2012)",M,A,,,,,,,,,C,A,,A,,C,,F,F,F,,R,C,,,,,F,,F,,,,,,F,,,,R,,F,,,F,,C,,,,,,F,,P,,,,,,,,,361,U1479,B,23,H,CC,PAL
361-U1479B-24H-2-W 75/75-NANNO,217.45,217.45,,,,NN13,"NN13 - Ceratolithus rugosus (Gradstein et al., 2012)",G,A,,,,,,,,,C,C,A,A,,C,,F,,F,,F,,,,,,,,,,,,,,F,,,,C,,C,,,F,,F,,,,P,,P,P,F,R,,,,,,,,361,U1479,B,24,H,2,W
361-U1479B-24H-4-W 75/75-NANNO,220.45,220.45,"T Ceratolithus acutus (Gradstein et al., 2012)",T,5.04,NN13,"NN13 - Ceratolithus rugosus (Gradstein et al., 2012)",G,A,,,,,,,,,C,A,A,A,,C,,F,,R,,R,,,,,,,,,,,,,,F,,,,F,,F,,,F,,F,,,P,P,,P,P,F,,,,,,,,,361,U1479,B,24,H,4,W
361-U1479B-24H-6-W 75/75-NANNO,223.45,223.45,"B Ceratolithus rugosus (Gradstein et al., 2012)",B,5.12,NN12 - NN13,"NN12 - T Discaster quinqueramus - NN13 - Ceratolithus rugosus (Gradstein et al., 2012)",G,A,,,,,,,,,C,C,A,A,,C,,F,,F,,C,,,,,,,,,,,,,,F,,,,F,,C,,,R,,F,,,P,P,,P,,F,,,,,R,,,,361,U1479,B,24,H,6,W
361-U1479B-24H-CC-PAL-NANNO,225,225.05,,,,NN12,"NN12 - T Discaster quinqueramus (Gradstein et al., 2012)",G,A,,,,,,,,,A,C,C,A,,A,,C,C,F,,R,C,,,C,,F,,F,,,,,,F,,,,F,,R,,,F,,C,,,,,,,,R,F,,,,,,,,361,U1479,B,24,H,CC,PAL
361-U1479B-25H-2-W 75/75-NANNO,226.95,226.95,,,,NN12,"NN12 - T Discaster quinqueramus (Gradstein et al., 2012)",G,A,,,,,,,,,C,C,A,A,,C,,C,C,F,,F,F,,,,,,,,,,,,,R,,,,R,,F,,,R,,F,,,P,,,P,P,R,R,,,,,,,,361,U1479,B,25,H,2,W
361-U1479B-25H-4-W 75/75-NANNO,229.95,229.95,"B Ceratolithus acutus (Gradstein et al., 2012)",B,5.35,NN12,"NN12 - T Discaster quinqueramus (Gradstein et al., 2012)",G,A,,,,,,,,,C,C,C,A,,C,,C,,F,,F,,,,,,,,,,,,,,R,,,,F,,F,,,R,,F,,,P,,,,,F,,,,,,,,,361,U1479,B,25,H,4,W
361-U1479B-25H-6-W 75/75-NANNO,232.95,232.95,,,,NN12,"NN12 - T Discaster quinqueramus (Gradstein et al., 2012)",G,A,,,,,,,,,C,C,A,A,,C,,C,,R,,F,,,,,,,,,,,,,,F,,,,F,,F,,,F,,F,,,,,,P,,R,F,,,,,,,,361,U1479,B,25,H,6,W
361-U1479B-25H-CC-PAL-NANNO,234.54,234.59,"T Discoaster quinqueramus (Gradstein et al., 2012)",T,5.59,NN12,"NN12 - T Discaster quinqueramus (Gradstein et al., 2012)",G,A,,,,,,,,,C,C,C,A,,C,,C,,F,,F,,,,,,,,,,,,,,R,,,,F,,F,F,,C,,F,,,,,,,P,F,F,,,,,,,,361,U1479,B,25,H,CC,PAL
361-U1479B-26H-3-W 75/75-NANNO,237.95,237.95,,,,NN11,"NN11 - T Discoaster quinqueramus (Gradstein et al., 2012)",G,A,,,,,,,,,A,A,,A,,C,,F,,R,,R,,,,,,,,,,,,,,F,,,,F,,R,R,,,,C,,,,,,,,P,F,,,,,,,,361,U1479,B,26,H,3,W
361-U1479B-26H-5-W 75/75-NANNO,240.95,240.95,,,,NN11,"NN11 - T Discoaster quinqueramus (Gradstein et al., 2012)",G,A,,,,,,,,,C,A,A,C,,C,,C,,F,,F,,,,,,,,,,,,,,F,,,,F,,R,P,,,,C,,,,,,,,P,C,,,,,,,,361,U1479,B,26,H,5,W
361-U1479B-26H-CC-PAL-NANNO,244.14,244.19,,,,NN11,"NN11 - T Discoaster quinqueramus (Gradstein et al., 2012)",M,A,,,,,,,,,,C,A,A,,,,C,R,F,,,C,,,,,,,,,,,,,,,,,C,,F,C,,,,,,,,,,,P,F,,R,,,,,,,361,U1479,B,26,H,CC,PAL
361-U1479B-27H-3-W 75/75-NANNO,247.45,247.45,,,,NN11,"NN11 - T Discoaster quinqueramus (Gradstein et al., 2012)",G,A,,,,,,,,,,A,A,,,,,C,,F,,F,,,,,,,,,,,,,,R,,,,F,,P,R,,,,C,,,,,,,,P,C,,,,,,,,361,U1479,B,27,H,3,W
361-U1479B-27H-4-W 75/75-NANNO,248.95,248.95,,,,NN11,"NN11 - T Discoaster quinqueramus (Gradstein et al., 2012)",G,A,,,,,,,,,,A,A,A,,C,,C,,F,,F,,,,,,,,,,,,,,,,,,F,,F,P,,,,C,,,,,,,F,,F,,,,,,,,361,U1479,B,27,H,4,W
361-U1479B-27H-CC-PAL-NANNO,253.29,253.34,,,,NN11,"NN11 - T Discoaster quinqueramus (Gradstein et al., 2012)",G,A,,,,,,,,,C,A,A,A,,C,,C,,,,,,,,,,,,,,,,,,,,,,,,F,F,,C,,,,,,,,,,F,,P,,,,,,,361,U1479,B,27,H,CC,PAL
361-U1479B-28H-2-W 75/75-NANNO,255.45,255.45,,,,NN11,"NN11 - T Discoaster quinqueramus (Gradstein et al., 2012)",G,A,,,,,,,,,C,A,A,,,,,C,,F,,,,,,,,,,,,,,,,F,,,,F,,,,,,,C,,,,,,,,,C,,P,,,,,,361,U1479,B,28,H,2,W
361-U1479B-28H-4-W 75/75-NANNO,258.45,258.45,,,,NN11,"NN11 - T Discoaster quinqueramus (Gradstein et al., 2012)",G,A,,,,,,,,,C,A,A,,,,,C,,F,,F,,,,,,,,,,,,,,F,,,,F,,R,R,,,,C,,,,,,,,,F,,,,,,,,361,U1479,B,28,H,4,W
361-U1479B-28H-CC-PAL-NANNO,263.17,263.22,,,,NN11,"NN11 - T Discoaster quinqueramus (Gradstein et al., 2012)",G,A,,,,,,,,,A,A,A,A,,A,,C,F,,,,,,,,,,,,,,,,,F,,,,C,,F,R,,C,,,,,,,,,,F,P,F,P,,,,,,361,U1479,B,28,H,CC,PAL
361-U1479B-29H-2-W 75/75-NANNO,264.95,264.95,,,,NN11,"NN11 - T Discoaster quinqueramus (Gradstein et al., 2012)",G,A,,,,,,,,,C,A,A,,,,,C,,,,,,,,,,,,,,,,,,R,,,,F,,R,R,,,,C,,,,,,,,,C,P,,,C,,,,361,U1479,B,29,H,2,W
361-U1479B-29H-4-W 75/75-NANNO,267.95,267.95,,,,NN11,"NN11 - T Discoaster quinqueramus (Gradstein et al., 2012)",G,A,,,,,,,,,C,A,A,,,,,C,,,,,,,,,,,,,,,,,,,,,,R,,F,F,,,,C,,,,,,,,,C,,,,,,,,361,U1479,B,29,H,4,W
361-U1479B-29H-6-W 75/75-NANNO,270.95,270.95,,,,NN11,"NN11 - T Discoaster quinqueramus (Gradstein et al., 2012)",G,A,,,,,,,,,A,A,A,,,,,F,,,,,,,,,,,,,,,,,,R,,,,R,,,R,,,,C,,,,,,,,,F,,,,,,,,361,U1479,B,29,H,6,W
361-U1479B-29H-CC-PAL-NANNO,272.08,272.13,,,,NN11,"NN11 - T Discoaster quinqueramus (Gradstein et al., 2012)",G,A,,,,,,,,,A,A,A,A,,A,,C,,,,,,,,,,,,,,,,,,C,,,,F,,,F,,C,,,,,,,,,,F,R,F,,,,,,,361,U1479,B,29,H,CC,PAL
361-U1479B-30H-2-W 75/75-NANNO,274.45,274.45,,,,NN11,"NN11 - T Discoaster quinqueramus (Gradstein et al., 2012)",G,A,,,,,,,,,C,C,A,,,,,C,,,,,,,,,,,,,,,,,,,,,,F,,F,,,,,,,,,,,,,,F,,,,,,,,361,U1479,B,30,H,2,W
361-U1479B-30H-4-W 75/75-NANNO,277.45,277.45,,,,NN11,"NN11 - T Discoaster quinqueramus (Gradstein et al., 2012)",G,A,,,,,,,,,,A,A,,,,,C,,,,F,,,,,,,,,,,,,,F,,,,F,,F,,,,,C,,,,,,,,F,C,,,,,,,,361,U1479,B,30,H,4,W
361-U1479B-30H-6-W 75/75-NANNO,280.45,280.45,,,,NN11,"NN11 - T Discoaster quinqueramus (Gradstein et al., 2012)",G,A,,,,,,,,,,,A,,,,,F,,,,,,,,,,,,,,,,,,P,,,,P,,,,,,,C,,,,,,,,,R,,,,,,,,361,U1479,B,30,H,6,W
361-U1479B-30H-CC-PAL-NANNO,282.2,282.25,,,,NN11,"NN11 - T Discoaster quinqueramus (Gradstein et al., 2012)",G,A,,,,,,,,,A,A,A,A,,A,,F,R,,,,,,,,,,,P,,,,,,F,,,,C,,F,F,,C,,C,,,,,,,,R,R,F,,,,,,,361,U1479,B,30,H,CC,PAL
361-U1479B-31H-2-W 75/75-NANNO,283.95,283.95,,,,NN11,"NN11 - T Discoaster quinqueramus (Gradstein et al., 2012)",G,A,,,,,,,,,,,A,,,A,,C,,,,,,,,,,,,,,,,,,,,,,F,,F,F,,,,C,,,,,,,,,F,F,,,,base of N. amplificus at 6.91 Ma,,,361,U1479,B,31,H,2,W
361-U1479B-31H-4-W 75/75-NANNO,286.95,286.95,,,,NN11,"NN11 - T Discoaster quinqueramus (Gradstein et al., 2012)",G,A,,,,,,,,,,C,A,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,R,F,,,,C,,,,,,,,,P,,,,,,,,361,U1479,B,31,H,4,W
361-U1479B-31H-6-W 75/75-NANNO,289.95,289.95,,,,NN11,"NN11 - T Discoaster quinqueramus (Gradstein et al., 2012)",G,A,,,,,,,,,,,A,,,A,,C,,,,,,,,,,,,,,,,,,,,,,F,,F,F,,,,C,,,,,,,,,F,,,,,,,,361,U1479,B,31,H,6,W
361-U1479B-31H-CC-PAL-NANNO,291.63,291.68,,,,NN11,"NN11 - T Discoaster quinqueramus (Gradstein et al., 2012)",G,A,,,,,,,,,A,A,A,A,,A,,F,,,,,,,,F,,,,P,,,,,,,,,,,,R,C,,C,,F,,,,,,,,F,F,,,,,,,,361,U1479,B,31,H,CC,PAL
361-U1479B-32H-2-W 75/75-NANNO,293.45,293.45,,,,NN11,"NN11 - T Discoaster quinqueramus (Gradstein et al., 2012)",G,A,,,,,,,,,,,A,A,,C,,F,,,,,,,,,,,,,,,,,,,,,,F,,P,P,,,,C,,,,,,,,,F,,,,,,,,361,U1479,B,32,H,2,W
361-U1479B-32H-4-W 75/75-NANNO,296.45,296.45,,,,NN11,"NN11 - T Discoaster quinqueramus (Gradstein et al., 2012)",G,A,,,,,,,,,,,A,A,,A,,C,,,,,,,,,,,,,,,,,,,,,,P,,R,R,,,,A,,,,,,,,,F,,,,,,,,361,U1479,B,32,H,4,W
361-U1479B-32H-6-W 75/75-NANNO,299.45,299.45,,,,NN11,"NN11 - T Discoaster quinqueramus (Gradstein et al., 2012)",G,A,,,,,,,,,,,A,A,,C,,F,,,,,,,,,,,,,,,,,,,,,,F,,P,F,,,,C,,,,,,,,,,,,,,,,,361,U1479,B,32,H,6,W
361-U1479B-32H-CC-PAL-NANNO,300.98,301.03,,,,NN11,"NN11 - T Discoaster quinqueramus (Gradstein et al., 2012)",G,A,,,,,,,,,A,A,,A,,A,,C,,,,,C,,,,,,,,,,,,,,,,,C,,R,F,,C,,F,,,,,,,,F,F,,,,,,,,361,U1479,B,32,H,CC,PAL
