Exp,Hole,"Core, section, interval (cm)",Top Depth [m],Presevation,Bathymetry,Abyssamina poagi,Abyssamina quadrata,Alabammina dissonata,Ammodiscus latus,Amphicoryna sp.,Anomalinoides cf. globulosus,Anomalinoides sp. A,Astacolus sp.,Astrononion echolsi,Astrononion sp.,Bolivina spp.,Bulimina alazanensis,Bulimina sp.,Buliminella parvula,Cassidulina sp. A,Chrysalogonium crassitestum,Chrysalogonium sp. indet.,Cibicidoides eocanus,Cibicidoides grimusdalei,Cibicidoides havanensis,Cibicidoides micrus,Cibicidoides mundulus,Cibicidoides wuellerstorfi,Cibicidoides sp. A,Cibicidoides sp. B,Cibicidoides sp. indet.,Cystammina pauciloculata,Dentalina spp.,Eggerella bradyi,Eggerella sp.,Ehrenbergina histrix,Evolvecassidulina cf. howei,Favocassidulina favus,Favocassidulina spinifer,Favocassidulina subfavus,Fursenkoina bradyi,Gaudryina sp.,Glandulina sp.,Globocassidulina subglobosa,Globocassidulina sp. A,Globocassidulina sp. B,Glomospira challoides,Glomospira goldialis,Glomospira irregularis,Guttulina sp.,Gyroidinoides soldanii,Gyroidinoides sp. A,Gyroidinoides sp. B,Gyroidinoides sp. C,Gyroidinoides sp. D,Gyroidinoides sp. indet.,Haplophragmoides walteri,Haplophragmoides sp. indet.,Heronallenia sp.,Karreriella chapapotensis,Karrerulina coniformis,Laticarinina pauperata,Lenticulina spp.,Mattinotiella cummunis,Melonis baeleanuum,Melonis pomplioides,Myllostonella spp.,Nodosaria spp.,Nonion affine,Nonion havanensis,Nuttallides truempyi,Nuttallides umbonifer,Oridorsalis umbonatus,Orthomorphina spp.,Osangularia plummerae,Paracassidulina sp.,Paratrochamminoides spp.,Planulina? sp.,Pleurostomella spp.,Pseudoparrella exigua,Pseudopleurostomella spp.,Pullenia bulloides,Pullenia eocenica,Pullenia osloensis,Pullenia quinqueloba,Pullenia salisburyi,Pullenia subcarinata,Pullenia sp. A,Pyrgo sp.,Pyrulina spp.,Quadrimorphina profunda,Quinqueloculina sp.,Recurvoides spp.,Reophax spp.,Reticulophragmium amplectens,Siphonodosaria antillea,Siphonodosaria spinata,Siphonodosaria sp. indet.,Spheroidina bulloides,Spiroloculina sp.,Spiroplectammina spectabilis,Spiroplectammina sp. A,Stilostomella spp.,Spirosigmoillina compressa,Textularia spp.,Trochamminoides? sp.,Turrilina robertsi,Tube-shaped agglutinated form.,Unilocular species,Uvigerina peregrina pradyiana,Valvulina spinosa,Agglutinated Foram. gen. et sp. indet.,Calc. Hyaline Foram. gen. et sp. indet.,Section,Core,Type,Top [cm],Bottom [cm],Site,Bottom Depth [m],A/W,Sample,eodp_id
320,B,"23H-cc, 35-38 cm",220.47,G,LB-A,,,,,,,F,,R,,,,,,,,,,R,,,R,,,,,,,,,,,,,,,,,F,,,,,,,,R,,,,,,,,,,,,,,,,,,R,,,A,,,,,,R,,,R,,,,,R,,,,,,,,,R,,R,,,R,,,,,,,,,,,,R,cc,23,H,35,38,U1334,,,320-U1334B-23H-cc-nan,33ee6c79b14d8ed441fec4081afef9df
320,B,"24X-cc, 27-30 cm",228.72,G,LB-A,,,,,,,,,F,,,,,,,,,,,,,R,,,,,,R,,,,,,,,,,,,,,,,,,R,A,A,,R,,,,,,,,R,,,,,,R,R,,,A,,,,,,R,,R,R,,R,,,R,,,R,,,,,,R,R,R,,,R,,,,,,,,R,,R,,R,cc,24,X,27,30,U1334,,,320-U1334B-24X-cc-nan,a5e07eac9d26f148d8ece7d7a4c70d55
320,B,"25X-cc, 31-34 cm",238.41,G,LB-A,,,,,,,R,,R,,,,,R,,,,R,F,,,F,,R,,R,,,,,,,,,,,,,A,,,,,,,R,R,R,,R,R,,,,,,,,,,,,,,R,,,F,,,,,,,,,R,,,,R,,R,,,,,,,,F,,R,,,,,,,,,,,R,,,,F,cc,25,X,31,34,U1334,,,320-U1334B-25X-cc-nan,db20a002cae9aaf967959a2279bac7eb
320,B,"26X-cc, 25-28 cm",247.89,P,LB-A,,,,,,,P,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,P,,,,,,,P,,P,,,,,,,,,,,,,,,,,P,,,P,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,cc,26,X,25,28,U1334,,,320-U1334B-26X-cc-nan,221eab9c071d6f5e990798dc622a2683
320,B,"27X-cc, 46-51 cm",257.73,P,LB-A,,R,F,,,,R,,R,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,R,,,,,,,,,,,,A,,F,,,,,,,,,,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,cc,27,X,46,51,U1334,,,320-U1334B-27X-cc-nan,97c61c06bd3d5347a491dec3cc7fe638
320,B,"28X-cc, 48-53 cm",267.34,P,LB-A,,,,,,,R,R,,,,,,R,,,,R,R,,,,,,,,,,,,,,,,,,,,F,,,,,,,,R,R,,,,,,,,,,,,,,,,,,R,,,,,,,,R,,R,,,,,,,,,,,,,,,F,,,,,,,,,,,,,R,,,,R,cc,28,X,48,53,U1334,,,320-U1334B-28X-cc-nan,2c233cedaac886b9bd7add93cd0e66d1
320,B,"29X-cc, 39-44 cm",276.92,P,LB-A,,,,,,,R,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,R,,,,,,,R,,,,,,,,,,,,,,,,,,,R,A,R,F,,,,,,R,,,,,,R,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,cc,29,X,39,44,U1334,,,320-U1334B-29X-cc-nan,a17d8ad92407e875808c50fdc356be93
320,C,"1H-cc, 15-20 cm",9.84,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cc,1,H,15,20,U1334,,,320-U1334C-1H-cc-nan,3ee1c544546345ee24d1a538cfb21fc9
320,C,"2H-cc, 15-20 cm",18.70,P,LB-A,,,,,,,,,,,,,,,,,,,R,,,F,,,,R,,,,,,,,,,P,,,F,,,,,,,R,R,,R,P,,,,,,,R,,,R,,,,,,,R,A,,,,,,P,R,,F,,,,,P,R,,R,,R,P,,,R,R,,R,,,,,P,,,,,R,,,P,R,cc,2,H,15,20,U1334,,,320-U1334C-2H-cc-nan,8b77e5d314432d0db606ab17add891ba
320,C,"3H-cc, 12-17 cm",28.10,M,LB-A,,,,,,,,,R,,R,,,,,,,,,,,A,,,,R,,,,,,,,,R,,,,F,,,,,,,R,,,,,,,,,,,,,,,,,,,,,R,A,,,,,,R,F,,F,,,,,,,,R,,,R,,,,R,R,,,R,,,,,,,,R,,,,R,cc,3,H,12,17,U1334,,,320-U1334C-3H-cc-nan,bf45f6da5011956acf39165e04fa100c
320,C,"4H-cc, 22-25 cm",38.30,M,LB-A,,,,,R,,,,,,,,,R,,,,,,R,,F,,R,,R,,,,,,R,,,R,,,,A,,,,,,,R,R,,,R,,,,,,,,,,,,,R,,,,R,F,,,,,,R,R,,R,,,,,,R,,R,,,R,,,R,R,R,R,,,,,,,,,R,,,,R,,cc,4,H,22,25,U1334,,,320-U1334C-4H-cc-nan,15acac923aed70ba4fb14627ab3b7305
320,C,"5H-cc, 22-25 cm",48.02,M,LB-A,,,,R,,,,,R,,,,,,,,,,R,,,,,,,,R,,,,,,,,,,,,F,,,,,,,,,R,R,,,R,R,,,,,,,,,,,R,,,R,A,,,,,,R,,,R,,R,,,,,,R,,R,,,,,F,A,,,,,R,,,,,F,R,,,,,cc,5,H,22,25,U1334,,,320-U1334C-5H-cc-nan,071a3aaccb62a784ca2a7503faa9068d
320,C,"6H-cc, 15-18 cm",57.27,G,LB-A,,,,,,,,,,,,,,,,,,,R,,,R,,R,,,,R,,,,,,,R,,,,R,,,,,,,A,R,,,R,R,,,R,R,,,,,,,,,,,,R,R,,,,R,,F,,,R,,,,,R,R,,R,,R,R,,,R,,R,F,,,,,,R,,,F,R,,,,R,cc,6,H,15,18,U1334,,,320-U1334C-6H-cc-nan,4c51bdb1a2871c28e1d0ec7d71273237
320,C,"7H-cc, 21-24 cm",66.63,G,LB-A,,,,,,,,,,,,,,,,,,,R,R,,F,,,,,,R,,,,,,R,,,,,R,,,,,R,,R,R,R,,R,,R,R,,,,,,,,,,,,R,,,A,,,,,,R,R,R,R,,,,,,R,,,,,R,,,,,F,R,,,,,,,,,R,F,,,,A,cc,7,H,21,24,U1334,,,320-U1334C-7H-cc-nan,5ad7f7a598b5629ba700a00a6ab08ec5
320,C,"8H-cc, 0-2 cm",76.34,G,LB-A,,,,,,,,,,,,,,,R,,,,,,,R,,,,R,,,,,,,,,,,,,R,,,,,,,,R,,F,R,,,R,R,,,R,,,,,,,,R,,F,A,,,,R,,F,F,,R,,,,,,,,R,,,R,,R,,,F,R,,,,,,,,R,R,R,,,R,R,cc,8,H,0,2,U1334,,,320-U1334C-8H-cc-nan,0042a5e252627857c4adae88c26300ec
320,C,"9H-cc, 14-17 cm",85.81,G,LB-A,,,,,,,R,,,,,,,,,,,,,,,R,,F,,,,,,,,,,,,,,,F,,,,,R,,,F,R,,R,,R,R,,,,R,,R,,,,,,,,R,F,,,,,,F,R,,,,,R,,R,,,,,,R,,,R,F,R,,,,,,,,,R,R,R,,,,R,cc,9,H,14,17,U1334,,,320-U1334C-9H-cc-nan,bd6b03ba968c9ca49e2c9fd83cbedc72
320,C,"10H-cc, 15-18 cm",95.16,G,LB-A,,,,,,,R,,R,,,,,,,,,,R,,,A,,,,,,R,,,,,,R,,,,,F,,,,,,,R,,R,R,F,,,,,,,R,,,,,,,,R,,R,A,,,,R,,R,,R,F,,R,,,R,R,,R,,,R,,,,R,R,R,,R,,,,R,,,,R,,,,R,cc,10,H,15,18,U1334,,,320-U1334C-10H-cc-nan,6e697c36585f09722fef4823ff41d7ba
320,C,"11H-cc, 23-26 cm",104.61,G,LB-A,,,,,,,,,F,,,,,,,,,,F,,,F,,R,,R,,,,,,,,,,,,,A,,,,,R,,R,F,,R,R,R,,,,,,R,,,,,,,,A,,,F,,,,,,,,,R,,,,,,,,F,,,R,,,,,F,R,,,,,,,,,,,,,,F,cc,11,H,23,26,U1334,,,320-U1334C-11H-cc-nan,7ff74211c56f02d56f95e3d5f9808c8a
320,C,"12H-cc, 15-18 cm",114.27,G,LB-A,,,,,,,R,,R,,,,,R,R,,,,,,,F,R,R,,,,,,,,,,R,,,,,R,,,,,,,R,F,F,,F,,,,,R,,,R,,,,,,,R,,R,A,,,,,,R,,,R,,,,R,,R,,R,,,,,,,,R,R,,,,,,,,,R,R,,,,R,cc,12,H,15,18,U1334,,,320-U1334C-12H-cc-nan,3455242d13ab1c03765f8075444f470c
320,C,"13H-cc, 9-12 cm",123.74,G,LB-A,,,,,,,R,,,,,,,,F,,,,,,,F,,F,,,R,,,,,,,R,,,,,F,,,,,,,,F,R,R,,R,,,,,,,,,,,,,,F,,,F,R,,,,,F,,,R,,,R,R,,F,,,,,R,,,R,,,,,,,,,,,,,F,,R,R,F,cc,13,H,9,12,U1334,,,320-U1334C-13H-cc-nan,f6e1c657414f7ef3116965670558deeb
320,C,"14H-cc, 9-12 cm",133.02,G,LB-A,,,,,R,,,,,,,,,,,R,,,,,,,,A,,,,,,,,,,R,,,,,A,,,,,,,,F,R,R,,R,,R,,R,,,,,,,,,,R,,R,F,,,,,,R,,,,,,,R,,R,,,,,R,,,,,R,R,R,R,,,,,,,,F,,,,A,cc,14,H,9,12,U1334,,,320-U1334C-14H-cc-nan,5fbb7faeae95f399a904243c4940d4c6
320,C,"15H-cc, 22-27 cm",142.42,G,LB-A,,,,,R,,R,,,,,,,,,,,,R,,,R,,R,,,,,,,,,,,,F,,,F,,,,,,,R,R,R,F,,R,,,,,,,,,,,,,,,,R,A,,,,,,,R,,R,,,,R,R,,,R,,,R,,,,R,R,,R,,,,R,,,,R,R,,R,R,F,cc,15,H,22,27,U1334,,,320-U1334C-15H-cc-nan,15e2169f246be7b914ce50ef03a41f52
320,C,"16H-cc, 22-27 cm",151.92,G,LB-A,,,,,,,R,,F,,,,,,R,,,,,,,R,,R,,,,,,,,,,,,,,,F,,,,,,,R,A,R,,R,R,,R,,R,R,,,,,,,,,R,,F,R,,,,,,R,,,,,,,,,F,,R,,,,,,,,,R,,,,,,,,,,A,,,,R,cc,16,H,22,27,U1334,,,320-U1334C-16H-cc-nan,29e3c2f8baf0fbc01ad759097a6749c9
320,C,"17H-cc, 14-19 cm",161.50,G,LB-A,,,,,R,,R,,R,,,,,,,R,,,,,R,R,,R,,R,,,,,,,,,,,,,F,,,,,,,R,,A,R,R,,R,,,,,,,,,,,,,R,,R,A,,,,,,,,R,R,,,R,R,,R,,R,,,R,,,,,R,,,R,,,,,,,R,R,,R,,R,cc,17,H,14,19,U1334,,,320-U1334C-17H-cc-nan,9407c8c3d62beeb2fa1785e6a95b2a4f
320,C,"18H-cc, 3-8 cm",171.14,G,LB-A,,,,,R,,R,,R,,,,,,,,R,,R,,,R,,R,,,,R,R,,,,,,,R,,,F,,R,,,,,F,F,,R,,R,,,,,,,,,,,,,,R,,R,A,,,,,,R,,,R,,,,,,,,,,,,,,R,R,R,,,R,,,,,,,,R,,,R,R,cc,18,H,3,8,U1334,,,320-U1334C-18H-cc-nan,42812cddfe2cb83800b91b6f60849717
320,C,"19H-cc, 0-5 cm",180.71,G,LB-A,,,,,R,,,,,,,,,R,,,,,,,,R,,F,,R,,,,,,R,,,,R,,,F,,,,,,,R,F,R,,R,R,,,R,,,,,,,,,,,,,R,A,,,,,,R,,,,,,R,R,,,,,,,R,,,R,R,R,R,,,,,,,,,,F,,R,,R,cc,19,H,0,5,U1334,,,320-U1334C-19H-cc-nan,c7f38a111c30361dfcc42e7524fff39a
320,C,"20H-cc, 0-5 cm",190.00,G,LB-A,,,,,,,R,,,,,,,,,,,,,,,F,,R,R,,,,,,,,,,,R,,R,A,,,,,,,F,F,R,R,R,,,,,R,,,,,,,,R,,,,R,A,,,,,,R,,,,,R,,R,,,,,,,,,,,,,,R,,,,,,,,,,,R,,R,cc,20,H,0,5,U1334,,,320-U1334C-20H-cc-nan,5fbf776dce043401414ea915bb42e0fd
320,C,"21H-cc, 23-28 cm",199.95,G,LB-A,,,,,R,,R,,,,,,,F,,,,,R,R,,A,,R,,R,,,R,,,,,,,,,,A,,,,,,,R,R,R,R,R,,,,R,R,,,,,,,,,R,R,,R,A,,,,,,R,,,R,,,,,,R,,,,,,,,R,,R,,R,R,,,,,,,,R,,,,R,cc,21,H,23,28,U1334,,,320-U1334C-21H-cc-nan,27b86fc391a8fdd9e6f8aad48e9b83fa
320,C,"22H-cc, 23-28 cm",209.39,G,LB-A,,,,,R,,R,,,,,R,,F,,,,,A,,,R,,F,,R,,,,,,,,,,,,,A,,,,,,,F,R,,R,R,,,,R,R,,,,,,,,R,,R,,R,R,,,,,,,,,,,,,,,R,,,,,,,,R,,,R,,,,,,,,R,,F,,R,,R,cc,22,H,23,28,U1334,,,320-U1334C-22H-cc-nan,2b4ecbf05e51f4670f479ed03ec8ed06
320,C,"23X-cc, 23-28 cm",213.59,G,LB-A,,,,,,,R,,,,,,,R,,,,,R,,,R,,,R,R,,,,,,,,,,,,R,R,,,,,,,R,R,,R,R,,,,,,,,,,,,,,,,,,A,R,,,,,,,,R,,,R,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,cc,23,X,23,28,U1334,,,320-U1334C-23X-cc-nan,281e2d3151dbf87a4779c57a688196a7
320,C,"24X-cc, 37-40 cm",223.88,G,LB-A,,,,,,,,,,,,,,R,,,,,R,,,F,,,,,,R,,,,,,,,,,,R,,,,,,,R,,F,,R,,,,,,,R,,,,,,,R,,,,,,,,,,R,,,,,,R,,,R,,,,,,,,R,R,,,,R,,,,,,,,,,R,R,R,cc,24,X,37,40,U1334,,,320-U1334C-24X-cc-nan,f104af0791abbb2ae3370bec4a83a841
320,C,"25X-cc, 33-36 cm",233.34,M,LB-A,,,,,,,,,,R,,,,,,,,,,,,,,,R,,,R,,,,,,,,,,,R,,,,,,,,R,,,R,R,,,,,,,,,,,,,,F,,,F,,,,,,F,,,,,,,,,R,,,,,,,,,,R,,,R,,,,,,,,,,,,R,cc,25,X,33,36,U1334,,,320-U1334C-25X-cc-nan,0e050eeea154e514c531b9c1a9745a8b
320,C,"26X-cc, 36-39 cm",240.73,M,LB-A,,,,,,,R,,,,,,,,,,,,F,R,R,F,,,,,,,,,,,,,,,,,R,,,,,,,,,F,,,,,,,,,,,,,,,,,F,,,F,R,,,,,,,,R,,,,,,,,,,,,,,R,,,,,,,,,,,R,,,,R,,R,cc,26,X,36,39,U1334,,,320-U1334C-26X-cc-nan,6a37dfc87f79aa5e5ac7a92bc21a8f91
320,C,"27X-cc, 38-41 cm",248.17,P,LB-A,,,,,,,R,,,,,,,,,,,R,R,F,,F,,,,,,,,,,,,,,,,,F,,,,,,,R,R,,,,,,,R,,,,,,,,,,,R,,,A,,,,,,R,,,R,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,R,cc,27,X,38,41,U1334,,,320-U1334C-27X-cc-nan,0462adfc0a8935dc301b82cdfff73cb7
320,C,"28X-cc, 38-41 cm",258.61,P,LB-A,,,F,,,,F,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,R,,,,,,,,,,,,,,,R,F,,R,,,,,,R,,R,R,,,,,,,,R,,,,,,,,,,,R,,,,,,,,,,,,R,cc,28,X,38,41,U1334,,,320-U1334C-28X-cc-nan,2b5c55edfc4ded10425d9bf94e64fca4
320,C,"29X-cc, 45-48 cm",268.28,P,LB-A,R,R,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,R,,,,,,F,,,,,R,R,R,,,F,,,,,,,,,,,,,cc,29,X,45,48,U1334,,,320-U1334C-29X-cc-nan,10a22041f19b3f9d5d79e61c430a7b2a
320,C,"30X-cc, 45-48 cm",277.95,P,LB-A,,R,R,,,P,R,,,,,,,,,,,R,F,,,R,,,,R,,,,,,,,,,R,P,,R,,,,,,,R,R,A,,P,,P,,,P,,,,,,,,,,R,A,,A,,,,,,P,,,R,R,,,,,,,,,,,,,P,,,,,P,,,,,,,,P,,P,,P,cc,30,X,45,48,U1334,,,320-U1334C-30X-cc-nan,e18af378101e15ff2550428aefdac355
