Exp,Hole,Core,Type,Section,Depth (cm),Top Depth (CSF m),Foraminiferal abundance,Foraminferal preservation,Planktic foraminiferal %,Catapsydrax dissimilis,Globigerina spp.,Globigerina bulloides,Globigerina falconensis,Globigerinatheka index,Globigerinella sp.,Globigerinella aequilateralis,Globigerinita glutinata,Globigerinoides ruber,Globigerinoides trilobus,Globigerinopsis obesa,Globoconella sp.,Globoconella conica,Globoconella conomiozea,Globoconella incognita,Globoconella inflata,Globoconella inflata triangula,Globoconella miotumida,Globoconella miozea,Globoconella mons,Globoconella pliozea,Globoconella praescitula,Globoconella puncticulata,Globoconella cf. puncticuloides,Globoconella puncticuloides,Globoconella sphericomiozea,Globoconella subconomiozea,Globoconella zealandica,Globorotaloides suteri,Globoquadrina sp.,Globoquadrina dehiscens,Hirsutella sp.,Hirsutella hirsuta,Hirsutella panda,Hirsutella scitula,Neogloboquadrina dutertrei,Neogloboquadrina incompta,Neogloboquadrina pachyderma,Orbulina bilobata,Orbulina suturalis,Orbulina universa,Paragloborotalia sp.,Paragloborotalia mayeri s.l.,Praeorbulina glomerosa,Subbotina angiporoides,Subbotina minima,Tenuitella gemma,Turborotalita ciperoensis,Truncorotalia crassaformis,Truncorotalia crassacarina,Truncorotalia crassaconica,Truncorotalia crassula,Truncorotalia juanai,Turborotalita quinqueloba,Truncorotalia truncatulinoides,Zeaglobigerina sp.,Zeaglobigerina brevis,Zeaglobierina connecta,Zeaglobierina druryi,Zeaglobierina euapertura,Zeaglobierina nepenthes,Zeaglobierina woodi,Bolboforma sp.,Bolboforma metzmacheri s.s.,Bolboforma reticulata,Bolboforma robusta,Bolboforma subfragoris s.l.,Bryozoa fragments,Echinoid plate fragments,Echinoid spines,Fish teeth,Ostracods,Otoliths,Radiolarians,Sponge spicules,Shell fragments,Micro mollusks,Other fossil material,Remarks
317,U1352B,61,X,CC,,525.69,A,M,50,,X,X,,,,,X,,,,,,,,?,,,,,,,,X,X,,,,,,,,,,cf.,,X,X,,,,,,,,,,,,,X,,,X,,,,,,,,,,,,,,,,F,,,,,,A,,,
317,U1352B,62,X,CC,,542.92,C,M,87,,X,X,?,,,,X,,,,,,,,X,,,,,,,,X,X,,,,,,,,,,,cf.,,X,,,,,,,,,,,,,,,,cf.,,,,,,,,,,,,,,,,F,,F,,F,,C,,,
317,U1352B,63,X,CC,,552.56,A,G,76,,X,X,,,,,,,,,,,,,X,,,,,,,,X,X,,,,,,,,,,,,,X,,,,,,,,,,,?,,X,cf.,,X,,,,,,,,,,,,,,,,F,,F,,F,,,,,
317,U1352B,64,X,CC,,557.62,A,P,95,,X,X,,,,,,,,,,,,,X,,,,,,,,X,X,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,F,,,,F,,,
317,U1352B,65,X,CC,,562.67,A,P,80,,X,X,,,,,,,,,,,,,X,X,,,,,,,X,X,,,,,,,,,,,,X,X,,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,F,,F,,,,,,,
317,U1352B,66,X,CC,,572.63,F,P,80,,X,,,,,,,,,,,,,,?,,,,,,,,,X,,,,,,,,,,,,,X,,,,,,,,,,,cf.,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,
317,U1352B,67,X,CC,,573.62,C,P,87,,X,X,,,,,,,,,,,,,X,,,,,,,,,X,,,,,,,,,,,,X,X,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,U1352B,68,X,CC,,583.91,A,P,79,,X,X,,,,,X,,,,,,,,X,,,,,,,,X,X,,,,,,,,,,X,,,X,,,X,,,,,,,,,,,,,?,,,,,,,,X,,,,,,,,,,R,,,,,,,
317,U1352B,69,X,CC,,591.13,A,P,75,,X,X,,,,,,,,,,,,,X,,,,,,,,X,X,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,U1352B,70,X,CC,,601.47,C,P,89,,X,X,,,,,,,,,,,,,X,,,,,cf.,,,,X,,,,,,,,,,,,,X,,,X,,,,,,,,,,X,,,cf.,,,,,,,,,,,,,,,,,,R,,,R,,,,
317,U1352B,71,X,CC,,614.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No planktics
317,U1352B,72,X,CC,,626.58,F,P,X,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,U1352B,73,X,CC,,638.22,A,G,74,,X,X,,,,,,,,,,,,,?,,,,,,,,X,X,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,
317,U1352B,74,X,CC,,648.55,A,P,85,,X,X,,,,,,,,,,,,,X,,,,,,,,X,X,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,
317,U1352B,75,X,CC,,658.28,A,M,66,,X,X,,,,,,,,,,,,,X,,,,,,,,X,X,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,R,,,,,,,
317,U1352B,76,X,CC,,667.79,A,M,63,,X,X,,,,,X,,,,,,,,X,,,,,,,,X,X,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,
