Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Triceratium schultzii	Stephanopyxis turris intermedia	Stephanopyxis tunis var. cylindrus	Stephanopyxis sp.	Sceptroneis sp.	Rhizosolenia cretacea	Pterotheca kittoniana	Paralia sulcata	Hemiaulus ? velatus	Hemiaulus sp. 2	Hemiaulus sp. 1	Hemiaulus rossicus	Hemiaulus peripterus	Grunowiella palaeocaenica var. alternans	Grunowiella gemmata	Goniothecium spp.	Coscinodiscus argus	Xanthiopyxis sp. aff. X.structuralis	Xanthiopyxis sp.	Trinacria senta	Trinacria deciusii	Stellarima primalabiata	Sphynctolethus hemiauloides	Sceptroneis sp. 1	Hemiaulus polymorphus var. charkovianus	Hemiaulus incisus	Grunowiella palaeocaenica var. palaeocaenica	Ethmodiscus sp. (fragments)	? Hemiaulus sp. 4	? Hemiaulus oonkii	? Hemiaulus beatus	Trinacria aries	Pterotheca evermanni	Pseudopodosira simplex	Coscinodiscus cruxii	Stellarima microtrias	Pterotheca clavata	Hemiaulus sp.	Diatom gen. et sp. indet. 1	Trinacria pileolus	Trinacria conifera	Sceptroneis ligulatus	Hemiaulus sp. aff. H.grassus	Coscinodiscus bulliens	Acanthodiscus spp.	? Hemiaulus sp.	Trinacria sp.	Stephanopyxis marginata	Pterotheca aculeifera	Pseudopodosira bella	Odontotropis sp.	Acanthosphaeridium reticulatum	Xanthiopyxis sp. 2	Trochosira sp.	Trochosira marginata	Trinacria simulacroides	Stephanopyxis sp. 1	Rhizosolenia hebetata var.	Pseudostictodiscus angulatus	Pseudopyxilla russica	Eunotogramma spp.	Stephanopyxis sp. 2	Hyalodiscus ambiguus	Hemiaulus ? ciesielskii	Hemiaulus sp. F (Harwood 1988)	Anaulus spp.	Hemiaulus sp. 3	Hemiaulus fragilis	Arachnoidiscus spp.	Pseudopyxilla tempereana	Trochosira radiata	Hemiaulus sp. aff. H.speciosus	Triceratium mirabile	Stephanopyxis schulzii	Stephanopyxis discrepans	Hyalodiscus sp.	Hemiaulus subacutus	Hemiaulus kristofferseni	Trochosira sp. aff. T.mirabilis	Trochosira gracillima	Coscinodiscus uralensis	Hemiaulus sp. 5	Hemiaulus nocchiae	Hemiaulus inequilaterus	? Chaetaceros clavigerus	Hemiaulus elegans var. intermedia	Triceratium gombosii	Hemiaulus altus	Odontotropis cristata	Hyalodiscus sp. (oval)	Hemiaulus inaequilaterus var.	Triceratium cellulosum	? Hemiaulus fragilis	Hemiaulus sp. 4	Pseudostictodiscus sp.	Hemiaulus ?  conicus	Hemiaulus incurvus	Coscinodiscus sp.	Pterotheca aculeifera var. spinosa	Melosira sp. 1	Hemiaulus affinis	Trinacria excavata	Pterotheca sp. 1	Comment
  SR	                 	                 	                  	              	114	 700	B	 30	R	 4	  27.00	    280.7700	Fenner   	Diatoms                                      	               	P                 	F                    	F                              	D                                 	S                	F              	                     	                     	R              	F                  	               	               	                  	                    	F                                       	                   	                 	                   	                                    	R               	R              	R                 	F                      	                           	                 	                                       	R                	C                                           	S                          	                 	R                 	                  	               	                    	                      	                    	                     	                  	             	                           	                  	                  	S                    	                            	                      	                  	               	             	                       	                     	                    	                	                              	                  	F             	R                   	                       	                   	                          	                            	                     	                 	                   	F                   	                       	                              	            	R              	                  	                   	                        	                  	R                             	C                   	                      	                        	F              	                   	R                       	R                              	                     	                       	               	R                 	                       	                        	                                 	                    	               	                     	R                     	R                            	                      	                    	               	                      	                    	                  	                 	                                  	              	                 	                  	                	from ODP Leg 114 SR Chapter 6 Table 3 p.130-133

  SR	                 	                 	                  	              	114	 700	B	 30	R	 5	  27.00	    282.2700	Fenner   	Diatoms                                      	               	P                 	                     	C                              	A                                 	                 	R              	                     	                     	               	F                  	               	               	                  	F                   	R                                       	R                  	                 	                   	                                    	                	               	F                 	R                      	                           	                 	                                       	                 	F                                           	                           	                 	                  	                  	               	                    	S                     	                    	R                    	                  	             	                           	                  	                  	                     	                            	                      	                  	               	             	                       	R                    	                    	                	                              	                  	R             	R                   	                       	                   	                          	                            	                     	                 	                   	F                   	                       	                              	            	R              	R                 	                   	                        	                  	                              	C                   	                      	                        	               	F                  	F                       	                               	                     	                       	               	                  	R                      	                        	                                 	S                   	               	S                    	                      	                             	                      	                    	               	                      	                    	                  	                 	                                  	              	                 	                  	                	from ODP Leg 114 SR Chapter 6 Table 3 p.130-133

  SR	                 	                 	                  	              	114	 700	B	 30	R	 5	  80.00	    282.8000	Fenner   	Diatoms                                      	               	P/M               	F                    	F                              	D                                 	                 	R              	R                    	                     	R              	F                  	               	               	                  	                    	F                                       	R                  	                 	                   	R                                   	R               	               	                  	F                      	                           	                 	                                       	                 	F                                           	                           	                 	                  	                  	               	                    	                      	                    	                     	                  	             	R                          	                  	                  	                     	R                           	                      	                  	               	             	                       	S                    	                    	                	                              	                  	F             	F                   	                       	                   	                          	                            	                     	                 	                   	R                   	                       	                              	            	F              	                  	                   	                        	                  	                              	C                   	                      	                        	               	R                  	R                       	                               	                     	                       	               	R                 	                       	                        	                                 	                    	               	                     	                      	                             	                      	                    	               	                      	                    	                  	                 	                                  	              	                 	                  	                	from ODP Leg 114 SR Chapter 6 Table 3 p.130-133

  SR	                 	                 	                  	              	114	 700	B	 30	R	 6	  27.00	    283.7700	Fenner   	Diatoms                                      	               	P/M               	                     	R                              	D                                 	                 	R              	R                    	                     	               	F                  	               	               	                  	F                   	R                                       	                   	                 	                   	                                    	R               	R              	                  	R                      	R                          	                 	                                       	                 	F                                           	                           	R                	                  	                  	F              	                    	                      	                    	                     	R                 	             	                           	                  	                  	                     	R                           	                      	                  	               	             	                       	                     	R                   	                	                              	                  	              	                    	                       	                   	                          	                            	                     	                 	                   	                    	                       	                              	            	F              	                  	                   	                        	                  	                              	C                   	                      	                        	               	                   	                        	S                              	                     	                       	               	                  	F                      	                        	                                 	S                   	R              	                     	                      	                             	                      	                    	               	                      	                    	                  	                 	                                  	              	                 	                  	                	from ODP Leg 114 SR Chapter 6 Table 3 p.130-133

  SR	                 	                 	                  	              	114	 700	B	 30	R	CC	   8.00	    284.1200	Fenner   	Diatoms                                      	               	P/M               	R                    	F                              	D                                 	                 	R              	                     	S                    	S              	F                  	               	               	                  	C                   	R                                       	                   	                 	R                  	                                    	R               	               	R                 	R                      	                           	                 	                                       	                 	F                                           	                           	                 	                  	                  	R              	                    	                      	                    	                     	                  	S            	R                          	                  	                  	                     	                            	                      	                  	               	             	                       	S                    	R                   	                	                              	                  	              	                    	                       	                   	                          	                            	                     	                 	                   	                    	                       	                              	            	               	                  	                   	                        	                  	R                             	C                   	                      	                        	               	                   	R                       	                               	                     	                       	               	                  	F                      	                        	                                 	                    	               	                     	                      	                             	                      	                    	               	                      	                    	                  	                 	                                  	              	                 	                  	                	from ODP Leg 114 SR Chapter 6 Table 3 p.130-133

  SR	                 	                 	                  	              	114	 700	B	 31	R	 1	  50.00	    286.0000	Fenner   	Diatoms                                      	               	P                 	R                    	C                              	A                                 	                 	F              	F                    	R                    	R              	F                  	               	               	                  	F                   	                                        	R                  	                 	F                  	                                    	R               	R              	                  	F                      	                           	R                	                                       	                 	R                                           	R                          	                 	                  	                  	R              	                    	F                     	                    	                     	R                 	R            	                           	                  	                  	                     	                            	                      	                  	               	             	                       	                     	F                   	                	                              	                  	              	                    	                       	                   	                          	                            	                     	                 	                   	R                   	                       	                              	            	R              	                  	                   	                        	                  	                              	C                   	                      	                        	R              	                   	                        	                               	                     	                       	               	                  	F                      	                        	                                 	S                   	               	                     	                      	                             	                      	                    	               	                      	                    	                  	                 	                                  	              	                 	                  	                	from ODP Leg 114 SR Chapter 6 Table 3 p.130-133

  SR	                 	                 	                  	              	114	 700	B	 31	R	 2	  50.00	    287.5000	Fenner   	Diatoms                                      	               	P/M               	                     	C                              	D                                 	                 	F              	R                    	S                    	R              	R                  	               	               	S                 	F                   	R                                       	                   	                 	R                  	                                    	                	R              	R                 	F                      	                           	F                	S                                      	S                	F                                           	                           	                 	                  	                  	               	S                   	                      	R                   	R                    	F                 	R            	R                          	                  	                  	S                    	R                           	                      	                  	S              	             	                       	F                    	F                   	                	                              	                  	              	R                   	S                      	                   	R                         	R                           	S                    	                 	                   	                    	                       	                              	S           	               	S                 	                   	                        	R                 	                              	R                   	                      	S                       	               	                   	                        	R                              	                     	                       	               	                  	S                      	                        	R                                	                    	               	                     	                      	                             	                      	                    	               	                      	                    	                  	                 	                                  	              	                 	                  	                	from ODP Leg 114 SR Chapter 6 Table 3 p.130-133

  SR	                 	                 	                  	              	114	 700	B	 31	R	 2	  96.00	    287.9600	Fenner   	Diatoms                                      	               	P/M               	                     	C                              	A                                 	                 	               	R                    	S                    	R              	R                  	               	R              	S                 	F                   	                                        	F                  	                 	F                  	                                    	R               	               	F                 	                       	                           	F                	                                       	                 	F                                           	R                          	                 	                  	                  	               	                    	                      	                    	                     	S                 	R            	S                          	                  	                  	                     	                            	                      	                  	               	             	                       	S                    	F                   	                	R                             	                  	              	F                   	S                      	                   	                          	                            	                     	                 	                   	R                   	                       	                              	            	               	                  	                   	                        	R                 	                              	C                   	                      	                        	               	                   	                        	F                              	R                    	                       	R              	R                 	R                      	S                       	                                 	                    	               	                     	                      	                             	                      	                    	               	                      	                    	                  	                 	                                  	              	                 	                  	                	from ODP Leg 114 SR Chapter 6 Table 3 p.130-133

  SR	                 	                 	                  	              	114	 700	B	 31	R	 3	 125.00	    289.7500	Fenner   	Diatoms                                      	               	G                 	                     	C                              	D                                 	                 	               	R                    	R                    	               	R                  	R              	R              	                  	F                   	R                                       	R                  	                 	R                  	                                    	R               	R              	                  	F                      	                           	F                	S                                      	                 	F                                           	                           	                 	                  	                  	R              	                    	R                     	                    	                     	                  	             	                           	                  	                  	R                    	                            	                      	                  	               	R            	                       	                     	R                   	                	                              	                  	F             	F                   	                       	                   	                          	                            	                     	                 	                   	R                   	R                      	                              	            	               	R                 	                   	                        	F                 	                              	C                   	                      	S                       	               	                   	                        	R                              	F                    	S                      	               	                  	                       	                        	                                 	                    	               	                     	                      	                             	                      	                    	               	                      	                    	                  	                 	                                  	              	                 	                  	                	from ODP Leg 114 SR Chapter 6 Table 3 p.130-133

  SR	                 	                 	                  	              	114	 700	B	 31	R	 4	 149.00	    291.4900	Fenner   	Diatoms                                      	               	M                 	                     	                               	C                                 	                 	               	S                    	R                    	F              	F                  	S              	S              	                  	A                   	                                        	R                  	S                	F                  	S                                   	R               	S              	S                 	                       	                           	F                	R                                      	S                	R                                           	                           	                 	                  	R                 	S              	S                   	R                     	R                   	R                    	                  	             	R                          	                  	                  	S                    	                            	                      	                  	               	             	                       	S                    	S                   	                	                              	                  	              	                    	S                      	                   	                          	                            	R                    	                 	                   	                    	R                      	                              	S           	               	                  	                   	                        	                  	                              	                    	                      	                        	S              	S                  	S                       	                               	                     	                       	               	                  	                       	                        	                                 	                    	               	                     	                      	                             	                      	                    	               	                      	                    	                  	                 	                                  	              	                 	                  	                	from ODP Leg 114 SR Chapter 6 Table 3 p.130-133

  SR	                 	                 	                  	              	114	 700	B	 31	R	 5	  18.00	    291.6800	Fenner   	Diatoms                                      	               	P/M               	                     	F                              	A                                 	R                	R              	                     	S                    	R              	R                  	S              	R              	                  	C                   	F                                       	R                  	                 	F                  	                                    	R               	               	                  	                       	                           	R                	S                                      	                 	R                                           	                           	R                	                  	F                 	R              	S                   	R                     	R                   	                     	                  	             	R                          	                  	                  	R                    	                            	                      	                  	               	R            	S                      	R                    	R                   	                	                              	                  	              	                    	                       	S                  	                          	                            	                     	                 	                   	                    	                       	                              	            	               	                  	                   	                        	S                 	                              	                    	S                     	S                       	               	                   	                        	                               	                     	                       	               	                  	                       	                        	                                 	                    	               	                     	                      	                             	                      	                    	               	                      	                    	                  	                 	                                  	              	                 	                  	                	from ODP Leg 114 SR Chapter 6 Table 3 p.130-133

  SR	                 	                 	                  	              	114	 700	B	 31	R	 5	 115.00	    292.6500	Fenner   	Diatoms                                      	               	M                 	                     	F                              	A                                 	                 	               	                     	R                    	               	F                  	R              	R              	                  	F                   	                                        	C                  	                 	F                  	                                    	R               	               	                  	                       	                           	C                	                                       	                 	F                                           	R                          	                 	                  	F                 	R              	                    	                      	                    	                     	                  	             	S                          	                  	                  	                     	                            	                      	                  	               	             	                       	R                    	F                   	                	                              	                  	              	                    	S                      	                   	                          	                            	                     	                 	                   	                    	                       	S                             	            	               	S                 	                   	                        	                  	                              	F                   	                      	                        	               	                   	                        	                               	                     	                       	               	                  	                       	                        	                                 	                    	               	                     	                      	                             	                      	                    	               	                      	                    	                  	                 	                                  	              	                 	                  	                	from ODP Leg 114 SR Chapter 6 Table 3 p.130-133

  SR	                 	                 	                  	              	114	 700	B	 31	R	 6	  17.00	    293.1700	Fenner   	Diatoms                                      	               	P                 	F                    	R                              	A                                 	                 	R              	R                    	R                    	R              	R                  	               	               	                  	C                   	                                        	                   	                 	R                  	                                    	R               	               	                  	                       	R                          	F                	                                       	                 	                                            	                           	F                	                  	F                 	               	                    	F                     	                    	                     	                  	             	                           	                  	                  	                     	                            	                      	                  	F              	R            	                       	R                    	                    	                	                              	                  	              	                    	                       	F                  	                          	                            	                     	                 	R                  	                    	                       	                              	            	               	                  	                   	                        	R                 	R                             	                    	                      	                        	               	                   	                        	                               	                     	                       	               	                  	                       	                        	                                 	                    	               	                     	                      	                             	                      	                    	               	                      	                    	                  	                 	                                  	              	                 	                  	                	from ODP Leg 114 SR Chapter 6 Table 3 p.130-133

  SR	                 	                 	                  	              	114	 700	B	 31	R	 6	  18.00	    293.1800	Fenner   	Diatoms                                      	               	P                 	F                    	                               	C                                 	                 	R              	                     	R                    	F              	                   	               	               	                  	A                   	                                        	                   	                 	                   	                                    	R               	               	R                 	                       	                           	F                	                                       	                 	R                                           	                           	F                	                  	C                 	               	                    	R                     	R                   	                     	                  	             	                           	                  	                  	                     	                            	                      	                  	               	             	                       	R                    	F                   	                	                              	                  	R             	R                   	                       	                   	                          	R                           	R                    	                 	                   	                    	                       	                              	            	               	                  	                   	S                       	                  	                              	                    	                      	                        	               	                   	                        	                               	                     	                       	               	                  	                       	                        	                                 	                    	               	                     	                      	                             	                      	                    	               	                      	                    	                  	                 	                                  	              	                 	                  	                	from ODP Leg 114 SR Chapter 6 Table 3 p.130-133

  SR	                 	                 	                  	              	114	 700	B	 31	R	 6	  32.00	    293.3200	Fenner   	Diatoms                                      	               	P                 	                     	F                              	A                                 	                 	               	F                    	                     	               	F                  	F              	               	                  	F                   	                                        	C                  	                 	R                  	                                    	                	R              	R                 	F                      	                           	F                	                                       	                 	F                                           	                           	                 	                  	F                 	               	                    	                      	                    	                     	                  	F            	                           	                  	C                 	                     	                            	                      	                  	               	             	                       	                     	                    	                	                              	                  	              	                    	                       	                   	                          	                            	R                    	                 	                   	R                   	                       	R                             	            	               	R                 	                   	                        	                  	                              	                    	                      	                        	               	                   	                        	                               	                     	                       	               	                  	                       	                        	                                 	                    	               	                     	                      	                             	                      	                    	               	                      	                    	                  	                 	                                  	              	                 	                  	                	from ODP Leg 114 SR Chapter 6 Table 3 p.130-133

  SR	                 	                 	                  	              	114	 700	B	 31	R	 6	  63.00	    293.6300	Fenner   	Diatoms                                      	               	M                 	S                    	F                              	A                                 	                 	R              	R                    	S                    	R              	F                  	R              	R              	R                 	C                   	                                        	R                  	S                	F                  	                                    	S               	R              	R                 	S                      	                           	R                	R                                      	                 	R                                           	                           	F                	                  	C                 	               	S                   	R                     	R                   	                     	                  	             	S                          	                  	S                 	S                    	                            	                      	                  	               	             	S                      	                     	R                   	                	                              	                  	S             	S                   	R                      	R                  	                          	                            	                     	R                	                   	                    	R                      	                              	            	               	R                 	S                  	                        	                  	                              	                    	                      	                        	               	                   	                        	                               	                     	                       	               	                  	                       	                        	                                 	                    	               	                     	                      	                             	                      	                    	               	                      	                    	                  	                 	                                  	              	                 	                  	                	from ODP Leg 114 SR Chapter 6 Table 3 p.130-133

  SR	                 	                 	                  	              	114	 700	B	 31	R	 7	  13.00	    294.6300	Fenner   	Diatoms                                      	               	P                 	                     	C                              	A                                 	                 	R              	F                    	                     	               	C                  	R              	               	                  	C                   	                                        	F                  	                 	F                  	                                    	                	               	R                 	                       	                           	R                	R                                      	                 	F                                           	                           	                 	                  	                  	               	                    	                      	                    	                     	                  	             	                           	                  	F                 	                     	                            	                      	                  	               	             	                       	                     	R                   	                	                              	                  	              	                    	                       	                   	                          	                            	                     	R                	                   	                    	                       	                              	            	R              	                  	                   	                        	                  	                              	                    	                      	                        	               	                   	                        	                               	                     	                       	               	                  	                       	                        	                                 	                    	               	                     	                      	                             	                      	                    	               	                      	                    	                  	                 	                                  	              	                 	                  	                	from ODP Leg 114 SR Chapter 6 Table 3 p.130-133

  SR	                 	                 	                  	              	114	 700	B	 31	R	CC	  12.00	    295.2500	Fenner   	Diatoms                                      	               	M                 	                     	F                              	D                                 	                 	R              	S                    	                     	R              	F                  	R              	R              	R                 	F                   	F                                       	F                  	                 	F                  	                                    	F               	R              	R                 	R                      	R                          	F                	F                                      	                 	F                                           	S                          	                 	                  	R                 	R              	                    	R                     	S                   	R                    	                  	             	S                          	                  	F                 	                     	                            	                      	                  	F              	F            	                       	S                    	R                   	S               	                              	S                 	R             	R                   	R                      	R                  	S                         	R                           	                     	                 	R                  	R                   	R                      	S                             	R           	               	                  	                   	                        	                  	                              	                    	                      	                        	               	                   	                        	                               	                     	                       	               	                  	                       	                        	                                 	                    	               	                     	                      	                             	                      	                    	               	                      	                    	                  	                 	                                  	              	                 	                  	                	from ODP Leg 114 SR Chapter 6 Table 3 p.130-133

  SR	                 	                 	                  	              	114	 700	B	 32	R	 1	 124.00	    296.2400	Fenner   	Diatoms                                      	               	P                 	S                    	F                              	A                                 	S                	R              	                     	                     	S              	F                  	R              	R              	R                 	A                   	R                                       	S                  	                 	F                  	S                                   	S               	F              	R                 	                       	                           	F                	F                                      	                 	S                                           	                           	S                	                  	R                 	               	S                   	S                     	R                   	                     	                  	S            	                           	S                 	                  	S                    	                            	R                     	                  	C              	             	                       	                     	                    	                	                              	S                 	S             	S                   	S                      	S                  	S                         	S                           	S                    	S                	                   	                    	                       	                              	            	               	                  	                   	                        	                  	                              	                    	                      	                        	               	                   	                        	                               	                     	                       	               	                  	                       	                        	                                 	                    	               	                     	                      	                             	                      	                    	               	                      	                    	                  	                 	                                  	              	                 	                  	                	from ODP Leg 114 SR Chapter 6 Table 3 p.130-133

  SR	                 	                 	                  	              	114	 700	B	 32	R	 2	  15.00	    296.6500	Fenner   	Diatoms                                      	               	P                 	                     	                               	S                                 	                 	               	                     	                     	               	                   	               	               	                  	S                   	                                        	                   	                 	                   	                                    	                	               	                  	                       	                           	                 	                                       	                 	                                            	                           	                 	                  	                  	               	                    	                      	                    	                     	                  	             	                           	                  	                  	                     	                            	                      	                  	               	             	                       	                     	                    	                	                              	                  	              	                    	                       	                   	                          	                            	                     	                 	                   	                    	                       	                              	            	               	                  	                   	                        	                  	                              	                    	                      	                        	               	                   	                        	                               	                     	                       	               	                  	                       	                        	                                 	                    	               	                     	                      	                             	                      	                    	               	                      	                    	                  	                 	                                  	              	                 	                  	                	from ODP Leg 114 SR Chapter 6 Table 3 p.130-133

  SR	                 	                 	                  	              	114	 700	B	 32	R	 2	  84.00	    297.3400	Fenner   	Diatoms                                      	               	P                 	                     	F                              	D                                 	                 	               	R                    	S                    	R              	R                  	F              	F              	S                 	C                   	                                        	F                  	                 	F                  	                                    	                	F              	                  	R                      	                           	R                	                                       	                 	R                                           	R                          	                 	                  	R                 	S              	                    	                      	                    	                     	S                 	F            	                           	                  	                  	                     	                            	                      	                  	               	F            	S                      	S                    	R                   	S               	R                             	                  	              	                    	                       	                   	                          	                            	                     	                 	                   	                    	                       	                              	            	               	                  	                   	                        	                  	                              	                    	                      	                        	               	                   	                        	                               	                     	                       	               	                  	                       	                        	                                 	                    	               	                     	                      	                             	                      	                    	               	                      	                    	                  	                 	                                  	              	                 	                  	                	from ODP Leg 114 SR Chapter 6 Table 3 p.130-133

  SR	                 	                 	                  	              	114	 700	B	 33	R	 1	 114.00	    305.6400	Fenner   	Diatoms                                      	               	P                 	                     	F                              	A                                 	                 	               	                     	                     	               	                   	               	F              	                  	F                   	                                        	                   	                 	                   	                                    	                	               	F                 	                       	                           	                 	                                       	                 	F                                           	                           	                 	                  	                  	               	                    	                      	                    	                     	                  	             	                           	                  	                  	                     	                            	                      	                  	               	             	                       	                     	                    	                	                              	                  	              	                    	                       	                   	                          	                            	                     	                 	                   	                    	                       	                              	            	               	                  	                   	                        	                  	                              	                    	                      	                        	               	                   	                        	                               	                     	                       	               	                  	                       	                        	                                 	                    	               	                     	                      	                             	                      	                    	               	                      	                    	                  	                 	                                  	              	                 	                  	                	from ODP Leg 114 SR Chapter 6 Table 3 p.130-133

  SR	                 	                 	                  	              	114	 700	B	 34	R	 1	 119.00	    315.1900	Fenner   	Diatoms                                      	               	M                 	F                    	                               	A                                 	R                	               	R                    	R                    	               	F                  	R              	F              	R                 	A                   	R                                       	R                  	                 	F                  	                                    	                	F              	                  	R                      	                           	R                	R                                      	                 	F                                           	                           	F                	                  	R                 	               	                    	                      	                    	R                    	                  	             	R                          	R                 	R                 	R                    	R                           	S                     	R                 	F              	             	                       	                     	                    	                	                              	                  	              	                    	                       	                   	                          	                            	                     	                 	                   	                    	                       	                              	            	               	                  	                   	                        	                  	                              	                    	                      	                        	               	                   	                        	                               	                     	                       	               	                  	                       	                        	                                 	                    	               	                     	                      	                             	                      	                    	               	                      	                    	                  	                 	                                  	              	                 	                  	                	from ODP Leg 114 SR Chapter 6 Table 3 p.130-133

  SR	                 	                 	                  	              	114	 700	B	 34	R	 1	 150.00	    315.5000	Fenner   	Diatoms                                      	               	M                 	F                    	                               	A                                 	                 	               	R                    	R                    	R              	R                  	F              	F              	                  	A                   	R                                       	                   	S                	F                  	R                                   	                	R              	F                 	R                      	                           	R                	R                                      	                 	                                            	                           	R                	                  	R                 	               	                    	R                     	                    	R                    	S                 	S            	R                          	                  	                  	                     	                            	                      	                  	               	             	                       	                     	                    	                	                              	                  	              	                    	                       	                   	                          	                            	                     	                 	                   	                    	                       	                              	            	               	                  	                   	                        	                  	                              	                    	                      	                        	               	                   	                        	                               	                     	                       	               	                  	                       	                        	                                 	                    	               	                     	                      	                             	                      	                    	               	                      	                    	                  	                 	                                  	              	                 	                  	                	from ODP Leg 114 SR Chapter 6 Table 3 p.130-133

  SR	                 	                 	                  	              	114	 700	B	 34	R	 2	  19.00	    315.6900	Fenner   	Diatoms                                      	               	P                 	R                    	R                              	C                                 	R                	R              	F                    	R                    	               	R                  	R              	R              	R                 	A                   	                                        	                   	                 	F                  	                                    	R               	R              	F                 	                       	                           	R                	R                                      	                 	R                                           	                           	R                	                  	R                 	R              	R                   	R                     	R                   	                     	                  	             	                           	                  	                  	                     	                            	                      	                  	               	             	                       	                     	                    	                	                              	                  	              	                    	                       	                   	                          	                            	                     	                 	                   	                    	                       	                              	            	               	                  	                   	                        	                  	                              	                    	                      	                        	               	                   	                        	                               	                     	                       	               	                  	                       	                        	                                 	                    	               	                     	                      	                             	                      	                    	               	                      	                    	                  	                 	                                  	              	                 	                  	                	from ODP Leg 114 SR Chapter 6 Table 3 p.130-133

  SR	                 	                 	                  	              	114	 700	B	 34	R	 3	  15.00	    317.1500	Fenner   	Diatoms                                      	               	M                 	F                    	R                              	C                                 	R                	R              	                     	                     	               	R                  	R              	F              	R                 	A                   	F                                       	R                  	                 	F                  	S                                   	R               	R              	R                 	R                      	R                          	R                	F                                      	R                	R                                           	S                          	R                	S                 	R                 	               	                    	                      	                    	                     	                  	             	                           	                  	                  	                     	                            	                      	                  	               	             	                       	                     	                    	                	                              	                  	              	                    	                       	                   	                          	                            	                     	                 	                   	                    	                       	                              	            	               	                  	                   	                        	                  	                              	                    	                      	                        	               	                   	                        	                               	                     	                       	               	                  	                       	                        	                                 	                    	               	                     	                      	                             	                      	                    	               	                      	                    	                  	                 	                                  	              	                 	                  	                	from ODP Leg 114 SR Chapter 6 Table 3 p.130-133

  SR	                 	                 	                  	              	114	 700	B	 34	R	 3	  62.00	    317.6200	Fenner   	Diatoms                                      	               	P                 	R                    	R                              	A                                 	R                	F              	R                    	R                    	R              	R                  	R              	R              	R                 	A                   	R                                       	R                  	S                	F                  	                                    	                	               	                  	                       	                           	                 	                                       	                 	                                            	                           	                 	                  	                  	               	                    	                      	                    	                     	                  	             	                           	                  	                  	                     	                            	                      	                  	               	             	                       	                     	                    	                	                              	                  	              	                    	                       	                   	                          	                            	                     	                 	                   	                    	                       	                              	            	               	                  	                   	                        	                  	                              	                    	                      	                        	               	                   	                        	                               	                     	                       	               	                  	                       	                        	                                 	                    	               	                     	                      	                             	                      	                    	               	                      	                    	                  	                 	                                  	              	                 	                  	                	from ODP Leg 114 SR Chapter 6 Table 3 p.130-133

