Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Umbilicosphaera spp.,Syracosphaera spp.,Rhabdosphaera stylifera,Rhabdosphaera clavigera,Reticulofenestra spp. (small - medium),Pseudoemiliania lacunosa,Oolithotus fragilis,Helicosphaera spp.,Hayaster perplexus,Gephyrocapsa spp. (small),Emiliania ovata,Discoaster tamalis (grainy),Discoaster surculus (grainy),Discoaster spp. (fragments),Discoaster spp. (6 rays),Discoaster spp. (5 rays),Discoaster pentaradiatus (grainy),Discoaster ono,Discoaster brouweri (grainy),Discoaster asymmetricus (grainy),Dictyococcites productus,Cycloperfolithus carlae,Cyclolithus annulus,Coccolithus pataecus,Calcidiscus macintyrei,Calcidiscus leptoporus,Triquetrorhabdulus rugosus,Helicosphaera sellii,Helicosphaera kamptneri,Discoaster variabilis,Discoaster triradiatus,Discoaster tamalis,Discoaster surculus,Discoaster stellulus,Discoaster sp. A,Discoaster pentaradiatus,Discoaster brouweri,Discoaster blackstockae,Discoaster asymmetricus,Discoaster archipelagoensis,Coccolithus pelagicus,Ceratolithus cristatus,Discoaster pentaradiatus (fragments),Ceratolithus spp.,Thoracosphaera spp.,Scyphosphaera sp. (fragment),Scapholithus fossilis,Pontosphaera spp.,Helicosphaera hyalina,Discoaster quadramus,Discoaster intercalaris,Thoracosphaera saxea,Sphenolithus verensis,Sphenolithus neoabies,Sphenolithus abies,Scyphosphaera apsteinii,Reticulofenestra pseudoumbilicus,Ceratolithus rugosus,Hayaster perplexus fr.,Scyphosphaera pulcherrima,Holodiscolithus spp.,Gephyrocapsa oceanica,Gephyrocapsa caribbeanica,Pontosphaera japonica,Scyphosphaera galeana,Ceratolithus telesmus,Amaurolithus delicatus,Scyphosphaera spp.,Thoracosphaera granifera,Helicosphaera pavimentum,Pontosphaera indooceanica,Emiliania huxleyi,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN12              ,              ,135, 835,A,  8,H, 3,  58.00,     70.0800,Styzen   ,Nannofossils                                 ,               ,                  ,C                   ,C                 ,C                      ,C                      ,                                      ,L                       ,F                  ,                  ,F                 ,X                        ,L              ,                           ,                            ,F                          ,S                       ,                        ,                                 ,              ,                            ,                                ,                        ,R                      ,F                  ,                    ,S                     ,C                     ,                          ,                    ,M                      ,                     ,                      ,                  ,S                  ,                    ,                ,M                       ,M                  ,                       ,S                      ,                           ,R                    ,                      ,                                    ,                 ,S                  ,S                           ,R                    ,S                ,M                    ,                    ,                       ,                    ,                     ,                     ,                  ,R                      ,                                ,                    ,                      ,R                        ,R                   ,F                    ,F                        ,R                    ,                     ,                     ,                      ,                  ,                        ,                        ,                         ,                 ,from ODP Leg 135 Chapter 13 Table 4 p. 196-198
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN12              ,              ,135, 835,A,  8,H, 5, 120.00,     73.7000,Styzen   ,Nannofossils                                 ,               ,                  ,L                   ,L                 ,A                      ,A                      ,S                                     ,W                       ,M                  ,                  ,                  ,X                        ,W              ,                           ,                            ,                           ,                        ,                        ,                                 ,              ,                            ,                                ,                        ,                       ,S                  ,                    ,                      ,L                     ,                          ,                    ,L                      ,                     ,                      ,                  ,                   ,                    ,                ,R                       ,                   ,                       ,                       ,                           ,                     ,R                     ,                                    ,                 ,F                  ,F                           ,S                    ,F                ,F                    ,                    ,                       ,                    ,                     ,R                    ,                  ,                       ,                                ,                    ,S                     ,                         ,R                   ,F                    ,M                        ,                     ,                     ,                     ,                      ,                  ,                        ,                        ,                         ,                 ,from ODP Leg 135 Chapter 13 Table 4 p. 196-198
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,CN12              ,              ,135, 835,A,  9,H, 5,  70.00,     82.7000,Styzen   ,Nannofossils                                 ,               ,                  ,L                   ,L                 ,A                      ,F                      ,F                                     ,A                       ,F                  ,                  ,R                 ,X                        ,W              ,                           ,                            ,C                          ,S                       ,                        ,                                 ,              ,                            ,                                ,                        ,                       ,S                  ,                    ,F                     ,C                     ,                          ,S                   ,L                      ,                     ,R                     ,R                 ,R                  ,                    ,                ,C                       ,M                  ,                       ,R                      ,                           ,                     ,                      ,                                    ,                 ,F                  ,S                           ,S                    ,S                ,S                    ,                    ,                       ,                    ,                     ,                     ,                  ,                       ,                                ,                    ,R                     ,R                        ,R                   ,                     ,                         ,                     ,                     ,                     ,                      ,                  ,                        ,                        ,                         ,                 ,from ODP Leg 135 Chapter 13 Table 4 p. 196-198
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,CN12              ,              ,135, 835,A, 10,H, 5,  41.00,     91.9100,Styzen   ,Nannofossils                                 ,               ,                  ,V                   ,A                 ,W                      ,L                      ,F                                     ,W                       ,F                  ,                  ,                  ,X                        ,X              ,                           ,                            ,M                          ,R                       ,                        ,                                 ,              ,                            ,                                ,                        ,                       ,S                  ,R                   ,M                     ,A                     ,                          ,                    ,A                      ,                     ,F                     ,                  ,                   ,                    ,                ,                        ,C                  ,                       ,                       ,                           ,                     ,R                     ,                                    ,                 ,                   ,R                           ,F                    ,S                ,F                    ,                    ,                       ,                    ,                     ,                     ,                  ,                       ,                                ,                    ,                      ,                         ,                    ,                     ,                         ,                     ,                     ,                     ,                      ,                  ,                        ,                        ,                         ,                 ,from ODP Leg 135 Chapter 13 Table 4 p. 196-198
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,CN12              ,              ,135, 835,A, 11,H, 5,  88.00,    101.8800,Styzen   ,Nannofossils                                 ,               ,                  ,A                   ,A                 ,L                      ,F                      ,L                                     ,W                       ,F                  ,                  ,R                 ,X                        ,W              ,                           ,                            ,V                          ,S                       ,                        ,                                 ,R             ,                            ,                                ,                        ,F                      ,F                  ,S                   ,M                     ,L                     ,                          ,S                   ,L                      ,                     ,R                     ,F                 ,M                  ,                    ,R               ,A                       ,A                  ,                       ,M                      ,                           ,                     ,                      ,                                    ,                 ,F                  ,F                           ,                     ,S                ,R                    ,                    ,                       ,                    ,                     ,                     ,                  ,                       ,                                ,                    ,                      ,                         ,                    ,                     ,                         ,                     ,                     ,                     ,                      ,                  ,                        ,                        ,                         ,                 ,from ODP Leg 135 Chapter 13 Table 4 p. 196-198
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,CN12              ,              ,135, 835,A, 12,H, 3,  72.00,    108.2200,Styzen   ,Nannofossils                                 ,               ,                  ,A                   ,L                 ,L                      ,F                      ,A                                     ,W                       ,R                  ,                  ,R                 ,X                        ,W              ,                           ,                            ,V                          ,F                       ,R                       ,                                 ,S             ,                            ,                                ,                        ,F                      ,F                  ,S                   ,F                     ,L                     ,                          ,R                   ,C                      ,R                    ,                      ,S                 ,R                  ,R                   ,                ,L                       ,C                  ,R                      ,F                      ,R                          ,                     ,                      ,                                    ,                 ,S                  ,R                           ,R                    ,S                ,                     ,                    ,R                      ,                    ,                     ,                     ,                  ,                       ,                                ,                    ,R                     ,                         ,                    ,                     ,                         ,                     ,                     ,                     ,                      ,                  ,                        ,                        ,                         ,                 ,from ODP Leg 135 Chapter 13 Table 4 p. 196-198
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,CN12              ,              ,135, 835,A, 13,H, 4, 125.00,    119.7500,Styzen   ,Nannofossils                                 ,               ,                  ,C                   ,M                 ,C                      ,F                      ,C                                     ,A                       ,F                  ,                  ,S                 ,W                        ,V              ,                           ,                            ,C                          ,R                       ,                        ,                                 ,              ,                            ,                                ,                        ,S                      ,F                  ,                    ,R                     ,C                     ,                          ,R                   ,F                      ,                     ,R                     ,F                 ,F                  ,                    ,                ,C                       ,M                  ,                       ,S                      ,                           ,                     ,S                     ,                                    ,                 ,S                  ,R                           ,R                    ,                 ,                     ,                    ,                       ,                    ,                     ,                     ,                  ,                       ,                                ,                    ,                      ,                         ,                    ,                     ,                         ,                     ,                     ,                     ,                      ,                  ,                        ,                        ,                         ,                 ,from ODP Leg 135 Chapter 13 Table 4 p. 196-198
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,CN11              ,              ,135, 835,A, 14,H, 1, 100.00,    124.5000,Styzen   ,Nannofossils                                 ,               ,                  ,V                   ,F                 ,M                      ,S                      ,A                                     ,A                       ,A                  ,R                 ,S                 ,A                        ,V              ,                           ,C                           ,A                          ,C                       ,M                       ,F                                ,R             ,                            ,R                               ,F                       ,C                      ,A                  ,L                   ,C                     ,C                     ,                          ,F                   ,F                      ,S                    ,R                     ,F                 ,A                  ,S                   ,                ,A                       ,L                  ,R                      ,F                      ,                           ,                     ,R                     ,                                    ,                 ,F                  ,R                           ,                     ,S                ,                     ,R                   ,R                      ,S                   ,S                    ,W                    ,W                 ,S                      ,L                               ,S                   ,                      ,                         ,                    ,                     ,                         ,                     ,                     ,                     ,                      ,                  ,                        ,                        ,                         ,                 ,from ODP Leg 135 Chapter 13 Table 4 p. 196-198
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,CN12              ,              ,135, 835,A, 14,H, 7,  31.00,    132.8100,Styzen   ,Nannofossils                                 ,               ,                  ,V                   ,A                 ,V                      ,S                      ,C                                     ,W                       ,                   ,                  ,R                 ,X                        ,W              ,                           ,                            ,W                          ,                        ,                        ,                                 ,R             ,                            ,                                ,                        ,                       ,F                  ,                    ,F                     ,L                     ,                          ,S                   ,A                      ,R                    ,R                     ,                  ,R                  ,S                   ,                ,V                       ,L                  ,S                      ,R                      ,                           ,R                    ,F                     ,                                    ,                 ,F                  ,S                           ,R                    ,S                ,R                    ,R                   ,R                      ,                    ,                     ,                     ,                  ,                       ,                                ,                    ,                      ,                         ,                    ,                     ,                         ,                     ,                     ,                     ,                      ,                  ,                        ,                        ,                         ,                 ,from ODP Leg 135 Chapter 13 Table 4 p. 196-198
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,CN12              ,              ,135, 835,A, 15,H, 5, 140.00,    140.2000,Styzen   ,Nannofossils                                 ,               ,                  ,                    ,M                 ,                       ,R                      ,A                                     ,V                       ,S                  ,                  ,                  ,W                        ,V              ,                           ,                            ,A                          ,F                       ,S                       ,                                 ,              ,                            ,                                ,                        ,R                      ,F                  ,F                   ,R                     ,M                     ,                          ,                    ,R                      ,                     ,R                     ,F                 ,                   ,                    ,                ,M                       ,C                  ,R                      ,S                      ,R                          ,                     ,                      ,S                                   ,S                ,                   ,                            ,                     ,                 ,                     ,                    ,                       ,                    ,                     ,                     ,                  ,                       ,                                ,                    ,                      ,                         ,                    ,                     ,                         ,                     ,                     ,                     ,                      ,                  ,                        ,                        ,                         ,                 ,from ODP Leg 135 Chapter 13 Table 4 p. 196-198
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,CN12              ,              ,135, 835,A, 16,H, 4, 129.00,    148.2400,Styzen   ,Nannofossils                                 ,               ,                  ,S                   ,F                 ,                       ,                       ,A                                     ,C                       ,R                  ,                  ,                  ,V                        ,C              ,                           ,                            ,V                          ,S                       ,R                       ,                                 ,R             ,                            ,                                ,S                       ,F                      ,S                  ,F                   ,F                     ,C                     ,R                         ,R                   ,S                      ,R                    ,F                     ,M                 ,M                  ,R                   ,R               ,A                       ,L                  ,R                      ,F                      ,F                          ,R                    ,R                     ,                                    ,                 ,                   ,                            ,                     ,                 ,                     ,                    ,                       ,                    ,                     ,                     ,                  ,                       ,                                ,                    ,                      ,                         ,                    ,                     ,                         ,                     ,                     ,                     ,                      ,                  ,                        ,                        ,                         ,                 ,from ODP Leg 135 Chapter 13 Table 4 p. 196-198
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,CN12              ,              ,135, 835,A, 18,X, 1,   1.00,    154.5100,Styzen   ,Nannofossils                                 ,               ,                  ,F                   ,F                 ,R                      ,F                      ,A                                     ,V                       ,S                  ,S                 ,S                 ,A                        ,W              ,M                          ,M                           ,W                          ,L                       ,L                       ,M                                ,R             ,M                           ,R                               ,R                       ,C                      ,M                  ,F                   ,S                     ,C                     ,                          ,                    ,                       ,                     ,                      ,                  ,                   ,                    ,                ,                        ,                   ,                       ,                       ,                           ,                     ,                      ,                                    ,                 ,                   ,                            ,                     ,                 ,                     ,                    ,                       ,                    ,                     ,                     ,                  ,                       ,                                ,                    ,                      ,                         ,                    ,                     ,                         ,                     ,                     ,                     ,                      ,                  ,                        ,                        ,                         ,                 ,from ODP Leg 135 Chapter 13 Table 4 p. 196-198
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
