Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Turborotalita quinqueloba,Turborotalita humilis,Tenuitella parkerae,Tenuitella iota,Orbulina universa,Neogloboquadrina pachyderma (sinistral),Neogloboquadrina pachyderma (non-encrusted juvenile sin.),Neogloboquadrina pachyderma (dextral),Indeterminate spp.,Globoturborotalita rubescens,Globorotalia theyeri,Globorotalia sp. A,Globorotalia scitula,Globorotalia inflata,Globorotalia hirsuta,Globigerinoides ruber,Globigerinita uvula,Globigerinita minuta,Globigerinita glutinata,Globigerinita cf. uvula,Globigerina falconensis,Globigerina bulloides,Turborotalita quinqueloba Group,Neogloboquadrina pachyderma (sin.),Globigerinita uvula Group,Neogloboquadrina pachyderma (dex.),Comment
  SR,Pleistocene      ,                 ,                  ,              ,139, 856,A,  7,H, 2, 101.00,     52.7100,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,0                        ,0                    ,0                  ,0              ,0                ,0                                      ,0                                                        ,0                                    ,0                 ,0                           ,0                   ,0                 ,0                   ,0                   ,0                   ,0                    ,0                  ,0                   ,0                      ,0                      ,0                      ,0                    ,                               ,                                  ,                         ,                                  ,from Leg 139 SR; Chapter 4; Tables 5&6; p47& 51-53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,139, 856,A,  7,H, 4,  64.00,     55.3400,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,0                        ,0                    ,0                  ,0              ,0                ,0                                      ,0                                                        ,0                                    ,0                 ,0                           ,0                   ,0                 ,0                   ,0                   ,0                   ,0                    ,0                  ,0                   ,0                      ,0                      ,0                      ,0                    ,                               ,                                  ,                         ,                                  ,from Leg 139 SR; Chapter 4; Tables 5&6; p47& 51-53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,139, 856,A,  7,H, 4,  94.00,     55.6400,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,0                        ,0                    ,0                  ,0              ,0                ,0                                      ,0                                                        ,0                                    ,0                 ,0                           ,0                   ,0                 ,0                   ,0                   ,0                   ,0                    ,0                  ,0                   ,0                      ,0                      ,0                      ,0                    ,                               ,                                  ,                         ,                                  ,from Leg 139 SR; Chapter 4; Tables 5&6; p47& 51-53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,139, 856,A,  7,H, 5,  46.00,     56.6600,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,0                        ,0                    ,0                  ,0              ,0                ,0                                      ,0                                                        ,0                                    ,0                 ,0                           ,0                   ,0                 ,0                   ,0                   ,0                   ,0                    ,0                  ,0                   ,0                      ,0                      ,0                      ,0                    ,                               ,                                  ,                         ,                                  ,from Leg 139 SR; Chapter 4; Tables 5&6; p47& 51-53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,139, 856,A,  7,H, 6,  39.00,     58.0900,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,0                        ,0                    ,0                  ,0              ,0                ,0                                      ,0                                                        ,0                                    ,0                 ,0                           ,0                   ,0                 ,0                   ,0                   ,0                   ,0                    ,0                  ,0                   ,0                      ,0                      ,0                      ,0                    ,                               ,                                  ,                         ,                                  ,from Leg 139 SR; Chapter 4; Tables 5&6; p47& 51-53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,139, 856,A,  7,H, 7,  23.00,     59.4300,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,0                        ,0                    ,0                  ,0              ,0                ,0                                      ,0                                                        ,0                                    ,0                 ,0                           ,0                   ,0                 ,0                   ,0                   ,0                   ,0                    ,0                  ,0                   ,0                      ,0                      ,0                      ,0                    ,                               ,                                  ,                         ,                                  ,from Leg 139 SR; Chapter 4; Tables 5&6; p47& 51-53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,139, 856,A,  8,H, 1,  87.00,     60.5700,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,0                        ,0                    ,0                  ,0              ,0                ,0                                      ,0                                                        ,0                                    ,0                 ,0                           ,0                   ,0                 ,0                   ,0                   ,0                   ,0                    ,0                  ,0                   ,0                      ,0                      ,0                      ,0                    ,                               ,                                  ,                         ,                                  ,from Leg 139 SR; Chapter 4; Tables 5&6; p47& 51-53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,139, 856,A,  8,H, 2, 119.00,     62.3900,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,0                        ,0                    ,0                  ,0              ,0                ,0                                      ,0                                                        ,0                                    ,0                 ,0                           ,0                   ,0                 ,0                   ,0                   ,0                   ,0                    ,0                  ,0                   ,0                      ,0                      ,0                      ,0                    ,                               ,                                  ,                         ,                                  ,from Leg 139 SR; Chapter 4; Tables 5&6; p47& 51-53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,139, 856,A,  8,H, 3, 120.00,     63.9000,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,0                        ,0                    ,0                  ,0              ,0                ,0                                      ,0                                                        ,0                                    ,0                 ,0                           ,0                   ,0                 ,0                   ,0                   ,0                   ,0                    ,0                  ,0                   ,0                      ,0                      ,0                      ,0                    ,                               ,                                  ,                         ,                                  ,from Leg 139 SR; Chapter 4; Tables 5&6; p47& 51-53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,139, 856,A,  8,H, 4, 112.00,     65.3200,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,0                        ,0                    ,0                  ,0              ,0                ,0                                      ,0                                                        ,0                                    ,0                 ,0                           ,0                   ,0                 ,0                   ,0                   ,0                   ,0                    ,0                  ,0                   ,0                      ,0                      ,0                      ,0                    ,                               ,                                  ,                         ,                                  ,from Leg 139 SR; Chapter 4; Tables 5&6; p47& 51-53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,139, 856,A,  8,H, 5,  98.00,     66.6800,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,0                        ,0                    ,0                  ,0              ,0                ,0                                      ,0                                                        ,0                                    ,0                 ,0                           ,0                   ,0                 ,0                   ,0                   ,0                   ,0                    ,0                  ,0                   ,0                      ,0                      ,0                      ,0                    ,                               ,                                  ,                         ,                                  ,from Leg 139 SR; Chapter 4; Tables 5&6; p47& 51-53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,139, 856,A,  8,H, 6,  94.00,     68.1400,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,0                        ,0                    ,0                  ,0              ,0                ,0                                      ,0                                                        ,0                                    ,0                 ,0                           ,0                   ,0                 ,0                   ,0                   ,0                   ,0                    ,0                  ,0                   ,0                      ,0                      ,0                      ,0                    ,                               ,                                  ,                         ,                                  ,from Leg 139 SR; Chapter 4; Tables 5&6; p47& 51-53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,139, 856,A,  9,H, 3,  90.00,     73.1000,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,0                        ,0                    ,0                  ,0              ,0                ,0                                      ,0                                                        ,0                                    ,0                 ,0                           ,0                   ,0                 ,0                   ,0                   ,0                   ,0                    ,0                  ,0                   ,0                      ,0                      ,0                      ,0                    ,                               ,                                  ,                         ,                                  ,from Leg 139 SR; Chapter 4; Tables 5&6; p47& 51-53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,139, 856,A,  9,H, 4,  97.00,     74.6700,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,0                        ,0                    ,0                  ,0              ,0                ,0                                      ,0                                                        ,0                                    ,0                 ,0                           ,0                   ,0                 ,0                   ,0                   ,0                   ,0                    ,0                  ,0                   ,0                      ,0                      ,0                      ,0                    ,                               ,                                  ,                         ,                                  ,from Leg 139 SR; Chapter 4; Tables 5&6; p47& 51-53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,139, 856,A,  9,H, 6,  46.00,     77.1600,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,14                       ,0                    ,0                  ,0              ,0                ,34                                     ,0                                                        ,0                                    ,2                 ,0                           ,0                   ,0                 ,0                   ,0                   ,0                   ,0                    ,3                  ,4                   ,11                     ,18                     ,0                      ,21                   ,                               ,                                  ,                         ,                                  ,from Leg 139 SR; Chapter 4; Tables 5&6; p47& 51-53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,139, 856,A, 12,X, 1,  33.00,     96.0300,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,0                        ,0                    ,0                  ,0              ,0                ,0                                      ,0                                                        ,0                                    ,0                 ,0                           ,0                   ,0                 ,0                   ,0                   ,0                   ,0                    ,0                  ,0                   ,0                      ,0                      ,0                      ,0                    ,                               ,                                  ,                         ,                                  ,from Leg 139 SR; Chapter 4; Tables 5&6; p47& 51-53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,139, 856,A, 12,X, 2,  32.00,     97.5200,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,0                        ,0                    ,0                  ,0              ,0                ,0                                      ,0                                                        ,0                                    ,0                 ,0                           ,0                   ,0                 ,0                   ,0                   ,0                   ,0                    ,0                  ,0                   ,0                      ,0                      ,0                      ,0                    ,                               ,                                  ,                         ,                                  ,from Leg 139 SR; Chapter 4; Tables 5&6; p47& 51-53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
