Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Rhizosolenia barboi,Delphineis penelliptica,Cymatosira immunis,Coscinodiscus lewisianus,Actinocyclus tenellus,Actinocyclus ingens,Rossiella paleacea,Rhizosolenia praebarboi,Rhizosolenia miocenica,Raphidodiscus marylandicus,Paralia sulcata var. coronata,Coscinodiscus tuberculatus,Coscinodiscus perforatus,Cavitatus jouseanus,Azpeitia endoi,Asteromphalus undulatus,Thalassionema nitzschioides,Stephanopyxis turris,Coscinodiscus marginatus,Stephanopyxis sp.,Crucidenticula nicobarica,Actinocyclus ellipticus,Denticulopsis hustedtii,Stephanopyxis grunowii,Thalassiosira lineata,Denticulopsis punctata var. hustedtii,Craspedodiscus coscinodiscus,Delphineis novaecaesaraea,Denticulopsis lauta,Coscinodiscus yabei,Actinocyclus ehrenbergii,Coscinodiscus asteromphalus,Hemidiscus cuneiformis,Rhizosolenia alata,Thalassiosira grunowii,Coscinodiscus temperei var. delicata,Mediaria splendida,Paralia sulcata,Coscinodiscus radiatus,Thalassiosira oestrupii,Rhizosolenia styliformis,Rhizosolenia hebetata,Pseudoeunotia doliolus,Thalassiosira gravida,Nitzschia marina,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,150, 902,D, 37,X,CC,  41.00,    335.0100,Burckle  ,Diatoms                                      ,C              ,M                 ,                   ,                       ,R                 ,                        ,                     ,R                  ,                  ,                       ,                      ,                          ,                             ,                          ,                        ,                   ,              ,                       ,F                          ,                    ,                        ,                 ,                         ,R                      ,F                      ,                      ,                     ,                                     ,                            ,F                        ,                   ,R                  ,                        ,                           ,                      ,                  ,                      ,R                                   ,                  ,               ,                      ,                       ,                        ,                     ,                      ,                     ,                ,from Leg 150 SR;Ch 2; Table 2; pp. 22-23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,150, 902,D, 38,X,CC,  35.00,    344.1100,Burckle  ,Diatoms                                      ,C              ,M                 ,R                  ,                       ,                  ,                        ,                     ,R                  ,                  ,                       ,                      ,                          ,                             ,                          ,                        ,                   ,R             ,                       ,F                          ,                    ,                        ,                 ,                         ,                       ,R                      ,                      ,                     ,                                     ,                            ,R                        ,                   ,R                  ,                        ,                           ,                      ,                  ,                      ,                                    ,                  ,               ,                      ,                       ,                        ,                     ,                      ,                     ,                ,from Leg 150 SR;Ch 2; Table 2; pp. 22-23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,150, 902,D, 39,X, 6, 134.00,    353.2400,Burckle  ,Diatoms                                      ,F-C            ,M                 ,                   ,                       ,R                 ,                        ,                     ,                   ,                  ,                       ,                      ,                          ,                             ,                          ,                        ,                   ,R             ,                       ,                           ,                    ,                        ,                 ,                         ,R                      ,R                      ,                      ,                     ,R                                    ,                            ,F                        ,                   ,R                  ,                        ,                           ,                      ,                  ,R                     ,                                    ,                  ,               ,                      ,                       ,                        ,                     ,                      ,                     ,                ,from Leg 150 SR;Ch 2; Table 2; pp. 22-23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,150, 902,D, 40,X,CC,  33.00,    363.8900,Burckle  ,Diatoms                                      ,C              ,M                 ,                   ,                       ,                  ,                        ,                     ,                   ,                  ,                       ,R                     ,                          ,                             ,                          ,                        ,                   ,              ,                       ,F                          ,                    ,                        ,                 ,                         ,R                      ,R                      ,                      ,                     ,                                     ,                            ,                         ,                   ,R                  ,                        ,                           ,                      ,                  ,                      ,                                    ,                  ,               ,                      ,                       ,                        ,                     ,                      ,                     ,                ,from Leg 150 SR;Ch 2; Table 2; pp. 22-23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,150, 902,D, 41,X,CC,  36.00,    373.4600,Burckle  ,Diatoms                                      ,A              ,G                 ,R                  ,                       ,R                 ,                        ,R                    ,                   ,                  ,                       ,R                     ,                          ,                             ,                          ,                        ,                   ,              ,                       ,F                          ,                    ,                        ,                 ,                         ,F                      ,F                      ,                      ,                     ,F                                    ,                            ,R                        ,                   ,R                  ,                        ,                           ,                      ,R                 ,                      ,                                    ,                  ,               ,                      ,                       ,                        ,                     ,                      ,                     ,                ,from Leg 150 SR;Ch 2; Table 2; pp. 22-23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,150, 902,D, 42,X,CC,  34.00,    382.7600,Burckle  ,Diatoms                                      ,C              ,G                 ,R                  ,R                      ,                  ,                        ,R                    ,R                  ,                  ,                       ,                      ,                          ,                             ,                          ,                        ,                   ,              ,                       ,                           ,                    ,                        ,                 ,                         ,R                      ,R                      ,                      ,                     ,                                     ,                            ,R                        ,                   ,R                  ,                        ,                           ,                      ,                  ,                      ,                                    ,                  ,               ,                      ,                       ,                        ,                     ,                      ,                     ,                ,from Leg 150 SR;Ch 2; Table 2; pp. 22-23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,150, 902,D, 43,X,CC,  31.00,    392.5900,Burckle  ,Diatoms                                      ,C              ,G                 ,                   ,F                      ,                  ,                        ,                     ,F                  ,                  ,                       ,                      ,                          ,                             ,                          ,                        ,                   ,              ,                       ,C                          ,                    ,                        ,                 ,                         ,                       ,F                      ,                      ,                     ,F                                    ,                            ,                         ,                   ,R                  ,R                       ,                           ,                      ,                  ,                      ,                                    ,                  ,               ,                      ,                       ,                        ,                     ,                      ,                     ,                ,from Leg 150 SR;Ch 2; Table 2; pp. 22-23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,150, 902,D, 44,X,CC,  39.00,    401.7900,Burckle  ,Diatoms                                      ,F-C            ,P/M               ,R                  ,                       ,                  ,                        ,                     ,R                  ,                  ,                       ,                      ,                          ,                             ,                          ,                        ,                   ,              ,R                      ,                           ,                    ,                        ,                 ,                         ,                       ,F                      ,                      ,                     ,R                                    ,                            ,F                        ,                   ,                   ,                        ,                           ,                      ,                  ,                      ,                                    ,                  ,               ,                      ,                       ,                        ,                     ,                      ,                     ,                ,from Leg 150 SR;Ch 2; Table 2; pp. 22-23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,150, 902,D, 45,X,CC,  33.00,    405.1100,Burckle  ,Diatoms                                      ,F-C            ,G                 ,R                  ,                       ,                  ,                        ,                     ,R                  ,                  ,                       ,                      ,                          ,                             ,                          ,                        ,                   ,              ,C                      ,                           ,                    ,                        ,                 ,                         ,R                      ,F                      ,                      ,                     ,R                                    ,                            ,R                        ,                   ,R                  ,                        ,                           ,R                     ,                  ,                      ,                                    ,                  ,               ,                      ,                       ,                        ,                     ,                      ,                     ,                ,from Leg 150 SR;Ch 2; Table 2; pp. 22-23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,150, 902,D, 46,X,CC,  25.00,    421.6000,Burckle  ,Diatoms                                      ,F              ,M                 ,                   ,                       ,                  ,                        ,                     ,F                  ,                  ,                       ,                      ,                          ,                             ,                          ,                        ,                   ,              ,                       ,                           ,                    ,                        ,                 ,                         ,                       ,R                      ,                      ,                     ,R                                    ,                            ,                         ,                   ,                   ,                        ,R                          ,                      ,                  ,                      ,                                    ,                  ,               ,                      ,                       ,                        ,                     ,                      ,                     ,                ,from Leg 150 SR;Ch 2; Table 2; pp. 22-23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,150, 902,D, 47,X,CC,  44.00,    430.1900,Burckle  ,Diatoms                                      ,F              ,M                 ,                   ,                       ,                  ,                        ,                     ,R                  ,                  ,                       ,                      ,                          ,                             ,                          ,                        ,                   ,              ,                       ,F                          ,                    ,                        ,R                ,                         ,                       ,R                      ,R                     ,                     ,                                     ,                            ,                         ,                   ,                   ,                        ,                           ,                      ,                  ,                      ,                                    ,                  ,               ,                      ,                       ,                        ,                     ,                      ,                     ,                ,from Leg 150 SR;Ch 2; Table 2; pp. 22-23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,150, 902,D, 48,X,CC,  36.00,    438.9400,Burckle  ,Diatoms                                      ,F              ,M                 ,                   ,                       ,                  ,                        ,                     ,                   ,                  ,                       ,                      ,                          ,                             ,                          ,                        ,                   ,              ,                       ,F                          ,                    ,                        ,                 ,                         ,                       ,F                      ,                      ,                     ,                                     ,                            ,                         ,                   ,                   ,R                       ,                           ,                      ,                  ,                      ,                                    ,                  ,               ,                      ,                       ,                        ,                     ,                      ,                     ,                ,from Leg 150 SR;Ch 2; Table 2; pp. 22-23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,150, 902,D, 49,X,CC,  45.00,    448.4100,Burckle  ,Diatoms                                      ,C              ,G                 ,                   ,                       ,                  ,                        ,R                    ,F                  ,                  ,                       ,                      ,                          ,                             ,                          ,                        ,                   ,R             ,                       ,F                          ,F                   ,                        ,                 ,                         ,R                      ,F                      ,                      ,                     ,                                     ,                            ,                         ,R                  ,R                  ,                        ,                           ,                      ,                  ,                      ,                                    ,                  ,               ,                      ,                       ,                        ,                     ,                      ,                     ,                ,from Leg 150 SR;Ch 2; Table 2; pp. 22-23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,150, 902,D, 50,X, 2,  50.00,    451.3000,Burckle  ,Diatoms                                      ,F-C            ,M                 ,                   ,                       ,                  ,                        ,                     ,R                  ,                  ,                       ,                      ,                          ,                             ,                          ,                        ,                   ,R             ,                       ,F                          ,                    ,                        ,                 ,                         ,                       ,                       ,                      ,                     ,                                     ,                            ,F                        ,                   ,                   ,                        ,                           ,                      ,                  ,                      ,                                    ,                  ,               ,                      ,                       ,                        ,                     ,                      ,                     ,                ,from Leg 150 SR;Ch 2; Table 2; pp. 22-23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,150, 902,D, 50,X,CC,  36.00,    459.1000,Burckle  ,Diatoms                                      ,F              ,G                 ,                   ,                       ,                  ,                        ,                     ,                   ,                  ,                       ,                      ,                          ,                             ,                          ,                        ,                   ,              ,                       ,F                          ,                    ,                        ,R                ,                         ,R                      ,                       ,                      ,                     ,                                     ,                            ,                         ,                   ,                   ,                        ,                           ,                      ,                  ,                      ,                                    ,                  ,               ,                      ,                       ,                        ,                     ,                      ,                     ,                ,from Leg 150 SR;Ch 2; Table 2; pp. 22-23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,150, 902,D, 51,X,CC,  32.00,    468.5600,Burckle  ,Diatoms                                      ,C              ,G                 ,                   ,                       ,                  ,                        ,                     ,                   ,                  ,                       ,                      ,                          ,                             ,                          ,                        ,                   ,              ,                       ,F                          ,                    ,                        ,R                ,                         ,                       ,R                      ,R                     ,                     ,                                     ,R                           ,                         ,                   ,                   ,                        ,                           ,                      ,                  ,                      ,                                    ,                  ,               ,                      ,                       ,                        ,                     ,                      ,                     ,                ,from Leg 150 SR;Ch 2; Table 2; pp. 22-23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,150, 902,D, 52,X,CC,  33.00,    478.1300,Burckle  ,Diatoms                                      ,C              ,G                 ,                   ,C                      ,                  ,                        ,                     ,C                  ,                  ,                       ,                      ,                          ,                             ,                          ,                        ,                   ,              ,F                      ,                           ,F                   ,                        ,                 ,                         ,                       ,F                      ,                      ,                     ,                                     ,                            ,                         ,                   ,                   ,                        ,                           ,                      ,                  ,                      ,                                    ,                  ,               ,                      ,                       ,                        ,                     ,                      ,                     ,                ,from Leg 150 SR;Ch 2; Table 2; pp. 22-23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,150, 902,D, 53,X,CC,  37.00,    488.0400,Burckle  ,Diatoms                                      ,C              ,G                 ,                   ,R                      ,                  ,R                       ,                     ,                   ,                  ,                       ,                      ,                          ,                             ,                          ,                        ,                   ,              ,R                      ,                           ,                    ,                        ,                 ,                         ,C                      ,C                      ,                      ,R                    ,R                                    ,                            ,                         ,                   ,                   ,                        ,                           ,                      ,                  ,                      ,                                    ,                  ,               ,                      ,                       ,                        ,                     ,                      ,                     ,                ,from Leg 150 SR;Ch 2; Table 2; pp. 22-23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,150, 902,D, 54,X, 3, 114.00,    492.0400,Burckle  ,Diatoms                                      ,C              ,M                 ,                   ,C                      ,                  ,                        ,                     ,C                  ,                  ,                       ,R                     ,                          ,R                            ,                          ,                        ,                   ,              ,                       ,                           ,                    ,                        ,                 ,                         ,                       ,                       ,R                     ,                     ,                                     ,                            ,                         ,                   ,                   ,                        ,                           ,                      ,                  ,                      ,                                    ,                  ,               ,                      ,                       ,                        ,                     ,                      ,                     ,                ,from Leg 150 SR;Ch 2; Table 2; pp. 22-23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,150, 902,D, 54,X,CC,  36.00,    497.7100,Burckle  ,Diatoms                                      ,F              ,G                 ,                   ,F                      ,                  ,R                       ,                     ,                   ,                  ,                       ,                      ,                          ,                             ,                          ,                        ,                   ,              ,                       ,                           ,                    ,                        ,                 ,                         ,                       ,R                      ,                      ,                     ,                                     ,                            ,                         ,                   ,                   ,                        ,                           ,                      ,                  ,                      ,                                    ,                  ,               ,                      ,                       ,                        ,                     ,                      ,                     ,                ,from Leg 150 SR;Ch 2; Table 2; pp. 22-23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,150, 902,D, 55,X, 2,  50.00,    499.6000,Burckle  ,Diatoms                                      ,C              ,G                 ,                   ,R                      ,                  ,R                       ,                     ,                   ,                  ,                       ,                      ,                          ,C                            ,R                         ,                        ,R                  ,              ,                       ,F                          ,                    ,                        ,R                ,R                        ,R                      ,                       ,                      ,                     ,                                     ,                            ,                         ,                   ,                   ,                        ,                           ,                      ,                  ,                      ,                                    ,                  ,               ,                      ,                       ,                        ,                     ,                      ,                     ,                ,from Leg 150 SR;Ch 2; Table 2; pp. 22-23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,150, 902,D, 55,X, 4,  45.00,    502.5500,Burckle  ,Diatoms                                      ,A              ,M                 ,                   ,F                      ,                  ,R                       ,R                    ,                   ,                  ,                       ,                      ,                          ,F                            ,                          ,                        ,R                  ,              ,                       ,F                          ,C                   ,R                       ,                 ,                         ,                       ,                       ,                      ,                     ,                                     ,                            ,                         ,                   ,                   ,                        ,                           ,                      ,                  ,                      ,                                    ,                  ,               ,                      ,                       ,                        ,                     ,                      ,                     ,                ,from Leg 150 SR;Ch 2; Table 2; pp. 22-23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,150, 902,D, 55,X, 6,  45.00,    505.5500,Burckle  ,Diatoms                                      ,C              ,M                 ,R                  ,R                      ,                  ,R                       ,R                    ,R                  ,R                 ,R                      ,R                     ,R                         ,R                            ,R                         ,R                       ,R                  ,R             ,R                      ,                           ,                    ,                        ,                 ,                         ,                       ,                       ,                      ,                     ,                                     ,                            ,                         ,                   ,                   ,                        ,                           ,                      ,                  ,                      ,                                    ,                  ,               ,                      ,                       ,                        ,                     ,                      ,                     ,                ,from Leg 150 SR;Ch 2; Table 2; pp. 22-23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,150, 902,D, 55,X,CC,  45.00,    507.5300,Burckle  ,Diatoms                                      ,C              ,G                 ,R                  ,C                      ,R                 ,R                       ,R                    ,C                  ,                  ,                       ,                      ,                          ,                             ,                          ,                        ,                   ,              ,                       ,                           ,                    ,                        ,                 ,                         ,                       ,                       ,                      ,                     ,                                     ,                            ,                         ,                   ,                   ,                        ,                           ,                      ,                  ,                      ,                                    ,                  ,               ,                      ,                       ,                        ,                     ,                      ,                     ,                ,from Leg 150 SR;Ch 2; Table 2; pp. 22-23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
